sequence,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgBzhB+nB6?oBllB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Jex/IvhF8lB+mB6oBl?kBTnBXsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBz?lBurBcsB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFRgB+nB6oB0?lBlmBzrB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFFgBxhB6oBW?rBTnB0rB,v115@PhA8AeA8AeA8EeA8AeE8BeC8Je/EJvhFUgBRhB+nB6?oBVrBzrB
LZOTJIS,O,O,O,X,X,X
LZOTJSI,O,O,O,X,X,X
LZOTSIJ,O,O,O,X,X,X
LZOTSJI,O,O,O,X,X,X
LZOITJS,X,O,X,X,X,X
LZOITSJ,X,O,O,X,X,X
LZOIJTS,X,O,O,X,X,X
LZOIJST,X,X,O,X,O,X
LZOISTJ,X,X,O,X,O,X
LZOISJT,X,X,O,X,O,X
LZOJTIS,O,O,O,X,X,X
LZOJTSI,O,O,O,O,X,X
LZOJITS,O,O,O,X,X,X
LZOJIST,O,X,O,X,O,X
LZOJSTI,O,O,O,O,O,X
LZOJSIT,O,X,O,O,O,X
LZOSTIJ,O,O,O,X,O,X
LZOSTJI,O,O,O,X,O,X
LZOSITJ,X,X,O,X,O,X
LZOSIJT,O,X,O,O,O,X
LZOSJTI,O,O,O,O,O,X
LZOSJIT,O,X,O,O,O,X
LOTIJSZ,X,X,X,X,O,O
LOTIJZS,X,O,X,X,X,X
LOTISJZ,X,X,O,X,O,O
LOTISZJ,X,O,O,X,O,O
LOTIZJS,X,O,X,X,X,X
LOTIZSJ,X,O,X,X,X,X
LOTJISZ,O,X,X,X,O,O
LOTJIZS,X,O,X,X,X,X
LOTJSIZ,O,X,X,X,O,O
LOTJSZI,O,O,X,X,O,O
LOTJZIS,O,O,X,X,X,X
LOTJZSI,O,O,X,X,X,X
LOTSIJZ,O,X,O,X,O,O
LOTSIZJ,O,O,O,X,O,O
LOTSJIZ,O,X,O,X,O,O
LOTSJZI,O,O,O,X,O,O
LOTSZIJ,O,O,O,X,O,O
LOTSZJI,O,O,O,X,O,O
LOTZIJS,X,O,X,X,X,X
LOTZISJ,X,O,O,X,X,X
LOTZJIS,O,O,O,X,X,X
LOTZJSI,O,O,O,X,X,X
LOTZSIJ,O,O,O,X,X,X
LOTZSJI,O,O,O,X,X,X
LOITJSZ,X,X,X,X,O,X
LOITJZS,X,O,X,X,X,X
LOITSJZ,X,X,O,X,O,X
LOITSZJ,X,O,O,X,O,X
LOITZJS,X,O,X,X,X,X
LOITZSJ,X,O,X,X,X,X
LOIJTSZ,X,X,X,X,O,X
LOIJTZS,X,O,X,X,X,X
LOIJSTZ,X,X,O,X,O,X
LOIJSZT,X,X,X,X,O,X
LOIJZTS,X,O,X,X,X,X
LOIJZST,X,X,X,X,O,X
LOISTJZ,X,X,O,X,O,X
LOISTZJ,X,X,O,X,O,X
LOISJTZ,X,X,O,X,O,X
LOISJZT,X,X,X,X,O,X
LOISZTJ,X,X,O,X,O,X
LOISZJT,X,X,O,X,O,X
LOIZTJS,X,O,X,X,X,X
LOIZTSJ,X,O,O,X,X,X
LOIZJTS,X,O,O,X,X,X
LOIZJST,X,X,O,X,O,X
LOIZSTJ,X,X,O,X,O,X
LOIZSJT,X,X,O,X,O,X
LOJTISZ,O,X,X,X,O,O
LOJTIZS,X,O,X,X,X,X
LOJTSIZ,O,X,X,X,O,O
LOJTSZI,O,O,X,O,O,O
LOJTZIS,O,O,X,X,X,X
LOJTZSI,O,O,X,O,X,X
LOJITSZ,O,X,X,X,O,X
LOJITZS,X,O,X,X,X,X
LOJISTZ,O,X,O,X,O,X
LOJISZT,O,X,X,X,O,X
LOJIZTS,X,O,X,X,X,X
LOJIZST,X,X,X,X,O,X
LOJSTIZ,O,X,O,X,O,O
LOJSTZI,O,O,O,O,O,O
LOJSITZ,O,X,O,X,O,X
LOJSIZT,O,X,X,O,O,X
LOJSZTI,O,O,O,O,O,O
LOJSZIT,O,X,O,O,O,O
LOJZTIS,O,O,O,X,X,X
LOJZTSI,O,O,O,O,X,X
LOJZITS,O,O,O,X,X,X
LOJZIST,O,X,O,X,O,X
LOJZSTI,O,O,O,O,O,X
LOJZSIT,O,X,O,O,O,X
LOSTIJZ,O,X,O,X,O,O
LOSTIZJ,O,O,O,X,O,O
LOSTJIZ,O,X,O,X,O,O
LOSTJZI,O,O,O,X,O,O
LOSTZIJ,O,O,O,X,O,O
LOSTZJI,O,O,O,X,O,O
LOSITJZ,O,X,O,X,O,X
LOSITZJ,O,X,O,X,O,X
LOSIJTZ,O,X,O,X,O,X
LOSIJZT,O,X,X,O,O,X
LOSIZTJ,X,X,O,X,O,X
LOSIZJT,O,X,O,O,O,X
LOSJTIZ,O,X,O,X,O,O
LOSJTZI,O,O,O,O,O,O
LOSJITZ,O,X,O,X,O,X
LOSJIZT,O,X,X,O,O,X
LOSJZTI,O,O,O,O,O,O
LOSJZIT,O,X,O,O,O,O
LOSZTIJ,O,O,O,X,O,O
LOSZTJI,O,O,O,X,O,O
LOSZITJ,X,X,O,X,O,X
LOSZIJT,O,X,O,O,O,O
LOSZJTI,O,O,O,O,O,O
LOSZJIT,O,X,O,O,O,O
LOZTIJS,X,O,X,X,X,X
LOZTISJ,X,O,O,X,X,X
LOZTJIS,O,O,O,X,X,X
LOZTJSI,O,O,O,X,X,X
LOZTSIJ,O,O,O,X,X,X
LOZTSJI,O,O,O,X,X,X
LOZITJS,X,O,X,X,X,X
LOZITSJ,X,O,O,X,X,X
LOZIJTS,X,O,O,X,X,X
LOZIJST,X,X,O,X,O,X
LOZISTJ,X,X,O,X,O,X
LOZISJT,X,X,O,X,O,X
LOZJTIS,O,O,O,X,X,X
LOZJTSI,O,O,O,O,X,X
LOZJITS,O,O,O,X,X,X
LOZJIST,O,X,O,X,O,X
LOZJSTI,O,O,O,O,O,X
LOZJSIT,O,X,O,O,O,X
LOZSTIJ,O,O,O,X,O,X
LOZSTJI,O,O,O,X,O,X
LOZSITJ,X,X,O,X,O,X
LOZSIJT,O,X,O,O,O,X
LOZSJTI,O,O,O,O,O,X
LOZSJIT,O,X,O,O,O,X
JTILSZO,O,X,X,O,X,O
JTILSOZ,O,X,X,X,X,O
JTILZSO,O,O,X,O,X,O
JTILZOS,O,O,X,X,X,X
JTILOSZ,O,X,X,X,X,O
JTILOZS,X,O,X,X,X,X
JTISLZO,O,X,X,O,X,O
JTISLOZ,O,X,X,X,X,O
JTISZLO,O,X,X,O,X,O
JTISZOL,O,X,X,O,X,O
JTISOLZ,O,X,X,X,X,O
JTISOZL,O,X,X,X,X,O
JTIZLSO,O,O,X,O,X,O
JTIZLOS,O,O,X,X,X,X
JTIZSLO,O,O,X,O,X,O
JTIZSOL,O,O,X,O,X,O
JTIZOLS,O,O,X,X,X,X
JTIZOSL,O,O,X,X,X,X
JTIOLSZ,O,X,X,X,X,O
JTIOLZS,X,O,X,X,X,X
JTIOSLZ,O,X,X,X,X,O
JTIOSZL,O,X,X,X,X,O
JTIOZLS,X,O,X,X,X,X
JTIOZSL,X,O,X,X,X,X
JTLISZO,O,X,X,O,X,O
JTLISOZ,O,X,X,X,X,O
JTLIZSO,O,O,X,O,X,O
JTLIZOS,O,O,X,X,X,X
JTLIOSZ,O,X,X,X,X,O
JTLIOZS,X,O,X,X,X,X
JTLSIZO,O,X,X,O,X,O
JTLSIOZ,O,X,X,X,O,O
JTLSZIO,O,O,X,O,X,O
JTLSZOI,O,O,X,O,O,O
JTLSOIZ,O,X,X,X,O,O
JTLSOZI,O,O,X,O,O,O
JTLZISO,O,O,X,O,X,O
JTLZIOS,O,O,X,X,X,X
JTLZSIO,O,O,X,O,X,O
JTLZSOI,O,O,X,O,X,O
JTLZOIS,O,O,X,X,X,X
JTLZOSI,O,O,X,O,X,X
JTLOISZ,O,X,X,X,O,O
JTLOIZS,X,O,X,X,X,X
JTLOSIZ,O,X,X,X,O,O
JTLOSZI,O,O,X,O,O,O
JTLOZIS,O,O,X,X,X,X
JTLOZSI,O,O,X,O,X,X
JTSILZO,O,X,X,O,X,O
JTSILOZ,O,X,X,X,O,O
JTSIZLO,O,X,X,O,X,O
JTSIZOL,O,X,X,O,X,O
JTSIOLZ,O,X,X,X,O,O
JTSIOZL,O,X,X,X,O,O
JTSLIZO,O,X,X,O,X,O
JTSLIOZ,O,X,X,X,O,O
JTSLZIO,O,O,X,O,X,O
JTSLZOI,O,O,X,O,O,O
JTSLOIZ,O,X,X,X,O,O
JTSLOZI,O,O,X,O,O,O
JTSZILO,O,O,X,O,X,O
JTSZIOL,O,O,X,O,X,O
JTSZLIO,O,O,X,O,X,O
JTSZLOI,O,O,X,O,O,O
JTSZOIL,O,O,X,O,O,O
JTSZOLI,O,O,X,O,O,O
JTSOILZ,O,X,X,X,O,O
JTSOIZL,O,X,X,X,O,O
JTSOLIZ,O,X,X,X,O,O
JTSOLZI,O,O,X,O,O,O
JTSOZIL,O,O,X,O,O,O
JTSOZLI,O,O,X,O,O,O
JTZILSO,O,O,X,O,X,O
JTZILOS,O,O,X,X,X,X
JTZISLO,O,O,X,O,X,O
JTZISOL,O,O,X,O,X,O
JTZIOLS,O,O,X,X,X,X
JTZIOSL,O,O,X,X,X,X
JTZLISO,O,O,X,O,X,O
JTZLIOS,O,O,X,X,X,X
JTZLSIO,O,O,X,O,X,O
JTZLSOI,O,O,X,O,X,O
JTZLOIS,O,O,X,X,X,X
JTZLOSI,O,O,X,O,X,X
JTZSILO,O,O,X,O,X,O
JTZSIOL,O,O,X,O,X,O
JTZSLIO,O,O,X,O,X,O
JTZSLOI,O,O,X,O,X,O
JTZSOIL,O,O,X,O,X,O
JTZSOLI,O,O,X,O,X,O
JTZOILS,O,O,X,X,X,X
JTZOISL,O,O,X,X,X,X
JTZOLIS,O,O,X,X,X,X
JTZOLSI,O,O,X,O,X,X
JTZOSIL,O,O,X,O,X,X
JTZOSLI,O,O,X,O,X,X
JTOILSZ,O,X,X,X,O,O
JTOILZS,X,O,X,X,X,X
JTOISLZ,O,X,X,X,O,O
JTOISZL,O,X,X,X,O,O
JTOIZLS,X,O,X,X,X,X
JTOIZSL,X,O,X,X,X,X
JTOLISZ,O,X,X,X,O,O
JTOLIZS,X,O,X,X,X,X
JTOLSIZ,O,X,X,X,O,O
JTOLSZI,O,O,X,O,O,O
JTOLZIS,O,O,X,X,X,X
JTOLZSI,O,O,X,O,X,X
JTOSILZ,O,X,X,X,O,O
JTOSIZL,O,X,X,X,O,O
JTOSLIZ,O,X,X,X,O,O
JTOSLZI,O,O,X,O,O,O
JTOSZIL,O,O,X,O,O,O
JTOSZLI,O,O,X,O,O,O
JTOZILS,O,O,X,X,X,X
JTOZISL,O,O,X,X,X,X
JTOZLIS,O,O,X,X,X,X
JTOZLSI,O,O,X,O,X,X
JTOZSIL,O,O,X,O,X,X
JTOZSLI,O,O,X,O,X,X
JITLSZO,O,X,X,O,X,O
JITLSOZ,O,X,X,X,X,O
JITLZSO,O,O,X,O,X,O
JITLZOS,O,O,X,X,X,X
JITLOSZ,O,X,X,X,X,O
JITLOZS,X,O,X,X,X,X
JITSLZO,O,X,X,O,X,O
JITSLOZ,O,X,X,X,X,O
JITSZLO,O,X,X,O,X,O
JITSZOL,O,X,X,O,X,O
JITSOLZ,O,X,X,X,X,O
JITSOZL,O,X,X,X,X,O
JITZLSO,O,O,X,O,X,O
JITZLOS,O,O,X,X,X,X
JITZSLO,O,O,X,O,X,O
JITZSOL,O,O,X,O,X,O
JITZOLS,O,O,X,X,X,X
JITZOSL,O,O,X,X,X,X
JITOLSZ,O,X,X,X,X,O
JITOLZS,X,O,X,X,X,X
JITOSLZ,O,X,X,X,X,O
JITOSZL,O,X,X,X,X,O
JITOZLS,X,O,X,X,X,X
JITOZSL,X,O,X,X,X,X
JILTSZO,O,X,X,O,X,O
JILTSOZ,O,X,X,X,X,O
JILTZSO,O,O,X,O,X,O
JILTZOS,O,O,X,X,X,X
JILTOSZ,O,X,X,X,X,O
JILTOZS,X,O,X,X,X,X
JILSTZO,O,X,X,O,X,O
JILSTOZ,O,X,X,X,O,O
JILSZTO,O,X,X,O,X,O
JILSZOT,O,X,X,O,X,O
JILSOTZ,O,X,X,X,O,X
JILSOZT,O,X,X,O,O,X
JILZTSO,O,O,X,O,X,X
JILZTOS,O,O,X,X,X,X
JILZSTO,O,X,X,O,X,X
JILZSOT,O,X,X,O,X,X
JILZOTS,O,O,X,X,X,X
JILZOST,O,X,X,X,X,X
JILOTSZ,O,X,X,X,O,X
JILOTZS,X,O,X,X,X,X
JILOSTZ,O,X,X,X,O,X
JILOSZT,O,X,X,X,O,X
JILOZTS,X,O,X,X,X,X
JILOZST,X,X,X,X,O,X
JISTLZO,O,X,X,O,X,O
JISTLOZ,O,X,X,X,O,O
JISTZLO,O,X,X,O,X,O
JISTZOL,O,X,X,O,X,O
JISTOLZ,O,X,X,X,O,O
JISTOZL,O,X,X,X,O,O
JISLTZO,O,X,X,O,X,O
JISLTOZ,O,X,X,X,O,O
JISLZTO,O,X,X,O,X,O
JISLZOT,O,X,X,O,X,O
JISLOTZ,O,X,X,X,O,X
JISLOZT,O,X,X,O,O,X
JISZTLO,O,X,X,O,X,O
JISZTOL,O,X,X,O,X,O
JISZLTO,O,X,X,O,X,O
JISZLOT,O,X,X,O,X,O
JISZOTL,O,X,X,O,X,X
JISZOLT,O,X,X,O,X,O
JISOTLZ,O,X,X,X,O,X
JISOTZL,O,X,X,X,O,X
JISOLTZ,O,X,X,X,O,X
JISOLZT,O,X,X,O,O,X
JISOZTL,O,X,X,O,O,X
JISOZLT,O,X,X,O,O,X
JIZTLSO,O,O,X,O,X,X
JIZTLOS,O,O,X,X,X,X
JIZTSLO,O,O,X,O,X,X
JIZTSOL,O,O,X,O,X,X
JIZTOLS,O,O,X,X,X,X
JIZTOSL,O,O,X,X,X,X
JIZLTSO,O,O,X,O,X,X
JIZLTOS,O,O,X,X,X,X
JIZLSTO,O,X,X,O,X,X
JIZLSOT,O,X,X,O,X,X
JIZLOTS,O,O,X,X,X,X
JIZLOST,O,X,X,X,X,X
JIZSTLO,O,X,X,O,X,X
JIZSTOL,O,X,X,O,X,X
JIZSLTO,O,X,X,O,X,X
JIZSLOT,O,X,X,O,X,X
JIZSOTL,O,X,X,O,X,X
JIZSOLT,O,X,X,O,X,X
JIZOTLS,O,O,X,X,X,X
JIZOTSL,O,O,X,X,X,X
JIZOLTS,O,O,X,X,X,X
JIZOLST,O,X,X,X,X,X
JIZOSTL,O,X,X,X,X,X
JIZOSLT,O,X,X,X,X,X
JIOTLSZ,O,X,X,X,O,X
JIOTLZS,X,O,X,X,X,X
JIOTSLZ,O,X,X,X,O,X
JIOTSZL,O,X,X,X,O,X
JIOTZLS,X,O,X,X,X,X
JIOTZSL,X,O,X,X,X,X
JIOLTSZ,O,X,X,X,O,X
JIOLTZS,X,O,X,X,X,X
JIOLSTZ,O,X,X,X,O,X
JIOLSZT,O,X,X,X,O,X
JIOLZTS,X,O,X,X,X,X
JIOLZST,X,X,X,X,O,X
JIOSTLZ,O,X,X,X,O,X
JIOSTZL,O,X,X,X,O,X
JIOSLTZ,O,X,X,X,O,X
JIOSLZT,O,X,X,X,O,X
JIOSZTL,X,X,X,X,O,X
JIOSZLT,O,X,X,X,O,X
JIOZTLS,X,O,X,X,X,X
JIOZTSL,X,O,X,X,X,X
JIOZLTS,X,O,X,X,X,X
JIOZLST,X,X,X,X,O,X
JIOZSTL,X,X,X,X,O,X
JIOZSLT,X,X,X,X,O,X
JLTISZO,O,X,X,O,X,O
JLTISOZ,O,X,X,X,X,O
JLTIZSO,O,O,X,O,X,O
JLTIZOS,O,O,X,X,X,X
JLTIOSZ,O,X,X,X,X,O
JLTIOZS,X,O,X,X,X,X
JLTSIZO,O,X,X,O,X,O
JLTSIOZ,O,X,X,X,O,O
JLTSZIO,O,O,X,O,X,O
JLTSZOI,O,O,X,O,O,O
JLTSOIZ,O,X,X,X,O,O
JLTSOZI,O,O,X,O,O,O
JLTZISO,O,O,X,O,X,O
JLTZIOS,O,O,X,X,X,X
JLTZSIO,O,O,X,O,X,O
JLTZSOI,O,O,X,O,X,O
JLTZOIS,O,O,X,X,X,X
JLTZOSI,O,O,X,O,X,X
JLTOISZ,O,X,X,X,O,O
JLTOIZS,X,O,X,X,X,X
JLTOSIZ,O,X,X,X,O,O
JLTOSZI,O,O,X,O,O,O
JLTOZIS,O,O,X,X,X,X
JLTOZSI,O,O,X,O,X,X
JLITSZO,O,X,X,O,X,O
JLITSOZ,O,X,X,X,X,O
JLITZSO,O,O,X,O,X,O
JLITZOS,O,O,X,X,X,X
JLITOSZ,O,X,X,X,X,O
JLITOZS,X,O,X,X,X,X
JLISTZO,O,X,X,O,X,O
JLISTOZ,O,X,X,X,O,O
JLISZTO,O,X,X,O,X,O
JLISZOT,O,X,X,O,X,O
JLISOTZ,O,X,X,X,O,X
JLISOZT,O,X,X,O,O,X
JLIZTSO,O,O,X,O,X,X
JLIZTOS,O,O,X,X,X,X
JLIZSTO,O,X,X,O,X,X
JLIZSOT,O,X,X,O,X,X
JLIZOTS,O,O,X,X,X,X
JLIZOST,O,X,X,X,X,X
JLIOTSZ,O,X,X,X,O,X
JLIOTZS,X,O,X,X,X,X
JLIOSTZ,O,X,X,X,O,X
JLIOSZT,O,X,X,X,O,X
JLIOZTS,X,O,X,X,X,X
JLIOZST,X,X,X,X,O,X
JLSTIZO,O,X,X,O,X,O
JLSTIOZ,O,X,X,X,O,O
JLSTZIO,O,O,O,O,X,O
JLSTZOI,O,O,O,O,O,O
JLSTOIZ,O,X,O,X,O,O
JLSTOZI,O,O,O,O,O,O
JLSITZO,O,X,X,O,X,O
JLSITOZ,O,X,X,X,O,O
JLSIZTO,O,X,X,O,X,O
JLSIZOT,O,X,X,O,X,O
JLSIOTZ,O,X,X,X,O,X
JLSIOZT,O,X,X,O,O,X
JLSZTIO,O,O,O,O,X,O
JLSZTOI,O,O,O,O,O,O
JLSZITO,O,X,O,O,X,O
JLSZIOT,O,X,O,O,X,O
JLSZOTI,O,O,O,O,O,O
JLSZOIT,O,X,O,O,O,O
JLSOTIZ,O,X,O,X,O,O
JLSOTZI,O,O,O,O,O,O
JLSOITZ,O,X,O,X,O,X
JLSOIZT,O,X,X,O,O,X
JLSOZTI,O,O,O,O,O,O
JLSOZIT,O,X,O,O,O,O
JLZTISO,O,O,O,O,X,O
JLZTIOS,O,O,X,X,X,X
JLZTSIO,O,O,O,O,X,O
JLZTSOI,O,O,O,O,X,O
JLZTOIS,O,O,O,X,X,X
JLZTOSI,O,O,O,O,X,X
JLZITSO,O,O,O,O,X,X
JLZITOS,O,O,X,X,X,X
JLZISTO,O,X,O,O,X,X
JLZISOT,O,X,O,O,X,X
JLZIOTS,O,O,O,X,X,X
JLZIOST,O,X,O,X,X,X
JLZSTIO,O,O,O,O,X,O
JLZSTOI,O,O,O,O,O,O
JLZSITO,O,X,O,O,X,O
JLZSIOT,O,X,O,O,X,O
JLZSOTI,O,O,O,O,O,O
JLZSOIT,O,X,O,O,O,O
JLZOTIS,O,O,O,X,X,X
JLZOTSI,O,O,O,O,X,X
JLZOITS,O,O,O,X,X,X
JLZOIST,O,X,O,X,O,X
JLZOSTI,O,O,O,O,O,X
JLZOSIT,O,X,O,O,O,X
JLOTISZ,O,X,X,X,O,O
JLOTIZS,X,O,X,X,X,X
JLOTSIZ,O,X,X,X,O,O
JLOTSZI,O,O,X,O,O,O
JLOTZIS,O,O,X,X,X,X
JLOTZSI,O,O,X,O,X,X
JLOITSZ,O,X,X,X,O,X
JLOITZS,X,O,X,X,X,X
JLOISTZ,O,X,O,X,O,X
JLOISZT,O,X,X,X,O,X
JLOIZTS,X,O,X,X,X,X
JLOIZST,X,X,X,X,O,X
JLOSTIZ,O,X,O,X,O,O
JLOSTZI,O,O,O,O,O,O
JLOSITZ,O,X,O,X,O,X
JLOSIZT,O,X,X,O,O,X
JLOSZTI,O,O,O,O,O,O
JLOSZIT,O,X,O,O,O,O
JLOZTIS,O,O,O,X,X,X
JLOZTSI,O,O,O,O,X,X
JLOZITS,O,O,O,X,X,X
JLOZIST,O,X,O,X,O,X
JLOZSTI,O,O,O,O,O,X
JLOZSIT,O,X,O,O,O,X
JSTILZO,O,X,X,O,X,O
JSTILOZ,O,X,X,X,O,O
JSTIZLO,O,X,X,O,X,O
JSTIZOL,O,X,X,O,X,O
JSTIOLZ,O,X,X,X,O,O
JSTIOZL,O,X,X,X,O,O
JSTLIZO,O,X,X,O,X,O
JSTLIOZ,O,X,X,X,O,O
JSTLZIO,O,O,O,O,X,O
JSTLZOI,O,O,O,O,O,O
JSTLOIZ,O,X,O,X,O,O
JSTLOZI,O,O,O,O,O,O
JSTZILO,O,O,O,O,X,O
JSTZIOL,O,O,O,O,X,O
JSTZLIO,O,O,O,O,X,O
JSTZLOI,O,O,O,O,O,O
JSTZOIL,O,O,O,O,O,O
JSTZOLI,O,O,O,O,O,O
JSTOILZ,O,X,O,X,O,O
JSTOIZL,O,X,X,X,O,O
JSTOLIZ,O,X,O,X,O,O
JSTOLZI,O,O,O,O,O,O
JSTOZIL,O,O,O,O,O,O
JSTOZLI,O,O,O,O,O,O
JSITLZO,O,X,X,O,X,O
JSITLOZ,O,X,X,X,O,O
JSITZLO,O,X,X,O,X,O
JSITZOL,O,X,X,O,X,O
JSITOLZ,O,X,X,X,O,O
JSITOZL,O,X,X,X,O,O
JSILTZO,O,X,X,O,X,O
JSILTOZ,O,X,X,X,O,O
JSILZTO,O,X,X,O,X,O
JSILZOT,O,X,X,O,X,O
JSILOTZ,O,X,X,X,O,X
JSILOZT,O,X,X,O,O,X
JSIZTLO,O,X,X,O,X,O
JSIZTOL,O,X,X,O,X,O
JSIZLTO,O,X,X,O,X,O
JSIZLOT,O,X,X,O,X,O
JSIZOTL,O,X,X,O,X,X
JSIZOLT,O,X,X,O,X,O
JSIOTLZ,O,X,X,X,O,X
JSIOTZL,O,X,X,X,O,X
JSIOLTZ,O,X,X,X,O,X
JSIOLZT,O,X,X,O,O,X
JSIOZTL,O,X,X,O,O,X
JSIOZLT,O,X,X,O,O,X
JSLTIZO,O,X,X,O,X,O
JSLTIOZ,O,X,X,X,O,O
JSLTZIO,O,O,O,O,X,O
JSLTZOI,O,O,O,O,O,O
JSLTOIZ,O,X,O,X,O,O
JSLTOZI,O,O,O,O,O,O
JSLITZO,O,X,X,O,X,O
JSLITOZ,O,X,X,X,O,O
JSLIZTO,O,X,X,O,X,O
JSLIZOT,O,X,X,O,X,O
JSLIOTZ,O,X,X,X,O,X
JSLIOZT,O,X,X,O,O,X
JSLZTIO,O,O,O,O,X,O
JSLZTOI,O,O,O,O,O,O
JSLZITO,O,X,O,O,X,O
JSLZIOT,O,X,O,O,X,O
JSLZOTI,O,O,O,O,O,O
JSLZOIT,O,X,O,O,O,O
JSLOTIZ,O,X,O,X,O,O
JSLOTZI,O,O,O,O,O,O
JSLOITZ,O,X,O,X,O,X
JSLOIZT,O,X,X,O,O,X
JSLOZTI,O,O,O,O,O,O
JSLOZIT,O,X,O,O,O,O
JSZTILO,O,O,O,O,X,O
JSZTIOL,O,O,O,O,X,O
JSZTLIO,O,O,O,O,X,O
JSZTLOI,O,O,O,O,O,O
JSZTOIL,O,O,O,O,O,O
JSZTOLI,O,O,O,O,O,O
JSZITLO,O,X,O,O,X,O
JSZITOL,O,X,O,O,X,O
JSZILTO,O,X,O,O,X,O
JSZILOT,O,X,O,O,X,O
JSZIOTL,O,X,O,O,X,X
JSZIOLT,O,X,O,O,X,O
JSZLTIO,O,O,O,O,X,O
JSZLTOI,O,O,O,O,O,O
JSZLITO,O,X,O,O,X,O
JSZLIOT,O,X,O,O,X,O
JSZLOTI,O,O,O,O,O,O
JSZLOIT,O,X,O,O,O,O
JSZOTIL,O,O,O,O,O,O
JSZOTLI,O,O,O,O,O,O
JSZOITL,O,X,O,O,O,X
JSZOILT,O,X,O,O,O,O
JSZOLTI,O,O,O,O,O,O
JSZOLIT,O,X,O,O,O,O
JSOTILZ,O,X,O,X,O,O
JSOTIZL,O,X,X,X,O,O
JSOTLIZ,O,X,O,X,O,O
JSOTLZI,O,O,O,O,O,O
JSOTZIL,O,O,O,O,O,O
JSOTZLI,O,O,O,O,O,O
JSOITLZ,O,X,O,X,O,X
JSOITZL,O,X,X,X,O,X
JSOILTZ,O,X,O,X,O,X
JSOILZT,O,X,X,O,O,X
JSOIZTL,O,X,X,O,O,X
JSOIZLT,O,X,X,O,O,X
JSOLTIZ,O,X,O,X,O,O
JSOLTZI,O,O,O,O,O,O
JSOLITZ,O,X,O,X,O,X
JSOLIZT,O,X,X,O,O,X
JSOLZTI,O,O,O,O,O,O
JSOLZIT,O,X,O,O,O,O
JSOZTIL,O,O,O,O,O,O
JSOZTLI,O,O,O,O,O,O
JSOZITL,O,X,O,O,O,X
JSOZILT,O,X,O,O,O,O
JSOZLTI,O,O,O,O,O,O
JSOZLIT,O,X,O,O,O,O
JZTILSO,O,O,O,O,X,O
JZTILOS,O,O,X,X,X,X
JZTISLO,O,O,O,O,X,O
JZTISOL,O,O,O,O,X,O
JZTIOLS,O,O,X,X,X,X
JZTIOSL,O,O,X,X,X,X
JZTLISO,O,O,O,O,X,O
JZTLIOS,O,O,X,X,X,X
JZTLSIO,O,O,O,O,X,O
JZTLSOI,O,O,O,O,X,O
JZTLOIS,O,O,O,X,X,X
JZTLOSI,O,O,O,O,X,X
JZTSILO,O,O,O,O,X,O
JZTSIOL,O,O,O,O,X,O
JZTSLIO,O,O,O,O,X,O
JZTSLOI,O,O,O,O,X,O
JZTSOIL,O,O,O,O,X,O
JZTSOLI,O,O,O,O,X,O
JZTOILS,O,O,O,X,X,X
JZTOISL,O,O,O,X,X,X
JZTOLIS,O,O,O,X,X,X
JZTOLSI,O,O,O,O,X,X
JZTOSIL,O,O,O,O,X,X
JZTOSLI,O,O,O,O,X,X
JZITLSO,O,O,O,O,X,X
JZITLOS,O,O,X,X,X,X
JZITSLO,O,O,O,O,X,X
JZITSOL,O,O,O,O,X,X
JZITOLS,O,O,X,X,X,X
JZITOSL,O,O,X,X,X,X
JZILTSO,O,O,O,O,X,X
JZILTOS,O,O,X,X,X,X
JZILSTO,O,X,O,O,X,X
JZILSOT,O,X,O,O,X,X
JZILOTS,O,O,O,X,X,X
JZILOST,O,X,O,X,X,X
JZISTLO,O,X,O,O,X,X
JZISTOL,O,X,O,O,X,X
JZISLTO,O,X,O,O,X,X
JZISLOT,O,X,O,O,X,X
JZISOTL,O,X,O,O,X,X
JZISOLT,O,X,O,O,X,X
JZIOTLS,O,O,O,X,X,X
JZIOTSL,O,O,O,X,X,X
JZIOLTS,O,O,O,X,X,X
JZIOLST,O,X,O,X,X,X
JZIOSTL,O,X,O,X,X,X
JZIOSLT,O,X,O,X,X,X
JZLTISO,O,O,O,O,X,O
JZLTIOS,O,O,X,X,X,X
JZLTSIO,O,O,O,O,X,O
JZLTSOI,O,O,O,O,X,O
JZLTOIS,O,O,O,X,X,X
JZLTOSI,O,O,O,O,X,X
JZLITSO,O,O,O,O,X,X
JZLITOS,O,O,X,X,X,X
JZLISTO,O,X,O,O,X,X
JZLISOT,O,X,O,O,X,X
JZLIOTS,O,O,O,X,X,X
JZLIOST,O,X,O,X,X,X
JZLSTIO,O,O,O,O,X,O
JZLSTOI,O,O,O,O,O,O
JZLSITO,O,X,O,O,X,O
JZLSIOT,O,X,O,O,X,O
JZLSOTI,O,O,O,O,O,O
JZLSOIT,O,X,O,O,O,O
JZLOTIS,O,O,O,X,X,X
