sequence,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB9nBTjBGlB0mBXtB,v115@RhC8AeA8EeG8BeA8Jei/IvhFUhBRiB9oBGlBXnBzsB,v115@RhC8AeA8EeG8BeA8Jei/IvhFRhB3iB9oBGlB0mBzsB,v115@RhC8AeA8EeG8BeA8JeT/IvhF/lBRhBGjB0mB6sBNtB
TZILSJO,X,O,O,X
TZILSOJ,X,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,X,O,O,X
TZIJLOS,X,X,X,X
TZIJSLO,X,X,O,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,O,X
TZISLOJ,X,X,X,X
TZISJLO,X,X,O,X
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,X
TZISOJL,X,X,X,X
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,X
TZLIJSO,X,O,X,X
TZLIJOS,X,X,X,X
TZLISJO,X,O,O,X
TZLISOJ,X,X,X,X
TZLIOJS,X,X,X,X
TZLIOSJ,X,X,X,X
TZLJISO,X,X,O,X
TZLJIOS,X,X,X,X
TZLJSIO,X,X,O,O
TZLJSOI,X,X,X,O
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,O
TZLSIJO,X,O,O,O
TZLSIOJ,X,X,X,O
TZLSJIO,X,X,O,O
TZLSJOI,X,X,X,O
TZLSOIJ,X,X,X,O
TZLSOJI,X,X,X,O
TZLOIJS,X,X,X,X
TZLOISJ,X,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,O
TZLOSIJ,X,X,X,O
TZLOSJI,X,X,X,O
TZJILSO,X,O,O,X
TZJILOS,X,X,X,X
TZJISLO,X,X,O,X
TZJISOL,X,X,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,O,O,X
TZJLIOS,X,X,X,X
TZJLSIO,X,O,O,X
TZJLSOI,X,O,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,O,O,X
TZJSIOL,X,X,X,O
TZJSLIO,X,O,O,X
TZJSLOI,X,O,X,X
TZJSOIL,X,X,X,O
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,O
TZJOSLI,X,X,X,X
TZSILJO,X,O,O,X
TZSILOJ,X,X,X,X
TZSIJLO,X,O,O,X
TZSIJOL,X,X,X,O
TZSIOLJ,X,X,X,X
TZSIOJL,X,X,X,O
TZSLIJO,X,O,O,O
TZSLIOJ,X,X,X,O
TZSLJIO,X,X,O,O
TZSLJOI,X,X,X,O
TZSLOIJ,X,X,X,O
TZSLOJI,X,X,X,O
TZSJILO,X,O,O,X
TZSJIOL,X,X,X,O
TZSJLIO,X,O,O,X
TZSJLOI,X,O,X,X
TZSJOIL,X,X,X,O
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,X
TZSOIJL,X,X,X,O
TZSOLIJ,X,X,X,O
TZSOLJI,X,X,X,O
TZSOJIL,X,X,X,O
TZSOJLI,X,X,X,X
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,O
TZOLSIJ,X,X,X,O
TZOLSJI,X,X,X,O
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,O
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,O
TZOSLIJ,X,X,X,O
TZOSLJI,X,X,X,O
TZOSJIL,X,X,X,O
TZOSJLI,X,X,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,X,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,X
TOIZLJS,X,X,X,X
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,X
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,X,X
TOLISZJ,X,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,X,O
TOLJSZI,X,X,X,O
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,O
TOLSIJZ,X,X,X,O
TOLSIZJ,X,X,X,X
TOLSJIZ,X,X,X,O
TOLSJZI,X,X,X,O
TOLSZIJ,X,X,X,O
TOLSZJI,X,X,X,O
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,O
TOLZSIJ,X,X,X,O
TOLZSJI,X,X,X,O
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,X,X,X
TOJISZL,X,X,X,X
TOJIZLS,X,X,X,X
TOJIZSL,X,X,X,X
TOJLISZ,X,X,X,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,X,X,O
TOJLSZI,X,X,X,O
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,O
TOJSILZ,X,X,X,O
TOJSIZL,X,X,X,O
TOJSLIZ,X,X,X,O
TOJSLZI,X,X,X,O
TOJSZIL,X,X,X,O
TOJSZLI,X,X,X,X
TOJZILS,X,X,X,X
TOJZISL,X,X,X,X
TOJZLIS,X,X,X,X
TOJZLSI,X,X,X,X
TOJZSIL,X,X,X,O
TOJZSLI,X,X,X,X
TOSILJZ,X,X,X,O
TOSILZJ,X,X,X,X
TOSIJLZ,X,X,X,O
TOSIJZL,X,X,X,O
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,X
TOSLIJZ,X,X,X,O
TOSLIZJ,X,X,X,X
TOSLJIZ,X,X,X,O
TOSLJZI,X,X,X,O
