sequence,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhF/mBRiBOpBi?nBlkBzsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpB6?sBlpBXsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoB0kB6?sBOpBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JecFJvhFThBZoBOpBX?nBlkB6sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBZoBOpB6?sB0pBFsB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeZEJvhFqkBTgB/mBF?iBmsB8sB,v115@GhA8IeA8CeB8DeA8AeF8BeA8JeTAJvhF/mBRiB1pBy?sBOpB0sB
TSJILZO,X,X,X,X,X,O,X
TSJILOZ,X,X,X,X,O,O,X
TSJIZLO,X,X,X,X,X,X,X
TSJIZOL,X,X,X,O,X,X,X
TSJIOLZ,X,X,X,X,O,X,X
TSJIOZL,X,X,X,O,X,X,X
TSJLIZO,O,X,X,X,X,O,O
TSJLIOZ,X,X,X,X,O,O,O
TSJLZIO,O,X,X,X,X,X,O
TSJLZOI,O,X,X,X,X,X,O
TSJLOIZ,X,X,X,X,O,O,O
TSJLOZI,X,X,X,X,X,X,O
TSJZILO,X,X,X,X,X,X,X
TSJZIOL,X,X,X,O,X,X,X
TSJZLIO,O,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X
TSJZOIL,X,X,X,O,X,X,X
TSJZOLI,O,X,X,X,X,X,X
TSJOILZ,X,X,X,X,O,X,X
TSJOIZL,X,X,X,O,X,X,X
TSJOLIZ,O,X,X,X,O,O,O
TSJOLZI,O,X,X,X,X,X,O
TSJOZIL,X,X,X,O,X,X,X
TSJOZLI,O,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X,X
TSZILOJ,X,X,O,X,X,X,X
TSZIJLO,X,X,X,X,X,X,X
TSZIJOL,X,X,X,O,X,X,X
TSZIOLJ,X,X,O,X,X,X,X
TSZIOJL,X,X,X,O,X,X,X
TSZLIJO,O,X,X,X,X,X,O
TSZLIOJ,X,X,O,X,X,X,O
TSZLJIO,O,X,X,X,X,X,O
TSZLJOI,O,X,X,X,X,X,O
TSZLOIJ,X,X,O,X,X,X,O
TSZLOJI,X,X,X,X,X,X,O
TSZJILO,X,X,X,X,X,X,X
TSZJIOL,X,X,X,O,X,X,X
TSZJLIO,O,X,X,X,X,X,X
TSZJLOI,O,X,X,X,X,X,X
TSZJOIL,X,X,X,O,X,X,X
TSZJOLI,O,X,X,X,X,X,X
TSZOILJ,X,X,O,X,X,X,X
TSZOIJL,X,X,X,O,X,X,X
TSZOLIJ,O,X,O,X,X,X,O
TSZOLJI,O,X,X,X,X,X,O
TSZOJIL,X,X,X,O,X,X,X
TSZOJLI,O,X,X,X,X,X,X
TSOILJZ,X,X,X,X,O,X,O
TSOILZJ,X,X,O,X,X,X,O
TSOIJLZ,X,X,X,X,O,X,X
TSOIJZL,X,X,X,O,X,X,X
TSOIZLJ,X,X,O,X,X,X,X
TSOIZJL,X,X,X,O,X,X,X
TSOLIJZ,O,X,X,X,O,O,O
TSOLIZJ,O,X,O,X,X,X,O
TSOLJIZ,O,X,X,X,O,O,O
TSOLJZI,O,X,X,X,X,X,O
TSOLZIJ,O,X,O,X,X,X,O
TSOLZJI,O,X,X,X,X,X,O
TSOJILZ,X,X,X,X,O,X,X
TSOJIZL,X,X,X,O,X,X,X
TSOJLIZ,O,X,X,X,O,O,O
TSOJLZI,O,X,X,X,X,X,O
TSOJZIL,X,X,X,O,X,X,X
TSOJZLI,O,X,X,X,X,X,X
TSOZILJ,X,X,O,X,X,X,X
TSOZIJL,X,X,X,O,X,X,X
TSOZLIJ,O,X,O,X,X,X,O
TSOZLJI,O,X,X,X,X,X,O
TSOZJIL,X,X,X,O,X,X,X
TSOZJLI,O,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X,X
TZILJOS,X,O,X,X,X,X,X
TZILSJO,X,X,X,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X
TZILOJS,X,O,X,X,X,X,X
TZILOSJ,X,X,O,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X
TZIJLOS,X,O,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X,X
TZIJSOL,X,X,X,O,X,X,X
TZIJOLS,X,O,X,X,X,X,X
TZIJOSL,X,X,X,O,X,X,X
TZISLJO,X,X,X,X,X,X,X
TZISLOJ,X,X,O,X,X,X,X
TZISJLO,X,X,X,X,X,X,X
TZISJOL,X,X,X,O,X,X,X
TZISOLJ,X,X,O,X,X,X,X
TZISOJL,X,X,X,O,X,X,X
TZIOLJS,X,O,X,X,X,X,X
TZIOLSJ,X,X,O,X,X,X,X
TZIOJLS,X,O,X,X,X,X,X
TZIOJSL,X,X,X,O,X,X,X
TZIOSLJ,X,X,O,X,X,X,X
TZIOSJL,X,X,X,O,X,X,X
TZLIJSO,X,X,X,X,X,X,X
TZLIJOS,X,O,X,X,X,X,X
TZLISJO,X,X,X,X,X,X,X
TZLISOJ,X,X,O,X,X,X,X
TZLIOJS,X,O,X,X,X,X,X
TZLIOSJ,X,X,O,X,X,X,X
TZLJISO,X,X,X,X,X,X,X
TZLJIOS,X,O,X,X,X,X,X
TZLJSIO,O,X,X,X,X,X,X
TZLJSOI,O,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X,X
TZLSIJO,O,X,X,X,X,X,O
TZLSIOJ,X,X,O,X,X,X,O
TZLSJIO,O,X,X,X,X,X,O
TZLSJOI,O,X,X,X,X,X,O
TZLSOIJ,X,X,O,X,X,X,O
TZLSOJI,X,X,X,X,X,X,O
TZLOIJS,X,O,X,X,X,X,X
TZLOISJ,X,X,O,X,X,X,X
TZLOJIS,X,O,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X,X
TZLOSIJ,X,X,O,X,X,X,O
TZLOSJI,X,X,X,X,X,X,O
TZJILSO,X,X,X,X,X,X,X
