sequence,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBOrB6sBzrB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBRiBcoBKrBzmB+sB,v115@HhA8IeD8EeE8DeB8Jel/IvhF3gBanBunBcoBTmBxwB
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,X,X,X
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,O
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,O
ITSZLOJ,X,X,X
ITSZJLO,X,X,O
ITSZJOL,X,X,O
ITSZOLJ,X,X,O
ITSZOJL,X,X,O
ITSOLJZ,X,X,X
ITSOLZJ,X,X,O
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,O
ITSOZJL,X,X,O
ITZLJSO,X,X,O
ITZLJOS,X,X,X
ITZLSJO,X,X,O
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,O
ITZJLOS,X,X,X
ITZJSLO,X,X,O
ITZJSOL,X,X,O
ITZJOLS,X,X,O
ITZJOSL,X,X,O
ITZSLJO,X,X,O
ITZSLOJ,X,X,X
ITZSJLO,X,X,O
ITZSJOL,X,X,O
ITZSOLJ,X,X,O
ITZSOJL,X,X,O
ITZOLJS,X,X,O
ITZOLSJ,X,X,O
ITZOJLS,X,X,O
ITZOJSL,X,X,O
ITZOSLJ,X,X,O
ITZOSJL,X,X,O
ITOLJSZ,X,X,X
ITOLJZS,X,X,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,O
ITOLZJS,X,X,O
ITOLZSJ,X,X,O
ITOJLSZ,X,X,X
ITOJLZS,X,X,X
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,O
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,O
ITOSZJL,X,X,O
ITOZLJS,X,X,O
ITOZLSJ,X,X,O
ITOZJLS,X,X,O
ITOZJSL,X,X,O
ITOZSLJ,X,X,O
ITOZSJL,X,X,O
ILTJSZO,X,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,X,X
ILTJOZS,X,X,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,O
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,X,X,O
ILTZJOS,X,X,X
ILTZSJO,X,X,O
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,X,X
ILTOJZS,X,X,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,X
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,X,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,X,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,X,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,O
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,X,X,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,X,X
ILSZTJO,X,X,O
ILSZTOJ,X,X,X
ILSZJTO,X,X,O
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,X,X
ILSOZTJ,X,X,X
ILSOZJT,X,X,X
ILZTJSO,X,X,O
ILZTJOS,X,X,X
ILZTSJO,X,X,O
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,O
ILZJTOS,X,X,X
ILZJSTO,X,X,O
