sequence,v115@EhC8IeA8CeA8EeE8DeB8Jex/IvhFlhBTkBilBXnB8s?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gBUiB2pBTmBys?BxwB,v115@EhC8IeA8CeA8EeE8DeB8Jel/IvhF3gB2pBxmB8sBas?BTrB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBxmB8sBzm?B2wB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhFRhB1pBmlBznBUs?B3rB,v115@EhC8IeA8CeA8EeE8DeB8Jei/IvhF3gB1pBTmBmnBUn?BxwB,v115@EhC8IeA8CeA8EeE8DeB8JeT/IvhFxgB2nBypB1rB3s?BUrB
LSIJTZO,O,O,X,X,X,X,O
LSIJTOZ,O,O,X,X,X,X,O
LSIJZTO,O,O,X,X,X,X,X
LSIJZOT,O,O,X,X,X,X,O
LSIJOTZ,X,O,X,X,X,X,O
LSIJOZT,X,O,X,X,X,X,O
LSIZTJO,O,O,X,X,X,X,X
LSIZTOJ,O,O,X,X,X,X,X
LSIZJTO,O,O,X,X,X,X,X
LSIZJOT,O,O,X,X,X,X,O
LSIZOTJ,O,O,X,X,X,X,X
LSIZOJT,X,O,X,X,X,X,O
LSIOTJZ,X,O,X,X,X,O,O
LSIOTZJ,X,O,X,X,X,O,O
LSIOJTZ,X,O,X,X,X,O,O
LSIOJZT,X,O,X,X,X,X,O
LSIOZTJ,X,O,X,X,X,X,X
LSIOZJT,X,O,X,X,X,X,O
LSJTIZO,O,O,X,O,X,X,O
LSJTIOZ,O,O,X,X,X,X,O
LSJTZIO,X,O,O,O,X,X,O
LSJTZOI,X,O,O,O,X,X,O
LSJTOIZ,O,X,X,X,X,X,O
LSJTOZI,X,O,O,O,X,X,O
LSJITZO,O,O,X,X,X,X,O
LSJITOZ,O,O,X,X,X,X,O
LSJIZTO,O,O,X,X,X,X,X
LSJIZOT,O,O,X,X,X,X,O
LSJIOTZ,X,O,X,X,X,X,O
LSJIOZT,X,O,X,X,X,X,O
LSJZTIO,O,O,O,O,X,X,O
LSJZTOI,O,O,O,O,X,X,O
LSJZITO,O,O,O,O,X,X,X
LSJZIOT,O,X,X,X,X,X,O
LSJZOTI,O,O,O,X,X,X,O
LSJZOIT,O,X,O,X,X,X,O
LSJOTIZ,O,X,X,X,X,X,O
LSJOTZI,X,O,O,X,X,X,O
LSJOITZ,O,X,X,X,X,X,O
LSJOIZT,O,X,X,X,X,X,O
LSJOZTI,O,O,O,X,X,X,O
LSJOZIT,O,X,O,X,X,X,O
LSZTIJO,O,O,X,O,X,X,O
LSZTIOJ,O,O,X,O,X,X,O
LSZTJIO,O,O,X,O,X,X,O
LSZTJOI,O,O,X,O,X,X,O
LSZTOIJ,O,O,X,O,X,X,O
LSZTOJI,O,O,X,O,X,X,O
LSZITJO,O,O,X,O,X,X,X
LSZITOJ,O,O,X,O,X,X,X
LSZIJTO,O,O,O,X,X,X,X
LSZIJOT,O,X,X,X,X,X,O
LSZIOTJ,O,X,X,X,X,X,X
LSZIOJT,O,X,X,X,X,X,O
LSZJTIO,O,O,O,O,X,X,O
LSZJTOI,O,O,O,O,X,X,O
LSZJITO,O,O,O,O,X,X,X
LSZJIOT,O,X,X,X,X,X,O
LSZJOTI,O,O,O,X,X,X,O
LSZJOIT,O,X,O,X,X,X,O
LSZOTIJ,O,O,X,X,X,X,O
LSZOTJI,O,O,X,X,X,X,O
LSZOITJ,O,X,X,X,X,X,X
LSZOIJT,O,X,O,X,X,X,O
LSZOJTI,O,O,O,X,X,X,O
LSZOJIT,O,X,O,X,X,X,O
LSOTIJZ,O,X,X,X,X,X,O
LSOTIZJ,O,X,X,X,X,X,O
LSOTJIZ,X,X,X,X,X,X,O
LSOTJZI,X,X,X,X,X,X,O
LSOTZIJ,X,O,X,X,X,X,O
LSOTZJI,X,O,X,X,X,X,O
LSOITJZ,O,X,X,X,X,X,O
LSOITZJ,O,X,X,X,X,X,O
LSOIJTZ,O,X,X,X,X,X,O
LSOIJZT,O,X,X,X,X,X,O
LSOIZTJ,O,X,X,X,X,X,X
LSOIZJT,O,X,X,X,X,X,O
LSOJTIZ,O,X,X,X,X,X,O
LSOJTZI,X,O,O,X,X,X,O
LSOJITZ,O,X,X,X,X,X,O
LSOJIZT,O,X,X,X,X,X,O
LSOJZTI,O,O,O,X,X,X,O
LSOJZIT,O,X,O,X,X,X,O
LSOZTIJ,O,O,X,X,X,X,O
LSOZTJI,O,O,X,X,X,X,O
LSOZITJ,O,X,X,X,X,X,X
LSOZIJT,O,X,O,X,X,X,O
LSOZJTI,O,O,O,X,X,X,O
LSOZJIT,O,X,O,X,X,X,O
LZTIJSO,O,X,X,O,X,X,X
LZTIJOS,O,X,X,O,X,X,X
LZTISJO,O,X,X,O,X,X,X
LZTISOJ,O,X,X,O,X,X,X
LZTIOJS,O,X,X,X,X,X,X
LZTIOSJ,O,X,X,O,X,X,X
LZTJISO,O,O,X,O,O,X,X
LZTJIOS,O,O,X,O,O,X,X
LZTJSIO,O,O,X,O,O,X,X
LZTJSOI,O,O,X,O,X,X,X
LZTJOIS,O,O,X,O,O,X,X
LZTJOSI,O,O,X,O,X,X,X
LZTSIJO,O,O,X,O,X,X,X
LZTSIOJ,O,O,X,O,X,X,X
LZTSJIO,O,O,X,O,X,X,X
LZTSJOI,O,O,X,O,X,X,X
LZTSOIJ,O,O,X,O,X,X,X
LZTSOJI,O,O,X,O,X,X,X
LZTOIJS,O,X,X,X,X,X,X
LZTOISJ,O,X,X,O,X,X,X
LZTOJIS,O,X,X,O,X,X,X
LZTOJSI,O,X,X,O,X,X,X
LZTOSIJ,O,X,X,O,X,X,X
LZTOSJI,O,X,X,O,X,X,X
LZITJSO,O,X,X,O,X,X,X
LZITJOS,O,X,X,X,X,X,X
LZITSJO,O,X,X,O,X,X,X
LZITSOJ,O,X,X,O,X,X,X
LZITOJS,O,X,X,X,X,X,X
LZITOSJ,O,X,X,O,X,X,X
LZIJTSO,O,O,O,X,X,X,X
LZIJTOS,O,O,X,X,X,X,X
LZIJSTO,O,O,O,X,X,X,X
LZIJSOT,O,X,X,X,X,X,X
LZIJOTS,O,X,X,X,X,X,X
LZIJOST,O,X,X,X,X,X,X
LZISTJO,O,O,X,O,X,X,X
LZISTOJ,O,O,X,O,X,X,X
LZISJTO,O,O,O,X,X,X,X
LZISJOT,O,X,X,X,X,X,X
LZISOTJ,O,X,X,X,X,X,X
LZISOJT,O,X,X,X,X,X,X
LZIOTJS,O,X,X,X,X,X,X
LZIOTSJ,O,X,X,X,X,X,X
LZIOJTS,O,X,X,X,X,X,X
LZIOJST,O,X,X,X,X,X,X
LZIOSTJ,O,X,X,X,X,X,X
LZIOSJT,O,X,X,X,X,X,X
LZJTISO,O,O,O,O,O,X,X
LZJTIOS,O,O,X,O,O,X,X
LZJTSIO,O,O,O,O,O,X,X
LZJTSOI,O,O,O,O,X,X,X
LZJTOIS,O,O,O,O,O,X,X
LZJTOSI,O,O,O,O,X,X,X
LZJITSO,O,O,O,O,O,X,X
LZJITOS,O,O,X,O,O,X,X
LZJISTO,O,O,O,O,X,X,X
LZJISOT,O,X,X,X,X,X,X
LZJIOTS,O,X,X,X,X,X,X
LZJIOST,O,X,X,X,X,X,X
LZJSTIO,O,O,O,O,X,X,X
LZJSTOI,O,O,O,O,X,X,X
LZJSITO,O,O,O,O,X,X,X
LZJSIOT,O,X,X,X,X,X,X
LZJSOTI,O,O,O,X,X,X,X
LZJSOIT,O,X,O,X,X,X,X
LZJOTIS,O,O,O,X,X,X,X
LZJOTSI,O,O,O,X,X,X,X
LZJOITS,O,X,O,X,X,X,X
LZJOIST,O,X,O,X,X,X,X
LZJOSTI,O,O,O,X,X,X,X
LZJOSIT,O,X,O,X,X,X,X
LZSTIJO,O,O,X,O,X,X,O
LZSTIOJ,O,O,X,O,X,X,O
LZSTJIO,O,O,X,O,X,X,O
LZSTJOI,O,O,X,O,X,X,O
LZSTOIJ,O,O,X,O,X,X,O
LZSTOJI,O,O,X,O,X,X,O
LZSITJO,O,O,X,O,X,X,X
LZSITOJ,O,O,X,O,X,X,X
LZSIJTO,O,O,O,X,X,X,X
LZSIJOT,O,X,X,X,X,X,O
LZSIOTJ,O,X,X,X,X,X,X
LZSIOJT,O,X,X,X,X,X,O
LZSJTIO,O,O,O,O,X,X,O
LZSJTOI,O,O,O,O,X,X,O
LZSJITO,O,O,O,O,X,X,X
LZSJIOT,O,X,X,X,X,X,O
LZSJOTI,O,O,O,X,X,X,O
LZSJOIT,O,X,O,X,X,X,O
LZSOTIJ,O,O,X,X,X,X,O
LZSOTJI,O,O,X,X,X,X,O
LZSOITJ,O,X,X,X,X,X,X
LZSOIJT,O,X,O,X,X,X,O
LZSOJTI,O,O,O,X,X,X,O
LZSOJIT,O,X,O,X,X,X,O
LZOTIJS,O,X,X,X,X,X,X
LZOTISJ,O,X,X,X,X,X,X
LZOTJIS,O,X,X,X,X,X,X
LZOTJSI,O,X,X,X,X,X,X
LZOTSIJ,O,X,X,X,X,X,X
LZOTSJI,O,X,X,X,X,X,X
LZOITJS,O,X,X,X,X,X,X
LZOITSJ,O,X,X,X,X,X,X
LZOIJTS,O,X,O,X,X,X,X
LZOIJST,O,X,O,X,X,X,X
LZOISTJ,O,X,X,X,X,X,X
LZOISJT,O,X,O,X,X,X,X
LZOJTIS,O,O,O,X,X,X,X
LZOJTSI,O,O,O,X,X,X,X
LZOJITS,O,X,O,X,X,X,X
LZOJIST,O,X,O,X,X,X,X
LZOJSTI,O,O,O,X,X,X,X
LZOJSIT,O,X,O,X,X,X,X
LZOSTIJ,O,O,X,X,X,X,O
LZOSTJI,O,O,X,X,X,X,O
LZOSITJ,O,X,X,X,X,X,X
LZOSIJT,O,X,O,X,X,X,O
LZOSJTI,O,O,O,X,X,X,O
LZOSJIT,O,X,O,X,X,X,O
LOTIJSZ,O,X,X,X,O,X,X
LOTIJZS,O,X,X,X,O,X,X
LOTISJZ,O,X,X,X,X,X,X
LOTISZJ,O,X,X,X,X,X,X
LOTIZJS,O,X,X,X,X,X,X
LOTIZSJ,O,X,X,X,X,X,X
LOTJISZ,O,X,X,X,O,X,X
LOTJIZS,O,X,X,X,O,X,X
LOTJSIZ,O,X,X,X,O,X,X
LOTJSZI,X,X,X,X,O,X,X
LOTJZIS,O,X,X,X,O,X,X
LOTJZSI,O,X,X,X,O,X,X
LOTSIJZ,O,X,X,X,X,X,O
LOTSIZJ,O,X,X,X,X,X,O
LOTSJIZ,X,X,X,X,O,X,O
LOTSJZI,X,X,X,X,O,X,O
LOTSZIJ,X,X,X,X,X,X,O
LOTSZJI,X,X,X,X,X,X,O
LOTZIJS,O,X,X,X,X,X,X
LOTZISJ,O,X,X,X,X,X,X
LOTZJIS,O,X,X,X,O,X,X
LOTZJSI,O,X,X,X,O,X,X
LOTZSIJ,O,X,X,X,X,X,X
LOTZSJI,O,X,X,X,X,X,X
LOITJSZ,O,X,X,X,X,X,X
LOITJZS,O,X,X,X,X,X,X
LOITSJZ,O,X,X,X,X,X,X
LOITSZJ,O,X,X,X,X,X,X
LOITZJS,O,X,X,X,X,X,X
LOITZSJ,O,X,X,X,X,X,X
LOIJTSZ,O,X,X,X,X,X,X
LOIJTZS,O,X,X,X,X,X,X
LOIJSTZ,O,X,X,X,X,X,X
LOIJSZT,O,X,X,X,X,X,X
LOIJZTS,O,X,X,X,X,X,X
LOIJZST,O,X,X,X,X,X,X
LOISTJZ,O,X,X,X,X,X,O
LOISTZJ,O,X,X,X,X,X,O
LOISJTZ,O,X,X,X,X,X,O
LOISJZT,O,X,X,X,X,X,O
LOISZTJ,O,X,X,X,X,X,X
LOISZJT,O,X,X,X,X,X,O
LOIZTJS,O,X,X,X,X,X,X
LOIZTSJ,O,X,X,X,X,X,X
LOIZJTS,O,X,X,X,X,X,X
LOIZJST,O,X,X,X,X,X,X
LOIZSTJ,O,X,X,X,X,X,X
LOIZSJT,O,X,X,X,X,X,X
LOJTISZ,O,O,X,X,O,X,X
LOJTIZS,O,O,X,X,O,X,X
LOJTSIZ,O,X,X,X,O,X,X
LOJTSZI,X,O,O,X,O,X,X
LOJTZIS,O,O,O,X,O,X,X
LOJTZSI,O,O,O,X,O,X,X
LOJITSZ,O,X,X,X,O,X,X
LOJITZS,O,X,X,X,O,X,X
LOJISTZ,O,X,X,X,X,X,X
LOJISZT,O,X,X,X,X,X,X
LOJIZTS,O,X,X,X,X,X,X
LOJIZST,O,X,X,X,X,X,X
LOJSTIZ,O,X,X,X,X,X,O
LOJSTZI,X,O,O,X,X,X,O
LOJSITZ,O,X,X,X,X,X,O
LOJSIZT,O,X,X,X,X,X,O
LOJSZTI,O,O,O,X,X,X,O
LOJSZIT,O,X,O,X,X,X,O
LOJZTIS,O,O,O,X,O,X,X
LOJZTSI,O,O,O,X,O,X,X
LOJZITS,O,X,O,X,O,X,X
LOJZIST,O,X,O,X,X,X,X
LOJZSTI,O,O,O,X,X,X,X
LOJZSIT,O,X,O,X,X,X,X
LOSTIJZ,O,X,X,X,X,X,O
LOSTIZJ,O,X,X,X,X,X,O
LOSTJIZ,X,X,X,X,X,X,O
LOSTJZI,X,X,X,X,X,X,O
LOSTZIJ,X,O,X,X,X,X,O
LOSTZJI,X,O,X,X,X,X,O
LOSITJZ,O,X,X,X,X,X,O
LOSITZJ,O,X,X,X,X,X,O
LOSIJTZ,O,X,X,X,X,X,O
LOSIJZT,O,X,X,X,X,X,O
LOSIZTJ,O,X,X,X,X,X,X
LOSIZJT,O,X,X,X,X,X,O
LOSJTIZ,O,X,X,X,X,X,O
LOSJTZI,X,O,O,X,X,X,O
LOSJITZ,O,X,X,X,X,X,O
LOSJIZT,O,X,X,X,X,X,O
LOSJZTI,O,O,O,X,X,X,O
LOSJZIT,O,X,O,X,X,X,O
LOSZTIJ,O,O,X,X,X,X,O
LOSZTJI,O,O,X,X,X,X,O
LOSZITJ,O,X,X,X,X,X,X
LOSZIJT,O,X,O,X,X,X,O
LOSZJTI,O,O,O,X,X,X,O
LOSZJIT,O,X,O,X,X,X,O
LOZTIJS,O,X,X,X,X,X,X
LOZTISJ,O,X,X,X,X,X,X
LOZTJIS,O,X,X,X,O,X,X
LOZTJSI,O,X,X,X,O,X,X
LOZTSIJ,O,X,X,X,X,X,X
LOZTSJI,O,X,X,X,X,X,X
LOZITJS,O,X,X,X,X,X,X
LOZITSJ,O,X,X,X,X,X,X
LOZIJTS,O,X,O,X,X,X,X
LOZIJST,O,X,O,X,X,X,X
LOZISTJ,O,X,X,X,X,X,X
LOZISJT,O,X,O,X,X,X,X
LOZJTIS,O,O,O,X,O,X,X
LOZJTSI,O,O,O,X,O,X,X
LOZJITS,O,X,O,X,O,X,X
LOZJIST,O,X,O,X,X,X,X
LOZJSTI,O,O,O,X,X,X,X
LOZJSIT,O,X,O,X,X,X,X
LOZSTIJ,O,O,X,X,X,X,O
LOZSTJI,O,O,X,X,X,X,O
LOZSITJ,O,X,X,X,X,X,X
LOZSIJT,O,X,O,X,X,X,O
LOZSJTI,O,O,O,X,X,X,O
LOZSJIT,O,X,O,X,X,X,O
JTILSZO,X,O,X,O,O,X,X
JTILSOZ,X,O,X,X,O,O,X
JTILZSO,X,O,X,O,O,X,X
JTILZOS,X,O,X,O,O,O,X
JTILOSZ,X,O,X,X,O,O,X
JTILOZS,X,O,X,X,O,O,X
JTISLZO,X,O,X,O,O,X,X
JTISLOZ,X,O,X,X,O,O,X
JTISZLO,X,O,O,O,X,X,X
JTISZOL,X,O,O,O,X,X,X
JTISOLZ,X,O,X,X,X,O,X
JTISOZL,X,O,O,X,X,O,X
JTIZLSO,X,O,O,O,O,X,X
JTIZLOS,X,O,X,O,O,O,X
JTIZSLO,X,O,O,O,O,X,X
JTIZSOL,X,O,O,O,X,X,X
JTIZOLS,X,O,O,O,O,O,X
JTIZOSL,X,O,O,O,X,O,X
JTIOLSZ,X,O,X,X,O,O,X
JTIOLZS,X,O,X,X,O,O,X
JTIOSLZ,X,O,X,X,O,O,X
JTIOSZL,X,O,O,X,X,O,X
JTIOZLS,X,O,O,X,O,O,X
JTIOZSL,X,O,O,X,O,O,X
JTLISZO,O,O,X,O,O,X,X
JTLISOZ,O,O,X,X,O,O,X
JTLIZSO,O,O,X,O,O,X,X
JTLIZOS,O,O,X,O,O,O,X
JTLIOSZ,O,O,X,X,O,O,X
JTLIOZS,O,O,X,X,O,O,X
JTLSIZO,O,O,X,O,O,X,X
JTLSIOZ,O,O,X,X,O,O,X
JTLSZIO,X,O,O,O,O,X,X
JTLSZOI,X,O,O,O,X,X,X
JTLSOIZ,O,X,X,X,O,X,X
JTLSOZI,X,O,O,O,O,X,X
JTLZISO,O,O,O,O,O,X,X
JTLZIOS,O,O,X,O,O,O,X
JTLZSIO,O,O,O,O,O,X,X
JTLZSOI,O,O,O,O,X,X,X
JTLZOIS,O,O,O,O,O,X,X
JTLZOSI,O,O,O,O,O,X,X
JTLOISZ,O,O,X,X,O,O,X
JTLOIZS,O,O,X,X,O,O,X
JTLOSIZ,O,X,X,X,O,X,X
JTLOSZI,X,O,O,O,O,X,X
JTLOZIS,O,O,O,O,O,X,X
JTLOZSI,O,O,O,O,O,X,X
JTSILZO,X,O,X,O,O,X,X
JTSILOZ,X,O,X,X,O,O,X
JTSIZLO,X,O,O,O,X,X,X
JTSIZOL,X,O,O,O,X,X,X
JTSIOLZ,X,O,X,X,X,O,X
JTSIOZL,X,O,O,X,X,O,X
JTSLIZO,X,O,X,O,O,X,X
JTSLIOZ,X,O,X,X,O,O,X
JTSLZIO,X,O,O,O,O,X,X
JTSLZOI,X,O,O,O,X,X,X
JTSLOIZ,X,X,X,X,O,X,X
JTSLOZI,X,O,O,O,O,X,X
JTSZILO,X,O,O,O,O,X,X
JTSZIOL,X,O,O,O,X,X,X
JTSZLIO,X,O,O,O,O,X,X
JTSZLOI,X,O,O,O,X,X,X
JTSZOIL,X,X,O,O,X,X,X
JTSZOLI,X,X,O,O,X,X,X
JTSOILZ,X,O,X,X,O,X,X
JTSOIZL,X,O,O,X,X,X,X
JTSOLIZ,X,X,X,X,O,X,X
JTSOLZI,X,O,O,O,O,X,X
JTSOZIL,X,X,O,O,O,X,X
JTSOZLI,X,X,O,O,O,X,X
JTZILSO,X,O,O,O,O,X,X
JTZILOS,X,O,X,O,O,O,X
JTZISLO,X,O,O,O,O,X,X
JTZISOL,X,O,O,O,X,X,X
JTZIOLS,X,O,O,O,O,O,X
JTZIOSL,X,O,O,O,X,O,X
JTZLISO,O,O,O,O,O,X,X
JTZLIOS,O,O,X,O,O,O,X
JTZLSIO,O,O,O,O,O,X,X
JTZLSOI,O,O,O,O,X,X,X
JTZLOIS,O,O,O,O,O,X,X
JTZLOSI,O,O,O,O,O,X,X
JTZSILO,O,O,O,O,O,X,X
JTZSIOL,O,O,O,O,X,X,X
JTZSLIO,O,O,O,O,O,X,X
JTZSLOI,O,O,O,O,X,X,X
JTZSOIL,O,X,O,O,X,X,X
JTZSOLI,O,X,O,O,X,X,X
JTZOILS,O,X,O,O,O,X,X
JTZOISL,O,X,O,O,O,X,X
JTZOLIS,O,X,O,O,O,X,X
JTZOLSI,O,X,O,O,O,X,X
JTZOSIL,O,X,O,O,O,X,X
JTZOSLI,O,X,O,O,O,X,X
JTOILSZ,O,O,X,X,O,O,X
JTOILZS,O,O,X,X,O,O,X
JTOISLZ,X,O,X,X,O,O,X
JTOISZL,X,O,O,X,X,O,X
JTOIZLS,O,O,O,X,O,O,X
JTOIZSL,O,O,O,X,O,O,X
JTOLISZ,O,O,X,X,O,O,X
JTOLIZS,O,O,X,X,O,O,X
JTOLSIZ,O,X,X,X,O,X,X
JTOLSZI,X,O,O,O,O,X,X
JTOLZIS,O,O,O,O,O,X,X
JTOLZSI,O,O,O,O,O,X,X
JTOSILZ,X,O,X,X,O,X,X
JTOSIZL,X,O,O,X,X,X,X
JTOSLIZ,X,X,X,X,O,X,X
JTOSLZI,X,O,O,O,O,X,X
JTOSZIL,X,X,O,O,O,X,X
JTOSZLI,X,X,O,O,O,X,X
JTOZILS,O,X,O,O,O,X,X
JTOZISL,O,X,O,O,O,X,X
JTOZLIS,O,X,O,O,O,X,X
JTOZLSI,O,X,O,O,O,X,X
JTOZSIL,O,X,O,O,O,X,X
JTOZSLI,O,X,O,O,O,X,X
JITLSZO,X,O,X,O,O,X,X
JITLSOZ,X,O,X,X,O,O,X
JITLZSO,X,O,X,O,O,X,X
JITLZOS,X,O,X,O,O,O,X
JITLOSZ,X,O,X,X,O,O,X
JITLOZS,X,O,X,X,O,O,X
JITSLZO,X,O,X,O,O,X,X
JITSLOZ,X,O,X,X,O,O,X
JITSZLO,X,O,O,O,X,X,X
JITSZOL,X,O,O,O,X,X,X
JITSOLZ,X,O,X,X,X,O,X
JITSOZL,X,O,O,X,X,O,X
JITZLSO,X,O,O,O,O,X,X
JITZLOS,X,O,X,O,O,O,X
JITZSLO,X,O,O,O,O,X,X
JITZSOL,X,O,O,O,X,X,X
JITZOLS,X,O,O,O,O,O,X
JITZOSL,X,O,O,O,X,O,X
JITOLSZ,X,O,X,X,O,O,X
JITOLZS,X,O,X,X,O,O,X
JITOSLZ,X,O,X,X,O,O,X
JITOSZL,X,O,O,X,X,O,X
JITOZLS,X,O,O,X,O,O,X
JITOZSL,X,O,O,X,O,O,X
JILTSZO,O,O,X,X,O,X,X
JILTSOZ,O,O,X,X,O,O,X
JILTZSO,O,O,X,X,O,X,X
JILTZOS,O,O,X,X,O,O,X
JILTOSZ,O,O,X,X,O,O,X
JILTOZS,O,O,X,X,O,O,X
JILSTZO,O,O,X,X,X,X,X
JILSTOZ,O,O,X,X,X,X,X
JILSZTO,O,O,X,X,X,X,X
JILSZOT,O,O,X,X,X,X,X
JILSOTZ,X,O,X,X,X,X,X
JILSOZT,X,O,X,X,X,X,X
JILZTSO,O,O,X,X,X,X,X
JILZTOS,O,O,X,X,X,X,X
JILZSTO,O,O,X,X,X,X,X
JILZSOT,O,O,X,X,X,X,X
JILZOTS,O,O,X,X,X,X,X
JILZOST,O,O,X,X,X,X,X
JILOTSZ,O,O,X,X,X,O,X
JILOTZS,O,O,X,X,X,O,X
JILOSTZ,O,O,X,X,X,O,X
JILOSZT,O,O,X,X,X,X,X
JILOZTS,O,O,X,X,X,X,X
JILOZST,O,O,X,X,X,X,X
JISTLZO,X,O,X,O,O,X,X
JISTLOZ,X,O,X,X,O,O,X
JISTZLO,X,O,O,O,X,X,X
JISTZOL,X,O,O,O,X,X,X
JISTOLZ,X,O,X,X,X,O,X
JISTOZL,X,O,O,X,X,O,X
JISLTZO,X,O,X,X,X,X,X
JISLTOZ,X,O,X,X,X,X,X
JISLZTO,X,O,X,X,X,X,X
JISLZOT,X,O,X,X,X,X,X
JISLOTZ,X,O,X,X,X,X,X
JISLOZT,X,O,X,X,X,X,X
JISZTLO,X,O,O,O,X,X,X
JISZTOL,X,O,O,O,X,X,X
JISZLTO,X,O,O,O,X,X,X
JISZLOT,X,O,X,X,X,X,X
JISZOTL,X,O,O,O,X,X,X
JISZOLT,X,O,O,X,X,X,X
JISOTLZ,X,O,X,X,X,O,X
JISOTZL,X,O,O,X,X,O,X
JISOLTZ,X,O,X,X,X,O,X
JISOLZT,X,O,X,X,X,X,X
JISOZTL,X,O,O,X,X,O,X
JISOZLT,X,O,O,X,X,X,X
JIZTLSO,X,O,O,O,O,X,X
JIZTLOS,X,O,X,O,O,O,X
JIZTSLO,X,O,O,O,O,X,X
JIZTSOL,X,O,O,O,X,X,X
JIZTOLS,X,O,O,O,O,O,X
JIZTOSL,X,O,O,O,X,O,X
JIZLTSO,O,O,O,O,O,X,X
JIZLTOS,O,O,X,O,O,X,X
JIZLSTO,O,O,O,O,X,X,X
JIZLSOT,O,O,X,X,X,X,X
JIZLOTS,O,O,X,X,X,X,X
JIZLOST,O,O,X,X,X,X,X
JIZSTLO,O,O,O,O,O,X,X
JIZSTOL,O,O,O,O,X,X,X
JIZSLTO,O,O,O,O,X,X,X
JIZSLOT,O,O,X,X,X,X,X
JIZSOTL,O,O,O,O,X,X,X
JIZSOLT,O,O,O,X,X,X,X
JIZOTLS,O,O,O,O,O,O,X
JIZOTSL,O,O,O,O,X,O,X
JIZOLTS,O,O,O,X,X,X,X
JIZOLST,O,O,O,X,X,X,X
JIZOSTL,O,O,O,O,X,O,X
JIZOSLT,O,O,O,X,X,X,X
JIOTLSZ,O,O,X,X,O,O,X
JIOTLZS,O,O,X,X,O,O,X
JIOTSLZ,X,O,X,X,O,O,X
JIOTSZL,X,O,O,X,X,O,X
JIOTZLS,O,O,O,X,O,O,X
JIOTZSL,O,O,O,X,O,O,X
JIOLTSZ,O,O,X,X,O,O,X
JIOLTZS,O,O,X,X,O,O,X
JIOLSTZ,O,O,X,X,X,O,X
JIOLSZT,O,O,X,X,X,X,X
JIOLZTS,O,O,X,X,X,X,X
JIOLZST,O,O,X,X,X,X,X
JIOSTLZ,X,O,X,X,O,O,X
JIOSTZL,X,O,O,X,X,O,X
JIOSLTZ,O,O,X,X,X,O,X
JIOSLZT,O,O,X,X,X,X,X
JIOSZTL,O,O,O,X,X,O,X
JIOSZLT,O,O,O,X,X,X,X
JIOZTLS,O,O,O,X,O,O,X
JIOZTSL,O,O,O,X,O,O,X
JIOZLTS,O,O,O,X,O,X,X
JIOZLST,O,O,O,X,X,X,X
JIOZSTL,O,O,O,X,O,O,X
JIOZSLT,O,O,O,X,X,X,X
JLTISZO,O,O,X,O,O,X,X
JLTISOZ,O,O,X,X,O,O,X
JLTIZSO,O,O,X,O,O,X,X
JLTIZOS,O,O,X,O,O,O,X
JLTIOSZ,O,O,X,X,O,O,X
JLTIOZS,O,O,X,X,O,O,X
JLTSIZO,O,O,X,O,O,X,X
JLTSIOZ,O,O,X,X,O,O,X
JLTSZIO,X,O,O,O,O,X,X
JLTSZOI,X,O,O,O,X,X,X
JLTSOIZ,O,X,X,X,O,X,X
JLTSOZI,X,O,O,O,O,X,X
JLTZISO,O,O,O,O,O,X,X
JLTZIOS,O,O,X,O,O,O,X
JLTZSIO,O,O,O,O,O,X,X
JLTZSOI,O,O,O,O,X,X,X
JLTZOIS,O,O,O,O,O,X,X
JLTZOSI,O,O,O,O,O,X,X
JLTOISZ,O,O,X,X,O,O,X
JLTOIZS,O,O,X,X,O,O,X
JLTOSIZ,O,X,X,X,O,X,X
JLTOSZI,X,O,O,O,O,X,X
JLTOZIS,O,O,O,O,O,X,X
JLTOZSI,O,O,O,O,O,X,X
JLITSZO,O,O,X,X,O,X,X
JLITSOZ,O,O,X,X,O,O,X
JLITZSO,O,O,X,X,O,X,X
JLITZOS,O,O,X,X,O,O,X
JLITOSZ,O,O,X,X,O,O,X
JLITOZS,O,O,X,X,O,O,X
JLISTZO,O,O,X,X,X,X,X
JLISTOZ,O,O,X,X,X,X,X
JLISZTO,O,O,X,X,X,X,X
JLISZOT,O,O,X,X,X,X,X
JLISOTZ,X,O,X,X,X,X,X
JLISOZT,X,O,X,X,X,X,X
JLIZTSO,O,O,X,X,X,X,X
JLIZTOS,O,O,X,X,X,X,X
JLIZSTO,O,O,X,X,X,X,X
JLIZSOT,O,O,X,X,X,X,X
JLIZOTS,O,O,X,X,X,X,X
JLIZOST,O,O,X,X,X,X,X
JLIOTSZ,O,O,X,X,X,O,X
JLIOTZS,O,O,X,X,X,O,X
JLIOSTZ,O,O,X,X,X,O,X
JLIOSZT,O,O,X,X,X,X,X
JLIOZTS,O,O,X,X,X,X,X
JLIOZST,O,O,X,X,X,X,X
JLSTIZO,O,O,X,O,X,X,O
JLSTIOZ,O,O,X,X,X,X,O
JLSTZIO,X,O,O,O,X,X,O
JLSTZOI,X,O,O,O,X,X,O
