sequence,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFUgBliB?3mBTqBarBWxB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFFgB3iB?UmBTqBWxBirB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFUgBzhB?yqB1wBusB3qB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgBliB?3mB0qBaqBWxB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFFgBihB?cqBXrBusBzrB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgB3iB?+rBlqBaqBUsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgBUiB?+rBlqBaqB3sB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFVmBUiB?KqBGlBTrB3sB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFVmB3iB?KqBGlBTrBUsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhF3gBzhB?yqB1wBusBUqB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFzgB+mB?0qBaqBXsBlsB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFymBTlB?XrBusBFqB0rB,v115@GhA8AeA8FeB8AeA8DeD8AeA8FeB8JeZEJvhFWnB3lB?0rBaqBzqBlsB
ISJLOZT,X,X,X,X,X,X,X,X,X,X,X,O,X
ISJZTLO,X,X,X,O,O,O,O,X,X,X,X,X,O
ISJZTOL,X,X,X,O,O,O,O,X,X,X,X,X,X
ISJZLTO,X,X,X,O,O,X,X,X,X,X,X,X,O
ISJZLOT,X,X,X,O,O,X,X,X,X,X,X,X,O
ISJZOTL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISJZOLT,X,X,X,O,O,X,X,X,X,X,X,X,O
ISJOTLZ,O,X,X,X,X,O,X,X,O,X,X,O,X
ISJOTZL,O,O,X,X,X,O,X,X,X,X,X,X,X
ISJOLTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,O,X
ISJOZTL,O,O,X,X,X,X,X,X,X,X,X,X,X
ISJOZLT,O,O,X,X,X,X,X,X,X,X,X,O,X
ISZTLJO,X,X,O,O,O,X,X,X,X,X,X,X,O
ISZTLOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZTJLO,X,X,X,O,O,X,X,X,X,X,X,X,O
ISZTJOL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZTOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X
ISZTOJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ISZLTJO,X,X,X,O,O,X,X,X,X,X,X,X,O
ISZLTOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
ISZLJTO,X,X,X,O,O,X,X,X,X,X,X,X,O
ISZLJOT,X,X,X,O,O,X,X,X,X,X,X,X,O
ISZLOTJ,X,X,X,O,O,X,X,O,O,X,X,X,X
ISZLOJT,X,X,X,O,O,X,X,X,X,X,X,O,O
ISZJTLO,X,X,X,O,O,O,O,X,X,X,O,X,O
ISZJTOL,X,X,X,O,O,O,O,X,X,X,O,X,X
ISZJLTO,X,X,X,O,O,X,X,X,X,X,O,X,O
ISZJLOT,X,X,X,O,O,X,X,X,X,X,O,X,O
ISZJOTL,X,X,X,O,O,X,X,X,X,X,O,X,X
ISZJOLT,X,X,X,O,O,X,X,X,X,X,O,X,O
ISZOTLJ,O,O,X,O,O,X,X,O,O,X,X,X,X
ISZOTJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,O,O,X,X,O,O,X,X,X,X
ISZOLJT,O,O,X,O,O,X,X,X,X,X,X,O,O
ISZOJTL,O,O,X,O,O,X,X,X,X,X,O,X,X
ISZOJLT,O,O,X,O,O,X,X,X,X,X,O,O,O
ISOTLJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
ISOTLZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISOTJZL,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOTZLJ,O,O,O,O,X,X,X,O,O,X,X,X,X
ISOTZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISOLTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,O,X
ISOLZTJ,O,O,X,X,O,X,X,O,O,X,X,X,X
ISOLZJT,O,O,X,X,O,X,X,X,X,X,X,O,X
ISOJTLZ,O,X,X,X,X,O,X,X,O,X,X,O,X
ISOJTZL,O,O,X,X,X,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,O,X
ISOJZTL,O,O,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,O,X,X,X,X,X,X,X,X,X,O,X
ISOZTLJ,O,O,X,O,O,X,X,O,O,X,X,X,X
ISOZTJL,O,O,X,O,O,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,X,O,O,X,X,O,O,X,X,X,X
ISOZLJT,O,O,X,O,O,X,X,X,X,X,X,O,X
ISOZJTL,O,O,X,O,O,X,X,X,X,X,X,X,X
ISOZJLT,O,O,X,O,O,X,X,X,X,X,X,O,X
IZTLJSO,X,X,O,X,X,X,X,X,X,O,X,X,X
IZTLJOS,X,X,O,X,X,X,X,X,X,O,X,X,X
IZTLSJO,X,X,O,O,O,X,X,X,X,O,X,X,X
IZTLSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
IZTLOJS,X,X,O,X,X,X,X,O,X,O,X,X,X
IZTLOSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
IZTJLSO,X,X,O,X,X,O,O,X,X,X,O,X,X
IZTJLOS,X,X,O,X,X,O,O,X,X,X,O,X,X
IZTJSLO,X,X,X,O,O,O,O,X,X,X,O,X,O
IZTJSOL,X,X,X,O,O,O,O,X,X,X,O,X,X
IZTJOLS,X,X,O,X,X,O,O,X,X,X,O,X,X
IZTJOSL,O,X,X,X,X,O,O,X,X,X,O,X,X
IZTSLJO,X,X,O,O,O,X,X,X,X,X,X,X,O
IZTSLOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTSJLO,X,X,X,O,O,X,X,X,X,X,X,X,O
IZTSJOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IZTOLJS,X,O,O,X,X,X,X,O,X,O,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,O,X,O,X,X,X
IZTOJLS,X,O,O,X,X,O,O,O,X,X,O,X,X
IZTOJSL,O,O,X,X,X,O,O,X,X,X,O,X,X
IZTOSLJ,O,O,O,O,O,X,X,O,X,X,X,X,X
IZTOSJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IZLTJSO,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTJOS,X,X,O,X,X,X,X,X,X,X,X,X,X
IZLTSJO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZLTSOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZLTOJS,X,X,O,X,X,X,X,O,X,X,X,X,X
IZLTOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X
IZLJTSO,X,X,X,X,X,X,O,X,X,X,O,X,X
IZLJTOS,X,X,X,X,X,X,O,X,X,X,O,X,X
IZLJSTO,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLJSOT,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLJOTS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLJOST,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSTJO,X,X,X,O,O,X,X,X,X,X,X,X,O
IZLSTOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZLSJTO,X,X,X,O,O,X,X,X,X,X,X,X,O
IZLSJOT,X,X,X,O,O,X,X,X,X,X,X,X,O
IZLSOTJ,X,X,X,O,O,X,X,O,O,X,X,X,X
IZLSOJT,X,X,X,O,O,X,X,X,X,X,X,O,O
IZLOTJS,X,X,X,X,X,X,X,O,X,X,X,X,X
IZLOTSJ,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLOJTS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOJST,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLOSTJ,O,X,X,X,X,X,X,O,O,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,O,X,X,O,O,X,X,X,O,X,X
IZJTLOS,X,X,O,X,X,O,O,X,X,X,O,X,X
IZJTSLO,X,X,X,O,O,O,O,X,X,X,O,X,O
IZJTSOL,X,X,X,O,O,O,O,X,X,X,O,X,X
IZJTOLS,X,X,O,X,X,O,O,X,X,X,O,X,X
IZJTOSL,O,X,X,X,X,O,O,X,X,X,O,X,X
IZJLTSO,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJLTOS,X,X,X,X,X,X,O,X,X,X,O,X,X
IZJLSTO,X,X,X,X,X,X,X,X,X,X,O,X,O
IZJLSOT,X,X,X,X,X,X,X,X,X,X,O,X,O
IZJLOTS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSTLO,X,X,X,O,O,O,O,X,X,X,O,X,O
IZJSTOL,X,X,X,O,O,O,O,X,X,X,O,X,X
IZJSLTO,X,X,X,O,O,X,X,X,X,X,O,X,O
IZJSLOT,X,X,X,O,O,X,X,X,X,X,O,X,O
IZJSOTL,X,X,X,O,O,X,X,X,X,X,O,X,X
IZJSOLT,X,X,X,O,O,X,X,X,X,X,O,X,O
IZJOTLS,X,X,X,X,X,X,O,O,X,X,O,X,X
IZJOTSL,O,X,X,X,X,X,O,X,X,X,O,X,X
IZJOLTS,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJOSTL,O,X,X,X,X,X,X,X,X,X,O,X,X
IZJOSLT,O,X,X,X,X,X,X,X,X,X,O,X,O
IZSTLJO,X,X,O,O,O,X,X,X,X,X,X,X,O
IZSTLOJ,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSTJLO,X,X,X,O,O,X,X,X,X,X,X,X,O
IZSTJOL,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,O,O,X,X,X,X,X,X,X,X
IZSTOJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IZSLTJO,X,X,X,O,O,X,X,X,X,X,X,X,O
IZSLTOJ,X,X,X,O,O,X,X,X,X,X,X,X,X
IZSLJTO,X,X,X,O,O,X,X,X,X,X,X,X,O
IZSLJOT,X,X,X,O,O,X,X,X,X,X,X,X,O
IZSLOTJ,X,X,X,O,O,X,X,O,O,X,X,X,X
IZSLOJT,X,X,X,O,O,X,X,X,X,X,X,O,O
IZSJTLO,X,X,X,O,O,O,O,X,X,X,O,X,O
IZSJTOL,X,X,X,O,O,O,O,X,X,X,O,X,X
IZSJLTO,X,X,X,O,O,X,X,X,X,X,O,X,O
IZSJLOT,X,X,X,O,O,X,X,X,X,X,O,X,O
IZSJOTL,X,X,X,O,O,X,X,X,X,X,O,X,X
IZSJOLT,X,X,X,O,O,X,X,X,X,X,O,X,O
IZSOTLJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IZSOTJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IZSOLJT,O,O,X,O,O,X,X,X,X,X,X,O,O
IZSOJTL,O,O,X,O,O,X,X,X,X,X,O,X,X
IZSOJLT,O,O,X,O,O,X,X,X,X,X,O,O,O
IZOTLJS,X,O,O,X,X,X,X,O,X,O,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IZOTJLS,X,O,O,X,X,X,X,O,X,X,O,X,X
IZOTJSL,O,O,X,X,X,X,X,X,X,X,O,X,X
IZOTSLJ,O,O,O,O,O,X,X,O,O,X,X,X,X
IZOTSJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IZOLTJS,X,O,X,X,X,X,X,O,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IZOLJTS,X,O,X,X,X,X,X,O,X,X,O,X,X
IZOLJST,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOLSTJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IZOLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,O,X,X,X,X,O,O,X,X,O,X,X
IZOJTSL,O,O,X,X,X,X,O,X,X,X,O,X,X
IZOJLTS,X,O,X,X,X,X,X,O,X,X,O,X,X
IZOJLST,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOJSTL,O,O,X,X,X,X,X,X,X,X,O,X,X
IZOJSLT,O,O,X,X,X,X,X,X,X,X,O,X,O
IZOSTLJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IZOSTJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IZOSLJT,O,O,X,O,O,X,X,X,X,X,X,X,O
IZOSJTL,O,O,X,O,O,X,X,X,X,X,O,X,X
IZOSJLT,O,O,X,O,O,X,X,X,X,X,O,X,O
IOTLJSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
IOTLJZS,X,X,O,X,X,O,O,O,X,O,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
IOTLSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOTLZJS,X,O,O,X,X,X,X,O,X,O,X,X,X
IOTLZSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOTJLSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
IOTJLZS,X,X,O,X,X,O,O,O,X,O,X,X,X
IOTJSLZ,O,X,X,X,X,O,O,X,O,X,X,X,X
IOTJSZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTJZLS,X,O,O,X,X,O,O,O,X,X,X,X,X
IOTJZSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTSLJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
IOTSLZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOTSJLZ,O,X,X,X,X,O,O,X,O,X,X,X,X
IOTSJZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTSZLJ,O,O,O,O,X,X,X,O,O,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,X,O,O,X,X,X,X,O,X,O,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOTZJLS,X,O,O,X,X,O,O,O,X,X,X,X,X
IOTZJSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IOTZSLJ,O,O,O,O,O,X,X,O,O,X,X,X,X
IOTZSJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,O,X,X,X,X,X,O,O,X,X,X
IOLTJZS,X,X,O,X,X,X,X,O,X,O,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
IOLTSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOLTZJS,X,O,O,X,X,X,X,O,X,O,X,X,X
IOLTZSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IOLSTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,O,X
IOLSZTJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOLSZJT,O,O,X,X,X,X,X,X,X,X,X,O,X
IOLZTJS,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOLZJTS,X,O,X,X,X,X,X,O,X,X,X,X,X
IOLZJST,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOLZSJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
IOJTLZS,X,X,O,X,X,O,O,O,X,O,X,X,X
IOJTSLZ,O,X,X,X,X,O,O,X,O,X,X,X,X
IOJTSZL,O,O,X,X,X,O,O,X,X,X,X,X,X
IOJTZLS,X,O,O,X,X,O,O,O,X,X,X,X,X
IOJTZSL,O,O,X,X,X,O,O,X,X,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJSTZL,O,O,X,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZLT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,X,X,O,O,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,O,X,X,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,O,X,X,X,X,X
IOJZLST,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,X,X,X,X,X,X,X,X,O
IOSTLJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
IOSTLZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IOSTJZL,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,O,X,X,X,O,O,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IOSLTZJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,O,X
IOSLZTJ,O,O,X,X,O,X,X,O,O,X,X,X,X
IOSLZJT,O,O,X,X,O,X,X,X,X,X,X,O,X
IOSJTLZ,O,X,X,X,X,O,X,X,O,X,X,O,X
IOSJTZL,O,O,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,O,X,X,O,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X,O,X
IOSJZTL,O,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,O,X,X,X,X,X,X,X,X,X,O,X
IOSZTLJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IOSZTJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IOSZLJT,O,O,X,O,O,X,X,X,X,X,X,O,X
IOSZJTL,O,O,X,O,O,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,O,O,X,X,X,X,X,X,O,X
IOZTLJS,X,O,O,X,X,X,X,O,X,O,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
IOZTJLS,X,O,O,X,X,X,X,O,X,X,O,X,X
IOZTJSL,O,O,X,X,X,X,X,X,X,X,O,X,X
IOZTSLJ,O,O,O,O,O,X,X,O,O,X,X,X,X
IOZTSJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IOZLTJS,X,O,X,X,X,X,X,O,X,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOZLJTS,X,O,X,X,X,X,X,O,X,X,O,X,X
IOZLJST,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZLSTJ,O,O,X,X,X,X,X,O,O,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,O,X,X,X,X,O,O,X,X,O,X,X
IOZJTSL,O,O,X,X,X,X,O,X,X,X,O,X,X
IOZJLTS,X,O,X,X,X,X,X,O,X,X,O,X,X
IOZJLST,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZJSTL,O,O,X,X,X,X,X,X,X,X,O,X,X
IOZJSLT,O,O,X,X,X,X,X,X,X,X,O,X,O
IOZSTLJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IOZSTJL,O,O,X,O,O,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,X,O,O,X,X,O,O,X,X,X,X
IOZSLJT,O,O,X,O,O,X,X,X,X,X,X,X,O
IOZSJTL,O,O,X,O,O,X,X,X,X,X,O,X,X
IOZSJLT,O,O,X,O,O,X,X,X,X,X,O,X,O
LTIJSZO,X,X,O,X,X,O,O,X,X,O,X,X,X
LTIJSOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
LTIJZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
LTIJZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
LTIJOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
LTIJOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
LTISJZO,X,X,O,X,X,X,X,X,X,O,X,X,X
LTISJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
LTISZJO,X,X,O,O,X,X,X,X,X,O,X,X,X
LTISZOJ,X,X,O,O,X,X,X,X,X,O,X,X,X
LTISOJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
LTISOZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
LTIZJSO,X,X,O,X,X,X,X,X,X,O,X,X,X
LTIZJOS,X,X,O,X,X,X,X,X,X,O,X,X,X
LTIZSJO,X,X,O,O,O,X,X,X,X,O,X,X,X
LTIZSOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
LTIZOJS,X,X,O,X,X,X,X,O,X,O,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
LTIOJSZ,X,X,O,X,X,O,O,X,O,O,X,X,X
LTIOJZS,X,X,O,X,X,O,O,O,X,O,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,X,O,O,X,X,X
LTIOSZJ,O,O,O,X,X,X,X,O,O,O,X,X,X
LTIOZJS,X,O,O,X,X,X,X,O,X,O,X,X,X
LTIOZSJ,O,O,O,X,X,X,X,O,O,O,X,X,X
LTJISZO,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJISOZ,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJIZSO,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJIZOS,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJIOSZ,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJIOZS,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJSIZO,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJSIOZ,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZIOS,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJOIZS,X,X,O,X,X,O,O,X,X,O,X,X,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,O,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,O,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJZO,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSIJOZ,X,X,O,X,X,X,X,X,X,O,X,X,X
LTSIZJO,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSIZOJ,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSIOJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
LTSIOZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
LTSJIZO,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSJIOZ,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSJZIO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSJOZI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSZIOJ,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSZJIO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,O,O,X,X,X,X,X,O,X,X,X
LTSZOJI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,X,X,O,O,X,O,X
LTSOIZJ,O,O,O,X,X,X,X,X,O,O,X,X,X
LTSOJIZ,X,X,X,X,X,X,X,X,O,O,X,X,X
LTSOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,X,X,X,X,O,O,X,X,X
LTSOZJI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZIJOS,X,X,O,X,X,X,X,X,X,O,X,X,X
LTZISJO,X,X,O,O,O,X,X,X,X,O,X,X,X
LTZISOJ,X,X,O,O,O,X,X,X,X,O,X,X,X
LTZIOJS,X,X,O,X,X,X,X,O,X,O,X,X,X
LTZIOSJ,O,X,O,X,X,X,X,O,X,O,X,X,X
LTZJISO,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJIOS,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,X,X,O,O,O,X,X,X,X,O,X,X,X
