sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TZLSIJO,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,O,X
TZLOISJ,X,X,X,X,X,X
TZLOJIS,X,X,X,X,O,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X
TZJILOS,X,X,X,X,O,X
TZJISLO,X,X,X,O,X,X
TZJISOL,X,X,X,O,X,X
TZJIOLS,X,X,X,X,O,X
TZJIOSL,X,X,X,O,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,X,X,O,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,X,X,X,O,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,X,X,X,O,X,X
TZJSIOL,X,X,X,O,X,X
TZJSLIO,X,X,X,O,X,X
TZJSLOI,X,X,X,O,X,X
TZJSOIL,X,X,X,O,X,X
TZJSOLI,X,X,X,O,X,X
TZJOILS,X,X,X,X,O,X
TZJOISL,X,X,X,O,X,X
TZJOLIS,X,X,X,X,O,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,X,X,X,O,X,X
TZJOSLI,X,X,X,O,X,X
TZSILJO,X,O,X,O,X,X
TZSILOJ,X,O,X,O,X,X
TZSIJLO,X,X,X,O,X,X
TZSIJOL,X,X,X,O,X,X
TZSIOLJ,X,O,X,O,X,X
TZSIOJL,X,X,X,O,X,X
TZSLIJO,X,O,X,O,X,X
TZSLIOJ,X,O,X,O,X,X
TZSLJIO,X,O,X,O,X,X
TZSLJOI,X,O,X,O,X,X
TZSLOIJ,X,O,X,O,X,X
TZSLOJI,X,O,X,O,X,X
TZSJILO,X,X,X,O,X,X
TZSJIOL,X,X,X,O,X,X
TZSJLIO,X,X,X,O,X,X
TZSJLOI,X,X,X,O,X,X
TZSJOIL,X,X,X,O,X,X
TZSJOLI,X,X,X,O,X,X
TZSOILJ,X,O,X,O,X,X
TZSOIJL,X,X,X,O,X,X
TZSOLIJ,X,O,X,O,X,X
TZSOLJI,X,O,X,O,X,X
TZSOJIL,X,X,X,O,X,X
TZSOJLI,X,X,X,O,X,X
TZOILJS,X,X,X,X,O,X
TZOILSJ,X,X,X,X,X,X
TZOIJLS,X,X,X,X,O,X
TZOIJSL,X,X,X,O,X,X
TZOISLJ,X,O,X,O,X,X
TZOISJL,X,X,X,O,X,X
TZOLIJS,X,X,X,X,O,X
TZOLISJ,X,X,X,X,X,X
TZOLJIS,X,X,X,X,O,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X
TZOJILS,X,X,X,X,O,X
TZOJISL,X,X,X,O,X,X
TZOJLIS,X,X,X,X,O,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,X,X,X,O,X,X
TZOJSLI,X,X,X,O,X,X
TZOSILJ,X,O,X,O,X,X
TZOSIJL,X,X,X,O,X,X
TZOSLIJ,X,O,X,O,X,X
TZOSLJI,X,O,X,O,X,X
