sequence,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBXjB9tB0sBOsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFUhBXjByrB9tBGnBRxB,v115@/gA8IeB8FeD8FeE8OeT/IvhFGhBaoB5oB/rB0sBNsB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rB3sBCsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB2rBUtBCsB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBNnBGtBctB3sB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhBtnBmmB0rBXtB6tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBisBGsBUtB,v115@/gA8IeB8FeD8FeE8OeT/IvhFRhB9oB/rBasBUtBusB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamBRiBurBcsBXtB9tB,v115@/gA8IeB8FeD8FeE8OeT/IvhFamB5mBGjB/tB0sBNsB
IOTLZSJ,O,O,X,X,X,X,X,X,X,X,O
IOTJLSZ,X,O,X,X,X,O,X,X,X,X,X
IOTJLZS,O,O,X,X,X,O,X,X,X,X,X
IOTJSLZ,X,O,X,O,X,O,X,X,X,X,X
IOTJSZL,X,O,X,O,X,X,X,X,X,X,X
IOTJZLS,O,O,X,X,O,O,X,X,X,X,X
IOTJZSL,O,O,X,X,O,X,X,X,X,X,X
IOTSLJZ,X,O,X,X,X,X,X,O,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,O,O,X,O
IOTSJLZ,X,O,X,X,X,X,X,X,X,X,X
IOTSJZL,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,X,X,X,X,X,X,O
IOTSZJL,O,O,X,X,X,X,O,X,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,X,X,X,O
IOTZJLS,O,O,X,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,X,X,X,O,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,X,X,X,O
IOTZSJL,O,O,X,X,X,X,O,X,X,X,X
IOLTJSZ,X,O,X,X,X,O,X,X,X,X,X
IOLTJZS,O,O,X,X,X,O,X,X,X,X,X
IOLTSJZ,X,O,X,X,X,X,X,O,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,O,X,X,O
IOLTZJS,O,O,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,X,X,X,X,X,X,X,O
IOLJTSZ,X,O,X,X,X,O,X,X,X,X,X
IOLJTZS,O,O,X,X,X,O,X,X,X,X,X
IOLJSTZ,X,X,X,O,X,O,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,X,X,X,O
IOLJZTS,O,O,X,X,O,O,X,X,X,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,O,O
IOLSTJZ,X,O,X,X,X,X,X,O,X,X,X
IOLSTZJ,O,O,X,X,X,X,X,O,O,X,O
IOLSJTZ,X,X,X,X,X,O,X,O,X,X,X
IOLSJZT,X,X,X,X,X,X,X,X,O,X,O
IOLSZTJ,O,O,O,X,X,X,X,O,O,X,O
IOLSZJT,X,X,O,X,X,X,O,X,O,O,O
IOLZTJS,O,O,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,O,X,X,X,X,X,X,X,O
IOLZJTS,O,O,X,X,X,O,X,X,X,X,X
IOLZJST,X,X,O,X,X,X,O,X,X,O,O
IOLZSTJ,O,O,O,X,X,X,X,X,X,X,O
IOLZSJT,X,X,O,X,X,X,O,X,X,O,O
IOJTLSZ,X,O,X,X,X,O,X,X,X,X,X
IOJTLZS,O,O,X,X,X,O,X,X,X,X,X
IOJTSLZ,X,O,X,O,X,O,X,X,X,X,X
IOJTSZL,X,O,X,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,X,O,O,X,X,X,X,X
IOJTZSL,O,O,X,X,O,X,X,X,X,X,X
IOJLTSZ,X,O,X,X,X,O,X,X,X,X,X
IOJLTZS,O,O,X,X,X,O,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,O,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,X,X,X,O
IOJLZTS,O,O,X,X,O,O,X,X,X,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,O,O
IOJSTLZ,X,X,X,O,X,O,X,X,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,X,X,O,X,O,X,O,X,X,X
IOJSLZT,X,X,X,X,X,X,X,X,O,X,O
IOJSZTL,X,X,X,O,O,X,O,X,X,X,X
IOJSZLT,X,X,O,X,X,X,O,X,X,X,O
IOJZTLS,O,O,X,X,O,O,X,X,X,X,X
IOJZTSL,O,O,X,X,O,X,O,X,X,X,X
IOJZLTS,O,O,X,X,O,O,X,X,X,X,X
IOJZLST,X,X,O,X,X,X,O,X,X,O,O
IOJZSTL,X,X,X,O,O,X,O,X,X,X,X
IOJZSLT,X,X,O,X,X,X,O,X,X,O,O
IOSTLJZ,X,O,X,X,X,X,X,O,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,O,O,X,O
IOSTJLZ,X,O,X,O,X,X,X,X,X,X,X
IOSTJZL,X,O,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,O,O,X,X,X,X,X,X,X,O
IOSTZJL,O,O,X,X,X,X,O,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,X,O,X,X,X
IOSLTZJ,O,O,X,X,X,X,X,O,O,X,O
IOSLJTZ,X,X,X,X,X,O,X,O,X,X,X
IOSLJZT,X,X,X,X,X,X,X,X,O,X,O
IOSLZTJ,O,O,O,X,X,X,X,O,O,X,O
IOSLZJT,X,X,O,X,X,X,O,X,O,O,O
IOSJTLZ,X,X,X,O,X,O,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,O,X,O,X,O,X,X,X
IOSJLZT,X,X,X,X,X,X,X,X,O,X,O
IOSJZTL,X,X,X,O,O,X,O,X,X,X,X
IOSJZLT,X,X,O,X,X,X,O,X,X,X,O
IOSZTLJ,O,O,O,X,X,X,X,X,O,X,O
IOSZTJL,O,O,X,X,X,X,O,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X,O,O,X,O
IOSZLJT,X,X,O,X,X,X,O,X,O,O,O
IOSZJTL,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,X,X,O,X,X,X,O,X,X,O,O
IOZTLJS,O,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X,X,X,O
IOZTJLS,O,O,X,X,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,O,X,O,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,X,O,X,O
IOZTSJL,O,O,X,X,X,X,O,X,X,X,X
IOZLTJS,O,O,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,X,X,X,X,O
IOZLJTS,O,O,X,X,X,O,X,X,X,X,X
IOZLJST,X,X,O,X,X,X,O,X,X,O,O
IOZLSTJ,O,O,O,X,X,X,X,X,X,X,O
IOZLSJT,X,X,O,X,X,X,O,X,X,O,O
IOZJTLS,O,O,X,X,O,O,X,X,X,X,X
IOZJTSL,O,O,X,X,O,X,O,X,X,X,X
IOZJLTS,O,O,X,X,O,O,X,X,X,X,X
IOZJLST,X,X,O,X,X,X,O,X,X,O,O
IOZJSTL,X,X,X,O,O,X,O,X,X,X,X
IOZJSLT,X,X,O,X,X,X,O,X,X,O,O
IOZSTLJ,O,O,O,X,X,X,X,X,O,X,O
IOZSTJL,O,O,X,X,X,X,O,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,X,O,O,X,O
IOZSLJT,X,X,O,X,X,X,O,X,O,O,O
IOZSJTL,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,X,X,O,X,X,X,O,X,X,O,O
LTIJSZO,X,O,X,X,X,O,X,X,X,X,X
LTIJSOZ,X,O,X,X,X,O,X,X,X,X,X
LTIJZSO,O,O,X,X,X,O,X,X,X,X,X
LTIJZOS,O,O,X,X,X,O,X,X,X,X,X
LTIJOSZ,X,O,X,X,X,O,X,X,X,X,X
LTIJOZS,O,O,X,X,X,O,X,X,X,X,X
LTISJZO,X,O,X,X,X,X,X,O,X,X,X
LTISJOZ,X,O,X,X,X,X,X,O,X,X,X
LTISZJO,O,O,X,X,X,X,X,O,X,X,O
LTISZOJ,O,O,X,X,X,X,X,O,X,X,O
LTISOJZ,X,O,X,X,X,X,X,O,X,X,X
LTISOZJ,O,O,X,X,X,X,X,O,X,X,O
LTIZJSO,O,O,X,X,X,X,X,X,X,X,X
LTIZJOS,O,O,X,X,X,X,X,X,X,X,X
LTIZSJO,O,O,X,X,X,X,X,X,X,X,O
LTIZSOJ,O,O,X,X,X,X,X,X,X,X,O
LTIZOJS,O,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,O,X,X,X,X,X,X,X,X,O
LTIOJSZ,X,O,X,X,X,O,X,X,X,X,X
LTIOJZS,O,O,X,X,X,O,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,X,O,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,O,X,X,O
LTIOZJS,O,O,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,X,X,X,X,X,X,X,X,O
LTJISZO,X,X,X,X,X,O,X,X,X,X,X
LTJISOZ,X,X,X,X,X,O,X,X,X,X,X
LTJIZSO,O,X,X,X,X,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,X
LTJIOZS,O,X,X,X,X,O,X,X,X,X,X
LTJSIZO,X,X,X,X,X,O,X,O,X,X,X
LTJSIOZ,X,X,X,X,X,O,X,O,X,X,X
LTJSZIO,O,X,X,X,X,X,X,O,X,X,X
LTJSZOI,O,O,X,X,X,X,X,O,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,O,X,X,X
LTJSOZI,O,O,X,X,X,X,X,O,X,X,X
LTJZISO,O,X,X,X,X,O,X,X,X,X,X
LTJZIOS,O,X,X,X,X,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,X,X,X,X,O,X
LTJZSOI,O,O,X,X,X,X,X,X,X,O,X
LTJZOIS,O,X,X,X,X,O,X,X,X,X,X
LTJZOSI,O,O,X,X,X,X,X,X,X,O,X
LTJOISZ,X,X,X,X,X,O,X,X,X,X,X
LTJOIZS,O,X,X,X,X,O,X,X,X,X,X
LTJOSIZ,X,X,X,X,X,O,X,O,X,X,X
LTJOSZI,O,O,X,X,X,X,X,O,X,X,X
LTJOZIS,O,X,X,X,X,O,X,X,X,X,X
LTJOZSI,O,O,X,X,X,X,X,X,X,O,X
LTSIJZO,X,O,X,X,X,X,X,O,X,X,X
LTSIJOZ,X,O,X,X,X,X,X,O,X,X,X
LTSIZJO,O,O,X,X,X,X,X,O,X,X,O
LTSIZOJ,O,O,X,X,X,X,X,O,X,X,O
LTSIOJZ,X,O,X,X,X,X,X,O,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,O,X,X,O
LTSJIZO,X,X,X,X,X,X,X,O,X,X,X
LTSJIOZ,X,X,X,X,X,X,X,O,X,X,X
LTSJZIO,O,X,X,X,X,X,X,O,X,X,X
LTSJZOI,O,O,X,X,X,X,X,O,X,X,X
LTSJOIZ,X,X,X,X,X,X,X,O,X,X,X
LTSJOZI,O,O,X,X,X,X,X,O,X,X,X
LTSZIJO,O,X,X,X,X,X,X,O,X,X,O
LTSZIOJ,O,O,X,X,X,X,X,O,X,X,O
LTSZJIO,O,X,X,X,X,X,X,O,X,O,X
LTSZJOI,O,O,X,X,X,X,X,O,X,O,X
LTSZOIJ,O,O,X,X,X,X,X,O,X,X,O
LTSZOJI,O,O,X,X,X,X,X,O,X,O,X
LTSOIJZ,X,O,X,X,X,X,X,O,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,O,X,X,O
LTSOJIZ,X,X,X,X,X,X,X,O,X,X,X
LTSOJZI,O,O,X,X,X,X,X,O,X,X,X
LTSOZIJ,O,O,X,X,X,X,X,O,X,X,O
LTSOZJI,O,O,X,X,X,X,X,O,X,O,X
LTZIJSO,O,O,X,X,X,X,X,X,X,X,X
LTZIJOS,O,O,X,X,X,X,X,X,X,X,X
LTZISJO,O,O,X,X,X,X,X,X,X,X,O
LTZISOJ,O,O,X,X,X,X,X,X,X,X,O
LTZIOJS,O,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,O,X,X,X,X,X,X,X,X,O
LTZJISO,O,X,X,X,X,X,X,X,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X,X,X
LTZJSIO,O,X,X,X,X,X,X,X,X,O,X
LTZJSOI,O,O,X,X,X,X,X,X,X,O,X
LTZJOIS,O,X,X,X,X,X,X,X,X,X,X
LTZJOSI,O,O,X,X,X,X,X,X,X,O,X
LTZSIJO,O,X,X,X,X,X,X,O,X,X,O
LTZSIOJ,O,O,X,X,X,X,X,O,X,X,O
LTZSJIO,O,X,X,X,X,X,X,O,X,O,X
LTZSJOI,O,O,X,X,X,X,X,O,X,O,X
LTZSOIJ,O,O,X,X,X,X,X,O,X,X,O
LTZSOJI,O,O,X,X,X,X,X,O,X,O,X
LTZOIJS,O,O,X,X,X,X,X,X,X,X,X
LTZOISJ,O,O,X,X,X,X,X,X,X,X,O
LTZOJIS,O,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,O,X,X,X,X,X,X,X,O,X
LTZOSIJ,O,O,X,X,X,X,X,O,X,X,O
LTZOSJI,O,O,X,X,X,X,X,O,X,O,X
LTOIJSZ,X,O,X,X,X,O,X,X,X,X,X
LTOIJZS,O,O,X,X,X,O,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X,O,X,X,X
LTOISZJ,O,O,X,X,X,X,X,O,X,X,O
LTOIZJS,O,O,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,X,X,X,X,X,X,X,O
LTOJISZ,X,X,X,X,X,O,X,X,X,X,X
LTOJIZS,O,X,X,X,X,O,X,X,X,X,X
LTOJSIZ,X,X,X,X,X,O,X,O,X,X,X
LTOJSZI,O,O,X,X,X,X,X,O,X,X,X
LTOJZIS,O,X,X,X,X,O,X,X,X,X,X
LTOJZSI,O,O,X,X,X,X,X,X,X,O,X
LTOSIJZ,X,O,X,X,X,X,X,O,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,O,X,X,O
LTOSJIZ,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,O,O,X,X,X,X,X,O,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,O,X,X,O
LTOSZJI,O,O,X,X,X,X,X,O,X,O,X
LTOZIJS,O,O,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,X,X,X,X,X,X,X,O
LTOZJIS,O,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,O,X,X,X,X,X,X,X,O,X
LTOZSIJ,O,O,X,X,X,X,X,O,X,X,O
LTOZSJI,O,O,X,X,X,X,X,O,X,O,X
LITJSZO,X,O,X,X,X,O,X,X,X,X,X
LITJSOZ,X,O,X,X,X,O,X,X,X,X,X
LITJZSO,O,O,X,X,X,O,X,X,X,X,X
LITJZOS,O,O,X,X,X,O,X,X,X,X,X
LITJOSZ,X,O,X,X,X,O,X,X,X,X,X
LITJOZS,O,O,X,X,X,O,X,X,X,X,X
LITSJZO,X,O,X,X,X,X,X,O,X,X,X
LITSJOZ,X,O,X,X,X,X,X,O,X,X,X
LITSZJO,O,O,X,X,X,X,X,O,X,X,O
LITSZOJ,O,O,X,X,X,X,X,O,X,X,O
LITSOJZ,X,O,X,X,X,X,X,O,X,X,X
LITSOZJ,O,O,X,X,X,X,X,O,X,X,O
LITZJSO,O,O,X,X,X,X,X,X,X,X,X
LITZJOS,O,O,X,X,X,X,X,X,X,X,X
LITZSJO,O,O,X,X,X,X,X,X,X,X,O
LITZSOJ,O,O,X,X,X,X,X,X,X,X,O
LITZOJS,O,O,X,X,X,X,X,X,X,X,X
LITZOSJ,O,O,X,X,X,X,X,X,X,X,O
LITOJSZ,X,O,X,X,X,O,X,X,X,X,X
LITOJZS,O,O,X,X,X,O,X,X,X,X,X
LITOSJZ,X,O,X,X,X,X,X,O,X,X,X
LITOSZJ,O,O,X,X,X,X,X,O,X,X,O
LITOZJS,O,O,X,X,X,X,X,X,X,X,X
LITOZSJ,O,O,X,X,X,X,X,X,X,X,O
LIJTSZO,X,O,X,X,X,O,X,X,X,X,X
LIJTSOZ,X,O,X,X,X,O,X,X,X,X,X
LIJTZSO,O,O,X,X,X,O,X,X,X,X,X
LIJTZOS,O,O,X,X,X,O,X,X,X,X,X
LIJTOSZ,X,O,X,X,X,O,X,X,X,X,X
LIJTOZS,O,O,X,X,X,O,X,X,X,X,X
LIJSTZO,X,X,X,O,X,O,X,X,X,X,X
LIJSTOZ,X,X,X,O,X,O,X,X,X,X,X
LIJSZTO,X,X,X,X,X,X,X,X,X,X,O
LIJSZOT,X,X,X,X,X,X,X,X,X,X,O
LIJSOTZ,X,X,X,O,X,O,X,X,X,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,O
LIJZTSO,O,O,X,X,O,O,X,X,X,X,X
LIJZTOS,O,O,X,X,O,O,X,X,X,X,X
LIJZSTO,X,X,X,X,X,X,X,X,X,O,O
LIJZSOT,X,X,X,X,X,X,X,X,X,O,O
LIJZOTS,O,O,X,X,O,O,X,X,X,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,O,O
LIJOTSZ,X,O,X,X,X,O,X,X,X,X,X
LIJOTZS,O,O,X,X,X,O,X,X,X,X,X
LIJOSTZ,X,X,X,O,X,O,X,X,X,X,X
LIJOSZT,X,X,X,X,X,X,X,X,X,X,O
LIJOZTS,O,O,X,X,O,O,X,X,X,X,X
LIJOZST,X,X,X,X,X,X,X,X,X,O,O
LISTJZO,X,O,X,X,X,X,X,O,X,X,X
LISTJOZ,X,O,X,X,X,X,X,O,X,X,X
LISTZJO,O,O,X,X,X,X,X,O,O,X,O
LISTZOJ,O,O,X,X,X,X,X,O,O,X,O
LISTOJZ,X,O,X,X,X,X,X,O,X,X,X
LISTOZJ,O,O,X,X,X,X,X,O,O,X,O
LISJTZO,X,X,X,X,X,O,X,O,X,X,X
LISJTOZ,X,X,X,X,X,O,X,O,X,X,X
LISJZTO,X,X,X,X,X,X,X,X,O,X,O
LISJZOT,X,X,X,X,X,X,X,X,O,X,O
LISJOTZ,X,X,X,X,X,O,X,O,X,X,X
LISJOZT,X,X,X,X,X,X,X,X,O,X,O
LISZTJO,O,O,O,X,X,X,X,O,O,X,O
LISZTOJ,O,O,O,X,X,X,X,O,O,X,O
LISZJTO,X,X,O,X,X,X,O,X,O,O,O
LISZJOT,X,X,O,X,X,X,O,X,O,O,O
LISZOTJ,O,O,O,X,X,X,X,O,O,X,O
LISZOJT,X,X,O,X,X,X,O,X,O,O,O
LISOTJZ,X,O,X,X,X,X,X,O,X,X,X
LISOTZJ,O,O,X,X,X,X,X,O,O,X,O
LISOJTZ,X,X,X,X,X,O,X,O,X,X,X
LISOJZT,X,X,X,X,X,X,X,X,O,X,O
LISOZTJ,O,O,O,X,X,X,X,O,O,X,O
LISOZJT,X,X,O,X,X,X,O,X,O,O,O
LIZTJSO,O,O,X,X,X,X,X,X,X,X,X
LIZTJOS,O,O,X,X,X,X,X,X,X,X,X
LIZTSJO,O,O,O,X,X,X,X,X,X,X,O
LIZTSOJ,O,O,O,X,X,X,X,X,X,X,O
LIZTOJS,O,O,X,X,X,X,X,X,X,X,X
LIZTOSJ,O,O,O,X,X,X,X,X,X,X,O
LIZJTSO,O,O,X,X,X,O,X,X,X,X,X
LIZJTOS,O,O,X,X,X,O,X,X,X,X,X
LIZJSTO,X,X,O,X,X,X,O,X,X,O,O
LIZJSOT,X,X,O,X,X,X,O,X,X,O,O
LIZJOTS,O,O,X,X,X,O,X,X,X,X,X
LIZJOST,X,X,O,X,X,X,O,X,X,O,O
LIZSTJO,O,O,O,X,X,X,X,X,X,X,O
LIZSTOJ,O,O,O,X,X,X,X,X,X,X,O
LIZSJTO,X,X,O,X,X,X,O,X,X,O,O
LIZSJOT,X,X,O,X,X,X,O,X,X,O,O
LIZSOTJ,O,O,O,X,X,X,X,X,X,X,O
LIZSOJT,X,X,O,X,X,X,O,X,X,O,O
LIZOTJS,O,O,X,X,X,X,X,X,X,X,X
LIZOTSJ,O,O,O,X,X,X,X,X,X,X,O
LIZOJTS,O,O,X,X,X,O,X,X,X,X,X
LIZOJST,X,X,O,X,X,X,O,X,X,O,O
LIZOSTJ,O,O,O,X,X,X,X,X,X,X,O
LIZOSJT,X,X,O,X,X,X,O,X,X,O,O
LIOTJSZ,X,O,X,X,X,O,X,X,X,X,X
LIOTJZS,O,O,X,X,X,O,X,X,X,X,X
LIOTSJZ,X,O,X,X,X,X,X,O,X,X,X
LIOTSZJ,O,O,X,X,X,X,X,O,X,X,O
LIOTZJS,O,O,X,X,X,X,X,X,X,X,X
LIOTZSJ,O,O,X,X,X,X,X,X,X,X,O
LIOJTSZ,X,O,X,X,X,O,X,X,X,X,X
LIOJTZS,O,O,X,X,X,O,X,X,X,X,X
LIOJSTZ,X,X,X,O,X,O,X,X,X,X,X
LIOJSZT,X,X,X,X,X,X,X,X,X,X,O
LIOJZTS,O,O,X,X,O,O,X,X,X,X,X
LIOJZST,X,X,X,X,X,X,X,X,X,O,O
LIOSTJZ,X,O,X,X,X,X,X,O,X,X,X
LIOSTZJ,O,O,X,X,X,X,X,O,O,X,O
LIOSJTZ,X,X,X,X,X,O,X,O,X,X,X
LIOSJZT,X,X,X,X,X,X,X,X,O,X,O
LIOSZTJ,O,O,O,X,X,X,X,O,O,X,O
LIOSZJT,X,X,O,X,X,X,O,X,O,O,O
LIOZTJS,O,O,X,X,X,X,X,X,X,X,X
LIOZTSJ,O,O,O,X,X,X,X,X,X,X,O
LIOZJTS,O,O,X,X,X,O,X,X,X,X,X
LIOZJST,X,X,O,X,X,X,O,X,X,O,O
LIOZSTJ,O,O,O,X,X,X,X,X,X,X,O
LIOZSJT,X,X,O,X,X,X,O,X,X,O,O
LJTISZO,X,X,X,X,X,O,X,X,X,X,X
LJTISOZ,X,X,X,X,X,O,X,X,X,X,X
LJTIZSO,O,X,X,X,X,O,X,X,X,X,X
LJTIZOS,O,X,X,X,X,O,X,X,X,X,X
LJTIOSZ,X,X,X,X,X,O,X,X,X,X,X
LJTIOZS,O,X,X,X,X,O,X,X,X,X,X
LJTSIZO,X,X,X,X,X,O,X,O,X,X,X
LJTSIOZ,X,X,X,X,X,O,X,O,X,X,X
LJTSZIO,O,X,X,X,X,X,X,O,X,X,X
LJTSZOI,O,O,X,X,X,X,X,O,X,X,X
LJTSOIZ,X,X,X,X,X,O,X,O,X,X,X
LJTSOZI,O,O,X,X,X,X,X,O,X,X,X
LJTZISO,O,X,X,X,X,O,X,X,X,X,X
LJTZIOS,O,X,X,X,X,O,X,X,X,X,X
LJTZSIO,O,X,X,X,X,X,X,X,X,O,X
LJTZSOI,O,O,X,X,X,X,X,X,X,O,X
LJTZOIS,O,X,X,X,X,O,X,X,X,X,X
LJTZOSI,O,O,X,X,X,X,X,X,X,O,X
LJTOISZ,X,X,X,X,X,O,X,X,X,X,X
LJTOIZS,O,X,X,X,X,O,X,X,X,X,X
LJTOSIZ,X,X,X,X,X,O,X,O,X,X,X
LJTOSZI,O,O,X,X,X,X,X,O,X,X,X
LJTOZIS,O,X,X,X,X,O,X,X,X,X,X
LJTOZSI,O,O,X,X,X,X,X,X,X,O,X
LJITSZO,X,O,X,X,X,O,X,X,X,X,X
LJITSOZ,X,O,X,X,X,O,X,X,X,X,X
LJITZSO,O,O,X,X,X,O,X,X,X,X,X
LJITZOS,O,O,X,X,X,O,X,X,X,X,X
LJITOSZ,X,O,X,X,X,O,X,X,X,X,X
LJITOZS,O,O,X,X,X,O,X,X,X,X,X
LJISTZO,X,X,X,O,X,O,X,X,X,X,X
LJISTOZ,X,X,X,O,X,O,X,X,X,X,X
LJISZTO,X,X,X,X,X,X,X,X,X,X,O
LJISZOT,X,X,X,X,X,X,X,X,X,X,O
LJISOTZ,X,X,X,O,X,O,X,X,X,X,X
LJISOZT,X,X,X,X,X,X,X,X,X,X,O
LJIZTSO,O,O,X,X,O,O,X,X,X,X,X
LJIZTOS,O,O,X,X,O,O,X,X,X,X,X
LJIZSTO,X,X,X,X,X,X,X,X,X,O,O
LJIZSOT,X,X,X,X,X,X,X,X,X,O,O
LJIZOTS,O,O,X,X,O,O,X,X,X,X,X
LJIZOST,X,X,X,X,X,X,X,X,X,O,O
LJIOTSZ,X,O,X,X,X,O,X,X,X,X,X
LJIOTZS,O,O,X,X,X,O,X,X,X,X,X
LJIOSTZ,X,X,X,O,X,O,X,X,X,X,X
LJIOSZT,X,X,X,X,X,X,X,X,X,X,O
LJIOZTS,O,O,X,X,O,O,X,X,X,X,X
LJIOZST,X,X,X,X,X,X,X,X,X,O,O
LJSTIZO,X,X,X,O,X,O,X,O,X,X,X
LJSTIOZ,X,X,X,O,X,O,X,O,X,X,X
LJSTZIO,X,X,X,O,X,X,X,O,X,X,X
LJSTZOI,X,X,X,O,X,X,X,O,X,X,X
LJSTOIZ,X,X,X,O,X,O,X,O,X,X,X
LJSTOZI,X,X,X,O,X,X,X,O,X,X,X
LJSITZO,X,X,X,O,X,O,X,O,X,X,X
LJSITOZ,X,X,X,O,X,O,X,O,X,X,X
LJSIZTO,X,X,X,X,X,X,X,X,X,X,O
LJSIZOT,X,X,X,X,X,X,X,X,X,X,O
LJSIOTZ,X,X,X,O,X,O,X,O,X,X,X
LJSIOZT,X,X,X,X,X,X,X,X,X,X,O
LJSZTIO,X,X,X,X,X,X,X,X,X,O,X
LJSZTOI,X,X,X,X,X,X,X,X,X,O,X
LJSZITO,X,X,X,X,X,X,X,X,X,O,O
LJSZIOT,X,X,X,X,X,X,X,X,X,O,O
LJSZOTI,X,X,X,X,X,X,X,X,X,O,X
LJSZOIT,X,X,X,X,X,X,X,X,X,O,O
LJSOTIZ,X,X,X,O,X,O,X,O,X,X,X
LJSOTZI,X,X,X,O,X,X,X,O,X,X,X
LJSOITZ,X,X,X,O,X,O,X,O,X,X,X
LJSOIZT,X,X,X,X,X,X,X,X,X,X,O
LJSOZTI,X,X,X,X,X,X,X,X,X,O,X
LJSOZIT,X,X,X,X,X,X,X,X,X,O,O
LJZTISO,O,X,X,X,O,O,X,X,X,X,X
LJZTIOS,O,X,X,X,O,O,X,X,X,X,X
LJZTSIO,O,X,X,X,O,X,X,X,X,O,X
LJZTSOI,O,O,X,X,O,X,X,X,X,O,X
LJZTOIS,O,X,X,X,O,O,X,X,X,X,X
LJZTOSI,O,O,X,X,O,X,X,X,X,O,X
LJZITSO,O,O,X,X,O,O,X,X,X,X,X
LJZITOS,O,O,X,X,O,O,X,X,X,X,X
LJZISTO,X,X,X,X,X,X,X,X,X,O,O
LJZISOT,X,X,X,X,X,X,X,X,X,O,O
LJZIOTS,O,O,X,X,O,O,X,X,X,X,X
LJZIOST,X,X,X,X,X,X,X,X,X,O,O
LJZSTIO,X,X,X,X,X,X,X,X,X,O,X
LJZSTOI,X,X,X,X,X,X,X,X,X,O,X
LJZSITO,X,X,X,X,X,X,X,X,X,O,O
LJZSIOT,X,X,X,X,X,X,X,X,X,O,O
LJZSOTI,X,X,X,X,X,X,X,X,X,O,X
LJZSOIT,X,X,X,X,X,X,X,X,X,O,O
LJZOTIS,O,X,X,X,O,O,X,X,X,X,X
LJZOTSI,O,O,X,X,O,X,X,X,X,O,X
LJZOITS,O,O,X,X,O,O,X,X,X,X,X
