sequence,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhF/lBUhBRiBmnBlp?ByvB,v115@GhA8IeA8EeC8AeB8DeE8JeT/IvhFUiBaoBxlBlpB3q?BmqB,v115@GhA8IeA8EeC8AeB8DeE8JeOEJvhFlgBUiBaoBzkBXm?BRvB,v115@GhA8IeA8EeC8AeB8DeE8Jex/IvhFXhBVnBaoBmkB0p?BzqB,v115@GhA8IeA8EeC8AeB8DeE8Jel/IvhFUhBRiB/pBTlBmn?ByvB
TZLIOJS,X,O,O,O,X
TZLIOSJ,X,O,O,O,O
TZLJISO,O,X,O,O,O
TZLJIOS,O,O,O,O,O
TZLJSIO,O,O,O,O,O
TZLJSOI,O,O,O,O,O
TZLJOIS,O,O,X,O,O
TZLJOSI,O,O,X,O,O
TZLSIJO,O,O,O,O,O
TZLSIOJ,O,O,O,O,O
TZLSJIO,O,O,O,O,O
TZLSJOI,O,O,O,O,O
TZLSOIJ,O,O,O,O,O
TZLSOJI,O,O,O,O,O
TZLOIJS,X,O,X,O,X
TZLOISJ,X,O,X,O,O
TZLOJIS,O,O,X,O,O
TZLOJSI,O,O,X,O,O
TZLOSIJ,O,O,X,O,O
TZLOSJI,O,O,X,O,O
TZJILSO,O,X,O,O,O
TZJILOS,O,O,O,O,O
TZJISLO,O,X,O,O,O
TZJISOL,O,X,O,O,O
TZJIOLS,O,O,O,O,X
TZJIOSL,O,X,O,O,X
TZJLISO,O,X,O,O,O
TZJLIOS,O,O,O,O,O
TZJLSIO,O,O,O,O,O
TZJLSOI,O,O,O,O,O
TZJLOIS,O,O,X,O,O
TZJLOSI,O,O,X,O,O
TZJSILO,O,O,O,O,O
TZJSIOL,O,O,X,O,O
TZJSLIO,O,O,O,O,O
TZJSLOI,O,O,O,O,O
TZJSOIL,O,O,X,O,O
TZJSOLI,O,O,O,O,X
TZJOILS,O,O,X,O,X
TZJOISL,O,X,X,O,X
TZJOLIS,O,O,X,O,X
TZJOLSI,O,O,X,O,X
TZJOSIL,O,O,X,O,X
TZJOSLI,O,O,X,O,X
TZSILJO,X,O,O,O,O
TZSILOJ,O,O,O,O,O
TZSIJLO,O,O,O,O,O
TZSIJOL,O,O,O,O,O
TZSIOLJ,O,O,O,O,O
TZSIOJL,O,O,O,X,O
TZSLIJO,X,O,O,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,O
TZSLJOI,O,O,O,O,O
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,O,O,O
TZSJIOL,O,O,O,O,O
TZSJLIO,O,O,O,O,O
TZSJLOI,O,O,O,O,O
TZSJOIL,O,O,X,O,O
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,O,O,O
TZSOIJL,O,O,O,O,O
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,X,O,O
TZSOJLI,O,O,O,O,X
TZOILJS,X,O,X,O,X
TZOILSJ,X,O,X,O,X
TZOIJLS,X,O,X,O,X
TZOIJSL,X,X,X,O,X
TZOISLJ,X,O,X,O,X
TZOISJL,X,O,X,O,X
TZOLIJS,X,O,X,O,X
TZOLISJ,X,O,X,O,X
TZOLJIS,O,O,X,O,X
TZOLJSI,O,O,X,O,X
TZOLSIJ,O,O,X,O,X
TZOLSJI,O,O,X,O,X
TZOJILS,O,O,X,O,X
TZOJISL,O,X,X,O,X
TZOJLIS,O,O,X,O,X
TZOJLSI,O,O,X,O,X
TZOJSIL,O,O,X,O,X
TZOJSLI,O,O,X,O,X
TZOSILJ,O,O,X,O,X
TZOSIJL,O,O,X,O,X
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,O,X,O,X
TZOSJLI,O,O,X,O,X
TOILJSZ,O,X,X,X,X
TOILJZS,O,O,X,X,X
TOILSJZ,O,O,X,O,X
TOILSZJ,O,O,X,O,X
TOILZJS,X,O,X,O,X
TOILZSJ,X,O,X,O,X
TOIJLSZ,O,X,X,X,X
TOIJLZS,O,O,X,X,X
TOIJSLZ,O,X,X,X,X
TOIJSZL,O,X,X,X,X
TOIJZLS,O,O,X,X,X
TOIJZSL,O,X,X,X,X
TOISLJZ,X,O,X,O,X
TOISLZJ,X,O,X,O,X
TOISJLZ,O,O,X,O,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,X,O,X
TOISZJL,O,O,X,O,X
TOIZLJS,X,O,X,O,X
TOIZLSJ,X,O,X,O,X
TOIZJLS,X,O,X,O,X
TOIZJSL,X,X,X,O,X
TOIZSLJ,X,O,X,O,X
TOIZSJL,X,O,X,O,X
TOLIJSZ,O,X,X,X,X
TOLIJZS,O,O,X,X,X
TOLISJZ,O,O,X,O,X
TOLISZJ,O,O,X,O,X
TOLIZJS,X,O,X,O,X
TOLIZSJ,X,O,X,O,X
TOLJISZ,O,X,X,X,X
TOLJIZS,O,O,X,X,X
TOLJSIZ,O,O,X,O,X
TOLJSZI,O,O,X,O,X
TOLJZIS,O,O,X,O,X
TOLJZSI,O,O,X,O,X
TOLSIJZ,O,O,X,O,X
TOLSIZJ,O,O,X,O,X
TOLSJIZ,O,O,X,O,X
TOLSJZI,O,O,X,O,X
TOLSZIJ,O,O,X,O,X
TOLSZJI,O,O,X,O,X
TOLZIJS,X,O,X,O,X
TOLZISJ,X,O,X,O,X
TOLZJIS,O,O,X,O,X
TOLZJSI,O,O,X,O,X
TOLZSIJ,O,O,X,O,X
TOLZSJI,O,O,X,O,X
TOJILSZ,O,X,X,X,X
TOJILZS,O,O,X,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,O,X,X,X,X
TOJIZLS,O,O,X,X,X
TOJIZSL,O,X,X,X,X
TOJLISZ,O,X,X,X,X
TOJLIZS,O,O,X,X,X
TOJLSIZ,O,O,X,O,X
TOJLSZI,O,O,X,O,X
TOJLZIS,O,O,X,O,X
TOJLZSI,O,O,X,O,X
TOJSILZ,O,O,X,O,X
TOJSIZL,O,O,X,X,X
TOJSLIZ,O,O,X,O,X
TOJSLZI,O,O,X,O,X
TOJSZIL,O,O,X,O,X
TOJSZLI,O,O,X,O,X
TOJZILS,O,O,X,O,X
TOJZISL,O,X,X,O,X
TOJZLIS,O,O,X,O,X
TOJZLSI,O,O,X,O,X
TOJZSIL,O,O,X,O,X
TOJZSLI,O,O,X,O,X
TOSILJZ,X,O,X,O,X
TOSILZJ,X,O,X,O,X
TOSIJLZ,O,O,X,O,X
TOSIJZL,O,O,X,X,X
TOSIZLJ,O,O,X,O,X
TOSIZJL,O,O,X,O,X
TOSLIJZ,O,O,X,O,X
TOSLIZJ,O,O,X,O,X
TOSLJIZ,O,O,X,O,X
TOSLJZI,O,O,X,O,X
TOSLZIJ,O,O,X,O,X
TOSLZJI,O,O,X,O,X
TOSJILZ,O,O,X,O,X
TOSJIZL,O,O,X,X,X
TOSJLIZ,O,O,X,O,X
TOSJLZI,O,O,X,O,X
