sequence,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBXhBTjBW?qByvBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukBFhBTjBK?qBfrBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFFgBOmBTjBf?qBqqBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBOmBTjBX?lB1vBUtB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFCgBTjBmlBF?qBUtBXrB,v115@DhB8GeC8GeB8BeA8AeA8CeC8LeZEJvhFukB1lBTjBi?qBUtBXrB
TZSOLJI,O,O,O,O,O,X
TZSOJIL,O,O,O,O,O,X
TZSOJLI,O,O,O,O,O,X
TZOILJS,O,O,O,O,O,O
TZOILSJ,O,O,O,O,O,O
TZOIJLS,O,O,O,O,O,O
TZOIJSL,O,O,O,O,O,X
TZOISLJ,O,O,O,O,O,X
TZOISJL,O,O,O,O,O,X
TZOLIJS,O,O,O,O,O,O
TZOLISJ,O,O,O,O,O,O
TZOLJIS,O,O,O,O,O,O
TZOLJSI,O,O,O,O,O,O
TZOLSIJ,O,O,O,O,O,O
TZOLSJI,O,O,O,O,O,O
TZOJILS,O,O,O,O,O,O
TZOJISL,O,O,O,O,O,X
TZOJLIS,O,O,O,O,O,O
TZOJLSI,O,O,O,O,O,X
TZOJSIL,O,O,O,O,O,X
TZOJSLI,O,O,O,O,O,X
TZOSILJ,O,O,O,O,O,X
TZOSIJL,O,O,O,O,O,X
TZOSLIJ,O,O,O,O,O,X
TZOSLJI,O,O,O,O,O,X
