sequence,v115@QhA8BeC8CeB8BeD8BeB8JeZEJvhFSlB/mBUiBFjBup?BTsB,v115@QhA8BeC8CeB8BeD8BeB8Je2EJvhFRgBSmB/nBFjBTp?BUsB,v115@QhA8BeC8CeB8BeD8BeB8Jei/IvhFGhB/nBFjBRlBTp?BUsB
ILJZSTO,X,O,O
ILJZSOT,X,O,O
ILJZOTS,X,X,X
ILJZOST,X,O,O
ILJOTSZ,O,X,X
ILJOTZS,X,X,X
ILJOSTZ,O,X,X
ILJOSZT,O,X,X
ILJOZTS,X,X,X
ILJOZST,X,O,O
ILSTJZO,O,X,X
ILSTJOZ,X,X,X
ILSTZJO,O,X,X
ILSTZOJ,O,X,X
ILSTOJZ,O,X,X
ILSTOZJ,O,X,X
ILSJTZO,O,X,X
ILSJTOZ,X,X,X
ILSJZTO,O,O,O
ILSJZOT,X,O,O
ILSJOTZ,O,X,X
ILSJOZT,O,X,X
ILSZTJO,O,O,O
ILSZTOJ,O,O,O
ILSZJTO,O,O,O
ILSZJOT,X,O,O
ILSZOTJ,O,O,O
ILSZOJT,O,O,O
ILSOTJZ,O,X,X
ILSOTZJ,O,X,X
ILSOJTZ,O,X,X
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,X,O,O
ILZTJOS,X,X,X
ILZTSJO,O,O,O
ILZTSOJ,O,O,O
ILZTOJS,X,X,X
ILZTOSJ,O,X,X
ILZJTSO,X,O,O
ILZJTOS,X,X,X
ILZJSTO,X,O,O
ILZJSOT,X,O,O
ILZJOTS,X,X,X
ILZJOST,X,O,O
