sequence,v115@HhA8IeC8EeA8AeG8Me0/IvhFxgBzlBWsB6tB/sBFtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF8mB5oBmlB3nBCmBzsB,v115@HhA8IeC8EeA8AeG8Mel/IvhFymB5oB0lB3nBGmBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF+nBTjBRmBllB3mBSyB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lB3hB5oBlnB2rBzsB,v115@HhA8IeC8EeA8AeG8Me0/IvhF6lBThBFjB+tBxrB/sB,v115@HhA8IeC8EeA8AeG8Mel/IvhF0lBxmB6tBGmBTnBXtB,v115@HhA8IeC8EeA8AeG8Mel/IvhF/oB0lBxmBGmBTnBSyB
LIOTZJS,O,X,X,X,X,X,X,X
LIOTZSJ,X,X,X,X,O,X,X,X
LIOJTSZ,O,X,X,X,X,X,X,X
LIOJTZS,O,X,X,O,X,X,X,X
LIOJSTZ,O,X,X,X,X,X,X,X
LIOJSZT,O,X,X,O,X,X,X,X
LIOJZTS,O,X,X,O,X,X,X,X
LIOJZST,O,X,X,O,X,X,X,X
LIOSTJZ,X,X,X,X,X,X,X,X
LIOSTZJ,X,X,X,X,X,X,X,X
LIOSJTZ,O,X,X,X,X,X,X,X
LIOSJZT,O,X,X,X,X,X,X,X
LIOSZTJ,X,X,X,X,X,X,X,X
LIOSZJT,O,X,X,X,X,X,X,X
LIOZTJS,O,X,X,X,X,X,X,X
LIOZTSJ,X,X,X,X,O,X,X,X
LIOZJTS,O,X,X,O,X,X,X,X
LIOZJST,O,X,X,O,X,X,X,X
LIOZSTJ,X,X,X,X,X,X,X,X
LIOZSJT,O,X,X,X,X,X,X,X
LJTISZO,X,O,X,X,O,O,X,X
LJTISOZ,X,X,X,X,X,O,X,X
LJTIZSO,X,O,X,X,O,O,X,X
LJTIZOS,X,X,X,O,X,O,X,X
LJTIOSZ,X,X,X,X,X,O,X,X
LJTIOZS,X,X,X,O,X,O,X,X
LJTSIZO,X,O,X,X,O,X,X,X
LJTSIOZ,X,X,X,X,X,X,X,X
LJTSZIO,X,O,X,X,O,X,X,X
LJTSZOI,X,X,X,X,X,X,X,X
LJTSOIZ,X,X,X,X,X,X,X,X
LJTSOZI,X,X,X,X,X,X,X,X
LJTZISO,X,O,X,X,O,O,O,X
LJTZIOS,X,X,X,O,X,O,O,X
LJTZSIO,X,X,X,X,O,X,X,X
LJTZSOI,X,X,X,X,X,X,X,X
LJTZOIS,O,X,X,O,X,X,X,X
LJTZOSI,O,X,X,X,X,X,X,X
LJTOISZ,O,X,X,X,X,X,X,X
LJTOIZS,O,X,X,O,X,X,X,X
LJTOSIZ,O,X,X,X,X,X,X,X
LJTOSZI,O,X,X,X,X,X,X,X
LJTOZIS,O,X,X,O,X,X,X,X
LJTOZSI,O,X,X,X,X,X,X,X
LJITSZO,X,O,X,X,O,O,X,X
LJITSOZ,X,X,X,X,X,O,X,X
LJITZSO,X,O,X,X,O,O,X,X
LJITZOS,X,X,X,O,X,O,X,X
LJITOSZ,X,X,X,X,X,O,X,X
LJITOZS,X,X,X,O,X,O,X,X
LJISTZO,X,O,X,X,X,O,X,X
LJISTOZ,X,X,X,X,X,O,X,X
LJISZTO,X,O,X,X,X,O,X,X
LJISZOT,X,X,X,O,X,O,X,X
LJISOTZ,X,X,X,X,X,O,X,X
LJISOZT,X,X,X,O,X,O,X,X
LJIZTSO,X,O,X,X,O,O,X,X
LJIZTOS,X,X,X,O,X,O,X,X
LJIZSTO,X,O,X,X,X,O,X,X
LJIZSOT,X,X,X,O,X,O,X,X
LJIZOTS,O,X,X,O,X,O,X,X
LJIZOST,O,X,X,O,X,O,X,X
LJIOTSZ,O,X,X,X,X,O,X,X
LJIOTZS,O,X,X,O,X,O,X,X
LJIOSTZ,O,X,X,X,X,O,X,X
LJIOSZT,O,X,X,O,X,O,X,X
LJIOZTS,O,X,X,O,X,O,X,X
LJIOZST,O,X,X,O,X,O,X,X
LJSTIZO,X,O,X,X,X,X,X,X
LJSTIOZ,X,X,X,X,X,X,X,X
LJSTZIO,X,O,X,X,X,X,X,X
LJSTZOI,X,X,X,X,X,X,X,X
LJSTOIZ,X,X,X,X,X,X,X,X
LJSTOZI,X,X,X,X,X,X,X,X
LJSITZO,X,O,X,X,X,O,X,X
LJSITOZ,X,X,X,X,X,O,X,X
LJSIZTO,X,O,X,X,X,O,X,X
LJSIZOT,X,X,X,O,X,O,X,X
LJSIOTZ,X,X,X,X,X,O,X,X
LJSIOZT,X,X,X,O,X,O,X,X
LJSZTIO,X,O,X,X,X,X,X,X
LJSZTOI,X,X,X,X,X,X,X,X
LJSZITO,X,O,X,X,X,O,X,X
LJSZIOT,X,X,X,O,X,O,X,X
LJSZOTI,O,X,X,X,X,X,X,X
LJSZOIT,O,X,X,O,X,X,X,X
LJSOTIZ,O,X,X,X,X,X,X,X
LJSOTZI,O,X,X,X,X,X,X,X
LJSOITZ,O,X,X,X,X,X,X,X
LJSOIZT,O,X,X,O,X,X,X,X
LJSOZTI,O,X,X,X,X,X,X,X
LJSOZIT,O,X,X,O,X,X,X,X
LJZTISO,X,O,X,X,O,O,O,X
LJZTIOS,X,X,X,O,X,O,O,X
LJZTSIO,X,X,X,X,O,X,X,X
LJZTSOI,X,X,X,X,X,X,X,X
LJZTOIS,O,X,X,O,X,X,X,X
LJZTOSI,O,X,X,X,X,X,X,X
LJZITSO,X,O,X,X,O,O,O,X
LJZITOS,X,X,X,O,X,O,O,X
LJZISTO,X,O,X,X,X,O,X,X
LJZISOT,X,X,X,O,X,O,X,X
LJZIOTS,O,X,X,O,X,O,X,X
LJZIOST,O,X,X,O,X,O,X,X
LJZSTIO,X,X,X,X,X,X,X,X
LJZSTOI,X,X,X,X,X,X,X,X
LJZSITO,X,X,X,X,X,O,X,X
LJZSIOT,X,X,X,O,X,O,X,X
LJZSOTI,O,X,X,X,X,X,X,X
LJZSOIT,O,X,X,O,X,X,X,X
LJZOTIS,O,X,X,O,X,X,X,X
LJZOTSI,O,X,X,X,X,X,X,X
LJZOITS,O,X,X,O,X,O,X,X
LJZOIST,O,X,X,O,X,O,X,X
LJZOSTI,O,X,X,X,X,X,X,X
LJZOSIT,O,X,X,O,X,X,X,X
LJOTISZ,O,X,X,X,X,X,X,X
LJOTIZS,O,X,X,O,X,X,X,X
LJOTSIZ,O,X,X,X,X,X,X,X
LJOTSZI,O,X,X,X,X,X,X,X
LJOTZIS,O,X,X,O,X,X,X,X
LJOTZSI,O,X,X,X,X,X,X,X
LJOITSZ,O,X,X,X,X,O,X,X
LJOITZS,O,X,X,O,X,O,X,X
LJOISTZ,O,X,X,X,X,O,X,X
LJOISZT,O,X,X,O,X,O,X,X
LJOIZTS,O,X,X,O,X,O,X,X
LJOIZST,O,X,X,O,X,O,X,X
LJOSTIZ,O,X,X,X,X,X,X,X
LJOSTZI,O,X,X,X,X,X,X,X
LJOSITZ,O,X,X,X,X,X,X,X
LJOSIZT,O,X,X,O,X,X,X,X
LJOSZTI,O,X,X,X,X,X,X,X
LJOSZIT,O,X,X,O,X,X,X,X
LJOZTIS,O,X,X,O,X,X,X,X
LJOZTSI,O,X,X,X,X,X,X,X
LJOZITS,O,X,X,O,X,O,X,X
LJOZIST,O,X,X,O,X,O,X,X
LJOZSTI,O,X,X,X,X,X,X,X
LJOZSIT,O,X,X,O,X,X,X,X
LSTIJZO,X,O,O,X,O,X,X,X
LSTIJOZ,X,X,X,X,X,X,X,X
LSTIZJO,X,O,O,X,O,X,X,X
LSTIZOJ,X,X,O,X,O,X,X,X
LSTIOJZ,X,X,X,X,X,X,X,X
LSTIOZJ,X,X,O,X,O,X,X,X
LSTJIZO,X,O,O,X,O,X,X,X
LSTJIOZ,X,X,X,X,X,X,X,X
LSTJZIO,X,O,O,X,O,X,X,X
LSTJZOI,X,X,X,X,X,X,X,X
LSTJOIZ,X,X,X,X,X,X,X,X
LSTJOZI,X,X,X,X,X,X,X,X
LSTZIJO,X,O,O,X,O,X,O,O
LSTZIOJ,X,X,O,X,O,X,O,O
LSTZJIO,X,O,O,X,O,X,X,X
LSTZJOI,X,X,X,X,X,X,X,X
LSTZOIJ,X,X,O,X,O,X,X,X
LSTZOJI,X,X,X,X,X,X,X,X
LSTOIJZ,X,X,X,X,X,X,X,X
LSTOIZJ,X,X,O,X,O,X,X,X
LSTOJIZ,X,X,X,X,X,X,X,X
LSTOJZI,X,X,X,X,X,X,X,X
LSTOZIJ,X,X,O,X,O,X,X,X
LSTOZJI,X,X,X,X,X,X,X,X
LSITJZO,X,O,O,X,O,X,X,X
LSITJOZ,X,X,X,X,X,X,X,X
LSITZJO,X,O,O,X,O,X,X,X
LSITZOJ,X,X,O,X,O,X,X,X
LSITOJZ,X,X,X,X,X,X,X,X
LSITOZJ,X,X,O,X,O,X,X,X
LSIJTZO,X,O,O,X,X,X,X,X
LSIJTOZ,X,X,X,X,X,X,X,X
LSIJZTO,X,O,O,X,X,X,X,X
LSIJZOT,X,X,X,X,X,X,X,X
LSIJOTZ,X,X,X,X,X,X,X,X
LSIJOZT,X,X,X,X,X,X,X,X
LSIZTJO,X,O,O,X,O,X,X,X
LSIZTOJ,X,X,O,X,O,X,X,X
LSIZJTO,X,O,O,X,X,X,X,X
LSIZJOT,X,X,X,X,X,X,X,X
LSIZOTJ,X,X,O,X,X,X,X,X
LSIZOJT,X,X,X,X,X,X,X,X
LSIOTJZ,X,X,X,X,X,X,X,X
LSIOTZJ,X,X,O,X,X,X,X,X
LSIOJTZ,X,X,X,X,X,X,X,X
LSIOJZT,X,X,X,X,X,X,X,X
LSIOZTJ,X,X,O,X,X,X,X,X
LSIOZJT,X,X,X,X,X,X,X,X
LSJTIZO,X,O,O,X,X,X,X,X
LSJTIOZ,X,X,X,X,X,X,X,X
LSJTZIO,X,O,O,X,X,X,X,X
LSJTZOI,X,X,X,X,X,X,X,X
LSJTOIZ,X,X,X,X,X,X,X,X
LSJTOZI,X,X,X,X,X,X,X,X
LSJITZO,X,O,O,X,X,O,X,X
LSJITOZ,X,X,X,X,X,O,X,X
LSJIZTO,X,O,O,X,X,O,X,X
LSJIZOT,X,X,X,O,X,O,X,X
LSJIOTZ,X,X,X,X,X,O,X,X
LSJIOZT,X,X,X,O,X,O,X,X
LSJZTIO,X,O,O,X,X,X,X,X
LSJZTOI,X,X,X,X,X,X,X,X
LSJZITO,X,O,O,X,X,O,X,X
LSJZIOT,X,X,X,O,X,O,X,X
LSJZOTI,O,X,X,X,X,X,X,X
LSJZOIT,O,X,X,O,X,X,X,X
LSJOTIZ,O,X,X,X,X,X,X,X
LSJOTZI,O,X,X,X,X,X,X,X
LSJOITZ,O,X,X,X,X,X,X,X
LSJOIZT,O,X,X,O,X,X,X,X
LSJOZTI,O,X,X,X,X,X,X,X
LSJOZIT,O,X,X,O,X,X,X,X
LSZTIJO,X,O,O,X,O,X,O,O
LSZTIOJ,X,X,O,X,O,X,O,O
LSZTJIO,X,O,O,X,O,X,X,X
LSZTJOI,X,X,X,X,X,X,X,X
LSZTOIJ,X,X,O,X,O,X,X,X
LSZTOJI,X,X,X,X,X,X,X,X
LSZITJO,X,O,O,X,O,X,O,O
LSZITOJ,X,X,O,X,O,X,O,O
LSZIJTO,X,O,O,X,X,X,X,X
LSZIJOT,X,X,X,X,X,X,X,X
LSZIOTJ,X,X,O,X,X,X,X,X
LSZIOJT,O,X,X,X,X,X,X,X
LSZJTIO,X,O,O,X,X,X,X,X
LSZJTOI,X,X,X,X,X,X,X,X
LSZJITO,X,O,O,X,X,O,X,X
LSZJIOT,X,X,X,O,X,O,X,X
LSZJOTI,O,X,X,X,X,X,X,X
LSZJOIT,O,X,X,O,X,X,X,X
LSZOTIJ,X,X,O,X,X,X,X,X
LSZOTJI,X,X,X,X,X,X,X,X
LSZOITJ,X,X,O,X,X,X,X,X
LSZOIJT,O,X,X,X,X,X,X,X
LSZOJTI,O,X,X,X,X,X,X,X
LSZOJIT,O,X,X,O,X,X,X,X
LSOTIJZ,X,X,X,X,X,X,X,X
LSOTIZJ,X,X,O,X,X,X,X,X
LSOTJIZ,X,X,X,X,X,X,X,X
LSOTJZI,X,X,X,X,X,X,X,X
LSOTZIJ,X,X,O,X,X,X,X,X
LSOTZJI,X,X,X,X,X,X,X,X
LSOITJZ,X,X,X,X,X,X,X,X
LSOITZJ,X,X,O,X,X,X,X,X
LSOIJTZ,O,X,X,X,X,X,X,X
LSOIJZT,O,X,X,X,X,X,X,X
LSOIZTJ,X,X,O,X,X,X,X,X
LSOIZJT,O,X,X,X,X,X,X,X
LSOJTIZ,O,X,X,X,X,X,X,X
LSOJTZI,O,X,X,X,X,X,X,X
LSOJITZ,O,X,X,X,X,X,X,X
LSOJIZT,O,X,X,O,X,X,X,X
LSOJZTI,O,X,X,X,X,X,X,X
LSOJZIT,O,X,X,O,X,X,X,X
LSOZTIJ,X,X,O,X,X,X,X,X
LSOZTJI,X,X,X,X,X,X,X,X
LSOZITJ,X,X,O,X,X,X,X,X
LSOZIJT,O,X,X,X,X,X,X,X
LSOZJTI,O,X,X,X,X,X,X,X
LSOZJIT,O,X,X,O,X,X,X,X
LZTIJSO,X,O,O,X,O,X,O,X
LZTIJOS,X,X,X,X,X,X,O,X
LZTISJO,X,O,O,X,O,X,O,O
LZTISOJ,X,X,O,X,O,X,O,O
LZTIOJS,O,X,X,X,X,X,O,X
LZTIOSJ,X,X,O,X,O,X,O,X
LZTJISO,X,O,O,X,O,O,O,X
LZTJIOS,X,X,X,O,X,O,O,X
LZTJSIO,X,X,X,X,O,X,X,X
LZTJSOI,X,X,X,X,X,X,X,X
LZTJOIS,O,X,X,O,X,X,X,X
LZTJOSI,O,X,X,X,X,X,X,X
LZTSIJO,X,X,O,X,O,X,O,O
LZTSIOJ,X,X,O,X,O,X,O,O
LZTSJIO,X,X,O,X,O,X,X,X
LZTSJOI,X,X,X,X,X,X,X,X
LZTSOIJ,X,X,O,X,O,X,X,X
LZTSOJI,X,X,X,X,X,X,X,X
LZTOIJS,O,X,X,X,X,X,O,X
LZTOISJ,X,X,O,X,O,X,O,X
LZTOJIS,O,X,X,O,X,X,X,X
LZTOJSI,O,X,X,X,X,X,X,X
LZTOSIJ,X,X,X,X,O,X,X,X
LZTOSJI,X,X,X,X,X,X,X,X
LZITJSO,X,O,O,X,O,X,O,X
LZITJOS,X,X,X,X,X,X,O,X
LZITSJO,X,O,O,X,O,X,O,O
LZITSOJ,X,X,O,X,O,X,O,O
LZITOJS,O,X,X,X,X,X,O,X
LZITOSJ,X,X,O,X,O,X,O,X
LZIJTSO,X,O,O,X,O,O,O,X
LZIJTOS,X,X,X,O,X,O,O,X
LZIJSTO,X,O,O,X,X,O,X,X
LZIJSOT,X,X,X,O,X,O,X,X
LZIJOTS,O,X,X,O,X,O,X,X
LZIJOST,O,X,X,O,X,O,X,X
LZISTJO,X,O,O,X,O,X,O,O
LZISTOJ,X,X,O,X,O,X,O,O
LZISJTO,X,O,O,X,X,X,X,X
LZISJOT,X,X,X,X,X,X,X,X
LZISOTJ,X,X,O,X,X,X,X,X
LZISOJT,O,X,X,X,X,X,X,X
LZIOTJS,O,X,X,X,X,X,O,X
LZIOTSJ,X,X,O,X,O,X,O,X
LZIOJTS,O,X,X,O,X,X,X,X
LZIOJST,O,X,X,O,X,X,X,X
LZIOSTJ,X,X,O,X,X,X,X,X
LZIOSJT,O,X,X,X,X,X,X,X
LZJTISO,X,O,O,X,O,O,O,X
LZJTIOS,X,X,X,O,X,O,O,X
LZJTSIO,X,X,X,X,O,X,X,X
LZJTSOI,X,X,X,X,X,X,X,X
LZJTOIS,O,X,X,O,X,X,X,X
LZJTOSI,O,X,X,X,X,X,X,X
LZJITSO,X,O,O,X,O,O,O,X
LZJITOS,X,X,X,O,X,O,O,X
LZJISTO,X,O,O,X,X,O,X,X
LZJISOT,X,X,X,O,X,O,X,X
LZJIOTS,O,X,X,O,X,O,X,X
LZJIOST,O,X,X,O,X,O,X,X
LZJSTIO,X,X,X,X,X,X,X,X
LZJSTOI,X,X,X,X,X,X,X,X
LZJSITO,X,X,X,X,X,O,X,X
LZJSIOT,X,X,X,O,X,O,X,X
LZJSOTI,O,X,X,X,X,X,X,X
LZJSOIT,O,X,X,O,X,X,X,X
LZJOTIS,O,X,X,O,X,X,X,X
LZJOTSI,O,X,X,X,X,X,X,X
LZJOITS,O,X,X,O,X,O,X,X
LZJOIST,O,X,X,O,X,O,X,X
LZJOSTI,O,X,X,X,X,X,X,X
LZJOSIT,O,X,X,O,X,X,X,X
LZSTIJO,X,X,O,X,O,X,O,O
LZSTIOJ,X,X,O,X,O,X,O,O
LZSTJIO,X,X,O,X,O,X,X,X
LZSTJOI,X,X,X,X,X,X,X,X
LZSTOIJ,X,X,O,X,O,X,X,X
LZSTOJI,X,X,X,X,X,X,X,X
LZSITJO,X,X,O,X,O,X,O,O
LZSITOJ,X,X,O,X,O,X,O,O
LZSIJTO,X,X,O,X,X,X,X,X
LZSIJOT,X,X,X,X,X,X,X,X
LZSIOTJ,X,X,O,X,X,X,X,X
LZSIOJT,O,X,X,X,X,X,X,X
LZSJTIO,X,X,O,X,X,X,X,X
LZSJTOI,X,X,X,X,X,X,X,X
LZSJITO,X,X,O,X,X,O,X,X
LZSJIOT,X,X,X,O,X,O,X,X
LZSJOTI,O,X,X,X,X,X,X,X
LZSJOIT,O,X,X,O,X,X,X,X
LZSOTIJ,X,X,O,X,X,X,X,X
LZSOTJI,X,X,X,X,X,X,X,X
LZSOITJ,X,X,O,X,X,X,X,X
LZSOIJT,O,X,X,X,X,X,X,X
LZSOJTI,O,X,X,X,X,X,X,X
LZSOJIT,O,X,X,O,X,X,X,X
LZOTIJS,O,X,X,X,X,X,O,X
LZOTISJ,X,X,O,X,O,X,O,X
LZOTJIS,O,X,X,O,X,X,X,X
LZOTJSI,O,X,X,X,X,X,X,X
LZOTSIJ,X,X,X,X,O,X,X,X
LZOTSJI,X,X,X,X,X,X,X,X
LZOITJS,O,X,X,X,X,X,O,X
LZOITSJ,X,X,O,X,O,X,O,X
LZOIJTS,O,X,X,O,X,X,X,X
LZOIJST,O,X,X,O,X,X,X,X
LZOISTJ,X,X,O,X,X,X,X,X
LZOISJT,O,X,X,X,X,X,X,X
LZOJTIS,O,X,X,O,X,X,X,X
LZOJTSI,O,X,X,X,X,X,X,X
LZOJITS,O,X,X,O,X,O,X,X
LZOJIST,O,X,X,O,X,O,X,X
LZOJSTI,O,X,X,X,X,X,X,X
LZOJSIT,O,X,X,O,X,X,X,X
LZOSTIJ,X,X,X,X,X,X,X,X
LZOSTJI,X,X,X,X,X,X,X,X
LZOSITJ,X,X,X,X,X,X,X,X
LZOSIJT,O,X,X,X,X,X,X,X
LZOSJTI,O,X,X,X,X,X,X,X
LZOSJIT,O,X,X,O,X,X,X,X
LOTIJSZ,O,X,X,X,X,X,X,X
LOTIJZS,O,X,X,X,X,X,X,X
LOTISJZ,X,X,X,X,X,X,X,X
LOTISZJ,X,X,X,X,O,X,X,X
LOTIZJS,O,X,X,X,X,X,X,X
LOTIZSJ,X,X,X,X,O,X,X,X
LOTJISZ,O,X,X,X,X,X,X,X
LOTJIZS,O,X,X,O,X,X,X,X
LOTJSIZ,O,X,X,X,X,X,X,X
LOTJSZI,O,X,X,X,X,X,X,X
LOTJZIS,O,X,X,O,X,X,X,X
LOTJZSI,O,X,X,X,X,X,X,X
LOTSIJZ,X,X,X,X,X,X,X,X
LOTSIZJ,X,X,X,X,O,X,X,X
LOTSJIZ,X,X,X,X,X,X,X,X
LOTSJZI,X,X,X,X,X,X,X,X
LOTSZIJ,X,X,X,X,O,X,X,X
LOTSZJI,X,X,X,X,X,X,X,X
LOTZIJS,O,X,X,X,X,X,O,X
LOTZISJ,X,X,X,X,O,X,O,X
LOTZJIS,O,X,X,O,X,X,X,X
LOTZJSI,O,X,X,X,X,X,X,X
LOTZSIJ,X,X,X,X,O,X,X,X
LOTZSJI,X,X,X,X,X,X,X,X
LOITJSZ,O,X,X,X,X,X,X,X
LOITJZS,O,X,X,X,X,X,X,X
LOITSJZ,X,X,X,X,X,X,X,X
LOITSZJ,X,X,X,X,O,X,X,X
LOITZJS,O,X,X,X,X,X,X,X
LOITZSJ,X,X,X,X,O,X,X,X
LOIJTSZ,O,X,X,X,X,X,X,X
LOIJTZS,O,X,X,O,X,X,X,X
LOIJSTZ,O,X,X,X,X,X,X,X
LOIJSZT,O,X,X,O,X,X,X,X
LOIJZTS,O,X,X,O,X,X,X,X
LOIJZST,O,X,X,O,X,X,X,X
LOISTJZ,X,X,X,X,X,X,X,X
LOISTZJ,X,X,X,X,X,X,X,X
LOISJTZ,O,X,X,X,X,X,X,X
LOISJZT,O,X,X,X,X,X,X,X
LOISZTJ,X,X,X,X,X,X,X,X
LOISZJT,O,X,X,X,X,X,X,X
LOIZTJS,O,X,X,X,X,X,X,X
LOIZTSJ,X,X,X,X,O,X,X,X
LOIZJTS,O,X,X,O,X,X,X,X
LOIZJST,O,X,X,O,X,X,X,X
LOIZSTJ,X,X,X,X,X,X,X,X
LOIZSJT,O,X,X,X,X,X,X,X
LOJTISZ,O,X,X,X,X,X,X,X
LOJTIZS,O,X,X,O,X,X,X,X
LOJTSIZ,O,X,X,X,X,X,X,X
LOJTSZI,O,X,X,X,X,X,X,X
LOJTZIS,O,X,X,O,X,X,X,X
LOJTZSI,O,X,X,X,X,X,X,X
LOJITSZ,O,X,X,X,X,O,X,X
LOJITZS,O,X,X,O,X,O,X,X
LOJISTZ,O,X,X,X,X,O,X,X
LOJISZT,O,X,X,O,X,O,X,X
LOJIZTS,O,X,X,O,X,O,X,X
LOJIZST,O,X,X,O,X,O,X,X
LOJSTIZ,O,X,X,X,X,X,X,X
LOJSTZI,O,X,X,X,X,X,X,X
LOJSITZ,O,X,X,X,X,X,X,X
LOJSIZT,O,X,X,O,X,X,X,X
LOJSZTI,O,X,X,X,X,X,X,X
LOJSZIT,O,X,X,O,X,X,X,X
LOJZTIS,O,X,X,O,X,X,X,X
LOJZTSI,O,X,X,X,X,X,X,X
LOJZITS,O,X,X,O,X,O,X,X
LOJZIST,O,X,X,O,X,O,X,X
LOJZSTI,O,X,X,X,X,X,X,X
LOJZSIT,O,X,X,O,X,X,X,X
LOSTIJZ,X,X,X,X,X,X,X,X
LOSTIZJ,X,X,X,X,X,X,X,X
LOSTJIZ,X,X,X,X,X,X,X,X
LOSTJZI,X,X,X,X,X,X,X,X
LOSTZIJ,X,X,X,X,X,X,X,X
LOSTZJI,X,X,X,X,X,X,X,X
LOSITJZ,X,X,X,X,X,X,X,X
LOSITZJ,X,X,X,X,X,X,X,X
LOSIJTZ,O,X,X,X,X,X,X,X
LOSIJZT,O,X,X,X,X,X,X,X
LOSIZTJ,X,X,X,X,X,X,X,X
LOSIZJT,O,X,X,X,X,X,X,X
LOSJTIZ,O,X,X,X,X,X,X,X
LOSJTZI,O,X,X,X,X,X,X,X
LOSJITZ,O,X,X,X,X,X,X,X
LOSJIZT,O,X,X,O,X,X,X,X
LOSJZTI,O,X,X,X,X,X,X,X
LOSJZIT,O,X,X,O,X,X,X,X
LOSZTIJ,X,X,X,X,X,X,X,X
LOSZTJI,X,X,X,X,X,X,X,X
LOSZITJ,X,X,X,X,X,X,X,X
LOSZIJT,O,X,X,X,X,X,X,X
LOSZJTI,O,X,X,X,X,X,X,X
LOSZJIT,O,X,X,O,X,X,X,X
LOZTIJS,O,X,X,X,X,X,O,X
LOZTISJ,X,X,X,X,O,X,O,X
LOZTJIS,O,X,X,O,X,X,X,X
LOZTJSI,O,X,X,X,X,X,X,X
LOZTSIJ,X,X,X,X,O,X,X,X
LOZTSJI,X,X,X,X,X,X,X,X
LOZITJS,O,X,X,X,X,X,O,X
LOZITSJ,X,X,X,X,O,X,O,X
LOZIJTS,O,X,X,O,X,X,X,X
LOZIJST,O,X,X,O,X,X,X,X
LOZISTJ,X,X,X,X,X,X,X,X
LOZISJT,O,X,X,X,X,X,X,X
LOZJTIS,O,X,X,O,X,X,X,X
LOZJTSI,O,X,X,X,X,X,X,X
LOZJITS,O,X,X,O,X,O,X,X
LOZJIST,O,X,X,O,X,O,X,X
LOZJSTI,O,X,X,X,X,X,X,X
LOZJSIT,O,X,X,O,X,X,X,X
LOZSTIJ,X,X,X,X,X,X,X,X
LOZSTJI,X,X,X,X,X,X,X,X
LOZSITJ,X,X,X,X,X,X,X,X
LOZSIJT,O,X,X,X,X,X,X,X
LOZSJTI,O,X,X,X,X,X,X,X
LOZSJIT,O,X,X,O,X,X,X,X
JTILSZO,X,O,X,X,O,O,X,X
JTILSOZ,X,X,X,X,X,O,X,X
JTILZSO,X,O,X,X,O,O,X,X
JTILZOS,X,X,X,O,X,O,X,X
JTILOSZ,X,X,X,X,X,O,X,X
JTILOZS,X,X,X,O,X,O,X,X
JTISLZO,X,O,O,X,O,X,X,X
JTISLOZ,X,X,X,X,X,X,X,X
JTISZLO,X,O,O,X,O,X,X,X
JTISZOL,X,O,X,X,X,X,X,X
JTISOLZ,X,X,X,X,X,X,X,X
JTISOZL,X,O,X,X,X,X,X,X
JTIZLSO,X,O,O,X,O,O,X,X
JTIZLOS,X,X,X,O,X,O,X,X
JTIZSLO,X,O,O,X,O,X,X,X
JTIZSOL,X,O,X,X,X,X,X,X
JTIZOLS,X,X,X,O,X,O,X,X
JTIZOSL,X,O,X,O,X,X,X,X
JTIOLSZ,X,X,X,X,X,O,X,X
JTIOLZS,X,X,X,X,X,O,X,X
JTIOSLZ,X,X,X,X,X,X,X,X
JTIOSZL,X,O,X,X,X,X,X,X
JTIOZLS,X,X,X,O,X,O,X,X
JTIOZSL,X,O,X,O,X,X,X,X
JTLISZO,X,O,X,X,O,O,X,X
JTLISOZ,X,X,X,X,X,O,X,X
JTLIZSO,X,O,X,X,O,O,X,X
JTLIZOS,X,X,X,O,X,O,X,X
JTLIOSZ,X,X,X,X,X,O,X,X
JTLIOZS,X,X,X,O,X,O,X,X
JTLSIZO,X,O,X,X,O,X,X,X
JTLSIOZ,X,X,X,X,X,X,X,X
JTLSZIO,X,O,X,X,O,X,X,X
JTLSZOI,X,X,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,X,X,X
JTLSOZI,X,X,X,X,X,X,X,X
JTLZISO,X,O,X,X,O,O,O,X
JTLZIOS,X,X,X,O,X,O,O,X
JTLZSIO,X,X,X,X,O,X,X,X
JTLZSOI,X,X,X,X,X,X,X,X
JTLZOIS,O,X,X,O,X,X,X,X
JTLZOSI,O,X,X,X,X,X,X,X
JTLOISZ,O,X,X,X,X,X,X,X
JTLOIZS,O,X,X,O,X,X,X,X
JTLOSIZ,O,X,X,X,X,X,X,X
JTLOSZI,O,X,X,X,X,X,X,X
JTLOZIS,O,X,X,O,X,X,X,X
JTLOZSI,O,X,X,X,X,X,X,X
JTSILZO,X,O,O,X,O,X,X,X
JTSILOZ,X,X,X,X,X,X,X,X
JTSIZLO,X,O,O,X,O,X,X,X
JTSIZOL,X,O,X,X,X,X,X,X
JTSIOLZ,X,X,X,X,X,X,X,X
JTSIOZL,X,O,X,X,X,X,X,X
JTSLIZO,X,O,O,X,O,X,X,X
JTSLIOZ,X,X,X,X,X,X,X,X
JTSLZIO,X,O,O,X,O,X,X,X
JTSLZOI,X,X,X,X,X,X,X,X
JTSLOIZ,X,X,X,X,X,X,X,X
JTSLOZI,X,X,X,X,X,X,X,X
JTSZILO,X,O,O,X,O,X,X,O
JTSZIOL,X,O,X,X,X,X,X,O
JTSZLIO,X,O,O,X,O,X,X,X
JTSZLOI,X,X,X,X,X,X,X,X
JTSZOIL,X,O,X,X,X,X,X,X
JTSZOLI,X,X,X,X,X,X,X,X
JTSOILZ,X,X,X,X,X,X,X,X
