sequence,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke0AJvhFlhB3iB?5oBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?arBGlBUqBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?crBesBClBTqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?asBGlBUqBTrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelBJvhF3iB5oB?cqBerBClBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeTBJvhFliB5oB?cqBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelAJvhF3iB5oB?0mBWqByvBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KelCJvhF5oBcqB?TmBesBClBXrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhF5oBFnB?GlBUqBTrBisB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8Ke8FJvhF3iB5oB?1rBClB2vBzrB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeVGJvhF3iB5oB?SqBzmB2wBUqB,v115@9gA8IeC8EeA8AeA8FeB8AeB8EeB8KeXBJvhFliB5oB?zmBSqB2wBUqB
IZTOLJS,X,O,X,O,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,O,X,X,X,X,O,X,X,X
IZTOJLS,X,X,O,X,O,X,X,O,X,X,X,X
IZTOJSL,O,X,O,X,O,O,X,O,O,X,X,X
IZTOSLJ,O,O,X,X,X,X,X,X,O,X,X,X
IZTOSJL,O,X,X,X,O,X,X,X,O,X,X,X
IZLTJSO,O,O,X,O,X,O,O,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,O,X,O,X,X,O,X,X,X,X,X
IZLTSOJ,O,O,X,O,X,X,O,X,X,X,X,X
IZLTOJS,O,O,X,X,X,X,X,X,X,X,X,X
IZLTOSJ,O,O,X,O,X,X,O,X,X,X,X,X
IZLJTSO,O,O,O,O,O,O,O,X,X,X,X,X
IZLJTOS,X,X,X,X,X,X,X,O,X,X,X,X
IZLJSTO,O,O,O,O,O,O,O,X,X,X,X,X
IZLJSOT,X,X,X,X,X,O,X,X,X,X,X,X
IZLJOTS,O,O,X,X,O,X,X,O,X,X,X,X
IZLJOST,O,O,X,X,O,X,X,X,X,X,X,X
IZLSTJO,O,O,X,O,X,X,O,X,X,X,X,X
IZLSTOJ,O,O,X,O,X,X,O,X,X,X,X,X
IZLSJTO,O,O,O,O,O,O,O,X,X,X,X,X
IZLSJOT,X,X,X,X,X,O,X,X,X,X,X,X
IZLSOTJ,O,O,X,O,X,X,O,X,X,X,X,X
IZLSOJT,O,O,X,X,O,O,X,X,X,X,X,X
IZLOTJS,O,O,X,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,O,X,X,O,X,O,X,X,X
IZLOJTS,O,O,X,O,O,X,X,X,X,X,X,X
IZLOJST,O,O,X,O,O,X,X,X,X,X,X,X
IZLOSTJ,O,O,X,O,X,X,O,X,O,X,X,X
IZLOSJT,O,O,X,O,O,X,X,X,X,X,X,X
IZJTLSO,X,X,O,O,O,O,X,X,X,O,X,X
IZJTLOS,X,X,X,X,X,X,X,O,X,X,X,X
IZJTSLO,O,X,O,X,O,O,X,X,X,O,O,X
IZJTSOL,O,X,O,X,O,O,X,O,X,O,O,X
IZJTOLS,X,X,O,X,O,X,X,O,X,X,X,X
IZJTOSL,X,X,O,X,O,O,X,O,X,O,X,X
IZJLTSO,O,O,O,O,O,O,X,X,X,O,X,X
IZJLTOS,X,X,X,X,X,X,X,O,X,X,X,X
IZJLSTO,O,O,O,O,O,O,X,X,X,X,X,X
IZJLSOT,X,X,X,X,X,O,X,X,X,X,X,X
IZJLOTS,O,O,X,X,O,X,X,O,X,X,X,X
IZJLOST,O,O,X,X,O,X,X,X,X,X,X,X
IZJSTLO,O,X,O,X,O,O,X,X,X,O,O,X
IZJSTOL,O,X,O,X,O,O,X,O,X,O,O,X
IZJSLTO,O,O,O,X,O,O,X,X,X,X,X,X
IZJSLOT,X,X,X,X,X,O,X,X,X,X,X,X
IZJSOTL,X,X,O,X,O,O,X,O,X,X,X,X
IZJSOLT,X,O,X,X,O,O,X,X,X,X,X,X
IZJOTLS,X,X,O,X,O,X,X,O,X,X,X,X
IZJOTSL,O,X,O,X,O,O,X,O,O,O,X,O
IZJOLTS,X,O,O,O,O,X,X,O,X,X,X,X
IZJOLST,X,O,O,O,O,X,X,X,X,X,X,X
IZJOSTL,O,X,O,X,O,O,X,O,O,X,X,O
IZJOSLT,X,O,O,X,O,O,X,X,X,X,X,X
IZSTLJO,O,O,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,X,O,X,O,O,X,X,X,X,X,X
IZSTJOL,O,X,O,X,O,O,X,O,X,X,X,X
IZSTOLJ,X,O,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,X,X,X,O,O,X,X,X,X,X,X
IZSLTJO,O,O,X,O,X,X,O,X,X,X,X,X
IZSLTOJ,O,O,X,O,X,X,O,X,X,X,X,X
IZSLJTO,O,O,O,O,O,O,O,X,X,X,X,X
IZSLJOT,X,X,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,O,X,O,X,X,O,X,X,X,X,X
IZSLOJT,O,O,X,X,O,O,X,X,X,X,X,X
IZSJTLO,O,X,O,X,O,O,X,X,X,O,O,X
IZSJTOL,O,X,O,X,O,O,X,O,X,O,O,X
IZSJLTO,O,O,O,X,O,O,X,X,X,X,X,X
IZSJLOT,X,X,X,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,O,X,O,O,X,O,X,X,X,X
IZSJOLT,X,O,X,X,O,O,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,X,X,X,X,O,X,X,X
IZSOTJL,O,X,X,X,O,O,X,X,O,X,X,X
IZSOLTJ,O,O,X,O,X,X,X,X,O,X,X,X
IZSOLJT,O,O,X,O,O,O,X,X,X,X,X,X
IZSOJTL,O,X,O,X,O,O,X,X,O,X,X,X
IZSOJLT,X,O,X,X,O,O,X,X,X,X,X,X
IZOTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,X,X,O,X,X,X
IZOTJLS,X,X,O,X,O,X,X,O,X,X,X,X
IZOTJSL,O,X,O,X,O,O,X,O,O,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X,O,X,X,X
IZOTSJL,O,X,O,X,O,X,X,X,O,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,X,X,O,X,X,X
IZOLJTS,O,O,O,O,O,X,X,X,X,X,X,X
IZOLJST,O,O,O,O,O,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,O,X,X,X,X,O,X,X,X
IZOLSJT,O,O,O,O,O,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,O,X,X,O,X,X,X,X
IZOJTSL,O,X,O,X,O,O,X,O,O,X,X,X
IZOJLTS,X,O,O,O,O,X,X,O,X,X,X,X
IZOJLST,X,O,O,O,O,X,X,X,X,X,X,X
IZOJSTL,O,X,O,X,O,O,X,O,O,X,X,X
IZOJSLT,X,O,O,X,O,O,X,X,X,X,X,X
IZOSTLJ,O,O,X,X,X,X,X,X,O,X,X,X
IZOSTJL,O,X,O,X,O,O,X,X,O,X,X,X
IZOSLTJ,O,O,X,O,X,X,X,X,O,X,X,X
IZOSLJT,O,O,O,O,O,O,X,X,X,X,X,X
IZOSJTL,O,X,O,X,O,O,X,X,O,X,X,X
IZOSJLT,X,O,O,X,O,O,X,X,X,X,X,X
IOTLJSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTLJZS,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,O,X,O,X,X,O,X,O,X,X,X
IOTLZJS,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,O,O,X,O,X,X,O,X,X,X,X,X
IOTJLSZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,O,X,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,O,X,X,X,X,X,O,X,X,X
IOTJZLS,X,X,O,X,X,X,X,O,X,X,X,X
IOTJZSL,O,X,O,X,X,O,X,O,X,X,X,X
IOTSLJZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,O,X,X,X,X,X,O,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X,O,X,X,X
IOTSZJL,O,X,O,X,O,X,X,X,O,X,X,X
IOTZLJS,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJLS,X,X,O,X,O,X,X,O,X,X,X,X
IOTZJSL,O,X,O,X,O,O,X,O,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,X,X,O,X,X,X
IOTZSJL,O,X,O,X,O,X,X,X,O,X,X,X
IOLTJSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,X,O,X,X,X,X,X,X,X,X,X
IOLTSJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,O,X,O,X,X,O,X,O,X,X,X
IOLTZJS,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,O,O,X,O,X,X,O,X,X,X,X,X
IOLJTSZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJTZS,O,X,O,X,X,X,X,X,X,X,X,X
IOLJSTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLJSZT,O,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,O,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,O,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,O,X,O,X,X,O,X,O,X,X,X
IOLSJTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,X,O,X,X,O,X,X,X,X,X
IOLSZJT,O,O,O,X,O,X,X,X,X,X,X,X
IOLZTJS,O,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,O,X,O,X,X,O,X,X,X,X,X
IOLZJTS,O,O,O,X,O,X,X,X,X,X,X,X
IOLZJST,O,O,O,X,O,X,X,X,X,X,X,X
IOLZSTJ,O,O,X,O,X,X,O,X,X,X,X,X
IOLZSJT,O,O,O,X,O,X,X,X,X,X,X,X
IOJTLSZ,O,O,X,X,X,X,X,X,X,X,X,O
IOJTLZS,O,X,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,O,X,X,X,X,X,X,X,X,O,O
IOJTSZL,O,X,O,X,X,X,X,X,O,O,O,O
IOJTZLS,X,X,O,X,X,X,X,O,X,X,X,X
IOJTZSL,O,X,O,X,X,O,X,O,X,O,X,O
IOJLTSZ,O,O,X,O,X,X,X,X,X,X,X,O
IOJLTZS,O,X,O,X,X,X,X,X,X,X,X,X
IOJLSTZ,O,O,X,O,X,X,X,X,X,X,X,O
IOJLSZT,O,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,O,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,O,X,X,X,X,X,X,X,X,X
IOJSTLZ,O,O,X,X,X,X,X,X,X,X,O,O
IOJSTZL,O,X,O,X,X,X,X,X,O,O,O,O
IOJSLTZ,O,O,X,X,X,X,X,X,X,X,X,O
IOJSLZT,O,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,O,X,O,X,O,X,X,X,X,X,X,O
IOJSZLT,X,O,O,X,O,X,X,X,X,X,X,X
IOJZTLS,X,X,O,X,O,X,X,O,X,X,X,X
IOJZTSL,O,X,O,X,O,O,X,O,X,O,X,O
IOJZLTS,X,O,O,X,O,X,X,O,X,X,X,X
IOJZLST,X,O,O,X,O,X,X,X,X,X,X,X
IOJZSTL,O,X,O,X,O,O,X,O,X,X,X,O
IOJZSLT,X,O,O,X,O,O,X,X,X,X,X,X
IOSTLJZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,O,X,X,X,X,X,O,X,X,X
IOSTZLJ,O,O,X,X,X,X,X,X,O,X,X,X
IOSTZJL,O,X,O,X,O,X,X,X,O,X,X,X
IOSLTJZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSLTZJ,O,O,X,O,X,X,O,X,O,X,X,X
IOSLJTZ,O,O,X,O,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,X,O,X,X,O,X,X,X,X,X
IOSLZJT,O,O,O,X,O,X,X,X,X,X,X,X
IOSJTLZ,O,O,X,X,X,X,X,X,X,X,O,X
IOSJTZL,O,X,O,X,X,X,X,X,O,O,O,X
IOSJLTZ,O,O,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,O,X,O,X,X,X,X,X,X,X
IOSJZLT,X,O,O,X,O,X,X,X,X,X,X,X
IOSZTLJ,O,O,X,X,X,X,X,X,O,X,X,X
IOSZTJL,O,X,O,X,O,X,X,X,O,X,X,X
IOSZLTJ,O,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,O,X,X,X,X,X,X,X
IOSZJTL,O,X,O,X,O,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,O,X,X,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,X,X,O,X,X,X
IOZTJLS,X,X,O,X,O,X,X,O,X,X,X,X
IOZTJSL,O,X,O,X,O,O,X,O,O,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,X,O,X,X,X
IOZTSJL,O,X,O,X,O,X,X,X,O,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,X,X,O,X,X,X
IOZLJTS,O,O,O,O,O,X,X,X,X,X,X,X
IOZLJST,O,O,O,O,O,X,X,X,X,X,X,X
IOZLSTJ,O,O,X,O,X,X,X,X,O,X,X,X
IOZLSJT,O,O,O,O,O,X,X,X,X,X,X,X
IOZJTLS,X,X,O,X,O,X,X,O,X,X,X,X
IOZJTSL,O,X,O,X,O,O,X,O,O,X,X,X
IOZJLTS,X,O,O,O,O,X,X,O,X,X,X,X
IOZJLST,X,O,O,O,O,X,X,X,X,X,X,X
IOZJSTL,O,X,O,X,O,O,X,O,O,X,X,X
IOZJSLT,X,O,O,X,O,O,X,X,X,X,X,X
IOZSTLJ,O,O,X,X,X,X,X,X,O,X,X,X
IOZSTJL,O,X,O,X,O,O,X,X,O,X,X,X
IOZSLTJ,O,O,X,O,X,X,X,X,O,X,X,X
IOZSLJT,O,O,O,O,O,O,X,X,X,X,X,X
IOZSJTL,O,X,O,X,O,O,X,X,O,X,X,X
IOZSJLT,X,O,O,X,O,O,X,X,X,X,X,X
LTIJSZO,X,O,X,O,X,X,O,X,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,X,X,X,X,X
LTIJZSO,X,X,O,O,X,O,O,X,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,X,X,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,X,O,X,X,X,X,X,X,X,X,X
LTISJZO,O,O,X,O,X,X,O,X,X,X,X,X
LTISJOZ,X,X,X,O,X,X,X,X,X,X,X,X
LTISZJO,O,O,X,O,X,X,O,X,X,X,X,X
LTISZOJ,O,O,X,O,X,X,O,X,X,X,X,X
LTISOJZ,X,X,X,O,X,X,X,X,X,X,X,X
LTISOZJ,O,O,X,O,X,X,O,X,O,X,X,X
LTIZJSO,O,X,X,O,X,O,O,X,X,X,X,X
LTIZJOS,X,X,X,X,X,X,X,O,X,X,X,X
LTIZSJO,O,O,X,O,X,X,O,X,X,X,X,X
LTIZSOJ,O,O,X,O,X,X,O,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,O,X,X,O,X,X,X,X,X
LTIOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
LTIOJZS,O,X,O,X,X,X,X,X,X,X,X,X
LTIOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,O,X,O,X,X,O,X,O,X,X,X
LTIOZJS,O,X,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,O,O,X,O,X,X,O,X,X,X,X,X
LTJISZO,X,O,X,O,X,X,O,X,X,X,X,X
LTJISOZ,X,X,X,O,X,X,X,X,X,X,X,X
LTJIZSO,X,X,O,O,X,O,O,X,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,O,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,X,X,X,X
LTJIOZS,X,X,O,X,X,X,X,X,X,X,X,X
LTJSIZO,X,O,X,O,X,X,O,X,X,X,X,X
LTJSIOZ,X,X,X,O,X,X,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,O,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,X,X,O,O,X,O,O,X,X,X,X,X
LTJZIOS,X,X,X,X,X,X,X,O,X,X,X,X
LTJZSIO,X,X,O,O,X,O,O,X,X,X,X,X
LTJZSOI,X,X,X,X,X,O,X,X,X,X,X,X
LTJZOIS,X,X,X,X,X,X,X,O,X,X,X,X
LTJZOSI,X,X,X,X,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,X,O,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,X,X,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,X,O,X,X,O,X,X,X,X,X
LTSIJOZ,X,X,X,O,X,X,X,X,X,X,X,X
LTSIZJO,O,O,X,O,X,X,O,X,X,X,X,X
LTSIZOJ,O,O,X,O,X,X,O,X,X,X,X,X
LTSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,X,O,X,X,O,X,O,X,X,X
LTSJIZO,O,O,X,O,X,X,O,X,X,X,X,X
LTSJIOZ,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,X,X,X,O,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,O,X,O,X,X,O,X,X,X,X,X
LTSZIOJ,O,O,X,O,X,X,O,X,X,X,X,X
LTSZJIO,O,X,X,O,X,X,O,X,X,X,X,X
LTSZJOI,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,X,X,O,X,X,X,X,X
LTSZOJI,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,X,X,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,X,O,X,X,O,X,X,X,X,X
LTSOJIZ,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,O,X,X,O,X,X,X,X,X
LTSOZJI,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,O,X,O,O,X,X,X,X,X
LTZIJOS,X,X,X,X,X,X,X,O,X,X,X,X
LTZISJO,O,O,X,O,X,X,O,X,X,X,X,X
LTZISOJ,O,O,X,O,X,X,O,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,O,X,X,O,X,X,X,X,X
LTZJISO,O,X,X,O,X,O,O,X,X,X,X,X
LTZJIOS,X,X,X,X,X,X,X,O,X,X,X,X
LTZJSIO,O,X,X,O,X,O,O,X,X,X,X,X
LTZJSOI,X,X,X,X,X,O,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,X,X,O,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,O,O,X,O,X,X,O,X,X,X,X,X
LTZSIOJ,O,O,X,O,X,X,O,X,X,X,X,X
LTZSJIO,O,X,X,O,X,X,O,X,X,X,X,X
LTZSJOI,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,X,X,O,X,X,X,X,X
LTZSOJI,X,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,O,X,X,O,X,X,O,X,X,X,X,X
LTZOJIS,O,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,O,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,X,O,X,X,O,X,X,X,X,X
LTZOSJI,O,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOIJZS,O,X,O,X,X,X,X,X,X,X,X,X
LTOISJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOISZJ,O,O,X,O,X,X,O,X,O,X,X,X
LTOIZJS,O,X,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,O,O,X,O,X,X,O,X,X,X,X,X
LTOJISZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOJIZS,O,X,O,X,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,O,X,O,X,X,X,X,X,X,X,X,X
LTOJZSI,O,X,O,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOSIZJ,O,O,X,O,X,X,O,X,O,X,X,X
LTOSJIZ,O,O,X,O,X,X,X,X,X,X,X,X
LTOSJZI,O,X,X,X,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,X,O,X,X,O,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,X,X,X,X,X,X,X
LTOZISJ,O,O,X,O,X,X,O,X,X,X,X,X
LTOZJIS,O,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,X,O,X,X,O,X,X,X,X,X
LTOZSJI,O,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,X,O,X,O,X,X,O,X,X,X,X,X
LITJSOZ,X,X,X,O,X,X,X,X,X,X,X,X
LITJZSO,X,X,O,O,X,O,O,X,X,X,X,X
LITJZOS,X,X,X,X,X,X,X,O,X,X,X,X
LITJOSZ,X,X,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,X,O,X,X,X,X,X,X,X,X,X
LITSJZO,O,O,X,O,X,X,O,X,X,X,X,X
LITSJOZ,X,X,X,O,X,X,X,X,X,X,X,X
LITSZJO,O,O,X,O,X,X,O,X,X,X,X,X
LITSZOJ,O,O,X,O,X,X,O,X,X,X,X,X
LITSOJZ,X,X,X,O,X,X,X,X,X,X,X,X
LITSOZJ,O,O,X,O,X,X,O,X,O,X,X,X
LITZJSO,O,X,X,O,X,O,O,X,X,X,X,X
LITZJOS,X,X,X,X,X,X,X,O,X,X,X,X
LITZSJO,O,O,X,O,X,X,O,X,X,X,X,X
LITZSOJ,O,O,X,O,X,X,O,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,O,X,X,O,X,X,X,X,X
LITOJSZ,O,O,X,O,X,X,X,X,X,X,X,X
LITOJZS,O,X,O,X,X,X,X,X,X,X,X,X
LITOSJZ,O,O,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,O,X,O,X,X,O,X,O,X,X,X
LITOZJS,O,X,X,X,X,X,X,X,X,X,X,X
LITOZSJ,O,O,X,O,X,X,O,X,X,X,X,X
LIJTSZO,X,O,X,O,X,X,O,X,X,O,O,X
LIJTSOZ,X,X,X,O,X,X,X,X,X,X,O,X
LIJTZSO,X,X,O,O,X,O,O,X,X,O,X,X
LIJTZOS,X,X,X,X,X,X,X,O,X,X,X,X
LIJTOSZ,X,X,X,O,X,X,X,X,X,X,X,X
LIJTOZS,X,X,O,X,X,X,X,X,X,X,X,X
LIJSTZO,O,O,X,O,X,X,O,X,X,O,O,X
LIJSTOZ,X,X,X,O,X,X,X,X,X,X,O,X
LIJSZTO,O,X,X,X,X,X,O,X,X,X,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,X,X,X,X,X,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,X,X,X
LIJZTSO,O,X,O,O,X,O,O,X,X,O,X,X
LIJZTOS,X,X,X,X,X,X,X,O,X,X,X,X
LIJZSTO,O,X,O,O,X,O,O,X,X,X,X,X
LIJZSOT,X,X,X,X,X,O,X,X,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X,O,X,X,X,X
LIJZOST,O,X,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,O,O,X,O,X,X,X,X,X,X,X,O
LIJOTZS,O,X,O,X,X,X,X,X,X,X,X,X
LIJOSTZ,O,O,X,O,X,X,X,X,X,X,X,O
LIJOSZT,O,X,X,X,X,X,X,X,X,X,X,X
LIJOZTS,O,X,O,X,X,X,X,X,X,X,X,X
LIJOZST,O,X,O,X,X,X,X,X,X,X,X,X
LISTJZO,O,O,X,O,X,X,O,X,X,X,X,X
LISTJOZ,X,X,X,O,X,X,X,X,X,X,X,X
LISTZJO,O,O,X,O,X,X,O,X,X,X,X,X
LISTZOJ,O,O,X,O,X,X,O,X,X,X,X,X
LISTOJZ,X,X,X,O,X,X,X,X,X,X,X,X
LISTOZJ,O,O,X,O,X,X,O,X,X,X,X,X
LISJTZO,O,O,X,O,X,X,O,X,X,O,O,X
LISJTOZ,X,X,X,O,X,X,X,X,X,X,O,X
LISJZTO,O,X,X,X,X,X,O,X,X,X,X,X
LISJZOT,X,X,X,X,X,X,X,X,X,X,X,X
LISJOTZ,X,X,X,X,X,X,X,X,X,X,X,X
LISJOZT,X,X,X,X,X,X,X,X,X,X,X,X
LISZTJO,O,O,X,O,X,X,O,X,X,X,X,X
LISZTOJ,O,O,X,O,X,X,O,X,X,X,X,X
LISZJTO,O,O,X,O,O,X,O,X,X,X,X,X
LISZJOT,X,X,X,X,X,X,X,X,X,X,X,X
LISZOTJ,O,O,X,O,X,X,O,X,X,X,X,X
LISZOJT,O,O,X,X,O,X,X,X,X,X,X,X
LISOTJZ,O,O,X,O,X,X,X,X,X,X,X,X
LISOTZJ,O,O,X,O,X,X,O,X,X,X,X,X
LISOJTZ,O,O,X,O,X,X,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X,X,X,X,X,X
LISOZTJ,O,O,X,O,X,X,O,X,X,X,X,X
