sequence,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBUhBFiBXjBStBmrB,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBamBUiBGjBfsBVyB,v115@KhA8GeC8GeE8AeC8JeZEJvhFzfBamBFiB8nB+oBfsB
ITSJOZL,X,O,O
ITSZLJO,X,O,X
ITSZLOJ,X,O,X
ITSZJLO,X,O,X
ITSZJOL,X,O,X
ITSZOLJ,X,O,X
ITSZOJL,X,O,X
ITSOLJZ,X,O,O
ITSOLZJ,X,O,X
ITSOJLZ,X,O,O
ITSOJZL,X,O,O
ITSOZLJ,X,O,X
ITSOZJL,X,O,X
ITZLJSO,O,O,X
ITZLJOS,O,O,X
ITZLSJO,O,O,X
ITZLSOJ,O,O,X
ITZLOJS,O,O,X
ITZLOSJ,O,O,X
ITZJLSO,O,O,X
ITZJLOS,O,O,X
ITZJSLO,O,O,X
ITZJSOL,O,O,X
ITZJOLS,O,O,X
ITZJOSL,O,O,X
ITZSLJO,O,O,X
ITZSLOJ,O,O,X
ITZSJLO,X,O,X
ITZSJOL,X,O,X
ITZSOLJ,O,O,X
ITZSOJL,X,O,X
ITZOLJS,O,O,X
ITZOLSJ,O,O,X
ITZOJLS,O,O,X
ITZOJSL,O,O,X
ITZOSLJ,O,O,X
ITZOSJL,X,O,X
ITOLJSZ,O,O,O
ITOLJZS,O,O,O
ITOLSJZ,O,O,O
ITOLSZJ,O,O,X
ITOLZJS,O,O,X
ITOLZSJ,O,O,X
ITOJLSZ,O,O,O
ITOJLZS,O,O,O
ITOJSLZ,O,O,O
ITOJSZL,O,O,O
ITOJZLS,O,O,O
ITOJZSL,O,O,O
ITOSLJZ,X,O,O
ITOSLZJ,X,O,X
ITOSJLZ,X,O,O
ITOSJZL,X,O,O
ITOSZLJ,X,O,X
ITOSZJL,X,O,X
ITOZLJS,O,O,X
ITOZLSJ,O,O,X
ITOZJLS,O,O,X
ITOZJSL,O,O,X
ITOZSLJ,O,O,X
ITOZSJL,X,O,X
ILTJSZO,O,O,O
ILTJSOZ,O,O,O
ILTJZSO,O,O,O
ILTJZOS,O,O,O
ILTJOSZ,O,O,O
ILTJOZS,O,O,O
ILTSJZO,O,O,O
ILTSJOZ,O,O,O
ILTSZJO,O,O,X
ILTSZOJ,O,O,X
ILTSOJZ,O,O,O
ILTSOZJ,O,O,X
ILTZJSO,O,O,X
ILTZJOS,O,O,X
ILTZSJO,O,O,X
ILTZSOJ,O,O,X
ILTZOJS,O,O,X
ILTZOSJ,O,O,X
ILTOJSZ,O,O,O
ILTOJZS,O,O,O
ILTOSJZ,O,O,O
ILTOSZJ,O,O,X
ILTOZJS,O,O,X
ILTOZSJ,O,O,X
ILJTSZO,O,O,O
ILJTSOZ,O,O,O
ILJTZSO,O,O,O
ILJTZOS,O,O,O
ILJTOSZ,O,O,O
ILJTOZS,O,O,O
ILJSTZO,O,O,O
ILJSTOZ,O,O,O
ILJSZTO,O,O,O
ILJSZOT,O,O,O
ILJSOTZ,O,O,O
ILJSOZT,O,O,O
ILJZTSO,O,X,O
ILJZTOS,O,X,O
ILJZSTO,O,X,O
ILJZSOT,O,X,O
ILJZOTS,O,X,O
ILJZOST,O,X,O
ILJOTSZ,O,O,O
ILJOTZS,O,O,O
ILJOSTZ,O,O,O
ILJOSZT,O,O,O
ILJOZTS,O,X,O
ILJOZST,O,X,O
ILSTJZO,O,O,O
ILSTJOZ,O,O,O
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,O
ILSTOZJ,O,O,X
ILSJTZO,O,O,O
ILSJTOZ,O,O,O
ILSJZTO,O,O,O
ILSJZOT,O,O,O
ILSJOTZ,O,O,O
ILSJOZT,O,O,O
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,O
ILSZJOT,O,O,O
ILSZOTJ,O,O,X
ILSZOJT,O,O,O
ILSOTJZ,O,O,O
ILSOTZJ,O,O,X
ILSOJTZ,O,O,O
ILSOJZT,O,O,O
ILSOZTJ,O,O,X
ILSOZJT,O,O,O
ILZTJSO,O,O,X
ILZTJOS,O,O,X
ILZTSJO,O,O,X
ILZTSOJ,O,O,X
ILZTOJS,O,O,X
ILZTOSJ,O,O,X
ILZJTSO,O,X,O
ILZJTOS,O,X,O
ILZJSTO,O,X,O
ILZJSOT,O,X,O
ILZJOTS,O,X,O
ILZJOST,O,X,O
ILZSTJO,O,O,X
ILZSTOJ,O,O,X
ILZSJTO,O,O,O
ILZSJOT,O,O,O
ILZSOTJ,O,O,X
ILZSOJT,O,O,O
ILZOTJS,O,O,X
