sequence,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF8lBzhBunB/pBaq?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhFigBRiB3lBGnB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeT/IvhF8lBRiBypBGnBlr?BXqB,v115@GhA8HeB8HeC8BeB8AeD8Jex/IvhF0hBliBTkBmlBXq?BCsB,v115@GhA8HeB8HeC8BeB8AeD8JeOEJvhFxgBliBqpBTlB/r?BUsB,v115@GhA8HeB8HeC8BeB8AeD8JeiAJvhFRiBTkB3lBGnBlr?B0pB,v115@GhA8HeB8HeC8BeB8AeD8Jei/IvhFzhBunBRlB3lB0p?BlrB,v115@GhA8HeB8HeC8BeB8AeD8JeKEJvhFRhBunBFlBXmB8r?BzpB
LIOSTZJ,X,X,X,O,O,X,X,X
LIOSJTZ,X,X,O,O,O,X,X,X
LIOSJZT,X,X,X,O,O,X,X,X
LIOSZTJ,X,X,X,O,O,X,X,X
LIOSZJT,X,X,X,X,O,X,X,X
LIOZTJS,X,X,O,O,O,X,X,X
LIOZTSJ,X,X,X,O,O,X,X,X
LIOZJTS,X,X,O,O,O,X,X,X
LIOZJST,X,X,X,O,O,X,X,X
LIOZSTJ,X,X,X,O,O,X,X,X
LIOZSJT,X,X,X,X,O,X,X,X
LJTISZO,X,X,O,O,O,X,X,X
LJTISOZ,X,X,O,O,O,X,O,X
LJTIZSO,X,X,O,O,O,X,X,O
LJTIZOS,X,X,O,O,O,X,O,X
LJTIOSZ,X,X,O,O,O,X,O,X
LJTIOZS,X,X,O,O,O,X,O,X
LJTSIZO,O,X,O,O,O,X,X,X
LJTSIOZ,O,X,O,O,O,X,X,X
LJTSZIO,O,X,O,O,O,X,X,O
LJTSZOI,O,X,O,O,O,X,X,O
LJTSOIZ,O,X,O,O,O,X,X,X
LJTSOZI,O,X,O,O,O,X,X,X
LJTZISO,X,X,O,O,O,X,O,O
LJTZIOS,O,X,O,O,O,X,O,X
LJTZSIO,O,X,O,O,O,X,O,O
LJTZSOI,O,X,O,O,O,X,O,O
LJTZOIS,O,X,O,O,O,X,O,X
LJTZOSI,O,X,O,O,O,X,O,O
LJTOISZ,X,X,O,O,O,X,O,X
LJTOIZS,X,X,O,O,O,X,O,X
LJTOSIZ,O,X,O,O,O,X,X,X
LJTOSZI,O,X,O,O,O,X,X,X
LJTOZIS,O,X,O,O,O,X,O,X
LJTOZSI,O,X,O,O,O,X,O,O
LJITSZO,X,X,O,O,O,X,X,X
LJITSOZ,X,X,O,O,O,X,X,X
LJITZSO,X,X,O,O,O,X,X,O
LJITZOS,X,X,O,O,O,X,X,X
LJITOSZ,X,X,O,O,O,X,X,X
LJITOZS,X,X,O,O,O,X,X,X
LJISTZO,X,O,O,O,O,X,X,X
LJISTOZ,X,X,O,O,O,X,X,X
LJISZTO,X,O,X,O,O,X,X,X
LJISZOT,X,O,X,O,O,X,X,X
LJISOTZ,X,X,O,O,O,X,X,X
LJISOZT,X,O,X,O,O,X,X,X
LJIZTSO,X,X,O,O,O,X,X,O
LJIZTOS,X,X,O,O,O,X,X,X
LJIZSTO,X,O,X,O,X,X,X,O
LJIZSOT,X,O,X,O,X,X,X,O
LJIZOTS,X,X,O,O,O,X,X,X
LJIZOST,X,O,X,O,X,X,X,O
LJIOTSZ,X,X,O,O,O,X,X,X
LJIOTZS,X,X,O,O,O,X,X,X
LJIOSTZ,X,X,O,O,O,X,X,X
LJIOSZT,X,X,X,O,O,X,X,X
LJIOZTS,X,X,O,O,O,X,X,X
LJIOZST,X,X,X,O,O,X,X,X
LJSTIZO,O,O,O,O,O,X,X,X
LJSTIOZ,O,X,O,O,O,X,X,X
LJSTZIO,O,O,O,O,O,X,X,O
LJSTZOI,O,O,O,O,O,X,X,O
LJSTOIZ,O,X,O,O,O,O,X,X
LJSTOZI,O,X,O,O,O,O,X,X
LJSITZO,O,O,O,O,O,X,X,X
LJSITOZ,O,X,O,O,O,X,X,X
LJSIZTO,O,O,X,O,O,X,X,X
LJSIZOT,O,O,X,O,O,X,X,X
LJSIOTZ,X,X,O,O,O,O,X,X
LJSIOZT,O,O,X,O,O,X,X,X
LJSZTIO,O,O,X,O,O,X,X,O
LJSZTOI,O,O,X,O,O,X,X,O
LJSZITO,O,O,X,O,O,X,X,O
LJSZIOT,O,O,X,O,O,X,X,O
LJSZOTI,O,O,O,O,O,O,X,O
LJSZOIT,O,O,X,O,O,X,X,O
LJSOTIZ,O,X,O,O,O,O,X,X
LJSOTZI,O,X,O,O,O,O,X,X
LJSOITZ,X,X,O,O,O,O,X,X
LJSOIZT,O,O,X,O,O,X,X,X
LJSOZTI,O,O,O,O,O,O,X,X
LJSOZIT,O,O,X,O,O,X,X,X
LJZTISO,X,X,O,O,O,X,O,O
LJZTIOS,O,X,O,O,O,X,O,X
LJZTSIO,O,X,O,O,O,X,O,O
LJZTSOI,O,X,O,O,O,X,O,O
LJZTOIS,O,X,O,O,O,X,O,X
LJZTOSI,O,X,O,O,O,X,O,O
LJZITSO,X,X,O,O,O,X,O,O
LJZITOS,O,X,O,O,O,X,O,X
LJZISTO,X,O,X,O,X,X,O,O
LJZISOT,X,O,X,O,X,X,X,O
LJZIOTS,X,X,O,O,O,X,O,X
LJZIOST,X,O,X,O,X,X,X,O
LJZSTIO,O,O,X,O,O,X,O,O
LJZSTOI,O,O,X,O,O,X,O,O
LJZSITO,O,O,X,O,O,X,O,O
LJZSIOT,O,O,X,O,O,X,X,O
LJZSOTI,O,O,O,O,O,X,X,O
LJZSOIT,O,O,X,O,O,X,X,O
LJZOTIS,X,X,O,O,O,X,O,X
LJZOTSI,X,X,O,O,O,X,O,O
LJZOITS,X,X,O,O,O,X,O,X
LJZOIST,X,O,X,O,O,X,X,O
LJZOSTI,X,O,O,O,O,X,X,O
LJZOSIT,X,O,X,O,O,X,X,O
LJOTISZ,X,X,O,O,O,X,X,X
LJOTIZS,X,X,O,O,O,X,X,X
LJOTSIZ,X,X,O,O,O,X,X,X
LJOTSZI,X,X,O,O,O,X,X,X
LJOTZIS,X,X,O,O,O,X,X,X
LJOTZSI,X,X,O,O,O,X,X,O
LJOITSZ,X,X,O,O,O,X,X,X
LJOITZS,X,X,O,O,O,X,X,X
LJOISTZ,X,X,O,O,O,X,X,X
LJOISZT,X,X,X,O,O,X,X,X
LJOIZTS,X,X,O,O,O,X,X,X
LJOIZST,X,X,X,O,O,X,X,X
LJOSTIZ,X,X,O,O,O,O,X,X
LJOSTZI,X,X,O,O,O,O,X,X
LJOSITZ,X,X,O,O,O,O,X,X
LJOSIZT,X,X,X,O,O,X,X,X
LJOSZTI,X,X,O,O,O,O,X,X
LJOSZIT,X,X,X,O,O,X,X,X
LJOZTIS,X,X,O,O,O,X,X,X
LJOZTSI,X,X,O,O,O,X,X,O
LJOZITS,X,X,O,O,O,X,X,X
LJOZIST,X,X,X,O,O,X,X,O
LJOZSTI,X,X,O,O,O,X,X,O
LJOZSIT,X,X,X,O,O,X,X,O
LSTIJZO,O,O,O,O,O,O,X,X
LSTIJOZ,O,O,O,O,O,O,X,X
LSTIZJO,O,O,X,O,O,X,X,X
LSTIZOJ,O,O,X,O,O,X,X,X
LSTIOJZ,O,X,O,O,O,O,X,X
LSTIOZJ,O,O,X,O,O,X,X,X
LSTJIZO,O,O,O,O,O,O,X,X
LSTJIOZ,O,O,O,O,O,O,X,X
LSTJZIO,O,O,O,O,O,O,X,O
LSTJZOI,O,O,O,O,O,O,X,O
LSTJOIZ,O,O,O,O,O,O,X,X
LSTJOZI,O,O,O,O,O,O,X,X
LSTZIJO,O,O,X,O,O,X,X,O
LSTZIOJ,O,O,X,O,O,X,X,O
LSTZJIO,O,O,O,O,O,O,X,O
LSTZJOI,O,O,O,O,O,O,X,O
LSTZOIJ,O,O,X,O,O,X,X,O
LSTZOJI,O,O,O,O,O,O,X,O
LSTOIJZ,O,X,O,O,O,O,X,X
LSTOIZJ,O,O,X,O,O,X,X,X
LSTOJIZ,O,O,O,O,O,O,X,X
LSTOJZI,O,O,O,O,O,O,X,X
LSTOZIJ,O,O,X,O,O,X,X,X
LSTOZJI,O,O,O,O,O,O,X,X
LSITJZO,O,O,O,O,O,O,X,X
LSITJOZ,O,O,O,O,O,O,X,X
LSITZJO,O,O,X,O,O,X,X,X
LSITZOJ,O,O,X,O,O,X,X,X
LSITOJZ,O,X,O,O,O,O,X,X
LSITOZJ,O,O,X,O,O,X,X,X
LSIJTZO,O,O,O,O,O,X,X,X
LSIJTOZ,O,X,O,O,O,X,X,X
LSIJZTO,O,O,X,O,O,X,X,X
LSIJZOT,O,O,X,O,O,X,X,X
LSIJOTZ,X,X,O,O,O,O,X,X
LSIJOZT,O,O,X,O,O,X,X,X
LSIZTJO,O,O,X,O,O,X,X,X
LSIZTOJ,O,O,X,O,O,X,X,X
LSIZJTO,O,O,X,O,O,X,X,X
LSIZJOT,O,O,X,O,O,X,X,X
LSIZOTJ,O,O,X,O,O,X,X,X
LSIZOJT,O,O,X,O,O,X,X,X
LSIOTJZ,X,X,O,O,O,O,X,X
LSIOTZJ,X,X,X,O,O,X,X,X
LSIOJTZ,X,X,O,O,O,O,X,X
LSIOJZT,O,X,X,O,O,X,X,X
LSIOZTJ,O,O,X,O,O,X,X,X
LSIOZJT,O,O,X,O,O,X,X,X
LSJTIZO,O,O,O,O,O,O,X,X
LSJTIOZ,O,O,O,O,O,O,X,X
LSJTZIO,O,O,O,O,O,O,X,O
LSJTZOI,O,O,O,O,O,O,X,O
LSJTOIZ,O,O,O,O,O,O,X,X
LSJTOZI,O,O,O,O,O,O,X,X
LSJITZO,O,O,O,O,O,X,X,X
LSJITOZ,O,X,O,O,O,X,X,X
LSJIZTO,O,O,X,O,O,X,X,X
LSJIZOT,O,O,X,O,O,X,X,X
LSJIOTZ,X,X,O,O,O,O,X,X
LSJIOZT,O,O,X,O,O,X,X,X
LSJZTIO,O,O,X,O,O,X,X,O
LSJZTOI,O,O,X,O,O,X,X,O
LSJZITO,O,O,X,O,O,X,X,O
LSJZIOT,O,O,X,O,O,X,X,O
LSJZOTI,O,O,O,O,O,O,X,O
LSJZOIT,O,O,X,O,O,X,X,O
LSJOTIZ,O,X,O,O,O,O,X,X
LSJOTZI,O,X,O,O,O,O,X,X
LSJOITZ,X,X,O,O,O,O,X,X
LSJOIZT,O,O,X,O,O,X,X,X
LSJOZTI,O,O,O,O,O,O,X,X
LSJOZIT,O,O,X,O,O,X,X,X
LSZTIJO,O,O,X,O,O,X,X,O
LSZTIOJ,O,O,X,O,O,X,X,O
LSZTJIO,O,O,O,O,O,O,X,O
LSZTJOI,O,O,O,O,O,O,X,O
LSZTOIJ,O,O,X,O,O,X,X,O
LSZTOJI,O,O,O,O,O,O,X,O
LSZITJO,O,O,X,O,O,X,X,O
LSZITOJ,O,O,X,O,O,X,X,O
LSZIJTO,O,O,X,O,O,X,X,O
LSZIJOT,O,O,X,O,O,X,X,O
LSZIOTJ,O,O,X,O,O,X,X,O
LSZIOJT,O,O,X,O,O,X,X,O
LSZJTIO,O,O,X,O,O,X,X,O
LSZJTOI,O,O,X,O,O,X,X,O
LSZJITO,O,O,X,O,O,X,X,O
LSZJIOT,O,O,X,O,O,X,X,O
LSZJOTI,O,O,O,O,O,O,X,O
LSZJOIT,O,O,X,O,O,X,X,O
LSZOTIJ,O,O,X,O,O,X,X,O
LSZOTJI,O,O,O,O,O,O,X,O
LSZOITJ,O,O,X,O,O,X,X,O
LSZOIJT,O,O,X,O,O,X,X,O
LSZOJTI,O,O,O,O,O,O,X,O
LSZOJIT,O,O,X,O,O,X,X,O
LSOTIJZ,O,X,O,O,O,O,X,X
LSOTIZJ,O,O,X,O,O,X,X,X
LSOTJIZ,O,O,O,O,O,O,X,X
LSOTJZI,O,O,O,O,O,O,X,X
LSOTZIJ,O,O,X,O,O,X,X,X
LSOTZJI,O,O,O,O,O,O,X,X
LSOITJZ,X,X,O,O,O,O,X,X
LSOITZJ,X,X,X,O,O,X,X,X
LSOIJTZ,X,X,O,O,O,O,X,X
LSOIJZT,O,X,X,O,O,X,X,X
LSOIZTJ,O,O,X,O,O,X,X,X
LSOIZJT,O,O,X,O,O,X,X,X
LSOJTIZ,O,X,O,O,O,O,X,X
LSOJTZI,O,X,O,O,O,O,X,X
LSOJITZ,X,X,O,O,O,O,X,X
LSOJIZT,O,O,X,O,O,X,X,X
LSOJZTI,O,O,O,O,O,O,X,X
LSOJZIT,O,O,X,O,O,X,X,X
LSOZTIJ,O,O,X,O,O,X,X,X
LSOZTJI,O,O,O,O,O,O,X,X
LSOZITJ,O,O,X,O,O,X,X,X
LSOZIJT,O,O,X,O,O,X,X,X
LSOZJTI,O,O,O,O,O,O,X,X
LSOZJIT,O,O,X,O,O,X,X,X
LZTIJSO,X,O,O,O,O,X,O,O
LZTIJOS,O,O,O,O,O,X,O,X
LZTISJO,X,O,X,O,O,X,O,O
LZTISOJ,X,O,X,O,O,X,O,O
LZTIOJS,O,O,O,O,O,X,O,X
LZTIOSJ,X,O,X,O,O,X,O,X
LZTJISO,X,O,O,O,O,X,O,O
LZTJIOS,O,O,O,O,O,X,O,X
LZTJSIO,O,O,O,O,O,X,O,O
LZTJSOI,O,O,O,O,O,X,O,O
LZTJOIS,O,O,O,O,O,X,O,X
LZTJOSI,O,O,O,O,O,X,O,O
LZTSIJO,O,O,X,O,O,X,O,O
LZTSIOJ,O,O,X,O,O,X,O,O
LZTSJIO,O,O,O,O,O,X,O,O
LZTSJOI,O,O,O,O,O,X,O,O
LZTSOIJ,O,O,X,O,O,X,O,O
LZTSOJI,O,O,O,O,O,X,O,O
LZTOIJS,O,O,O,O,O,X,O,X
LZTOISJ,X,O,X,O,O,X,O,X
LZTOJIS,O,O,O,O,O,X,O,X
LZTOJSI,O,O,O,O,O,X,O,O
LZTOSIJ,O,O,X,O,O,X,O,O
LZTOSJI,O,O,O,O,O,X,O,O
LZITJSO,X,O,O,O,O,X,O,O
LZITJOS,O,O,O,O,O,X,O,X
LZITSJO,X,O,X,O,O,X,O,O
LZITSOJ,X,O,X,O,O,X,O,O
LZITOJS,O,O,O,O,O,X,O,X
LZITOSJ,X,O,X,O,O,X,O,X
LZIJTSO,X,X,O,O,O,X,O,O
LZIJTOS,O,X,O,O,O,X,O,X
LZIJSTO,X,O,X,O,X,X,O,O
LZIJSOT,X,O,X,O,X,X,X,O
LZIJOTS,X,X,O,O,O,X,O,X
LZIJOST,X,O,X,O,X,X,X,O
LZISTJO,X,X,X,O,X,X,O,O
LZISTOJ,X,O,X,O,X,X,O,O
LZISJTO,X,X,X,O,X,X,O,O
LZISJOT,X,O,X,O,X,X,X,O
LZISOTJ,X,O,X,O,X,X,X,O
LZISOJT,X,O,X,O,X,X,X,O
LZIOTJS,X,O,O,O,O,X,O,X
LZIOTSJ,X,O,X,O,O,X,O,X
LZIOJTS,X,X,O,O,O,X,O,X
LZIOJST,X,O,X,O,X,X,X,O
LZIOSTJ,X,O,X,O,X,X,X,O
LZIOSJT,X,O,X,X,X,X,X,O
LZJTISO,X,X,O,O,O,X,O,O
LZJTIOS,O,X,O,O,O,X,O,X
LZJTSIO,O,X,O,O,O,X,O,O
LZJTSOI,O,X,O,O,O,X,O,O
LZJTOIS,O,X,O,O,O,X,O,X
LZJTOSI,O,X,O,O,O,X,O,O
LZJITSO,X,X,O,O,O,X,O,O
LZJITOS,O,X,O,O,O,X,O,X
LZJISTO,X,O,X,O,X,X,O,O
LZJISOT,X,O,X,O,X,X,X,O
LZJIOTS,X,X,O,O,O,X,O,X
LZJIOST,X,O,X,O,X,X,X,O
LZJSTIO,O,O,X,O,O,X,O,O
LZJSTOI,O,O,X,O,O,X,O,O
LZJSITO,O,O,X,O,O,X,O,O
LZJSIOT,O,O,X,O,O,X,X,O
LZJSOTI,O,O,O,O,O,X,X,O
LZJSOIT,O,O,X,O,O,X,X,O
LZJOTIS,X,X,O,O,O,X,O,X
LZJOTSI,X,X,O,O,O,X,O,O
LZJOITS,X,X,O,O,O,X,O,X
LZJOIST,X,O,X,O,O,X,X,O
LZJOSTI,X,O,O,O,O,X,X,O
LZJOSIT,X,O,X,O,O,X,X,O
LZSTIJO,O,O,X,O,O,X,O,O
LZSTIOJ,O,O,X,O,O,X,O,O
LZSTJIO,O,O,O,O,O,X,O,O
LZSTJOI,O,O,O,O,O,X,O,O
LZSTOIJ,O,O,X,O,O,X,O,O
LZSTOJI,O,O,O,O,O,X,O,O
LZSITJO,O,O,X,O,O,X,O,O
LZSITOJ,O,O,X,O,O,X,O,O
LZSIJTO,O,O,X,O,O,X,O,O
LZSIJOT,O,O,X,O,O,X,X,O
LZSIOTJ,O,O,X,O,O,X,X,O
LZSIOJT,O,O,X,O,O,X,X,O
LZSJTIO,O,O,X,O,O,X,O,O
LZSJTOI,O,O,X,O,O,X,O,O
LZSJITO,O,O,X,O,O,X,O,O
LZSJIOT,O,O,X,O,O,X,X,O
LZSJOTI,O,O,O,O,O,X,X,O
LZSJOIT,O,O,X,O,O,X,X,O
LZSOTIJ,O,O,X,O,O,X,X,O
LZSOTJI,O,O,O,O,O,X,X,O
LZSOITJ,O,O,X,O,O,X,X,O
LZSOIJT,O,O,X,O,O,X,X,O
LZSOJTI,O,O,O,O,O,X,X,O
LZSOJIT,O,O,X,O,O,X,X,O
LZOTIJS,X,O,O,O,O,X,O,X
LZOTISJ,X,O,X,O,O,X,O,X
LZOTJIS,X,O,O,O,O,X,O,X
LZOTJSI,X,O,O,O,O,X,O,O
LZOTSIJ,X,O,X,O,O,X,O,O
LZOTSJI,X,O,O,O,O,X,O,O
LZOITJS,X,O,O,O,O,X,O,X
LZOITSJ,X,O,X,O,O,X,O,X
LZOIJTS,X,X,O,O,O,X,O,X
LZOIJST,X,O,X,O,O,X,X,O
LZOISTJ,X,O,X,O,O,X,X,O
LZOISJT,X,O,X,X,O,X,X,O
LZOJTIS,X,X,O,O,O,X,O,X
LZOJTSI,X,X,O,O,O,X,O,O
LZOJITS,X,X,O,O,O,X,O,X
LZOJIST,X,O,X,O,O,X,X,O
LZOJSTI,X,O,O,O,O,X,X,O
LZOJSIT,X,O,X,O,O,X,X,O
LZOSTIJ,X,O,X,O,O,X,X,O
LZOSTJI,X,O,O,O,O,X,X,O
LZOSITJ,X,O,X,O,O,X,X,O
LZOSIJT,X,O,X,O,O,X,X,O
LZOSJTI,X,O,O,O,O,X,X,O
LZOSJIT,X,O,X,O,O,X,X,O
LOTIJSZ,X,X,O,O,O,O,X,X
LOTIJZS,X,X,O,O,O,X,X,X
LOTISJZ,X,X,O,O,O,X,X,X
LOTISZJ,X,X,X,O,O,X,X,X
LOTIZJS,X,X,O,O,O,X,X,X
LOTIZSJ,X,X,X,O,O,X,X,X
LOTJISZ,X,X,O,O,O,O,X,X
LOTJIZS,X,X,O,O,O,X,X,X
LOTJSIZ,X,X,O,O,O,O,X,X
LOTJSZI,X,X,O,O,O,O,X,X
LOTJZIS,X,X,O,O,O,X,X,X
LOTJZSI,X,X,O,O,O,X,X,O
LOTSIJZ,X,X,O,O,O,O,X,X
LOTSIZJ,X,X,X,O,O,X,X,X
LOTSJIZ,X,X,O,O,O,O,X,X
LOTSJZI,X,X,O,O,O,O,X,X
LOTSZIJ,X,X,X,O,O,X,X,X
LOTSZJI,X,X,O,O,O,O,X,X
LOTZIJS,X,X,O,O,O,X,X,X
LOTZISJ,X,X,X,O,O,X,X,X
LOTZJIS,X,X,O,O,O,X,X,X
LOTZJSI,X,X,O,O,O,X,X,O
LOTZSIJ,X,X,X,O,O,X,X,O
LOTZSJI,X,X,O,O,O,X,X,O
LOITJSZ,X,X,O,O,O,O,X,X
LOITJZS,X,X,O,O,O,X,X,X
LOITSJZ,X,X,O,O,O,X,X,X
LOITSZJ,X,X,X,O,O,X,X,X
LOITZJS,X,X,O,O,O,X,X,X
LOITZSJ,X,X,X,O,O,X,X,X
LOIJTSZ,X,X,O,O,O,X,X,X
LOIJTZS,X,X,O,O,O,X,X,X
LOIJSTZ,X,X,O,O,O,X,X,X
LOIJSZT,X,X,X,O,O,X,X,X
LOIJZTS,X,X,O,O,O,X,X,X
LOIJZST,X,X,X,O,O,X,X,X
LOISTJZ,X,X,O,O,O,X,X,X
LOISTZJ,X,X,X,O,O,X,X,X
LOISJTZ,X,X,O,O,O,X,X,X
LOISJZT,X,X,X,O,O,X,X,X
LOISZTJ,X,X,X,O,O,X,X,X
LOISZJT,X,X,X,X,O,X,X,X
LOIZTJS,X,X,O,O,O,X,X,X
LOIZTSJ,X,X,X,O,O,X,X,X
LOIZJTS,X,X,O,O,O,X,X,X
LOIZJST,X,X,X,O,O,X,X,X
LOIZSTJ,X,X,X,O,O,X,X,X
LOIZSJT,X,X,X,X,O,X,X,X
LOJTISZ,X,X,O,O,O,X,X,X
LOJTIZS,X,X,O,O,O,X,X,X
LOJTSIZ,X,X,O,O,O,X,X,X
LOJTSZI,X,X,O,O,O,X,X,X
LOJTZIS,X,X,O,O,O,X,X,X
LOJTZSI,X,X,O,O,O,X,X,O
LOJITSZ,X,X,O,O,O,X,X,X
LOJITZS,X,X,O,O,O,X,X,X
LOJISTZ,X,X,O,O,O,X,X,X
LOJISZT,X,X,X,O,O,X,X,X
LOJIZTS,X,X,O,O,O,X,X,X
LOJIZST,X,X,X,O,O,X,X,X
LOJSTIZ,X,X,O,O,O,O,X,X
LOJSTZI,X,X,O,O,O,O,X,X
LOJSITZ,X,X,O,O,O,O,X,X
LOJSIZT,X,X,X,O,O,X,X,X
LOJSZTI,X,X,O,O,O,O,X,X
LOJSZIT,X,X,X,O,O,X,X,X
LOJZTIS,X,X,O,O,O,X,X,X
LOJZTSI,X,X,O,O,O,X,X,O
LOJZITS,X,X,O,O,O,X,X,X
LOJZIST,X,X,X,O,O,X,X,O
LOJZSTI,X,X,O,O,O,X,X,O
LOJZSIT,X,X,X,O,O,X,X,O
LOSTIJZ,X,X,O,O,O,O,X,X
LOSTIZJ,X,X,X,O,O,X,X,X
LOSTJIZ,X,X,O,O,O,O,X,X
LOSTJZI,X,X,O,O,O,O,X,X
LOSTZIJ,X,X,X,O,O,X,X,X
LOSTZJI,X,X,O,O,O,O,X,X
LOSITJZ,X,X,O,O,O,O,X,X
LOSITZJ,X,X,X,O,O,X,X,X
LOSIJTZ,X,X,O,O,O,O,X,X
LOSIJZT,X,X,X,O,O,X,X,X
LOSIZTJ,X,X,X,O,O,X,X,X
LOSIZJT,X,X,X,O,O,X,X,X
LOSJTIZ,X,X,O,O,O,O,X,X
LOSJTZI,X,X,O,O,O,O,X,X
LOSJITZ,X,X,O,O,O,O,X,X
LOSJIZT,X,X,X,O,O,X,X,X
LOSJZTI,X,X,O,O,O,O,X,X
LOSJZIT,X,X,X,O,O,X,X,X
LOSZTIJ,X,X,X,O,O,X,X,X
LOSZTJI,X,X,O,O,O,O,X,X
LOSZITJ,X,X,X,O,O,X,X,X
LOSZIJT,X,X,X,O,O,X,X,X
LOSZJTI,X,X,O,O,O,O,X,X
LOSZJIT,X,X,X,O,O,X,X,X
LOZTIJS,X,X,O,O,O,X,X,X
LOZTISJ,X,X,X,O,O,X,X,X
LOZTJIS,X,X,O,O,O,X,X,X
LOZTJSI,X,X,O,O,O,X,X,O
LOZTSIJ,X,X,X,O,O,X,X,O
LOZTSJI,X,X,O,O,O,X,X,O
LOZITJS,X,X,O,O,O,X,X,X
LOZITSJ,X,X,X,O,O,X,X,X
LOZIJTS,X,X,O,O,O,X,X,X
LOZIJST,X,X,X,O,O,X,X,O
LOZISTJ,X,X,X,O,O,X,X,O
LOZISJT,X,X,X,X,O,X,X,O
LOZJTIS,X,X,O,O,O,X,X,X
LOZJTSI,X,X,O,O,O,X,X,O
LOZJITS,X,X,O,O,O,X,X,X
LOZJIST,X,X,X,O,O,X,X,O
LOZJSTI,X,X,O,O,O,X,X,O
LOZJSIT,X,X,X,O,O,X,X,O
LOZSTIJ,X,X,X,O,O,X,X,O
LOZSTJI,X,X,O,O,O,X,X,O
LOZSITJ,X,X,X,O,O,X,X,O
LOZSIJT,X,X,X,O,O,X,X,O
LOZSJTI,X,X,O,O,O,X,X,O
LOZSJIT,X,X,X,O,O,X,X,O
JTILSZO,X,O,O,O,O,O,X,X
JTILSOZ,X,O,O,O,O,O,O,X
JTILZSO,X,O,O,O,O,X,X,X
JTILZOS,X,O,O,O,O,X,O,X
JTILOSZ,X,X,O,O,O,O,O,X
JTILOZS,X,X,O,O,O,X,O,X
JTISLZO,O,O,O,O,O,O,X,X
JTISLOZ,O,O,O,O,O,O,O,X
JTISZLO,O,O,O,O,O,O,X,X
JTISZOL,O,O,X,O,O,O,X,X
JTISOLZ,O,O,X,O,O,O,O,X
JTISOZL,O,O,X,O,O,O,X,X
JTIZLSO,X,O,O,O,O,X,O,X
JTIZLOS,O,O,O,O,O,X,O,X
JTIZSLO,O,O,O,O,O,O,O,X
JTIZSOL,O,O,X,O,O,O,O,X
JTIZOLS,O,O,O,O,X,X,O,X
JTIZOSL,O,O,X,O,X,O,O,X
JTIOLSZ,X,X,O,O,X,O,O,X
JTIOLZS,X,X,O,O,X,X,O,X
JTIOSLZ,O,O,X,O,X,O,O,X
JTIOSZL,O,O,X,O,X,O,X,X
JTIOZLS,O,O,O,O,X,X,O,X
JTIOZSL,O,O,X,O,X,O,O,X
JTLISZO,X,O,O,O,O,O,X,X
JTLISOZ,X,O,O,O,O,O,O,X
JTLIZSO,X,O,O,O,O,X,X,O
JTLIZOS,X,O,O,O,O,X,O,X
JTLIOSZ,X,X,O,O,O,O,O,X
JTLIOZS,X,X,O,O,O,X,O,X
JTLSIZO,O,O,O,O,O,O,X,X
JTLSIOZ,O,O,O,O,O,O,X,X
JTLSZIO,O,O,O,O,O,O,X,O
JTLSZOI,O,O,O,O,O,O,X,O
JTLSOIZ,O,O,O,O,O,O,X,X
JTLSOZI,O,O,O,O,O,O,X,X
JTLZISO,X,O,O,O,O,X,O,O
JTLZIOS,O,O,O,O,O,X,O,X
JTLZSIO,O,O,O,O,O,X,O,O
JTLZSOI,O,O,O,O,O,X,O,O
JTLZOIS,O,O,O,O,O,X,O,X
JTLZOSI,O,O,O,O,O,X,O,O
JTLOISZ,X,X,O,O,O,O,O,X
JTLOIZS,X,X,O,O,O,X,O,X
JTLOSIZ,O,X,O,O,O,O,X,X
JTLOSZI,O,X,O,O,O,O,X,X
JTLOZIS,O,X,O,O,O,X,O,X
JTLOZSI,O,X,O,O,O,X,O,O
JTSILZO,O,O,O,O,O,O,X,X
JTSILOZ,O,O,O,O,O,O,O,X
JTSIZLO,O,O,O,O,O,O,X,X
JTSIZOL,O,O,X,O,O,O,X,X
JTSIOLZ,O,O,X,O,O,O,O,X
JTSIOZL,O,O,X,O,O,O,X,X
JTSLIZO,O,O,O,O,O,O,X,X
JTSLIOZ,O,O,O,O,O,O,X,X
JTSLZIO,O,O,O,O,O,O,X,X
JTSLZOI,O,O,O,O,O,O,X,X
JTSLOIZ,O,O,O,O,O,O,X,X
JTSLOZI,O,O,O,O,O,O,X,X
JTSZILO,O,O,O,O,O,O,O,X
JTSZIOL,O,O,X,O,O,O,O,X
JTSZLIO,O,O,O,O,O,O,O,X
JTSZLOI,O,O,O,O,O,O,O,X
JTSZOIL,O,O,X,O,O,O,O,X
JTSZOLI,O,O,X,O,O,O,O,X
JTSOILZ,O,O,X,O,O,O,O,X
JTSOIZL,O,O,X,O,O,O,X,X
JTSOLIZ,O,O,X,O,O,O,X,X
JTSOLZI,O,O,X,O,O,O,X,X
JTSOZIL,O,O,X,O,X,O,O,X
JTSOZLI,O,O,X,O,X,O,O,X
JTZILSO,X,O,O,O,O,X,O,O
JTZILOS,O,O,O,O,O,X,O,X
JTZISLO,O,O,O,O,O,O,O,O
