sequence,v115@9gB8HeC8GeA8IeE8CeA8KelAJvhFUiBGjB6rB/tBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFlhBGjB6sB/tBRq?BzrB,v115@9gB8HeC8GeA8IeE8CeA8Ke8FJvhFzhBaoB5oB+sBXl?BlrB,v115@9gB8HeC8GeA8IeE8CeA8Ke0AJvhFVnBGjB/tB6rBRq?BTsB,v115@9gB8HeC8GeA8IeE8CeA8Ke0BJvhFliB5oBzlBysBXl?BWxB
TSZLOIJ,O,X,X,X,X
TSZLOJI,O,O,X,X,X
TSZJILO,O,O,O,X,X
TSZJIOL,O,O,O,O,X
TSZJLIO,O,O,O,X,X
TSZJLOI,O,O,O,X,X
TSZJOIL,O,O,O,O,X
TSZJOLI,O,O,O,O,X
TSZOILJ,O,X,X,O,X
TSZOIJL,O,O,O,O,X
TSZOLIJ,X,O,X,X,X
TSZOLJI,O,O,X,O,X
TSZOJIL,O,O,O,O,X
TSZOJLI,O,O,O,O,X
TSOILJZ,O,X,X,O,X
TSOILZJ,O,X,X,O,X
TSOIJLZ,O,X,O,O,X
TSOIJZL,O,O,O,O,X
TSOIZLJ,O,X,X,O,X
TSOIZJL,O,O,O,O,X
TSOLIJZ,O,O,X,X,X
TSOLIZJ,O,O,X,X,X
TSOLJIZ,O,O,X,X,X
TSOLJZI,O,O,X,O,X
TSOLZIJ,O,O,X,X,X
TSOLZJI,O,O,X,O,X
TSOJILZ,O,X,O,O,X
TSOJIZL,O,O,O,O,X
TSOJLIZ,O,X,O,X,X
TSOJLZI,O,O,O,O,X
TSOJZIL,O,O,O,O,X
TSOJZLI,O,O,O,O,X
TSOZILJ,O,X,X,O,X
TSOZIJL,O,O,O,O,X
TSOZLIJ,O,O,X,X,X
TSOZLJI,O,O,X,O,X
TSOZJIL,O,O,O,O,X
TSOZJLI,O,O,O,O,X
TZILJSO,O,O,O,X,X
TZILJOS,X,X,O,X,X
TZILSJO,O,O,X,X,X
TZILSOJ,O,O,X,X,X
TZILOJS,O,X,O,X,X
TZILOSJ,O,O,X,X,X
TZIJLSO,X,O,O,X,X
TZIJLOS,X,X,O,X,X
TZIJSLO,X,O,O,X,X
TZIJSOL,X,O,O,X,X
TZIJOLS,X,X,O,X,X
TZIJOSL,X,O,O,X,X
TZISLJO,O,O,X,X,X
TZISLOJ,O,O,X,X,X
TZISJLO,O,O,O,X,X
