sequence,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThB0iB6oB2s?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBThBKnBGjBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBihBziB+oBUn?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mB0iB6oB2s?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF3gB9mBKnBGjBUo?BzqB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lBKnBGjBTmBUo?BXrB,v115@+gB8HeA8IeB8HeB8BeE8JeZEJvhF9lB2mBCjBToBUn?BXrB
LSIJTZO,O,O,O,O,X,X,X
LSIJTOZ,O,O,O,O,X,X,X
LSIJZTO,O,O,O,O,X,X,X
LSIJZOT,O,O,O,O,X,X,X
LSIJOTZ,O,X,O,O,X,X,X
LSIJOZT,O,X,X,O,X,X,X
LSIZTJO,O,O,O,O,O,O,X
LSIZTOJ,O,O,O,X,O,O,X
LSIZJTO,O,O,O,X,O,O,X
LSIZJOT,O,O,O,X,O,X,X
LSIZOTJ,X,O,X,X,O,X,X
LSIZOJT,X,O,X,X,O,X,X
LSIOTJZ,O,O,X,O,O,X,O
LSIOTZJ,O,O,X,O,O,X,O
LSIOJTZ,O,X,X,O,X,X,O
LSIOJZT,O,X,X,O,X,X,X
LSIOZTJ,X,O,X,O,O,X,O
LSIOZJT,X,O,X,X,O,X,X
LSJTIZO,O,O,O,O,X,X,X
LSJTIOZ,O,O,O,O,X,X,X
LSJTZIO,O,O,O,O,X,X,X
LSJTZOI,O,O,O,O,X,X,X
LSJTOIZ,O,O,O,O,X,X,X
LSJTOZI,O,O,O,O,X,X,X
LSJITZO,O,O,O,O,X,X,X
LSJITOZ,O,O,O,O,X,X,X
LSJIZTO,O,O,O,O,X,X,X
LSJIZOT,O,O,O,O,X,X,X
LSJIOTZ,O,X,O,O,X,X,X
LSJIOZT,O,X,X,O,X,X,X
LSJZTIO,O,O,O,O,X,X,X
LSJZTOI,O,O,O,O,X,X,X
LSJZITO,O,O,O,O,X,X,X
LSJZIOT,O,O,O,O,X,X,X
LSJZOTI,O,O,O,O,X,X,X
LSJZOIT,O,O,O,O,X,X,X
LSJOTIZ,O,X,O,O,X,X,X
LSJOTZI,O,X,O,O,X,X,X
LSJOITZ,O,X,O,O,X,X,X
LSJOIZT,O,X,X,O,X,X,X
LSJOZTI,O,X,X,O,X,X,X
LSJOZIT,O,X,X,O,X,X,X
LSZTIJO,O,O,O,O,O,O,X
LSZTIOJ,O,O,O,X,O,O,X
LSZTJIO,O,O,O,O,O,O,X
LSZTJOI,O,O,O,O,O,O,X
LSZTOIJ,O,O,O,X,O,O,X
LSZTOJI,O,O,O,X,O,O,X
LSZITJO,O,O,O,O,O,O,X
LSZITOJ,O,O,O,X,O,O,X
LSZIJTO,O,O,O,X,O,O,X
LSZIJOT,O,O,O,X,O,X,X
LSZIOTJ,X,O,X,X,O,X,X
LSZIOJT,X,O,X,X,O,X,X
LSZJTIO,O,O,O,X,O,O,X
LSZJTOI,O,O,O,X,O,O,X
LSZJITO,O,O,O,X,O,O,X
LSZJIOT,O,O,O,X,O,X,X
LSZJOTI,O,O,O,X,O,X,X
LSZJOIT,O,O,O,X,O,X,X
LSZOTIJ,X,O,X,X,O,X,X
LSZOTJI,X,O,X,X,O,X,X
LSZOITJ,X,O,X,X,O,X,X
LSZOIJT,X,O,X,X,O,X,X
LSZOJTI,X,O,X,X,O,X,X
LSZOJIT,X,O,X,X,O,X,X
LSOTIJZ,O,O,X,O,O,X,O
LSOTIZJ,O,O,X,O,O,X,O
LSOTJIZ,O,O,X,O,O,X,O
LSOTJZI,O,O,X,O,O,X,O
LSOTZIJ,O,O,X,O,O,X,O
LSOTZJI,O,O,X,O,O,X,O
LSOITJZ,O,O,X,O,O,X,O
LSOITZJ,O,O,X,O,O,X,O
LSOIJTZ,O,X,X,O,X,X,O
LSOIJZT,O,X,X,O,X,X,X
LSOIZTJ,X,O,X,O,O,X,O
LSOIZJT,X,O,X,X,O,X,X
LSOJTIZ,O,X,X,O,X,X,O
LSOJTZI,O,X,X,O,X,X,O
LSOJITZ,O,X,X,O,X,X,O
LSOJIZT,O,X,X,O,X,X,X
LSOJZTI,O,X,X,O,X,X,X
LSOJZIT,O,X,X,O,X,X,X
LSOZTIJ,X,O,X,O,O,X,O
LSOZTJI,X,O,X,O,O,X,O
LSOZITJ,X,O,X,O,O,X,O
LSOZIJT,X,O,X,X,O,X,X
LSOZJTI,X,O,X,X,O,X,X
LSOZJIT,X,O,X,X,O,X,X
LZTIJSO,O,O,O,O,O,O,X
LZTIJOS,O,O,O,O,O,O,X
LZTISJO,X,O,O,O,O,O,X
LZTISOJ,X,O,X,X,O,O,X
LZTIOJS,X,O,O,X,O,O,X
LZTIOSJ,X,O,X,X,O,O,X
LZTJISO,O,O,O,O,O,O,X
LZTJIOS,O,O,O,O,O,O,X
LZTJSIO,O,O,O,O,O,O,X
LZTJSOI,O,O,O,O,O,O,X
LZTJOIS,O,O,O,O,O,O,X
LZTJOSI,O,O,O,O,O,O,X
LZTSIJO,X,O,O,O,O,O,X
LZTSIOJ,X,O,X,X,O,O,X
LZTSJIO,X,O,O,O,O,O,X
LZTSJOI,X,O,O,O,O,O,X
LZTSOIJ,X,O,X,X,O,O,X
LZTSOJI,X,O,X,X,O,O,X
LZTOIJS,X,O,O,X,O,O,X
LZTOISJ,X,O,X,X,O,O,X
LZTOJIS,X,O,O,X,O,O,X
LZTOJSI,X,O,O,X,O,O,X
LZTOSIJ,X,O,X,X,O,O,X
LZTOSJI,X,O,X,X,O,O,X
LZITJSO,O,O,O,O,O,O,X
LZITJOS,O,O,O,O,O,O,X
LZITSJO,X,O,O,O,O,O,X
LZITSOJ,X,O,X,X,O,O,X
LZITOJS,X,O,O,X,O,O,X
LZITOSJ,X,O,X,X,O,O,X
LZIJTSO,O,O,O,O,O,O,X
LZIJTOS,O,O,O,O,O,O,X
LZIJSTO,O,O,O,O,O,O,X
LZIJSOT,O,O,O,O,O,X,X
LZIJOTS,O,O,O,O,O,O,X
LZIJOST,O,O,O,O,O,X,X
LZISTJO,O,O,O,O,O,O,X
LZISTOJ,O,O,O,X,O,O,X
LZISJTO,O,O,O,X,O,O,X
LZISJOT,O,O,O,X,O,X,X
LZISOTJ,X,O,X,X,O,X,X
LZISOJT,X,O,X,X,O,X,X
LZIOTJS,X,O,X,O,O,O,X
LZIOTSJ,X,O,X,O,O,O,X
LZIOJTS,X,O,X,O,O,O,X
LZIOJST,X,O,X,O,O,X,X
LZIOSTJ,X,O,X,O,O,X,X
LZIOSJT,X,O,X,X,O,X,X
LZJTISO,O,O,O,O,O,O,X
LZJTIOS,O,O,O,O,O,O,X
LZJTSIO,O,O,O,O,O,O,X
LZJTSOI,O,O,O,O,O,O,X
LZJTOIS,O,O,O,O,O,O,X
LZJTOSI,O,O,O,O,O,O,X
LZJITSO,O,O,O,O,O,O,X
LZJITOS,O,O,O,O,O,O,X
LZJISTO,O,O,O,O,O,O,X
LZJISOT,O,O,O,O,O,X,X
LZJIOTS,O,O,O,O,O,O,X
LZJIOST,O,O,O,O,O,X,X
LZJSTIO,O,O,O,O,O,O,X
LZJSTOI,O,O,O,O,O,O,X
LZJSITO,O,O,O,O,O,O,X
LZJSIOT,O,O,O,O,O,X,X
LZJSOTI,O,O,O,O,O,X,X
LZJSOIT,O,O,O,O,O,X,X
LZJOTIS,O,O,O,O,O,O,X
LZJOTSI,O,O,O,O,O,O,X
LZJOITS,O,O,O,O,O,O,X
LZJOIST,O,O,O,O,O,X,X
LZJOSTI,O,O,O,O,O,X,X
LZJOSIT,O,O,O,O,O,X,X
LZSTIJO,O,O,O,O,O,O,X
LZSTIOJ,O,O,O,X,O,O,X
LZSTJIO,O,O,O,O,O,O,X
LZSTJOI,O,O,O,O,O,O,X
LZSTOIJ,O,O,O,X,O,O,X
LZSTOJI,O,O,O,X,O,O,X
LZSITJO,O,O,O,O,O,O,X
LZSITOJ,O,O,O,X,O,O,X
LZSIJTO,O,O,O,X,O,O,X
LZSIJOT,O,O,O,X,O,X,X
LZSIOTJ,X,O,X,X,O,X,X
LZSIOJT,X,O,X,X,O,X,X
LZSJTIO,O,O,O,X,O,O,X
LZSJTOI,O,O,O,X,O,O,X
LZSJITO,O,O,O,X,O,O,X
LZSJIOT,O,O,O,X,O,X,X
LZSJOTI,O,O,O,X,O,X,X
LZSJOIT,O,O,O,X,O,X,X
LZSOTIJ,X,O,X,X,O,X,X
LZSOTJI,X,O,X,X,O,X,X
LZSOITJ,X,O,X,X,O,X,X
LZSOIJT,X,O,X,X,O,X,X
LZSOJTI,X,O,X,X,O,X,X
LZSOJIT,X,O,X,X,O,X,X
LZOTIJS,X,O,X,O,O,O,X
LZOTISJ,X,O,X,O,O,O,X
LZOTJIS,X,O,X,O,O,O,X
LZOTJSI,X,O,X,O,O,O,X
LZOTSIJ,X,O,X,O,O,O,X
LZOTSJI,X,O,X,O,O,O,X
LZOITJS,X,O,X,O,O,O,X
LZOITSJ,X,O,X,O,O,O,X
LZOIJTS,X,O,X,O,O,O,X
LZOIJST,X,O,X,O,O,X,X
LZOISTJ,X,O,X,O,O,X,X
LZOISJT,X,O,X,X,O,X,X
LZOJTIS,X,O,X,O,O,O,X
LZOJTSI,X,O,X,O,O,O,X
LZOJITS,X,O,X,O,O,O,X
LZOJIST,X,O,X,O,O,X,X
LZOJSTI,X,O,X,O,O,X,X
LZOJSIT,X,O,X,O,O,X,X
LZOSTIJ,X,O,X,O,O,X,X
LZOSTJI,X,O,X,O,O,X,X
LZOSITJ,X,O,X,O,O,X,X
LZOSIJT,X,O,X,X,O,X,X
LZOSJTI,X,O,X,X,O,X,X
LZOSJIT,X,O,X,X,O,X,X
LOTIJSZ,O,X,X,O,O,X,X
LOTIJZS,O,X,X,O,O,O,X
LOTISJZ,X,O,X,O,O,X,O
LOTISZJ,X,O,X,O,O,O,O
LOTIZJS,X,O,X,O,O,O,X
LOTIZSJ,X,O,X,O,O,O,X
LOTJISZ,O,X,X,O,O,X,X
LOTJIZS,O,X,X,O,O,O,X
LOTJSIZ,O,X,X,O,O,X,X
LOTJSZI,O,X,X,O,O,X,X
LOTJZIS,O,X,X,O,O,O,X
LOTJZSI,O,X,X,O,O,O,X
LOTSIJZ,X,O,X,O,O,X,O
LOTSIZJ,X,O,X,O,O,O,O
LOTSJIZ,X,O,X,O,O,X,O
LOTSJZI,X,O,X,O,O,X,O
LOTSZIJ,X,O,X,O,O,O,O
LOTSZJI,X,O,X,O,O,O,O
LOTZIJS,X,O,X,O,O,O,X
LOTZISJ,X,O,X,O,O,O,X
LOTZJIS,X,O,X,O,O,O,X
LOTZJSI,X,O,X,O,O,O,X
LOTZSIJ,X,O,X,O,O,O,X
LOTZSJI,X,O,X,O,O,O,X
LOITJSZ,O,X,X,O,O,X,X
LOITJZS,O,X,X,O,O,O,X
LOITSJZ,X,O,X,O,O,X,O
LOITSZJ,X,O,X,O,O,O,O
LOITZJS,X,O,X,O,O,O,X
LOITZSJ,X,O,X,O,O,O,X
LOIJTSZ,O,X,X,O,O,X,X
LOIJTZS,O,X,X,O,O,X,X
LOIJSTZ,O,X,X,O,X,X,O
LOIJSZT,O,X,X,O,X,X,X
LOIJZTS,O,X,X,O,O,X,X
LOIJZST,O,X,X,O,O,X,X
LOISTJZ,O,O,X,O,O,X,O
LOISTZJ,O,O,X,O,O,X,O
LOISJTZ,O,X,X,O,X,X,O
LOISJZT,O,X,X,O,X,X,X
LOISZTJ,X,O,X,O,O,X,O
LOISZJT,X,O,X,X,O,X,X
LOIZTJS,X,O,X,O,O,O,X
LOIZTSJ,X,O,X,O,O,O,X
LOIZJTS,X,O,X,O,O,O,X
LOIZJST,X,O,X,O,O,X,X
LOIZSTJ,X,O,X,O,O,X,O
LOIZSJT,X,O,X,X,O,X,X
LOJTISZ,O,X,X,O,O,X,X
LOJTIZS,O,X,X,O,O,X,X
LOJTSIZ,O,X,X,O,O,X,X
LOJTSZI,O,X,X,O,O,X,X
LOJTZIS,O,X,X,O,O,X,X
LOJTZSI,O,X,X,O,O,X,X
LOJITSZ,O,X,X,O,O,X,X
LOJITZS,O,X,X,O,O,X,X
LOJISTZ,O,X,X,O,X,X,O
LOJISZT,O,X,X,O,X,X,X
LOJIZTS,O,X,X,O,O,X,X
LOJIZST,O,X,X,O,O,X,X
LOJSTIZ,O,X,X,O,X,X,O
LOJSTZI,O,X,X,O,X,X,O
LOJSITZ,O,X,X,O,X,X,O
LOJSIZT,O,X,X,O,X,X,X
LOJSZTI,O,X,X,O,X,X,X
LOJSZIT,O,X,X,O,X,X,X
LOJZTIS,O,X,X,O,O,X,X
LOJZTSI,O,X,X,O,O,X,X
LOJZITS,O,X,X,O,O,X,X
LOJZIST,O,X,X,O,O,X,X
LOJZSTI,O,X,X,O,O,X,X
LOJZSIT,O,X,X,O,O,X,X
LOSTIJZ,O,O,X,O,O,X,O
LOSTIZJ,O,O,X,O,O,X,O
LOSTJIZ,O,O,X,O,O,X,O
LOSTJZI,O,O,X,O,O,X,O
LOSTZIJ,O,O,X,O,O,X,O
LOSTZJI,O,O,X,O,O,X,O
LOSITJZ,O,O,X,O,O,X,O
LOSITZJ,O,O,X,O,O,X,O
LOSIJTZ,O,X,X,O,X,X,O
LOSIJZT,O,X,X,O,X,X,X
LOSIZTJ,X,O,X,O,O,X,O
LOSIZJT,X,O,X,X,O,X,X
LOSJTIZ,O,X,X,O,X,X,O
LOSJTZI,O,X,X,O,X,X,O
LOSJITZ,O,X,X,O,X,X,O
LOSJIZT,O,X,X,O,X,X,X
LOSJZTI,O,X,X,O,X,X,X
LOSJZIT,O,X,X,O,X,X,X
LOSZTIJ,X,O,X,O,O,X,O
LOSZTJI,X,O,X,O,O,X,O
LOSZITJ,X,O,X,O,O,X,O
LOSZIJT,X,O,X,X,O,X,X
LOSZJTI,X,O,X,X,O,X,X
LOSZJIT,X,O,X,X,O,X,X
LOZTIJS,X,O,X,O,O,O,X
LOZTISJ,X,O,X,O,O,O,X
LOZTJIS,X,O,X,O,O,O,X
LOZTJSI,X,O,X,O,O,O,X
LOZTSIJ,X,O,X,O,O,O,X
LOZTSJI,X,O,X,O,O,O,X
LOZITJS,X,O,X,O,O,O,X
LOZITSJ,X,O,X,O,O,O,X
LOZIJTS,X,O,X,O,O,O,X
LOZIJST,X,O,X,O,O,X,X
LOZISTJ,X,O,X,O,O,X,O
LOZISJT,X,O,X,X,O,X,X
LOZJTIS,X,O,X,O,O,O,X
LOZJTSI,X,O,X,O,O,O,X
LOZJITS,X,O,X,O,O,O,X
LOZJIST,X,O,X,O,O,X,X
LOZJSTI,X,O,X,O,O,X,X
LOZJSIT,X,O,X,O,O,X,X
LOZSTIJ,X,O,X,O,O,X,O
LOZSTJI,X,O,X,O,O,X,O
LOZSITJ,X,O,X,O,O,X,O
LOZSIJT,X,O,X,X,O,X,X
LOZSJTI,X,O,X,X,O,X,X
LOZSJIT,X,O,X,X,O,X,X
JTILSZO,O,O,X,O,O,X,X
JTILSOZ,O,O,X,O,X,X,X
JTILZSO,O,O,O,O,O,O,X
JTILZOS,O,O,O,O,O,O,X
JTILOSZ,O,X,X,O,X,X,X
JTILOZS,O,X,O,O,X,O,X
JTISLZO,O,X,O,O,O,X,X
JTISLOZ,O,X,O,O,X,X,X
JTISZLO,O,X,O,O,X,X,X
JTISZOL,O,X,O,O,X,X,X
JTISOLZ,O,X,O,O,X,X,X
JTISOZL,O,X,O,O,X,X,X
JTIZLSO,O,O,O,O,X,O,X
JTIZLOS,O,O,O,O,X,O,X
JTIZSLO,O,O,O,O,X,O,X
JTIZSOL,O,X,O,O,X,O,X
JTIZOLS,O,O,O,O,X,O,X
JTIZOSL,O,X,O,O,X,O,X
JTIOLSZ,O,X,X,O,X,X,X
JTIOLZS,O,X,O,O,X,O,X
JTIOSLZ,O,X,O,O,X,X,X
JTIOSZL,O,X,O,O,X,X,X
JTIOZLS,O,X,O,O,X,O,X
JTIOZSL,O,X,O,O,X,O,X
JTLISZO,O,O,X,O,O,X,X
JTLISOZ,O,O,X,O,X,X,X
JTLIZSO,O,O,O,O,O,O,X
JTLIZOS,O,O,O,O,O,O,X
JTLIOSZ,O,X,X,O,X,X,X
JTLIOZS,O,X,O,O,X,O,X
JTLSIZO,O,O,X,O,O,X,X
JTLSIOZ,O,O,X,O,X,X,X
JTLSZIO,O,O,X,O,O,X,X
JTLSZOI,O,O,X,O,O,X,X
JTLSOIZ,O,O,X,O,X,X,X
JTLSOZI,O,O,X,O,X,X,X
JTLZISO,O,O,O,O,O,O,X
JTLZIOS,O,O,O,O,O,O,X
JTLZSIO,O,O,O,O,O,O,X
JTLZSOI,O,O,O,O,O,O,X
JTLZOIS,O,O,O,O,O,O,X
JTLZOSI,O,O,O,O,O,O,X
JTLOISZ,O,X,X,O,X,X,X
JTLOIZS,O,X,O,O,X,O,X
JTLOSIZ,O,X,X,O,X,X,X
JTLOSZI,O,X,X,O,X,X,X
JTLOZIS,O,X,O,O,X,O,X
JTLOZSI,O,X,O,O,X,O,X
JTSILZO,O,X,O,O,O,X,X
JTSILOZ,O,X,O,O,X,X,X
JTSIZLO,O,X,O,O,X,X,X
JTSIZOL,O,X,O,O,X,X,X
JTSIOLZ,O,X,O,O,X,X,X
JTSIOZL,O,X,O,O,X,X,X
JTSLIZO,O,X,O,O,O,X,X
JTSLIOZ,O,X,O,O,X,X,X
JTSLZIO,O,X,O,O,O,X,X
JTSLZOI,O,X,O,O,O,X,X
JTSLOIZ,O,X,O,O,X,X,X
JTSLOZI,O,X,O,O,X,X,X
JTSZILO,O,X,O,O,X,X,X
JTSZIOL,O,X,O,O,X,X,X
JTSZLIO,O,X,O,O,X,X,X
JTSZLOI,O,X,O,O,X,X,X
JTSZOIL,O,X,O,O,X,X,X
JTSZOLI,O,X,O,O,X,X,X
JTSOILZ,O,X,O,O,X,X,X
JTSOIZL,O,X,O,O,X,X,X
JTSOLIZ,O,X,O,O,X,X,X
JTSOLZI,O,X,O,O,X,X,X
JTSOZIL,O,X,O,O,X,X,X
JTSOZLI,O,X,O,O,X,X,X
JTZILSO,O,O,O,O,X,O,X
JTZILOS,O,O,O,O,X,O,X
JTZISLO,O,O,O,O,X,O,X
JTZISOL,O,X,O,O,X,O,X
JTZIOLS,O,O,O,O,X,O,X
JTZIOSL,O,X,O,O,X,O,X
JTZLISO,O,O,O,O,X,O,X
JTZLIOS,O,O,O,O,X,O,X
JTZLSIO,O,O,O,O,X,O,X
JTZLSOI,O,O,O,O,X,O,X
JTZLOIS,O,O,O,O,X,O,X
JTZLOSI,O,O,O,O,X,O,X
JTZSILO,O,O,O,O,X,O,X
JTZSIOL,O,X,O,O,X,O,X
JTZSLIO,O,O,O,O,X,O,X
JTZSLOI,O,O,O,O,X,O,X
JTZSOIL,O,X,O,O,X,O,X
JTZSOLI,O,X,O,O,X,O,X
JTZOILS,O,O,O,O,X,O,X
JTZOISL,O,X,O,O,X,O,X
JTZOLIS,O,O,O,O,X,O,X
JTZOLSI,O,O,O,O,X,O,X
JTZOSIL,O,X,O,O,X,O,X
JTZOSLI,O,X,O,O,X,O,X
JTOILSZ,O,X,X,O,X,X,X
JTOILZS,O,X,O,O,X,O,X
JTOISLZ,O,X,O,O,X,X,X
JTOISZL,O,X,O,O,X,X,X
JTOIZLS,O,X,O,O,X,O,X
JTOIZSL,O,X,O,O,X,O,X
JTOLISZ,O,X,X,O,X,X,X
JTOLIZS,O,X,O,O,X,O,X
JTOLSIZ,O,X,X,O,X,X,X
JTOLSZI,O,X,X,O,X,X,X
JTOLZIS,O,X,O,O,X,O,X
JTOLZSI,O,X,O,O,X,O,X
JTOSILZ,O,X,O,O,X,X,X
JTOSIZL,O,X,O,O,X,X,X
JTOSLIZ,O,X,O,O,X,X,X
JTOSLZI,O,X,O,O,X,X,X
JTOSZIL,O,X,O,O,X,X,X
JTOSZLI,O,X,O,O,X,X,X
JTOZILS,O,X,O,O,X,O,X
JTOZISL,O,X,O,O,X,O,X
JTOZLIS,O,X,O,O,X,O,X
JTOZLSI,O,X,O,O,X,O,X
JTOZSIL,O,X,O,O,X,O,X
JTOZSLI,O,X,O,O,X,O,X
JITLSZO,O,O,X,O,O,X,X
JITLSOZ,O,O,X,O,X,X,X
JITLZSO,O,O,O,O,O,O,X
JITLZOS,O,O,O,O,O,O,X
JITLOSZ,O,X,X,O,X,X,X
JITLOZS,O,X,O,O,X,O,X
JITSLZO,O,X,O,O,O,X,X
JITSLOZ,O,X,O,O,X,X,X
JITSZLO,O,X,O,O,X,X,X
JITSZOL,O,X,O,O,X,X,X
JITSOLZ,O,X,O,O,X,X,X
JITSOZL,O,X,O,O,X,X,X
JITZLSO,O,O,O,O,X,O,X
JITZLOS,O,O,O,O,X,O,X
JITZSLO,O,O,O,O,X,O,X
JITZSOL,O,X,O,O,X,O,X
JITZOLS,O,O,O,O,X,O,X
JITZOSL,O,X,O,O,X,O,X
JITOLSZ,O,X,X,O,X,X,X
JITOLZS,O,X,O,O,X,O,X
JITOSLZ,O,X,O,O,X,X,X
JITOSZL,O,X,O,O,X,X,X
JITOZLS,O,X,O,O,X,O,X
JITOZSL,O,X,O,O,X,O,X
JILTSZO,O,O,X,O,O,X,X
JILTSOZ,O,O,X,O,X,X,X
JILTZSO,O,O,O,O,O,O,X
JILTZOS,O,O,O,O,O,O,X
JILTOSZ,O,X,X,O,X,X,X
JILTOZS,O,X,O,O,X,O,X
JILSTZO,O,O,O,O,X,X,X
JILSTOZ,O,O,O,O,X,X,X
JILSZTO,O,O,O,O,X,X,X
JILSZOT,O,O,O,O,X,X,X
JILSOTZ,O,X,O,O,X,X,X
JILSOZT,O,X,X,O,X,X,X
JILZTSO,O,O,O,O,O,O,X
JILZTOS,O,O,O,O,O,O,X
JILZSTO,O,O,O,O,O,O,X
JILZSOT,O,O,O,O,O,X,X
JILZOTS,O,O,O,O,O,O,X
JILZOST,O,O,O,O,O,X,X
JILOTSZ,O,X,X,O,O,X,X
JILOTZS,O,X,O,O,O,X,X
JILOSTZ,O,X,O,O,X,X,X
JILOSZT,O,X,X,O,X,X,X
JILOZTS,O,X,O,O,O,X,X
JILOZST,O,X,O,O,O,X,X
JISTLZO,O,O,O,O,O,X,X
JISTLOZ,O,O,O,O,X,X,O
JISTZLO,O,O,O,O,X,X,X
JISTZOL,O,O,O,O,X,X,O
JISTOLZ,O,O,O,O,X,X,O
JISTOZL,O,X,O,O,X,X,O
JISLTZO,O,O,O,O,X,X,X
JISLTOZ,O,O,O,O,X,X,X
JISLZTO,O,O,O,O,X,X,X
JISLZOT,O,O,O,O,X,X,X
JISLOTZ,O,X,O,O,X,X,X
JISLOZT,O,X,X,O,X,X,X
JISZTLO,O,O,O,O,X,X,X
JISZTOL,O,O,O,O,X,X,X
JISZLTO,O,O,O,O,X,X,X
JISZLOT,O,O,O,O,X,X,X
JISZOTL,O,O,O,O,X,X,X
JISZOLT,O,O,O,O,X,X,X
JISOTLZ,O,X,O,O,X,X,O
JISOTZL,O,X,O,O,X,X,O
JISOLTZ,O,X,O,O,X,X,O
JISOLZT,O,X,X,O,X,X,X
JISOZTL,O,X,O,O,X,X,X
JISOZLT,O,X,O,O,X,X,X
JIZTLSO,O,O,O,O,O,O,X
JIZTLOS,O,O,O,O,O,O,X
JIZTSLO,O,O,O,O,X,O,X
JIZTSOL,O,O,O,O,X,O,X
JIZTOLS,O,O,O,O,O,O,X
JIZTOSL,O,X,O,O,X,O,X
JIZLTSO,O,O,O,O,O,O,X
JIZLTOS,O,O,O,O,O,O,X
JIZLSTO,O,O,O,O,O,O,X
JIZLSOT,O,O,O,O,O,X,X
JIZLOTS,O,O,O,O,O,O,X
JIZLOST,O,O,O,O,O,X,X
JIZSTLO,O,O,O,O,X,O,X
JIZSTOL,O,O,O,O,X,O,X
JIZSLTO,O,O,O,O,O,O,X
JIZSLOT,O,O,O,O,O,X,X
JIZSOTL,O,O,O,O,X,X,X
JIZSOLT,O,O,O,O,O,X,X
JIZOTLS,O,O,O,O,O,O,X
JIZOTSL,O,X,O,O,X,O,X
JIZOLTS,O,O,O,O,O,O,X
JIZOLST,O,O,O,O,O,X,X
JIZOSTL,O,O,O,O,X,X,X
JIZOSLT,O,O,O,O,O,X,X
JIOTLSZ,O,X,X,O,O,X,X
JIOTLZS,O,X,O,O,O,X,X
JIOTSLZ,O,X,O,O,O,X,X
JIOTSZL,O,X,O,O,X,X,X
JIOTZLS,O,X,O,O,X,X,X
JIOTZSL,O,X,O,O,X,X,X
JIOLTSZ,O,X,X,O,O,X,X
JIOLTZS,O,X,O,O,O,X,X
JIOLSTZ,O,X,O,O,X,X,O
JIOLSZT,O,X,X,O,X,X,X
JIOLZTS,O,X,O,O,O,X,X
JIOLZST,O,X,O,O,O,X,X
JIOSTLZ,O,X,O,O,O,X,O
JIOSTZL,O,X,O,O,X,X,O
JIOSLTZ,O,X,O,O,X,X,O
JIOSLZT,O,X,X,O,X,X,X
JIOSZTL,O,X,O,O,X,X,X
JIOSZLT,O,X,O,O,X,X,X
JIOZTLS,O,X,O,O,O,X,X
JIOZTSL,O,X,O,O,X,X,X
JIOZLTS,O,X,O,O,O,X,X
JIOZLST,O,X,O,O,O,X,X
JIOZSTL,O,X,O,O,X,X,X
JIOZSLT,O,X,O,O,O,X,X
JLTISZO,O,O,X,O,O,X,X
JLTISOZ,O,O,X,O,X,X,X
JLTIZSO,O,O,O,O,O,O,X
JLTIZOS,O,O,O,O,O,O,X
JLTIOSZ,O,X,X,O,X,X,X
JLTIOZS,O,X,O,O,X,O,X
JLTSIZO,O,O,X,O,O,X,X
JLTSIOZ,O,O,X,O,X,X,X
JLTSZIO,O,O,X,O,O,X,X
JLTSZOI,O,O,X,O,O,X,X
JLTSOIZ,O,O,X,O,X,X,X
JLTSOZI,O,O,X,O,X,X,X
JLTZISO,O,O,O,O,O,O,X
JLTZIOS,O,O,O,O,O,O,X
JLTZSIO,O,O,O,O,O,O,X
JLTZSOI,O,O,O,O,O,O,X
JLTZOIS,O,O,O,O,O,O,X
JLTZOSI,O,O,O,O,O,O,X
JLTOISZ,O,X,X,O,X,X,X
JLTOIZS,O,X,O,O,X,O,X
JLTOSIZ,O,X,X,O,X,X,X
JLTOSZI,O,X,X,O,X,X,X
JLTOZIS,O,X,O,O,X,O,X
JLTOZSI,O,X,O,O,X,O,X
JLITSZO,O,O,X,O,O,X,X
JLITSOZ,O,O,X,O,X,X,X
JLITZSO,O,O,O,O,O,O,X
JLITZOS,O,O,O,O,O,O,X
JLITOSZ,O,X,X,O,X,X,X
JLITOZS,O,X,O,O,X,O,X
JLISTZO,O,O,O,O,X,X,X
JLISTOZ,O,O,O,O,X,X,X
JLISZTO,O,O,O,O,X,X,X
JLISZOT,O,O,O,O,X,X,X
JLISOTZ,O,X,O,O,X,X,X
JLISOZT,O,X,X,O,X,X,X
JLIZTSO,O,O,O,O,O,O,X
JLIZTOS,O,O,O,O,O,O,X
JLIZSTO,O,O,O,O,O,O,X
JLIZSOT,O,O,O,O,O,X,X
JLIZOTS,O,O,O,O,O,O,X
JLIZOST,O,O,O,O,O,X,X
JLIOTSZ,O,X,X,O,O,X,X
JLIOTZS,O,X,O,O,O,X,X
JLIOSTZ,O,X,O,O,X,X,X
JLIOSZT,O,X,X,O,X,X,X
JLIOZTS,O,X,O,O,O,X,X
JLIOZST,O,X,O,O,O,X,X
JLSTIZO,O,O,O,O,X,X,X
JLSTIOZ,O,O,O,O,X,X,X
JLSTZIO,O,O,O,O,X,X,X
JLSTZOI,O,O,O,O,X,X,X
