sequence,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBu?rBctBTsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBTjBllBu?rBcsBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBFiBXjB0?mBStBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBfoB6oBl?mBUnBRxB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhF0hBxiBllBW?tBzrBXtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhF3hBGlBlnBc?tBzrBCtB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFTjBGlBlmBc?sBXtBCsB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeCAJvhFxhBXjBllBc?tBGsBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8Jez/IvhFulBRiBSoBV?sBXtB0rB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFfoB6oBGlBl?mB0sBzrB,v115@9gA8IeA8IeC8AeA8EeE8DeA8JeRAJvhFGlBlmBcsBT?oBCsBXtB
TJSOZLI,O,O,X,X,O,O,O,X,O,X,X
TJZILSO,O,O,O,O,X,X,O,O,X,O,X
TJZILOS,O,O,O,O,O,X,X,O,X,X,O
TJZISLO,O,O,O,O,X,X,O,O,X,O,X
TJZISOL,O,O,O,O,X,X,O,O,X,O,O
TJZIOLS,O,O,O,O,X,O,X,O,X,X,O
TJZIOSL,O,O,O,O,X,O,O,O,X,O,O
TJZLISO,O,O,O,X,X,X,O,O,X,O,X
TJZLIOS,O,O,O,X,O,X,X,O,X,X,O
TJZLSIO,O,O,O,X,X,X,O,O,X,O,X
TJZLSOI,O,O,O,X,X,X,O,O,X,O,X
TJZLOIS,O,O,O,X,O,X,X,O,X,X,O
TJZLOSI,O,O,O,X,O,X,X,O,X,X,O
TJZSILO,O,O,O,X,X,X,O,O,X,O,X
TJZSIOL,O,O,O,X,X,X,O,O,X,O,O
TJZSLIO,O,O,O,X,X,X,O,O,X,O,X
TJZSLOI,O,O,O,X,X,X,O,O,X,O,X
TJZSOIL,O,O,O,X,X,X,O,O,X,O,O
TJZSOLI,O,O,O,X,X,X,O,O,X,O,O
TJZOILS,O,O,O,O,O,O,X,O,X,X,O
TJZOISL,O,O,O,O,O,O,O,O,X,O,O
TJZOLIS,O,O,O,X,O,O,X,O,X,X,O
TJZOLSI,O,O,O,X,O,O,X,O,X,X,O
TJZOSIL,O,O,O,X,O,O,O,O,X,O,O
TJZOSLI,O,O,O,X,O,O,O,O,X,O,O
TJOILSZ,O,X,O,O,O,X,X,X,X,X,X
TJOILZS,O,O,O,O,O,X,X,O,X,X,X
TJOISLZ,O,X,X,O,O,X,X,X,X,X,X
TJOISZL,O,X,X,O,O,O,X,X,X,X,X
TJOIZLS,O,O,O,O,O,O,X,O,X,X,O
TJOIZSL,O,O,O,O,O,O,O,O,X,O,O
TJOLISZ,O,X,O,O,O,X,X,X,X,X,X
TJOLIZS,O,O,O,O,O,X,X,O,X,X,X
TJOLSIZ,O,X,O,X,O,X,X,X,X,X,X
TJOLSZI,O,X,O,X,O,X,X,X,X,X,X
