sequence,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFXhB5oBzmBatBln?BUrB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhFThB5oBfrB8rBat?BlsB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF0hB5oBzlBatBln?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeOFJvhF8lBfnB5oBatBln?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LexAJvhF0iBTlB2rBFtB6t?B3rB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhF0hBxiByqB3rBFt?BGtB,v115@9gB8HeB8HeB8HeD8BeB8LeKFJvhF0hBxiBWtBlrBfr?BTtB,v115@9gB8HeB8HeB8HeD8BeB8LeiAJvhFRiB1qBXnBGtBct?BTrB,v115@9gB8HeB8HeB8HeD8BeB8LeTAJvhFfnBliBxqBGtBKr?BctB,v115@9gB8HeB8HeB8HeD8BeB8LelBJvhFilBxnB0lBWtB3r?BTtB
IOZTJLS,O,X,O,O,O,X,X,X,X,X
IOZTJSL,O,X,X,O,O,X,X,X,X,X
IOZTSLJ,O,X,X,O,X,X,X,X,X,X
IOZTSJL,O,X,X,O,X,X,X,X,X,X
IOZLTJS,O,X,O,O,X,X,X,X,X,X
IOZLTSJ,O,X,X,O,X,X,X,X,X,X
IOZLJTS,O,X,O,O,X,X,X,X,X,X
IOZLJST,O,O,O,O,X,X,X,X,X,X
IOZLSTJ,O,O,O,O,X,X,X,X,X,X
IOZLSJT,O,O,O,O,X,X,X,X,X,X
IOZJTLS,O,X,O,O,O,X,X,X,X,X
IOZJTSL,O,X,X,O,O,X,X,X,X,X
IOZJLTS,O,X,O,O,X,X,X,X,X,X
IOZJLST,O,O,O,O,X,X,X,X,X,X
IOZJSTL,O,O,X,O,X,X,X,X,X,X
IOZJSLT,O,O,O,O,X,X,X,X,X,X
IOZSTLJ,O,O,X,O,X,X,X,X,X,X
IOZSTJL,O,O,X,O,X,X,X,X,X,X
IOZSLTJ,O,O,X,O,X,X,X,X,X,X
IOZSLJT,O,O,O,O,X,X,X,X,X,X
IOZSJTL,O,O,X,O,X,X,X,X,X,X
IOZSJLT,O,O,O,O,X,X,X,X,X,X
LTIJSZO,X,O,X,X,X,X,O,O,X,X
LTIJSOZ,X,X,X,X,X,X,O,X,X,X
LTIJZSO,X,O,X,O,X,X,O,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,X,O,X,X,X,O,X,X,X
LTIJOZS,X,X,O,X,X,X,O,X,X,X
LTISJZO,X,O,X,X,X,X,X,O,X,X
LTISJOZ,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,O,X,O,X,X,X,X,X,X
LTISZOJ,X,O,O,X,X,X,X,X,X,X
LTISOJZ,X,X,O,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,X,X,X,X
LTIZJSO,X,O,X,O,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,O,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,X,X,X,X,X,X,X
LTIOJZS,X,X,O,X,X,X,X,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,X,X,X
LTIOSZJ,X,X,O,O,X,X,X,X,X,X
LTIOZJS,X,X,O,O,X,X,X,X,X,X
LTIOZSJ,X,X,X,O,X,X,X,X,X,X
LTJISZO,X,O,X,X,X,X,O,O,X,X
LTJISOZ,X,X,X,X,X,X,O,X,X,X
LTJIZSO,X,O,X,O,X,X,O,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,X,O,X,X,X,O,X,X,X
LTJIOZS,X,X,O,X,X,X,O,X,X,X
LTJSIZO,X,O,X,X,X,X,O,O,X,X
LTJSIOZ,X,X,X,X,X,X,O,X,X,X
LTJSZIO,X,O,X,X,X,X,O,O,X,X
LTJSZOI,X,O,X,X,X,X,O,O,X,X
LTJSOIZ,X,X,X,X,X,X,O,O,X,X
LTJSOZI,X,X,X,X,X,X,O,O,X,X
LTJZISO,X,O,X,O,X,X,O,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X
LTJZSIO,X,O,X,O,X,X,O,O,X,X
LTJZSOI,X,O,X,X,X,X,O,O,X,X
LTJZOIS,O,X,X,X,O,X,O,X,X,X
LTJZOSI,O,X,X,X,O,X,O,X,X,X
LTJOISZ,O,X,O,X,O,X,O,X,X,X
LTJOIZS,X,X,O,X,O,X,O,X,X,X
LTJOSIZ,O,X,O,X,O,X,O,X,X,X
LTJOSZI,X,X,O,X,O,X,O,O,X,X
LTJOZIS,X,X,O,X,O,X,O,X,X,X
LTJOZSI,X,X,X,X,O,X,O,X,X,X
LTSIJZO,X,O,X,X,X,O,X,O,X,O
LTSIJOZ,X,X,X,X,X,O,X,X,X,O
LTSIZJO,X,O,X,O,X,O,X,X,X,O
LTSIZOJ,X,O,O,X,X,O,X,X,X,O
LTSIOJZ,X,X,O,X,X,O,X,X,X,O
LTSIOZJ,X,X,O,X,X,O,X,X,X,O
LTSJIZO,X,O,X,X,X,O,O,O,X,O
LTSJIOZ,X,X,X,X,X,O,O,X,X,O
LTSJZIO,X,O,X,X,X,O,O,O,X,X
LTSJZOI,X,O,X,X,X,O,O,O,X,X
LTSJOIZ,X,X,X,X,X,O,O,O,X,X
LTSJOZI,X,X,X,X,X,O,O,O,X,X
LTSZIJO,X,O,X,O,X,O,X,X,X,O
LTSZIOJ,X,O,O,X,X,O,X,X,X,O
LTSZJIO,X,O,X,O,X,O,X,O,X,X
LTSZJOI,X,O,X,X,X,O,X,O,X,X
LTSZOIJ,X,O,O,X,X,O,X,X,X,X
LTSZOJI,X,O,O,X,X,O,X,X,X,X
LTSOIJZ,X,X,O,X,X,O,X,X,X,O
LTSOIZJ,X,X,O,X,X,O,X,X,X,O
LTSOJIZ,X,X,O,X,X,O,X,X,X,X
LTSOJZI,X,X,O,X,X,O,X,O,X,X
LTSOZIJ,X,X,O,X,X,O,X,X,X,X
LTSOZJI,X,X,O,X,X,O,X,X,X,X
LTZIJSO,X,O,X,O,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,X,X,X
LTZISJO,X,O,X,O,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,X
LTZJISO,X,O,X,O,X,X,O,X,X,X
LTZJIOS,O,X,X,X,X,X,X,X,X,X
LTZJSIO,X,O,X,O,X,X,O,O,X,X
LTZJSOI,X,O,X,X,X,X,O,O,X,X
LTZJOIS,O,X,X,X,O,X,O,X,X,X
LTZJOSI,O,X,X,X,O,X,O,X,X,X
LTZSIJO,X,O,X,O,X,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,X,X,X,X,X
LTZSJIO,X,O,X,O,X,X,X,O,X,X
LTZSJOI,X,O,X,X,X,X,X,O,X,X
LTZSOIJ,X,O,X,X,X,X,X,X,X,X
LTZSOJI,X,O,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,X,X,X,X,X
LTZOISJ,O,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,O,X,X,X,X,X
LTZOJSI,O,X,X,X,O,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,X,O,X,O,X,X,X,X,X
LTOIJZS,X,X,O,X,O,X,X,X,X,X
LTOISJZ,O,X,O,X,X,X,X,X,X,X
LTOISZJ,X,X,O,O,X,X,X,X,X,X
LTOIZJS,X,X,O,O,X,X,X,X,X,X
LTOIZSJ,X,X,X,O,X,X,X,X,X,X
LTOJISZ,O,X,O,X,O,X,O,X,X,X
LTOJIZS,X,X,O,X,O,X,O,X,X,X
LTOJSIZ,O,X,O,X,O,X,O,X,X,X
LTOJSZI,X,X,O,X,O,X,O,O,X,X
LTOJZIS,X,X,O,X,O,X,O,X,X,X
LTOJZSI,X,X,X,X,O,X,O,X,X,X
LTOSIJZ,O,X,O,X,X,X,X,X,X,X
LTOSIZJ,X,X,O,O,X,X,X,X,X,X
LTOSJIZ,O,X,O,X,X,X,X,X,X,X
LTOSJZI,X,X,O,X,X,X,X,O,X,X
LTOSZIJ,X,X,O,O,X,X,X,X,X,X
LTOSZJI,X,X,O,O,X,X,X,X,X,X
LTOZIJS,X,X,O,O,X,X,X,X,X,X
LTOZISJ,X,X,X,O,X,X,X,X,X,X
LTOZJIS,X,X,O,O,O,X,X,X,X,X
LTOZJSI,X,X,X,O,O,X,X,X,X,X
LTOZSIJ,X,X,X,O,X,X,X,X,X,X
LTOZSJI,X,X,X,O,X,X,X,X,X,X
LITJSZO,X,O,X,X,X,X,O,X,X,X
LITJSOZ,X,X,X,X,X,X,O,X,X,X
LITJZSO,X,O,X,O,X,X,O,X,X,X
LITJZOS,O,X,X,X,X,X,X,X,X,X
LITJOSZ,O,X,O,X,X,X,O,X,X,X
LITJOZS,X,X,O,X,X,X,O,X,X,X
LITSJZO,X,O,X,X,X,X,X,X,X,X
LITSJOZ,X,X,X,X,X,X,X,X,X,X
LITSZJO,X,O,X,O,X,X,X,X,X,X
LITSZOJ,X,O,O,X,X,X,X,X,X,X
LITSOJZ,X,X,O,X,X,X,X,X,X,X
LITSOZJ,X,X,O,X,X,X,X,X,X,X
LITZJSO,X,O,X,O,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,X,X,X
LITZSJO,X,O,X,O,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X,X
LITZOSJ,O,X,X,X,X,X,X,X,X,X
LITOJSZ,O,X,O,X,X,X,X,X,X,X
LITOJZS,X,X,O,X,X,X,X,X,X,X
LITOSJZ,O,X,O,X,X,X,X,X,X,X
LITOSZJ,X,X,O,O,X,X,X,X,X,X
LITOZJS,X,X,O,O,X,X,X,X,X,X
LITOZSJ,X,X,X,O,X,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X,O,X,X,X
LIJTSOZ,X,X,X,X,X,X,O,X,X,X
LIJTZSO,X,O,X,O,X,X,O,X,X,X
LIJTZOS,O,X,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,X,X,X,O,X,X,X
LIJTOZS,X,X,O,X,X,X,O,X,X,X
LIJSTZO,X,O,X,X,X,X,O,X,O,X
LIJSTOZ,X,X,X,X,X,X,O,X,O,X
LIJSZTO,X,O,X,O,X,X,X,X,O,X
LIJSZOT,O,O,O,O,X,X,X,X,O,X
LIJSOTZ,O,X,O,X,X,X,X,X,O,X
LIJSOZT,O,O,O,X,X,X,X,X,O,X
LIJZTSO,X,O,X,O,X,X,O,X,X,X
LIJZTOS,O,X,X,X,X,X,X,X,X,X
LIJZSTO,X,O,X,O,X,X,X,X,X,X
LIJZSOT,O,O,X,O,X,X,X,X,X,X
LIJZOTS,O,X,O,X,X,X,X,X,X,X
LIJZOST,O,O,O,O,X,X,X,X,X,X
LIJOTSZ,O,X,O,X,X,X,O,X,X,X
LIJOTZS,X,X,O,X,X,X,X,X,X,X
LIJOSTZ,O,X,O,X,X,X,X,X,X,X
LIJOSZT,O,O,O,O,X,X,X,X,X,X
LIJOZTS,O,X,O,O,X,X,X,X,X,X
LIJOZST,O,O,O,O,X,X,X,X,X,X
LISTJZO,X,O,X,X,X,X,X,X,X,O
LISTJOZ,X,X,X,X,X,X,X,X,X,O
LISTZJO,X,O,X,O,X,X,X,X,X,O
LISTZOJ,X,O,O,X,X,X,X,X,X,O
LISTOJZ,X,X,O,X,X,X,X,X,X,O
LISTOZJ,X,X,O,X,X,X,X,X,X,O
LISJTZO,X,O,X,X,X,X,X,X,O,O
LISJTOZ,X,X,X,X,X,X,X,X,O,O
LISJZTO,X,O,X,O,X,X,X,X,O,X
LISJZOT,O,O,O,O,X,X,X,X,O,X
LISJOTZ,O,X,O,X,X,X,X,X,O,X
LISJOZT,O,O,O,X,X,X,X,X,O,X
LISZTJO,X,O,X,O,X,X,X,X,X,O
LISZTOJ,X,O,O,X,X,X,X,X,X,O
LISZJTO,X,O,X,O,X,X,X,X,X,X
LISZJOT,O,O,O,O,X,X,X,X,X,X
LISZOTJ,O,O,O,X,X,X,X,X,X,X
LISZOJT,O,O,O,O,X,X,X,X,X,X
LISOTJZ,O,X,O,X,X,X,X,X,X,O
LISOTZJ,X,X,O,O,X,X,X,X,X,O
LISOJTZ,O,X,O,X,X,X,X,X,X,X
LISOJZT,O,O,O,O,X,X,X,X,X,X
LISOZTJ,X,O,O,O,X,X,X,X,X,X
LISOZJT,O,O,O,O,X,X,X,X,X,X
LIZTJSO,X,O,X,O,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,X,X,X
LIZTSJO,X,O,X,O,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X,X,X
LIZTOSJ,O,X,X,X,X,X,X,X,X,X
LIZJTSO,X,O,X,O,X,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X,X,X,X,X
LIZJSTO,X,O,X,O,X,X,X,X,X,X
LIZJSOT,O,O,X,O,X,X,X,X,X,X
LIZJOTS,O,X,O,X,X,X,X,X,X,X
LIZJOST,O,O,O,O,X,X,X,X,X,X
LIZSTJO,X,O,X,O,X,X,X,X,X,X
LIZSTOJ,X,O,O,X,X,X,X,X,X,X
LIZSJTO,X,O,X,O,X,X,X,X,X,X
LIZSJOT,O,O,O,O,X,X,X,X,X,X
LIZSOTJ,O,O,O,X,X,X,X,X,X,X
LIZSOJT,O,O,O,O,X,X,X,X,X,X
LIZOTJS,O,X,O,O,X,X,X,X,X,X
LIZOTSJ,O,X,X,O,X,X,X,X,X,X
LIZOJTS,O,X,O,O,X,X,X,X,X,X
LIZOJST,O,O,O,O,X,X,X,X,X,X
LIZOSTJ,O,O,O,O,X,X,X,X,X,X
LIZOSJT,O,O,O,O,X,X,X,X,X,X
LIOTJSZ,O,X,O,X,X,X,X,X,X,X
LIOTJZS,X,X,O,X,X,X,X,X,X,X
LIOTSJZ,O,X,O,X,X,X,X,X,X,X
LIOTSZJ,X,X,O,O,X,X,X,X,X,X
LIOTZJS,X,X,O,O,X,X,X,X,X,X
LIOTZSJ,X,X,X,O,X,X,X,X,X,X
LIOJTSZ,O,X,O,X,X,X,X,X,X,X
LIOJTZS,X,X,O,X,X,X,X,X,X,X
LIOJSTZ,O,X,O,X,X,X,X,X,X,X
LIOJSZT,O,O,O,O,X,X,X,X,X,X
LIOJZTS,O,X,O,O,X,X,X,X,X,X
LIOJZST,O,O,O,O,X,X,X,X,X,X
LIOSTJZ,O,X,O,X,X,X,X,X,X,X
LIOSTZJ,X,X,O,O,X,X,X,X,X,X
LIOSJTZ,O,X,O,X,X,X,X,X,X,X
LIOSJZT,O,O,O,O,X,X,X,X,X,X
LIOSZTJ,X,O,O,O,X,X,X,X,X,X
LIOSZJT,O,O,O,O,X,X,X,X,X,X
LIOZTJS,O,X,O,O,X,X,X,X,X,X
LIOZTSJ,O,X,X,O,X,X,X,X,X,X
LIOZJTS,O,X,O,O,X,X,X,X,X,X
LIOZJST,O,O,O,O,X,X,X,X,X,X
LIOZSTJ,O,O,O,O,X,X,X,X,X,X
LIOZSJT,O,O,O,O,X,X,X,X,X,X
LJTISZO,X,O,X,X,X,X,O,O,X,X
LJTISOZ,X,X,X,X,X,X,O,X,X,X
LJTIZSO,X,O,X,O,X,X,O,X,X,X
LJTIZOS,O,X,X,X,X,X,X,X,X,X
LJTIOSZ,O,X,O,X,X,X,O,X,X,X
LJTIOZS,X,X,O,X,X,X,O,X,X,X
LJTSIZO,X,O,X,X,X,X,O,O,X,X
LJTSIOZ,X,X,X,X,X,X,O,X,X,X
LJTSZIO,X,O,X,X,X,X,O,O,X,X
LJTSZOI,X,O,X,X,X,X,O,O,X,X
LJTSOIZ,X,X,X,X,X,X,O,O,X,X
LJTSOZI,X,X,X,X,X,X,O,O,X,X
LJTZISO,X,O,X,O,X,X,O,X,X,X
LJTZIOS,O,X,X,X,X,X,X,X,X,X
LJTZSIO,X,O,X,O,X,X,O,O,X,X
LJTZSOI,X,O,X,X,X,X,O,O,X,X
LJTZOIS,O,X,X,X,O,X,O,X,X,X
LJTZOSI,O,X,X,X,O,X,O,X,X,X
LJTOISZ,O,X,O,X,O,X,O,X,X,X
LJTOIZS,X,X,O,X,O,X,O,X,X,X
LJTOSIZ,O,X,O,X,O,X,O,X,X,X
LJTOSZI,X,X,O,X,O,X,O,O,X,X
LJTOZIS,X,X,O,X,O,X,O,X,X,X
LJTOZSI,X,X,X,X,O,X,O,X,X,X
LJITSZO,X,O,X,X,X,X,O,X,X,X
LJITSOZ,X,X,X,X,X,X,O,X,X,X
LJITZSO,X,O,X,O,X,X,O,X,X,X
LJITZOS,O,X,X,X,X,X,X,X,X,X
LJITOSZ,O,X,O,X,X,X,O,X,X,X
LJITOZS,X,X,O,X,X,X,O,X,X,X
LJISTZO,X,O,X,X,X,X,O,X,O,X
LJISTOZ,X,X,X,X,X,X,O,X,O,X
LJISZTO,X,O,X,O,X,X,X,X,O,X
LJISZOT,O,O,O,O,X,X,X,X,O,X
LJISOTZ,O,X,O,X,X,X,X,X,O,X
LJISOZT,O,O,O,X,X,X,X,X,O,X
LJIZTSO,X,O,X,O,X,X,O,X,X,X
LJIZTOS,O,X,X,X,X,X,X,X,X,X
LJIZSTO,X,O,X,O,X,X,X,X,X,X
LJIZSOT,O,O,X,O,X,X,X,X,X,X
LJIZOTS,O,X,O,X,X,X,X,X,X,X
LJIZOST,O,O,O,O,X,X,X,X,X,X
LJIOTSZ,O,X,O,X,X,X,O,X,X,X
LJIOTZS,X,X,O,X,X,X,X,X,X,X
LJIOSTZ,O,X,O,X,X,X,X,X,X,X
LJIOSZT,O,O,O,O,X,X,X,X,X,X
LJIOZTS,O,X,O,O,X,X,X,X,X,X
LJIOZST,O,O,O,O,X,X,X,X,X,X
LJSTIZO,X,O,X,X,X,X,O,O,X,O
LJSTIOZ,X,X,X,X,X,X,O,X,X,O
LJSTZIO,X,O,X,X,X,X,O,O,X,X
LJSTZOI,X,O,X,X,X,X,O,O,X,X
LJSTOIZ,X,X,X,X,X,X,O,O,X,X
LJSTOZI,X,X,X,X,X,X,O,O,X,X
LJSITZO,X,O,X,X,X,X,O,X,O,O
LJSITOZ,X,X,X,X,X,X,O,X,O,O
LJSIZTO,X,O,X,O,X,X,X,X,O,X
LJSIZOT,O,O,O,O,X,X,X,X,O,X
LJSIOTZ,O,X,O,X,X,X,X,X,O,X
LJSIOZT,O,O,O,X,X,X,X,X,O,X
LJSZTIO,X,O,X,O,X,X,X,X,X,X
LJSZTOI,X,O,X,X,X,X,X,X,X,X
LJSZITO,X,O,X,O,X,X,X,X,X,X
LJSZIOT,O,O,O,O,X,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,X,X,X,X
LJSZOIT,O,O,O,O,X,X,X,X,X,X
LJSOTIZ,O,X,O,X,X,X,X,X,X,X
LJSOTZI,X,X,O,X,X,X,X,X,X,X
LJSOITZ,O,X,O,X,X,X,X,X,X,X
LJSOIZT,O,O,O,X,X,X,X,X,X,X
LJSOZTI,X,O,O,X,X,X,X,X,X,X
LJSOZIT,O,O,O,X,X,X,X,X,X,X
LJZTISO,X,O,X,O,X,X,O,X,X,X
LJZTIOS,O,X,X,X,X,X,X,X,X,X
LJZTSIO,X,O,X,O,X,X,O,X,X,X
LJZTSOI,X,O,X,X,X,X,O,X,X,X
LJZTOIS,O,X,X,X,X,X,O,X,X,X
LJZTOSI,O,X,X,X,X,X,O,X,X,X
LJZITSO,X,O,X,O,X,X,O,X,X,X
LJZITOS,O,X,X,X,X,X,X,X,X,X
LJZISTO,X,O,X,O,X,X,X,X,X,X
LJZISOT,O,O,X,O,X,X,X,X,X,X
LJZIOTS,O,X,O,X,X,X,X,X,X,X
LJZIOST,O,O,O,O,X,X,X,X,X,X
LJZSTIO,X,O,X,O,X,X,X,X,X,X
LJZSTOI,X,O,X,X,X,X,X,X,X,X
LJZSITO,X,O,X,O,X,X,X,X,X,X
LJZSIOT,O,O,X,O,X,X,X,X,X,X
LJZSOTI,O,O,X,X,X,X,X,X,X,X
LJZSOIT,O,O,X,O,X,X,X,X,X,X
LJZOTIS,O,X,O,X,X,X,X,X,X,X
LJZOTSI,O,X,X,X,X,X,X,X,X,X
LJZOITS,O,X,O,X,X,X,X,X,X,X
LJZOIST,O,O,O,O,X,X,X,X,X,X
LJZOSTI,O,O,O,X,X,X,X,X,X,X
LJZOSIT,O,O,O,O,X,X,X,X,X,X
LJOTISZ,O,X,O,X,O,X,O,X,X,X
LJOTIZS,X,X,O,X,O,X,O,X,X,X
LJOTSIZ,O,X,O,X,O,X,O,X,X,X
LJOTSZI,X,X,O,X,O,X,O,X,X,X
LJOTZIS,X,X,O,X,O,X,O,X,X,X
LJOTZSI,X,X,X,X,O,X,O,X,X,X
LJOITSZ,O,X,O,X,O,X,O,X,X,X
LJOITZS,X,X,O,X,O,X,X,X,X,X
LJOISTZ,O,X,O,X,X,X,X,X,X,X
LJOISZT,O,O,O,O,X,X,X,X,X,X
LJOIZTS,O,X,O,O,X,X,X,X,X,X
LJOIZST,O,O,O,O,X,X,X,X,X,X
LJOSTIZ,O,X,O,X,X,X,X,X,X,X
LJOSTZI,X,X,O,X,X,X,X,X,X,X
LJOSITZ,O,X,O,X,X,X,X,X,X,X
LJOSIZT,O,O,O,O,X,X,X,X,X,X
LJOSZTI,X,O,O,O,X,X,X,X,X,X
LJOSZIT,O,O,O,O,X,X,X,X,X,X
LJOZTIS,O,X,O,O,X,X,X,X,X,X
LJOZTSI,O,X,X,O,X,X,X,X,X,X
LJOZITS,O,X,O,O,X,X,X,X,X,X
LJOZIST,O,O,O,O,X,X,X,X,X,X
LJOZSTI,O,O,O,O,X,X,X,X,X,X
LJOZSIT,O,O,O,O,X,X,X,X,X,X
LSTIJZO,X,O,X,X,X,O,X,O,X,O
LSTIJOZ,X,X,X,X,X,O,X,X,X,O
LSTIZJO,X,O,X,O,X,O,X,X,X,O
LSTIZOJ,X,O,O,X,X,O,X,X,X,O
LSTIOJZ,X,X,O,X,X,O,X,X,X,O
LSTIOZJ,X,X,O,X,X,O,X,X,X,O
LSTJIZO,X,O,X,X,X,O,O,O,X,O
LSTJIOZ,X,X,X,X,X,O,O,X,X,O
LSTJZIO,X,O,X,X,X,O,O,O,X,X
LSTJZOI,X,O,X,X,X,O,O,O,X,X
LSTJOIZ,X,X,X,X,X,O,O,O,X,X
LSTJOZI,X,X,X,X,X,O,O,O,X,X
LSTZIJO,X,O,X,O,X,O,X,X,X,O
LSTZIOJ,X,O,O,X,X,O,X,X,X,O
LSTZJIO,X,O,X,O,X,O,X,O,X,X
LSTZJOI,X,O,X,X,X,O,X,O,X,X
LSTZOIJ,X,O,O,X,X,O,X,X,X,X
LSTZOJI,X,O,O,X,X,O,X,X,X,X
LSTOIJZ,X,X,O,X,X,O,X,X,X,O
LSTOIZJ,X,X,O,X,X,O,X,X,X,O
LSTOJIZ,X,X,O,X,X,O,X,X,X,X
LSTOJZI,X,X,O,X,X,O,X,O,X,X
LSTOZIJ,X,X,O,X,X,O,X,X,X,X
LSTOZJI,X,X,O,X,X,O,X,X,X,X
LSITJZO,X,O,X,X,X,O,X,X,X,O
LSITJOZ,X,X,X,X,X,O,X,X,X,O
LSITZJO,X,O,X,O,X,O,X,X,X,O
LSITZOJ,X,O,O,X,X,O,X,X,X,O
LSITOJZ,X,X,O,X,X,O,X,X,X,O
LSITOZJ,X,X,O,X,X,O,X,X,X,O
LSIJTZO,X,O,X,X,X,X,X,X,O,O
LSIJTOZ,X,X,X,X,X,X,X,X,O,O
LSIJZTO,X,O,X,O,X,X,X,X,O,X
LSIJZOT,O,O,O,O,X,X,X,X,O,X
LSIJOTZ,O,X,O,X,X,X,X,X,O,X
LSIJOZT,O,O,O,X,X,X,X,X,O,X
LSIZTJO,X,O,X,O,X,O,X,X,X,O
LSIZTOJ,X,O,O,X,X,O,X,X,X,O
LSIZJTO,X,O,X,O,X,X,X,X,X,X
LSIZJOT,O,O,O,O,X,O,X,X,X,X
LSIZOTJ,O,O,O,X,X,O,X,X,X,X
LSIZOJT,O,O,O,O,X,O,X,X,X,X
LSIOTJZ,O,X,O,X,X,O,X,X,X,O
LSIOTZJ,X,X,O,O,X,O,X,X,X,O
LSIOJTZ,O,X,O,X,X,X,X,X,X,X
LSIOJZT,O,O,O,O,X,X,X,X,X,X
LSIOZTJ,X,O,O,O,X,O,X,X,X,X
LSIOZJT,O,O,O,O,X,O,X,X,X,X
LSJTIZO,X,O,X,X,X,O,O,O,X,O
LSJTIOZ,X,X,X,X,X,O,O,X,X,O
LSJTZIO,X,O,X,X,X,O,O,O,X,X
LSJTZOI,X,O,X,X,X,O,O,O,X,X
LSJTOIZ,X,X,X,X,X,O,O,O,X,X
LSJTOZI,X,X,X,X,X,O,O,O,X,X
LSJITZO,X,O,X,X,X,X,O,X,O,O
LSJITOZ,X,X,X,X,X,X,O,X,O,O
LSJIZTO,X,O,X,O,X,X,X,X,O,X
LSJIZOT,O,O,O,O,X,X,X,X,O,X
LSJIOTZ,O,X,O,X,X,X,X,X,O,X
LSJIOZT,O,O,O,X,X,X,X,X,O,X
LSJZTIO,X,O,X,O,X,O,X,X,X,X
LSJZTOI,X,O,X,X,X,O,X,X,X,X
LSJZITO,X,O,X,O,X,X,X,X,X,X
LSJZIOT,O,O,O,O,X,O,X,X,X,X
LSJZOTI,O,O,O,X,X,O,X,X,X,X
LSJZOIT,O,O,O,O,X,O,X,X,X,X
LSJOTIZ,O,X,O,X,X,O,X,X,X,X
LSJOTZI,X,X,O,X,X,O,X,X,X,X
LSJOITZ,O,X,O,X,X,X,X,X,X,X
LSJOIZT,O,O,O,X,X,X,X,X,X,X
LSJOZTI,X,O,O,X,X,O,X,X,X,X
LSJOZIT,O,O,O,X,X,O,X,X,X,X
LSZTIJO,X,O,X,O,X,O,X,X,X,O
LSZTIOJ,X,O,O,X,X,O,X,X,X,O
LSZTJIO,X,O,X,O,X,O,X,X,X,X
LSZTJOI,X,O,X,X,X,O,X,X,X,X
LSZTOIJ,X,O,O,X,X,O,X,X,X,X
LSZTOJI,X,O,O,X,X,O,X,X,X,X
LSZITJO,X,O,X,O,X,O,X,X,X,O
LSZITOJ,X,O,O,X,X,O,X,X,X,O
LSZIJTO,X,O,X,O,X,X,X,X,X,X
LSZIJOT,O,O,O,O,X,O,X,X,X,X
LSZIOTJ,O,O,O,X,X,O,X,X,X,X
LSZIOJT,O,O,O,O,X,O,X,X,X,X
LSZJTIO,X,O,X,O,X,O,X,X,X,X
LSZJTOI,X,O,X,X,X,O,X,X,X,X
LSZJITO,X,O,X,O,X,X,X,X,X,X
LSZJIOT,O,O,O,O,X,O,X,X,X,X
LSZJOTI,O,O,O,X,X,O,X,X,X,X
LSZJOIT,O,O,O,O,X,O,X,X,X,X
LSZOTIJ,O,O,O,X,X,O,X,X,X,X
LSZOTJI,O,O,O,X,X,O,X,X,X,X
LSZOITJ,O,O,O,X,X,O,X,X,X,X
LSZOIJT,O,O,O,O,X,O,X,X,X,X
LSZOJTI,O,O,O,X,X,O,X,X,X,X
LSZOJIT,O,O,O,O,X,O,X,X,X,X
LSOTIJZ,O,X,O,X,X,O,X,X,X,O
LSOTIZJ,X,X,O,O,X,O,X,X,X,O
