sequence,v115@QhA8EeE8AeA8CeE8JeZEJvhFukBUhBFiBXjBTlByvB,v115@QhA8EeE8AeA8CeE8Jei/IvhFFiBXjBcpBxlBzlB2vB,v115@QhA8EeE8AeA8CeE8JeUBJvhFFiBXjBxkBmpBzqBipB
TOIJLZS,O,X,O
TOIJSLZ,O,X,O
TOIJSZL,O,O,O
TOIJZLS,X,O,O
TOIJZSL,O,O,O
TOISLJZ,O,X,X
TOISLZJ,O,X,O
TOISJLZ,O,X,O
TOISJZL,O,O,O
TOISZLJ,O,O,O
TOISZJL,O,X,O
TOIZLJS,O,X,X
TOIZLSJ,O,O,O
TOIZJLS,X,X,O
TOIZJSL,O,X,O
TOIZSLJ,O,O,O
TOIZSJL,O,X,O
TOLIJSZ,O,X,X
TOLIJZS,O,X,X
TOLISJZ,O,X,X
TOLISZJ,O,X,O
TOLIZJS,O,X,X
TOLIZSJ,O,X,O
TOLJISZ,O,X,O
TOLJIZS,O,X,O
TOLJSIZ,O,X,O
TOLJSZI,O,X,O
TOLJZIS,O,X,O
TOLJZSI,O,X,O
TOLSIJZ,O,X,X
TOLSIZJ,O,X,O
TOLSJIZ,O,X,O
TOLSJZI,O,X,O
TOLSZIJ,O,X,O
TOLSZJI,O,X,O
TOLZIJS,O,X,X
TOLZISJ,O,X,O
TOLZJIS,O,X,O
TOLZJSI,O,X,O
TOLZSIJ,O,X,O
TOLZSJI,O,X,O
TOJILSZ,O,X,O
TOJILZS,O,X,O
TOJISLZ,O,X,O
TOJISZL,O,O,O
TOJIZLS,X,O,O
TOJIZSL,O,O,O
TOJLISZ,O,X,O
TOJLIZS,O,X,O
TOJLSIZ,O,X,O
TOJLSZI,O,X,O
TOJLZIS,O,X,O
TOJLZSI,O,X,O
TOJSILZ,O,X,O
TOJSIZL,O,O,O
TOJSLIZ,O,X,O
TOJSLZI,O,X,O
TOJSZIL,O,O,O
TOJSZLI,X,O,O
TOJZILS,X,O,O
TOJZISL,O,O,O
