sequence,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF9lBThBxiBc?pBmnBXrB,v115@QhA8BeA8CeB8AeA8AeB8BeE8JeZEJvhFtkBXhBTiBO?oBSrB0qB,v115@QhA8BeA8CeB8AeA8AeB8BeE8Jei/IvhF3gB9mBxiBc?pBmnBzqB
ILTJSZO,O,O,X
ILTJSOZ,O,O,X
ILTJZSO,O,O,X
ILTJZOS,O,O,X
ILTJOSZ,X,O,X
ILTJOZS,X,O,X
ILTSJZO,X,O,X
ILTSJOZ,X,O,X
ILTSZJO,X,O,O
ILTSZOJ,X,O,O
ILTSOJZ,X,O,X
ILTSOZJ,X,O,X
ILTZJSO,O,O,O
ILTZJOS,O,O,X
ILTZSJO,O,O,O
ILTZSOJ,X,O,O
ILTZOJS,O,O,X
ILTZOSJ,X,O,O
ILTOJSZ,X,O,X
ILTOJZS,X,O,X
ILTOSJZ,X,O,X
ILTOSZJ,X,O,X
ILTOZJS,X,O,X
ILTOZSJ,X,O,X
ILJTSZO,O,O,O
ILJTSOZ,O,O,X
ILJTZSO,O,O,O
ILJTZOS,O,O,O
ILJTOSZ,X,O,X
ILJTOZS,X,O,X
ILJSTZO,O,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,O,O,X
ILJSOZT,O,O,X
ILJZTSO,O,O,O
ILJZTOS,O,O,O
ILJZSTO,O,O,O
ILJZSOT,O,O,O
ILJZOTS,O,O,O
ILJZOST,O,O,O
ILJOTSZ,X,O,O
ILJOTZS,X,O,O
ILJOSTZ,X,O,X
ILJOSZT,X,O,X
ILJOZTS,X,O,O
ILJOZST,X,O,O
ILSTJZO,O,O,X
ILSTJOZ,O,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,X,O,X
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,O,O,X
ILSJOZT,O,O,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,X
ILSZJOT,O,O,X
ILSZOTJ,O,O,X
ILSZOJT,O,O,X
ILSOTJZ,X,O,X
ILSOTZJ,O,O,X
ILSOJTZ,X,O,X
ILSOJZT,X,O,X
ILSOZTJ,O,O,X
ILSOZJT,X,O,X
ILZTJSO,O,O,O
ILZTJOS,O,O,O
ILZTSJO,O,O,O
ILZTSOJ,O,O,O
ILZTOJS,O,O,O
ILZTOSJ,X,O,O
