sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
ITSJZLO,X,O,X
ITSJZOL,O,X,O
ITSJOLZ,O,X,O
ITSJOZL,O,X,O
ITSZLJO,X,O,X
ITSZLOJ,O,X,X
ITSZJLO,X,O,X
ITSZJOL,O,X,O
ITSZOLJ,O,X,X
ITSZOJL,O,X,O
ITSOLJZ,O,X,O
ITSOLZJ,O,X,X
ITSOJLZ,O,X,O
ITSOJZL,O,X,O
ITSOZLJ,O,X,X
ITSOZJL,O,X,O
ITZLJSO,X,O,X
ITZLJOS,O,O,X
ITZLSJO,X,O,X
ITZLSOJ,O,X,X
ITZLOJS,O,O,X
ITZLOSJ,O,X,X
ITZJLSO,X,O,X
ITZJLOS,O,O,X
ITZJSLO,X,O,X
ITZJSOL,O,X,O
ITZJOLS,O,O,X
ITZJOSL,O,X,O
ITZSLJO,X,O,X
ITZSLOJ,O,X,X
ITZSJLO,X,O,X
ITZSJOL,O,X,O
ITZSOLJ,O,X,X
ITZSOJL,O,X,O
ITZOLJS,O,O,X
ITZOLSJ,O,X,X
ITZOJLS,O,O,X
ITZOJSL,O,X,O
ITZOSLJ,O,X,X
ITZOSJL,O,X,O
ITOLJSZ,O,O,O
ITOLJZS,O,O,X
ITOLSJZ,O,X,O
ITOLSZJ,O,X,X
ITOLZJS,O,O,X
ITOLZSJ,O,X,X
ITOJLSZ,O,O,O
ITOJLZS,O,O,X
ITOJSLZ,O,X,O
ITOJSZL,O,X,O
ITOJZLS,O,O,X
ITOJZSL,O,X,O
ITOSLJZ,O,X,O
ITOSLZJ,O,X,X
ITOSJLZ,O,X,O
ITOSJZL,O,X,O
ITOSZLJ,O,X,X
ITOSZJL,O,X,O
ITOZLJS,O,O,X
ITOZLSJ,O,X,X
