sequence,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeuEJvhF1lB0hB?xiBqsBToBXqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhFigB3hB?+oBcqBlnBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeFAJvhF0hBxiB?qpB3lBGoBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8JeCAJvhF0hBxiB?llBWtBzpBXtB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je0BJvhFxiBfqB?llBGoBzsBCqB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hBTjB?3lBFtBOqB6sB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je3AJvhF1mBxiB?qpBGoBUlBzsB,v115@9gA8IeA8IeA8CeC8CeA8BeD8BeA8Je5EJvhF0hB6nB?llBToBOqBXtB
LIOTSZJ,O,X,X,X,X,X,X,X
LIOTZJS,O,X,O,X,X,X,X,O
LIOTZSJ,O,X,O,X,X,X,X,O
LIOJTSZ,O,X,O,X,X,X,O,X
LIOJTZS,O,X,O,X,X,X,O,X
LIOJSTZ,O,X,O,X,X,X,O,X
LIOJSZT,O,X,O,X,X,X,X,X
LIOJZTS,O,X,O,X,X,X,O,X
LIOJZST,O,X,O,X,X,X,X,X
LIOSTJZ,O,X,O,X,X,X,X,X
LIOSTZJ,O,X,O,X,X,X,X,X
LIOSJTZ,O,X,O,X,X,X,X,X
LIOSJZT,O,X,O,X,X,X,X,X
LIOSZTJ,O,X,O,X,X,X,X,X
LIOSZJT,O,X,O,X,X,X,X,X
LIOZTJS,O,X,O,X,X,X,X,O
LIOZTSJ,O,X,O,X,X,X,X,O
LIOZJTS,O,X,O,X,X,X,X,O
LIOZJST,O,X,O,X,X,X,X,X
LIOZSTJ,O,X,O,X,X,X,X,O
LIOZSJT,O,X,O,X,X,X,X,X
LJTISZO,O,O,O,X,X,X,O,X
LJTISOZ,O,X,O,X,X,X,O,X
LJTIZSO,O,O,O,X,X,X,O,X
LJTIZOS,O,O,O,X,X,X,X,X
LJTIOSZ,O,X,X,X,X,X,O,X
LJTIOZS,O,X,O,X,X,X,X,X
LJTSIZO,O,O,O,X,X,X,O,X
LJTSIOZ,O,X,O,X,X,X,O,X
LJTSZIO,O,O,O,X,X,X,O,X
LJTSZOI,O,O,O,X,X,X,O,X
LJTSOIZ,O,X,O,X,X,X,O,X
LJTSOZI,O,X,O,X,X,X,O,X
LJTZISO,O,O,O,X,X,X,O,X
LJTZIOS,O,O,O,X,X,X,X,X
LJTZSIO,O,O,O,X,X,X,O,X
LJTZSOI,O,O,O,X,X,X,O,X
LJTZOIS,O,O,O,X,X,X,X,X
LJTZOSI,O,O,O,X,X,X,X,X
LJTOISZ,O,X,O,X,X,X,O,X
LJTOIZS,O,X,O,X,X,X,O,X
LJTOSIZ,O,X,O,X,X,X,O,X
LJTOSZI,O,X,O,X,X,X,O,X
LJTOZIS,O,X,O,X,X,X,O,X
LJTOZSI,O,X,O,X,X,X,O,X
LJITSZO,O,O,O,X,X,X,O,X
LJITSOZ,O,X,O,X,X,X,O,X
LJITZSO,O,O,O,X,X,X,O,X
LJITZOS,O,O,O,X,X,X,X,X
LJITOSZ,X,X,X,X,X,X,O,X
LJITOZS,O,X,O,X,X,X,X,X
LJISTZO,O,O,O,X,X,X,O,X
LJISTOZ,O,X,O,X,X,X,O,X
LJISZTO,O,O,O,X,X,X,X,X
LJISZOT,X,O,O,X,X,X,X,X
LJISOTZ,O,X,O,X,X,X,X,X
LJISOZT,X,X,O,X,X,X,X,X
LJIZTSO,O,O,O,X,X,X,O,X
LJIZTOS,O,O,O,X,X,X,X,X
LJIZSTO,O,O,O,X,X,X,X,X
LJIZSOT,X,O,O,X,X,X,X,X
LJIZOTS,X,O,O,O,X,X,X,X
LJIZOST,X,O,O,O,X,X,X,X
LJIOTSZ,X,X,X,O,X,X,O,X
LJIOTZS,X,X,O,O,X,X,X,X
LJIOSTZ,X,X,O,O,X,X,X,X
LJIOSZT,X,X,O,O,X,X,X,X
LJIOZTS,X,X,O,O,X,X,X,X
LJIOZST,X,X,O,O,X,X,X,X
LJSTIZO,O,O,O,X,X,X,O,X
LJSTIOZ,O,X,O,X,X,X,O,X
LJSTZIO,O,O,O,X,X,X,O,X
LJSTZOI,O,O,O,X,O,X,O,X
LJSTOIZ,O,X,O,X,X,X,O,X
LJSTOZI,O,X,O,X,X,X,O,X
LJSITZO,O,O,O,X,X,X,O,X
LJSITOZ,O,X,O,X,X,X,O,X
LJSIZTO,O,O,O,X,X,X,X,X
LJSIZOT,X,O,O,X,X,X,X,X
LJSIOTZ,O,X,O,X,X,X,X,X
LJSIOZT,O,X,O,X,X,X,X,X
LJSZTIO,O,O,O,X,X,X,X,X
LJSZTOI,O,O,O,X,O,X,X,X
LJSZITO,O,O,O,X,X,X,X,X
LJSZIOT,X,O,O,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,X,X
LJSZOIT,O,O,O,X,X,X,X,X
LJSOTIZ,O,X,O,X,X,X,X,X
LJSOTZI,O,X,O,X,X,X,X,X
LJSOITZ,O,X,O,X,X,X,X,X
LJSOIZT,O,X,O,X,X,X,X,X
LJSOZTI,O,X,O,X,X,X,X,X
LJSOZIT,O,X,O,X,X,X,X,X
LJZTISO,O,O,O,X,X,X,O,X
LJZTIOS,O,O,O,X,X,X,X,X
LJZTSIO,O,O,O,X,X,X,O,X
LJZTSOI,O,O,O,X,X,X,O,X
LJZTOIS,O,O,O,X,X,X,X,X
LJZTOSI,O,O,O,X,X,X,X,X
LJZITSO,O,O,O,X,X,X,O,X
LJZITOS,O,O,O,X,X,X,X,X
LJZISTO,O,O,O,X,X,X,X,X
LJZISOT,X,O,O,X,X,X,X,X
LJZIOTS,X,O,O,O,X,X,X,X
LJZIOST,X,O,O,O,X,X,X,X
LJZSTIO,O,O,O,X,X,X,X,X
LJZSTOI,O,O,O,X,O,X,X,X
LJZSITO,O,O,O,X,X,X,X,X
LJZSIOT,X,O,O,X,X,X,X,X
LJZSOTI,O,O,O,X,X,X,X,X
LJZSOIT,O,O,O,X,X,X,X,X
LJZOTIS,O,O,O,O,X,X,X,X
LJZOTSI,O,O,O,O,X,X,X,X
LJZOITS,O,O,O,O,X,X,X,X
LJZOIST,O,O,O,O,X,X,X,X
LJZOSTI,O,O,O,X,X,X,X,X
LJZOSIT,O,O,O,O,X,X,X,X
LJOTISZ,O,X,O,O,X,X,O,X
LJOTIZS,O,X,O,O,X,X,O,X
LJOTSIZ,O,X,O,O,X,X,O,X
LJOTSZI,O,X,O,O,X,X,O,X
LJOTZIS,O,X,O,O,X,X,O,X
LJOTZSI,O,X,O,O,X,X,O,X
LJOITSZ,O,X,O,O,X,X,O,X
LJOITZS,O,X,O,O,X,X,O,X
LJOISTZ,O,X,O,O,X,X,O,X
LJOISZT,O,X,O,O,X,X,X,X
LJOIZTS,O,X,O,O,X,X,O,X
LJOIZST,O,X,O,O,X,X,X,X
LJOSTIZ,O,X,O,X,X,X,O,X
LJOSTZI,O,X,O,X,X,X,O,X
LJOSITZ,O,X,O,O,X,X,O,X
LJOSIZT,O,X,O,O,X,X,X,X
LJOSZTI,O,X,O,X,X,X,X,X
LJOSZIT,O,X,O,O,X,X,X,X
LJOZTIS,O,X,O,O,X,X,O,X
LJOZTSI,O,X,O,O,X,X,O,X
LJOZITS,O,X,O,O,X,X,O,X
LJOZIST,O,X,O,O,X,X,X,X
LJOZSTI,O,X,O,X,X,X,X,X
LJOZSIT,O,X,O,O,X,X,X,X
LSTIJZO,O,X,O,X,X,O,O,X
LSTIJOZ,O,X,O,X,X,O,O,X
LSTIZJO,O,X,O,X,X,O,X,X
LSTIZOJ,O,X,O,X,X,O,X,X
LSTIOJZ,O,X,O,X,X,O,O,X
LSTIOZJ,O,X,O,X,X,O,X,X
LSTJIZO,O,X,O,X,X,X,O,X
LSTJIOZ,O,X,O,X,X,X,O,X
LSTJZIO,O,X,O,X,X,X,O,X
LSTJZOI,O,X,O,X,O,X,O,X
LSTJOIZ,O,X,O,X,X,X,O,X
LSTJOZI,O,X,O,X,X,X,O,X
LSTZIJO,O,X,O,X,X,O,X,X
LSTZIOJ,O,X,O,X,X,O,X,X
LSTZJIO,O,X,O,X,X,X,O,X
LSTZJOI,O,X,O,X,O,X,O,X
LSTZOIJ,O,X,O,X,X,O,X,X
LSTZOJI,O,X,O,X,O,X,O,X
LSTOIJZ,O,X,O,X,X,O,O,X
LSTOIZJ,O,X,O,X,X,O,X,X
LSTOJIZ,O,X,O,X,O,X,O,X
LSTOJZI,O,X,O,X,O,X,O,X
LSTOZIJ,O,X,O,X,X,O,X,X
LSTOZJI,O,X,O,X,O,X,O,X
LSITJZO,O,X,O,X,X,O,X,X
LSITJOZ,O,X,O,X,X,O,X,X
LSITZJO,O,X,O,X,X,O,X,X
LSITZOJ,O,X,O,X,X,O,X,X
LSITOJZ,O,X,O,X,X,O,X,X
LSITOZJ,O,X,O,X,X,O,X,X
LSIJTZO,O,O,O,X,X,X,X,X
LSIJTOZ,O,X,O,X,X,X,X,X
LSIJZTO,O,O,O,X,X,X,X,X
LSIJZOT,X,O,O,X,X,X,X,X
LSIJOTZ,O,X,O,X,X,X,X,X
LSIJOZT,O,X,O,X,X,X,X,X
LSIZTJO,O,O,O,X,X,O,X,X
LSIZTOJ,O,X,O,X,X,O,X,X
LSIZJTO,O,O,O,X,X,X,X,X
LSIZJOT,X,O,O,X,X,X,X,X
LSIZOTJ,O,X,O,X,X,X,X,X
LSIZOJT,O,O,O,X,X,X,X,X
LSIOTJZ,O,X,O,X,X,X,X,X
LSIOTZJ,O,X,O,X,X,X,X,X
LSIOJTZ,O,X,O,X,X,X,X,X
LSIOJZT,O,X,O,X,X,X,X,X
LSIOZTJ,O,X,O,X,X,X,X,X
LSIOZJT,O,X,O,X,X,X,X,X
LSJTIZO,O,O,O,X,X,X,O,X
LSJTIOZ,O,X,O,X,X,X,O,X
LSJTZIO,O,O,O,X,X,X,O,X
LSJTZOI,O,O,O,X,O,X,O,X
LSJTOIZ,O,X,O,X,X,X,O,X
LSJTOZI,O,X,O,X,X,X,O,X
LSJITZO,O,O,O,X,X,X,O,X
LSJITOZ,O,X,O,X,X,X,O,X
LSJIZTO,O,O,O,X,X,X,X,X
LSJIZOT,X,O,O,X,X,X,X,X
LSJIOTZ,O,X,O,X,X,X,X,X
LSJIOZT,O,X,O,X,X,X,X,X
LSJZTIO,O,O,O,X,X,X,X,X
LSJZTOI,O,O,O,X,O,X,X,X
LSJZITO,O,O,O,X,X,X,X,X
LSJZIOT,X,O,O,X,X,X,X,X
LSJZOTI,O,O,O,X,X,X,X,X
LSJZOIT,O,O,O,X,X,X,X,X
LSJOTIZ,O,X,O,X,X,X,X,X
LSJOTZI,O,X,O,X,X,X,X,X
LSJOITZ,O,X,O,X,X,X,X,X
LSJOIZT,O,X,O,X,X,X,X,X
LSJOZTI,O,X,O,X,X,X,X,X
LSJOZIT,O,X,O,X,X,X,X,X
LSZTIJO,O,O,O,X,X,O,X,X
LSZTIOJ,O,X,O,X,X,O,X,X
LSZTJIO,O,O,O,X,X,X,X,X
LSZTJOI,O,O,O,X,O,X,X,X
LSZTOIJ,O,X,O,X,X,O,X,X
LSZTOJI,O,X,O,X,O,X,X,X
LSZITJO,O,O,O,X,X,O,X,X
LSZITOJ,O,X,O,X,X,O,X,X
LSZIJTO,O,O,O,X,X,X,X,X
LSZIJOT,X,O,O,X,X,X,X,X
LSZIOTJ,O,X,O,X,X,X,X,X
LSZIOJT,O,O,O,X,X,X,X,X
LSZJTIO,O,O,O,X,X,X,X,X
LSZJTOI,O,O,O,X,O,X,X,X
LSZJITO,O,O,O,X,X,X,X,X
LSZJIOT,X,O,O,X,X,X,X,X
LSZJOTI,O,O,O,X,X,X,X,X
LSZJOIT,O,O,O,X,X,X,X,X
LSZOTIJ,O,X,O,X,X,X,X,X
LSZOTJI,O,X,O,X,O,X,X,X
LSZOITJ,O,X,O,X,X,X,X,X
LSZOIJT,O,O,O,X,X,X,X,X
LSZOJTI,O,O,O,X,O,X,X,X
LSZOJIT,O,O,O,X,O,X,X,X
LSOTIJZ,O,X,O,X,X,X,O,X
LSOTIZJ,O,X,O,X,X,X,X,X
LSOTJIZ,O,X,O,X,O,X,O,X
LSOTJZI,O,X,O,X,O,X,O,X
LSOTZIJ,O,X,O,X,X,X,X,X
LSOTZJI,O,X,O,X,O,X,O,X
LSOITJZ,O,X,O,X,X,X,X,X
LSOITZJ,O,X,O,X,X,X,X,X
LSOIJTZ,O,X,O,X,X,X,X,X
LSOIJZT,O,X,O,X,X,X,X,X
LSOIZTJ,O,X,O,X,X,X,X,X
LSOIZJT,O,X,O,X,X,X,X,X
LSOJTIZ,O,X,O,X,O,X,O,X
LSOJTZI,O,X,O,X,O,X,O,X
LSOJITZ,O,X,O,X,O,X,O,X
LSOJIZT,O,X,O,X,O,X,X,X
LSOJZTI,O,X,O,X,O,X,X,X
LSOJZIT,O,X,O,X,O,X,X,X
LSOZTIJ,O,X,O,X,X,X,X,X
LSOZTJI,O,X,O,X,O,X,X,X
LSOZITJ,O,X,O,X,X,X,X,X
LSOZIJT,O,X,O,X,X,X,X,X
LSOZJTI,O,X,O,X,O,X,X,X
LSOZJIT,O,X,O,X,O,X,X,X
LZTIJSO,O,O,O,X,X,X,X,X
LZTIJOS,O,O,O,X,X,X,X,O
LZTISJO,O,O,O,X,X,O,X,X
LZTISOJ,O,X,O,X,X,O,X,O
LZTIOJS,O,X,O,X,X,X,X,O
LZTIOSJ,O,X,O,X,X,O,X,O
LZTJISO,O,O,O,X,X,X,O,X
LZTJIOS,O,O,O,X,X,X,X,O
LZTJSIO,O,O,O,X,X,X,O,X
LZTJSOI,O,O,O,X,X,X,O,X
LZTJOIS,O,O,O,X,X,X,X,O
LZTJOSI,O,O,O,X,X,X,X,X
LZTSIJO,O,O,O,X,X,O,X,X
LZTSIOJ,O,X,O,X,X,O,X,O
LZTSJIO,O,O,O,X,X,X,O,X
LZTSJOI,O,O,O,X,X,X,O,X
LZTSOIJ,O,X,O,X,X,O,X,O
LZTSOJI,O,X,O,X,X,X,O,X
LZTOIJS,O,X,O,X,X,X,X,O
LZTOISJ,O,X,O,X,X,O,X,O
LZTOJIS,O,X,O,X,X,X,O,O
LZTOJSI,O,X,O,X,X,X,O,X
LZTOSIJ,O,X,O,X,X,O,X,O
LZTOSJI,O,X,O,X,X,X,O,X
LZITJSO,O,O,O,X,X,X,X,X
LZITJOS,O,O,O,X,X,X,X,O
LZITSJO,O,O,O,X,X,O,X,X
LZITSOJ,O,X,O,X,X,O,X,O
LZITOJS,O,X,O,X,X,X,X,O
LZITOSJ,O,X,O,X,X,O,X,O
LZIJTSO,O,O,O,X,X,X,X,X
LZIJTOS,O,O,O,X,X,X,X,O
LZIJSTO,O,O,O,X,X,X,X,X
LZIJSOT,X,O,O,X,X,X,X,X
LZIJOTS,X,O,O,X,X,X,X,O
LZIJOST,X,O,O,X,X,X,X,X
LZISTJO,O,O,O,X,X,O,X,X
LZISTOJ,O,X,O,X,X,O,X,O
LZISJTO,O,O,O,X,X,X,X,X
LZISJOT,X,O,O,X,X,X,X,X
LZISOTJ,O,X,O,X,X,X,X,O
LZISOJT,O,O,O,X,X,X,X,X
LZIOTJS,O,X,O,O,X,X,X,O
LZIOTSJ,O,X,O,O,X,X,X,O
LZIOJTS,O,O,O,O,X,X,X,O
LZIOJST,O,O,O,O,X,X,X,X
LZIOSTJ,O,X,O,O,X,X,X,O
LZIOSJT,O,O,O,O,X,X,X,X
LZJTISO,O,O,O,X,X,X,O,X
LZJTIOS,O,O,O,X,X,X,X,O
LZJTSIO,O,O,O,X,X,X,O,X
LZJTSOI,O,O,O,X,X,X,O,X
LZJTOIS,O,O,O,X,X,X,X,O
LZJTOSI,O,O,O,X,X,X,X,X
LZJITSO,O,O,O,X,X,X,O,X
LZJITOS,O,O,O,X,X,X,X,O
LZJISTO,O,O,O,X,X,X,X,X
LZJISOT,X,O,O,X,X,X,X,X
LZJIOTS,X,O,O,O,X,X,X,O
LZJIOST,X,O,O,O,X,X,X,X
LZJSTIO,O,O,O,X,X,X,X,X
LZJSTOI,O,O,O,X,O,X,X,X
LZJSITO,O,O,O,X,X,X,X,X
LZJSIOT,X,O,O,X,X,X,X,X
LZJSOTI,O,O,O,X,X,X,X,X
LZJSOIT,O,O,O,X,X,X,X,X
LZJOTIS,O,O,O,O,X,X,X,O
LZJOTSI,O,O,O,O,X,X,X,X
LZJOITS,O,O,O,O,X,X,X,O
LZJOIST,O,O,O,O,X,X,X,X
LZJOSTI,O,O,O,X,X,X,X,X
LZJOSIT,O,O,O,O,X,X,X,X
LZSTIJO,O,O,O,X,X,O,X,X
LZSTIOJ,O,X,O,X,X,O,X,O
LZSTJIO,O,O,O,X,X,X,X,X
LZSTJOI,O,O,O,X,O,X,X,X
LZSTOIJ,O,X,O,X,X,O,X,O
LZSTOJI,O,X,O,X,O,X,X,X
LZSITJO,O,O,O,X,X,O,X,X
LZSITOJ,O,X,O,X,X,O,X,O
LZSIJTO,O,O,O,X,X,X,X,X
LZSIJOT,X,O,O,X,X,X,X,X
LZSIOTJ,O,X,O,X,X,X,X,O
LZSIOJT,O,O,O,X,X,X,X,X
LZSJTIO,O,O,O,X,X,X,X,X
LZSJTOI,O,O,O,X,O,X,X,X
LZSJITO,O,O,O,X,X,X,X,X
LZSJIOT,X,O,O,X,X,X,X,X
LZSJOTI,O,O,O,X,X,X,X,X
LZSJOIT,O,O,O,X,X,X,X,X
LZSOTIJ,O,X,O,X,X,X,X,O
LZSOTJI,O,X,O,X,O,X,X,X
LZSOITJ,O,X,O,X,X,X,X,O
LZSOIJT,O,O,O,X,X,X,X,X
LZSOJTI,O,O,O,X,O,X,X,X
LZSOJIT,O,O,O,X,O,X,X,X
LZOTIJS,O,X,O,O,X,X,X,O
LZOTISJ,O,X,O,O,X,X,X,O
LZOTJIS,O,X,O,O,X,X,O,O
LZOTJSI,O,X,O,O,X,X,O,X
LZOTSIJ,O,X,O,O,X,X,X,O
LZOTSJI,O,X,O,O,X,X,O,X
LZOITJS,O,X,O,O,X,X,X,O
LZOITSJ,O,X,O,O,X,X,X,O
LZOIJTS,O,O,O,O,X,X,X,O
LZOIJST,O,O,O,O,X,X,X,X
LZOISTJ,O,X,O,O,X,X,X,O
LZOISJT,O,O,O,O,X,X,X,X
LZOJTIS,O,O,O,O,X,X,O,O
LZOJTSI,O,O,O,O,X,X,O,X
LZOJITS,O,O,O,O,X,X,O,O
LZOJIST,O,O,O,O,O,X,X,X
LZOJSTI,O,O,O,X,O,X,X,X
LZOJSIT,O,O,O,O,O,X,X,X
LZOSTIJ,O,X,O,X,X,X,X,O
LZOSTJI,O,X,O,X,O,X,X,X
LZOSITJ,O,X,O,O,X,X,X,O
LZOSIJT,O,O,O,O,X,X,X,X
LZOSJTI,O,O,O,X,O,X,X,X
LZOSJIT,O,O,O,O,O,X,X,X
LOTIJSZ,O,X,O,O,X,X,O,X
LOTIJZS,O,X,O,O,X,X,O,X
LOTISJZ,O,X,X,X,X,X,O,X
LOTISZJ,O,X,X,X,X,X,X,X
LOTIZJS,O,X,O,O,X,X,X,O
LOTIZSJ,O,X,O,O,X,X,X,O
LOTJISZ,O,X,O,O,X,X,O,X
LOTJIZS,O,X,O,O,X,X,O,X
LOTJSIZ,O,X,O,O,X,X,O,X
LOTJSZI,O,X,O,O,X,X,O,X
LOTJZIS,O,X,O,O,X,X,O,X
LOTJZSI,O,X,O,O,X,X,O,X
LOTSIJZ,O,X,O,X,X,X,O,X
LOTSIZJ,O,X,O,X,X,X,X,X
LOTSJIZ,O,X,O,O,X,X,O,X
LOTSJZI,O,X,O,O,X,X,O,X
LOTSZIJ,O,X,O,O,X,X,X,X
LOTSZJI,O,X,O,O,X,X,O,X
LOTZIJS,O,X,O,O,X,X,X,O
LOTZISJ,O,X,O,O,X,X,X,O
LOTZJIS,O,X,O,O,X,X,O,O
LOTZJSI,O,X,O,O,X,X,O,X
LOTZSIJ,O,X,O,O,X,X,X,O
LOTZSJI,O,X,O,O,X,X,O,X
LOITJSZ,O,X,O,X,X,X,O,X
LOITJZS,O,X,O,X,X,X,O,X
LOITSJZ,O,X,X,X,X,X,O,X
LOITSZJ,O,X,X,X,X,X,X,X
LOITZJS,O,X,O,X,X,X,X,O
LOITZSJ,O,X,O,X,X,X,X,O
LOIJTSZ,O,X,O,O,X,X,O,X
LOIJTZS,O,X,O,O,X,X,O,X
LOIJSTZ,O,X,O,O,X,X,O,X
LOIJSZT,O,X,O,O,X,X,X,X
LOIJZTS,O,X,O,O,X,X,O,X
LOIJZST,O,X,O,O,X,X,X,X
LOISTJZ,O,X,O,X,X,X,X,X
LOISTZJ,O,X,O,X,X,X,X,X
LOISJTZ,O,X,O,X,X,X,X,X
LOISJZT,O,X,O,X,X,X,X,X
LOISZTJ,O,X,O,X,X,X,X,X
LOISZJT,O,X,O,X,X,X,X,X
LOIZTJS,O,X,O,O,X,X,X,O
LOIZTSJ,O,X,O,O,X,X,X,O
LOIZJTS,O,X,O,O,X,X,X,O
LOIZJST,O,X,O,O,X,X,X,X
LOIZSTJ,O,X,O,O,X,X,X,O
LOIZSJT,O,X,O,O,X,X,X,X
LOJTISZ,O,X,O,O,X,X,O,X
LOJTIZS,O,X,O,O,X,X,O,X
LOJTSIZ,O,X,O,O,X,X,O,X
LOJTSZI,O,X,O,O,X,X,O,X
LOJTZIS,O,X,O,O,X,X,O,X
LOJTZSI,O,X,O,O,X,X,O,X
LOJITSZ,O,X,O,O,X,X,O,X
LOJITZS,O,X,O,O,X,X,O,X
LOJISTZ,O,X,O,O,O,X,O,X
LOJISZT,O,X,O,O,O,X,X,X
LOJIZTS,O,X,O,O,X,X,O,X
LOJIZST,O,X,O,O,O,X,X,X
LOJSTIZ,O,X,O,X,O,X,O,X
LOJSTZI,O,X,O,X,O,X,O,X
LOJSITZ,O,X,O,O,O,X,O,X
LOJSIZT,O,X,O,O,O,X,X,X
LOJSZTI,O,X,O,X,O,X,X,X
LOJSZIT,O,X,O,O,O,X,X,X
LOJZTIS,O,X,O,O,X,X,O,X
LOJZTSI,O,X,O,O,X,X,O,X
LOJZITS,O,X,O,O,X,X,O,X
LOJZIST,O,X,O,O,O,X,X,X
LOJZSTI,O,X,O,X,O,X,X,X
LOJZSIT,O,X,O,O,O,X,X,X
LOSTIJZ,O,X,O,X,X,X,O,X
LOSTIZJ,O,X,O,X,X,X,X,X
LOSTJIZ,O,X,O,X,O,X,O,X
LOSTJZI,O,X,O,X,O,X,O,X
LOSTZIJ,O,X,O,X,X,X,X,X
LOSTZJI,O,X,O,X,O,X,O,X
LOSITJZ,O,X,O,X,X,X,X,X
LOSITZJ,O,X,O,X,X,X,X,X
LOSIJTZ,O,X,O,X,X,X,X,X
LOSIJZT,O,X,O,X,X,X,X,X
LOSIZTJ,O,X,O,X,X,X,X,X
LOSIZJT,O,X,O,X,X,X,X,X
LOSJTIZ,O,X,O,X,O,X,O,X
LOSJTZI,O,X,O,X,O,X,O,X
LOSJITZ,O,X,O,O,O,X,O,X
LOSJIZT,O,X,O,O,O,X,X,X
LOSJZTI,O,X,O,X,O,X,X,X
LOSJZIT,O,X,O,O,O,X,X,X
LOSZTIJ,O,X,O,X,X,X,X,X
LOSZTJI,O,X,O,X,O,X,X,X
LOSZITJ,O,X,O,O,X,X,X,X
LOSZIJT,O,X,O,O,X,X,X,X
LOSZJTI,O,X,O,X,O,X,X,X
LOSZJIT,O,X,O,O,O,X,X,X
LOZTIJS,O,X,O,O,X,X,X,O
LOZTISJ,O,X,O,O,X,X,X,O
LOZTJIS,O,X,O,O,X,X,O,O
LOZTJSI,O,X,O,O,X,X,O,X
LOZTSIJ,O,X,O,O,X,X,X,O
LOZTSJI,O,X,O,O,X,X,O,X
LOZITJS,O,X,O,O,X,X,X,O
LOZITSJ,O,X,O,O,X,X,X,O
LOZIJTS,O,X,O,O,X,X,X,O
LOZIJST,O,X,O,O,X,X,X,X
LOZISTJ,O,X,O,O,X,X,X,O
LOZISJT,O,X,O,O,X,X,X,X
LOZJTIS,O,X,O,O,X,X,O,O
LOZJTSI,O,X,O,O,X,X,O,X
LOZJITS,O,X,O,O,X,X,O,O
LOZJIST,O,X,O,O,O,X,X,X
LOZJSTI,O,X,O,X,O,X,X,X
LOZJSIT,O,X,O,O,O,X,X,X
LOZSTIJ,O,X,O,X,X,X,X,O
LOZSTJI,O,X,O,X,O,X,X,X
LOZSITJ,O,X,O,O,X,X,X,O
LOZSIJT,O,X,O,O,X,X,X,X
LOZSJTI,O,X,O,X,O,X,X,X
LOZSJIT,O,X,O,O,O,X,X,X
JTILSZO,O,O,O,X,X,X,O,X
JTILSOZ,X,X,O,X,X,X,O,X
JTILZSO,O,O,O,X,X,X,O,X
JTILZOS,O,O,O,X,X,X,X,X
JTILOSZ,O,X,X,X,X,X,O,X
JTILOZS,O,X,O,X,X,X,X,X
JTISLZO,X,O,X,X,X,O,O,X
JTISLOZ,X,X,X,X,X,O,O,X
JTISZLO,X,O,X,X,X,O,X,X
JTISZOL,X,O,X,X,X,O,X,X
JTISOLZ,X,X,X,X,X,O,X,X
JTISOZL,X,O,X,X,X,O,X,X
JTIZLSO,O,O,O,X,X,X,O,X
JTIZLOS,O,O,O,X,X,X,X,O
JTIZSLO,O,O,X,X,X,O,X,X
JTIZSOL,X,O,X,X,X,O,X,X
JTIZOLS,O,O,X,O,X,X,X,O
JTIZOSL,X,O,X,O,X,O,X,X
JTIOLSZ,O,X,X,O,X,X,O,X
JTIOLZS,O,X,X,O,X,X,X,X
JTIOSLZ,X,X,X,O,X,O,X,X
JTIOSZL,X,O,X,O,X,O,X,X
JTIOZLS,X,O,X,O,X,X,X,O
JTIOZSL,X,O,X,O,X,O,X,X
JTLISZO,O,O,O,X,X,X,O,X
JTLISOZ,O,X,O,X,X,X,O,X
JTLIZSO,O,O,O,X,X,X,O,X
JTLIZOS,O,O,O,X,X,X,X,X
JTLIOSZ,O,X,X,X,X,X,O,X
JTLIOZS,O,X,O,X,X,X,X,X
JTLSIZO,O,O,O,X,X,X,O,X
JTLSIOZ,O,X,O,X,X,X,O,X
JTLSZIO,O,O,O,X,X,X,O,X
JTLSZOI,O,O,O,X,X,X,O,X
JTLSOIZ,O,X,O,X,X,X,O,X
JTLSOZI,O,X,O,X,X,X,O,X
JTLZISO,O,O,O,X,X,X,O,X
JTLZIOS,O,O,O,X,X,X,X,X
JTLZSIO,O,O,O,X,X,X,O,X
JTLZSOI,O,O,O,X,X,X,O,X
JTLZOIS,O,O,O,X,X,X,X,X
JTLZOSI,O,O,X,X,X,X,X,X
JTLOISZ,O,X,X,X,X,X,O,X
JTLOIZS,O,X,O,X,X,X,O,X
JTLOSIZ,O,X,X,X,X,X,O,X
JTLOSZI,O,X,X,X,X,X,O,X
JTLOZIS,O,X,O,X,X,X,O,X
JTLOZSI,O,X,X,X,X,X,O,X
JTSILZO,O,O,X,X,X,O,O,X
JTSILOZ,O,X,X,X,X,O,O,X
JTSIZLO,O,O,X,X,X,O,X,X
JTSIZOL,O,O,X,X,O,O,X,X
JTSIOLZ,O,X,X,X,X,O,X,X
JTSIOZL,X,O,X,X,X,O,X,X
JTSLIZO,O,O,X,X,X,X,O,X
JTSLIOZ,O,X,X,X,X,X,O,X
JTSLZIO,O,O,X,X,X,X,O,X
JTSLZOI,O,O,X,X,O,X,O,X
JTSLOIZ,O,X,X,X,X,X,O,X
JTSLOZI,O,X,X,X,X,X,O,X
JTSZILO,O,O,X,X,X,O,X,X
JTSZIOL,O,O,X,X,O,O,X,X
