sequence,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBO?qBzqB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFVnBaoB5oBm?qB0sBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MelAJvhFRiBcoBXmBT?nB2vBSyB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFmiB5oBFnBi?qBzsB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeVGJvhFRiBSoB/sB0?lB2vBTtB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnBToBi?qBWyB0qB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBO?qBzqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBUnBFoBm?qBSyBTqB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MexAJvhFTjB3lBFnBy?vBGtB0sB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBUnBatBm?qBTqBlsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhF5oBFnB8sBT?lByvBmsB,v115@9gB8HeC8GeB8CeA8DeB8CeB8MeXBJvhFxiBFnB8sB+?tBTlByvB
IZTOSLJ,O,O,X,X,X,X,O,X,X,X,O,X
IZTOSJL,O,X,X,X,X,X,X,X,X,X,X,X
IZLTJSO,O,O,X,X,X,X,X,O,X,O,O,X
IZLTJOS,O,O,X,X,X,X,X,O,X,X,X,X
IZLTSJO,O,O,X,X,X,X,X,O,X,O,O,X
IZLTSOJ,O,O,X,X,X,X,O,O,X,X,O,X
IZLTOJS,O,O,X,X,X,X,X,O,X,X,X,X
IZLTOSJ,O,O,X,X,X,X,O,O,X,X,O,X
IZLJTSO,O,O,X,X,X,X,X,O,X,O,O,X
IZLJTOS,O,O,X,X,X,X,X,O,X,X,X,X
IZLJSTO,X,O,X,X,X,X,X,O,X,O,O,X
IZLJSOT,X,X,X,X,X,X,O,X,X,O,X,X
IZLJOTS,O,O,X,X,X,X,X,X,X,X,X,X
IZLJOST,X,X,X,X,X,X,O,X,X,O,X,X
IZLSTJO,O,O,X,X,X,X,X,O,X,O,O,X
IZLSTOJ,O,O,X,X,X,X,O,O,X,X,O,X
IZLSJTO,X,O,X,X,X,X,X,X,X,O,O,X
IZLSJOT,X,X,X,X,X,X,O,X,X,O,X,X
IZLSOTJ,O,X,X,O,X,X,O,X,X,X,O,X
IZLSOJT,X,X,X,X,X,X,O,X,X,O,X,X
IZLOTJS,O,O,X,O,X,X,X,X,X,X,X,X
IZLOTSJ,O,O,X,O,X,X,O,X,X,X,O,X
IZLOJTS,O,O,X,X,X,X,X,X,X,X,X,X
IZLOJST,X,X,X,X,X,X,O,X,X,O,X,X
IZLOSTJ,O,X,X,O,X,X,O,X,X,X,O,X
IZLOSJT,X,X,X,X,X,X,O,X,X,O,X,X
IZJTLSO,O,O,X,X,X,X,X,X,X,O,O,X
IZJTLOS,O,O,X,X,X,X,X,X,X,X,X,X
IZJTSLO,O,O,X,X,X,X,X,O,X,O,O,X
IZJTSOL,X,O,X,X,X,X,X,X,X,X,X,X
IZJTOLS,O,O,X,X,X,X,X,X,X,X,X,X
IZJTOSL,O,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,O,O,X,X,X,X,X,O,X,O,O,X
IZJLTOS,O,O,X,X,X,X,X,O,X,X,X,X
IZJLSTO,X,O,X,X,X,X,X,O,X,O,O,X
IZJLSOT,X,X,X,X,X,X,O,X,X,O,X,X
IZJLOTS,O,O,X,X,X,X,X,X,X,X,X,X
IZJLOST,X,X,X,X,X,X,O,X,X,O,X,X
IZJSTLO,X,O,X,X,X,X,X,O,X,O,X,X
IZJSTOL,X,O,X,X,X,X,X,X,X,X,X,X
IZJSLTO,X,O,X,X,X,X,X,O,X,O,X,X
IZJSLOT,X,X,X,X,X,X,O,X,X,O,X,X
IZJSOTL,X,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,X,X,X,X,X,X,X,X,X,O,X,X
IZJOTLS,O,O,X,X,X,X,X,X,X,X,X,X
IZJOTSL,O,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,O,X,X,X,X,X,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,O,X,X,O,X,X
IZJOSTL,O,O,X,X,X,X,X,X,X,X,X,X
IZJOSLT,X,X,X,X,X,X,O,X,X,O,X,X
IZSTLJO,O,O,X,X,X,X,X,O,X,O,O,X
IZSTLOJ,O,O,X,X,X,X,O,O,X,X,O,X
IZSTJLO,O,O,X,X,X,X,X,O,X,X,O,X
IZSTJOL,X,O,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,X,X,X,X,X,X,X,X,O,X
IZSTOJL,O,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,O,X,O,O,X
IZSLTOJ,O,O,X,X,X,X,O,O,X,X,O,X
IZSLJTO,X,O,X,X,X,X,X,X,X,O,O,X
IZSLJOT,X,X,X,X,X,X,O,X,X,O,X,X
IZSLOTJ,O,X,X,X,X,X,O,X,X,X,O,X
IZSLOJT,X,X,X,X,X,X,O,X,X,O,X,X
IZSJTLO,X,O,X,X,X,X,X,X,X,O,X,X
IZSJTOL,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,O,X,X,X,X,X,X,X,O,X,X
IZSJLOT,X,X,X,X,X,X,O,X,X,O,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,X,X,O,X,X
IZSOTLJ,O,X,X,X,X,X,O,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,O,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,O,X,X,O,X,X
IZSOJTL,O,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,X,O,X,X,O,X,X,X,O,X
IZOTJLS,O,O,X,O,X,X,X,X,X,X,X,X
IZOTJSL,O,O,X,O,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,O,X,X,X,O,X
IZOTSJL,O,X,X,O,X,X,X,X,X,X,X,X
IZOLTJS,O,O,X,O,X,X,X,X,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,O,X,X,X,O,X
IZOLJTS,O,O,X,X,X,X,X,X,X,X,X,X
IZOLJST,X,X,X,X,X,X,O,X,X,O,X,X
IZOLSTJ,O,X,X,O,X,X,O,X,X,X,O,X
IZOLSJT,X,X,X,X,X,X,O,X,X,O,X,X
IZOJTLS,O,O,X,X,X,X,X,X,X,X,X,X
IZOJTSL,O,O,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,O,X,X,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,X,X,O,X,X,O,X,X
IZOJSTL,O,O,X,X,X,X,X,X,X,X,X,X
IZOJSLT,X,X,X,X,X,X,O,X,X,O,X,X
IZOSTLJ,O,X,X,X,X,X,O,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,O,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,O,X,X,O,X,X
IZOSJTL,O,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,O,X,X,O,X,X,X,X,X
IOTLZJS,O,X,O,O,X,X,X,X,X,X,X,X
IOTLZSJ,O,X,O,O,X,X,O,X,X,X,X,X
IOTJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
IOTJSZL,O,O,X,O,X,X,X,X,X,X,X,X
IOTJZLS,O,O,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,O,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,O,O,X,O,X,X,X,X,X
IOTSJLZ,O,X,X,O,O,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,X,X,O,X,O,X,X,X,X,X
IOTSZJL,O,X,X,O,X,X,X,X,X,X,X,X
IOTZLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,X,O,X,X,O,X,X,X,X,X
IOTZJLS,O,O,X,O,X,X,X,X,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,X,X,X,X,O,X,X,X,X,X
IOTZSJL,O,X,X,O,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,X,X,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,O,X,X,O,X,X,X,X,X
IOLTZJS,O,X,O,O,X,X,X,X,X,X,X,X
IOLTZSJ,O,X,O,O,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,O,X,X,X,X,X,X,X,X
IOLJTZS,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,X,X,X,X,X,X,X,X
IOLJSZT,X,X,O,X,X,X,O,X,X,O,X,X
IOLJZTS,X,X,O,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,O,X,X,X,O,X,X,O,X,X
IOLSTJZ,O,X,X,O,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,O,O,X,X,O,X,X,X,X,X
IOLSJTZ,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,X,O,X,X,X,X,X
IOLSZTJ,O,X,O,O,X,X,O,X,X,X,O,X
IOLSZJT,X,X,O,X,X,X,O,X,X,X,X,X
IOLZTJS,O,X,O,O,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,O,O,X,X,O,X,X,X,O,X
IOLZJTS,O,X,O,X,X,X,X,X,X,X,X,X
IOLZJST,X,X,O,X,X,X,O,X,X,O,X,X
IOLZSTJ,O,X,O,O,X,X,O,X,X,X,O,X
IOLZSJT,X,X,O,X,X,X,O,X,X,O,X,X
IOJTLSZ,O,X,X,O,X,X,X,X,X,X,X,X
IOJTLZS,X,X,O,O,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,O,O,X,X,X,X,X,X,X
IOJTSZL,O,O,X,O,O,X,X,X,X,X,X,X
IOJTZLS,O,O,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,O,X,O,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,O,X,X,X,X,X,X,X,X
IOJLSZT,X,X,O,X,X,X,O,X,X,O,X,X
IOJLZTS,X,X,O,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,X,X,X,O,X,X,O,X,X
IOJSTLZ,O,X,O,X,O,X,X,X,X,X,X,X
IOJSTZL,O,O,X,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,X,O,X,O,X,X,X,X,X,X,X
IOJSLZT,X,X,O,X,O,X,O,X,X,O,X,X
IOJSZTL,O,O,X,X,O,X,X,X,X,X,X,X
IOJSZLT,X,X,X,X,O,X,O,X,X,O,X,X
IOJZTLS,O,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,O,X,X,X,X,X,X,X,X,X,X
IOJZLST,X,X,X,X,X,X,O,X,X,O,X,X
IOJZSTL,O,O,X,X,X,X,X,X,X,X,X,X
IOJZSLT,X,X,X,X,X,X,O,X,X,O,X,X
IOSTLJZ,O,X,X,O,O,X,X,X,X,X,X,X
IOSTLZJ,O,X,O,O,O,X,O,X,X,X,X,X
IOSTJLZ,O,X,X,O,O,X,X,X,X,X,X,X
IOSTJZL,O,X,X,O,O,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,O,X,O,X,X,X,X,X
IOSTZJL,O,X,X,O,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,O,X,X,X,X,X,X,X
IOSLTZJ,O,X,O,O,O,X,O,X,X,X,X,X
IOSLJTZ,X,X,X,O,O,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,X,O,X,X,X,X,X
IOSLZTJ,O,X,O,O,O,X,O,X,X,X,X,X
IOSLZJT,X,X,O,X,O,X,O,X,X,X,X,X
IOSJTLZ,O,X,X,X,O,X,X,X,X,X,X,X
IOSJTZL,O,X,X,X,O,X,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,O,X,O,X,X,X,X,X
IOSJZTL,O,X,X,X,O,X,X,X,X,X,X,X
IOSJZLT,X,X,X,X,O,X,O,X,X,X,X,X
IOSZTLJ,O,X,X,X,O,X,O,X,X,X,X,X
IOSZTJL,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,X,X,X,O,X,O,X,X,X,X,X
IOSZLJT,X,X,X,X,O,X,O,X,X,X,X,X
IOSZJTL,O,X,X,X,O,X,X,X,X,X,X,X
IOSZJLT,X,X,X,X,O,X,O,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,X,O,X,X,O,X,X,X,O,X
IOZTJLS,O,O,X,O,X,X,X,X,X,X,X,X
IOZTJSL,O,O,X,O,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,O,X,X,X,O,X
IOZTSJL,O,X,X,O,X,X,X,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X,X,X,X,X
IOZLTSJ,O,O,X,O,X,X,O,X,X,X,O,X
IOZLJTS,O,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,X,X,X,X,X,X,O,X,X,O,X,X
IOZLSTJ,O,X,X,O,X,X,O,X,X,X,O,X
IOZLSJT,X,X,X,X,X,X,O,X,X,O,X,X
IOZJTLS,O,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,O,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,X,X,O,X,X,O,X,X
IOZJSTL,O,O,X,X,X,X,X,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,O,X,X,O,X,X
IOZSTLJ,O,X,X,X,X,X,O,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,X,O,X,X,X,X,X
IOZSLJT,X,X,X,X,X,X,O,X,X,O,X,X
IOZSJTL,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,O,X,X,X,X,X
LTIJSZO,O,O,X,X,X,X,X,O,O,O,X,X
LTIJSOZ,O,X,X,X,X,O,X,X,O,X,X,X
LTIJZSO,X,O,X,X,X,X,X,O,X,O,X,X
LTIJZOS,X,O,X,X,X,X,X,O,X,X,X,X
LTIJOSZ,O,X,X,X,X,O,X,X,O,X,X,X
LTIJOZS,X,X,X,X,X,O,X,X,X,X,X,X
LTISJZO,O,X,X,X,X,X,X,X,O,X,X,X
LTISJOZ,O,X,X,X,X,O,X,X,O,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,O,X,O,X
LTISZOJ,O,O,X,X,X,X,X,X,X,X,O,X
LTISOJZ,O,X,X,O,X,X,X,X,O,X,X,X
LTISOZJ,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,O,O,O,X,X,X,X,O,X,O,O,X
LTIZJOS,O,O,O,X,X,X,X,O,X,X,X,X
LTIZSJO,O,O,O,X,X,X,X,O,X,O,O,X
LTIZSOJ,O,O,O,X,X,X,O,O,X,X,O,X
LTIZOJS,O,O,O,X,X,X,X,O,X,X,X,X
LTIZOSJ,O,O,O,X,X,X,O,O,X,X,O,X
LTIOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,O,X,X,O,X,X,O,X,X,X,X,X
LTIOZJS,O,X,O,O,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,O,O,X,X,O,X,X,X,X,X
LTJISZO,O,O,X,X,X,X,X,O,O,O,X,X
LTJISOZ,O,X,X,X,X,O,X,X,O,X,X,X
LTJIZSO,X,O,O,X,X,X,X,O,X,O,X,X
LTJIZOS,X,O,O,X,X,X,X,O,X,X,X,X
LTJIOSZ,O,X,X,X,X,O,X,X,O,X,X,X
LTJIOZS,X,X,O,X,X,O,X,X,X,X,X,X
LTJSIZO,O,O,O,X,X,X,X,O,O,O,X,X
LTJSIOZ,O,X,O,X,X,O,X,X,O,X,X,X
LTJSZIO,X,O,O,X,X,X,X,O,O,O,O,O
LTJSZOI,X,O,O,X,X,O,X,O,O,X,X,O
LTJSOIZ,X,X,O,O,X,O,X,X,O,X,X,X
LTJSOZI,X,X,O,O,X,O,X,O,O,X,X,X
LTJZISO,X,O,O,X,X,X,X,O,X,O,O,O
LTJZIOS,X,O,O,X,X,X,X,O,X,X,X,O
LTJZSIO,X,O,O,X,X,X,X,O,O,O,O,O
LTJZSOI,X,O,O,X,X,O,X,O,O,X,X,O
LTJZOIS,X,O,O,X,X,O,X,O,X,X,X,O
LTJZOSI,X,O,O,X,X,O,X,O,O,X,X,O
LTJOISZ,O,X,X,O,X,O,X,X,O,X,X,X
LTJOIZS,X,X,O,O,X,O,X,X,X,X,X,X
LTJOSIZ,O,X,O,O,X,O,X,X,O,X,X,X
LTJOSZI,X,X,O,O,X,O,X,O,O,X,X,X
LTJOZIS,X,X,O,O,X,O,X,O,X,X,X,X
LTJOZSI,X,X,O,O,X,O,X,O,O,X,X,X
LTSIJZO,O,X,X,X,O,X,X,X,O,X,X,X
LTSIJOZ,O,X,X,X,O,O,X,X,O,X,X,X
LTSIZJO,O,O,O,X,O,X,X,X,O,X,O,X
LTSIZOJ,O,O,O,X,X,X,X,X,X,X,O,X
LTSIOJZ,O,X,X,O,O,X,X,X,O,X,X,X
LTSIOZJ,O,X,O,O,X,X,X,X,X,X,X,X
LTSJIZO,O,X,X,X,O,X,X,O,O,X,X,X
LTSJIOZ,O,X,X,X,O,O,X,X,O,X,X,X
LTSJZIO,X,X,O,X,O,X,X,O,O,X,O,O
LTSJZOI,X,X,O,X,O,O,X,O,O,X,X,O
LTSJOIZ,X,X,X,O,O,O,X,X,O,X,X,X
LTSJOZI,X,X,O,O,O,O,X,O,O,X,X,X
LTSZIJO,O,O,O,X,O,X,X,O,O,X,O,X
LTSZIOJ,O,O,O,X,X,X,X,O,X,X,O,X
LTSZJIO,O,O,O,X,O,X,X,O,O,X,O,X
LTSZJOI,X,X,O,X,O,O,X,O,O,X,X,X
LTSZOIJ,O,O,O,O,X,X,X,O,X,X,O,X
LTSZOJI,X,X,O,O,X,X,X,O,X,X,X,X
LTSOIJZ,O,X,X,O,O,X,X,X,O,X,X,X
LTSOIZJ,O,X,O,O,O,X,X,X,X,X,X,X
LTSOJIZ,O,X,X,O,O,O,X,X,O,X,X,X
LTSOJZI,X,X,O,O,O,O,X,X,O,X,X,X
LTSOZIJ,O,X,O,O,O,X,X,X,X,X,O,X
LTSOZJI,X,X,O,O,O,X,X,X,X,X,X,X
LTZIJSO,O,O,O,X,X,X,X,O,X,O,O,X
LTZIJOS,O,O,O,X,X,X,X,O,X,X,X,X
LTZISJO,O,O,O,X,X,X,X,O,X,O,O,X
LTZISOJ,O,O,O,X,X,X,O,O,X,X,O,X
LTZIOJS,O,O,O,X,X,X,X,O,X,X,X,X
LTZIOSJ,O,O,O,X,X,X,O,O,X,X,O,X
LTZJISO,O,O,O,X,X,X,X,O,X,O,O,X
LTZJIOS,O,O,O,X,X,X,X,O,X,X,X,X
LTZJSIO,O,O,O,X,X,X,X,O,O,O,O,X
LTZJSOI,X,O,O,X,X,O,X,O,O,X,X,X
LTZJOIS,O,O,O,X,X,O,X,O,X,X,X,X
LTZJOSI,O,O,O,X,X,O,X,O,O,X,X,X
LTZSIJO,O,O,O,X,X,X,X,O,O,O,O,X
LTZSIOJ,O,O,O,X,X,X,O,O,X,X,O,X
LTZSJIO,O,O,O,X,X,X,X,O,O,X,O,X
LTZSJOI,X,O,O,X,X,O,X,O,O,X,X,X
LTZSOIJ,O,O,O,O,X,X,X,O,X,X,O,X
LTZSOJI,O,X,O,O,X,X,X,O,X,X,X,X
LTZOIJS,O,O,O,O,X,X,X,O,X,X,X,X
LTZOISJ,O,O,O,O,X,X,O,O,X,X,O,X
LTZOJIS,O,O,O,O,X,X,X,O,X,X,X,X
LTZOJSI,O,O,O,O,X,X,X,O,X,X,X,X
LTZOSIJ,O,O,O,O,X,X,O,O,X,X,O,X
LTZOSJI,O,X,O,O,X,X,X,O,X,X,X,X
LTOIJSZ,O,X,X,O,X,X,X,X,X,X,X,X
LTOIJZS,X,X,X,O,X,X,X,X,X,X,X,X
LTOISJZ,O,X,X,O,X,X,X,X,X,X,X,X
LTOISZJ,O,X,X,O,X,X,O,X,X,X,X,X
LTOIZJS,O,X,O,O,X,X,X,X,X,X,X,X
LTOIZSJ,O,X,O,O,X,X,O,X,X,X,X,X
LTOJISZ,O,X,X,O,X,O,X,X,O,X,X,X
LTOJIZS,X,X,O,O,X,O,X,X,X,X,X,X
LTOJSIZ,O,X,O,O,X,O,X,X,O,X,X,X
LTOJSZI,X,X,O,O,X,O,X,O,O,X,X,X
LTOJZIS,X,X,O,O,X,O,X,O,X,X,X,X
LTOJZSI,X,X,O,O,X,O,X,O,O,X,X,X
LTOSIJZ,O,X,X,O,O,X,X,X,O,X,X,X
LTOSIZJ,O,X,O,O,O,X,O,X,X,X,X,X
LTOSJIZ,O,X,X,O,O,O,X,X,O,X,X,X
LTOSJZI,X,X,O,O,O,O,X,X,O,X,X,X
LTOSZIJ,O,X,O,O,O,X,O,X,X,X,O,X
LTOSZJI,O,X,O,O,O,X,X,X,X,X,X,X
LTOZIJS,O,X,O,O,X,X,X,O,X,X,X,X
LTOZISJ,O,X,O,O,X,X,O,O,X,X,O,X
LTOZJIS,O,X,O,O,X,X,X,O,X,X,X,X
LTOZJSI,O,X,O,O,X,X,X,O,X,X,X,X
LTOZSIJ,O,X,O,O,X,X,O,O,X,X,O,X
LTOZSJI,O,X,O,O,X,X,X,O,X,X,X,X
LITJSZO,O,O,X,X,X,X,X,O,O,O,X,X
LITJSOZ,O,X,X,X,X,O,X,X,O,X,X,X
LITJZSO,X,O,X,X,X,X,X,O,X,O,X,X
LITJZOS,X,O,X,X,X,X,X,O,X,X,X,X
LITJOSZ,O,X,X,X,X,O,X,X,O,X,X,X
LITJOZS,X,X,X,X,X,O,X,X,X,X,X,X
LITSJZO,O,X,X,X,X,X,X,X,O,X,X,X
LITSJOZ,O,X,X,X,X,O,X,X,O,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,O,X,O,X
LITSZOJ,O,O,X,X,X,X,X,X,X,X,O,X
LITSOJZ,O,X,X,O,X,X,X,X,O,X,X,X
LITSOZJ,O,X,X,O,X,X,X,X,X,X,X,X
LITZJSO,O,O,O,X,X,X,X,O,X,O,O,X
LITZJOS,O,O,O,X,X,X,X,O,X,X,X,X
LITZSJO,O,O,O,X,X,X,X,O,X,O,O,X
LITZSOJ,O,O,O,X,X,X,O,O,X,X,O,X
LITZOJS,O,O,O,X,X,X,X,O,X,X,X,X
LITZOSJ,O,O,O,X,X,X,O,O,X,X,O,X
LITOJSZ,O,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,X,X,X,O,X,X,X,X,X,X,X,X
LITOSJZ,O,X,X,O,X,X,X,X,X,X,X,X
LITOSZJ,O,X,X,O,X,X,O,X,X,X,X,X
LITOZJS,O,X,O,O,X,X,X,X,X,X,X,X
LITOZSJ,O,X,O,O,X,X,O,X,X,X,X,X
LIJTSZO,X,O,X,X,X,X,X,O,O,O,X,X
LIJTSOZ,X,X,X,X,X,O,X,X,O,X,X,X
LIJTZSO,X,O,O,X,X,X,X,O,X,O,X,X
LIJTZOS,X,O,O,X,X,X,X,O,X,X,X,X
LIJTOSZ,X,X,X,X,X,O,X,X,O,X,X,X
LIJTOZS,X,X,O,X,X,O,X,X,X,X,X,X
LIJSTZO,X,O,O,X,X,X,X,O,O,O,X,X
LIJSTOZ,X,X,O,X,X,O,X,X,O,X,X,X
LIJSZTO,X,O,O,X,X,X,X,O,O,O,O,O
LIJSZOT,X,X,O,X,X,X,X,X,O,O,X,X
LIJSOTZ,X,X,O,O,X,O,X,X,O,X,X,X
LIJSOZT,X,X,O,X,X,X,X,X,O,O,X,X
LIJZTSO,X,O,O,X,X,X,X,O,X,O,O,O
LIJZTOS,X,O,O,X,X,X,X,O,X,X,X,O
LIJZSTO,X,O,O,X,X,X,X,O,X,O,O,O
LIJZSOT,X,X,O,X,X,X,O,X,X,O,X,X
LIJZOTS,X,O,O,X,X,X,X,X,X,X,X,X
LIJZOST,X,X,O,X,X,X,O,X,X,O,X,X
LIJOTSZ,X,X,X,O,X,O,X,X,O,X,X,X
LIJOTZS,X,X,O,O,X,O,X,X,X,X,X,X
LIJOSTZ,X,X,O,O,X,O,X,X,O,X,X,X
LIJOSZT,X,X,O,X,X,X,O,X,O,O,X,X
LIJOZTS,X,X,O,X,X,X,X,X,X,X,X,X
LIJOZST,X,X,O,X,X,X,O,X,X,O,X,X
LISTJZO,X,X,X,X,X,X,X,X,O,X,X,X
LISTJOZ,X,X,X,X,X,O,X,X,O,X,X,X
LISTZJO,X,X,O,X,X,X,X,X,O,X,O,X
LISTZOJ,X,X,O,X,X,X,X,X,X,X,O,X
LISTOJZ,X,X,X,O,X,X,X,X,O,X,X,X
LISTOZJ,X,X,O,O,X,X,X,X,X,X,X,X
LISJTZO,X,X,X,X,X,X,X,X,O,O,X,X
LISJTOZ,X,X,X,X,X,O,X,X,O,X,X,X
LISJZTO,X,X,X,X,X,X,X,X,O,O,O,O
LISJZOT,X,X,X,X,X,X,X,X,O,O,X,X
LISJOTZ,X,X,X,O,X,O,X,X,O,X,X,X
LISJOZT,X,X,X,X,X,X,X,X,O,O,X,X
LISZTJO,X,X,O,X,X,X,X,X,O,O,O,X
LISZTOJ,X,X,O,X,X,X,O,X,X,X,O,X
LISZJTO,X,X,O,X,X,X,X,X,O,O,O,X
LISZJOT,X,X,X,X,X,X,O,X,O,O,X,X
LISZOTJ,X,X,O,O,X,X,O,X,X,X,O,X
LISZOJT,X,X,O,X,X,X,O,X,X,O,X,X
LISOTJZ,X,X,X,O,X,X,X,X,O,X,X,X
LISOTZJ,X,X,O,O,X,X,O,X,X,X,X,X
LISOJTZ,X,X,X,O,X,X,X,X,O,X,X,X
LISOJZT,X,X,X,X,X,X,O,X,O,X,X,X
LISOZTJ,X,X,O,O,X,X,O,X,X,X,O,X
LISOZJT,X,X,O,X,X,X,O,X,X,X,X,X
LIZTJSO,O,O,O,X,X,X,X,O,X,O,O,X
LIZTJOS,O,O,O,X,X,X,X,O,X,X,X,X
LIZTSJO,O,O,O,X,X,X,X,O,X,O,O,X
LIZTSOJ,O,O,O,X,X,X,O,O,X,X,O,X
