sequence,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBumBaoB5oBTnBXqB,v115@HhA8IeD8FeA8BeF8Ke0/IvhFdmBqmBTiBeoB5oBXqB,v115@HhA8IeD8FeA8BeF8KeXAJvhFdmBzhBWoB6tBRsB0pB
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,X,X,X
TOSJIZL,X,X,X
TOSJLIZ,X,X,X
TOSJLZI,X,X,X
TOSJZIL,X,X,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,X
TOSZJLI,X,X,X
TOZILJS,O,X,X
TOZILSJ,X,X,X
TOZIJLS,O,X,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,O,X,X
TOZLISJ,X,X,X
TOZLJIS,O,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,O,X,X
TOZJISL,X,X,X
TOZJLIS,O,X,X
TOZJLSI,X,X,X
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,X
ITLJZOS,X,O,X
ITLJOSZ,X,X,X
ITLJOZS,X,O,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,X,X
ITLZJOS,X,O,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,O,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,X
ITLOJZS,O,X,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,O,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,X
ITJLZOS,X,O,X
ITJLOSZ,X,X,X
ITJLOZS,X,O,X
ITJSLZO,X,X,X
ITJSLOZ,X,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,O
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,O,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,O,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,O,X,X
ITJOSLZ,X,X,O
ITJOSZL,X,X,X
ITJOZLS,O,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
