sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
TSJZILO,O,X,O,X,O,X,X,X
TSJZIOL,O,X,O,X,X,X,X,X
TSJZLIO,O,X,O,O,O,X,X,X
TSJZLOI,O,X,O,O,X,X,X,X
TSJZOIL,O,X,O,X,X,X,X,X
TSJZOLI,O,X,O,O,X,X,X,X
TSJOILZ,O,X,X,O,X,X,O,X
TSJOIZL,O,X,X,X,X,X,X,X
TSJOLIZ,O,X,X,O,X,X,O,X
TSJOLZI,O,X,O,O,X,X,X,X
TSJOZIL,O,X,O,X,X,X,X,X
TSJOZLI,O,X,O,O,X,X,X,X
TSZILJO,X,X,X,X,O,X,X,X
TSZILOJ,X,X,X,X,X,X,O,X
TSZIJLO,O,X,X,X,O,X,X,X
TSZIJOL,O,X,X,X,X,X,X,O
TSZIOLJ,X,X,X,X,X,X,O,X
TSZIOJL,O,X,X,X,X,X,X,O
TSZLIJO,X,X,X,O,O,X,X,X
TSZLIOJ,X,X,X,O,X,X,O,X
TSZLJIO,X,X,O,O,O,X,X,X
TSZLJOI,X,X,O,O,X,X,X,X
TSZLOIJ,X,X,X,O,X,X,O,X
TSZLOJI,X,X,O,O,X,X,X,X
TSZJILO,O,X,O,X,O,X,X,X
TSZJIOL,O,X,O,X,X,X,X,O
TSZJLIO,O,X,O,O,O,X,X,X
TSZJLOI,O,X,O,O,X,X,X,X
TSZJOIL,O,X,O,X,X,X,X,O
TSZJOLI,O,X,O,O,X,X,X,X
TSZOILJ,X,X,X,X,X,X,O,X
TSZOIJL,O,X,X,X,X,X,X,O
TSZOLIJ,X,X,X,O,X,X,O,X
TSZOLJI,X,X,O,O,X,X,X,X
TSZOJIL,O,X,O,X,X,X,X,O
TSZOJLI,O,X,O,O,X,X,X,X
TSOILJZ,O,X,X,O,X,X,O,X
TSOILZJ,X,X,X,O,X,X,O,X
TSOIJLZ,O,X,X,O,X,X,O,X
TSOIJZL,O,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,O,X
TSOIZJL,O,X,X,X,X,X,X,O
TSOLIJZ,O,X,X,O,X,X,O,X
TSOLIZJ,X,X,X,O,X,X,O,X
TSOLJIZ,O,X,X,O,X,X,O,X
TSOLJZI,O,X,O,O,X,X,X,X
TSOLZIJ,X,X,X,O,X,X,O,X
TSOLZJI,X,X,O,O,X,X,X,X
TSOJILZ,O,X,X,O,X,X,O,X
TSOJIZL,O,X,X,X,X,X,X,X
TSOJLIZ,O,X,X,O,X,X,O,X
TSOJLZI,O,X,O,O,X,X,X,X
TSOJZIL,O,X,O,X,X,X,X,X
TSOJZLI,O,X,O,O,X,X,X,X
TSOZILJ,X,X,X,X,X,X,O,X
TSOZIJL,O,X,X,X,X,X,X,O
TSOZLIJ,X,X,X,O,X,X,O,X
TSOZLJI,X,X,O,O,X,X,X,X
TSOZJIL,O,X,O,X,X,X,X,O
TSOZJLI,O,X,O,O,X,X,X,X
TZILJSO,X,O,O,X,X,O,X,X
TZILJOS,X,O,O,X,X,X,X,O
TZILSJO,X,O,X,X,X,O,X,X
TZILSOJ,X,O,X,X,X,X,X,X
TZILOJS,X,O,O,X,X,X,X,O
TZILOSJ,X,O,X,X,X,X,X,X
TZIJLSO,X,O,O,X,X,O,X,X
TZIJLOS,X,O,O,X,X,X,X,O
TZIJSLO,X,X,O,X,X,O,X,X
TZIJSOL,X,X,O,X,X,X,X,O
TZIJOLS,X,O,O,X,X,X,X,O
TZIJOSL,X,X,O,X,X,X,X,O
TZISLJO,X,O,X,X,X,O,X,X
TZISLOJ,X,O,X,X,X,X,O,X
TZISJLO,X,X,X,X,X,O,X,X
