sequence,v115@RhB8FeF8BeD8JeT/IvhF0gBlhB2qBxnBCoB3rB,v115@RhB8FeF8BeD8JeFBJvhFXiBTjBxkBSsBmkBUrB,v115@RhB8FeF8BeD8Jei/IvhFxhBTjBUlBGnBlrBfrB,v115@RhB8FeF8BeD8JeT/IvhFxgBGjBilB3nBFrB8rB,v115@RhB8FeF8BeD8Jei/IvhF8mBGjBRlB3nB1qBTrB,v115@RhB8FeF8BeD8Jei/IvhFfmBGjBUlBRnBVsBTrB,v115@RhB8FeF8BeD8JefHJvhF6nBTjBxkBVrBmkBUrB,v115@RhB8FeF8BeD8JeT/IvhFOlB8lB1rBxnBCoB3rB
LISZJOT,X,O,X,X,O,O,X,X
LISZOTJ,X,O,X,X,X,X,X,X
LISZOJT,X,O,X,X,O,O,X,X
LISOTJZ,O,O,X,X,X,X,O,X
LISOTZJ,X,O,X,X,X,X,O,X
LISOJTZ,O,O,X,X,X,X,X,X
LISOJZT,O,X,X,X,O,X,X,X
LISOZTJ,X,O,X,X,X,X,X,X
LISOZJT,X,O,X,X,O,X,X,X
LIZTJSO,X,O,O,X,X,O,X,X
LIZTJOS,X,O,O,X,X,X,X,X
LIZTSJO,X,O,X,X,X,O,X,X
LIZTSOJ,X,O,X,X,X,X,X,X
LIZTOJS,X,O,O,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X,X
LIZJTSO,X,O,X,X,X,O,X,X
LIZJTOS,X,O,X,X,X,X,X,X
LIZJSTO,X,O,X,X,O,O,X,X
LIZJSOT,X,O,X,X,O,O,X,X
LIZJOTS,X,O,X,X,X,X,X,X
LIZJOST,X,O,X,X,X,O,X,X
LIZSTJO,X,O,X,X,O,O,X,X
LIZSTOJ,X,O,X,X,X,X,X,X
LIZSJTO,X,O,X,X,O,O,X,X
LIZSJOT,X,O,X,X,O,O,X,X
LIZSOTJ,X,O,X,X,X,X,X,X
LIZSOJT,X,O,X,X,O,O,X,X
LIZOTJS,X,O,O,X,X,X,X,X
LIZOTSJ,X,O,X,X,X,X,X,X
LIZOJTS,X,O,X,X,X,X,X,X
LIZOJST,X,O,X,X,X,O,X,X
LIZOSTJ,X,O,X,X,X,X,X,X
LIZOSJT,X,O,X,X,X,O,X,X
LIOTJSZ,X,O,X,O,X,X,X,X
LIOTJZS,O,X,O,X,X,X,X,X
LIOTSJZ,O,O,X,O,X,X,O,X
LIOTSZJ,X,O,X,O,X,X,O,X
LIOTZJS,X,O,O,X,X,X,X,O
LIOTZSJ,X,O,X,X,X,X,X,X
LIOJTSZ,X,O,X,O,X,X,X,X
LIOJTZS,O,X,O,X,X,X,X,X
LIOJSTZ,O,O,X,X,X,X,X,X
LIOJSZT,O,X,X,X,O,X,X,X
LIOJZTS,O,O,X,X,X,X,X,X
LIOJZST,X,O,X,X,X,O,X,X
LIOSTJZ,O,O,X,X,X,X,O,X
LIOSTZJ,X,O,X,X,X,X,O,X
LIOSJTZ,O,O,X,X,X,X,X,X
LIOSJZT,O,X,X,X,O,X,X,X
LIOSZTJ,X,O,X,X,X,X,X,X
LIOSZJT,X,O,X,X,O,X,X,X
LIOZTJS,X,O,O,X,X,X,X,X
LIOZTSJ,X,O,X,X,X,X,X,X
LIOZJTS,X,O,X,X,X,X,X,X
LIOZJST,X,O,X,X,X,O,X,X
LIOZSTJ,X,O,X,X,X,X,X,X
LIOZSJT,X,O,X,X,X,O,X,X
LJTISZO,X,X,X,O,O,X,X,X
LJTISOZ,X,X,X,O,X,X,X,X
LJTIZSO,X,X,O,X,X,O,X,X
LJTIZOS,X,X,O,X,X,X,X,X
LJTIOSZ,X,X,X,O,X,X,X,X
LJTIOZS,X,X,O,X,X,X,X,X
LJTSIZO,X,X,X,O,O,X,X,X
LJTSIOZ,X,X,X,O,X,X,X,X
LJTSZIO,X,X,O,O,O,X,X,X
LJTSZOI,X,X,O,O,X,X,X,X
LJTSOIZ,X,X,X,O,X,X,X,X
LJTSOZI,X,X,O,O,X,X,X,X
LJTZISO,X,X,O,X,X,O,X,X
LJTZIOS,X,X,O,X,X,X,X,X
LJTZSIO,X,X,O,O,X,O,X,X
LJTZSOI,X,X,O,O,X,X,X,X
LJTZOIS,X,X,O,X,X,X,X,X
LJTZOSI,X,X,O,O,X,X,X,X
LJTOISZ,X,X,X,O,X,X,X,X
LJTOIZS,X,X,O,X,X,X,X,X
LJTOSIZ,X,X,X,O,X,X,X,X
LJTOSZI,X,X,O,O,X,X,X,X
LJTOZIS,X,X,O,X,X,X,X,X
LJTOZSI,X,X,O,O,X,X,X,X
LJITSZO,X,X,X,O,O,X,X,X
LJITSOZ,X,O,X,O,X,X,X,X
LJITZSO,X,X,O,X,X,O,X,X
LJITZOS,O,X,O,X,X,X,X,X
LJITOSZ,X,O,X,O,X,X,X,X
LJITOZS,O,X,O,X,X,X,X,X
LJISTZO,O,X,X,X,O,X,X,X
LJISTOZ,O,O,X,X,X,X,X,X
LJISZTO,O,X,X,X,O,O,X,X
LJISZOT,O,X,X,X,O,O,X,X
LJISOTZ,O,O,X,X,X,X,X,X
LJISOZT,O,X,X,X,O,X,X,X
LJIZTSO,X,O,X,X,X,O,X,X
LJIZTOS,O,O,X,X,X,X,X,X
LJIZSTO,X,O,X,X,O,O,X,X
LJIZSOT,X,O,X,X,O,O,X,X
LJIZOTS,O,O,X,X,X,X,X,X
LJIZOST,X,O,X,X,X,O,X,X
LJIOTSZ,X,O,X,O,X,X,X,X
LJIOTZS,O,X,O,X,X,X,X,X
LJIOSTZ,O,O,X,X,X,X,X,X
LJIOSZT,O,X,X,X,O,X,X,X
LJIOZTS,O,O,X,X,X,X,X,X
LJIOZST,X,O,X,X,X,O,X,X
LJSTIZO,O,X,X,O,O,X,X,X
LJSTIOZ,O,O,X,O,X,X,O,X
LJSTZIO,O,X,O,O,O,X,X,X
LJSTZOI,O,X,O,O,X,X,X,X
LJSTOIZ,O,O,X,O,X,X,O,X
LJSTOZI,O,X,O,O,X,X,X,X
LJSITZO,O,X,X,X,O,X,X,X
LJSITOZ,O,O,X,X,X,X,X,X
LJSIZTO,O,X,X,X,O,O,X,X
LJSIZOT,O,X,X,X,O,O,X,X
LJSIOTZ,O,O,X,X,X,X,X,X
LJSIOZT,O,X,X,X,O,X,X,X
LJSZTIO,O,X,X,X,O,O,X,X
LJSZTOI,O,X,X,X,X,X,X,X
LJSZITO,O,X,X,X,O,O,X,X
LJSZIOT,O,X,X,X,O,O,X,X
LJSZOTI,O,X,X,X,X,X,X,X
LJSZOIT,O,X,X,X,O,O,X,X
LJSOTIZ,O,O,X,O,X,X,O,X
LJSOTZI,O,X,O,O,X,X,X,X
LJSOITZ,O,O,X,X,X,X,X,X
LJSOIZT,O,X,X,X,O,X,X,X
LJSOZTI,O,X,X,X,X,X,X,X
LJSOZIT,O,X,X,X,O,X,X,X
LJZTISO,X,O,O,X,X,O,X,X
LJZTIOS,O,O,O,X,X,X,X,O
LJZTSIO,X,O,O,O,X,O,X,X
LJZTSOI,X,O,O,O,X,X,X,X
LJZTOIS,O,O,O,X,X,X,X,O
LJZTOSI,X,O,O,O,X,X,X,X
LJZITSO,X,O,X,X,X,O,X,X
LJZITOS,O,O,X,X,X,X,X,X
LJZISTO,X,O,X,X,O,O,X,X
LJZISOT,X,O,X,X,O,O,X,X
LJZIOTS,O,O,X,X,X,X,X,X
LJZIOST,X,O,X,X,X,O,X,X
LJZSTIO,X,O,X,X,O,O,X,X
LJZSTOI,X,O,X,X,X,X,X,X
LJZSITO,X,O,X,X,O,O,X,X
LJZSIOT,X,O,X,X,O,O,X,X
LJZSOTI,X,O,X,X,X,X,X,X
LJZSOIT,X,O,X,X,O,O,X,X
LJZOTIS,O,O,O,X,X,X,X,O
LJZOTSI,X,O,O,O,X,X,X,X
LJZOITS,O,O,X,X,X,X,X,X
LJZOIST,X,O,X,X,X,O,X,X
LJZOSTI,X,O,X,X,X,X,X,X
LJZOSIT,X,O,X,X,X,O,X,X
LJOTISZ,X,X,X,O,X,X,X,X
LJOTIZS,X,X,O,X,X,X,X,X
LJOTSIZ,X,X,X,O,X,X,X,X
LJOTSZI,X,X,O,O,X,X,X,X
LJOTZIS,X,X,O,X,X,X,X,X
LJOTZSI,X,X,O,O,X,X,X,X
LJOITSZ,X,O,X,O,X,X,X,X
LJOITZS,O,X,O,X,X,X,X,X
LJOISTZ,O,O,X,X,X,X,X,X
LJOISZT,O,X,X,X,O,X,X,X
LJOIZTS,O,O,X,X,X,X,X,X
LJOIZST,X,O,X,X,X,O,X,X
LJOSTIZ,O,O,X,O,X,X,O,X
LJOSTZI,O,X,O,O,X,X,X,X
LJOSITZ,O,O,X,X,X,X,X,X
LJOSIZT,O,X,X,X,O,X,X,X
LJOSZTI,O,X,X,X,X,X,X,X
LJOSZIT,O,X,X,X,O,X,X,X
LJOZTIS,O,O,O,X,X,X,X,O
LJOZTSI,X,O,O,O,X,X,X,X
LJOZITS,O,O,X,X,X,X,X,X
LJOZIST,X,O,X,X,X,O,X,X
LJOZSTI,X,O,X,X,X,X,X,X
LJOZSIT,X,O,X,X,X,O,X,X
LSTIJZO,O,X,X,O,O,X,X,X
LSTIJOZ,O,O,X,O,X,X,O,X
LSTIZJO,X,X,X,O,O,X,X,X
LSTIZOJ,X,O,X,O,X,X,O,X
LSTIOJZ,O,O,X,O,X,X,O,X
LSTIOZJ,X,O,X,O,X,X,O,X
LSTJIZO,O,X,X,O,O,X,X,X
LSTJIOZ,O,O,X,O,X,X,O,X
LSTJZIO,O,X,O,O,O,X,X,X
LSTJZOI,O,X,O,O,X,X,X,X
LSTJOIZ,O,O,X,O,X,X,O,X
LSTJOZI,O,X,O,O,X,X,X,X
LSTZIJO,X,X,X,O,O,X,X,X
LSTZIOJ,X,O,X,O,X,X,O,X
LSTZJIO,X,X,O,O,O,X,X,X
LSTZJOI,X,X,O,O,X,X,X,X
LSTZOIJ,X,O,X,O,X,X,O,X
LSTZOJI,X,X,O,O,X,X,X,X
LSTOIJZ,O,O,X,O,X,X,O,X
LSTOIZJ,X,O,X,O,X,X,O,X
LSTOJIZ,O,O,X,O,X,X,O,X
LSTOJZI,O,X,O,O,X,X,X,X
LSTOZIJ,X,O,X,O,X,X,O,X
LSTOZJI,X,X,O,O,X,X,X,X
LSITJZO,O,X,X,X,O,X,X,X
LSITJOZ,O,O,X,X,X,X,O,X
LSITZJO,X,X,X,X,O,X,X,X
LSITZOJ,X,O,X,X,X,X,O,X
LSITOJZ,O,O,X,X,X,X,O,X
LSITOZJ,X,O,X,X,X,X,O,X
LSIJTZO,O,X,X,X,O,X,X,X
LSIJTOZ,O,O,X,X,X,X,X,X
LSIJZTO,O,X,X,X,O,O,X,X
LSIJZOT,O,X,X,X,O,O,X,X
LSIJOTZ,O,O,X,X,X,X,X,X
LSIJOZT,O,X,X,X,O,X,X,X
LSIZTJO,X,O,X,X,O,O,X,X
LSIZTOJ,X,O,X,X,X,X,X,X
LSIZJTO,X,O,X,X,O,O,X,X
LSIZJOT,X,O,X,X,O,O,X,X
LSIZOTJ,X,O,X,X,X,X,X,X
LSIZOJT,X,O,X,X,O,O,X,X
LSIOTJZ,O,O,X,X,X,X,O,X
LSIOTZJ,X,O,X,X,X,X,O,X
LSIOJTZ,O,O,X,X,X,X,X,X
LSIOJZT,O,X,X,X,O,X,X,X
LSIOZTJ,X,O,X,X,X,X,X,X
LSIOZJT,X,O,X,X,O,X,X,X
LSJTIZO,O,X,X,O,O,X,X,X
LSJTIOZ,O,O,X,O,X,X,O,X
LSJTZIO,O,X,O,O,O,X,X,X
LSJTZOI,O,X,O,O,X,X,X,X
LSJTOIZ,O,O,X,O,X,X,O,X
LSJTOZI,O,X,O,O,X,X,X,X
LSJITZO,O,X,X,X,O,X,X,X
LSJITOZ,O,O,X,X,X,X,X,X
LSJIZTO,O,X,X,X,O,O,X,X
LSJIZOT,O,X,X,X,O,O,X,X
LSJIOTZ,O,O,X,X,X,X,X,X
LSJIOZT,O,X,X,X,O,X,X,X
LSJZTIO,O,X,X,X,O,O,X,X
LSJZTOI,O,X,X,X,X,X,X,X
LSJZITO,O,X,X,X,O,O,X,X
LSJZIOT,O,X,X,X,O,O,X,X
LSJZOTI,O,X,X,X,X,X,X,X
LSJZOIT,O,X,X,X,O,O,X,X
LSJOTIZ,O,O,X,O,X,X,O,X
LSJOTZI,O,X,O,O,X,X,X,X
LSJOITZ,O,O,X,X,X,X,X,X
LSJOIZT,O,X,X,X,O,X,X,X
LSJOZTI,O,X,X,X,X,X,X,X
LSJOZIT,O,X,X,X,O,X,X,X
LSZTIJO,X,O,X,X,O,O,X,X
LSZTIOJ,X,O,X,X,X,X,O,X
LSZTJIO,X,O,O,X,O,O,X,X
LSZTJOI,X,O,O,X,X,X,X,X
LSZTOIJ,X,O,X,X,X,X,O,X
LSZTOJI,X,O,O,X,X,X,X,X
LSZITJO,X,O,X,X,O,O,X,X
LSZITOJ,X,O,X,X,X,X,X,X
LSZIJTO,X,O,X,X,O,O,X,X
LSZIJOT,X,O,X,X,O,O,X,X
LSZIOTJ,X,O,X,X,X,X,X,X
LSZIOJT,X,O,X,X,O,O,X,X
LSZJTIO,X,O,X,X,O,O,X,X
LSZJTOI,X,O,X,X,X,X,X,X
LSZJITO,X,O,X,X,O,O,X,X
LSZJIOT,X,O,X,X,O,O,X,X
LSZJOTI,X,O,X,X,X,X,X,X
LSZJOIT,X,O,X,X,O,O,X,X
LSZOTIJ,X,O,X,X,X,X,O,X
LSZOTJI,X,O,O,X,X,X,X,X
LSZOITJ,X,O,X,X,X,X,X,X
LSZOIJT,X,O,X,X,O,O,X,X
LSZOJTI,X,O,X,X,X,X,X,X
LSZOJIT,X,O,X,X,O,O,X,X
LSOTIJZ,O,O,X,O,X,X,O,X
LSOTIZJ,X,O,X,O,X,X,O,X
LSOTJIZ,O,O,X,O,X,X,O,X
LSOTJZI,O,X,O,O,X,X,X,X
LSOTZIJ,X,O,X,O,X,X,O,X
LSOTZJI,X,X,O,O,X,X,X,X
LSOITJZ,O,O,X,X,X,X,O,X
LSOITZJ,X,O,X,X,X,X,O,X
LSOIJTZ,O,O,X,X,X,X,X,X
LSOIJZT,O,X,X,X,O,X,X,X
LSOIZTJ,X,O,X,X,X,X,X,X
LSOIZJT,X,O,X,X,O,X,X,X
LSOJTIZ,O,O,X,O,X,X,O,X
LSOJTZI,O,X,O,O,X,X,X,X
LSOJITZ,O,O,X,X,X,X,X,X
LSOJIZT,O,X,X,X,O,X,X,X
LSOJZTI,O,X,X,X,X,X,X,X
LSOJZIT,O,X,X,X,O,X,X,X
LSOZTIJ,X,O,X,X,X,X,O,X
LSOZTJI,X,O,O,X,X,X,X,X
LSOZITJ,X,O,X,X,X,X,X,X
LSOZIJT,X,O,X,X,O,X,X,X
LSOZJTI,X,O,X,X,X,X,X,X
LSOZJIT,X,O,X,X,O,X,X,X
LZTIJSO,X,O,O,X,X,O,X,X
LZTIJOS,X,O,O,X,X,X,X,O
LZTISJO,X,O,X,X,X,O,X,X
LZTISOJ,X,O,X,X,X,X,X,X
LZTIOJS,X,O,O,X,X,X,X,O
LZTIOSJ,X,O,X,X,X,X,X,X
LZTJISO,X,O,O,X,X,O,X,X
LZTJIOS,X,O,O,X,X,X,X,O
LZTJSIO,X,O,O,O,X,O,X,X
LZTJSOI,X,O,O,O,X,X,X,X
LZTJOIS,X,O,O,X,X,X,X,O
LZTJOSI,X,O,O,O,X,X,X,X
LZTSIJO,X,O,X,O,X,O,X,X
LZTSIOJ,X,O,X,O,X,X,X,X
LZTSJIO,X,O,O,O,X,O,X,X
LZTSJOI,X,O,O,O,X,X,X,X
LZTSOIJ,X,O,X,O,X,X,X,X
LZTSOJI,X,O,O,O,X,X,X,X
LZTOIJS,X,O,O,X,X,X,X,O
LZTOISJ,X,O,X,X,X,X,X,X
LZTOJIS,X,O,O,X,X,X,X,O
LZTOJSI,X,O,O,O,X,X,X,X
LZTOSIJ,X,O,X,O,X,X,X,X
LZTOSJI,X,O,O,O,X,X,X,X
LZITJSO,X,O,O,X,X,O,X,X
LZITJOS,X,O,O,X,X,X,X,X
LZITSJO,X,O,X,X,X,O,X,X
LZITSOJ,X,O,X,X,X,X,X,X
LZITOJS,X,O,O,X,X,X,X,X
LZITOSJ,X,O,X,X,X,X,X,X
LZIJTSO,X,O,X,X,X,O,X,X
LZIJTOS,X,O,X,X,X,X,X,X
LZIJSTO,X,O,X,X,O,O,X,X
LZIJSOT,X,O,X,X,O,O,X,X
LZIJOTS,X,O,X,X,X,X,X,X
LZIJOST,X,O,X,X,X,O,X,X
LZISTJO,X,O,X,X,O,O,X,X
LZISTOJ,X,O,X,X,X,X,X,X
LZISJTO,X,O,X,X,O,O,X,X
LZISJOT,X,O,X,X,O,O,X,X
LZISOTJ,X,O,X,X,X,X,X,X
LZISOJT,X,O,X,X,O,O,X,X
LZIOTJS,X,O,O,X,X,X,X,X
LZIOTSJ,X,O,X,X,X,X,X,X
LZIOJTS,X,O,X,X,X,X,X,X
LZIOJST,X,O,X,X,X,O,X,X
LZIOSTJ,X,O,X,X,X,X,X,X
LZIOSJT,X,O,X,X,X,O,X,X
LZJTISO,X,O,O,X,X,O,X,X
LZJTIOS,X,O,O,X,X,X,X,O
LZJTSIO,X,O,O,O,X,O,X,X
LZJTSOI,X,O,O,O,X,X,X,X
LZJTOIS,X,O,O,X,X,X,X,O
LZJTOSI,X,O,O,O,X,X,X,X
LZJITSO,X,O,X,X,X,O,X,X
LZJITOS,X,O,X,X,X,X,X,X
LZJISTO,X,O,X,X,O,O,X,X
LZJISOT,X,O,X,X,O,O,X,X
LZJIOTS,X,O,X,X,X,X,X,X
LZJIOST,X,O,X,X,X,O,X,X
LZJSTIO,X,O,X,X,O,O,X,X
LZJSTOI,X,O,X,X,X,X,X,X
LZJSITO,X,O,X,X,O,O,X,X
LZJSIOT,X,O,X,X,O,O,X,X
LZJSOTI,X,O,X,X,X,X,X,X
LZJSOIT,X,O,X,X,O,O,X,X
LZJOTIS,X,O,O,X,X,X,X,O
LZJOTSI,X,O,O,O,X,X,X,X
LZJOITS,X,O,X,X,X,X,X,X
LZJOIST,X,O,X,X,X,O,X,X
LZJOSTI,X,O,X,X,X,X,X,X
LZJOSIT,X,O,X,X,X,O,X,X
LZSTIJO,X,O,X,X,O,O,X,X
LZSTIOJ,X,O,X,X,X,X,O,X
LZSTJIO,X,O,O,X,O,O,X,X
LZSTJOI,X,O,O,X,X,X,X,X
LZSTOIJ,X,O,X,X,X,X,O,X
LZSTOJI,X,O,O,X,X,X,X,X
LZSITJO,X,O,X,X,O,O,X,X
LZSITOJ,X,O,X,X,X,X,X,X
LZSIJTO,X,O,X,X,O,O,X,X
LZSIJOT,X,O,X,X,O,O,X,X
LZSIOTJ,X,O,X,X,X,X,X,X
LZSIOJT,X,O,X,X,O,O,X,X
LZSJTIO,X,O,X,X,O,O,X,X
LZSJTOI,X,O,X,X,X,X,X,X
LZSJITO,X,O,X,X,O,O,X,X
LZSJIOT,X,O,X,X,O,O,X,X
LZSJOTI,X,O,X,X,X,X,X,X
LZSJOIT,X,O,X,X,O,O,X,X
LZSOTIJ,X,O,X,X,X,X,O,X
LZSOTJI,X,O,O,X,X,X,X,X
LZSOITJ,X,O,X,X,X,X,X,X
LZSOIJT,X,O,X,X,O,O,X,X
LZSOJTI,X,O,X,X,X,X,X,X
LZSOJIT,X,O,X,X,O,O,X,X
LZOTIJS,X,O,O,X,X,X,X,O
LZOTISJ,X,O,X,X,X,X,X,X
LZOTJIS,X,O,O,X,X,X,X,O
LZOTJSI,X,O,O,O,X,X,X,X
LZOTSIJ,X,O,X,O,X,X,X,X
LZOTSJI,X,O,O,O,X,X,X,X
LZOITJS,X,O,O,X,X,X,X,X
LZOITSJ,X,O,X,X,X,X,X,X
LZOIJTS,X,O,X,X,X,X,X,X
LZOIJST,X,O,X,X,X,O,X,X
LZOISTJ,X,O,X,X,X,X,X,X
LZOISJT,X,O,X,X,X,O,X,X
LZOJTIS,X,O,O,X,X,X,X,O
LZOJTSI,X,O,O,O,X,X,X,X
LZOJITS,X,O,X,X,X,X,X,X
LZOJIST,X,O,X,X,X,O,X,X
LZOJSTI,X,O,X,X,X,X,X,X
LZOJSIT,X,O,X,X,X,O,X,X
LZOSTIJ,X,O,X,X,X,X,O,X
LZOSTJI,X,O,O,X,X,X,X,X
LZOSITJ,X,O,X,X,X,X,X,X
LZOSIJT,X,O,X,X,X,O,X,X
LZOSJTI,X,O,X,X,X,X,X,X
LZOSJIT,X,O,X,X,X,O,X,X
LOTIJSZ,X,O,X,O,X,X,X,X
LOTIJZS,X,X,O,X,X,X,X,X
LOTISJZ,X,O,X,O,X,X,O,X
LOTISZJ,X,O,X,O,X,X,O,X
LOTIZJS,X,O,O,X,X,X,X,O
LOTIZSJ,X,O,X,X,X,X,X,X
LOTJISZ,X,X,X,O,X,X,X,X
LOTJIZS,X,X,O,X,X,X,X,X
LOTJSIZ,X,X,X,O,X,X,X,X
LOTJSZI,X,X,O,O,X,X,X,X
LOTJZIS,X,X,O,X,X,X,X,X
LOTJZSI,X,X,O,O,X,X,X,X
LOTSIJZ,X,O,X,O,X,X,O,X
LOTSIZJ,X,O,X,O,X,X,O,X
LOTSJIZ,X,O,X,O,X,X,O,X
LOTSJZI,X,X,O,O,X,X,X,X
LOTSZIJ,X,O,X,O,X,X,O,X
LOTSZJI,X,X,O,O,X,X,X,X
LOTZIJS,X,O,O,X,X,X,X,O
LOTZISJ,X,O,X,X,X,X,X,X
LOTZJIS,X,O,O,X,X,X,X,O
LOTZJSI,X,O,O,O,X,X,X,X
LOTZSIJ,X,O,X,O,X,X,X,X
LOTZSJI,X,O,O,O,X,X,X,X
LOITJSZ,X,O,X,O,X,X,X,X
LOITJZS,O,X,O,X,X,X,X,X
LOITSJZ,O,O,X,O,X,X,O,X
LOITSZJ,X,O,X,O,X,X,O,X
LOITZJS,X,O,O,X,X,X,X,O
LOITZSJ,X,O,X,X,X,X,X,X
LOIJTSZ,X,O,X,O,X,X,X,X
LOIJTZS,O,X,O,X,X,X,X,X
LOIJSTZ,O,O,X,X,X,X,X,X
LOIJSZT,O,X,X,X,O,X,X,X
LOIJZTS,O,O,X,X,X,X,X,X
LOIJZST,X,O,X,X,X,O,X,X
LOISTJZ,O,O,X,X,X,X,O,X
LOISTZJ,X,O,X,X,X,X,O,X
LOISJTZ,O,O,X,X,X,X,X,X
LOISJZT,O,X,X,X,O,X,X,X
LOISZTJ,X,O,X,X,X,X,X,X
LOISZJT,X,O,X,X,O,X,X,X
LOIZTJS,X,O,O,X,X,X,X,X
LOIZTSJ,X,O,X,X,X,X,X,X
LOIZJTS,X,O,X,X,X,X,X,X
LOIZJST,X,O,X,X,X,O,X,X
LOIZSTJ,X,O,X,X,X,X,X,X
LOIZSJT,X,O,X,X,X,O,X,X
LOJTISZ,X,X,X,O,X,X,X,X
LOJTIZS,X,X,O,X,X,X,X,X
LOJTSIZ,X,X,X,O,X,X,X,X
LOJTSZI,X,X,O,O,X,X,X,X
LOJTZIS,X,X,O,X,X,X,X,X
LOJTZSI,X,X,O,O,X,X,X,X
LOJITSZ,X,O,X,O,X,X,X,X
LOJITZS,O,X,O,X,X,X,X,X
LOJISTZ,O,O,X,X,X,X,X,X
LOJISZT,O,X,X,X,O,X,X,X
LOJIZTS,O,O,X,X,X,X,X,X
LOJIZST,X,O,X,X,X,O,X,X
LOJSTIZ,O,O,X,O,X,X,O,X
LOJSTZI,O,X,O,O,X,X,X,X
LOJSITZ,O,O,X,X,X,X,X,X
LOJSIZT,O,X,X,X,O,X,X,X
LOJSZTI,O,X,X,X,X,X,X,X
LOJSZIT,O,X,X,X,O,X,X,X
LOJZTIS,O,O,O,X,X,X,X,O
LOJZTSI,X,O,O,O,X,X,X,X
LOJZITS,O,O,X,X,X,X,X,X
LOJZIST,X,O,X,X,X,O,X,X
LOJZSTI,X,O,X,X,X,X,X,X
LOJZSIT,X,O,X,X,X,O,X,X
LOSTIJZ,O,O,X,O,X,X,O,X
LOSTIZJ,X,O,X,O,X,X,O,X
LOSTJIZ,O,O,X,O,X,X,O,X
LOSTJZI,O,X,O,O,X,X,X,X
LOSTZIJ,X,O,X,O,X,X,O,X
LOSTZJI,X,X,O,O,X,X,X,X
LOSITJZ,O,O,X,X,X,X,O,X
LOSITZJ,X,O,X,X,X,X,O,X
LOSIJTZ,O,O,X,X,X,X,X,X
LOSIJZT,O,X,X,X,O,X,X,X
LOSIZTJ,X,O,X,X,X,X,X,X
LOSIZJT,X,O,X,X,O,X,X,X
LOSJTIZ,O,O,X,O,X,X,O,X
LOSJTZI,O,X,O,O,X,X,X,X
LOSJITZ,O,O,X,X,X,X,X,X
LOSJIZT,O,X,X,X,O,X,X,X
LOSJZTI,O,X,X,X,X,X,X,X
LOSJZIT,O,X,X,X,O,X,X,X
LOSZTIJ,X,O,X,X,X,X,O,X
LOSZTJI,X,O,O,X,X,X,X,X
LOSZITJ,X,O,X,X,X,X,X,X
LOSZIJT,X,O,X,X,O,X,X,X
LOSZJTI,X,O,X,X,X,X,X,X
LOSZJIT,X,O,X,X,O,X,X,X
LOZTIJS,X,O,O,X,X,X,X,O
LOZTISJ,X,O,X,X,X,X,X,X
LOZTJIS,X,O,O,X,X,X,X,O
LOZTJSI,X,O,O,O,X,X,X,X
LOZTSIJ,X,O,X,O,X,X,X,X
LOZTSJI,X,O,O,O,X,X,X,X
LOZITJS,X,O,O,X,X,X,X,X
LOZITSJ,X,O,X,X,X,X,X,X
LOZIJTS,X,O,X,X,X,X,X,X
LOZIJST,X,O,X,X,X,O,X,X
LOZISTJ,X,O,X,X,X,X,X,X
LOZISJT,X,O,X,X,X,O,X,X
LOZJTIS,X,O,O,X,X,X,X,O
LOZJTSI,X,O,O,O,X,X,X,X
LOZJITS,X,O,X,X,X,X,X,X
LOZJIST,X,O,X,X,X,O,X,X
LOZJSTI,X,O,X,X,X,X,X,X
LOZJSIT,X,O,X,X,X,O,X,X
LOZSTIJ,X,O,X,X,X,X,O,X
LOZSTJI,X,O,O,X,X,X,X,X
LOZSITJ,X,O,X,X,X,X,X,X
LOZSIJT,X,O,X,X,X,O,X,X
LOZSJTI,X,O,X,X,X,X,X,X
LOZSJIT,X,O,X,X,X,O,X,X
JTILSZO,X,X,X,O,O,X,X,X
JTILSOZ,X,X,X,O,X,X,X,X
JTILZSO,X,X,O,X,X,O,X,X
JTILZOS,O,X,O,X,X,X,X,X
JTILOSZ,X,X,X,O,X,X,X,X
JTILOZS,O,X,O,X,X,X,X,X
JTISLZO,O,X,X,O,O,X,X,X
JTISLOZ,O,X,X,O,X,X,O,X
JTISZLO,O,X,X,X,O,X,X,X
JTISZOL,O,X,X,X,X,X,X,X
JTISOLZ,O,X,X,O,X,X,O,X
JTISOZL,O,X,X,X,X,X,X,X
JTIZLSO,X,X,O,X,X,O,X,X
JTIZLOS,O,X,O,X,X,X,X,O
JTIZSLO,X,X,O,X,X,O,X,X
JTIZSOL,O,X,O,X,X,X,X,O
JTIZOLS,O,X,O,X,X,X,X,O
JTIZOSL,O,X,O,X,X,X,X,O
JTIOLSZ,X,X,X,O,X,X,X,X
JTIOLZS,O,X,O,X,X,X,X,X
JTIOSLZ,O,X,X,O,X,X,O,X
JTIOSZL,O,X,X,X,X,X,X,X
JTIOZLS,O,X,O,X,X,X,X,O
JTIOZSL,O,X,O,X,X,X,X,O
JTLISZO,X,X,X,O,O,X,X,X
JTLISOZ,X,X,X,O,X,X,X,X
JTLIZSO,X,X,O,X,X,O,X,X
JTLIZOS,X,X,O,X,X,X,X,X
JTLIOSZ,X,X,X,O,X,X,X,X
JTLIOZS,X,X,O,X,X,X,X,X
JTLSIZO,X,X,X,O,O,X,X,X
