sequence,v115@XhD8AeB8AeF8Je0AJvhFxhBTjB3kBCnBlqBOpB,v115@XhD8AeB8AeF8JeZEJvhFCgBGiBTjBVqB3mB8qB,v115@XhD8AeB8AeF8Jex/IvhFSnBTjBOpBXlB8qBlrB,v115@XhD8AeB8AeF8JeRBJvhFSnBTjBOpB/qBUrBlpB,v115@XhD8AeB8AeF8JeZEJvhFWlBSnBTjB8qBXqBlrB,v115@XhD8AeB8AeF8JeSHJvhFTjBxkB8qBOpBXqBlrB
TZSLIJO,O,X,X,X,X,X
TZSLIOJ,O,X,X,X,X,X
TZSLJIO,O,X,O,X,X,X
TZSLJOI,O,X,O,X,X,X
TZSLOIJ,O,X,X,X,X,X
TZSLOJI,O,X,O,X,X,X
TZSJILO,O,O,O,X,X,X
TZSJIOL,X,O,O,X,X,X
TZSJLIO,O,X,O,X,X,X
TZSJLOI,O,X,O,X,X,X
TZSJOIL,X,O,O,X,X,X
TZSJOLI,O,X,O,X,X,X
TZSOILJ,O,O,X,X,X,X
TZSOIJL,X,O,X,X,X,X
TZSOLIJ,O,X,X,X,X,X
TZSOLJI,O,X,O,X,X,X
TZSOJIL,X,O,O,X,X,X
TZSOJLI,O,X,O,X,X,X
TZOILJS,O,X,X,X,O,O
TZOILSJ,O,X,X,X,X,O
TZOIJLS,X,X,X,X,O,X
TZOIJSL,X,O,X,X,X,X
TZOISLJ,O,O,X,X,X,X
TZOISJL,X,O,X,X,X,X
TZOLIJS,O,X,X,X,O,O
TZOLISJ,O,X,X,X,X,O
TZOLJIS,O,X,X,X,O,X
TZOLJSI,O,X,O,X,X,X
TZOLSIJ,O,X,X,X,X,X
TZOLSJI,O,X,O,X,X,X
TZOJILS,X,X,X,X,O,X
TZOJISL,X,O,X,X,X,X
TZOJLIS,O,X,X,X,O,X
TZOJLSI,O,X,O,X,X,X
TZOJSIL,X,O,O,X,X,X
TZOJSLI,O,X,O,X,X,X
TZOSILJ,O,O,X,X,X,X
TZOSIJL,X,O,X,X,X,X
TZOSLIJ,O,X,X,X,X,X
TZOSLJI,O,X,O,X,X,X
TZOSJIL,X,O,O,X,X,X
TZOSJLI,O,X,O,X,X,X
TOILJSZ,O,O,X,X,X,X
TOILJZS,O,X,X,X,X,X
TOILSJZ,O,O,X,X,X,X
TOILSZJ,O,O,X,X,X,X
TOILZJS,O,X,X,X,O,X
TOILZSJ,O,X,X,X,X,X
TOIJLSZ,X,O,X,X,X,X
TOIJLZS,X,X,X,X,X,X
TOIJSLZ,X,O,X,X,X,X
TOIJSZL,X,O,X,X,X,X
TOIJZLS,X,X,X,X,X,X
TOIJZSL,X,O,X,X,X,X
TOISLJZ,O,O,X,X,X,X
TOISLZJ,O,O,X,X,X,X
TOISJLZ,X,O,X,X,X,X
TOISJZL,X,O,X,X,X,X
TOISZLJ,O,O,X,X,X,X
TOISZJL,X,O,X,X,X,X
TOIZLJS,O,X,X,X,O,X
TOIZLSJ,O,X,X,X,X,X
TOIZJLS,X,X,X,X,O,X
