sequence,v115@QhB8GeH8BeB8JeT/IvhFelBChBxiBXmBlnBUsB,v115@QhB8GeH8BeB8Je/EJvhFUgBRhBFjByqBzmB+sB,v115@QhB8GeH8BeB8Je/EJvhFalBGhBxiBzlBlnBUsB,v115@QhB8GeH8BeB8Jem/IvhFqlBThBxiB0kBVsB3sB,v115@QhB8GeH8BeB8Jem/IvhFRhB0kBzlBfsBlnBCtB
TOLIJSZ,O,O,O,X,X
TOLIJZS,X,O,X,O,X
TOLISJZ,O,O,O,X,X
TOLISZJ,X,O,O,O,X
TOLIZJS,X,X,X,O,X
TOLIZSJ,X,X,X,O,X
TOLJISZ,O,O,O,X,X
TOLJIZS,X,O,X,O,X
TOLJSIZ,O,O,O,X,X
TOLJSZI,O,O,O,X,X
TOLJZIS,X,O,X,O,X
TOLJZSI,X,O,X,O,X
TOLSIJZ,O,O,O,X,X
TOLSIZJ,X,O,O,O,X
TOLSJIZ,O,O,O,X,X
TOLSJZI,O,O,O,X,X
TOLSZIJ,X,O,O,O,X
TOLSZJI,X,O,O,O,X
TOLZIJS,X,X,X,O,X
TOLZISJ,X,X,X,O,X
TOLZJIS,X,X,X,O,X
TOLZJSI,X,X,X,O,X
TOLZSIJ,X,X,X,O,X
TOLZSJI,X,X,X,O,X
TOJILSZ,O,O,O,X,X
TOJILZS,X,O,X,O,X
TOJISLZ,O,O,O,X,X
TOJISZL,O,O,O,X,X
TOJIZLS,X,O,X,O,X
TOJIZSL,O,O,O,X,X
TOJLISZ,O,O,O,X,X
TOJLIZS,X,O,X,O,X
TOJLSIZ,O,O,O,X,X
TOJLSZI,O,O,O,X,X
TOJLZIS,X,O,X,O,X
TOJLZSI,X,O,X,O,X
TOJSILZ,O,O,O,X,X
TOJSIZL,O,O,O,X,X
TOJSLIZ,O,O,O,X,X
TOJSLZI,O,O,O,X,X
TOJSZIL,O,O,O,X,X
TOJSZLI,O,O,O,X,X
TOJZILS,O,O,O,O,X
TOJZISL,O,O,O,X,X
TOJZLIS,O,O,O,O,X
TOJZLSI,O,O,O,O,X
TOJZSIL,O,O,O,X,X
TOJZSLI,O,O,O,X,X
TOSILJZ,O,O,O,X,X
TOSILZJ,X,O,O,O,O
TOSIJLZ,O,O,O,X,X
TOSIJZL,O,O,O,X,O
TOSIZLJ,X,X,O,O,O
TOSIZJL,O,O,O,X,O
TOSLIJZ,O,O,O,X,X
TOSLIZJ,X,O,O,O,O
TOSLJIZ,O,O,O,X,X
TOSLJZI,O,O,O,X,X
TOSLZIJ,X,O,O,O,O
TOSLZJI,X,O,O,O,O
TOSJILZ,O,O,O,X,X
TOSJIZL,O,O,O,X,O
TOSJLIZ,O,O,O,X,X
TOSJLZI,O,O,O,X,X
TOSJZIL,O,O,O,X,O
TOSJZLI,O,O,O,X,O
TOSZILJ,O,O,O,O,O
TOSZIJL,O,O,O,X,O
TOSZLIJ,O,O,O,O,O
TOSZLJI,O,O,O,O,O
TOSZJIL,O,O,O,X,O
TOSZJLI,O,O,O,X,O
TOZILJS,O,X,O,O,X
TOZILSJ,O,X,O,O,X
TOZIJLS,O,X,O,O,X
TOZIJSL,O,X,O,X,O
TOZISLJ,O,X,O,O,O
TOZISJL,O,X,O,X,O
TOZLIJS,O,X,O,O,X
TOZLISJ,O,X,O,O,X
TOZLJIS,O,X,O,O,X
