sequence,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBfnBxiBu?sBctBFrB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBTjBilBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFfnBTjBilBW?tBFrB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFXhBxiBCnBT?oBmqB0sB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeFAJvhFxhB6oB3lBc?rBTnBetB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeRAJvhFGiBilBUnBT?oBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFzgBGjBRnBU?nBFrBXtB,v115@9gA8IeB8HeB8HeD8AeB8BeA8JeaFJvhFRhB+oBfrB0?mBlnBzsB
TSJOLIZ,O,O,O,X,O,X,O,X
TSJOLZI,O,O,O,X,O,X,O,O
TSJOZIL,O,O,X,X,O,X,O,O
TSJOZLI,O,O,O,X,O,X,O,O
TSZILJO,O,O,X,X,O,X,O,O
TSZILOJ,O,O,X,X,O,X,O,X
TSZIJLO,O,O,X,X,O,X,O,O
TSZIJOL,O,O,X,X,O,X,O,O
TSZIOLJ,O,O,X,X,O,X,O,X
TSZIOJL,O,O,X,X,O,X,O,X
TSZLIJO,O,O,O,O,O,O,O,O
TSZLIOJ,O,O,X,O,O,O,O,X
TSZLJIO,O,O,O,O,O,O,O,O
TSZLJOI,O,O,O,O,O,O,O,O
TSZLOIJ,O,O,X,O,O,O,O,X
TSZLOJI,O,O,X,O,O,O,O,X
TSZJILO,O,O,X,X,O,X,O,O
TSZJIOL,O,O,X,X,O,X,O,O
TSZJLIO,O,O,O,X,O,O,O,O
TSZJLOI,O,O,O,X,O,O,O,O
TSZJOIL,O,O,X,X,O,X,O,O
TSZJOLI,O,O,O,X,O,O,O,O
TSZOILJ,O,O,X,O,O,X,O,X
TSZOIJL,O,O,X,X,O,X,O,X
TSZOLIJ,O,O,X,O,O,O,O,X
TSZOLJI,O,O,X,O,O,O,O,X
TSZOJIL,O,O,X,X,O,X,O,X
TSZOJLI,O,O,X,X,O,O,O,X
TSOILJZ,O,O,X,O,X,X,O,X
TSOILZJ,O,O,X,O,X,O,O,X
TSOIJLZ,O,O,X,X,O,X,O,X
TSOIJZL,X,O,X,X,O,X,O,X
TSOIZLJ,O,O,X,X,O,X,O,X
