sequence,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjB6pBOpBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeZFJvhF/mBUiB?FjBOpB6pBTsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je/EJvhFalBThB?xiBlnB2uBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?KpBfqBlnBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Je2EJvhFThBxiB?lnB3kByuBUsB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jem/IvhFThBxiB?VsBipB0pB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8Jei/IvhFThBxiB?cpBeqBVsB3sB,v115@AhA8IeA8EeA8CeB8CeB8CeC8BeB8JeTBJvhFxiBikB?lnB3pBUsBmpB
LIOTSZJ,O,O,X,O,X,O,X,X
LIOTZJS,X,X,X,X,O,O,X,X
LIOTZSJ,O,X,X,O,X,O,X,X
LIOJTSZ,O,O,X,X,O,O,X,X
LIOJTZS,X,X,X,X,O,O,X,X
LIOJSTZ,O,O,O,O,X,O,X,X
LIOJSZT,O,O,O,O,X,X,X,X
LIOJZTS,X,X,X,X,O,O,O,X
LIOJZST,X,X,X,X,X,X,O,X
LIOSTJZ,O,O,X,O,X,X,X,X
LIOSTZJ,O,O,X,O,X,X,X,X
LIOSJTZ,O,O,X,O,X,O,X,X
LIOSJZT,O,O,X,O,X,X,X,X
LIOSZTJ,O,O,X,O,X,X,X,X
LIOSZJT,O,O,X,O,X,X,X,X
LIOZTJS,X,X,X,O,O,X,X,X
LIOZTSJ,O,X,X,O,O,X,X,X
LIOZJTS,X,X,X,X,O,O,X,X
LIOZJST,X,X,X,O,X,X,X,X
LIOZSTJ,O,X,X,O,X,X,X,X
LIOZSJT,O,X,X,O,X,X,X,X
LJTISZO,O,O,O,O,X,O,X,X
LJTISOZ,X,X,O,O,O,O,X,X
LJTIZSO,X,X,X,X,X,O,O,X
LJTIZOS,X,X,X,X,O,O,O,X
LJTIOSZ,O,O,O,O,O,O,X,X
LJTIOZS,X,X,X,X,O,O,O,X
LJTSIZO,O,O,O,O,X,O,X,X
LJTSIOZ,X,X,O,O,O,O,X,X
LJTSZIO,O,O,O,O,X,O,X,X
LJTSZOI,X,X,O,O,X,O,X,X
LJTSOIZ,X,X,O,O,O,O,X,X
LJTSOZI,X,X,O,O,O,O,X,X
LJTZISO,X,X,X,X,O,O,O,X
LJTZIOS,X,X,X,X,O,O,O,X
LJTZSIO,X,X,X,X,O,O,O,X
LJTZSOI,X,X,X,X,O,O,O,X
LJTZOIS,X,X,X,X,O,O,O,X
LJTZOSI,X,X,X,X,O,O,O,X
LJTOISZ,O,O,O,O,O,O,X,X
LJTOIZS,X,X,X,X,O,O,O,X
LJTOSIZ,O,O,O,O,O,O,X,X
LJTOSZI,O,O,O,O,O,O,X,X
LJTOZIS,X,X,X,X,O,O,O,X
LJTOZSI,X,X,X,X,O,O,O,X
LJITSZO,O,O,O,O,X,O,X,X
LJITSOZ,X,X,O,O,O,O,X,X
LJITZSO,X,X,X,X,X,O,O,X
LJITZOS,X,X,X,X,O,O,O,X
LJITOSZ,O,O,O,O,O,O,X,X
LJITOZS,X,X,X,X,O,O,O,X
LJISTZO,O,O,O,O,X,X,X,X
LJISTOZ,X,X,O,O,O,O,X,X
LJISZTO,O,O,O,O,X,X,X,X
LJISZOT,X,X,O,O,X,X,X,X
LJISOTZ,O,O,O,O,X,O,X,X
LJISOZT,O,O,O,O,X,X,X,X
LJIZTSO,X,X,X,X,O,X,O,X
LJIZTOS,X,X,X,X,O,O,O,X
LJIZSTO,X,X,O,O,X,X,O,X
LJIZSOT,X,X,O,O,X,X,O,X
LJIZOTS,X,X,X,X,O,O,O,X
LJIZOST,X,X,O,O,X,X,O,X
LJIOTSZ,O,O,X,X,O,O,X,X
LJIOTZS,X,X,X,X,O,O,X,X
LJIOSTZ,O,O,O,O,X,O,X,X
LJIOSZT,O,O,O,O,X,X,X,X
LJIOZTS,X,X,X,X,O,O,O,X
LJIOZST,X,X,X,X,X,X,O,X
LJSTIZO,O,O,O,O,X,O,X,X
LJSTIOZ,X,X,O,O,O,O,X,X
LJSTZIO,O,O,O,O,X,O,X,X
LJSTZOI,X,X,O,O,X,O,X,X
LJSTOIZ,X,X,O,O,O,O,X,X
LJSTOZI,X,X,O,O,O,O,X,X
LJSITZO,O,O,O,O,X,X,X,X
LJSITOZ,X,X,O,O,O,O,X,X
LJSIZTO,O,O,O,O,X,X,X,X
LJSIZOT,X,X,O,O,X,X,X,X
LJSIOTZ,O,O,O,O,X,O,X,X
LJSIOZT,O,O,O,O,X,X,X,X
LJSZTIO,O,O,O,O,O,X,X,X
LJSZTOI,X,X,O,O,O,X,X,X
LJSZITO,O,O,O,O,X,X,X,X
LJSZIOT,X,X,O,O,X,X,X,X
LJSZOTI,X,X,O,O,O,X,X,X
LJSZOIT,X,X,O,O,X,X,X,X
LJSOTIZ,O,O,O,O,O,O,X,X
LJSOTZI,O,O,O,O,O,O,X,X
LJSOITZ,O,O,O,O,X,O,X,X
LJSOIZT,O,O,O,O,X,X,X,X
LJSOZTI,O,O,O,O,O,X,X,X
LJSOZIT,O,O,O,O,X,X,X,X
LJZTISO,X,X,O,O,O,X,O,X
LJZTIOS,X,X,O,O,O,O,O,X
LJZTSIO,X,X,O,O,O,O,O,X
LJZTSOI,X,X,O,O,O,O,O,X
LJZTOIS,X,X,O,O,O,O,O,X
LJZTOSI,X,X,O,O,O,O,O,X
LJZITSO,X,X,X,X,O,X,O,X
LJZITOS,X,X,X,X,O,O,O,X
LJZISTO,X,X,O,O,X,X,O,X
LJZISOT,X,X,O,O,X,X,O,X
LJZIOTS,X,X,X,X,O,O,O,X
LJZIOST,X,X,O,O,X,X,O,X
LJZSTIO,X,X,O,O,O,X,O,X
LJZSTOI,X,X,O,O,O,X,O,X
LJZSITO,X,X,O,O,X,X,O,X
LJZSIOT,X,X,O,O,X,X,O,X
LJZSOTI,X,X,O,O,O,X,O,X
LJZSOIT,X,X,O,O,X,X,O,X
LJZOTIS,X,X,O,O,O,O,O,X
LJZOTSI,X,X,O,O,O,O,O,X
LJZOITS,X,X,X,X,O,O,O,X
LJZOIST,X,X,O,O,X,X,O,X
LJZOSTI,X,X,O,O,O,X,O,X
LJZOSIT,X,X,O,O,X,X,O,X
LJOTISZ,O,O,O,O,O,O,X,X
LJOTIZS,X,X,X,X,O,O,O,X
LJOTSIZ,O,O,O,O,O,O,X,X
LJOTSZI,O,O,O,O,O,O,X,X
LJOTZIS,X,X,X,X,O,O,O,X
LJOTZSI,X,X,X,X,O,O,O,X
LJOITSZ,O,O,X,X,O,O,X,X
LJOITZS,X,X,X,X,O,O,X,X
LJOISTZ,O,O,O,O,X,O,X,X
LJOISZT,O,O,O,O,X,X,X,X
LJOIZTS,X,X,X,X,O,O,O,X
LJOIZST,X,X,X,X,X,X,O,X
LJOSTIZ,O,O,O,O,O,O,X,X
LJOSTZI,O,O,O,O,O,O,X,X
LJOSITZ,O,O,O,O,X,O,X,X
LJOSIZT,O,O,O,O,X,X,X,X
LJOSZTI,O,O,O,O,O,X,X,X
LJOSZIT,O,O,O,O,X,X,X,X
LJOZTIS,X,X,O,O,O,O,O,X
LJOZTSI,X,X,O,O,O,O,O,X
LJOZITS,X,X,X,X,O,O,O,X
LJOZIST,X,X,O,O,X,X,O,X
LJOZSTI,X,X,O,O,O,X,O,X
LJOZSIT,X,X,O,O,X,X,O,X
LSTIJZO,O,O,X,O,X,O,X,X
LSTIJOZ,X,X,X,O,O,O,X,X
LSTIZJO,O,O,X,O,X,O,X,X
LSTIZOJ,O,X,X,O,X,O,X,X
LSTIOJZ,O,X,X,O,O,O,X,X
LSTIOZJ,O,X,X,O,X,O,X,O
LSTJIZO,O,O,X,O,X,O,X,X
LSTJIOZ,X,X,X,O,O,O,X,X
LSTJZIO,O,O,X,O,X,O,X,X
LSTJZOI,X,X,X,O,X,O,X,X
LSTJOIZ,X,X,X,O,O,O,X,X
LSTJOZI,X,X,X,O,O,O,X,O
LSTZIJO,O,O,X,O,X,O,X,O
LSTZIOJ,O,X,X,O,X,O,X,O
LSTZJIO,O,O,X,O,X,O,X,O
LSTZJOI,X,X,X,O,X,O,X,O
LSTZOIJ,O,X,X,O,X,O,X,O
LSTZOJI,X,X,X,O,X,O,X,O
LSTOIJZ,O,X,X,O,O,O,X,X
LSTOIZJ,O,X,X,O,X,O,X,O
LSTOJIZ,O,X,X,O,O,O,X,X
LSTOJZI,O,X,X,O,O,O,X,O
LSTOZIJ,O,X,X,O,X,O,X,O
LSTOZJI,O,X,X,O,X,O,X,O
LSITJZO,O,O,X,O,X,X,X,X
LSITJOZ,X,X,X,O,O,X,X,X
LSITZJO,O,O,X,O,X,O,X,X
LSITZOJ,O,X,X,O,X,O,X,X
LSITOJZ,O,X,X,O,O,X,X,X
LSITOZJ,O,X,X,O,X,O,X,O
LSIJTZO,O,O,X,O,X,X,X,X
LSIJTOZ,X,X,X,O,O,O,X,X
LSIJZTO,O,O,X,O,X,X,X,X
LSIJZOT,X,X,X,O,X,X,X,X
LSIJOTZ,O,O,X,O,X,O,X,X
LSIJOZT,O,O,X,O,X,X,X,X
LSIZTJO,O,O,X,O,X,X,X,O
LSIZTOJ,O,X,X,O,X,X,X,O
LSIZJTO,O,O,X,O,X,X,X,X
LSIZJOT,X,X,X,O,X,X,X,X
LSIZOTJ,O,X,X,O,X,X,X,O
LSIZOJT,O,X,X,O,X,X,X,X
LSIOTJZ,O,O,X,O,X,X,X,X
LSIOTZJ,O,O,X,O,X,X,X,O
LSIOJTZ,O,O,X,O,X,O,X,X
LSIOJZT,O,O,X,O,X,X,X,X
LSIOZTJ,O,O,X,O,X,X,X,O
LSIOZJT,O,O,X,O,X,X,X,X
LSJTIZO,O,O,X,O,X,O,X,X
LSJTIOZ,X,X,X,O,O,O,X,X
LSJTZIO,O,O,X,O,X,O,X,X
LSJTZOI,X,X,X,O,X,O,X,X
LSJTOIZ,X,X,X,O,O,O,X,X
LSJTOZI,X,X,X,O,O,O,X,O
LSJITZO,O,O,X,O,X,X,X,X
LSJITOZ,X,X,X,O,O,O,X,X
LSJIZTO,O,O,X,O,X,X,X,X
LSJIZOT,X,X,X,O,X,X,X,X
LSJIOTZ,O,O,X,O,X,O,X,X
LSJIOZT,O,O,X,O,X,X,X,X
LSJZTIO,O,O,X,O,O,X,X,O
LSJZTOI,X,X,X,O,O,X,X,O
LSJZITO,O,O,X,O,X,X,X,X
LSJZIOT,X,X,X,O,X,X,X,X
LSJZOTI,X,X,X,O,O,X,X,O
LSJZOIT,X,X,X,O,X,X,X,X
LSJOTIZ,O,O,X,O,O,O,X,X
LSJOTZI,O,O,X,O,O,O,X,O
LSJOITZ,O,O,X,O,X,O,X,X
LSJOIZT,O,O,X,O,X,X,X,X
LSJOZTI,O,O,X,O,O,X,X,O
LSJOZIT,O,O,X,O,X,X,X,X
LSZTIJO,O,O,X,O,O,X,X,O
LSZTIOJ,O,X,X,O,O,X,X,O
LSZTJIO,O,O,X,O,O,X,X,O
LSZTJOI,X,X,X,O,O,X,X,O
LSZTOIJ,O,X,X,O,O,X,X,O
LSZTOJI,X,X,X,O,O,X,X,O
LSZITJO,O,O,X,O,X,X,X,O
LSZITOJ,O,X,X,O,X,X,X,O
LSZIJTO,O,O,X,O,X,X,X,X
LSZIJOT,X,X,X,O,X,X,X,X
LSZIOTJ,O,X,X,O,X,X,X,O
LSZIOJT,O,X,X,O,X,X,X,X
LSZJTIO,O,O,X,O,O,X,X,O
LSZJTOI,X,X,X,O,O,X,X,O
LSZJITO,O,O,X,O,X,X,X,X
LSZJIOT,X,X,X,O,X,X,X,X
LSZJOTI,X,X,X,O,O,X,X,O
LSZJOIT,X,X,X,O,X,X,X,X
LSZOTIJ,O,X,X,O,O,X,X,O
LSZOTJI,O,X,X,O,O,X,X,O
LSZOITJ,O,X,X,O,X,X,X,O
LSZOIJT,O,X,X,O,X,X,X,X
LSZOJTI,O,X,X,O,O,X,X,O
LSZOJIT,O,X,X,O,X,X,X,X
LSOTIJZ,O,O,X,O,O,O,X,X
LSOTIZJ,O,O,X,O,X,O,X,O
LSOTJIZ,O,O,X,O,O,O,X,X
LSOTJZI,O,O,X,O,O,O,X,O
LSOTZIJ,O,O,X,O,X,O,X,O
LSOTZJI,O,O,X,O,X,O,X,O
LSOITJZ,O,O,X,O,X,X,X,X
LSOITZJ,O,O,X,O,X,X,X,O
LSOIJTZ,O,O,X,O,X,O,X,X
LSOIJZT,O,O,X,O,X,X,X,X
LSOIZTJ,O,O,X,O,X,X,X,O
LSOIZJT,O,O,X,O,X,X,X,X
LSOJTIZ,O,O,X,O,O,O,X,X
LSOJTZI,O,O,X,O,O,O,X,O
LSOJITZ,O,O,X,O,X,O,X,X
LSOJIZT,O,O,X,O,X,X,X,X
LSOJZTI,O,O,X,O,O,X,X,O
LSOJZIT,O,O,X,O,X,X,X,X
LSOZTIJ,O,O,X,O,O,X,X,O
LSOZTJI,O,O,X,O,O,X,X,O
LSOZITJ,O,O,X,O,X,X,X,O
LSOZIJT,O,O,X,O,X,X,X,X
LSOZJTI,O,O,X,O,O,X,X,O
LSOZJIT,O,O,X,O,X,X,X,X
LZTIJSO,X,X,O,O,O,O,X,X
LZTIJOS,X,X,O,O,O,O,X,X
LZTISJO,O,X,X,O,O,O,X,O
LZTISOJ,O,X,X,O,O,O,X,O
LZTIOJS,X,X,O,O,O,O,X,X
LZTIOSJ,O,X,X,O,O,O,X,O
LZTJISO,X,X,O,O,O,O,X,X
LZTJIOS,X,X,O,O,O,O,X,X
LZTJSIO,X,X,O,O,O,O,X,X
LZTJSOI,X,X,O,O,O,O,X,X
LZTJOIS,X,X,O,O,O,O,X,X
LZTJOSI,X,X,O,O,O,O,X,X
LZTSIJO,O,X,X,O,O,O,X,O
LZTSIOJ,O,X,X,O,O,O,X,O
LZTSJIO,O,X,X,O,O,O,X,O
LZTSJOI,X,X,X,O,O,O,X,O
LZTSOIJ,O,X,X,O,O,O,X,O
LZTSOJI,X,X,X,O,O,O,X,O
LZTOIJS,X,X,O,O,O,O,X,X
LZTOISJ,O,X,X,O,O,O,X,O
LZTOJIS,X,X,O,O,O,O,X,X
LZTOJSI,X,X,O,O,O,O,X,X
LZTOSIJ,O,X,X,O,O,O,X,O
LZTOSJI,O,X,X,O,O,O,X,O
LZITJSO,X,X,X,O,O,O,X,X
LZITJOS,X,X,X,O,O,O,X,X
LZITSJO,O,X,X,O,O,O,X,X
LZITSOJ,O,X,X,O,O,O,X,X
LZITOJS,X,X,X,O,O,O,X,X
LZITOSJ,O,X,X,O,O,O,X,X
LZIJTSO,X,X,X,X,O,X,X,X
LZIJTOS,X,X,X,X,O,O,X,X
LZIJSTO,X,X,O,O,X,X,X,X
LZIJSOT,X,X,O,O,X,X,X,X
LZIJOTS,X,X,X,X,O,O,X,X
LZIJOST,X,X,O,O,X,X,X,X
LZISTJO,O,X,X,O,X,X,X,X
LZISTOJ,O,X,X,O,X,X,X,X
LZISJTO,O,X,X,O,X,X,X,X
LZISJOT,X,X,X,O,X,X,X,X
LZISOTJ,O,X,X,O,X,X,X,X
LZISOJT,O,X,X,O,X,X,X,X
LZIOTJS,X,X,X,O,O,X,X,X
LZIOTSJ,O,X,X,O,O,X,X,X
LZIOJTS,X,X,X,X,O,O,X,X
LZIOJST,X,X,O,O,X,X,X,X
LZIOSTJ,O,X,X,O,X,X,X,X
LZIOSJT,O,X,X,O,X,X,X,X
LZJTISO,X,X,O,O,O,X,X,X
LZJTIOS,X,X,O,O,O,O,X,X
LZJTSIO,X,X,O,O,O,O,X,X
LZJTSOI,X,X,O,O,O,O,X,X
LZJTOIS,X,X,O,O,O,O,X,X
LZJTOSI,X,X,O,O,O,O,X,X
LZJITSO,X,X,X,X,O,X,X,X
LZJITOS,X,X,X,X,O,O,X,X
LZJISTO,X,X,O,O,X,X,X,X
LZJISOT,X,X,O,O,X,X,X,X
LZJIOTS,X,X,X,X,O,O,X,X
LZJIOST,X,X,O,O,X,X,X,X
LZJSTIO,X,X,O,O,O,X,X,X
LZJSTOI,X,X,O,O,O,X,X,X
LZJSITO,X,X,O,O,X,X,X,X
LZJSIOT,X,X,O,O,X,X,X,X
LZJSOTI,X,X,O,O,O,X,X,X
LZJSOIT,X,X,O,O,X,X,X,X
LZJOTIS,X,X,O,O,O,O,X,X
LZJOTSI,X,X,O,O,O,O,X,X
LZJOITS,X,X,X,X,O,O,X,X
LZJOIST,X,X,O,O,X,X,X,X
LZJOSTI,X,X,O,O,O,X,X,X
LZJOSIT,X,X,O,O,X,X,X,X
LZSTIJO,O,X,X,O,O,X,X,O
LZSTIOJ,O,X,X,O,O,X,X,O
LZSTJIO,O,X,X,O,O,X,X,O
LZSTJOI,X,X,X,O,O,X,X,O
LZSTOIJ,O,X,X,O,O,X,X,O
LZSTOJI,X,X,X,O,O,X,X,O
LZSITJO,O,X,X,O,X,X,X,O
LZSITOJ,O,X,X,O,X,X,X,O
LZSIJTO,O,X,X,O,X,X,X,X
LZSIJOT,X,X,X,O,X,X,X,X
LZSIOTJ,O,X,X,O,X,X,X,O
LZSIOJT,O,X,X,O,X,X,X,X
LZSJTIO,O,X,X,O,O,X,X,O
LZSJTOI,X,X,X,O,O,X,X,O
LZSJITO,O,X,X,O,X,X,X,X
LZSJIOT,X,X,X,O,X,X,X,X
LZSJOTI,X,X,X,O,O,X,X,O
LZSJOIT,X,X,X,O,X,X,X,X
LZSOTIJ,O,X,X,O,O,X,X,O
LZSOTJI,O,X,X,O,O,X,X,O
LZSOITJ,O,X,X,O,X,X,X,O
LZSOIJT,O,X,X,O,X,X,X,X
LZSOJTI,O,X,X,O,O,X,X,O
LZSOJIT,O,X,X,O,X,X,X,X
LZOTIJS,X,X,O,O,O,O,X,X
LZOTISJ,O,X,X,O,O,O,X,O
LZOTJIS,X,X,O,O,O,O,X,X
LZOTJSI,X,X,O,O,O,O,X,X
LZOTSIJ,O,X,X,O,O,O,X,O
LZOTSJI,O,X,X,O,O,O,X,O
LZOITJS,X,X,X,O,O,X,X,X
LZOITSJ,O,X,X,O,O,X,X,X
LZOIJTS,X,X,X,X,O,O,X,X
LZOIJST,X,X,O,O,X,X,X,X
LZOISTJ,O,X,X,O,X,X,X,X
LZOISJT,O,X,X,O,X,X,X,X
LZOJTIS,X,X,O,O,O,O,X,X
LZOJTSI,X,X,O,O,O,O,X,X
LZOJITS,X,X,X,X,O,O,X,X
LZOJIST,X,X,O,O,X,X,X,X
LZOJSTI,X,X,O,O,O,X,X,X
LZOJSIT,X,X,O,O,X,X,X,X
LZOSTIJ,O,X,X,O,O,X,X,O
LZOSTJI,O,X,X,O,O,X,X,O
LZOSITJ,O,X,X,O,X,X,X,O
LZOSIJT,O,X,X,O,X,X,X,X
LZOSJTI,O,X,X,O,O,X,X,O
LZOSJIT,O,X,X,O,X,X,X,X
LOTIJSZ,O,O,O,O,O,O,X,X
LOTIJZS,X,X,X,X,O,O,O,X
LOTISJZ,O,O,X,O,O,O,X,X
LOTISZJ,O,O,X,O,X,O,X,X
LOTIZJS,X,X,X,X,O,O,X,X
LOTIZSJ,O,X,X,O,X,O,X,X
LOTJISZ,O,O,O,O,O,O,X,X
LOTJIZS,X,X,X,X,O,O,O,X
LOTJSIZ,O,O,O,O,O,O,X,X
LOTJSZI,O,O,O,O,O,O,X,X
LOTJZIS,X,X,X,X,O,O,O,X
LOTJZSI,X,X,X,X,O,O,O,X
LOTSIJZ,O,O,X,O,O,O,X,X
LOTSIZJ,O,O,X,O,X,O,X,O
LOTSJIZ,O,O,X,O,O,O,X,X
LOTSJZI,O,O,X,O,O,O,X,O
LOTSZIJ,O,O,X,O,X,O,X,O
LOTSZJI,O,O,X,O,X,O,X,O
LOTZIJS,X,X,X,O,O,O,X,X
LOTZISJ,O,X,X,O,O,O,X,X
LOTZJIS,X,X,X,O,O,O,X,X
LOTZJSI,X,X,X,O,O,O,X,X
LOTZSIJ,O,X,X,O,O,O,X,X
LOTZSJI,O,X,X,O,O,O,X,X
LOITJSZ,O,O,X,O,O,O,X,X
LOITJZS,X,X,X,X,O,O,X,X
LOITSJZ,O,O,X,O,O,O,X,X
LOITSZJ,O,O,X,O,X,O,X,X
LOITZJS,X,X,X,X,O,O,X,X
LOITZSJ,O,X,X,O,X,O,X,X
LOIJTSZ,O,O,X,X,O,O,X,X
LOIJTZS,X,X,X,X,O,O,X,X
LOIJSTZ,O,O,O,O,X,O,X,X
LOIJSZT,O,O,O,O,X,X,X,X
LOIJZTS,X,X,X,X,O,O,O,X
LOIJZST,X,X,X,X,X,X,O,X
LOISTJZ,O,O,X,O,X,X,X,X
LOISTZJ,O,O,X,O,X,X,X,X
LOISJTZ,O,O,X,O,X,O,X,X
LOISJZT,O,O,X,O,X,X,X,X
LOISZTJ,O,O,X,O,X,X,X,X
LOISZJT,O,O,X,O,X,X,X,X
LOIZTJS,X,X,X,O,O,X,X,X
LOIZTSJ,O,X,X,O,O,X,X,X
LOIZJTS,X,X,X,X,O,O,X,X
LOIZJST,X,X,X,O,X,X,X,X
LOIZSTJ,O,X,X,O,X,X,X,X
LOIZSJT,O,X,X,O,X,X,X,X
LOJTISZ,O,O,O,O,O,O,X,X
LOJTIZS,X,X,X,X,O,O,O,X
LOJTSIZ,O,O,O,O,O,O,X,X
LOJTSZI,O,O,O,O,O,O,X,X
LOJTZIS,X,X,X,X,O,O,O,X
LOJTZSI,X,X,X,X,O,O,O,X
LOJITSZ,O,O,X,X,O,O,X,X
LOJITZS,X,X,X,X,O,O,X,X
LOJISTZ,O,O,O,O,X,O,X,X
LOJISZT,O,O,O,O,X,X,X,X
LOJIZTS,X,X,X,X,O,O,O,X
LOJIZST,X,X,X,X,X,X,O,X
LOJSTIZ,O,O,O,O,O,O,X,X
LOJSTZI,O,O,O,O,O,O,X,X
LOJSITZ,O,O,O,O,X,O,X,X
LOJSIZT,O,O,O,O,X,X,X,X
LOJSZTI,O,O,O,O,O,X,X,X
LOJSZIT,O,O,O,O,X,X,X,X
LOJZTIS,X,X,O,O,O,O,O,X
LOJZTSI,X,X,O,O,O,O,O,X
LOJZITS,X,X,X,X,O,O,O,X
LOJZIST,X,X,O,O,X,X,O,X
LOJZSTI,X,X,O,O,O,X,O,X
LOJZSIT,X,X,O,O,X,X,O,X
LOSTIJZ,O,O,X,O,O,O,X,X
LOSTIZJ,O,O,X,O,X,O,X,O
LOSTJIZ,O,O,X,O,O,O,X,X
LOSTJZI,O,O,X,O,O,O,X,O
LOSTZIJ,O,O,X,O,X,O,X,O
LOSTZJI,O,O,X,O,X,O,X,O
LOSITJZ,O,O,X,O,X,X,X,X
LOSITZJ,O,O,X,O,X,X,X,O
LOSIJTZ,O,O,X,O,X,O,X,X
LOSIJZT,O,O,X,O,X,X,X,X
LOSIZTJ,O,O,X,O,X,X,X,O
LOSIZJT,O,O,X,O,X,X,X,X
LOSJTIZ,O,O,X,O,O,O,X,X
LOSJTZI,O,O,X,O,O,O,X,O
LOSJITZ,O,O,X,O,X,O,X,X
LOSJIZT,O,O,X,O,X,X,X,X
LOSJZTI,O,O,X,O,O,X,X,O
LOSJZIT,O,O,X,O,X,X,X,X
LOSZTIJ,O,O,X,O,O,X,X,O
LOSZTJI,O,O,X,O,O,X,X,O
LOSZITJ,O,O,X,O,X,X,X,O
LOSZIJT,O,O,X,O,X,X,X,X
LOSZJTI,O,O,X,O,O,X,X,O
LOSZJIT,O,O,X,O,X,X,X,X
LOZTIJS,X,X,O,O,O,O,X,X
LOZTISJ,O,X,X,O,O,O,X,O
LOZTJIS,X,X,O,O,O,O,X,X
LOZTJSI,X,X,O,O,O,O,X,X
LOZTSIJ,O,X,X,O,O,O,X,O
LOZTSJI,O,X,X,O,O,O,X,O
LOZITJS,X,X,X,O,O,X,X,X
LOZITSJ,O,X,X,O,O,X,X,X
LOZIJTS,X,X,X,X,O,O,X,X
LOZIJST,X,X,O,O,X,X,X,X
LOZISTJ,O,X,X,O,X,X,X,X
LOZISJT,O,X,X,O,X,X,X,X
LOZJTIS,X,X,O,O,O,O,X,X
LOZJTSI,X,X,O,O,O,O,X,X
LOZJITS,X,X,X,X,O,O,X,X
LOZJIST,X,X,O,O,X,X,X,X
LOZJSTI,X,X,O,O,O,X,X,X
LOZJSIT,X,X,O,O,X,X,X,X
LOZSTIJ,O,X,X,O,O,X,X,O
LOZSTJI,O,X,X,O,O,X,X,O
LOZSITJ,O,X,X,O,X,X,X,O
LOZSIJT,O,X,X,O,X,X,X,X
LOZSJTI,O,X,X,O,O,X,X,O
LOZSJIT,O,X,X,O,X,X,X,X
JTILSZO,O,O,O,O,X,X,X,X
JTILSOZ,X,X,O,O,O,X,X,X
JTILZSO,X,X,X,X,X,O,O,X
JTILZOS,X,X,X,X,O,O,O,X
JTILOSZ,O,O,O,O,O,X,X,X
JTILOZS,X,X,X,X,O,O,O,X
JTISLZO,O,O,O,X,X,X,X,X
JTISLOZ,X,X,O,X,X,X,X,X
JTISZLO,O,O,O,X,X,X,O,X
JTISZOL,X,O,O,X,X,X,O,X
JTISOLZ,X,O,O,X,X,X,X,X
JTISOZL,X,O,O,X,X,X,O,X
JTIZLSO,X,X,X,X,X,X,O,X
JTIZLOS,X,X,X,X,X,X,O,X
JTIZSLO,X,O,O,X,X,X,O,X
JTIZSOL,X,O,O,X,X,X,O,X
JTIZOLS,X,X,X,X,X,X,O,X
JTIZOSL,X,O,O,X,X,X,O,X
JTIOLSZ,O,O,O,O,O,X,X,X
JTIOLZS,X,X,X,X,O,O,O,X
JTIOSLZ,O,O,O,X,X,X,X,X
JTIOSZL,O,O,O,X,X,X,O,X
JTIOZLS,X,X,X,X,X,X,O,X
JTIOZSL,X,O,O,X,X,X,O,X
JTLISZO,O,O,O,O,X,X,X,X
JTLISOZ,X,X,O,O,O,X,X,X
JTLIZSO,X,X,X,X,X,O,O,X
JTLIZOS,X,X,X,X,O,O,O,X
JTLIOSZ,O,O,O,O,O,X,X,X
JTLIOZS,X,X,X,X,O,O,O,X
JTLSIZO,O,O,O,O,X,O,X,X
JTLSIOZ,X,X,O,O,O,O,X,X
JTLSZIO,O,O,O,O,X,O,X,X
JTLSZOI,X,X,O,O,X,O,X,X
JTLSOIZ,X,X,O,O,O,O,X,X
JTLSOZI,X,X,O,O,O,O,X,X
JTLZISO,X,X,X,X,X,O,O,X
JTLZIOS,X,X,X,X,O,O,O,X
JTLZSIO,X,X,X,X,X,O,O,X
JTLZSOI,X,X,X,X,X,O,O,X
JTLZOIS,X,X,X,X,O,O,O,X
JTLZOSI,X,X,X,X,O,O,O,X
JTLOISZ,O,O,O,O,O,X,X,X
JTLOIZS,X,X,X,X,O,O,O,X
JTLOSIZ,O,O,O,O,O,O,X,X
JTLOSZI,O,O,O,O,O,O,X,X
JTLOZIS,X,X,X,X,O,O,O,X
JTLOZSI,X,X,X,X,O,O,O,X
JTSILZO,O,O,O,X,X,X,X,X
JTSILOZ,X,X,O,X,X,X,X,X
JTSIZLO,O,O,O,X,X,X,O,X
JTSIZOL,X,O,O,X,X,X,O,X
JTSIOLZ,X,O,O,X,X,X,X,X
JTSIOZL,X,O,O,X,X,X,O,X
JTSLIZO,O,O,O,X,X,X,X,X
JTSLIOZ,X,X,O,X,X,X,X,X
JTSLZIO,O,O,O,X,X,X,X,X
JTSLZOI,X,X,O,X,X,X,X,X
JTSLOIZ,X,X,O,X,X,X,X,X
JTSLOZI,X,X,O,X,X,X,X,O
JTSZILO,O,O,O,X,X,X,O,X
JTSZIOL,X,O,O,X,X,X,O,X
