sequence,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigB3hBFjBc?qBOsBTrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8Je5EJvhFigBFiBXjBc?qBOrBzrB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjBllBc?rBesBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBGlBK?rBfsBzpB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeCAJvhFxhBXjB0lBm?mBzpB1wB,v115@9gA8IeA8HeB8FeD8BeA8CeC8JeRAJvhFUiBFjBClBO?rBXqBzrB
LZOTJIS,O,O,O,O,O,X
LZOTJSI,O,O,O,O,O,X
LZOTSIJ,O,O,X,O,O,O
LZOTSJI,O,O,O,O,O,O
LZOITJS,O,O,X,X,X,X
LZOITSJ,O,O,X,O,X,X
LZOIJTS,O,O,O,X,X,X
LZOIJST,O,O,O,X,X,X
LZOISTJ,O,O,X,O,X,X
LZOISJT,O,O,X,O,X,X
LZOJTIS,O,O,O,O,X,X
LZOJTSI,O,O,O,O,X,X
LZOJITS,O,O,O,O,X,X
LZOJIST,O,O,O,O,X,X
LZOJSTI,O,O,O,O,X,X
LZOJSIT,O,O,O,O,X,X
LZOSTIJ,O,O,X,O,O,O
LZOSTJI,O,O,X,O,O,O
LZOSITJ,O,O,X,O,O,O
LZOSIJT,O,O,X,O,X,O
LZOSJTI,O,O,O,O,X,O
LZOSJIT,O,O,O,O,X,O
LOTIJSZ,X,X,O,O,O,X
LOTIJZS,X,X,O,O,O,X
LOTISJZ,X,X,O,O,O,X
LOTISZJ,O,O,X,O,O,X
LOTIZJS,O,O,O,X,O,X
LOTIZSJ,O,O,X,O,O,X
LOTJISZ,X,X,O,O,O,X
LOTJIZS,X,X,O,O,O,O
LOTJSIZ,X,X,O,O,O,O
LOTJSZI,X,X,O,O,O,O
LOTJZIS,X,X,O,O,O,O
LOTJZSI,X,X,O,O,O,O
LOTSIJZ,X,X,O,O,O,O
LOTSIZJ,O,O,X,O,O,O
LOTSJIZ,X,X,O,O,O,O
LOTSJZI,X,X,O,O,O,O
LOTSZIJ,O,O,X,O,O,O
LOTSZJI,O,O,O,O,O,O
LOTZIJS,O,O,O,X,O,X
LOTZISJ,O,O,X,O,O,X
LOTZJIS,O,O,O,O,O,X
LOTZJSI,O,O,O,O,O,X
LOTZSIJ,O,O,X,O,O,O
LOTZSJI,O,O,O,O,O,O
LOITJSZ,X,X,O,O,O,X
LOITJZS,X,X,O,O,O,X
LOITSJZ,X,X,O,O,O,X
LOITSZJ,O,O,X,O,O,X
LOITZJS,O,O,O,X,O,X
LOITZSJ,O,O,X,O,O,X
LOIJTSZ,O,O,O,O,X,X
LOIJTZS,O,O,O,O,X,X
LOIJSTZ,O,O,O,O,X,X
LOIJSZT,O,O,O,O,X,X
LOIJZTS,O,O,O,O,X,X
LOIJZST,O,O,O,O,X,X
LOISTJZ,X,X,O,O,O,X
LOISTZJ,O,O,X,O,O,X
LOISJTZ,X,O,O,O,O,X
LOISJZT,X,O,O,O,O,X
LOISZTJ,O,O,X,O,O,X
LOISZJT,O,O,O,O,O,X
LOIZTJS,O,O,X,X,O,X
LOIZTSJ,O,O,X,O,O,X
LOIZJTS,O,O,O,X,X,X
LOIZJST,O,O,O,X,X,X
LOIZSTJ,O,O,X,O,O,X
LOIZSJT,O,O,X,O,O,X
LOJTISZ,O,O,O,O,O,X
LOJTIZS,O,O,O,O,O,O
LOJTSIZ,O,O,O,O,O,O
LOJTSZI,O,O,O,O,O,O
LOJTZIS,O,O,O,O,O,O
LOJTZSI,O,O,O,O,O,O
LOJITSZ,O,O,O,O,X,X
LOJITZS,O,O,O,O,X,O
LOJISTZ,O,O,O,O,X,X
LOJISZT,O,O,O,O,X,X
LOJIZTS,O,O,O,O,X,O
LOJIZST,O,O,O,O,X,X
LOJSTIZ,O,O,O,O,O,O
LOJSTZI,O,O,O,O,O,O
LOJSITZ,O,O,O,O,O,O
LOJSIZT,O,O,O,O,O,O
LOJSZTI,O,O,O,O,O,O
LOJSZIT,O,O,O,O,O,O
LOJZTIS,O,O,O,O,O,O
LOJZTSI,O,O,O,O,O,O
LOJZITS,O,O,O,O,X,O
LOJZIST,O,O,O,O,X,X
LOJZSTI,O,O,O,O,O,O
LOJZSIT,O,O,O,O,O,O
LOSTIJZ,X,X,O,O,O,O
LOSTIZJ,O,O,X,O,O,O
LOSTJIZ,X,X,O,O,O,O
LOSTJZI,X,X,O,O,O,O
LOSTZIJ,O,O,X,O,O,O
LOSTZJI,O,O,O,O,O,O
LOSITJZ,X,X,O,O,O,O
LOSITZJ,O,O,X,O,O,O
LOSIJTZ,X,O,O,O,O,O
LOSIJZT,X,O,O,O,O,O
LOSIZTJ,O,O,X,O,O,O
LOSIZJT,O,O,O,O,O,O
LOSJTIZ,X,O,O,O,O,O
LOSJTZI,X,O,O,O,O,O
LOSJITZ,X,O,O,O,O,O
LOSJIZT,X,O,O,O,O,O
LOSJZTI,X,O,O,O,O,O
LOSJZIT,X,O,O,O,O,O
LOSZTIJ,O,O,X,O,O,O
LOSZTJI,O,O,O,O,O,O
LOSZITJ,O,O,X,O,O,O
LOSZIJT,O,O,O,O,O,O
LOSZJTI,O,O,O,O,O,O
LOSZJIT,O,O,O,O,O,O
LOZTIJS,O,O,O,X,O,X
LOZTISJ,O,O,X,O,O,X
LOZTJIS,O,O,O,O,O,X
LOZTJSI,O,O,O,O,O,X
LOZTSIJ,O,O,X,O,O,O
LOZTSJI,O,O,O,O,O,O
LOZITJS,O,O,X,X,O,X
LOZITSJ,O,O,X,O,O,X
LOZIJTS,O,O,O,X,X,X
LOZIJST,O,O,O,X,X,X
LOZISTJ,O,O,X,O,O,X
LOZISJT,O,O,X,O,O,X
LOZJTIS,O,O,O,O,O,X
LOZJTSI,O,O,O,O,O,X
LOZJITS,O,O,O,O,X,X
LOZJIST,O,O,O,O,X,X
LOZJSTI,O,O,O,O,O,X
LOZJSIT,O,O,O,O,O,X
LOZSTIJ,O,O,X,O,O,O
LOZSTJI,O,O,O,O,O,O
LOZSITJ,O,O,X,O,O,O
LOZSIJT,O,O,O,O,O,O
LOZSJTI,O,O,O,O,O,O
LOZSJIT,O,O,O,O,O,O
JTILSZO,O,O,O,O,O,X
JTILSOZ,X,X,X,O,O,X
JTILZSO,O,O,O,O,O,O
JTILZOS,O,O,O,X,O,X
JTILOSZ,O,X,X,O,O,X
JTILOZS,O,X,X,X,O,X
JTISLZO,O,O,O,O,O,O
JTISLOZ,X,X,X,O,O,O
JTISZLO,O,O,O,X,O,O
JTISZOL,O,O,O,X,O,O
JTISOLZ,O,X,O,X,O,X
JTISOZL,O,O,O,X,O,O
JTIZLSO,O,O,O,O,O,O
JTIZLOS,O,O,O,X,O,X
JTIZSLO,O,O,O,X,O,O
JTIZSOL,O,O,O,X,O,O
JTIZOLS,O,O,O,X,O,X
JTIZOSL,O,O,O,X,O,O
JTIOLSZ,O,X,O,O,O,X
JTIOLZS,O,X,X,X,O,X
JTIOSLZ,O,X,O,X,O,X
JTIOSZL,O,O,O,X,O,X
JTIOZLS,O,O,O,X,O,X
JTIOZSL,O,O,O,X,O,O
JTLISZO,O,O,O,O,O,X
JTLISOZ,X,X,X,O,O,X
JTLIZSO,O,O,O,O,O,O
JTLIZOS,O,O,O,X,O,X
JTLIOSZ,O,X,X,O,O,X
JTLIOZS,O,X,X,X,O,X
JTLSIZO,O,O,O,O,O,O
JTLSIOZ,X,X,X,O,O,O
JTLSZIO,O,O,O,O,O,O
JTLSZOI,O,O,O,O,O,O
JTLSOIZ,X,X,X,O,O,O
JTLSOZI,X,X,O,O,O,O
JTLZISO,O,O,O,O,O,O
JTLZIOS,O,O,O,X,O,X
JTLZSIO,O,O,O,O,O,O
JTLZSOI,O,O,O,O,O,O
JTLZOIS,O,O,O,X,O,X
JTLZOSI,O,O,O,X,O,X
JTLOISZ,O,X,X,O,O,X
JTLOIZS,O,X,X,O,O,X
JTLOSIZ,O,X,X,O,O,X
JTLOSZI,O,X,O,O,O,X
JTLOZIS,O,X,O,O,O,X
JTLOZSI,O,X,O,O,O,X
JTSILZO,O,O,O,O,O,O
JTSILOZ,X,X,X,O,O,O
JTSIZLO,O,O,O,X,O,O
JTSIZOL,O,O,O,X,O,O
JTSIOLZ,O,X,O,X,O,X
JTSIOZL,O,O,O,X,O,O
JTSLIZO,O,O,O,O,O,O
JTSLIOZ,X,X,X,O,O,O
JTSLZIO,O,O,O,O,O,O
JTSLZOI,O,O,O,O,O,O
JTSLOIZ,X,X,X,O,O,O
JTSLOZI,X,X,O,O,O,O
JTSZILO,O,O,O,X,O,O
JTSZIOL,O,O,O,X,O,O
JTSZLIO,O,O,O,O,O,O
JTSZLOI,O,O,O,O,O,O
JTSZOIL,O,O,O,X,O,O
JTSZOLI,O,O,O,O,O,O
JTSOILZ,O,X,O,X,O,O
JTSOIZL,O,O,O,X,O,O
JTSOLIZ,O,X,O,O,O,O
JTSOLZI,O,X,O,O,O,O
JTSOZIL,O,O,O,X,O,O
JTSOZLI,O,O,O,O,O,O
JTZILSO,O,O,O,O,O,O
JTZILOS,O,O,O,X,O,X
JTZISLO,O,O,O,X,O,O
JTZISOL,O,O,O,X,O,O
JTZIOLS,O,O,O,X,O,X
JTZIOSL,O,O,O,X,O,O
JTZLISO,O,O,O,O,O,O
JTZLIOS,O,O,O,X,O,X
JTZLSIO,O,O,O,O,O,O
JTZLSOI,O,O,O,O,O,O
JTZLOIS,O,O,O,X,O,X
JTZLOSI,O,O,O,X,O,X
JTZSILO,O,O,O,X,O,O
JTZSIOL,O,O,O,X,O,O
JTZSLIO,O,O,O,O,O,O
JTZSLOI,O,O,O,O,O,O
JTZSOIL,O,O,O,X,O,O
JTZSOLI,O,O,O,O,O,O
JTZOILS,O,O,O,X,O,X
JTZOISL,O,O,O,X,O,O
JTZOLIS,O,O,O,X,O,X
JTZOLSI,O,O,O,X,O,X
JTZOSIL,O,O,O,X,O,O
JTZOSLI,O,O,O,O,O,O
JTOILSZ,O,X,O,O,O,X
JTOILZS,O,X,O,O,O,O
JTOISLZ,O,X,O,O,O,O
JTOISZL,O,O,O,X,O,O
JTOIZLS,O,O,O,O,O,O
JTOIZSL,O,O,O,X,O,O
JTOLISZ,O,X,O,O,O,X
JTOLIZS,O,X,O,O,O,O
JTOLSIZ,O,X,O,O,O,O
JTOLSZI,O,X,O,O,O,O
JTOLZIS,O,X,O,O,O,O
JTOLZSI,O,X,O,O,O,O
JTOSILZ,O,X,O,O,O,O
JTOSIZL,O,O,O,X,O,O
JTOSLIZ,O,X,O,O,O,O
JTOSLZI,O,X,O,O,O,O
JTOSZIL,O,O,O,X,O,O
JTOSZLI,O,O,O,O,O,O
JTOZILS,O,O,O,O,O,O
JTOZISL,O,O,O,X,O,O
JTOZLIS,O,O,O,O,O,O
JTOZLSI,O,O,O,O,O,O
JTOZSIL,O,O,O,X,O,O
JTOZSLI,O,O,O,O,O,O
JITLSZO,O,O,O,O,X,X
JITLSOZ,X,X,X,O,X,X
JITLZSO,O,O,O,O,X,O
JITLZOS,O,O,O,X,X,X
JITLOSZ,O,X,X,O,X,X
JITLOZS,O,X,X,X,X,X
JITSLZO,O,O,O,O,X,O
JITSLOZ,X,X,X,O,X,O
JITSZLO,O,O,O,X,X,O
JITSZOL,O,O,O,X,X,O
JITSOLZ,O,X,O,X,X,X
JITSOZL,O,O,O,X,X,O
JITZLSO,O,O,O,O,X,O
JITZLOS,O,O,O,X,X,X
JITZSLO,O,O,O,X,X,O
JITZSOL,O,O,O,X,X,O
JITZOLS,O,O,O,X,X,X
JITZOSL,O,O,O,X,X,O
JITOLSZ,O,X,O,O,X,X
JITOLZS,O,X,X,X,X,X
JITOSLZ,O,X,O,X,X,X
JITOSZL,O,O,O,X,X,X
JITOZLS,O,O,O,X,X,X
JITOZSL,O,O,O,X,X,O
JILTSZO,O,O,X,O,X,X
JILTSOZ,X,X,X,O,X,X
JILTZSO,O,O,X,O,X,O
JILTZOS,O,O,X,X,X,X
JILTOSZ,O,X,X,O,X,X
JILTOZS,O,X,X,X,X,X
JILSTZO,O,O,X,O,X,X
JILSTOZ,X,X,X,O,X,X
JILSZTO,O,O,O,O,X,X
JILSZOT,O,O,O,O,X,X
JILSOTZ,X,X,O,O,X,X
JILSOZT,X,X,O,O,X,X
JILZTSO,O,O,O,O,X,O
JILZTOS,O,O,O,X,X,X
JILZSTO,O,O,O,O,X,X
JILZSOT,O,O,O,O,X,X
JILZOTS,O,O,O,X,X,X
JILZOST,O,O,O,X,X,X
JILOTSZ,O,X,O,O,X,X
JILOTZS,O,X,X,X,X,X
JILOSTZ,O,X,O,O,X,X
JILOSZT,O,X,O,O,X,X
JILOZTS,O,X,O,X,X,X
JILOZST,O,X,O,X,X,X
JISTLZO,O,O,O,O,X,O
JISTLOZ,X,X,X,O,X,O
JISTZLO,O,O,O,X,X,O
JISTZOL,O,O,O,X,X,O
JISTOLZ,O,X,O,X,X,X
JISTOZL,O,O,O,X,X,O
JISLTZO,O,O,X,O,X,O
JISLTOZ,X,X,X,O,X,O
JISLZTO,O,O,O,O,X,O
JISLZOT,O,O,O,O,X,O
JISLOTZ,X,X,O,O,X,O
JISLOZT,X,X,O,O,X,O
JISZTLO,O,O,O,X,X,O
JISZTOL,O,O,O,X,X,O
JISZLTO,O,O,O,X,X,O
JISZLOT,O,O,O,X,X,O
JISZOTL,O,O,O,X,X,O
JISZOLT,O,O,O,X,X,X
JISOTLZ,O,O,O,X,X,X
JISOTZL,O,O,O,X,X,O
JISOLTZ,O,O,O,X,X,X
JISOLZT,O,O,O,X,X,X
JISOZTL,O,O,O,X,X,O
JISOZLT,O,O,O,X,X,X
JIZTLSO,O,O,O,O,X,O
JIZTLOS,O,O,O,X,X,X
JIZTSLO,O,O,O,X,X,O
JIZTSOL,O,O,O,X,X,O
JIZTOLS,O,O,O,X,X,X
JIZTOSL,O,O,O,X,X,O
JIZLTSO,O,O,O,O,X,O
JIZLTOS,O,O,O,X,X,X
JIZLSTO,O,O,O,O,X,X
JIZLSOT,O,O,O,O,X,X
JIZLOTS,O,O,O,X,X,X
JIZLOST,O,O,O,X,X,X
JIZSTLO,O,O,O,X,X,O
JIZSTOL,O,O,O,X,X,O
JIZSLTO,O,O,O,X,X,O
JIZSLOT,O,O,O,X,X,O
JIZSOTL,O,O,O,X,X,O
JIZSOLT,O,O,O,X,X,X
JIZOTLS,O,O,O,X,X,X
JIZOTSL,O,O,O,X,X,O
JIZOLTS,O,O,O,X,X,X
JIZOLST,O,O,O,X,X,X
JIZOSTL,O,O,O,X,X,X
JIZOSLT,O,O,O,X,X,X
JIOTLSZ,O,O,O,O,X,X
JIOTLZS,O,O,O,X,X,X
JIOTSLZ,O,O,O,X,X,X
JIOTSZL,O,O,O,X,X,X
JIOTZLS,O,O,O,X,X,X
JIOTZSL,O,O,O,X,X,O
JIOLTSZ,O,O,O,O,X,X
JIOLTZS,O,O,O,X,X,X
JIOLSTZ,O,O,O,O,X,X
JIOLSZT,O,O,O,O,X,X
JIOLZTS,O,O,O,X,X,X
JIOLZST,O,O,O,X,X,X
JIOSTLZ,O,O,O,X,X,X
JIOSTZL,O,O,O,X,X,X
JIOSLTZ,O,O,O,X,X,X
JIOSLZT,O,O,O,X,X,X
JIOSZTL,O,O,O,X,X,X
JIOSZLT,O,O,O,X,X,X
JIOZTLS,O,O,O,X,X,X
JIOZTSL,O,O,O,X,X,O
JIOZLTS,O,O,O,X,X,X
JIOZLST,O,O,O,X,X,X
JIOZSTL,O,O,O,X,X,X
JIOZSLT,O,O,O,X,X,X
JLTISZO,O,O,O,O,X,X
JLTISOZ,X,X,X,O,X,X
JLTIZSO,O,O,O,O,X,O
JLTIZOS,O,O,O,X,X,X
JLTIOSZ,O,X,X,O,X,X
JLTIOZS,O,X,X,X,X,X
JLTSIZO,O,O,O,O,X,O
JLTSIOZ,X,X,X,O,X,O
JLTSZIO,O,O,O,O,X,O
JLTSZOI,O,O,O,O,X,O
JLTSOIZ,X,X,X,O,X,O
JLTSOZI,X,X,O,O,X,O
JLTZISO,O,O,O,O,X,O
JLTZIOS,O,O,O,X,X,X
JLTZSIO,O,O,O,O,X,O
JLTZSOI,O,O,O,O,X,O
JLTZOIS,O,O,O,X,X,X
JLTZOSI,O,O,O,X,X,X
JLTOISZ,O,X,X,O,X,X
JLTOIZS,O,X,X,O,X,X
JLTOSIZ,O,X,X,O,X,X
JLTOSZI,O,X,O,O,X,X
JLTOZIS,O,X,O,O,X,X
JLTOZSI,O,X,O,O,X,X
JLITSZO,O,O,X,O,X,X
JLITSOZ,X,X,X,O,X,X
JLITZSO,O,O,X,O,X,O
JLITZOS,O,O,X,X,X,X
JLITOSZ,O,X,X,O,X,X
JLITOZS,O,X,X,X,X,X
JLISTZO,O,O,X,O,X,X
JLISTOZ,X,X,X,O,X,X
JLISZTO,O,O,O,O,X,X
JLISZOT,O,O,O,O,X,X
JLISOTZ,X,X,O,O,X,X
JLISOZT,X,X,O,O,X,X
JLIZTSO,O,O,O,O,X,O
JLIZTOS,O,O,O,X,X,X
JLIZSTO,O,O,O,O,X,X
JLIZSOT,O,O,O,O,X,X
JLIZOTS,O,O,O,X,X,X
JLIZOST,O,O,O,X,X,X
JLIOTSZ,O,X,O,O,X,X
JLIOTZS,O,X,X,X,X,X
JLIOSTZ,O,X,O,O,X,X
JLIOSZT,O,X,O,O,X,X
JLIOZTS,O,X,O,X,X,X
JLIOZST,O,X,O,X,X,X
JLSTIZO,O,O,O,O,X,O
JLSTIOZ,X,X,X,O,X,O
JLSTZIO,O,O,O,O,X,O
JLSTZOI,O,O,O,O,X,O
JLSTOIZ,X,X,X,O,X,O
JLSTOZI,X,X,O,O,X,O
JLSITZO,O,O,X,O,X,O
JLSITOZ,X,X,X,O,X,O
JLSIZTO,O,O,O,O,X,O
JLSIZOT,O,O,O,O,X,O
JLSIOTZ,X,X,O,O,X,O
JLSIOZT,X,X,O,O,X,O
JLSZTIO,O,O,O,O,X,O
JLSZTOI,O,O,O,O,X,O
JLSZITO,O,O,O,O,X,O
JLSZIOT,O,O,O,O,X,O
JLSZOTI,O,O,O,O,X,O
JLSZOIT,O,O,O,O,X,O
JLSOTIZ,X,X,O,O,X,O
JLSOTZI,X,X,O,O,X,O
JLSOITZ,X,X,O,O,X,O
JLSOIZT,X,X,O,O,X,O
JLSOZTI,X,X,O,O,X,O
JLSOZIT,X,X,O,O,X,O
JLZTISO,O,O,O,O,X,O
JLZTIOS,O,O,O,X,X,X
JLZTSIO,O,O,O,O,X,O
JLZTSOI,O,O,O,O,X,O
JLZTOIS,O,O,O,X,X,X
JLZTOSI,O,O,O,X,X,X
JLZITSO,O,O,O,O,X,O
JLZITOS,O,O,O,X,X,X
JLZISTO,O,O,O,O,X,X
JLZISOT,O,O,O,O,X,X
JLZIOTS,O,O,O,X,X,X
JLZIOST,O,O,O,X,X,X
JLZSTIO,O,O,O,O,X,O
JLZSTOI,O,O,O,O,X,O
JLZSITO,O,O,O,O,X,O
JLZSIOT,O,O,O,O,X,O
JLZSOTI,O,O,O,O,X,O
JLZSOIT,O,O,O,O,X,O
JLZOTIS,O,O,O,X,X,X
JLZOTSI,O,O,O,X,X,X
JLZOITS,O,O,O,X,X,X
JLZOIST,O,O,O,X,X,X
JLZOSTI,O,O,O,X,X,X
JLZOSIT,O,O,O,X,X,X
JLOTISZ,O,X,O,O,X,X
JLOTIZS,O,X,O,O,X,X
JLOTSIZ,O,X,O,O,X,X
JLOTSZI,O,X,O,O,X,X
JLOTZIS,O,X,O,O,X,X
JLOTZSI,O,X,O,O,X,X
JLOITSZ,O,X,O,O,X,X
JLOITZS,O,X,O,O,X,X
JLOISTZ,O,X,O,O,X,X
JLOISZT,O,X,O,O,X,X
JLOIZTS,O,X,O,O,X,X
JLOIZST,O,X,O,O,X,X
JLOSTIZ,O,X,O,O,X,X
JLOSTZI,O,X,O,O,X,X
JLOSITZ,O,X,O,O,X,X
JLOSIZT,O,X,O,O,X,X
JLOSZTI,O,X,O,O,X,X
JLOSZIT,O,X,O,O,X,X
JLOZTIS,O,X,O,O,X,X
JLOZTSI,O,X,O,O,X,X
JLOZITS,O,X,O,O,X,X
JLOZIST,O,X,O,O,X,X
JLOZSTI,O,X,O,O,X,X
JLOZSIT,O,X,O,O,X,X
JSTILZO,O,O,O,O,O,O
JSTILOZ,X,X,X,O,O,O
JSTIZLO,O,O,O,X,O,O
JSTIZOL,O,O,O,X,O,O
JSTIOLZ,O,X,O,X,O,X
JSTIOZL,O,O,O,X,O,O
JSTLIZO,O,O,O,O,O,O
JSTLIOZ,X,X,X,O,O,O
JSTLZIO,O,O,O,O,O,O
JSTLZOI,O,O,O,O,O,O
JSTLOIZ,X,X,X,O,O,O
JSTLOZI,X,X,O,O,O,O
JSTZILO,O,O,O,X,O,O
JSTZIOL,O,O,O,X,O,O
JSTZLIO,O,O,O,O,O,O
JSTZLOI,O,O,O,O,O,O
JSTZOIL,O,O,O,X,O,O
JSTZOLI,O,O,O,O,O,O
JSTOILZ,O,X,O,X,O,O
JSTOIZL,O,O,O,X,O,O
JSTOLIZ,O,X,O,O,O,O
JSTOLZI,O,X,O,O,O,O
JSTOZIL,O,O,O,X,O,O
JSTOZLI,O,O,O,O,O,O
JSITLZO,O,O,O,O,O,O
JSITLOZ,X,X,X,O,O,O
JSITZLO,O,O,O,X,O,O
JSITZOL,O,O,O,X,O,O
JSITOLZ,O,X,O,X,O,X
JSITOZL,O,O,O,X,O,O
JSILTZO,O,O,X,O,X,O
JSILTOZ,X,X,X,O,X,O
JSILZTO,O,O,O,O,X,O
JSILZOT,O,O,O,O,X,O
JSILOTZ,X,X,O,O,X,O
JSILOZT,X,X,O,O,X,O
JSIZTLO,O,O,O,X,X,O
JSIZTOL,O,O,O,X,X,O
JSIZLTO,O,O,O,X,O,O
JSIZLOT,O,O,O,X,X,O
JSIZOTL,O,O,O,X,X,O
JSIZOLT,O,O,O,X,X,X
JSIOTLZ,O,O,O,X,O,X
JSIOTZL,O,O,O,X,O,O
JSIOLTZ,O,O,O,X,O,X
JSIOLZT,O,O,O,X,O,X
JSIOZTL,O,O,O,X,X,O
JSIOZLT,O,O,O,X,O,X
JSLTIZO,O,O,O,O,X,O
JSLTIOZ,X,X,X,O,X,O
JSLTZIO,O,O,O,O,X,O
JSLTZOI,O,O,O,O,X,O
JSLTOIZ,X,X,X,O,X,O
JSLTOZI,X,X,O,O,X,O
JSLITZO,O,O,X,O,X,O
JSLITOZ,X,X,X,O,X,O
JSLIZTO,O,O,O,O,X,O
JSLIZOT,O,O,O,O,X,O
JSLIOTZ,X,X,O,O,X,O
JSLIOZT,X,X,O,O,X,O
JSLZTIO,O,O,O,O,X,O
JSLZTOI,O,O,O,O,X,O
JSLZITO,O,O,O,O,X,O
JSLZIOT,O,O,O,O,X,O
JSLZOTI,O,O,O,O,X,O
JSLZOIT,O,O,O,O,X,O
JSLOTIZ,X,X,O,O,X,O
JSLOTZI,X,X,O,O,X,O
JSLOITZ,X,X,O,O,X,O
JSLOIZT,X,X,O,O,X,O
JSLOZTI,X,X,O,O,X,O
JSLOZIT,X,X,O,O,X,O
JSZTILO,O,O,O,X,O,O
JSZTIOL,O,O,O,X,O,O
JSZTLIO,O,O,O,O,O,O
JSZTLOI,O,O,O,O,O,O
JSZTOIL,O,O,O,X,O,O
JSZTOLI,O,O,O,O,O,O
JSZITLO,O,O,O,X,X,O
JSZITOL,O,O,O,X,X,O
JSZILTO,O,O,O,X,O,O
JSZILOT,O,O,O,X,X,O
JSZIOTL,O,O,O,X,X,O
JSZIOLT,O,O,O,X,X,X
JSZLTIO,O,O,O,O,O,O
JSZLTOI,O,O,O,O,O,O
JSZLITO,O,O,O,O,O,O
JSZLIOT,O,O,O,O,X,O
JSZLOTI,O,O,O,O,X,O
JSZLOIT,O,O,O,O,X,O
JSZOTIL,O,O,O,X,X,O
JSZOTLI,O,O,O,O,X,O
JSZOITL,O,O,O,X,X,O
JSZOILT,O,O,O,X,X,X
JSZOLTI,O,O,O,O,X,O
JSZOLIT,O,O,O,O,X,O
JSOTILZ,O,O,O,X,O,O
JSOTIZL,O,O,O,X,O,O
JSOTLIZ,O,O,O,O,O,O
JSOTLZI,O,O,O,O,O,O
JSOTZIL,O,O,O,X,O,O
JSOTZLI,O,O,O,O,O,O
JSOITLZ,O,O,O,X,O,O
JSOITZL,O,O,O,X,O,O
JSOILTZ,O,O,O,X,O,O
JSOILZT,O,O,O,X,O,O
JSOIZTL,O,O,O,X,X,O
JSOIZLT,O,O,O,X,O,O
JSOLTIZ,O,O,O,O,O,O
JSOLTZI,O,O,O,O,O,O
JSOLITZ,O,O,O,O,O,O
JSOLIZT,O,O,O,O,O,O
JSOLZTI,O,O,O,O,O,O
JSOLZIT,O,O,O,O,O,O
JSOZTIL,O,O,O,X,O,O
JSOZTLI,O,O,O,O,O,O
JSOZITL,O,O,O,X,X,O
JSOZILT,O,O,O,X,O,O
JSOZLTI,O,O,O,O,O,O
JSOZLIT,O,O,O,O,O,O
JZTILSO,O,O,O,O,O,O
JZTILOS,O,O,O,X,O,X
JZTISLO,O,O,O,X,O,O
JZTISOL,O,O,O,X,O,O
JZTIOLS,O,O,O,X,O,X
JZTIOSL,O,O,O,X,O,O
JZTLISO,O,O,O,O,O,O
JZTLIOS,O,O,O,X,O,X
JZTLSIO,O,O,O,O,O,O
JZTLSOI,O,O,O,O,O,O
JZTLOIS,O,O,O,X,O,X
JZTLOSI,O,O,O,X,O,X
JZTSILO,O,O,O,X,O,O
JZTSIOL,O,O,O,X,O,O
JZTSLIO,O,O,O,O,O,O
JZTSLOI,O,O,O,O,O,O
JZTSOIL,O,O,O,X,O,O
JZTSOLI,O,O,O,O,O,O
JZTOILS,O,O,O,X,O,X
JZTOISL,O,O,O,X,O,O
JZTOLIS,O,O,O,X,O,X
JZTOLSI,O,O,O,X,O,X
JZTOSIL,O,O,O,X,O,O
JZTOSLI,O,O,O,O,O,O
JZITLSO,O,O,O,O,X,O
JZITLOS,O,O,O,X,X,X
JZITSLO,O,O,O,X,X,O
JZITSOL,O,O,O,X,X,O
JZITOLS,O,O,O,X,X,X
JZITOSL,O,O,O,X,X,O
JZILTSO,O,O,O,O,X,O
JZILTOS,O,O,O,X,X,X
JZILSTO,O,O,O,O,X,X
JZILSOT,O,O,O,O,X,X
JZILOTS,O,O,O,X,X,X
JZILOST,O,O,O,X,X,X
JZISTLO,O,O,O,X,X,O
JZISTOL,O,O,O,X,X,O
JZISLTO,O,O,O,X,X,O
JZISLOT,O,O,O,X,X,O
JZISOTL,O,O,O,X,X,O
JZISOLT,O,O,O,X,X,X
JZIOTLS,O,O,O,X,X,X
JZIOTSL,O,O,O,X,X,O
JZIOLTS,O,O,O,X,X,X
JZIOLST,O,O,O,X,X,X
JZIOSTL,O,O,O,X,X,X
JZIOSLT,O,O,O,X,X,X
JZLTISO,O,O,O,O,O,O
JZLTIOS,O,O,O,X,O,X
JZLTSIO,O,O,O,O,O,O
JZLTSOI,O,O,O,O,O,O
JZLTOIS,O,O,O,X,O,X
JZLTOSI,O,O,O,X,O,X
JZLITSO,O,O,O,O,X,O
JZLITOS,O,O,O,X,X,X
JZLISTO,O,O,O,O,X,X
JZLISOT,O,O,O,O,X,X
JZLIOTS,O,O,O,X,X,X
JZLIOST,O,O,O,X,X,X
JZLSTIO,O,O,O,O,O,O
JZLSTOI,O,O,O,O,O,O
JZLSITO,O,O,O,O,O,O
JZLSIOT,O,O,O,O,X,O
JZLSOTI,O,O,O,O,X,O
JZLSOIT,O,O,O,O,X,O
JZLOTIS,O,O,O,X,X,X
