sequence,v115@GhA8HeB8FeG8EeB8Jex/IvhF0hBliBTkB/qBarBWxB,v115@GhA8HeB8FeG8EeB8JeKEJvhFzfBRhB3iBFmB0qBWxB,v115@GhA8HeB8FeG8EeB8JeOEJvhFxgBliBzkBqqB/rBUsB,v115@GhA8HeB8FeG8EeB8Jei/IvhF3gBRiB1pB8qB+rBTsB,v115@GhA8HeB8FeG8EeB8JeT/IvhFymBxpB0rB/qBusBFrB
TZJILSO,O,O,X,O,X
TZJILOS,O,O,X,O,X
TZJISLO,O,O,X,O,X
TZJISOL,O,O,X,O,X
TZJIOLS,O,O,X,O,X
TZJIOSL,O,O,X,O,X
TZJLISO,O,O,O,O,X
TZJLIOS,O,O,O,O,X
TZJLSIO,O,O,O,O,X
TZJLSOI,O,O,X,O,X
TZJLOIS,O,O,X,O,X
TZJLOSI,O,O,X,O,X
TZJSILO,O,O,O,O,X
TZJSIOL,O,O,X,O,X
TZJSLIO,O,O,O,O,X
TZJSLOI,O,O,X,O,X
TZJSOIL,O,O,X,O,X
TZJSOLI,O,O,X,O,X
TZJOILS,O,O,O,O,X
TZJOISL,O,O,X,O,X
TZJOLIS,O,O,O,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,O,O,X,O,X
TZJOSLI,O,O,X,O,X
TZSILJO,O,O,O,O,X
TZSILOJ,O,O,O,O,X
TZSIJLO,O,O,O,O,X
TZSIJOL,O,X,X,O,X
TZSIOLJ,O,O,X,O,X
TZSIOJL,O,X,X,X,X
TZSLIJO,O,O,O,O,X
TZSLIOJ,O,O,O,O,X
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,X,O,X
TZSLOIJ,O,O,O,O,X
TZSLOJI,O,O,O,O,X
TZSJILO,O,O,O,O,X
TZSJIOL,O,X,X,O,X
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,X,O,X
TZSJOIL,O,X,X,O,X
TZSJOLI,O,X,X,O,X
TZSOILJ,O,O,X,O,X
TZSOIJL,O,X,X,X,X
TZSOLIJ,O,O,X,O,X
TZSOLJI,O,O,X,O,X
TZSOJIL,O,X,X,O,X
TZSOJLI,O,X,X,O,X
TZOILJS,O,O,X,X,X
TZOILSJ,O,O,X,O,X
TZOIJLS,O,X,O,X,X
TZOIJSL,O,X,X,X,X
TZOISLJ,O,O,X,O,X
TZOISJL,O,X,X,X,X
TZOLIJS,O,O,O,X,X
TZOLISJ,O,O,X,O,X
TZOLJIS,O,O,O,O,X
TZOLJSI,O,O,O,O,X
TZOLSIJ,O,O,O,O,X
TZOLSJI,O,O,O,O,X
TZOJILS,O,X,O,O,X
TZOJISL,O,X,X,O,X
TZOJLIS,O,X,O,O,X
TZOJLSI,O,X,O,O,X
TZOJSIL,O,X,X,O,X
TZOJSLI,O,X,X,O,X
TZOSILJ,O,O,X,O,X
TZOSIJL,O,X,X,X,X
TZOSLIJ,O,O,X,O,X
TZOSLJI,O,O,X,O,X
TZOSJIL,O,X,X,O,X
TZOSJLI,O,X,X,O,X
TOILJSZ,O,X,O,X,X
TOILJZS,O,X,O,O,X
TOILSJZ,O,X,O,X,X
TOILSZJ,O,X,O,O,X
TOILZJS,O,X,O,X,X
TOILZSJ,O,X,X,O,X
TOIJLSZ,O,X,O,X,X
TOIJLZS,O,X,O,O,X
TOIJSLZ,O,X,O,X,X
TOIJSZL,O,X,X,X,X
TOIJZLS,O,X,O,O,X
TOIJZSL,O,X,X,O,X
TOISLJZ,O,X,X,X,X
TOISLZJ,O,X,X,O,X
TOISJLZ,O,X,O,X,X
TOISJZL,O,X,X,X,X
TOISZLJ,O,X,X,X,X
TOISZJL,O,X,X,X,X
TOIZLJS,O,X,X,X,X
TOIZLSJ,O,X,X,O,X
TOIZJLS,O,X,O,X,X
TOIZJSL,O,X,X,X,X
TOIZSLJ,O,X,X,O,X
TOIZSJL,O,X,X,X,X
TOLIJSZ,O,X,O,X,X
TOLIJZS,O,X,O,O,X
TOLISJZ,O,X,O,X,X
TOLISZJ,O,X,O,O,X
TOLIZJS,O,X,O,X,X
TOLIZSJ,O,X,X,O,X
TOLJISZ,O,X,O,X,X
TOLJIZS,O,X,O,O,X
TOLJSIZ,O,X,O,X,X
TOLJSZI,O,X,O,X,X
TOLJZIS,O,X,O,O,X
TOLJZSI,O,X,O,O,X
TOLSIJZ,O,X,O,X,X
TOLSIZJ,O,X,O,O,X
TOLSJIZ,O,X,O,X,X
TOLSJZI,O,X,O,X,X
TOLSZIJ,O,X,O,O,X
TOLSZJI,O,X,O,O,X
TOLZIJS,O,X,O,X,X
TOLZISJ,O,X,X,O,X
TOLZJIS,O,X,O,O,X
TOLZJSI,O,X,O,O,X
TOLZSIJ,O,X,O,O,X
TOLZSJI,O,X,O,O,X
TOJILSZ,O,X,O,X,X
TOJILZS,O,X,O,O,X
TOJISLZ,O,X,O,X,X
TOJISZL,O,X,X,X,X
TOJIZLS,O,X,O,O,X
TOJIZSL,O,X,X,O,X
TOJLISZ,O,X,O,X,X
TOJLIZS,O,X,O,O,X
TOJLSIZ,O,X,O,X,X
TOJLSZI,O,X,O,X,X
TOJLZIS,O,X,O,O,X
TOJLZSI,O,X,O,O,X
TOJSILZ,O,X,O,X,X
TOJSIZL,O,X,X,X,X
TOJSLIZ,O,X,O,X,X
TOJSLZI,O,X,O,X,X
TOJSZIL,O,X,X,X,X
TOJSZLI,O,X,X,X,X
TOJZILS,O,X,O,O,X
TOJZISL,O,X,X,O,X
TOJZLIS,O,X,O,O,X
TOJZLSI,O,X,O,O,X
TOJZSIL,O,X,X,O,X
TOJZSLI,O,X,X,O,X
TOSILJZ,O,X,O,X,X
TOSILZJ,O,X,O,O,X
TOSIJLZ,O,X,O,X,X
TOSIJZL,O,X,X,X,X
TOSIZLJ,O,X,X,X,X
TOSIZJL,O,X,X,X,X
TOSLIJZ,O,X,O,X,X
TOSLIZJ,O,X,O,O,X
TOSLJIZ,O,X,O,X,X
TOSLJZI,O,X,O,X,X
TOSLZIJ,O,X,O,O,X
TOSLZJI,O,X,O,O,X
TOSJILZ,O,X,O,X,X
TOSJIZL,O,X,X,X,X
TOSJLIZ,O,X,O,X,X
TOSJLZI,O,X,O,X,X
TOSJZIL,O,X,X,X,X
TOSJZLI,O,X,X,X,X
TOSZILJ,O,X,X,O,X
TOSZIJL,O,X,X,X,X
TOSZLIJ,O,X,X,O,X
TOSZLJI,O,X,X,O,X
TOSZJIL,O,X,X,O,X
TOSZJLI,O,X,X,O,X
TOZILJS,O,X,X,X,X
