sequence,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BFhBaoB+qBcrBXsB,v115@DhA8BeA8FeB8AeA8AeB8FeA8AeA8EeC8JeZEJvhFzf?BGhBaoBUmB1vBXsB
IJOTZSL,X,X
IJOLTSZ,X,X
IJOLTZS,X,X
IJOLSTZ,X,X
IJOLSZT,O,X
IJOLZTS,O,X
IJOLZST,X,X
IJOSTLZ,X,X
IJOSTZL,X,X
IJOSLTZ,X,X
IJOSLZT,O,X
IJOSZTL,O,X
IJOSZLT,O,X
IJOZTLS,O,X
IJOZTSL,X,X
IJOZLTS,O,X
IJOZLST,X,X
IJOZSTL,X,X
IJOZSLT,X,X
ISTLJZO,X,X
ISTLJOZ,X,X
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,X,X
ISTLOZJ,X,X
ISTJLZO,X,X
ISTJLOZ,X,X
