sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
LZTSJOI,O,X,X,O,O,X
LZTSOIJ,O,X,O,O,O,X
LZTSOJI,O,X,X,O,O,X
LZTOIJS,O,X,X,O,X,O
LZTOISJ,O,X,X,O,X,O
LZTOJIS,O,X,X,O,X,O
LZTOJSI,X,X,X,O,X,X
LZTOSIJ,O,X,X,O,X,X
LZTOSJI,O,X,X,O,X,X
LZITJSO,X,X,X,O,O,O
LZITJOS,O,X,X,O,X,O
LZITSJO,O,X,O,O,O,O
LZITSOJ,O,X,O,O,O,O
LZITOJS,O,X,X,O,X,O
LZITOSJ,O,X,X,O,X,O
LZIJTSO,X,X,X,O,O,O
LZIJTOS,O,X,X,O,X,O
LZIJSTO,O,O,O,O,O,X
LZIJSOT,O,O,X,X,O,X
LZIJOTS,O,X,X,X,X,O
LZIJOST,O,O,X,X,O,X
LZISTJO,O,X,O,O,O,X
LZISTOJ,O,X,O,O,O,X
LZISJTO,O,O,O,O,O,X
LZISJOT,O,O,X,X,O,X
LZISOTJ,O,X,O,X,O,X
LZISOJT,O,O,O,X,O,X
LZIOTJS,O,X,X,X,X,O
LZIOTSJ,O,X,O,X,X,O
LZIOJTS,O,X,X,X,X,O
LZIOJST,O,O,O,X,O,X
LZIOSTJ,O,X,O,X,O,X
LZIOSJT,O,O,O,X,O,X
LZJTISO,X,X,X,O,O,O
LZJTIOS,O,X,X,O,X,O
LZJTSIO,X,X,X,O,O,X
LZJTSOI,X,X,X,O,O,X
LZJTOIS,O,X,X,O,X,O
LZJTOSI,X,X,X,O,X,X
LZJITSO,X,X,X,O,O,O
LZJITOS,O,X,X,O,X,O
LZJISTO,O,O,O,O,O,X
LZJISOT,O,O,X,X,O,X
LZJIOTS,O,X,X,X,X,O
LZJIOST,O,O,X,X,O,X
LZJSTIO,O,O,O,O,O,X
LZJSTOI,O,O,X,O,O,X
LZJSITO,O,O,O,O,O,X
LZJSIOT,O,O,X,X,O,X
LZJSOTI,O,O,X,X,O,X
LZJSOIT,O,O,X,X,O,X
LZJOTIS,O,X,X,X,X,O
LZJOTSI,X,X,X,X,X,X
LZJOITS,O,X,X,X,X,O
LZJOIST,O,O,X,X,O,X
LZJOSTI,O,O,X,X,O,X
LZJOSIT,O,O,X,X,O,X
LZSTIJO,O,X,O,O,O,X
LZSTIOJ,O,X,O,O,O,X
LZSTJIO,O,X,O,O,O,X
LZSTJOI,O,X,X,O,O,X
LZSTOIJ,O,X,O,O,O,X
LZSTOJI,O,X,X,O,O,X
LZSITJO,O,X,O,O,O,X
LZSITOJ,O,X,O,O,O,X
LZSIJTO,O,O,O,O,O,X
LZSIJOT,O,O,X,X,O,X
LZSIOTJ,O,X,O,X,O,X
LZSIOJT,O,O,O,X,O,X
LZSJTIO,O,O,O,O,O,X
LZSJTOI,O,O,X,O,O,X
LZSJITO,O,O,O,O,O,X
LZSJIOT,O,O,X,X,O,X
LZSJOTI,O,O,X,X,O,X
LZSJOIT,O,O,X,X,O,X
LZSOTIJ,O,X,O,X,O,X
LZSOTJI,O,X,O,X,O,X
LZSOITJ,O,X,O,X,O,X
LZSOIJT,O,O,O,X,O,X
LZSOJTI,O,O,O,X,O,X
LZSOJIT,O,O,O,X,O,X
LZOTIJS,O,X,X,X,X,O
LZOTISJ,O,X,O,X,X,O
LZOTJIS,O,X,X,X,X,O
LZOTJSI,X,X,X,X,X,X
LZOTSIJ,O,X,O,X,X,X
LZOTSJI,O,X,O,X,X,X
LZOITJS,O,X,X,X,X,O
LZOITSJ,O,X,O,X,X,O
LZOIJTS,O,X,X,X,X,O
LZOIJST,O,O,O,X,O,X
LZOISTJ,O,X,O,X,O,X
LZOISJT,O,O,O,X,O,X
LZOJTIS,O,X,X,X,X,O
LZOJTSI,X,X,X,X,X,X
LZOJITS,O,X,X,X,X,O
LZOJIST,O,O,O,X,O,X
LZOJSTI,O,O,O,X,O,X
LZOJSIT,O,O,O,X,O,X
LZOSTIJ,O,X,O,X,O,X
LZOSTJI,O,X,O,X,O,X
LZOSITJ,O,X,O,X,O,X
LZOSIJT,O,O,O,X,O,X
LZOSJTI,O,O,O,X,O,X
LZOSJIT,O,O,O,X,O,X
LOTIJSZ,X,X,X,X,X,O
LOTIJZS,X,X,X,X,X,O
LOTISJZ,X,X,O,X,X,O
LOTISZJ,X,X,O,X,X,O
LOTIZJS,O,X,X,X,X,O
LOTIZSJ,O,X,O,X,X,O
LOTJISZ,X,X,X,X,X,O
LOTJIZS,X,X,X,X,X,O
LOTJSIZ,X,X,X,X,X,O
LOTJSZI,X,X,X,X,X,X
LOTJZIS,X,X,X,X,X,O
LOTJZSI,X,X,X,X,X,X
LOTSIJZ,X,X,O,X,X,O
LOTSIZJ,X,X,O,X,X,O
LOTSJIZ,X,X,O,X,X,O
LOTSJZI,X,X,O,X,X,X
LOTSZIJ,X,X,O,X,X,X
LOTSZJI,X,X,O,X,X,X
LOTZIJS,O,X,X,X,X,O
LOTZISJ,O,X,O,X,X,O
LOTZJIS,O,X,X,X,X,O
LOTZJSI,X,X,X,X,X,X
LOTZSIJ,O,X,O,X,X,X
LOTZSJI,X,X,O,X,X,X
LOITJSZ,X,X,X,X,X,O
LOITJZS,X,X,X,X,X,O
LOITSJZ,X,X,O,X,X,O
LOITSZJ,X,X,O,X,X,O
LOITZJS,O,X,X,X,X,O
LOITZSJ,O,X,O,X,X,O
LOIJTSZ,X,X,X,X,X,O
LOIJTZS,X,X,X,X,X,O
LOIJSTZ,X,O,O,X,X,O
LOIJSZT,X,O,O,X,X,X
LOIJZTS,X,X,X,X,X,O
LOIJZST,X,O,O,X,X,X
LOISTJZ,X,O,O,X,X,O
LOISTZJ,X,X,O,X,O,O
LOISJTZ,X,O,O,X,X,O
LOISJZT,X,O,O,X,O,X
LOISZTJ,X,X,O,X,O,X
LOISZJT,X,O,O,X,O,X
LOIZTJS,O,X,X,X,X,O
LOIZTSJ,O,X,O,X,X,O
LOIZJTS,O,X,X,X,X,O
LOIZJST,O,O,O,X,O,X
LOIZSTJ,O,X,O,X,O,X
LOIZSJT,O,O,O,X,O,X
LOJTISZ,X,X,X,X,X,O
LOJTIZS,X,X,X,X,X,O
LOJTSIZ,X,X,X,X,X,O
LOJTSZI,X,X,X,X,X,X
LOJTZIS,X,X,X,X,X,O
LOJTZSI,X,X,X,X,X,X
LOJITSZ,X,X,X,X,X,O
LOJITZS,X,X,X,X,X,O
LOJISTZ,X,O,O,X,X,O
LOJISZT,X,O,O,X,X,X
LOJIZTS,X,X,X,X,X,O
LOJIZST,X,O,O,X,X,X
LOJSTIZ,X,O,O,X,X,O
LOJSTZI,X,O,O,X,X,X
LOJSITZ,X,O,O,X,X,O
LOJSIZT,X,O,O,X,X,X
LOJSZTI,X,O,O,X,X,X
LOJSZIT,X,O,O,X,X,X
LOJZTIS,X,X,X,X,X,O
LOJZTSI,X,X,X,X,X,X
LOJZITS,X,X,X,X,X,O
LOJZIST,X,O,O,X,X,X
LOJZSTI,X,O,O,X,X,X
LOJZSIT,X,O,O,X,X,X
LOSTIJZ,X,O,O,X,X,O
LOSTIZJ,X,X,O,X,O,O
LOSTJIZ,X,O,O,X,X,O
LOSTJZI,X,O,O,X,X,X
LOSTZIJ,X,X,O,X,O,X
LOSTZJI,X,X,O,X,O,X
LOSITJZ,X,O,O,X,X,O
LOSITZJ,X,X,O,X,O,O
LOSIJTZ,X,O,O,X,X,O
LOSIJZT,X,O,O,X,O,X
LOSIZTJ,X,X,O,X,O,X
LOSIZJT,X,O,O,X,O,X
LOSJTIZ,X,O,O,X,X,O
LOSJTZI,X,O,O,X,X,X
LOSJITZ,X,O,O,X,X,O
LOSJIZT,X,O,O,X,O,X
LOSJZTI,X,O,O,X,O,X
LOSJZIT,X,O,O,X,O,X
LOSZTIJ,X,X,O,X,O,X
LOSZTJI,X,X,O,X,O,X
LOSZITJ,X,X,O,X,O,X
LOSZIJT,X,O,O,X,O,X
LOSZJTI,X,O,O,X,O,X
LOSZJIT,X,O,O,X,O,X
LOZTIJS,O,X,X,X,X,O
LOZTISJ,O,X,O,X,X,O
LOZTJIS,O,X,X,X,X,O
LOZTJSI,X,X,X,X,X,X
LOZTSIJ,O,X,O,X,X,X
LOZTSJI,O,X,O,X,X,X
LOZITJS,O,X,X,X,X,O
LOZITSJ,O,X,O,X,X,O
LOZIJTS,O,X,X,X,X,O
LOZIJST,O,O,O,X,O,X
LOZISTJ,O,X,O,X,O,X
LOZISJT,O,O,O,X,O,X
LOZJTIS,O,X,X,X,X,O
LOZJTSI,X,X,X,X,X,X
LOZJITS,O,X,X,X,X,O
LOZJIST,O,O,O,X,O,X
LOZJSTI,O,O,O,X,O,X
LOZJSIT,O,O,O,X,O,X
LOZSTIJ,O,X,O,X,O,X
LOZSTJI,O,X,O,X,O,X
LOZSITJ,O,X,O,X,O,X
LOZSIJT,O,O,O,X,O,X
LOZSJTI,O,O,O,X,O,X
LOZSJIT,O,O,O,X,O,X
JTILSZO,X,X,X,X,X,O
JTILSOZ,X,X,X,X,X,O
JTILZSO,X,X,X,X,X,O
JTILZOS,X,X,X,X,X,O
JTILOSZ,X,X,X,X,X,O
JTILOZS,X,X,X,X,X,O
JTISLZO,O,O,X,X,X,O
JTISLOZ,X,O,X,X,X,O
JTISZLO,O,O,X,O,X,X
JTISZOL,O,O,X,O,X,X
JTISOLZ,X,O,X,X,X,O
JTISOZL,X,O,X,O,X,X
JTIZLSO,X,X,X,O,X,O
JTIZLOS,O,X,X,O,X,O
JTIZSLO,X,O,X,O,X,X
JTIZSOL,X,O,X,O,X,X
JTIZOLS,O,X,X,O,X,O
JTIZOSL,X,O,X,O,X,X
JTIOLSZ,X,X,X,X,X,O
JTIOLZS,X,X,X,X,X,O
JTIOSLZ,X,O,X,X,X,O
JTIOSZL,X,O,X,O,X,X
JTIOZLS,O,X,X,O,X,O
JTIOZSL,X,O,X,O,X,X
JTLISZO,X,X,X,X,X,O
JTLISOZ,X,X,X,X,X,O
JTLIZSO,X,X,X,X,X,O
JTLIZOS,X,X,X,X,X,O
JTLIOSZ,X,X,X,X,X,O
JTLIOZS,X,X,X,X,X,O
JTLSIZO,X,X,X,X,X,O
JTLSIOZ,X,X,X,X,X,O
JTLSZIO,X,X,X,X,X,X
JTLSZOI,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,O
JTLSOZI,X,X,X,X,X,X
JTLZISO,X,X,X,X,X,O
JTLZIOS,X,X,X,X,X,O
JTLZSIO,X,X,X,X,X,X
JTLZSOI,X,X,X,X,X,X
JTLZOIS,X,X,X,X,X,O
JTLZOSI,X,X,X,X,X,X
JTLOISZ,X,X,X,X,X,O
JTLOIZS,X,X,X,X,X,O
JTLOSIZ,X,X,X,X,X,O
JTLOSZI,X,X,X,X,X,X
JTLOZIS,X,X,X,X,X,O
JTLOZSI,X,X,X,X,X,X
JTSILZO,O,O,X,X,X,O
JTSILOZ,X,O,X,X,X,O
JTSIZLO,O,O,X,O,X,X
JTSIZOL,O,O,X,O,X,X
JTSIOLZ,X,O,X,X,X,O
JTSIOZL,X,O,X,O,X,X
JTSLIZO,O,O,X,X,X,O
JTSLIOZ,X,O,X,X,X,O
JTSLZIO,O,O,X,X,X,X
JTSLZOI,O,O,X,X,X,X
JTSLOIZ,X,O,X,X,X,O
JTSLOZI,X,O,X,X,X,X
JTSZILO,O,O,X,O,X,X
JTSZIOL,O,O,X,O,X,X
JTSZLIO,O,O,X,O,X,X
JTSZLOI,O,O,X,O,X,X
JTSZOIL,O,O,X,O,X,X
JTSZOLI,O,O,X,O,X,X
JTSOILZ,X,O,X,X,X,O
JTSOIZL,X,O,X,O,X,X
JTSOLIZ,X,O,X,X,X,O
JTSOLZI,X,O,X,X,X,X
JTSOZIL,X,O,X,O,X,X
JTSOZLI,X,O,X,O,X,X
JTZILSO,X,X,X,O,X,O
JTZILOS,O,X,X,O,X,O
JTZISLO,X,O,X,O,X,X
JTZISOL,X,O,X,O,X,X
JTZIOLS,O,X,X,O,X,O
JTZIOSL,X,O,X,O,X,X
JTZLISO,X,X,X,O,X,O
JTZLIOS,O,X,X,O,X,O
JTZLSIO,X,X,X,O,X,X
JTZLSOI,X,X,X,O,X,X
JTZLOIS,O,X,X,O,X,O
JTZLOSI,X,X,X,O,X,X
JTZSILO,X,O,X,O,X,X
JTZSIOL,X,O,X,O,X,X
JTZSLIO,X,O,X,O,X,X
JTZSLOI,X,O,X,O,X,X
JTZSOIL,X,O,X,O,X,X
JTZSOLI,X,O,X,O,X,X
JTZOILS,O,X,X,O,X,O
JTZOISL,X,O,X,O,X,X
JTZOLIS,O,X,X,O,X,O
JTZOLSI,X,X,X,O,X,X
JTZOSIL,X,O,X,O,X,X
JTZOSLI,X,O,X,O,X,X
JTOILSZ,X,X,X,X,X,O
JTOILZS,X,X,X,X,X,O
JTOISLZ,X,O,X,X,X,O
JTOISZL,X,O,X,O,X,X
JTOIZLS,O,X,X,O,X,O
JTOIZSL,X,O,X,O,X,X
JTOLISZ,X,X,X,X,X,O
JTOLIZS,X,X,X,X,X,O
JTOLSIZ,X,X,X,X,X,O
JTOLSZI,X,X,X,X,X,X
JTOLZIS,X,X,X,X,X,O
JTOLZSI,X,X,X,X,X,X
JTOSILZ,X,O,X,X,X,O
JTOSIZL,X,O,X,O,X,X
JTOSLIZ,X,O,X,X,X,O
JTOSLZI,X,O,X,X,X,X
JTOSZIL,X,O,X,O,X,X
JTOSZLI,X,O,X,O,X,X
JTOZILS,O,X,X,O,X,O
JTOZISL,X,O,X,O,X,X
JTOZLIS,O,X,X,O,X,O
JTOZLSI,X,X,X,O,X,X
JTOZSIL,X,O,X,O,X,X
JTOZSLI,X,O,X,O,X,X
JITLSZO,X,X,X,X,X,O
JITLSOZ,X,X,X,X,X,O
JITLZSO,X,X,X,X,X,O
JITLZOS,X,X,X,X,X,O
JITLOSZ,X,X,X,X,X,O
JITLOZS,X,X,X,X,X,O
JITSLZO,O,O,X,X,X,O
JITSLOZ,X,O,X,X,X,O
JITSZLO,O,O,X,O,X,X
JITSZOL,O,O,X,O,X,X
JITSOLZ,X,O,X,X,X,O
JITSOZL,X,O,X,O,X,X
JITZLSO,X,X,X,O,X,O
JITZLOS,O,X,X,O,X,O
JITZSLO,X,O,X,O,X,X
JITZSOL,X,O,X,O,X,X
JITZOLS,O,X,X,O,X,O
JITZOSL,X,O,X,O,X,X
JITOLSZ,X,X,X,X,X,O
JITOLZS,X,X,X,X,X,O
JITOSLZ,X,O,X,X,X,O
JITOSZL,X,O,X,O,X,X
JITOZLS,O,X,X,O,X,O
JITOZSL,X,O,X,O,X,X
JILTSZO,X,X,X,X,X,O
JILTSOZ,X,X,X,X,X,O
JILTZSO,X,X,X,X,X,O
JILTZOS,X,X,X,X,X,O
JILTOSZ,X,X,X,X,X,O
JILTOZS,X,X,X,X,X,O
JILSTZO,X,O,O,X,X,O
JILSTOZ,X,O,X,X,X,O
JILSZTO,X,O,O,X,O,X
JILSZOT,X,O,X,X,O,X
JILSOTZ,X,O,O,X,X,O
JILSOZT,X,O,O,X,O,X
JILZTSO,X,X,X,X,O,O
JILZTOS,X,X,X,X,X,O
JILZSTO,X,O,O,X,O,X
JILZSOT,X,O,X,X,O,X
JILZOTS,X,X,X,X,X,O
JILZOST,X,O,X,X,O,X
JILOTSZ,X,X,X,X,X,O
JILOTZS,X,X,X,X,X,O
JILOSTZ,X,O,O,X,X,O
JILOSZT,X,O,O,X,X,X
JILOZTS,X,X,X,X,X,O
JILOZST,X,O,O,X,X,X
JISTLZO,O,O,O,X,X,O
JISTLOZ,X,O,X,X,X,O
JISTZLO,O,O,O,O,X,X
JISTZOL,O,O,X,O,X,X
JISTOLZ,X,O,X,X,X,O
JISTOZL,X,O,X,O,X,X
JISLTZO,O,O,O,X,X,O
JISLTOZ,X,O,X,X,X,O
JISLZTO,O,O,O,X,O,X
JISLZOT,O,O,X,X,O,X
JISLOTZ,X,O,O,X,X,O
JISLOZT,X,O,O,X,O,X
JISZTLO,O,O,O,O,O,X
JISZTOL,O,O,X,O,O,X
JISZLTO,O,O,O,O,O,X
JISZLOT,O,O,X,X,O,X
JISZOTL,O,O,X,O,O,X
JISZOLT,O,O,X,X,O,X
JISOTLZ,X,O,O,X,X,O
JISOTZL,X,O,O,X,X,X
JISOLTZ,X,O,O,X,X,O
JISOLZT,X,O,O,X,O,X
JISOZTL,X,O,O,X,O,X
JISOZLT,X,O,O,X,O,X
JIZTLSO,X,X,X,O,O,O
JIZTLOS,O,X,X,O,X,O
JIZTSLO,X,O,X,O,X,X
JIZTSOL,X,O,X,O,X,X
JIZTOLS,O,X,X,O,X,O
JIZTOSL,X,O,X,O,X,X
JIZLTSO,X,X,X,O,O,O
JIZLTOS,O,X,X,O,X,O
JIZLSTO,O,O,O,O,O,X
JIZLSOT,O,O,X,X,O,X
JIZLOTS,O,X,X,X,X,O
JIZLOST,O,O,X,X,O,X
JIZSTLO,O,O,O,O,O,X
JIZSTOL,O,O,X,O,O,X
JIZSLTO,O,O,O,O,O,X
JIZSLOT,O,O,X,X,O,X
JIZSOTL,O,O,X,O,O,X
JIZSOLT,O,O,X,X,O,X
JIZOTLS,O,X,X,O,X,O
JIZOTSL,X,O,X,O,X,X
JIZOLTS,O,X,X,X,X,O
JIZOLST,O,O,X,X,O,X
JIZOSTL,O,O,X,O,X,X
JIZOSLT,O,O,X,X,X,X
JIOTLSZ,X,X,X,X,X,O
JIOTLZS,X,X,X,X,X,O
JIOTSLZ,X,O,X,X,X,O
JIOTSZL,X,O,X,X,X,X
JIOTZLS,O,X,X,X,X,O
JIOTZSL,X,O,X,X,X,X
JIOLTSZ,X,X,X,X,X,O
JIOLTZS,X,X,X,X,X,O
JIOLSTZ,X,O,O,X,X,O
JIOLSZT,X,O,O,X,X,X
JIOLZTS,X,X,X,X,X,O
JIOLZST,X,O,O,X,X,X
JIOSTLZ,X,O,O,X,X,O
JIOSTZL,X,O,O,X,X,X
JIOSLTZ,X,O,O,X,X,O
JIOSLZT,X,O,O,X,X,X
JIOSZTL,X,O,O,X,X,X
JIOSZLT,X,O,O,X,X,X
JIOZTLS,O,X,X,X,X,O
JIOZTSL,X,O,X,X,X,X
JIOZLTS,O,X,X,X,X,O
JIOZLST,O,O,O,X,X,X
JIOZSTL,O,O,O,X,X,X
JIOZSLT,O,O,O,X,X,X
JLTISZO,X,X,X,X,X,O
JLTISOZ,X,X,X,X,X,O
JLTIZSO,X,X,X,X,X,O
JLTIZOS,X,X,X,X,X,O
JLTIOSZ,X,X,X,X,X,O
JLTIOZS,X,X,X,X,X,O
JLTSIZO,X,X,X,X,X,O
JLTSIOZ,X,X,X,X,X,O
JLTSZIO,X,X,X,X,X,X
JLTSZOI,X,X,X,X,X,X
JLTSOIZ,X,X,X,X,X,O
JLTSOZI,X,X,X,X,X,X
JLTZISO,X,X,X,X,X,O
JLTZIOS,X,X,X,X,X,O
JLTZSIO,X,X,X,X,X,X
JLTZSOI,X,X,X,X,X,X
JLTZOIS,X,X,X,X,X,O
JLTZOSI,X,X,X,X,X,X
JLTOISZ,X,X,X,X,X,O
JLTOIZS,X,X,X,X,X,O
JLTOSIZ,X,X,X,X,X,O
JLTOSZI,X,X,X,X,X,X
JLTOZIS,X,X,X,X,X,O
JLTOZSI,X,X,X,X,X,X
JLITSZO,X,X,X,X,X,O
JLITSOZ,X,X,X,X,X,O
JLITZSO,X,X,X,X,X,O
JLITZOS,X,X,X,X,X,O
JLITOSZ,X,X,X,X,X,O
JLITOZS,X,X,X,X,X,O
JLISTZO,X,O,O,X,X,O
JLISTOZ,X,O,X,X,X,O
JLISZTO,X,O,O,X,O,X
JLISZOT,X,O,X,X,O,X
JLISOTZ,X,O,O,X,X,O
JLISOZT,X,O,O,X,O,X
JLIZTSO,X,X,X,X,O,O
JLIZTOS,X,X,X,X,X,O
JLIZSTO,X,O,O,X,O,X
JLIZSOT,X,O,X,X,O,X
JLIZOTS,X,X,X,X,X,O
JLIZOST,X,O,X,X,O,X
JLIOTSZ,X,X,X,X,X,O
JLIOTZS,X,X,X,X,X,O
JLIOSTZ,X,O,O,X,X,O
JLIOSZT,X,O,O,X,X,X
JLIOZTS,X,X,X,X,X,O
JLIOZST,X,O,O,X,X,X
JLSTIZO,X,O,O,X,X,O
JLSTIOZ,X,O,X,X,X,O
JLSTZIO,X,O,O,X,X,X
JLSTZOI,X,O,X,X,X,X
JLSTOIZ,X,O,X,X,X,O
JLSTOZI,X,O,X,X,X,X
JLSITZO,X,O,O,X,X,O
JLSITOZ,X,O,X,X,X,O
JLSIZTO,X,O,O,X,O,X
JLSIZOT,X,O,X,X,O,X
JLSIOTZ,X,O,O,X,X,O
JLSIOZT,X,O,O,X,O,X
JLSZTIO,X,O,O,X,O,X
JLSZTOI,X,O,X,X,O,X
JLSZITO,X,O,O,X,O,X
JLSZIOT,X,O,X,X,O,X
JLSZOTI,X,O,X,X,O,X
JLSZOIT,X,O,X,X,O,X
JLSOTIZ,X,O,O,X,X,O
JLSOTZI,X,O,O,X,X,X
JLSOITZ,X,O,O,X,X,O
JLSOIZT,X,O,O,X,O,X
JLSOZTI,X,O,O,X,O,X
JLSOZIT,X,O,O,X,O,X
JLZTISO,X,X,X,X,O,O
JLZTIOS,X,X,X,X,X,O
JLZTSIO,X,X,X,X,O,X
JLZTSOI,X,X,X,X,O,X
JLZTOIS,X,X,X,X,X,O
JLZTOSI,X,X,X,X,X,X
JLZITSO,X,X,X,X,O,O
JLZITOS,X,X,X,X,X,O
JLZISTO,X,O,O,X,O,X
JLZISOT,X,O,X,X,O,X
JLZIOTS,X,X,X,X,X,O
JLZIOST,X,O,X,X,O,X
JLZSTIO,X,O,O,X,O,X
JLZSTOI,X,O,X,X,O,X
JLZSITO,X,O,O,X,O,X
JLZSIOT,X,O,X,X,O,X
JLZSOTI,X,O,X,X,O,X
JLZSOIT,X,O,X,X,O,X
JLZOTIS,X,X,X,X,X,O
JLZOTSI,X,X,X,X,X,X
JLZOITS,X,X,X,X,X,O
JLZOIST,X,O,X,X,O,X
JLZOSTI,X,O,X,X,O,X
JLZOSIT,X,O,X,X,O,X
JLOTISZ,X,X,X,X,X,O
JLOTIZS,X,X,X,X,X,O
JLOTSIZ,X,X,X,X,X,O
JLOTSZI,X,X,X,X,X,X
JLOTZIS,X,X,X,X,X,O
JLOTZSI,X,X,X,X,X,X
JLOITSZ,X,X,X,X,X,O
JLOITZS,X,X,X,X,X,O
JLOISTZ,X,O,O,X,X,O
JLOISZT,X,O,O,X,X,X
JLOIZTS,X,X,X,X,X,O
JLOIZST,X,O,O,X,X,X
JLOSTIZ,X,O,O,X,X,O
JLOSTZI,X,O,O,X,X,X
JLOSITZ,X,O,O,X,X,O
JLOSIZT,X,O,O,X,X,X
JLOSZTI,X,O,O,X,X,X
JLOSZIT,X,O,O,X,X,X
JLOZTIS,X,X,X,X,X,O
JLOZTSI,X,X,X,X,X,X
JLOZITS,X,X,X,X,X,O
JLOZIST,X,O,O,X,X,X
JLOZSTI,X,O,O,X,X,X
JLOZSIT,X,O,O,X,X,X
JSTILZO,O,O,O,X,X,O
JSTILOZ,X,O,X,X,X,O
JSTIZLO,O,O,O,O,X,X
JSTIZOL,O,O,X,O,X,X
JSTIOLZ,X,O,X,X,X,O
JSTIOZL,X,O,X,O,X,X
JSTLIZO,O,O,O,X,X,O
JSTLIOZ,X,O,X,X,X,O
JSTLZIO,O,O,O,X,X,X
JSTLZOI,O,O,X,X,X,X
JSTLOIZ,X,O,X,X,X,O
JSTLOZI,X,O,X,X,X,X
JSTZILO,O,O,O,O,X,X
JSTZIOL,O,O,X,O,X,X
JSTZLIO,O,O,O,O,X,X
JSTZLOI,O,O,X,O,X,X
JSTZOIL,O,O,X,O,X,X
JSTZOLI,O,O,X,O,X,X
JSTOILZ,X,O,X,X,X,O
JSTOIZL,X,O,X,O,X,X
JSTOLIZ,X,O,X,X,X,O
JSTOLZI,X,O,X,X,X,X
JSTOZIL,X,O,X,O,X,X
JSTOZLI,X,O,X,O,X,X
JSITLZO,O,O,O,X,X,O
JSITLOZ,X,O,X,X,X,O
JSITZLO,O,O,O,O,X,X
JSITZOL,O,O,X,O,X,X
JSITOLZ,X,O,X,X,X,O
JSITOZL,X,O,X,O,X,X
JSILTZO,O,O,O,X,X,O
JSILTOZ,X,O,X,X,X,O
JSILZTO,O,O,O,X,O,X
JSILZOT,O,O,X,X,O,X
JSILOTZ,X,O,O,X,X,O
JSILOZT,X,O,O,X,O,X
JSIZTLO,O,O,O,O,O,X
JSIZTOL,O,O,X,O,O,X
JSIZLTO,O,O,O,O,O,X
JSIZLOT,O,O,X,X,O,X
JSIZOTL,O,O,X,O,O,X
JSIZOLT,O,O,X,X,O,X
JSIOTLZ,X,O,O,X,X,O
JSIOTZL,X,O,O,X,X,X
JSIOLTZ,X,O,O,X,X,O
JSIOLZT,X,O,O,X,O,X
JSIOZTL,X,O,O,X,O,X
JSIOZLT,X,O,O,X,O,X
JSLTIZO,O,O,O,X,X,O
JSLTIOZ,X,O,X,X,X,O
JSLTZIO,O,O,O,X,X,X
JSLTZOI,O,O,X,X,X,X
JSLTOIZ,X,O,X,X,X,O
JSLTOZI,X,O,X,X,X,X
JSLITZO,O,O,O,X,X,O
JSLITOZ,X,O,X,X,X,O
JSLIZTO,O,O,O,X,O,X
JSLIZOT,O,O,X,X,O,X
JSLIOTZ,X,O,O,X,X,O
JSLIOZT,X,O,O,X,O,X
JSLZTIO,O,O,O,X,O,X
JSLZTOI,O,O,X,X,O,X
JSLZITO,O,O,O,X,O,X
JSLZIOT,O,O,X,X,O,X
JSLZOTI,O,O,X,X,O,X
JSLZOIT,O,O,X,X,O,X
JSLOTIZ,X,O,O,X,X,O
JSLOTZI,X,O,O,X,X,X
JSLOITZ,X,O,O,X,X,O
JSLOIZT,X,O,O,X,O,X
JSLOZTI,X,O,O,X,O,X
JSLOZIT,X,O,O,X,O,X
JSZTILO,O,O,O,O,O,X
JSZTIOL,O,O,X,O,O,X
JSZTLIO,O,O,O,O,O,X
JSZTLOI,O,O,X,O,O,X
JSZTOIL,O,O,X,O,O,X
JSZTOLI,O,O,X,O,O,X
JSZITLO,O,O,O,O,O,X
JSZITOL,O,O,X,O,O,X
JSZILTO,O,O,O,O,O,X
JSZILOT,O,O,X,X,O,X
JSZIOTL,O,O,X,O,O,X
JSZIOLT,O,O,X,X,O,X
JSZLTIO,O,O,O,O,O,X
JSZLTOI,O,O,X,O,O,X
JSZLITO,O,O,O,O,O,X
JSZLIOT,O,O,X,X,O,X
JSZLOTI,O,O,X,X,O,X
JSZLOIT,O,O,X,X,O,X
JSZOTIL,O,O,X,O,O,X
JSZOTLI,O,O,X,O,O,X
JSZOITL,O,O,X,O,O,X
JSZOILT,O,O,X,X,O,X
JSZOLTI,O,O,X,X,O,X
JSZOLIT,O,O,X,X,O,X
JSOTILZ,X,O,O,X,X,O
JSOTIZL,X,O,O,X,X,X
JSOTLIZ,X,O,O,X,X,O
JSOTLZI,X,O,O,X,X,X
JSOTZIL,X,O,O,X,X,X
JSOTZLI,X,O,O,X,X,X
JSOITLZ,X,O,O,X,X,O
