sequence,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFCiBTjBllB0?nBmlB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBamBTjB+?rB0sBFsB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBFhBSoBU?nBmnBTrB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhF/lBzhBunBc?oBlrBarB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFmgBzhB0lBC?oBFoB3rB,v115@+gA8IeA8IeB8FeA8AeC8BeD8JeZEJvhFTgBUiBGjBy?sBFrB/rB
TZISJLO,O,O,O,O,O,X
TZISJOL,O,O,X,O,O,X
TZISOLJ,O,X,O,O,O,X
TZISOJL,O,O,X,O,O,X
TZIOLJS,O,X,X,O,X,O
TZIOLSJ,O,X,X,O,X,O
TZIOJLS,O,X,X,O,X,O
TZIOJSL,X,O,X,O,X,X
TZIOSLJ,O,X,X,O,X,X
TZIOSJL,O,O,X,O,X,X
TZLIJSO,X,X,X,O,O,O
TZLIJOS,O,X,X,O,X,O
TZLISJO,O,X,O,O,O,O
TZLISOJ,O,X,O,O,O,O
TZLIOJS,O,X,X,O,X,O
TZLIOSJ,O,X,X,O,X,O
TZLJISO,X,X,X,O,O,O
TZLJIOS,O,X,X,O,X,O
TZLJSIO,X,X,X,O,O,X
TZLJSOI,X,X,X,O,O,X
TZLJOIS,O,X,X,O,X,O
TZLJOSI,X,X,X,O,X,X
TZLSIJO,O,X,O,O,O,X
TZLSIOJ,O,X,O,O,O,X
TZLSJIO,O,X,O,O,O,X
TZLSJOI,O,X,X,O,O,X
TZLSOIJ,O,X,O,O,O,X
TZLSOJI,O,X,X,O,O,X
TZLOIJS,O,X,X,O,X,O
TZLOISJ,O,X,X,O,X,O
TZLOJIS,O,X,X,O,X,O
TZLOJSI,X,X,X,O,X,X
TZLOSIJ,O,X,X,O,X,X
TZLOSJI,O,X,X,O,X,X
TZJILSO,X,X,X,O,O,O
TZJILOS,O,X,X,O,X,O
TZJISLO,X,O,X,O,X,X
TZJISOL,X,O,X,O,X,X
TZJIOLS,O,X,X,O,X,O
TZJIOSL,X,O,X,O,X,X
TZJLISO,X,X,X,O,O,O
