sequence,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBUiBzlB6tB3sBFtB,v115@MhA8DeC8BeB8CeF8Ne2EJvhFRgBFiB6oBzlBUtB3sB,v115@MhA8DeC8BeB8CeF8NeT/IvhFmgBFiBXjB0lBStBxxB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBFjBRlB+tBzlB3sB,v115@MhA8DeC8BeB8CeF8Nei/IvhFUiBGjBRlB/tBzlB1xB,v115@MhA8DeC8BeB8CeF8NeT/IvhFylBFiBGoB0lBXoBxxB
TZLIOSJ,X,O,O,X,O,X
TZLJISO,X,O,O,O,O,X
TZLJIOS,X,O,O,O,X,X
TZLJSIO,X,O,X,O,O,X
TZLJSOI,X,O,X,X,O,X
TZLJOIS,O,O,O,O,X,X
TZLJOSI,O,O,X,X,X,X
TZLSIJO,X,X,X,X,O,X
TZLSIOJ,X,X,X,X,O,X
TZLSJIO,X,O,X,X,O,X
TZLSJOI,X,O,X,X,O,X
TZLSOIJ,X,O,X,X,O,X
TZLSOJI,X,O,X,X,O,X
TZLOIJS,O,O,O,X,X,O
TZLOISJ,X,O,O,X,O,X
TZLOJIS,O,O,O,X,X,X
TZLOJSI,O,O,X,X,X,X
TZLOSIJ,X,O,X,X,O,X
TZLOSJI,X,O,X,X,O,X
TZJILSO,X,O,O,O,O,X
TZJILOS,X,O,O,O,X,X
TZJISLO,X,O,O,O,O,X
TZJISOL,X,X,O,X,O,X
TZJIOLS,X,O,O,O,X,X
TZJIOSL,X,O,O,X,X,X
TZJLISO,X,O,O,O,O,X
TZJLIOS,X,O,O,O,X,X
TZJLSIO,X,O,X,O,O,X
TZJLSOI,X,O,X,X,O,X
TZJLOIS,O,O,O,O,X,X
TZJLOSI,O,O,X,X,X,X
TZJSILO,X,O,O,O,O,X
TZJSIOL,X,X,O,X,O,X
TZJSLIO,X,O,X,O,O,X
TZJSLOI,O,O,X,X,O,X
TZJSOIL,O,O,O,X,O,X
TZJSOLI,O,O,X,X,O,X
TZJOILS,O,O,O,O,X,X
TZJOISL,O,O,O,X,X,X
TZJOLIS,O,O,O,O,X,X
TZJOLSI,O,O,X,X,X,X
TZJOSIL,O,O,O,X,X,X
TZJOSLI,O,O,X,X,X,X
TZSILJO,X,X,O,X,O,X
TZSILOJ,X,X,O,X,O,X
TZSIJLO,X,X,O,X,O,X
TZSIJOL,X,X,O,X,O,X
TZSIOLJ,X,X,O,X,O,X
TZSIOJL,X,X,O,X,O,X
TZSLIJO,X,X,X,X,O,X
TZSLIOJ,X,X,X,X,O,X
TZSLJIO,X,O,X,X,O,X
TZSLJOI,O,O,X,X,O,X
TZSLOIJ,O,O,X,X,O,X
TZSLOJI,O,O,X,X,O,X
TZSJILO,X,O,O,X,O,X
TZSJIOL,X,X,O,X,O,X
TZSJLIO,X,O,X,X,O,X
TZSJLOI,O,O,X,X,O,X
TZSJOIL,O,O,O,X,O,X
TZSJOLI,O,O,X,X,O,X
TZSOILJ,O,O,O,X,O,X
TZSOIJL,O,O,O,X,O,X
TZSOLIJ,O,O,X,X,O,X
TZSOLJI,O,O,X,X,O,X
TZSOJIL,O,O,O,X,O,X
TZSOJLI,O,O,X,X,O,X
TZOILJS,O,O,O,X,X,O
TZOILSJ,X,O,O,X,O,X
TZOIJLS,O,O,O,X,X,O
TZOIJSL,O,O,O,X,X,X
TZOISLJ,O,O,O,X,O,X
TZOISJL,O,O,O,X,O,X
TZOLIJS,O,O,O,X,X,O
TZOLISJ,X,O,O,X,O,X
TZOLJIS,O,O,O,X,X,X
TZOLJSI,O,O,X,X,X,X
TZOLSIJ,X,O,X,X,O,X
TZOLSJI,X,O,X,X,O,X
TZOJILS,O,O,O,X,X,X
TZOJISL,O,O,O,X,X,X
TZOJLIS,O,O,O,X,X,X
TZOJLSI,O,O,X,X,X,X
TZOJSIL,O,O,O,X,X,X
TZOJSLI,O,O,X,X,X,X
TZOSILJ,O,O,O,X,O,X
TZOSIJL,O,O,O,X,O,X
TZOSLIJ,O,O,X,X,O,X
TZOSLJI,O,O,X,X,O,X
TZOSJIL,O,O,O,X,O,X
TZOSJLI,O,O,X,X,O,X
TOILJSZ,O,X,O,X,X,O
TOILJZS,O,O,O,X,X,O
TOILSJZ,O,X,O,X,O,O
TOILSZJ,O,X,O,X,O,X
TOILZJS,O,O,O,X,X,O
TOILZSJ,X,O,O,X,O,X
TOIJLSZ,O,X,O,X,X,O
TOIJLZS,O,O,O,X,X,O
TOIJSLZ,O,X,X,X,X,O
TOIJSZL,O,O,X,X,X,X
TOIJZLS,O,O,O,X,X,O
TOIJZSL,O,O,O,X,X,X
TOISLJZ,O,X,O,X,O,O
TOISLZJ,O,X,O,X,O,X
