sequence,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhFXhBxiBCnBTqB2w?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBxiBqsBTqBmr?B3rB,v115@9gA8IeB8FeD8FeD8GeA8JeFAJvhF6mBxiBzlB2vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeGAJvhFThBxiBKqBFrBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeaFJvhFzgB+mBxiB1vBXs?B0sB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFRhBXmB6sB2vBzr?BFtB,v115@9gA8IeB8FeD8FeD8GeA8JeUAJvhFFhBTiBWsBiqBXt?BRwB,v115@9gA8IeB8FeD8FeD8GeA8JeRAJvhFOqBlmBcsBzqBCs?BXtB
LIOSTJZ,O,X,X,O,X,X,X,X
LIOSTZJ,O,X,X,O,X,X,X,X
LIOSJTZ,X,O,X,O,X,O,X,X
LIOSJZT,X,O,X,X,X,O,X,X
LIOSZTJ,X,O,X,X,X,X,X,X
LIOSZJT,X,O,X,X,X,X,X,X
LIOZTJS,O,O,X,X,X,X,O,X
LIOZTSJ,O,O,X,X,X,X,X,X
LIOZJTS,O,O,X,X,X,X,O,X
LIOZJST,O,O,X,X,X,O,O,X
LIOZSTJ,O,O,X,X,X,X,X,X
LIOZSJT,O,O,X,X,X,X,X,X
LJTISZO,O,X,O,O,O,X,O,X
LJTISOZ,O,X,O,O,O,X,O,X
LJTIZSO,O,X,X,X,X,X,O,X
LJTIZOS,X,X,X,O,O,X,O,X
LJTIOSZ,O,O,O,O,O,X,O,X
LJTIOZS,O,O,O,O,O,X,O,X
LJTSIZO,O,X,O,O,O,X,X,X
LJTSIOZ,O,X,O,O,O,X,X,X
LJTSZIO,O,X,O,O,O,X,X,X
LJTSZOI,O,X,X,O,O,O,X,X
LJTSOIZ,O,X,O,O,O,X,X,X
LJTSOZI,O,X,O,O,O,X,X,X
LJTZISO,O,X,X,X,X,X,O,X
LJTZIOS,X,X,X,O,O,X,O,X
LJTZSIO,O,X,X,O,O,X,X,X
LJTZSOI,O,X,X,O,O,O,X,X
LJTZOIS,X,X,X,O,O,X,X,X
LJTZOSI,X,X,X,O,O,X,X,X
LJTOISZ,O,O,O,O,O,X,X,X
LJTOIZS,O,O,O,O,O,X,X,X
LJTOSIZ,O,O,O,O,O,X,X,X
LJTOSZI,O,O,O,O,O,X,X,X
LJTOZIS,O,O,O,O,O,X,X,X
LJTOZSI,O,O,O,O,O,X,X,X
LJITSZO,O,X,O,O,O,X,O,X
LJITSOZ,O,X,O,O,O,X,O,X
LJITZSO,O,X,X,X,X,X,O,X
LJITZOS,X,X,X,O,O,X,O,X
LJITOSZ,O,O,O,O,O,X,O,X
LJITOZS,O,O,O,O,O,X,O,X
LJISTZO,O,X,O,O,X,X,O,X
LJISTOZ,O,X,O,O,X,X,O,X
LJISZTO,O,X,O,O,X,X,O,X
LJISZOT,X,X,X,X,X,O,O,X
LJISOTZ,O,O,O,O,X,X,O,X
LJISOZT,O,O,O,X,X,X,O,X
LJIZTSO,O,X,X,X,X,X,O,X
LJIZTOS,X,O,X,O,X,X,O,X
LJIZSTO,O,X,X,O,X,X,O,X
LJIZSOT,X,X,X,X,X,O,O,X
LJIZOTS,O,O,X,X,X,X,O,X
LJIZOST,O,O,X,X,X,X,O,X
LJIOTSZ,O,O,O,O,X,X,O,X
LJIOTZS,O,O,O,O,X,X,O,X
LJIOSTZ,O,O,O,O,X,X,O,X
LJIOSZT,O,O,X,X,X,X,O,X
LJIOZTS,O,O,O,X,X,X,O,O
LJIOZST,O,O,X,X,X,X,O,X
LJSTIZO,O,X,O,O,X,X,X,X
LJSTIOZ,O,X,O,O,X,X,X,X
LJSTZIO,O,X,O,O,X,X,X,X
LJSTZOI,O,X,X,O,X,O,X,X
LJSTOIZ,O,X,O,O,X,X,X,X
LJSTOZI,O,X,O,O,X,X,X,X
LJSITZO,O,X,O,O,X,X,X,X
LJSITOZ,O,X,O,O,X,X,X,X
LJSIZTO,O,X,O,O,X,X,X,X
LJSIZOT,X,X,X,X,X,O,X,X
LJSIOTZ,O,O,O,O,X,X,X,X
LJSIOZT,O,O,O,X,X,X,X,X
LJSZTIO,O,X,O,O,X,X,X,X
LJSZTOI,O,X,X,O,X,O,X,X
LJSZITO,O,X,O,O,X,X,X,X
LJSZIOT,X,X,X,X,X,O,X,X
LJSZOTI,X,X,X,X,X,O,X,X
LJSZOIT,X,X,X,X,X,O,X,X
LJSOTIZ,O,O,O,O,X,O,X,X
LJSOTZI,O,O,O,O,X,O,X,X
LJSOITZ,O,O,O,O,X,O,X,X
LJSOIZT,O,O,O,X,X,O,X,X
LJSOZTI,O,O,O,X,X,O,X,X
LJSOZIT,O,O,O,X,X,O,X,X
LJZTISO,O,X,X,X,X,X,O,X
LJZTIOS,X,O,X,O,X,X,O,X
LJZTSIO,O,X,X,O,X,X,X,X
LJZTSOI,O,X,X,O,X,O,X,X
LJZTOIS,X,X,X,O,X,X,X,O
LJZTOSI,X,X,X,O,X,X,X,O
LJZITSO,O,X,X,X,X,X,O,X
LJZITOS,X,O,X,O,X,X,O,X
LJZISTO,O,X,X,O,X,X,O,X
LJZISOT,X,X,X,X,X,O,O,X
LJZIOTS,O,O,X,X,X,X,O,X
LJZIOST,O,O,X,X,X,X,O,X
LJZSTIO,O,X,X,O,X,X,X,X
LJZSTOI,O,X,X,O,X,O,X,X
LJZSITO,O,X,X,O,X,X,X,X
LJZSIOT,X,X,X,X,X,O,X,X
LJZSOTI,X,X,X,X,X,O,X,X
LJZSOIT,X,X,X,X,X,O,X,X
LJZOTIS,O,O,X,X,X,X,X,O
LJZOTSI,O,O,X,X,X,O,X,O
LJZOITS,O,O,X,X,X,X,X,O
LJZOIST,O,O,X,X,X,O,X,X
LJZOSTI,O,O,X,X,X,O,X,X
LJZOSIT,O,O,X,X,X,O,X,X
LJOTISZ,O,O,O,O,X,X,X,X
LJOTIZS,O,O,O,O,X,X,X,X
LJOTSIZ,O,O,O,O,X,O,X,X
LJOTSZI,O,O,O,O,X,O,X,X
LJOTZIS,O,O,O,O,X,X,X,X
LJOTZSI,O,O,O,O,X,O,X,X
LJOITSZ,O,O,O,O,X,X,X,X
LJOITZS,O,O,O,O,X,X,X,X
LJOISTZ,O,O,O,O,X,O,X,X
LJOISZT,O,O,O,X,X,O,X,X
LJOIZTS,O,O,O,X,X,X,X,O
LJOIZST,O,O,X,X,X,O,X,X
LJOSTIZ,O,O,O,O,X,O,X,X
LJOSTZI,O,O,O,O,X,O,X,X
LJOSITZ,O,O,O,O,X,O,X,X
LJOSIZT,O,O,O,X,X,O,X,X
LJOSZTI,O,O,O,X,X,O,X,X
LJOSZIT,O,O,O,X,X,O,X,X
LJOZTIS,O,O,O,X,X,X,X,O
LJOZTSI,O,O,O,X,X,O,X,O
LJOZITS,O,O,O,X,X,X,X,O
LJOZIST,O,O,X,X,X,O,X,X
LJOZSTI,O,O,O,X,X,O,X,X
LJOZSIT,O,O,O,X,X,O,X,X
LSTIJZO,X,X,O,O,O,X,O,X
LSTIJOZ,X,X,O,O,O,X,O,X
LSTIZJO,X,X,O,O,O,X,O,X
LSTIZOJ,X,X,X,O,X,X,X,X
LSTIOJZ,X,X,O,O,O,X,X,X
LSTIOZJ,X,X,X,O,X,X,X,X
LSTJIZO,X,X,O,O,O,X,X,X
LSTJIOZ,X,X,O,O,O,X,X,X
LSTJZIO,X,X,O,O,O,X,X,X
LSTJZOI,X,X,X,O,O,X,X,X
LSTJOIZ,X,X,O,O,O,X,X,X
LSTJOZI,X,X,O,O,O,X,X,X
LSTZIJO,X,X,O,O,O,X,O,X
LSTZIOJ,X,X,X,O,X,X,X,X
LSTZJIO,X,X,X,O,O,X,X,X
LSTZJOI,X,X,X,O,O,X,X,X
LSTZOIJ,X,X,X,O,X,X,X,X
LSTZOJI,X,X,X,O,O,X,X,X
LSTOIJZ,X,X,O,O,O,X,X,X
LSTOIZJ,X,X,X,O,X,X,X,X
LSTOJIZ,X,X,X,O,O,X,X,X
LSTOJZI,X,X,X,O,O,X,X,X
LSTOZIJ,X,X,X,O,X,X,X,X
LSTOZJI,X,X,X,O,O,X,X,X
LSITJZO,X,X,O,O,O,X,O,X
LSITJOZ,X,X,O,O,O,X,O,X
LSITZJO,X,X,O,O,O,X,O,X
LSITZOJ,X,X,X,O,X,X,X,X
LSITOJZ,X,X,O,O,O,X,X,X
LSITOZJ,X,X,X,O,X,X,X,X
LSIJTZO,X,X,O,O,O,X,O,X
LSIJTOZ,X,X,O,O,O,X,O,X
LSIJZTO,X,X,O,O,X,X,O,X
LSIJZOT,X,X,X,X,X,X,O,X
LSIJOTZ,X,O,O,O,X,X,O,X
LSIJOZT,X,O,O,X,X,X,O,X
LSIZTJO,X,X,O,O,X,X,O,X
LSIZTOJ,X,O,X,O,X,X,X,X
LSIZJTO,X,X,O,O,X,X,O,X
LSIZJOT,X,X,X,X,X,X,O,X
LSIZOTJ,X,O,X,X,X,X,X,X
LSIZOJT,X,O,X,X,X,X,X,X
LSIOTJZ,X,X,O,O,X,X,X,X
LSIOTZJ,X,X,X,O,X,X,X,X
LSIOJTZ,X,O,O,O,X,X,X,X
LSIOJZT,X,O,X,X,X,X,X,X
LSIOZTJ,X,O,X,X,X,X,X,X
LSIOZJT,X,O,X,X,X,X,X,X
LSJTIZO,X,X,O,O,O,X,X,X
LSJTIOZ,X,X,O,O,O,X,X,X
LSJTZIO,X,X,O,O,O,X,X,X
LSJTZOI,X,X,X,O,O,O,X,X
LSJTOIZ,X,X,O,O,O,X,X,X
LSJTOZI,X,X,O,O,O,X,X,X
LSJITZO,X,X,O,O,O,X,X,X
LSJITOZ,X,X,O,O,O,X,X,X
LSJIZTO,X,X,O,O,X,X,X,X
LSJIZOT,X,X,X,X,X,O,X,X
LSJIOTZ,X,O,O,O,X,X,X,X
LSJIOZT,X,O,O,X,X,X,X,X
LSJZTIO,X,X,O,O,X,X,X,X
LSJZTOI,X,X,X,O,X,O,X,X
LSJZITO,X,X,O,O,X,X,X,X
LSJZIOT,X,X,X,X,X,O,X,X
LSJZOTI,X,X,X,X,X,O,X,X
LSJZOIT,X,X,X,X,X,O,X,X
LSJOTIZ,X,O,O,O,X,X,X,X
LSJOTZI,X,O,O,O,X,X,X,X
LSJOITZ,X,O,O,O,X,X,X,X
LSJOIZT,X,O,O,X,X,X,X,X
LSJOZTI,X,O,O,X,X,O,X,X
LSJOZIT,X,O,O,X,X,O,X,X
LSZTIJO,X,X,O,O,X,X,O,X
LSZTIOJ,X,O,X,O,X,X,X,X
LSZTJIO,X,X,X,O,X,X,X,X
LSZTJOI,X,X,X,O,X,X,X,X
LSZTOIJ,X,X,X,O,X,X,X,X
LSZTOJI,X,X,X,O,X,X,X,X
LSZITJO,X,X,O,O,X,X,O,X
LSZITOJ,X,O,X,O,X,X,X,X
LSZIJTO,X,X,O,O,X,X,O,X
LSZIJOT,X,X,X,X,X,X,O,X
LSZIOTJ,X,O,X,X,X,X,X,X
LSZIOJT,X,O,X,X,X,X,X,X
LSZJTIO,X,X,O,O,X,X,X,X
LSZJTOI,X,X,X,O,X,O,X,X
LSZJITO,X,X,O,O,X,X,X,X
LSZJIOT,X,X,X,X,X,O,X,X
LSZJOTI,X,X,X,X,X,O,X,X
LSZJOIT,X,X,X,X,X,O,X,X
LSZOTIJ,X,O,X,X,X,X,X,X
LSZOTJI,X,O,X,X,X,X,X,X
LSZOITJ,X,O,X,X,X,X,X,X
LSZOIJT,X,O,X,X,X,X,X,X
LSZOJTI,X,O,X,X,X,O,X,X
LSZOJIT,X,O,X,X,X,O,X,X
LSOTIJZ,X,X,O,O,X,X,X,X
LSOTIZJ,X,X,X,O,X,X,X,X
LSOTJIZ,X,X,X,O,X,O,X,X
LSOTJZI,X,X,X,O,X,O,X,X
LSOTZIJ,X,X,X,O,X,X,X,X
LSOTZJI,X,X,X,O,X,X,X,X
LSOITJZ,X,X,O,O,X,X,X,X
LSOITZJ,X,X,X,O,X,X,X,X
LSOIJTZ,X,O,O,O,X,O,X,X
LSOIJZT,X,O,X,X,X,O,X,X
LSOIZTJ,X,O,X,X,X,X,X,X
LSOIZJT,X,O,X,X,X,X,X,X
LSOJTIZ,X,O,O,O,X,O,X,X
LSOJTZI,X,O,X,O,X,O,X,X
LSOJITZ,X,O,O,O,X,O,X,X
LSOJIZT,X,O,X,X,X,O,X,X
LSOJZTI,X,O,X,X,X,O,X,X
LSOJZIT,X,O,X,X,X,O,X,X
LSOZTIJ,X,O,X,X,X,X,X,X
LSOZTJI,X,O,X,X,X,X,X,X
LSOZITJ,X,O,X,X,X,X,X,X
LSOZIJT,X,O,X,X,X,X,X,X
LSOZJTI,X,O,X,X,X,O,X,X
LSOZJIT,X,O,X,X,X,O,X,X
LZTIJSO,O,X,X,X,X,X,O,X
LZTIJOS,O,O,X,O,O,X,O,X
LZTISJO,O,X,X,X,O,X,O,X
LZTISOJ,O,O,X,X,X,X,X,X
LZTIOJS,O,O,X,O,X,X,O,X
LZTIOSJ,O,O,X,X,X,X,X,X
LZTJISO,O,X,X,X,X,X,O,X
LZTJIOS,O,O,X,O,O,X,O,X
LZTJSIO,O,X,X,O,O,X,X,X
LZTJSOI,O,X,X,O,O,O,X,X
LZTJOIS,O,X,X,O,O,X,X,O
LZTJOSI,O,X,X,O,O,X,X,O
LZTSIJO,O,X,X,O,O,X,O,X
LZTSIOJ,O,O,X,O,X,X,X,X
LZTSJIO,O,X,X,O,O,X,X,X
LZTSJOI,O,X,X,O,O,X,X,X
LZTSOIJ,O,X,X,O,X,X,X,X
LZTSOJI,X,X,X,O,O,X,X,X
LZTOIJS,O,O,X,O,X,X,O,X
LZTOISJ,O,O,X,X,X,X,X,X
LZTOJIS,O,O,X,O,O,X,X,O
LZTOJSI,O,O,X,O,O,O,X,O
LZTOSIJ,O,O,X,O,X,X,X,X
LZTOSJI,O,O,X,O,O,X,X,X
LZITJSO,O,X,X,X,X,X,O,X
LZITJOS,O,O,X,O,O,X,O,X
LZITSJO,O,X,X,X,O,X,O,X
LZITSOJ,O,O,X,X,X,X,X,X
LZITOJS,O,O,X,O,X,X,O,X
LZITOSJ,O,O,X,X,X,X,X,X
LZIJTSO,O,X,X,X,X,X,O,X
LZIJTOS,O,O,X,O,X,X,O,X
LZIJSTO,O,X,X,O,X,X,O,X
LZIJSOT,O,X,X,X,X,O,O,X
LZIJOTS,O,O,X,X,X,X,O,X
LZIJOST,O,O,X,X,X,X,O,X
LZISTJO,O,X,X,O,X,X,O,X
LZISTOJ,O,O,X,O,X,X,X,X
LZISJTO,O,X,X,O,X,X,O,X
LZISJOT,O,X,X,X,X,X,O,X
LZISOTJ,O,O,X,X,X,X,X,X
LZISOJT,O,O,X,X,X,X,X,X
LZIOTJS,O,O,X,X,X,X,O,X
LZIOTSJ,O,O,X,X,X,X,X,X
LZIOJTS,O,O,X,X,X,X,O,X
LZIOJST,O,O,X,X,X,O,O,X
LZIOSTJ,O,O,X,X,X,X,X,X
LZIOSJT,O,O,X,X,X,X,X,X
LZJTISO,O,X,X,X,X,X,O,X
LZJTIOS,O,O,X,O,X,X,O,X
LZJTSIO,O,X,X,O,X,X,X,X
LZJTSOI,O,X,X,O,X,O,X,X
LZJTOIS,O,X,X,O,X,X,X,O
LZJTOSI,O,X,X,O,X,X,X,O
LZJITSO,O,X,X,X,X,X,O,X
LZJITOS,O,O,X,O,X,X,O,X
LZJISTO,O,X,X,O,X,X,O,X
LZJISOT,O,X,X,X,X,O,O,X
LZJIOTS,O,O,X,X,X,X,O,X
LZJIOST,O,O,X,X,X,X,O,X
LZJSTIO,O,X,X,O,X,X,X,X
LZJSTOI,O,X,X,O,X,O,X,X
LZJSITO,O,X,X,O,X,X,X,X
LZJSIOT,O,X,X,X,X,O,X,X
LZJSOTI,O,X,X,X,X,O,X,X
LZJSOIT,O,X,X,X,X,O,X,X
LZJOTIS,O,O,X,X,X,X,X,O
LZJOTSI,O,O,X,X,X,O,X,O
LZJOITS,O,O,X,X,X,X,X,O
LZJOIST,O,O,X,X,X,O,X,X
LZJOSTI,O,O,X,X,X,O,X,X
LZJOSIT,O,O,X,X,X,O,X,X
LZSTIJO,O,X,X,O,X,X,O,X
LZSTIOJ,O,O,X,O,X,X,X,X
LZSTJIO,O,X,X,O,X,X,X,X
LZSTJOI,O,X,X,O,X,X,X,X
LZSTOIJ,O,X,X,O,X,X,X,X
LZSTOJI,X,X,X,O,X,X,X,X
LZSITJO,O,X,X,O,X,X,O,X
LZSITOJ,O,O,X,O,X,X,X,X
LZSIJTO,O,X,X,O,X,X,O,X
LZSIJOT,O,X,X,X,X,X,O,X
LZSIOTJ,O,O,X,X,X,X,X,X
LZSIOJT,O,O,X,X,X,X,X,X
LZSJTIO,O,X,X,O,X,X,X,X
LZSJTOI,O,X,X,O,X,O,X,X
LZSJITO,O,X,X,O,X,X,X,X
LZSJIOT,O,X,X,X,X,O,X,X
LZSJOTI,O,X,X,X,X,O,X,X
LZSJOIT,O,X,X,X,X,O,X,X
LZSOTIJ,O,O,X,X,X,X,X,X
LZSOTJI,O,O,X,X,X,X,X,X
LZSOITJ,O,O,X,X,X,X,X,X
LZSOIJT,O,O,X,X,X,X,X,X
LZSOJTI,O,O,X,X,X,O,X,X
LZSOJIT,O,O,X,X,X,O,X,X
LZOTIJS,O,O,X,X,X,X,O,X
LZOTISJ,O,O,X,X,X,X,X,X
LZOTJIS,O,O,X,X,X,X,X,O
LZOTJSI,O,O,X,X,X,O,X,O
LZOTSIJ,O,O,X,X,X,X,X,X
LZOTSJI,O,O,X,X,X,X,X,X
LZOITJS,O,O,X,X,X,X,O,X
LZOITSJ,O,O,X,X,X,X,X,X
LZOIJTS,O,O,X,X,X,X,O,X
LZOIJST,O,O,X,X,X,O,O,X
LZOISTJ,O,O,X,X,X,X,X,X
LZOISJT,O,O,X,X,X,X,X,X
LZOJTIS,O,O,X,X,X,X,X,O
LZOJTSI,O,O,X,X,X,O,X,O
LZOJITS,O,O,X,X,X,X,X,O
LZOJIST,O,O,X,X,X,O,X,X
LZOJSTI,O,O,X,X,X,O,X,X
LZOJSIT,O,O,X,X,X,O,X,X
LZOSTIJ,O,O,X,X,X,X,X,X
LZOSTJI,O,O,X,X,X,X,X,X
LZOSITJ,O,O,X,X,X,X,X,X
LZOSIJT,O,O,X,X,X,X,X,X
LZOSJTI,O,O,X,X,X,O,X,X
LZOSJIT,O,O,X,X,X,O,X,X
LOTIJSZ,O,O,X,O,O,X,O,X
LOTIJZS,O,O,X,O,O,X,O,X
LOTISJZ,O,X,X,O,O,X,X,X
LOTISZJ,O,X,X,O,X,X,X,X
LOTIZJS,O,O,X,O,X,X,O,X
LOTIZSJ,O,O,X,X,X,X,X,X
LOTJISZ,O,O,X,O,O,X,X,X
LOTJIZS,O,O,X,O,O,X,X,X
LOTJSIZ,O,O,X,O,O,O,X,X
LOTJSZI,O,O,X,O,O,O,X,X
LOTJZIS,O,O,X,O,O,X,X,X
LOTJZSI,O,O,X,O,O,O,X,X
LOTSIJZ,O,X,X,O,O,X,X,X
LOTSIZJ,O,X,X,O,X,X,X,X
LOTSJIZ,O,X,X,O,O,O,X,X
LOTSJZI,O,X,X,O,O,O,X,X
LOTSZIJ,O,X,X,O,X,X,X,X
LOTSZJI,X,X,X,O,O,X,X,X
LOTZIJS,O,O,X,O,X,X,O,X
LOTZISJ,O,O,X,X,X,X,X,X
LOTZJIS,O,O,X,O,O,X,X,X
LOTZJSI,O,O,X,O,O,O,X,X
LOTZSIJ,O,O,X,O,X,X,X,X
LOTZSJI,O,O,X,O,O,X,X,X
LOITJSZ,O,O,X,O,O,X,O,X
LOITJZS,O,O,X,O,O,X,O,X
LOITSJZ,O,X,X,O,O,X,X,X
LOITSZJ,O,X,X,X,X,X,X,X
LOITZJS,O,O,X,O,X,X,O,X
LOITZSJ,O,O,X,X,X,X,X,X
LOIJTSZ,O,O,X,O,X,X,O,X
LOIJTZS,O,O,X,O,X,X,O,X
LOIJSTZ,O,O,X,O,X,O,O,X
LOIJSZT,O,O,X,X,X,O,O,X
LOIJZTS,O,O,X,X,X,X,O,X
LOIJZST,O,O,X,X,X,O,O,X
LOISTJZ,O,X,X,O,X,X,X,X
LOISTZJ,O,X,X,O,X,X,X,X
LOISJTZ,X,O,X,O,X,O,X,X
LOISJZT,X,O,X,X,X,O,X,X
LOISZTJ,X,O,X,X,X,X,X,X
LOISZJT,X,O,X,X,X,X,X,X
LOIZTJS,O,O,X,X,X,X,O,X
LOIZTSJ,O,O,X,X,X,X,X,X
LOIZJTS,O,O,X,X,X,X,O,X
LOIZJST,O,O,X,X,X,O,O,X
LOIZSTJ,O,O,X,X,X,X,X,X
LOIZSJT,O,O,X,X,X,X,X,X
LOJTISZ,O,O,X,O,X,X,X,X
LOJTIZS,O,O,X,O,X,X,X,X
LOJTSIZ,O,O,X,O,X,O,X,X
LOJTSZI,O,O,X,O,X,O,X,X
LOJTZIS,O,O,X,O,X,X,X,X
LOJTZSI,O,O,X,O,X,O,X,X
LOJITSZ,O,O,X,O,X,X,X,X
LOJITZS,O,O,X,O,X,X,X,X
LOJISTZ,O,O,X,O,X,O,X,X
LOJISZT,O,O,X,X,X,O,X,X
LOJIZTS,O,O,X,X,X,X,X,O
LOJIZST,O,O,X,X,X,O,X,X
LOJSTIZ,O,O,X,O,X,O,X,X
LOJSTZI,O,O,X,O,X,O,X,X
LOJSITZ,O,O,X,O,X,O,X,X
LOJSIZT,O,O,X,X,X,O,X,X
LOJSZTI,O,O,X,X,X,O,X,X
LOJSZIT,O,O,X,X,X,O,X,X
LOJZTIS,O,O,X,X,X,X,X,O
LOJZTSI,O,O,X,X,X,O,X,O
LOJZITS,O,O,X,X,X,X,X,O
LOJZIST,O,O,X,X,X,O,X,X
LOJZSTI,O,O,X,X,X,O,X,X
LOJZSIT,O,O,X,X,X,O,X,X
LOSTIJZ,O,X,X,O,X,X,X,X
LOSTIZJ,O,X,X,O,X,X,X,X
LOSTJIZ,O,X,X,O,X,O,X,X
LOSTJZI,O,X,X,O,X,O,X,X
LOSTZIJ,O,X,X,O,X,X,X,X
LOSTZJI,X,X,X,O,X,X,X,X
LOSITJZ,O,X,X,O,X,X,X,X
LOSITZJ,O,X,X,O,X,X,X,X
LOSIJTZ,X,O,X,O,X,O,X,X
LOSIJZT,X,O,X,X,X,O,X,X
LOSIZTJ,X,O,X,X,X,X,X,X
LOSIZJT,X,O,X,X,X,X,X,X
LOSJTIZ,O,O,X,O,X,O,X,X
LOSJTZI,O,O,X,O,X,O,X,X
LOSJITZ,O,O,X,O,X,O,X,X
LOSJIZT,O,O,X,X,X,O,X,X
LOSJZTI,O,O,X,X,X,O,X,X
LOSJZIT,O,O,X,X,X,O,X,X
LOSZTIJ,O,O,X,X,X,X,X,X
LOSZTJI,X,O,X,X,X,X,X,X
LOSZITJ,O,O,X,X,X,X,X,X
LOSZIJT,X,O,X,X,X,X,X,X
LOSZJTI,X,O,X,X,X,O,X,X
LOSZJIT,X,O,X,X,X,O,X,X
LOZTIJS,O,O,X,X,X,X,O,X
LOZTISJ,O,O,X,X,X,X,X,X
LOZTJIS,O,O,X,X,X,X,X,O
LOZTJSI,O,O,X,X,X,O,X,O
LOZTSIJ,O,O,X,X,X,X,X,X
LOZTSJI,O,O,X,X,X,X,X,X
LOZITJS,O,O,X,X,X,X,O,X
LOZITSJ,O,O,X,X,X,X,X,X
LOZIJTS,O,O,X,X,X,X,O,X
LOZIJST,O,O,X,X,X,O,O,X
LOZISTJ,O,O,X,X,X,X,X,X
LOZISJT,O,O,X,X,X,X,X,X
LOZJTIS,O,O,X,X,X,X,X,O
LOZJTSI,O,O,X,X,X,O,X,O
LOZJITS,O,O,X,X,X,X,X,O
LOZJIST,O,O,X,X,X,O,X,X
LOZJSTI,O,O,X,X,X,O,X,X
LOZJSIT,O,O,X,X,X,O,X,X
LOZSTIJ,O,O,X,X,X,X,X,X
LOZSTJI,O,O,X,X,X,X,X,X
LOZSITJ,O,O,X,X,X,X,X,X
LOZSIJT,O,O,X,X,X,X,X,X
LOZSJTI,O,O,X,X,X,O,X,X
LOZSJIT,O,O,X,X,X,O,X,X
JTILSZO,O,X,O,O,O,X,X,X
JTILSOZ,O,X,O,O,O,X,X,X
JTILZSO,O,X,X,X,X,X,X,X
JTILZOS,X,X,X,O,O,X,X,X
JTILOSZ,O,X,O,O,O,X,X,X
JTILOZS,O,X,O,O,O,X,X,X
JTISLZO,O,X,O,O,O,X,X,X
JTISLOZ,O,X,O,O,O,X,X,X
JTISZLO,O,X,O,X,O,X,X,X
JTISZOL,X,X,O,X,O,X,X,X
JTISOLZ,O,X,O,X,O,X,X,X
JTISOZL,X,X,O,X,O,X,X,X
JTIZLSO,O,X,X,X,X,X,X,X
JTIZLOS,O,X,X,X,O,X,X,X
JTIZSLO,O,X,O,X,X,X,X,X
JTIZSOL,O,X,O,X,X,X,X,X
JTIZOLS,O,X,O,X,O,X,X,X
JTIZOSL,O,X,X,X,X,X,X,X
JTIOLSZ,O,X,O,X,O,X,X,X
JTIOLZS,O,O,O,X,O,X,X,X
JTIOSLZ,O,X,O,X,O,X,X,X
JTIOSZL,O,O,O,X,O,X,X,X
JTIOZLS,O,O,O,X,O,X,X,O
JTIOZSL,O,O,X,X,X,X,X,O
JTLISZO,O,X,O,O,O,X,X,X
JTLISOZ,O,X,O,O,O,X,X,X
JTLIZSO,O,X,X,X,X,X,X,X
JTLIZOS,X,X,X,O,O,X,X,X
JTLIOSZ,O,O,O,O,O,X,X,X
JTLIOZS,O,O,O,O,O,X,X,X
JTLSIZO,O,X,O,O,O,X,X,X
JTLSIOZ,O,X,O,O,O,X,X,X
JTLSZIO,O,X,O,O,O,X,X,X
JTLSZOI,O,X,X,O,O,O,X,X
JTLSOIZ,O,X,O,O,O,X,X,X
JTLSOZI,O,X,O,O,O,X,X,X
JTLZISO,O,X,X,X,X,X,X,X
JTLZIOS,X,X,X,O,O,X,X,X
JTLZSIO,O,X,X,O,O,X,X,X
JTLZSOI,O,X,X,O,O,O,X,X
JTLZOIS,X,X,X,O,O,X,X,X
JTLZOSI,X,X,X,O,O,X,X,X
JTLOISZ,O,O,O,O,O,X,X,X
JTLOIZS,O,O,O,O,O,X,X,X
JTLOSIZ,O,O,O,O,O,X,X,X
JTLOSZI,O,O,O,O,O,X,X,X
JTLOZIS,O,O,O,O,O,X,X,X
JTLOZSI,O,O,O,O,O,X,X,X
JTSILZO,O,X,O,O,O,X,X,X
JTSILOZ,O,X,O,O,O,X,X,X
JTSIZLO,O,X,O,X,O,X,X,X
JTSIZOL,X,X,O,X,O,X,X,X
JTSIOLZ,O,X,O,X,O,X,X,X
JTSIOZL,X,X,O,X,O,X,X,X
JTSLIZO,O,X,O,X,O,X,X,X
JTSLIOZ,O,X,O,X,O,X,X,X
JTSLZIO,O,X,O,X,O,X,X,X
JTSLZOI,O,X,X,X,O,O,X,X
JTSLOIZ,O,X,O,X,O,X,X,X
JTSLOZI,O,X,O,X,O,X,X,X
JTSZILO,O,X,O,X,O,X,X,X
JTSZIOL,X,X,O,X,O,X,X,X
JTSZLIO,O,X,O,X,O,X,X,X
JTSZLOI,O,X,X,X,O,O,X,X
JTSZOIL,X,X,O,X,O,X,X,X
JTSZOLI,X,X,O,X,O,O,X,X
JTSOILZ,O,X,O,X,O,X,X,X
JTSOIZL,X,X,O,X,O,X,X,X
JTSOLIZ,O,X,O,X,O,O,X,X
JTSOLZI,O,X,O,X,O,O,X,X
JTSOZIL,X,X,O,X,O,X,X,X
JTSOZLI,X,X,O,X,O,O,X,X
JTZILSO,O,X,X,X,X,X,X,X
