sequence,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFThB/nBGjBClB0q?BlrB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhFlhBGjBClB/rBTn?B0qB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF/nBGjBzkBCmB0m?BVwB,v115@HhA8GeA8AeA8GeE8CeD8Jex/IvhF8lBqmB/nBGjBzk?BVwB
ITJZOSL,X,O,X,X
ITJOLSZ,X,O,O,X
ITJOLZS,X,O,O,X
ITJOSLZ,O,O,O,O
ITJOSZL,O,O,O,X
ITJOZLS,X,O,O,X
ITJOZSL,X,O,O,X
ITSLJZO,O,O,X,O
ITSLJOZ,O,O,O,O
ITSLZJO,O,X,X,O
ITSLZOJ,O,X,X,O
ITSLOJZ,O,X,O,O
ITSLOZJ,O,X,O,O
ITSJLZO,O,O,X,O
ITSJLOZ,O,O,O,O
ITSJZLO,O,O,X,X
ITSJZOL,O,O,X,X
ITSJOLZ,O,O,O,O
ITSJOZL,O,O,O,X
ITSZLJO,O,X,X,X
ITSZLOJ,O,X,X,X
ITSZJLO,O,O,X,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,X,X,X
ITSZOJL,O,X,X,X
ITSOLJZ,O,O,O,O
ITSOLZJ,O,X,O,O
ITSOJLZ,O,O,O,O
ITSOJZL,O,O,O,X
ITSOZLJ,X,X,O,X
ITSOZJL,O,O,O,X
ITZLJSO,O,O,X,O
