sequence,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBGjB8?rBatBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFlgB3hBCjB8?rBOtBRvB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxnBXnBO?tBVvBUrB,v115@JhA8GeE8BeA8AeB8EeB8AeA8JeT/IvhFSmBxiBXnBO?tBVvBUrB
TOLIZJS,O,O,X,X
TOLIZSJ,O,O,X,X
TOLJISZ,O,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,X,X
TOLJSZI,O,O,X,X
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,X
TOLSIJZ,O,X,X,X
TOLSIZJ,O,O,X,X
TOLSJIZ,O,X,X,X
TOLSJZI,O,X,X,X
TOLSZIJ,O,O,X,X
TOLSZJI,O,O,X,X
TOLZIJS,O,O,X,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,X,X
TOLZJSI,O,O,X,X
TOLZSIJ,O,O,X,X
TOLZSJI,O,O,X,X
TOJILSZ,X,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,X,O,X,X
TOJISZL,O,O,X,X
TOJIZLS,O,O,X,X
TOJIZSL,O,O,X,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,X,X
TOJLSZI,O,O,X,X
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,X
TOJSILZ,X,O,X,X
TOJSIZL,O,O,X,X
TOJSLIZ,X,O,X,X
TOJSLZI,X,O,X,X
TOJSZIL,O,O,X,X
TOJSZLI,O,O,X,X
TOJZILS,O,O,X,X
TOJZISL,O,O,X,X
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,O,O,X,X
TOJZSLI,O,O,X,X
TOSILJZ,X,X,X,X
TOSILZJ,X,X,X,X
TOSIJLZ,X,X,X,X
TOSIJZL,X,X,X,X
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,X
TOSLIJZ,O,X,X,X
TOSLIZJ,O,O,X,X
TOSLJIZ,O,X,X,O
TOSLJZI,O,X,X,O
TOSLZIJ,O,O,X,X
TOSLZJI,O,O,X,X
TOSJILZ,X,O,X,X
TOSJIZL,O,O,X,X
TOSJLIZ,X,O,X,X
TOSJLZI,X,O,X,X
TOSJZIL,O,O,X,X
TOSJZLI,O,O,X,X
TOSZILJ,O,O,X,X
TOSZIJL,O,O,X,X
TOSZLIJ,O,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,O,X,X
TOSZJLI,O,O,X,X
TOZILJS,O,X,X,X
TOZILSJ,O,O,X,X
TOZIJLS,X,O,X,X
TOZIJSL,O,O,X,X
TOZISLJ,O,O,X,X
TOZISJL,O,O,X,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,X
TOZLJSI,O,O,X,X
TOZLSIJ,O,O,X,X
TOZLSJI,O,O,X,X
TOZJILS,O,O,X,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,X,X
TOZJLSI,O,O,X,X
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,X
TOZSILJ,O,O,X,X
TOZSIJL,O,O,X,X
TOZSLIJ,O,O,X,X
TOZSLJI,O,O,X,X
TOZSJIL,O,O,X,X
TOZSJLI,O,O,X,X
ITLJSZO,O,X,X,X
ITLJSOZ,O,X,X,X
ITLJZSO,O,O,X,X
ITLJZOS,O,O,X,X
ITLJOSZ,O,X,X,X
ITLJOZS,O,O,X,X
ITLSJZO,O,X,X,X
ITLSJOZ,O,X,X,X
ITLSZJO,O,O,X,X
ITLSZOJ,O,O,X,X
ITLSOJZ,O,X,X,X
ITLSOZJ,O,O,X,X
ITLZJSO,O,O,X,X
ITLZJOS,O,O,X,X
ITLZSJO,O,O,X,X
ITLZSOJ,O,O,X,X
ITLZOJS,O,O,X,X
ITLZOSJ,O,O,X,X
ITLOJSZ,O,X,O,X
ITLOJZS,O,O,X,X
ITLOSJZ,O,X,O,X
ITLOSZJ,O,O,X,X
ITLOZJS,O,O,X,X
ITLOZSJ,O,O,X,X
ITJLSZO,X,O,X,X
ITJLSOZ,X,O,X,X
ITJLZSO,O,O,X,X
ITJLZOS,O,O,X,X
ITJLOSZ,X,O,X,X
ITJLOZS,O,O,X,X
ITJSLZO,X,O,X,X
ITJSLOZ,X,O,X,X
ITJSZLO,O,O,X,X
ITJSZOL,O,O,X,X
ITJSOLZ,X,O,X,X
ITJSOZL,O,O,X,X
ITJZLSO,O,O,X,X
ITJZLOS,O,O,X,X
ITJZSLO,O,O,X,X
ITJZSOL,O,O,X,X
ITJZOLS,O,O,X,X
ITJZOSL,O,O,X,X
ITJOLSZ,X,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,X,O,X,X
ITJOSZL,O,O,X,X
ITJOZLS,O,O,X,X
ITJOZSL,O,O,X,X
ITSLJZO,X,X,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,X,X,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,X,X,X
ITSJLOZ,X,X,X,X
ITSJZLO,X,X,X,X
ITSJZOL,X,X,X,X
ITSJOLZ,X,X,X,X
ITSJOZL,X,X,X,X
ITSZLJO,X,X,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,X,X,X,X
ITSZJOL,X,X,X,X
ITSZOLJ,X,X,X,X
ITSZOJL,X,X,X,X
