sequence,v115@RhC8AeA8DeG8CeA8JeT/IvhF/lBRhBGjB0mBlnByxB,v115@RhC8AeA8DeG8CeA8Je2EJvhFRgBFiBTjBCmBftBUsB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBGjBllB3nByxB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgB8mBCjBllBXoB2xB,v115@RhC8AeA8DeG8CeA8JeT/IvhFxgBcoBllBfsB6sBmsB
TSZIOLJ,O,X,O,O,O
TSZIOJL,O,X,O,O,O
TSZLIJO,O,X,O,O,O
TSZLIOJ,O,X,O,O,O
TSZLJIO,O,X,O,O,O
TSZLJOI,O,X,O,O,O
TSZLOIJ,O,X,O,O,O
TSZLOJI,O,X,O,O,O
TSZJILO,O,X,X,O,O
TSZJIOL,O,O,O,O,O
TSZJLIO,O,O,X,O,O
TSZJLOI,O,O,X,O,O
TSZJOIL,O,O,O,O,O
TSZJOLI,O,O,X,O,O
TSZOILJ,O,X,O,O,O
TSZOIJL,O,X,O,O,O
TSZOLIJ,O,X,O,O,O
TSZOLJI,O,X,O,O,O
TSZOJIL,O,O,O,O,O
TSZOJLI,O,O,X,O,O
TSOILJZ,O,X,X,X,O
TSOILZJ,O,X,O,O,O
TSOIJLZ,O,O,X,O,O
TSOIJZL,O,O,X,O,O
TSOIZLJ,O,X,O,O,O
TSOIZJL,O,X,O,O,O
TSOLIJZ,O,O,O,X,O
TSOLIZJ,O,O,O,O,O
TSOLJIZ,O,O,O,O,O
TSOLJZI,O,O,O,O,O
TSOLZIJ,O,O,O,O,O
TSOLZJI,O,O,O,O,O
TSOJILZ,O,O,X,O,O
TSOJIZL,O,O,X,O,O
TSOJLIZ,O,O,O,O,O
TSOJLZI,O,O,O,O,O
TSOJZIL,O,O,O,O,O
TSOJZLI,X,O,X,O,O
TSOZILJ,O,X,O,O,O
TSOZIJL,O,X,O,O,O
TSOZLIJ,O,X,O,O,O
TSOZLJI,O,X,O,O,O
TSOZJIL,O,O,O,O,O
TSOZJLI,O,O,X,O,O
TZILJSO,X,X,O,O,X
TZILJOS,X,X,O,O,X
TZILSJO,X,X,O,O,O
TZILSOJ,X,X,O,O,O
TZILOJS,X,X,O,O,X
TZILOSJ,X,X,O,O,O
TZIJLSO,X,O,O,O,X
TZIJLOS,X,O,O,O,X
TZIJSLO,O,O,X,O,O
TZIJSOL,O,O,O,O,O
TZIJOLS,X,X,O,O,X
TZIJOSL,O,O,O,O,O
TZISLJO,O,X,O,O,O
TZISLOJ,O,X,O,O,O
TZISJLO,O,O,X,O,O
TZISJOL,O,O,O,O,O
TZISOLJ,O,X,O,O,O
TZISOJL,O,O,O,O,O
TZIOLJS,X,X,O,O,X
TZIOLSJ,X,X,O,O,O
TZIOJLS,X,X,O,O,X
TZIOJSL,O,X,O,O,O
TZIOSLJ,O,X,O,O,O
TZIOSJL,O,X,O,O,O
TZLIJSO,O,O,O,O,X
TZLIJOS,O,O,O,O,X
TZLISJO,O,O,O,O,O
TZLISOJ,O,O,O,O,O
TZLIOJS,O,O,O,O,X
TZLIOSJ,O,O,O,O,O
TZLJISO,O,O,O,O,X
TZLJIOS,O,O,O,O,X
TZLJSIO,O,O,O,O,X
TZLJSOI,O,O,O,O,X
TZLJOIS,O,O,O,O,X
TZLJOSI,O,O,O,O,X
TZLSIJO,O,O,O,O,O
TZLSIOJ,O,O,O,O,O
TZLSJIO,O,O,O,O,O
TZLSJOI,O,O,O,O,O
TZLSOIJ,O,O,O,O,O
TZLSOJI,O,O,O,O,O
TZLOIJS,O,O,O,O,X
TZLOISJ,O,O,O,O,O
TZLOJIS,O,O,O,O,X
TZLOJSI,O,O,O,O,X
TZLOSIJ,O,O,O,O,O
TZLOSJI,O,O,O,O,O
TZJILSO,X,O,O,O,X
TZJILOS,X,O,O,O,X
TZJISLO,O,O,X,O,O
TZJISOL,O,O,O,O,O
TZJIOLS,X,X,O,O,X
TZJIOSL,O,O,O,O,O
TZJLISO,X,O,O,O,X
TZJLIOS,X,O,O,O,X
TZJLSIO,O,O,O,O,X
TZJLSOI,O,O,O,O,X
TZJLOIS,X,O,O,O,X
TZJLOSI,O,O,O,O,X
TZJSILO,O,O,X,O,O
TZJSIOL,O,O,O,O,O
TZJSLIO,O,O,X,O,O
TZJSLOI,O,O,X,O,O
TZJSOIL,O,O,O,O,O
TZJSOLI,O,O,X,O,O
TZJOILS,X,X,O,O,X
TZJOISL,O,O,O,O,O
TZJOLIS,X,O,O,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,O,O,O,O,O
TZJOSLI,O,O,X,O,O
TZSILJO,O,X,O,O,O
TZSILOJ,O,X,O,O,O
TZSIJLO,O,O,X,O,O
TZSIJOL,O,O,O,O,O
TZSIOLJ,O,X,O,O,O
TZSIOJL,O,O,O,O,O
TZSLIJO,O,O,O,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,O
TZSLJOI,O,O,O,O,O
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,X,O,O
TZSJIOL,O,O,O,O,O
TZSJLIO,O,O,X,O,O
TZSJLOI,O,O,X,O,O
TZSJOIL,O,O,O,O,O
TZSJOLI,O,O,X,O,O
TZSOILJ,O,X,O,O,O
TZSOIJL,O,O,O,O,O
TZSOLIJ,O,O,O,O,O
TZSOLJI,O,O,O,O,O
TZSOJIL,O,O,O,O,O
TZSOJLI,O,O,X,O,O
TZOILJS,X,X,O,O,X
TZOILSJ,X,X,O,O,O
TZOIJLS,X,X,O,O,X
TZOIJSL,O,X,O,O,O
TZOISLJ,O,X,O,O,O
TZOISJL,O,X,O,O,O
TZOLIJS,O,X,O,O,X
