sequence,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmBUrBisB3qB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFFiBTjB?GmB3qBisBUrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFzgB+mB?iiBcoB1vBXsB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFamBfnB?TjB+qB0nB1wB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFiiBcoB?+qBTmBXsBFrB,v115@+gB8HeB8DeA8CeB8FeA8AeA8EeC8JeZEJvhFWmBiiB?coB3qBFsBTrB
TZJISLO,X,X,O,O,O,O
TZJISOL,X,X,O,O,O,O
TZJIOLS,O,X,O,O,X,X
TZJIOSL,X,X,O,O,X,X
TZJLISO,O,X,O,O,O,O
TZJLIOS,O,X,O,O,X,X
TZJLSIO,O,X,O,O,O,O
TZJLSOI,O,X,O,O,O,O
TZJLOIS,O,X,O,O,X,X
TZJLOSI,O,X,O,O,X,X
TZJSILO,X,X,O,O,O,O
TZJSIOL,X,X,O,O,O,O
TZJSLIO,X,X,O,O,O,O
TZJSLOI,X,X,O,O,O,O
TZJSOIL,X,X,O,O,O,O
TZJSOLI,X,X,O,O,O,O
TZJOILS,O,X,O,O,X,X
TZJOISL,X,X,O,O,X,X
TZJOLIS,O,X,O,O,X,X
TZJOLSI,O,X,O,O,X,X
TZJOSIL,X,X,O,O,X,X
TZJOSLI,X,X,O,O,X,X
TZSILJO,X,X,O,X,O,O
TZSILOJ,X,X,O,X,X,O
TZSIJLO,X,X,O,O,O,O
TZSIJOL,X,X,O,O,O,O
TZSIOLJ,X,X,O,X,X,O
TZSIOJL,X,X,O,O,X,O
TZSLIJO,X,X,O,X,O,O
TZSLIOJ,X,X,O,X,X,O
TZSLJIO,X,X,O,X,O,O
TZSLJOI,X,X,O,X,O,O
TZSLOIJ,X,X,O,X,X,O
TZSLOJI,X,X,O,X,X,O
TZSJILO,X,X,O,O,O,O
TZSJIOL,X,X,O,O,O,O
TZSJLIO,X,X,O,O,O,O
TZSJLOI,X,X,O,O,O,O
TZSJOIL,X,X,O,O,O,O
TZSJOLI,X,X,O,O,O,O
TZSOILJ,X,X,O,X,X,O
TZSOIJL,X,X,O,O,X,O
TZSOLIJ,X,X,O,X,X,O
TZSOLJI,X,X,O,X,X,O
TZSOJIL,X,X,O,O,X,O
TZSOJLI,X,X,O,O,X,O
TZOILJS,O,X,O,X,X,X
TZOILSJ,O,O,O,X,X,O
TZOIJLS,O,X,O,O,X,X
TZOIJSL,X,X,O,O,X,X
TZOISLJ,X,X,O,X,X,O
TZOISJL,X,X,O,O,X,O
TZOLIJS,O,X,O,X,X,X
