sequence,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoBO?sB6sBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jel/IvhF3gBcmBZoB6?sBOsBTqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBOnB8nBF?lB3qByxB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiBFlBc?sBetB3qB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBmiB1qBK?sBftBUqB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBiiB1qBm?sBUqB3sB,v115@GhB8HeC8CeA8CeC8BeB8CeA8Jex/IvhFThBFlBmnB3?qB0sBisB
LSITZJO,X,O,O,X,O,X,X
LSITZOJ,X,O,O,X,O,X,X
LSITOJZ,X,X,O,X,O,X,X
LSITOZJ,X,O,O,X,O,X,X
LSIJTZO,X,X,X,X,O,X,X
LSIJTOZ,X,X,X,X,O,X,X
LSIJZTO,X,X,O,O,O,X,X
LSIJZOT,X,X,O,O,O,X,X
LSIJOTZ,X,X,X,X,O,X,X
LSIJOZT,X,X,O,O,O,X,X
LSIZTJO,X,O,O,X,O,X,X
LSIZTOJ,X,O,O,X,O,X,X
LSIZJTO,X,O,O,X,O,X,X
LSIZJOT,X,X,O,X,O,X,X
LSIZOTJ,X,O,O,X,X,X,X
LSIZOJT,X,O,O,X,O,X,X
LSIOTJZ,X,X,O,X,O,X,X
LSIOTZJ,X,O,O,X,O,X,X
LSIOJTZ,X,X,X,X,O,X,X
LSIOJZT,X,X,O,O,O,X,X
LSIOZTJ,X,O,O,X,X,X,X
LSIOZJT,X,O,O,X,O,X,X
LSJTIZO,X,X,O,O,O,X,X
LSJTIOZ,X,X,O,O,O,X,X
LSJTZIO,X,X,O,O,O,X,X
LSJTZOI,X,X,O,O,O,X,X
LSJTOIZ,X,X,O,O,O,X,X
LSJTOZI,X,X,O,O,O,X,X
LSJITZO,X,X,X,X,O,X,X
LSJITOZ,X,X,X,X,O,X,X
LSJIZTO,X,X,O,O,O,X,X
LSJIZOT,X,X,O,O,O,X,X
LSJIOTZ,X,X,X,X,O,X,X
LSJIOZT,X,X,O,O,O,X,X
LSJZTIO,X,X,O,O,O,X,X
LSJZTOI,X,X,O,O,O,X,X
LSJZITO,X,X,O,O,O,X,X
LSJZIOT,X,X,O,O,O,X,X
LSJZOTI,X,X,O,O,O,X,X
LSJZOIT,X,X,O,O,O,X,X
LSJOTIZ,X,X,O,O,O,X,X
LSJOTZI,X,X,O,O,O,X,X
LSJOITZ,X,X,X,X,O,X,X
LSJOIZT,X,X,O,O,O,X,X
LSJOZTI,X,X,O,O,O,X,X
LSJOZIT,X,X,O,O,O,X,X
LSZTIJO,X,O,O,X,O,X,O
LSZTIOJ,X,O,O,X,O,X,O
LSZTJIO,X,O,O,X,O,X,O
LSZTJOI,X,X,O,X,O,X,O
LSZTOIJ,X,O,O,X,O,X,O
LSZTOJI,X,X,O,X,O,X,O
LSZITJO,X,O,O,X,O,X,X
LSZITOJ,X,O,O,X,O,X,X
LSZIJTO,X,O,O,X,O,X,X
LSZIJOT,X,X,O,X,O,X,X
LSZIOTJ,X,O,O,X,X,X,X
LSZIOJT,X,O,O,X,O,X,X
LSZJTIO,X,O,O,X,O,X,O
LSZJTOI,X,X,O,X,O,X,O
LSZJITO,X,O,O,X,O,X,X
LSZJIOT,X,X,O,X,O,X,X
LSZJOTI,X,X,O,X,O,X,O
LSZJOIT,X,X,O,X,O,X,X
LSZOTIJ,X,O,O,X,O,X,O
LSZOTJI,X,O,O,X,O,X,O
LSZOITJ,X,O,O,X,X,X,X
LSZOIJT,X,O,O,X,O,X,X
LSZOJTI,X,O,O,X,O,X,O
LSZOJIT,X,O,O,X,O,X,X
LSOTIJZ,X,X,O,O,O,X,X
LSOTIZJ,X,O,O,X,O,X,O
LSOTJIZ,X,X,O,O,O,X,X
LSOTJZI,X,X,O,O,O,X,X
LSOTZIJ,X,O,O,X,O,X,O
LSOTZJI,X,O,O,X,O,X,O
LSOITJZ,X,X,O,X,O,X,X
LSOITZJ,X,O,O,X,O,X,X
LSOIJTZ,X,X,X,X,O,X,X
LSOIJZT,X,X,O,O,O,X,X
LSOIZTJ,X,O,O,X,X,X,X
LSOIZJT,X,O,O,X,O,X,X
LSOJTIZ,X,X,O,O,O,X,X
LSOJTZI,X,X,O,O,O,X,X
LSOJITZ,X,X,X,X,O,X,X
LSOJIZT,X,X,O,O,O,X,X
LSOJZTI,X,X,O,O,O,X,X
LSOJZIT,X,X,O,O,O,X,X
LSOZTIJ,X,O,O,X,O,X,O
LSOZTJI,X,O,O,X,O,X,O
LSOZITJ,X,O,O,X,X,X,X
LSOZIJT,X,O,O,X,O,X,X
LSOZJTI,X,O,O,X,O,X,O
LSOZJIT,X,O,O,X,O,X,X
LZTIJSO,O,O,O,X,X,X,X
LZTIJOS,X,X,O,X,X,X,X
LZTISJO,O,O,O,X,O,X,X
LZTISOJ,X,O,O,X,O,X,X
LZTIOJS,X,O,O,X,X,X,X
LZTIOSJ,X,O,O,X,O,X,X
LZTJISO,O,O,O,X,X,X,X
LZTJIOS,X,X,O,X,X,X,X
LZTJSIO,O,O,O,X,X,X,X
LZTJSOI,X,X,O,X,X,X,X
LZTJOIS,X,X,O,X,X,X,X
LZTJOSI,X,X,O,X,X,X,O
LZTSIJO,O,O,O,X,O,X,X
LZTSIOJ,X,O,O,X,O,X,X
LZTSJIO,O,O,O,X,O,X,X
LZTSJOI,X,X,O,X,O,X,X
LZTSOIJ,X,O,O,X,O,X,X
LZTSOJI,X,X,O,X,O,X,X
LZTOIJS,X,O,O,X,X,X,X
LZTOISJ,X,O,O,X,O,X,X
LZTOJIS,X,O,O,X,X,X,X
LZTOJSI,X,O,O,X,X,X,O
LZTOSIJ,X,O,O,X,O,X,X
LZTOSJI,X,O,O,X,O,X,X
LZITJSO,O,O,O,X,X,X,X
LZITJOS,X,X,O,X,X,X,X
LZITSJO,O,O,O,X,O,X,X
LZITSOJ,X,O,O,X,O,X,X
LZITOJS,X,O,O,X,X,X,X
LZITOSJ,X,O,O,X,O,X,X
LZIJTSO,O,O,O,X,X,X,X
LZIJTOS,X,X,O,X,X,X,X
LZIJSTO,O,O,O,X,X,X,X
LZIJSOT,X,X,O,X,X,X,X
LZIJOTS,O,O,O,X,X,X,X
LZIJOST,O,O,O,X,X,X,X
LZISTJO,O,O,O,X,O,X,X
LZISTOJ,X,O,O,X,O,X,X
LZISJTO,O,O,O,X,O,X,X
LZISJOT,X,X,O,X,O,X,X
LZISOTJ,X,O,O,X,X,X,X
LZISOJT,X,O,O,X,O,X,X
LZIOTJS,O,O,O,X,X,X,X
LZIOTSJ,O,O,O,X,X,X,X
LZIOJTS,O,O,O,X,X,X,X
LZIOJST,O,O,O,X,X,X,X
LZIOSTJ,O,O,O,X,X,X,X
LZIOSJT,O,O,O,X,O,X,X
LZJTISO,O,O,O,X,X,X,X
LZJTIOS,X,X,O,X,X,X,X
LZJTSIO,O,O,O,X,X,X,X
LZJTSOI,X,X,O,X,X,X,X
LZJTOIS,X,X,O,X,X,X,X
LZJTOSI,X,X,O,X,X,X,O
LZJITSO,O,O,O,X,X,X,X
LZJITOS,X,X,O,X,X,X,X
LZJISTO,O,O,O,X,X,X,X
LZJISOT,X,X,O,X,X,X,X
LZJIOTS,O,O,O,X,X,X,X
LZJIOST,O,O,O,X,X,X,X
LZJSTIO,O,O,O,X,X,X,O
LZJSTOI,X,X,O,X,X,X,O
LZJSITO,O,O,O,X,X,X,X
LZJSIOT,X,X,O,X,X,X,X
LZJSOTI,X,X,O,X,X,X,O
LZJSOIT,X,X,O,X,X,X,X
LZJOTIS,O,O,O,X,X,X,X
LZJOTSI,O,O,O,X,X,X,O
LZJOITS,O,O,O,X,X,X,X
LZJOIST,O,O,O,X,X,X,X
LZJOSTI,O,O,O,X,X,X,O
LZJOSIT,O,O,O,X,X,X,X
LZSTIJO,O,O,O,X,O,X,O
LZSTIOJ,X,O,O,X,O,X,O
LZSTJIO,O,O,O,X,O,X,O
LZSTJOI,X,X,O,X,O,X,O
LZSTOIJ,X,O,O,X,O,X,O
LZSTOJI,X,X,O,X,O,X,O
LZSITJO,O,O,O,X,O,X,X
LZSITOJ,X,O,O,X,O,X,X
LZSIJTO,O,O,O,X,O,X,X
LZSIJOT,X,X,O,X,O,X,X
LZSIOTJ,X,O,O,X,X,X,X
LZSIOJT,X,O,O,X,O,X,X
LZSJTIO,O,O,O,X,O,X,O
LZSJTOI,X,X,O,X,O,X,O
LZSJITO,O,O,O,X,O,X,X
LZSJIOT,X,X,O,X,O,X,X
LZSJOTI,X,X,O,X,O,X,O
LZSJOIT,X,X,O,X,O,X,X
LZSOTIJ,X,O,O,X,O,X,O
LZSOTJI,X,O,O,X,O,X,O
LZSOITJ,X,O,O,X,X,X,X
LZSOIJT,X,O,O,X,O,X,X
LZSOJTI,X,O,O,X,O,X,O
LZSOJIT,X,O,O,X,O,X,X
LZOTIJS,O,O,O,X,X,X,X
LZOTISJ,O,O,O,X,O,X,X
LZOTJIS,O,O,O,X,X,X,X
LZOTJSI,O,O,O,X,X,X,O
LZOTSIJ,O,O,O,X,O,X,X
LZOTSJI,O,O,O,X,O,X,X
LZOITJS,O,O,O,X,X,X,X
LZOITSJ,O,O,O,X,X,X,X
LZOIJTS,O,O,O,X,X,X,X
LZOIJST,O,O,O,X,X,X,X
LZOISTJ,O,O,O,X,X,X,X
LZOISJT,O,O,O,X,O,X,X
LZOJTIS,O,O,O,X,X,X,X
LZOJTSI,O,O,O,X,X,X,O
LZOJITS,O,O,O,X,X,X,X
LZOJIST,O,O,O,X,X,X,X
LZOJSTI,O,O,O,X,X,X,O
LZOJSIT,O,O,O,X,X,X,X
LZOSTIJ,O,O,O,X,O,X,O
LZOSTJI,O,O,O,X,O,X,O
LZOSITJ,O,O,O,X,X,X,X
LZOSIJT,O,O,O,X,O,X,X
LZOSJTI,O,O,O,X,O,X,O
LZOSJIT,O,O,O,X,O,X,X
LOTIJSZ,X,X,X,X,O,O,X
LOTIJZS,O,O,O,O,X,X,X
LOTISJZ,X,X,X,X,O,X,X
LOTISZJ,X,O,O,X,O,X,X
LOTIZJS,O,O,O,X,X,X,X
LOTIZSJ,O,O,O,X,O,X,X
LOTJISZ,X,X,X,X,O,O,X
LOTJIZS,O,O,O,O,X,X,X
LOTJSIZ,X,X,X,X,O,O,X
LOTJSZI,X,X,X,X,O,O,X
LOTJZIS,O,O,O,O,X,O,X
LOTJZSI,O,O,O,O,X,O,X
LOTSIJZ,X,X,O,X,O,X,X
LOTSIZJ,X,O,O,X,O,X,X
LOTSJIZ,X,X,O,X,O,X,X
LOTSJZI,X,X,O,X,O,X,X
LOTSZIJ,X,O,O,X,O,X,X
LOTSZJI,X,O,O,X,O,X,X
LOTZIJS,O,O,O,X,X,X,X
LOTZISJ,O,O,O,X,O,X,X
LOTZJIS,O,O,O,X,X,X,X
LOTZJSI,O,O,O,X,X,X,O
LOTZSIJ,O,O,O,X,O,X,X
LOTZSJI,O,O,O,X,O,X,X
LOITJSZ,X,X,X,X,O,X,X
LOITJZS,O,O,O,X,X,X,X
LOITSJZ,X,X,X,X,O,X,X
LOITSZJ,X,O,O,X,O,X,X
LOITZJS,O,O,O,X,X,X,X
LOITZSJ,O,O,O,X,O,X,X
LOIJTSZ,X,X,X,X,X,O,X
LOIJTZS,O,O,X,X,X,O,X
LOIJSTZ,X,X,X,X,O,O,X
LOIJSZT,X,X,X,X,O,X,X
LOIJZTS,O,O,O,O,X,O,X
LOIJZST,O,O,O,O,X,X,X
LOISTJZ,X,X,O,X,O,X,X
LOISTZJ,X,O,O,X,O,X,X
LOISJTZ,X,X,X,X,O,X,X
LOISJZT,X,X,O,X,O,X,X
LOISZTJ,X,O,O,X,X,X,X
LOISZJT,X,O,O,X,O,X,X
LOIZTJS,O,O,O,X,X,X,X
LOIZTSJ,O,O,O,X,X,X,X
LOIZJTS,O,O,O,X,X,X,X
LOIZJST,O,O,O,X,X,X,X
LOIZSTJ,O,O,O,X,X,X,X
LOIZSJT,O,O,O,X,O,X,X
LOJTISZ,X,X,X,X,O,O,X
LOJTIZS,O,O,O,O,X,O,X
LOJTSIZ,X,X,X,X,O,O,X
LOJTSZI,X,X,X,X,O,O,X
LOJTZIS,O,O,O,O,X,O,X
LOJTZSI,O,O,O,O,X,O,X
LOJITSZ,X,X,X,X,X,O,X
LOJITZS,O,O,X,X,X,O,X
LOJISTZ,X,X,X,X,O,O,X
LOJISZT,X,X,X,X,O,X,X
LOJIZTS,O,O,O,O,X,O,X
LOJIZST,O,O,O,O,X,X,X
LOJSTIZ,X,X,O,O,O,O,X
LOJSTZI,X,X,O,O,O,O,X
LOJSITZ,X,X,X,X,O,O,X
LOJSIZT,X,X,O,O,O,X,X
LOJSZTI,X,X,O,O,O,X,X
LOJSZIT,X,X,O,O,O,X,X
LOJZTIS,O,O,O,O,X,O,X
LOJZTSI,O,O,O,O,X,O,X
LOJZITS,O,O,O,O,X,O,X
LOJZIST,O,O,O,O,X,X,X
LOJZSTI,O,O,O,O,X,X,X
LOJZSIT,O,O,O,O,X,X,X
LOSTIJZ,X,X,O,O,O,X,X
LOSTIZJ,X,O,O,X,O,X,O
LOSTJIZ,X,X,O,O,O,X,X
LOSTJZI,X,X,O,O,O,X,X
LOSTZIJ,X,O,O,X,O,X,O
LOSTZJI,X,O,O,X,O,X,O
LOSITJZ,X,X,O,X,O,X,X
LOSITZJ,X,O,O,X,O,X,X
LOSIJTZ,X,X,X,X,O,X,X
LOSIJZT,X,X,O,O,O,X,X
LOSIZTJ,X,O,O,X,X,X,X
LOSIZJT,X,O,O,X,O,X,X
LOSJTIZ,X,X,O,O,O,X,X
LOSJTZI,X,X,O,O,O,X,X
LOSJITZ,X,X,X,X,O,X,X
LOSJIZT,X,X,O,O,O,X,X
LOSJZTI,X,X,O,O,O,X,X
LOSJZIT,X,X,O,O,O,X,X
LOSZTIJ,X,O,O,X,O,X,O
LOSZTJI,X,O,O,X,O,X,O
LOSZITJ,X,O,O,X,X,X,X
LOSZIJT,X,O,O,X,O,X,X
LOSZJTI,X,O,O,X,O,X,O
LOSZJIT,X,O,O,X,O,X,X
LOZTIJS,O,O,O,X,X,X,X
LOZTISJ,O,O,O,X,O,X,X
LOZTJIS,O,O,O,X,X,X,X
LOZTJSI,O,O,O,X,X,X,O
LOZTSIJ,O,O,O,X,O,X,X
LOZTSJI,O,O,O,X,O,X,X
LOZITJS,O,O,O,X,X,X,X
LOZITSJ,O,O,O,X,X,X,X
LOZIJTS,O,O,O,X,X,X,X
LOZIJST,O,O,O,X,X,X,X
LOZISTJ,O,O,O,X,X,X,X
LOZISJT,O,O,O,X,O,X,X
LOZJTIS,O,O,O,X,X,X,X
LOZJTSI,O,O,O,X,X,X,O
LOZJITS,O,O,O,X,X,X,X
LOZJIST,O,O,O,X,X,X,X
LOZJSTI,O,O,O,X,X,X,O
LOZJSIT,O,O,O,X,X,X,X
LOZSTIJ,O,O,O,X,O,X,O
LOZSTJI,O,O,O,X,O,X,O
LOZSITJ,O,O,O,X,X,X,X
LOZSIJT,O,O,O,X,O,X,X
LOZSJTI,O,O,O,X,O,X,O
LOZSJIT,O,O,O,X,O,X,X
JTILSZO,X,X,X,X,O,O,X
JTILSOZ,X,X,X,X,O,O,X
JTILZSO,O,O,O,O,X,X,X
JTILZOS,X,X,O,O,X,O,X
JTILOSZ,X,X,X,X,O,O,X
JTILOZS,O,O,O,O,X,O,X
JTISLZO,X,X,X,X,O,O,X
JTISLOZ,X,X,X,X,O,O,X
JTISZLO,O,X,X,O,X,O,X
JTISZOL,O,X,X,O,X,O,X
JTISOLZ,X,X,X,X,X,O,X
JTISOZL,O,X,X,O,X,O,X
JTIZLSO,O,O,X,O,X,O,X
JTIZLOS,X,X,X,O,X,O,X
JTIZSLO,O,O,X,O,X,O,X
JTIZSOL,O,X,X,O,X,O,X
JTIZOLS,O,X,X,O,X,O,X
JTIZOSL,O,X,X,O,X,O,X
JTIOLSZ,X,X,X,X,O,O,X
JTIOLZS,O,O,O,O,X,O,X
JTIOSLZ,X,X,X,X,X,O,X
JTIOSZL,O,X,X,O,X,O,X
JTIOZLS,O,O,X,O,X,O,X
JTIOZSL,O,O,X,O,X,O,X
JTLISZO,X,X,X,X,O,O,X
JTLISOZ,X,X,X,X,O,O,X
JTLIZSO,O,O,O,O,X,O,X
JTLIZOS,X,X,O,O,X,O,X
JTLIOSZ,X,X,X,X,O,O,X
JTLIOZS,O,O,O,O,X,O,X
JTLSIZO,X,X,X,X,O,O,X
JTLSIOZ,X,X,X,X,O,O,X
JTLSZIO,X,X,X,X,O,O,X
JTLSZOI,X,X,X,X,O,O,X
JTLSOIZ,X,X,X,X,O,O,X
JTLSOZI,X,X,X,X,O,O,X
JTLZISO,O,O,O,O,X,O,X
JTLZIOS,X,X,O,O,X,O,X
JTLZSIO,O,O,O,O,X,O,X
JTLZSOI,X,X,O,O,X,O,X
JTLZOIS,X,X,O,O,X,O,X
JTLZOSI,X,X,O,O,X,O,X
JTLOISZ,X,X,X,X,O,O,X
JTLOIZS,O,O,O,O,X,O,X
JTLOSIZ,X,X,X,X,O,O,X
JTLOSZI,X,X,X,X,O,O,X
JTLOZIS,O,O,O,O,X,O,X
JTLOZSI,O,O,O,O,X,O,X
JTSILZO,X,X,X,O,O,O,X
JTSILOZ,X,X,X,O,O,O,X
JTSIZLO,O,X,X,O,X,O,X
JTSIZOL,O,X,X,O,X,O,X
JTSIOLZ,X,X,X,O,X,O,X
JTSIOZL,O,X,X,O,X,O,X
JTSLIZO,X,X,X,O,O,O,X
JTSLIOZ,X,X,X,O,O,O,X
JTSLZIO,X,X,X,O,O,O,X
JTSLZOI,X,X,X,O,O,O,X
JTSLOIZ,X,X,X,O,O,O,X
JTSLOZI,X,X,X,O,O,O,X
JTSZILO,O,X,X,O,X,O,X
JTSZIOL,O,X,X,O,X,O,X
JTSZLIO,O,X,X,O,X,O,X
JTSZLOI,X,X,X,O,X,O,X
JTSZOIL,O,X,X,O,X,O,X
JTSZOLI,X,X,X,O,X,O,X
JTSOILZ,X,X,X,O,X,O,X
JTSOIZL,O,X,X,O,X,O,X
JTSOLIZ,X,X,X,O,X,O,X
JTSOLZI,X,X,X,O,X,O,X
JTSOZIL,O,X,X,O,X,O,X
JTSOZLI,O,X,X,O,X,O,X
JTZILSO,O,O,X,O,X,O,X
JTZILOS,X,X,X,O,X,O,X
JTZISLO,O,O,X,O,X,O,X
JTZISOL,O,X,X,O,X,O,X
JTZIOLS,O,X,X,O,X,O,X
JTZIOSL,O,X,X,O,X,O,O
JTZLISO,O,O,X,O,X,O,X
JTZLIOS,X,X,X,O,X,O,X
JTZLSIO,O,O,X,O,X,O,X
JTZLSOI,X,X,X,O,X,O,X
JTZLOIS,X,X,X,O,X,O,X
JTZLOSI,X,X,X,O,X,O,O
JTZSILO,O,O,X,O,X,O,X
JTZSIOL,O,X,X,O,X,O,X
JTZSLIO,O,O,X,O,X,O,X
JTZSLOI,X,X,X,O,X,O,X
JTZSOIL,O,X,X,O,X,O,O
JTZSOLI,X,X,X,O,X,O,O
JTZOILS,O,X,X,O,X,O,X
JTZOISL,O,X,X,O,X,O,O
JTZOLIS,O,X,X,O,X,O,X
JTZOLSI,O,X,X,O,X,O,O
JTZOSIL,O,X,X,O,X,O,O
JTZOSLI,O,X,X,O,X,O,O
JTOILSZ,X,X,X,X,O,O,X
JTOILZS,O,O,O,O,X,O,X
JTOISLZ,X,X,X,X,X,O,X
JTOISZL,O,X,X,O,X,O,X
JTOIZLS,O,O,X,O,X,O,X
JTOIZSL,O,O,X,O,X,O,X
JTOLISZ,X,X,X,X,O,O,X
JTOLIZS,O,O,O,O,X,O,X
JTOLSIZ,X,X,X,X,O,O,X
JTOLSZI,X,X,X,X,O,O,X
JTOLZIS,O,O,O,O,X,O,X
JTOLZSI,O,O,O,O,X,O,X
JTOSILZ,X,X,X,O,X,O,X
JTOSIZL,O,X,X,O,X,O,X
JTOSLIZ,X,X,X,O,X,O,X
JTOSLZI,X,X,X,O,X,O,X
JTOSZIL,O,X,X,O,X,O,X
JTOSZLI,O,X,X,O,X,O,X
JTOZILS,O,O,X,O,X,O,X
JTOZISL,O,O,X,O,X,O,O
JTOZLIS,O,O,X,O,X,O,X
JTOZLSI,O,O,X,O,X,O,O
JTOZSIL,O,O,X,O,X,O,O
JTOZSLI,O,O,X,O,X,O,O
JITLSZO,X,X,X,X,O,O,X
JITLSOZ,X,X,X,X,O,O,X
JITLZSO,O,O,O,O,X,X,X
JITLZOS,X,X,O,O,X,O,X
JITLOSZ,X,X,X,X,O,O,X
JITLOZS,O,O,O,O,X,O,X
JITSLZO,X,X,X,X,O,O,X
JITSLOZ,X,X,X,X,O,O,X
JITSZLO,O,X,X,O,X,O,X
JITSZOL,O,X,X,O,X,O,X
JITSOLZ,X,X,X,X,X,O,X
JITSOZL,O,X,X,O,X,O,X
JITZLSO,O,O,X,O,X,O,X
JITZLOS,X,X,X,O,X,O,X
JITZSLO,O,O,X,O,X,O,X
JITZSOL,O,X,X,O,X,O,X
JITZOLS,O,X,X,O,X,O,X
JITZOSL,O,X,X,O,X,O,X
JITOLSZ,X,X,X,X,O,O,X
JITOLZS,O,O,O,O,X,O,X
JITOSLZ,X,X,X,X,X,O,X
JITOSZL,O,X,X,O,X,O,X
JITOZLS,O,O,X,O,X,O,X
JITOZSL,O,O,X,O,X,O,X
JILTSZO,X,X,X,X,O,O,X
JILTSOZ,X,X,X,X,O,O,X
JILTZSO,O,O,O,O,X,O,X
JILTZOS,X,X,O,O,X,O,X
JILTOSZ,X,X,X,X,O,O,X
JILTOZS,O,O,O,O,X,O,X
JILSTZO,X,X,X,X,O,X,X
JILSTOZ,X,X,X,X,O,O,X
JILSZTO,X,X,O,O,O,X,X
JILSZOT,X,X,O,O,O,X,X
JILSOTZ,X,X,X,X,O,O,X
JILSOZT,X,X,O,O,O,X,X
JILZTSO,O,O,O,O,X,X,X
JILZTOS,X,X,O,O,X,O,X
JILZSTO,O,O,O,O,X,X,X
JILZSOT,X,X,O,O,X,X,X
JILZOTS,O,O,O,O,X,O,X
JILZOST,O,O,O,O,X,X,X
JILOTSZ,X,X,X,X,X,O,X
JILOTZS,O,O,X,X,X,O,X
JILOSTZ,X,X,X,X,O,O,X
JILOSZT,X,X,X,X,O,X,X
JILOZTS,O,O,O,O,X,O,X
JILOZST,O,O,O,O,X,X,X
JISTLZO,X,X,X,O,O,O,X
JISTLOZ,X,X,X,O,O,O,X
JISTZLO,O,X,X,O,X,O,X
JISTZOL,O,X,X,O,X,O,X
JISTOLZ,X,X,X,O,X,O,X
JISTOZL,O,X,X,O,X,O,X
JISLTZO,X,X,X,X,O,X,X
JISLTOZ,X,X,X,X,O,O,X
JISLZTO,X,X,O,O,O,X,X
JISLZOT,X,X,O,O,O,X,X
JISLOTZ,X,X,X,X,O,O,X
JISLOZT,X,X,O,O,O,X,X
JISZTLO,O,X,X,O,X,X,X
JISZTOL,O,X,X,O,X,X,X
JISZLTO,O,X,X,O,X,X,X
JISZLOT,X,X,X,O,X,X,X
JISZOTL,O,X,X,O,X,X,X
JISZOLT,O,X,X,O,X,X,X
JISOTLZ,X,X,X,O,X,X,X
JISOTZL,O,X,X,O,X,X,X
JISOLTZ,X,X,X,X,X,O,X
JISOLZT,X,X,O,O,X,X,X
JISOZTL,O,X,X,O,X,X,X
JISOZLT,O,X,X,O,X,X,X
JIZTLSO,O,O,X,O,X,X,X
JIZTLOS,X,X,X,O,X,X,X
JIZTSLO,O,O,X,O,X,O,X
JIZTSOL,O,X,X,O,X,O,X
JIZTOLS,O,X,X,O,X,X,X
JIZTOSL,O,X,X,O,X,O,X
JIZLTSO,O,O,X,O,X,X,X
JIZLTOS,X,X,X,O,X,O,X
JIZLSTO,O,O,X,O,X,X,X
JIZLSOT,X,X,X,O,X,X,X
JIZLOTS,O,O,X,O,X,O,X
JIZLOST,O,O,X,O,X,X,X
JIZSTLO,O,O,X,O,X,X,X
JIZSTOL,O,X,X,O,X,X,X
JIZSLTO,O,O,X,O,X,X,X
JIZSLOT,X,X,X,O,X,X,X
JIZSOTL,O,X,X,O,X,X,X
JIZSOLT,O,X,X,O,X,X,X
JIZOTLS,O,O,X,O,X,X,X
JIZOTSL,O,O,X,O,X,X,X
JIZOLTS,O,O,X,O,X,O,X
JIZOLST,O,O,X,O,X,X,X
JIZOSTL,O,O,X,O,X,X,X
JIZOSLT,O,O,X,O,X,X,X
JIOTLSZ,X,X,X,X,X,O,X
JIOTLZS,O,O,X,O,X,O,X
JIOTSLZ,X,X,X,X,X,O,X
JIOTSZL,O,X,X,O,X,O,X
JIOTZLS,O,O,X,O,X,O,X
JIOTZSL,O,O,X,O,X,O,X
JIOLTSZ,X,X,X,X,X,O,X
JIOLTZS,O,O,X,X,X,O,X
JIOLSTZ,X,X,X,X,O,O,X
JIOLSZT,X,X,X,X,O,X,X
JIOLZTS,O,O,O,O,X,O,X
JIOLZST,O,O,O,O,X,X,X
JIOSTLZ,X,X,X,O,X,X,X
JIOSTZL,O,X,X,O,X,X,X
JIOSLTZ,X,X,X,X,X,O,X
JIOSLZT,X,X,X,O,X,X,X
JIOSZTL,O,X,X,O,X,X,X
JIOSZLT,O,X,X,O,X,X,X
JIOZTLS,O,O,X,O,X,X,X
JIOZTSL,O,O,X,O,X,X,X
JIOZLTS,O,O,X,O,X,O,X
JIOZLST,O,O,X,O,X,X,X
JIOZSTL,O,O,X,O,X,X,X
JIOZSLT,O,O,X,O,X,X,X
JLTISZO,X,X,X,X,O,O,X
JLTISOZ,X,X,X,X,O,O,X
JLTIZSO,O,O,O,O,X,O,X
JLTIZOS,X,X,O,O,X,O,X
JLTIOSZ,X,X,X,X,O,O,X
JLTIOZS,O,O,O,O,X,O,X
JLTSIZO,X,X,X,X,O,O,X
JLTSIOZ,X,X,X,X,O,O,X
JLTSZIO,X,X,X,X,O,O,X
JLTSZOI,X,X,X,X,O,O,X
JLTSOIZ,X,X,X,X,O,O,X
JLTSOZI,X,X,X,X,O,O,X
JLTZISO,O,O,O,O,X,O,X
JLTZIOS,X,X,O,O,X,O,X
JLTZSIO,O,O,O,O,X,O,X
JLTZSOI,X,X,O,O,X,O,X
JLTZOIS,X,X,O,O,X,O,X
JLTZOSI,X,X,O,O,X,O,X
JLTOISZ,X,X,X,X,O,O,X
JLTOIZS,O,O,O,O,X,O,X
JLTOSIZ,X,X,X,X,O,O,X
JLTOSZI,X,X,X,X,O,O,X
JLTOZIS,O,O,O,O,X,O,X
JLTOZSI,O,O,O,O,X,O,X
JLITSZO,X,X,X,X,O,O,X
JLITSOZ,X,X,X,X,O,O,X
JLITZSO,O,O,O,O,X,O,X
JLITZOS,X,X,O,O,X,O,X
JLITOSZ,X,X,X,X,O,O,X
JLITOZS,O,O,O,O,X,O,X
JLISTZO,X,X,X,X,O,X,X
JLISTOZ,X,X,X,X,O,O,X
JLISZTO,X,X,O,O,O,X,X
JLISZOT,X,X,O,O,O,X,X
JLISOTZ,X,X,X,X,O,O,X
JLISOZT,X,X,O,O,O,X,X
JLIZTSO,O,O,O,O,X,X,X
JLIZTOS,X,X,O,O,X,O,X
JLIZSTO,O,O,O,O,X,X,X
JLIZSOT,X,X,O,O,X,X,X
JLIZOTS,O,O,O,O,X,O,X
JLIZOST,O,O,O,O,X,X,X
JLIOTSZ,X,X,X,X,X,O,X
JLIOTZS,O,O,X,X,X,O,X
JLIOSTZ,X,X,X,X,O,O,X
JLIOSZT,X,X,X,X,O,X,X
JLIOZTS,O,O,O,O,X,O,X
