sequence,v115@PhA8FeB8AeA8AeC8AeE8Kei/IvhF3gBzhBunB5oB1p?B8qB,v115@PhA8FeB8AeA8AeC8AeE8KeKEJvhFflBlgBzhBunB5o?B8qB
ILTOSJZ,X,X
ILTOSZJ,X,X
ILTOZJS,X,X
ILTOZSJ,X,X
ILJTSZO,X,X
ILJTSOZ,X,X
ILJTZSO,X,X
ILJTZOS,X,X
ILJTOSZ,X,X
ILJTOZS,X,X
ILJSTZO,X,X
ILJSTOZ,X,X
ILJSZTO,X,O
ILJSZOT,X,O
ILJSOTZ,X,X
ILJSOZT,X,O
ILJZTSO,X,X
ILJZTOS,X,X
ILJZSTO,X,O
ILJZSOT,X,O
ILJZOTS,X,X
ILJZOST,X,O
ILJOTSZ,X,X
ILJOTZS,X,X
ILJOSTZ,X,X
ILJOSZT,X,O
ILJOZTS,X,X
ILJOZST,X,O
ILSTJZO,X,X
ILSTJOZ,X,X
ILSTZJO,X,X
ILSTZOJ,X,X
ILSTOJZ,X,X
ILSTOZJ,X,X
ILSJTZO,X,X
ILSJTOZ,X,X
ILSJZTO,X,O
ILSJZOT,X,O
ILSJOTZ,X,X
ILSJOZT,X,O
ILSZTJO,X,O
ILSZTOJ,X,O
ILSZJTO,X,O
ILSZJOT,X,O
ILSZOTJ,X,O
ILSZOJT,X,O
ILSOTJZ,X,X
ILSOTZJ,X,X
ILSOJTZ,X,X
ILSOJZT,X,O
ILSOZTJ,X,O
ILSOZJT,X,O
ILZTJSO,X,X
ILZTJOS,X,X
ILZTSJO,X,X
ILZTSOJ,X,X
ILZTOJS,X,X
ILZTOSJ,X,X
ILZJTSO,X,X
ILZJTOS,X,X
ILZJSTO,X,O
ILZJSOT,X,O
ILZJOTS,X,X
ILZJOST,X,O
ILZSTJO,X,O
ILZSTOJ,X,O
ILZSJTO,X,O
ILZSJOT,X,O
ILZSOTJ,X,O
ILZSOJT,X,O
ILZOTJS,X,X
ILZOTSJ,X,X
ILZOJTS,X,X
ILZOJST,X,O
ILZOSTJ,X,O
ILZOSJT,X,O
ILOTJSZ,X,X
ILOTJZS,X,X
ILOTSJZ,X,X
ILOTSZJ,X,X
ILOTZJS,X,X
ILOTZSJ,X,X
ILOJTSZ,X,X
ILOJTZS,X,X
ILOJSTZ,X,X
ILOJSZT,X,O
ILOJZTS,X,X
ILOJZST,X,O
ILOSTJZ,X,X
ILOSTZJ,X,X
ILOSJTZ,X,X
ILOSJZT,X,O
ILOSZTJ,X,O
ILOSZJT,X,O
ILOZTJS,X,X
ILOZTSJ,X,X
ILOZJTS,X,X
ILOZJST,X,O
ILOZSTJ,X,O
ILOZSJT,X,O
IJTLSZO,X,X
IJTLSOZ,X,X
IJTLZSO,O,X
IJTLZOS,O,X
IJTLOSZ,X,X
IJTLOZS,O,X
IJTSLZO,X,X
IJTSLOZ,X,X
IJTSZLO,X,X
IJTSZOL,X,X
IJTSOLZ,X,X
IJTSOZL,X,X
IJTZLSO,O,X
IJTZLOS,O,X
IJTZSLO,O,X
IJTZSOL,O,X
IJTZOLS,O,X
IJTZOSL,O,X
IJTOLSZ,X,X
IJTOLZS,O,X
IJTOSLZ,X,X
IJTOSZL,X,X
IJTOZLS,O,X
IJTOZSL,O,X
IJLTSZO,X,X
IJLTSOZ,X,X
IJLTZSO,X,X
IJLTZOS,X,X
IJLTOSZ,X,X
IJLTOZS,X,X
IJLSTZO,X,X
IJLSTOZ,X,X
IJLSZTO,X,O
IJLSZOT,X,O
IJLSOTZ,X,X
IJLSOZT,X,O
IJLZTSO,X,X
IJLZTOS,X,X
IJLZSTO,X,O
IJLZSOT,X,O
IJLZOTS,X,X
IJLZOST,X,O
IJLOTSZ,X,X
IJLOTZS,X,X
IJLOSTZ,X,X
IJLOSZT,X,O
IJLOZTS,X,X
IJLOZST,X,O
IJSTLZO,X,X
IJSTLOZ,X,X
IJSTZLO,X,X
IJSTZOL,X,X
IJSTOLZ,X,X
IJSTOZL,X,X
IJSLTZO,X,X
IJSLTOZ,X,X
IJSLZTO,X,X
IJSLZOT,X,X
IJSLOTZ,X,X
IJSLOZT,X,X
IJSZTLO,X,X
IJSZTOL,X,X
IJSZLTO,X,X
IJSZLOT,X,X
IJSZOTL,X,X
IJSZOLT,X,X
IJSOTLZ,X,X
IJSOTZL,X,X
IJSOLTZ,X,X
IJSOLZT,X,X
IJSOZTL,X,X
IJSOZLT,X,X
IJZTLSO,O,X
IJZTLOS,O,X
IJZTSLO,O,X
IJZTSOL,O,X
IJZTOLS,O,X
IJZTOSL,O,X
IJZLTSO,X,X
IJZLTOS,X,X
IJZLSTO,X,O
IJZLSOT,X,O
IJZLOTS,X,X
IJZLOST,X,O
IJZSTLO,O,X
IJZSTOL,O,X
IJZSLTO,X,X
IJZSLOT,X,X
IJZSOTL,O,X
IJZSOLT,X,X
IJZOTLS,O,X
IJZOTSL,O,X
IJZOLTS,X,X
IJZOLST,X,O
IJZOSTL,O,X
IJZOSLT,X,X
IJOTLSZ,X,X
IJOTLZS,O,X
IJOTSLZ,X,X
IJOTSZL,X,X
IJOTZLS,O,X
IJOTZSL,O,X
IJOLTSZ,X,X
IJOLTZS,X,X
IJOLSTZ,X,X
IJOLSZT,X,O
IJOLZTS,X,X
IJOLZST,X,O
IJOSTLZ,X,X
IJOSTZL,X,X
IJOSLTZ,X,X
IJOSLZT,X,X
IJOSZTL,X,X
IJOSZLT,X,X
IJOZTLS,O,X
IJOZTSL,O,X
IJOZLTS,X,X
IJOZLST,X,O
IJOZSTL,O,X
IJOZSLT,X,X
ISTLJZO,X,X
ISTLJOZ,X,X
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,X,X
ISTLOZJ,X,X
ISTJLZO,X,X
ISTJLOZ,X,X
ISTJZLO,X,X
ISTJZOL,X,X
ISTJOLZ,X,X
ISTJOZL,X,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,X
ISTZJOL,X,X
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,X,X
ISTOLZJ,X,X
ISTOJLZ,X,X
