sequence,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBOqB6rBzqB,v115@QhB8EeF8DeD8Je/EJvhFRgBUiBFjBKqBzlB+rB,v115@QhB8EeF8DeD8Je/EJvhFalBulBUiBFjBTmBxvB
TSOLIJZ,X,X,X
TSOLIZJ,O,X,X
TSOLJIZ,O,X,X
TSOLJZI,O,X,X
TSOLZIJ,O,X,X
TSOLZJI,O,X,X
TSOJILZ,X,X,X
TSOJIZL,O,X,X
TSOJLIZ,O,X,X
TSOJLZI,O,X,X
TSOJZIL,O,X,X
TSOJZLI,X,X,X
TSOZILJ,O,X,X
TSOZIJL,O,X,X
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,O,X,X
TSOZJLI,X,X,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,X,O
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,O
TZISLOJ,X,X,O
TZISJLO,X,X,O
TZISJOL,X,X,X
TZISOLJ,X,X,O
TZISOJL,X,X,O
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,O
TZIOSLJ,X,X,O
TZIOSJL,X,X,O
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,O,O,X
TZLJSOI,O,O,X
TZLJOIS,X,X,X
TZLJOSI,X,O,X
TZLSIJO,O,O,X
TZLSIOJ,O,X,X
TZLSJIO,O,O,X
TZLSJOI,O,O,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,X,X,X
TZLOISJ,X,X,X
TZLOJIS,X,X,X
TZLOJSI,O,X,X
TZLOSIJ,O,X,X
TZLOSJI,O,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
