sequence,v115@ThA8EeB8AeI8JeZEJvhFupBFmBXnBToB0qBSxB,v115@ThA8EeB8AeI8Jei/IvhFRhB+nBTjBcpBlqB3rB,v115@ThA8EeB8AeI8JeZEJvhFupBfsB6sBToBlqBUrB
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,O
TOILJZS,X,X,X
TOILSJZ,X,X,O
TOILSZJ,X,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,X,O
TOIJLZS,X,X,X
TOIJSLZ,X,X,O
TOIJSZL,X,X,X
TOIJZLS,X,O,X
TOIJZSL,X,X,X
TOISLJZ,X,X,O
TOISLZJ,X,X,X
TOISJLZ,X,X,O
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,X,O,X
TOIZLSJ,X,X,X
TOIZJLS,X,O,X
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,X,X,O
TOLIJZS,X,X,X
TOLISJZ,X,X,O
TOLISZJ,X,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,X,X,O
TOLJIZS,X,X,X
TOLJSIZ,X,X,O
TOLJSZI,X,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,X,X,O
TOLSIZJ,X,X,X
TOLSJIZ,X,X,O
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,X,X,O
TOJILZS,X,X,X
TOJISLZ,X,X,O
TOJISZL,X,X,X
TOJIZLS,X,O,X
TOJIZSL,X,X,X
TOJLISZ,X,X,O
TOJLIZS,X,X,X
TOJLSIZ,X,X,O
TOJLSZI,X,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,X,X,O
TOJSIZL,X,O,X
TOJSLIZ,X,X,O
TOJSLZI,X,X,X
TOJSZIL,X,O,X
TOJSZLI,X,O,X
TOJZILS,X,O,X
TOJZISL,X,X,X
TOJZLIS,X,O,X
TOJZLSI,X,O,X
TOJZSIL,X,O,X
TOJZSLI,X,O,X
TOSILJZ,X,X,O
TOSILZJ,X,X,X
TOSIJLZ,X,X,O
TOSIJZL,X,X,X
TOSIZLJ,X,X,X
TOSIZJL,X,X,X
TOSLIJZ,X,X,O
TOSLIZJ,X,X,X
TOSLJIZ,X,X,O
TOSLJZI,X,X,X
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,X,X,O
TOSJIZL,X,X,X
TOSJLIZ,X,X,O
TOSJLZI,X,X,X
TOSJZIL,X,X,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,X
TOSZJLI,X,X,X
TOZILJS,X,O,X
TOZILSJ,X,X,X
TOZIJLS,X,O,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,O,X
TOZLISJ,X,X,X
TOZLJIS,X,O,X
TOZLJSI,X,O,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,O,X
TOZJISL,X,X,X
TOZJLIS,X,O,X
TOZJLSI,X,O,X
TOZJSIL,X,O,X
TOZJSLI,X,O,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,O
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,X,O
ITLJOZS,X,X,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,O
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,O
ITLSOZJ,X,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,O
ITLOJZS,X,X,X
ITLOSJZ,X,X,O
ITLOSZJ,X,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,O
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,X,O
ITJLOZS,X,X,X
ITJSLZO,X,X,X
ITJSLOZ,X,X,O
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,O
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,O
ITJOLZS,X,X,X
ITJOSLZ,X,X,O
ITJOSZL,X,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,O
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,O
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,O
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,O
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,O
ITSOLZJ,X,X,X
ITSOJLZ,X,X,O
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,X,O
ITOLJZS,X,X,X
ITOLSJZ,X,X,O
ITOLSZJ,X,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,X,X,O
ITOJLZS,X,X,X
ITOJSLZ,X,X,O
ITOJSZL,X,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,X,X,O
ITOSLZJ,X,X,X
ITOSJLZ,X,X,O
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,X,X,X
ILTJSOZ,X,X,O
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,X,O
ILTJOZS,X,X,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,O
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,O
ILTSOZJ,X,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,X,O
ILTOJZS,X,X,X
ILTOSJZ,X,X,O
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,O
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,O
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,O,X,O
ILJSZTO,O,X,X
ILJSZOT,O,X,X
ILJSOTZ,O,X,O
ILJSOZT,O,X,X
ILJZTSO,O,X,X
ILJZTOS,O,X,X
ILJZSTO,O,X,X
ILJZSOT,O,X,X
ILJZOTS,O,X,X
ILJZOST,O,X,X
ILJOTSZ,X,X,O
ILJOTZS,X,X,X
ILJOSTZ,O,X,O
ILJOSZT,O,X,X
ILJOZTS,O,X,X
ILJOZST,O,X,X
ILSTJZO,X,X,X
ILSTJOZ,O,X,O
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,O,X,O
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,O,X,O
ILSJZTO,O,X,X
ILSJZOT,O,X,X
ILSJOTZ,O,X,O
ILSJOZT,O,X,X
ILSZTJO,O,X,X
ILSZTOJ,O,X,X
ILSZJTO,O,X,X
ILSZJOT,O,X,X
ILSZOTJ,O,X,X
ILSZOJT,O,X,X
ILSOTJZ,O,X,O
ILSOTZJ,X,X,X
ILSOJTZ,O,X,O
ILSOJZT,O,X,X
ILSOZTJ,O,X,X
ILSOZJT,O,X,X
ILZTJSO,O,X,X
ILZTJOS,O,X,X
ILZTSJO,O,X,X
ILZTSOJ,O,X,X
ILZTOJS,O,X,X
ILZTOSJ,O,X,X
ILZJTSO,O,X,X
ILZJTOS,O,X,X
ILZJSTO,O,X,X
ILZJSOT,O,X,X
ILZJOTS,O,X,X
ILZJOST,O,X,X
ILZSTJO,O,X,X
ILZSTOJ,O,X,X
ILZSJTO,O,X,X
ILZSJOT,O,X,X
ILZSOTJ,O,X,X
ILZSOJT,O,X,X
ILZOTJS,O,X,X
ILZOTSJ,O,X,X
ILZOJTS,O,X,X
ILZOJST,O,X,X
ILZOSTJ,O,X,X
ILZOSJT,O,X,X
