sequence,v115@ShC8FeG8AeB8JeOEJvhFXgBxhBTjBUmBFnBCtB,v115@ShC8FeG8AeB8JeOEJvhFXgB0iB6oBRmBTmBlsB,v115@ShC8FeG8AeB8JeOEJvhFXgBxiBFmB6sBTtB0rB,v115@ShC8FeG8AeB8JeOEJvhFXgBVmBUiBToBxrBCtB
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,X,X,X
TOJISZL,X,X,X,O
TOJIZLS,X,X,X,X
TOJIZSL,X,X,X,O
TOJLISZ,X,X,O,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,X,O,X
TOJLSZI,X,X,O,X
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,X
TOJSILZ,X,X,X,X
TOJSIZL,X,X,X,O
TOJSLIZ,X,X,O,X
TOJSLZI,X,X,O,X
TOJSZIL,X,X,X,O
TOJSZLI,X,X,X,X
TOJZILS,X,X,X,X
TOJZISL,X,X,X,X
TOJZLIS,X,X,X,X
TOJZLSI,X,X,X,X
TOJZSIL,X,X,X,O
TOJZSLI,X,X,X,X
TOSILJZ,X,X,X,X
TOSILZJ,X,X,X,X
TOSIJLZ,X,X,X,X
TOSIJZL,X,X,X,O
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,O
TOSLIJZ,X,X,O,X
TOSLIZJ,X,X,X,X
TOSLJIZ,X,X,O,X
TOSLJZI,X,X,O,X
TOSLZIJ,X,X,X,X
TOSLZJI,X,X,X,X
TOSJILZ,X,X,X,X
TOSJIZL,X,X,X,O
TOSJLIZ,X,X,O,X
TOSJLZI,X,X,O,X
TOSJZIL,X,X,X,O
TOSJZLI,X,X,X,X
TOSZILJ,X,X,X,X
TOSZIJL,X,X,X,X
TOSZLIJ,X,X,X,X
TOSZLJI,X,X,X,X
TOSZJIL,X,X,X,O
TOSZJLI,X,X,X,X
TOZILJS,X,X,X,X
TOZILSJ,X,X,X,X
TOZIJLS,X,X,X,X
TOZIJSL,X,X,X,X
TOZISLJ,X,X,X,X
TOZISJL,X,X,X,X
TOZLIJS,X,X,X,X
TOZLISJ,X,X,X,X
TOZLJIS,X,X,X,X
TOZLJSI,X,X,X,X
TOZLSIJ,X,X,X,X
TOZLSJI,X,X,X,X
TOZJILS,X,X,X,X
TOZJISL,X,X,X,X
TOZJLIS,X,X,X,X
TOZJLSI,X,X,X,X
TOZJSIL,X,X,X,O
TOZJSLI,X,X,X,X
TOZSILJ,X,X,X,X
TOZSIJL,X,X,X,X
TOZSLIJ,X,X,X,X
TOZSLJI,X,X,X,X
TOZSJIL,X,X,X,O
TOZSJLI,X,X,X,X
ITLJSZO,X,O,X,X
ITLJSOZ,X,X,X,X
ITLJZSO,X,O,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,O,X,X
ITLSJOZ,X,X,X,X
ITLSZJO,X,O,X,X
ITLSZOJ,X,X,X,X
ITLSOJZ,X,X,X,X
ITLSOZJ,X,X,X,X
ITLZJSO,X,O,X,X
ITLZJOS,X,X,X,X
ITLZSJO,X,O,X,X
ITLZSOJ,X,X,X,X
ITLZOJS,X,X,X,X
ITLZOSJ,X,X,X,X
ITLOJSZ,X,X,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,X,X,X,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,O,X,X
ITJLSOZ,X,X,X,X
ITJLZSO,X,O,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,O,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,O,X,X
ITJSZOL,X,X,X,O
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,O
ITJZLSO,X,O,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,O,X,X
ITJZSOL,X,X,X,O
ITJZOLS,X,X,X,X
ITJZOSL,X,X,X,O
ITJOLSZ,X,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,O
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,O
ITSLJZO,X,O,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,X,O,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,O,X,X
ITSJLOZ,X,X,X,X
ITSJZLO,X,O,X,X
ITSJZOL,X,X,X,O
ITSJOLZ,X,X,X,X
ITSJOZL,X,X,X,O
ITSZLJO,X,O,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,X,O,X,X
ITSZJOL,X,X,X,O
ITSZOLJ,X,X,X,X
ITSZOJL,X,X,X,O
ITSOLJZ,X,X,X,X
ITSOLZJ,X,X,X,X
ITSOJLZ,X,X,X,X
ITSOJZL,X,X,X,O
ITSOZLJ,X,X,X,X
ITSOZJL,X,X,X,O
ITZLJSO,X,O,X,X
ITZLJOS,X,X,X,X
ITZLSJO,X,O,X,X
ITZLSOJ,X,X,X,X
ITZLOJS,X,X,X,X
ITZLOSJ,X,X,X,X
ITZJLSO,X,O,X,X
ITZJLOS,X,X,X,X
ITZJSLO,X,O,X,X
ITZJSOL,X,X,X,O
ITZJOLS,X,X,X,X
ITZJOSL,X,X,X,O
ITZSLJO,X,O,X,X
