sequence,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hB6?sBXqBzrB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFukB1lB0hBX?qBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je/EJvhFRgBFiBTlB0?mB2uBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhFCgB0hBllBz?pBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Je2EJvhFRgB1mBcqBX?nBTpBSxB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBTkBllBy?uBGsBXsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lB6?sBzrBFqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBlkB3lB2?uBCsBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeT/IvhFxhBllBUnBi?pBWxBXqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBupB3lBC?sBFqBTsB,v115@FhB8GeC8DeA8CeB8CeB8CeB8JeZEJvhF0hBfqBllBT?nBWxBCqB,v115@FhB8GeC8DeA8CeB8CeB8CeB8Jex/IvhF0hBKpBfqBl?lBTnBWxB
TLOJSZI,X,X,O,O,X,O,X,X,O,X,X,X
TLOJZIS,O,X,O,O,O,O,X,X,O,X,X,X
TLOJZSI,X,X,O,O,O,O,X,X,O,X,X,X
TLOSIJZ,O,O,X,O,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,O,X,X,X,X,X,X
TLOSJIZ,O,O,O,O,X,O,X,X,X,X,X,X
TLOSJZI,O,O,O,O,X,O,X,X,O,X,X,X
TLOSZIJ,O,O,X,O,O,O,X,X,X,X,X,X
TLOSZJI,O,O,X,X,O,O,X,X,X,X,X,X
TLOZIJS,O,X,O,O,O,O,X,X,X,X,X,X
TLOZISJ,O,O,X,O,O,O,X,X,X,X,X,X
TLOZJIS,O,X,O,O,O,O,X,X,O,X,X,X
TLOZJSI,X,X,O,O,O,O,X,X,O,X,X,X
TLOZSIJ,O,O,X,O,O,O,X,X,X,X,X,X
TLOZSJI,O,O,O,X,O,O,X,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,O,X,O,X,X
TJILSOZ,X,O,X,X,X,X,X,O,X,X,X,X
TJILZSO,O,O,X,X,X,X,X,O,O,O,X,X
TJILZOS,O,X,X,X,X,O,X,X,O,X,X,X
TJILOSZ,X,X,X,X,X,O,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,O,X,X,O,X,X,X
TJISLZO,O,O,O,X,X,X,X,O,X,O,O,X
TJISLOZ,O,O,O,X,X,X,X,O,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,O,X,O,O,X
TJISZOL,O,O,O,X,X,X,O,O,X,X,O,X
TJISOLZ,O,O,O,X,X,X,X,O,X,X,X,X
TJISOZL,O,O,O,X,X,X,O,O,X,X,O,X
TJIZLSO,O,X,X,X,X,X,X,X,O,X,X,X
TJIZLOS,O,X,X,X,X,O,X,X,O,X,X,X
TJIZSLO,O,O,X,X,X,X,X,X,O,X,O,X
TJIZSOL,O,O,X,X,X,X,X,X,X,X,O,X
TJIZOLS,O,X,X,O,X,X,X,X,O,X,X,X
TJIZOSL,O,X,X,O,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,O,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,O,O,X,X,X,X,X,X,X,X
TJIOSZL,O,X,O,O,X,X,O,X,X,X,X,X
TJIOZLS,O,X,X,O,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,O,X,X,O,X,X,X,X,X
TJLISZO,X,O,O,X,X,X,X,O,X,O,X,X
TJLISOZ,X,O,O,X,X,X,X,O,X,X,X,X
TJLIZSO,O,O,X,X,X,X,X,O,O,O,X,X
TJLIZOS,O,X,X,X,X,O,X,X,O,X,X,X
TJLIOSZ,X,X,O,X,X,O,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,O,X,X,O,X,X,X
TJLSIZO,X,O,O,X,X,X,X,O,X,O,O,O
TJLSIOZ,X,O,O,X,X,X,X,O,X,X,X,O
TJLSZIO,X,O,O,X,X,X,X,O,O,O,O,O
TJLSZOI,X,O,O,X,X,O,X,O,O,X,X,O
TJLSOIZ,X,O,O,X,X,O,X,O,X,X,X,O
TJLSOZI,X,O,O,X,X,O,X,O,O,X,X,O
TJLZISO,O,O,O,X,X,X,X,O,O,O,X,X
TJLZIOS,O,X,O,X,X,O,X,X,O,X,X,X
TJLZSIO,X,O,O,X,X,X,X,O,O,O,O,O
TJLZSOI,X,O,O,X,X,O,X,O,O,X,X,O
TJLZOIS,X,X,O,O,X,O,X,X,O,X,X,X
TJLZOSI,X,X,O,O,X,O,X,O,O,X,X,X
TJLOISZ,X,X,O,O,X,O,X,X,X,X,X,X
TJLOIZS,O,X,X,O,X,O,X,X,O,X,X,X
TJLOSIZ,X,X,O,O,X,O,X,O,X,X,X,X
TJLOSZI,X,X,O,O,X,O,X,O,O,X,X,X
TJLOZIS,O,X,O,O,X,O,X,X,O,X,X,X
TJLOZSI,X,X,O,O,X,O,X,O,O,X,X,X
TJSILZO,O,O,O,X,X,X,X,O,X,O,O,X
TJSILOZ,O,O,O,X,X,X,X,O,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X,O,X,O,O,X
TJSIZOL,O,O,O,X,X,X,O,O,X,X,O,X
TJSIOLZ,O,O,O,X,X,X,X,O,X,X,X,X
TJSIOZL,O,O,O,X,X,X,O,O,X,X,O,X
TJSLIZO,O,O,O,X,X,X,X,O,X,O,O,X
TJSLIOZ,O,O,O,X,X,X,X,O,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,O,O,O,O,X
TJSLZOI,X,O,O,X,X,O,X,O,O,X,X,X
TJSLOIZ,O,O,O,X,X,O,X,O,X,X,X,X
TJSLOZI,O,O,O,X,X,O,X,O,O,X,X,X
TJSZILO,O,O,O,X,X,X,X,O,O,O,O,X
TJSZIOL,O,O,O,X,X,X,O,O,X,X,O,X
TJSZLIO,O,O,O,X,X,X,X,O,O,X,O,X
TJSZLOI,X,O,O,X,X,O,X,O,O,X,X,X
TJSZOIL,O,O,O,O,X,X,X,O,X,X,O,X
TJSZOLI,O,X,O,O,X,X,X,O,X,X,X,X
TJSOILZ,O,O,O,O,X,X,X,O,X,X,X,X
TJSOIZL,O,O,O,O,X,X,O,O,X,X,O,X
TJSOLIZ,O,O,O,O,X,X,X,O,X,X,X,X
TJSOLZI,O,O,O,O,X,X,X,O,X,X,X,X
TJSOZIL,O,O,O,O,X,X,O,O,X,X,O,X
TJSOZLI,O,X,O,O,X,X,X,O,X,X,X,X
TJZILSO,O,X,X,X,O,X,X,X,O,X,X,X
