sequence,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhFXiBTjBllBq?sBUqBmrB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JexAJvhF6nBTjBllB3?mBUqB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFChBTjBxmB3?qBFsB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeFCJvhFTjBfsBqsBR?qBOqB8qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBTmBi?nBUqB1xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFRhBGjBimBU?qBFsBzsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je/FJvhFFhBSnBTjBU?qBxrB2xB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFWnBTjBRqBF?sB3qB0sB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeiAJvhFTjBWsBRqB3?qB0sBFsB,v115@9gB8HeB8HeA8GeD8BeB8CeA8Je2FJvhFCiBTjBRqBF?sB0sB3qB,v115@9gB8HeB8HeA8GeD8BeB8CeA8JeeFJvhFRhBcnBTjBS?rB1xB3qB
IZOJLST,O,X,X,X,X,X,O,X,O,X,X
IZOJSTL,X,X,X,X,O,X,O,X,O,X,X
IZOJSLT,X,X,X,X,O,X,O,X,O,X,X
IZOSTLJ,X,O,X,X,O,X,O,X,X,X,X
IZOSTJL,X,O,X,X,O,X,O,X,X,X,X
IZOSLTJ,X,O,X,O,O,X,O,X,X,X,X
IZOSLJT,X,O,X,O,O,X,O,X,X,X,X
IZOSJTL,X,X,X,X,O,X,O,X,X,X,X
IZOSJLT,X,O,X,X,O,X,O,X,X,X,X
IOTLJSZ,X,X,X,X,X,X,X,O,X,X,X
IOTLJZS,X,X,X,X,O,X,X,X,X,O,X
IOTLSJZ,X,X,O,O,X,X,X,O,X,X,X
IOTLSZJ,X,X,X,O,X,X,X,O,X,X,X
IOTLZJS,X,X,X,X,O,X,X,X,X,O,X
IOTLZSJ,X,X,X,X,O,X,O,X,X,O,X
IOTJLSZ,X,X,X,X,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,O,X,X,X,X,O,X
IOTJSLZ,X,X,O,X,X,X,X,O,O,X,X
IOTJSZL,X,X,O,X,X,X,X,O,O,X,X
IOTJZLS,X,X,X,X,O,X,X,X,X,O,X
IOTJZSL,X,X,X,X,O,X,X,O,O,O,X
IOTSLJZ,X,X,O,O,X,X,X,O,X,X,X
IOTSLZJ,X,X,X,O,X,X,X,O,X,X,X
IOTSJLZ,X,X,O,X,X,X,X,O,X,X,X
IOTSJZL,X,X,O,X,X,X,X,O,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,O,X,X,X
IOTSZJL,X,X,O,X,X,X,X,O,X,X,X
IOTZLJS,X,X,X,X,O,X,X,X,X,O,X
IOTZLSJ,X,X,X,X,O,X,O,X,X,O,X
IOTZJLS,X,X,X,X,O,X,X,X,X,O,X
IOTZJSL,X,X,X,X,O,X,X,O,X,O,X
IOTZSLJ,X,X,X,X,O,X,O,O,X,O,X
IOTZSJL,X,X,O,X,O,X,O,O,X,O,X
IOLTJSZ,X,X,X,X,X,X,X,O,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,O
IOLTSJZ,X,X,X,O,X,X,X,O,X,X,X
IOLTSZJ,X,X,X,O,X,X,X,O,X,X,X
IOLTZJS,X,X,X,X,X,X,X,X,X,X,O
IOLTZSJ,X,X,X,X,X,X,O,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,O
IOLJSTZ,O,X,X,O,X,X,X,X,O,X,X
IOLJSZT,O,X,X,O,X,X,X,X,O,X,X
IOLJZTS,O,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,O,X,O,X,X
IOLSTJZ,O,X,X,O,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,O,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,O,X,X,X,X,X,X,X
IOLSJZT,O,X,X,O,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,O,X,X,O,X,X,X,X
IOLSZJT,O,X,X,O,X,X,O,X,X,X,X
IOLZTJS,O,X,X,X,X,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,O,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,O,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,O,X,X,X,X
IOLZSJT,O,X,X,O,X,X,O,X,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,O,X,X,X
IOJTLZS,O,X,X,X,X,X,X,X,X,O,X
IOJTSLZ,O,X,X,X,X,X,X,O,O,X,X
IOJTSZL,X,X,X,X,X,X,X,O,O,X,X
IOJTZLS,O,X,X,X,X,X,X,X,X,O,X
IOJTZSL,X,X,X,X,X,X,X,O,O,O,X
IOJLTSZ,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,O
IOJLSTZ,O,X,X,O,X,X,X,X,O,X,X
IOJLSZT,O,X,X,O,X,X,X,X,O,X,X
IOJLZTS,O,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,O,X,O,X,X
IOJSTLZ,X,X,X,X,X,X,X,X,O,X,X
IOJSTZL,X,X,X,X,X,X,X,X,O,X,X
IOJSLTZ,X,X,X,O,X,X,X,X,O,X,X
IOJSLZT,X,X,X,O,X,X,X,X,O,X,X
IOJSZTL,X,X,X,X,X,X,X,X,O,X,X
IOJSZLT,X,X,X,X,X,X,X,X,O,X,X
IOJZTLS,O,X,X,X,X,X,X,X,X,X,X
IOJZTSL,O,X,X,X,X,X,X,X,O,X,X
IOJZLTS,O,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,O,X,O,X,X
IOJZSTL,X,X,X,X,O,X,O,X,O,X,X
IOJZSLT,X,X,X,X,O,X,O,X,O,X,X
IOSTLJZ,X,O,O,O,X,X,X,O,X,X,X
IOSTLZJ,X,O,X,O,X,X,X,O,X,X,X
IOSTJLZ,X,O,O,X,X,X,X,O,X,X,X
IOSTJZL,X,X,O,X,X,X,X,O,X,X,X
IOSTZLJ,X,O,X,X,X,X,X,O,X,X,X
IOSTZJL,X,X,O,X,X,X,X,O,X,X,X
IOSLTJZ,X,O,X,O,X,X,X,X,X,X,X
IOSLTZJ,X,O,X,O,X,X,X,X,X,X,X
IOSLJTZ,X,O,O,O,X,X,X,X,X,X,X
IOSLJZT,X,O,O,O,X,X,X,X,X,X,X
IOSLZTJ,X,O,X,O,X,X,O,X,X,X,X
IOSLZJT,X,O,X,O,X,X,O,X,X,X,X
IOSJTLZ,X,X,O,X,X,X,X,X,O,X,X
IOSJTZL,X,X,O,X,X,X,X,X,O,X,X
IOSJLTZ,X,O,O,O,X,X,X,X,O,X,X
IOSJLZT,X,O,O,O,X,X,X,X,O,X,X
IOSJZTL,X,X,X,X,X,X,X,X,O,X,X
IOSJZLT,X,X,O,X,X,X,X,X,O,X,X
IOSZTLJ,X,O,X,X,X,X,O,X,X,X,X
IOSZTJL,X,O,X,X,X,X,O,X,X,X,X
IOSZLTJ,X,O,X,O,X,X,O,X,X,X,X
IOSZLJT,X,O,X,O,X,X,O,X,X,X,X
IOSZJTL,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,X,O,O,X,X,X,O,X,X,X,X
IOZTLJS,O,X,X,X,O,X,X,X,X,X,X
IOZTLSJ,O,O,X,X,O,X,O,X,X,X,X
IOZTJLS,O,X,X,X,O,X,X,X,X,X,X
IOZTJSL,O,O,X,X,O,X,X,O,X,X,X
IOZTSLJ,O,O,X,X,O,X,O,O,X,X,X
IOZTSJL,O,O,X,X,O,X,O,O,X,X,X
IOZLTJS,O,X,X,X,X,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,O,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,O,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,O,X,X,X,X
IOZLSJT,O,X,X,O,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,X,X,X,X,X,X,X
IOZJTSL,O,X,X,X,X,X,X,X,O,X,X
IOZJLTS,O,X,X,X,X,X,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,O,X,O,X,X
IOZJSTL,X,X,X,X,O,X,O,X,O,X,X
IOZJSLT,X,X,X,X,O,X,O,X,O,X,X
IOZSTLJ,X,O,X,X,O,X,O,X,X,X,X
IOZSTJL,X,O,X,X,O,X,O,X,X,X,X
IOZSLTJ,X,O,X,O,O,X,O,X,X,X,X
IOZSLJT,X,O,X,O,O,X,O,X,X,X,X
IOZSJTL,X,X,X,X,O,X,O,X,X,X,X
IOZSJLT,X,O,X,X,O,X,O,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,O,X,O,X
LTIJSOZ,X,X,X,X,X,X,X,O,X,X,X
LTIJZSO,X,X,X,X,X,O,X,X,X,O,O
LTIJZOS,X,X,X,X,X,X,X,X,X,O,O
LTIJOSZ,X,X,X,X,X,X,X,O,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,X,O,O
LTISJZO,X,X,O,O,X,X,X,O,X,O,X
LTISJOZ,X,X,O,O,X,X,X,O,X,X,X
LTISZJO,X,X,X,O,X,X,X,O,X,O,X
LTISZOJ,X,X,X,O,X,X,X,O,X,O,X
LTISOJZ,X,X,O,O,X,X,X,O,X,X,X
LTISOZJ,X,X,X,O,X,X,X,O,X,X,X
LTIZJSO,X,X,X,X,X,O,X,X,X,O,O
LTIZJOS,X,X,X,X,X,X,X,X,X,O,O
LTIZSJO,X,X,X,X,X,O,X,X,X,O,X
LTIZSOJ,X,X,X,X,X,O,X,X,X,O,X
LTIZOJS,X,X,X,X,X,X,X,X,X,O,O
LTIZOSJ,X,X,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,X,X,X,X,X,X,O,X,X,X
LTIOJZS,X,X,X,X,X,X,X,X,X,O,O
LTIOSJZ,X,X,O,O,X,X,X,O,X,X,X
LTIOSZJ,X,X,X,O,X,X,X,O,X,X,X
LTIOZJS,X,X,X,X,X,X,X,X,X,O,O
LTIOZSJ,X,X,X,X,X,X,X,X,X,O,X
LTJISZO,O,X,X,X,X,X,X,O,X,O,X
LTJISOZ,O,X,X,X,X,X,X,O,X,X,X
LTJIZSO,O,X,X,X,X,O,X,X,X,O,O
LTJIZOS,O,X,X,X,X,X,X,X,X,O,O
LTJIOSZ,O,X,X,X,X,X,X,O,X,X,X
LTJIOZS,O,X,X,X,X,X,X,X,X,O,O
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,X,O,X,X,X,X,O
LTJSZOI,O,X,X,X,X,O,X,X,X,X,O
LTJSOIZ,O,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,X,X,X,X,X,O
LTJZISO,O,X,X,X,X,O,X,X,X,X,O
LTJZIOS,O,X,X,X,X,X,X,X,X,X,O
LTJZSIO,O,X,X,X,X,O,X,X,X,X,O
LTJZSOI,O,X,X,X,X,O,X,X,X,X,O
LTJZOIS,O,X,X,X,X,X,X,X,X,X,O
LTJZOSI,O,X,X,X,X,O,X,X,X,X,O
LTJOISZ,O,X,X,X,X,X,X,O,X,X,X
LTJOIZS,O,X,X,X,X,X,X,X,X,X,O
LTJOSIZ,O,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,X,X,X,X,X,X,X,X,O
LTJOZIS,O,X,X,X,X,X,X,X,X,X,O
LTJOZSI,O,X,X,X,X,O,X,X,X,X,O
LTSIJZO,X,X,O,O,X,X,X,X,X,O,X
LTSIJOZ,X,X,O,O,X,X,X,X,X,X,X
LTSIZJO,X,X,X,O,X,X,X,X,X,O,X
LTSIZOJ,X,X,X,O,X,X,X,X,X,O,X
LTSIOJZ,O,X,O,O,X,X,X,X,X,X,X
LTSIOZJ,O,X,X,O,X,X,X,X,X,X,X
LTSJIZO,O,X,O,O,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,O,X,X,X,X,X,X,X
LTSJZIO,O,X,O,X,X,O,X,X,X,X,O
LTSJZOI,O,X,O,X,X,O,X,X,X,X,O
LTSJOIZ,O,X,O,O,X,X,X,X,X,X,X
LTSJOZI,O,X,O,X,X,X,X,X,X,X,O
LTSZIJO,O,X,X,O,X,O,X,X,X,X,X
LTSZIOJ,O,X,X,O,X,O,X,X,X,X,X
LTSZJIO,O,X,X,X,X,O,X,X,X,X,O
LTSZJOI,O,X,X,X,X,O,X,X,X,X,O
LTSZOIJ,O,X,X,O,X,O,X,X,X,X,X
LTSZOJI,O,X,X,X,X,O,X,X,X,X,O
LTSOIJZ,O,X,O,O,X,X,X,X,X,X,X
LTSOIZJ,O,X,X,O,X,X,X,X,X,X,X
LTSOJIZ,O,X,O,O,X,X,X,X,X,X,X
LTSOJZI,O,X,O,X,X,X,X,X,X,X,O
LTSOZIJ,O,X,X,O,X,X,X,X,X,X,X
LTSOZJI,O,X,X,X,X,X,X,X,X,X,O
LTZIJSO,O,X,X,X,X,O,X,X,X,O,O
LTZIJOS,O,X,X,X,X,X,X,X,X,O,O
LTZISJO,O,X,X,X,X,O,X,X,X,O,X
LTZISOJ,O,X,X,X,X,O,X,X,X,O,X
LTZIOJS,O,X,X,X,X,X,X,X,X,O,O
LTZIOSJ,O,X,X,X,X,X,X,X,X,O,X
LTZJISO,O,X,X,X,X,O,X,X,X,X,O
LTZJIOS,O,X,X,X,X,X,X,X,X,X,O
LTZJSIO,O,X,X,X,X,O,X,X,X,X,O
LTZJSOI,O,X,X,X,X,O,X,X,X,X,O
LTZJOIS,O,X,X,X,X,X,X,X,X,X,O
LTZJOSI,O,X,X,X,X,O,X,X,X,X,O
LTZSIJO,O,X,X,X,X,O,X,X,X,X,X
LTZSIOJ,O,X,X,X,X,O,X,X,X,X,X
LTZSJIO,O,X,X,X,X,O,X,X,X,X,O
LTZSJOI,O,X,X,X,X,O,X,X,X,X,O
LTZSOIJ,O,X,X,X,X,O,X,X,X,X,X
LTZSOJI,O,X,X,X,X,O,X,X,X,X,O
LTZOIJS,O,X,X,X,X,X,X,X,X,X,O
LTZOISJ,O,X,X,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,X,X,X,X,X,X,O
LTZOJSI,O,X,X,X,X,O,X,X,X,X,O
LTZOSIJ,O,X,X,X,X,O,X,X,X,X,X
LTZOSJI,O,X,X,X,X,O,X,X,X,X,O
LTOIJSZ,X,X,X,X,X,X,X,O,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,X,O,O
LTOISJZ,X,X,O,O,X,X,X,O,X,X,X
LTOISZJ,X,X,X,O,X,X,X,O,X,X,X
LTOIZJS,X,X,X,X,X,X,X,X,X,O,O
LTOIZSJ,X,X,X,X,X,X,X,X,X,O,X
LTOJISZ,O,X,X,X,X,X,X,O,X,X,X
LTOJIZS,O,X,X,X,X,X,X,X,X,X,O
LTOJSIZ,O,X,X,X,X,X,X,X,X,X,X
LTOJSZI,O,X,X,X,X,X,X,X,X,X,O
LTOJZIS,O,X,X,X,X,X,X,X,X,X,O
LTOJZSI,O,X,X,X,X,O,X,X,X,X,O
LTOSIJZ,O,X,O,O,X,X,X,X,X,X,X
LTOSIZJ,O,X,X,O,X,X,X,X,X,X,X
LTOSJIZ,O,X,O,O,X,X,X,X,X,X,X
LTOSJZI,O,X,O,X,X,X,X,X,X,X,O
LTOSZIJ,O,X,X,O,X,X,X,X,X,X,X
LTOSZJI,O,X,X,X,X,X,X,X,X,X,O
LTOZIJS,O,X,X,X,X,X,X,X,X,X,O
LTOZISJ,O,X,X,X,X,X,X,X,X,X,X
LTOZJIS,O,X,X,X,X,X,X,X,X,X,O
LTOZJSI,O,X,X,X,X,O,X,X,X,X,O
LTOZSIJ,O,X,X,X,X,O,X,X,X,X,X
LTOZSJI,O,X,X,X,X,O,X,X,X,X,O
LITJSZO,X,X,X,X,X,X,X,O,X,O,X
LITJSOZ,X,X,X,X,X,X,X,O,X,X,X
LITJZSO,X,X,X,X,X,X,X,X,X,O,O
LITJZOS,X,X,X,X,X,X,X,X,X,O,O
LITJOSZ,X,X,X,X,X,X,X,O,X,X,X
LITJOZS,X,X,X,X,X,X,X,X,X,O,O
LITSJZO,X,X,X,O,X,X,X,O,X,O,X
LITSJOZ,X,X,X,O,X,X,X,O,X,X,X
LITSZJO,X,X,X,O,X,X,X,O,X,O,X
LITSZOJ,X,X,X,O,X,X,X,O,X,O,X
LITSOJZ,X,X,X,O,X,X,X,O,X,X,X
LITSOZJ,X,X,X,O,X,X,X,O,X,X,X
LITZJSO,X,X,X,X,X,X,X,X,X,O,O
LITZJOS,X,X,X,X,X,X,X,X,X,O,O
LITZSJO,X,X,X,X,X,X,O,X,X,O,X
LITZSOJ,X,X,X,X,X,X,O,X,X,O,X
LITZOJS,X,X,X,X,X,X,X,X,X,O,O
LITZOSJ,X,X,X,X,X,X,O,X,X,O,X
LITOJSZ,X,X,X,X,X,X,X,O,X,X,X
LITOJZS,X,X,X,X,X,X,X,X,X,O,O
LITOSJZ,X,X,X,O,X,X,X,O,X,X,X
LITOSZJ,X,X,X,O,X,X,X,O,X,X,X
LITOZJS,X,X,X,X,X,X,X,X,X,O,O
LITOZSJ,X,X,X,X,X,X,O,X,X,O,X
LIJTSZO,O,X,X,X,X,X,X,X,X,O,X
LIJTSOZ,O,X,X,X,X,X,X,X,X,X,X
LIJTZSO,O,X,X,X,X,X,X,X,X,O,O
LIJTZOS,O,X,X,X,X,X,X,X,X,O,O
LIJTOSZ,O,X,X,X,X,X,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,X,X,O,O
LIJSTZO,O,X,X,O,X,X,X,X,O,X,X
LIJSTOZ,O,X,X,O,X,X,X,X,O,X,X
LIJSZTO,O,X,X,O,X,X,X,X,O,X,X
LIJSZOT,O,X,X,O,X,X,X,X,O,X,X
LIJSOTZ,O,X,X,O,X,X,X,X,O,X,X
LIJSOZT,O,X,X,O,X,X,X,X,O,X,X
LIJZTSO,O,X,X,X,X,X,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X,X,X,X,X,X
LIJZSTO,O,X,X,X,X,X,O,X,O,X,X
LIJZSOT,O,X,X,X,X,X,O,X,O,X,X
LIJZOTS,O,X,X,X,X,X,X,X,X,X,X
LIJZOST,O,X,X,X,X,X,O,X,O,X,X
LIJOTSZ,O,X,X,X,X,X,X,X,X,X,X
LIJOTZS,O,X,X,X,X,X,X,X,X,X,O
LIJOSTZ,O,X,X,O,X,X,X,X,O,X,X
LIJOSZT,O,X,X,O,X,X,X,X,O,X,X
LIJOZTS,O,X,X,X,X,X,X,X,X,X,X
LIJOZST,O,X,X,X,X,X,O,X,O,X,X
LISTJZO,X,X,X,O,X,X,X,X,X,X,X
LISTJOZ,X,X,X,O,X,X,X,X,X,X,X
LISTZJO,X,X,X,O,X,X,X,X,X,X,X
LISTZOJ,X,X,X,O,X,X,X,X,X,X,X
LISTOJZ,O,X,X,O,X,X,X,X,X,X,X
LISTOZJ,O,X,X,O,X,X,X,X,X,X,X
LISJTZO,O,X,X,O,X,X,X,X,X,X,X
LISJTOZ,O,X,X,O,X,X,X,X,X,X,X
LISJZTO,O,X,X,O,X,X,X,X,X,X,X
LISJZOT,O,X,X,O,X,X,X,X,X,X,X
LISJOTZ,O,X,X,O,X,X,X,X,X,X,X
LISJOZT,O,X,X,O,X,X,X,X,X,X,X
LISZTJO,O,X,X,O,X,X,O,X,X,X,X
LISZTOJ,O,X,X,O,X,X,O,X,X,X,X
LISZJTO,O,X,X,O,X,X,O,X,X,X,X
LISZJOT,O,X,X,O,X,X,O,X,X,X,X
LISZOTJ,O,X,X,O,X,X,O,X,X,X,X
LISZOJT,O,X,X,O,X,X,O,X,X,X,X
LISOTJZ,O,X,X,O,X,X,X,X,X,X,X
LISOTZJ,O,X,X,O,X,X,X,X,X,X,X
LISOJTZ,O,X,X,O,X,X,X,X,X,X,X
LISOJZT,O,X,X,O,X,X,X,X,X,X,X
LISOZTJ,O,X,X,O,X,X,O,X,X,X,X
LISOZJT,O,X,X,O,X,X,O,X,X,X,X
LIZTJSO,O,X,X,X,X,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,X,X,X,X
LIZTSJO,O,X,X,X,X,X,O,X,X,X,X
LIZTSOJ,O,X,X,X,X,X,O,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X,X,X,X
LIZTOSJ,O,X,X,X,X,X,O,X,X,X,X
LIZJTSO,O,X,X,X,X,X,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X,X,X,X,X,X
LIZJSTO,O,X,X,X,X,X,O,X,X,X,X
LIZJSOT,O,X,X,X,X,X,O,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X,X,X,X,X
LIZJOST,O,X,X,X,X,X,O,X,X,X,X
LIZSTJO,O,X,X,O,X,X,O,X,X,X,X
LIZSTOJ,O,X,X,O,X,X,O,X,X,X,X
LIZSJTO,O,X,X,O,X,X,O,X,X,X,X
LIZSJOT,O,X,X,O,X,X,O,X,X,X,X
LIZSOTJ,O,X,X,O,X,X,O,X,X,X,X
LIZSOJT,O,X,X,O,X,X,O,X,X,X,X
LIZOTJS,O,X,X,X,X,X,X,X,X,X,X
LIZOTSJ,O,X,X,X,X,X,O,X,X,X,X
LIZOJTS,O,X,X,X,X,X,X,X,X,X,X
LIZOJST,O,X,X,X,X,X,O,X,X,X,X
LIZOSTJ,O,X,X,O,X,X,O,X,X,X,X
LIZOSJT,O,X,X,O,X,X,O,X,X,X,X
LIOTJSZ,X,X,X,X,X,X,X,O,X,X,X
LIOTJZS,X,X,X,X,X,X,X,X,X,X,O
LIOTSJZ,X,X,X,O,X,X,X,O,X,X,X
LIOTSZJ,X,X,X,O,X,X,X,O,X,X,X
LIOTZJS,X,X,X,X,X,X,X,X,X,X,O
LIOTZSJ,X,X,X,X,X,X,O,X,X,X,X
LIOJTSZ,O,X,X,X,X,X,X,X,X,X,X
LIOJTZS,O,X,X,X,X,X,X,X,X,X,O
LIOJSTZ,O,X,X,O,X,X,X,X,O,X,X
LIOJSZT,O,X,X,O,X,X,X,X,O,X,X
LIOJZTS,O,X,X,X,X,X,X,X,X,X,X
LIOJZST,O,X,X,X,X,X,O,X,O,X,X
LIOSTJZ,O,X,X,O,X,X,X,X,X,X,X
LIOSTZJ,O,X,X,O,X,X,X,X,X,X,X
LIOSJTZ,O,X,X,O,X,X,X,X,X,X,X
LIOSJZT,O,X,X,O,X,X,X,X,X,X,X
LIOSZTJ,O,X,X,O,X,X,O,X,X,X,X
LIOSZJT,O,X,X,O,X,X,O,X,X,X,X
LIOZTJS,O,X,X,X,X,X,X,X,X,X,X
LIOZTSJ,O,X,X,X,X,X,O,X,X,X,X
LIOZJTS,O,X,X,X,X,X,X,X,X,X,X
LIOZJST,O,X,X,X,X,X,O,X,X,X,X
LIOZSTJ,O,X,X,O,X,X,O,X,X,X,X
LIOZSJT,O,X,X,O,X,X,O,X,X,X,X
LJTISZO,O,X,X,X,X,X,X,X,X,X,X
LJTISOZ,O,X,X,X,X,X,X,X,X,X,X
LJTIZSO,O,X,X,X,X,O,X,X,X,X,O
LJTIZOS,O,X,X,X,X,X,X,X,X,X,O
LJTIOSZ,O,X,X,X,X,X,X,X,X,X,X
LJTIOZS,O,X,X,X,X,X,X,X,X,X,O
LJTSIZO,O,X,X,X,X,X,X,X,X,X,X
LJTSIOZ,O,X,X,X,X,X,X,X,X,X,X
LJTSZIO,O,X,X,X,X,O,X,X,X,X,O
LJTSZOI,O,X,X,X,X,O,X,X,X,X,O
LJTSOIZ,O,X,X,X,X,X,X,X,X,X,X
LJTSOZI,O,X,X,X,X,X,X,X,X,X,O
LJTZISO,O,X,X,X,X,O,X,X,X,X,O
LJTZIOS,O,X,X,X,X,X,X,X,X,X,O
LJTZSIO,O,X,X,X,X,O,X,X,X,X,O
LJTZSOI,O,X,X,X,X,O,X,X,X,X,O
LJTZOIS,O,X,X,X,X,X,X,X,X,X,O
LJTZOSI,O,X,X,X,X,O,X,X,X,X,O
LJTOISZ,O,X,X,X,X,X,X,X,X,X,X
LJTOIZS,O,X,X,X,X,X,X,X,X,X,O
LJTOSIZ,O,X,X,X,X,X,X,X,X,X,X
LJTOSZI,O,X,X,X,X,X,X,X,X,X,O
LJTOZIS,O,X,X,X,X,X,X,X,X,X,O
LJTOZSI,O,X,X,X,X,O,X,X,X,X,O
LJITSZO,O,X,X,X,X,X,X,X,X,X,X
LJITSOZ,O,X,X,X,X,X,X,X,X,X,X
LJITZSO,O,X,X,X,X,X,X,X,X,X,O
LJITZOS,O,X,X,X,X,X,X,X,X,X,O
LJITOSZ,O,X,X,X,X,X,X,X,X,X,X
LJITOZS,O,X,X,X,X,X,X,X,X,X,O
LJISTZO,O,X,X,O,X,X,X,X,O,X,X
LJISTOZ,O,X,X,O,X,X,X,X,O,X,X
LJISZTO,O,X,X,O,X,X,X,X,O,X,X
LJISZOT,O,X,X,O,X,X,X,X,O,X,X
LJISOTZ,O,X,X,O,X,X,X,X,O,X,X
LJISOZT,O,X,X,O,X,X,X,X,O,X,X
LJIZTSO,O,X,X,X,X,X,X,X,X,X,X
LJIZTOS,O,X,X,X,X,X,X,X,X,X,X
LJIZSTO,O,X,X,X,X,X,X,X,O,X,X
LJIZSOT,O,X,X,X,X,X,X,X,O,X,X
LJIZOTS,O,X,X,X,X,X,X,X,X,X,X
LJIZOST,O,X,X,X,X,X,X,X,O,X,X
LJIOTSZ,O,X,X,X,X,X,X,X,X,X,X
LJIOTZS,O,X,X,X,X,X,X,X,X,X,O
LJIOSTZ,O,X,X,O,X,X,X,X,O,X,X
LJIOSZT,O,X,X,O,X,X,X,X,O,X,X
LJIOZTS,O,X,X,X,X,X,X,X,X,X,X
LJIOZST,O,X,X,X,X,X,X,X,O,X,X
LJSTIZO,O,X,X,O,X,X,X,X,X,X,X
LJSTIOZ,O,X,X,O,X,X,X,X,X,X,X
LJSTZIO,O,X,X,X,X,X,X,X,X,X,O
LJSTZOI,O,X,X,X,X,X,X,X,X,X,O
LJSTOIZ,O,X,X,O,X,X,X,X,X,X,X
LJSTOZI,O,X,X,X,X,X,X,X,X,X,O
LJSITZO,O,X,X,O,X,X,X,X,X,X,X
LJSITOZ,O,X,X,O,X,X,X,X,X,X,X
LJSIZTO,O,X,X,O,X,X,X,X,X,X,X
LJSIZOT,O,X,X,O,X,X,X,X,X,X,X
LJSIOTZ,O,X,X,O,X,X,X,X,X,X,X
LJSIOZT,O,X,X,O,X,X,X,X,X,X,X
LJSZTIO,O,X,X,X,X,X,X,X,X,X,X
LJSZTOI,O,X,X,X,X,X,X,X,X,X,X
LJSZITO,O,X,X,X,X,X,X,X,X,X,X
LJSZIOT,O,X,X,X,X,X,X,X,X,X,X
LJSZOTI,O,X,X,X,X,X,X,X,X,X,X
LJSZOIT,O,X,X,X,X,X,X,X,X,X,X
LJSOTIZ,O,X,X,O,X,X,X,X,X,X,X
LJSOTZI,O,X,X,X,X,X,X,X,X,X,O
LJSOITZ,O,X,X,O,X,X,X,X,X,X,X
LJSOIZT,O,X,X,O,X,X,X,X,X,X,X
LJSOZTI,O,X,X,X,X,X,X,X,X,X,X
LJSOZIT,O,X,X,X,X,X,X,X,X,X,X
LJZTISO,O,X,X,X,X,O,X,X,X,X,O
LJZTIOS,O,X,X,X,X,X,X,X,X,X,O
LJZTSIO,O,X,X,X,X,O,X,X,X,X,O
