sequence,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBGjBqsB/tBlrB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBfoB6oBlrBWyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBTjBFnB0nBGrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB/tBCsB0sB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCjBlrBGtBXtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBGjBzlB8rBqsB/tB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBWoBXoBlrBSyB,v115@HhC8GeC8GeE8AeA8Mex/IvhFXhBSoBUnBGrBTtBlsB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lBzhBCoBlrBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhFlhBzlB8rBCoBXtBGtB,v115@HhC8GeC8GeE8AeA8Mex/IvhF8lB3mBGoBlsBCsBTtB
IOTLSZJ,X,X,O,O,X,O,X,X,X,X,X
IOTLZJS,X,X,X,X,X,O,X,X,X,X,X
IOTLZSJ,X,X,O,O,X,O,X,X,X,X,X
IOTJLSZ,X,X,X,O,X,X,X,O,X,X,X
IOTJLZS,X,X,X,X,X,X,X,O,X,X,X
IOTJSLZ,X,X,X,O,X,X,X,O,X,X,X
IOTJSZL,X,X,X,O,X,X,X,O,X,X,X
IOTJZLS,X,X,X,X,X,X,X,O,X,X,X
IOTJZSL,X,X,X,X,X,X,X,O,X,X,X
IOTSLJZ,X,X,O,O,X,O,X,X,X,X,X
IOTSLZJ,X,X,O,O,X,O,X,X,X,O,X
IOTSJLZ,X,X,X,O,X,O,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X,X,X,X,X
IOTSZLJ,X,X,X,X,X,X,X,X,X,O,X
IOTSZJL,X,X,X,O,X,X,X,X,X,O,X
IOTZLJS,X,X,X,X,X,O,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,O,X,X,X,O,X
IOTZJLS,X,X,X,X,X,O,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,X,X,X,O,X
IOTZSLJ,X,X,X,X,X,O,X,X,X,O,X
IOTZSJL,X,X,X,O,X,X,X,X,X,O,X
IOLTJSZ,X,X,O,O,X,X,X,O,X,X,X
IOLTJZS,X,X,O,X,X,X,X,O,X,X,X
IOLTSJZ,X,X,O,O,X,O,X,X,X,X,X
IOLTSZJ,X,X,O,O,X,O,X,X,X,X,X
IOLTZJS,X,X,X,X,X,O,X,X,X,X,X
IOLTZSJ,X,X,O,O,X,O,X,X,X,X,X
IOLJTSZ,X,X,O,O,X,X,X,O,X,X,X
IOLJTZS,X,X,O,X,X,X,X,O,X,X,X
IOLJSTZ,X,X,O,O,X,O,X,O,X,X,X
IOLJSZT,X,X,O,O,X,O,X,O,X,X,X
IOLJZTS,X,X,O,X,X,O,O,O,X,X,X
IOLJZST,X,X,O,X,X,O,X,O,X,X,X
IOLSTJZ,X,X,O,O,X,O,X,X,X,X,X
IOLSTZJ,X,X,O,O,X,O,X,X,X,O,X
IOLSJTZ,X,X,O,O,X,O,X,O,X,X,X
IOLSJZT,O,X,O,O,X,O,X,O,X,O,X
IOLSZTJ,O,X,X,O,X,O,X,X,X,O,X
IOLSZJT,O,X,X,O,X,O,X,X,X,O,X
IOLZTJS,O,X,X,X,X,O,O,X,X,X,X
IOLZTSJ,O,X,O,O,X,O,O,X,X,O,X
IOLZJTS,X,X,O,X,X,O,O,O,X,X,X
IOLZJST,X,X,O,X,X,O,X,O,X,X,X
IOLZSTJ,O,X,X,O,X,O,X,X,X,O,X
IOLZSJT,O,X,X,O,X,O,X,O,X,O,X
IOJTLSZ,X,X,O,O,X,X,X,O,X,X,X
IOJTLZS,X,X,O,X,X,X,X,O,X,X,X
IOJTSLZ,X,X,O,O,X,X,X,O,X,X,X
IOJTSZL,X,X,X,O,X,X,X,O,X,X,X
IOJTZLS,X,X,X,X,X,X,X,O,X,X,X
IOJTZSL,X,X,X,X,X,X,X,O,X,X,X
IOJLTSZ,X,X,O,O,X,X,X,O,X,X,X
IOJLTZS,X,X,O,X,X,X,X,O,X,X,X
IOJLSTZ,X,X,O,O,X,O,X,O,X,X,X
IOJLSZT,X,X,O,O,X,O,X,O,X,X,X
IOJLZTS,X,X,O,X,O,O,X,O,X,X,X
IOJLZST,X,X,O,X,X,O,X,O,X,X,X
IOJSTLZ,X,X,O,O,X,O,X,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X,O,X,X,X
IOJSLTZ,X,X,O,O,X,O,X,O,X,X,X
IOJSLZT,X,O,O,O,X,O,X,O,X,O,X
IOJSZTL,X,O,X,O,X,X,X,O,X,O,X
IOJSZLT,X,O,X,O,X,O,X,O,X,O,X
IOJZTLS,X,O,X,X,O,O,X,O,X,X,X
IOJZTSL,X,O,X,X,O,X,X,O,X,O,X
IOJZLTS,X,X,X,X,O,O,X,O,X,X,X
IOJZLST,X,X,X,X,X,O,X,O,X,X,X
IOJZSTL,X,O,X,X,X,X,X,O,X,O,X
IOJZSLT,X,O,X,X,X,X,X,O,X,O,X
IOSTLJZ,X,X,X,O,X,O,X,X,X,X,X
IOSTLZJ,X,X,X,O,X,O,X,X,X,O,X
IOSTJLZ,X,X,X,O,X,O,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,X
IOSTZLJ,X,X,X,X,X,X,X,X,X,O,X
IOSTZJL,X,X,X,O,X,X,X,X,X,O,X
IOSLTJZ,X,X,X,O,X,O,X,X,X,X,X
IOSLTZJ,X,X,X,O,X,O,X,X,X,O,X
IOSLJTZ,X,X,X,O,X,O,X,O,X,X,X
IOSLJZT,O,X,X,O,X,O,X,O,X,O,X
IOSLZTJ,O,X,X,O,X,O,X,X,O,O,X
IOSLZJT,O,X,X,O,X,O,X,X,X,O,X
IOSJTLZ,X,X,X,O,X,O,X,O,X,X,X
IOSJTZL,X,X,X,O,X,X,X,O,X,X,X
IOSJLTZ,X,X,X,O,X,O,X,O,X,X,X
IOSJLZT,O,X,X,O,X,O,X,O,X,O,X
IOSJZTL,X,X,X,O,X,X,X,O,X,O,X
IOSJZLT,O,X,X,O,X,O,X,O,X,O,X
IOSZTLJ,O,X,X,X,X,O,X,X,O,O,X
IOSZTJL,X,X,X,O,X,X,X,X,O,O,X
IOSZLTJ,O,X,X,O,X,O,X,X,O,O,X
IOSZLJT,O,X,X,O,X,O,X,X,X,O,X
IOSZJTL,X,X,X,O,X,X,X,X,X,O,X
IOSZJLT,O,X,X,O,X,O,X,X,X,O,X
IOZTLJS,O,O,X,X,O,O,O,X,X,X,X
IOZTLSJ,O,X,X,O,X,O,O,X,O,O,X
IOZTJLS,O,O,X,X,O,O,O,X,X,X,X
IOZTJSL,X,O,X,X,O,X,X,X,O,O,X
IOZTSLJ,O,X,X,X,X,O,O,X,O,O,X
IOZTSJL,X,O,X,O,O,X,X,X,O,O,X
IOZLTJS,O,X,X,X,X,O,O,X,X,X,X
IOZLTSJ,O,X,X,O,X,O,O,X,X,O,X
IOZLJTS,X,X,X,X,X,O,O,O,X,X,X
IOZLJST,X,X,X,X,X,O,X,O,X,X,X
IOZLSTJ,O,X,X,O,X,O,X,X,X,O,X
IOZLSJT,O,X,X,O,X,O,X,O,X,O,X
IOZJTLS,X,O,X,X,O,O,X,O,X,X,X
IOZJTSL,X,O,X,X,O,X,X,O,X,O,X
IOZJLTS,X,X,X,X,O,O,X,O,X,X,X
IOZJLST,X,X,X,X,X,O,X,O,X,X,X
IOZJSTL,X,O,X,X,X,X,X,O,X,O,X
IOZJSLT,X,O,X,X,X,X,X,O,X,O,X
IOZSTLJ,O,X,X,X,X,O,X,X,O,O,X
IOZSTJL,X,X,X,O,X,X,X,X,O,O,O
IOZSLTJ,O,X,X,O,X,O,X,X,O,O,X
IOZSLJT,O,X,X,O,X,O,X,O,X,O,X
IOZSJTL,X,X,X,O,X,X,X,X,X,O,X
IOZSJLT,O,X,X,O,X,O,X,X,X,O,X
LTIJSZO,X,X,O,O,X,X,X,X,X,X,X
LTIJSOZ,X,X,O,O,X,X,X,X,X,X,X
LTIJZSO,X,X,O,X,X,X,O,X,X,X,X
LTIJZOS,X,X,O,X,X,X,O,X,X,X,X
LTIJOSZ,X,X,O,X,X,X,X,X,X,X,X
LTIJOZS,X,X,O,X,X,X,O,X,X,X,X
LTISJZO,O,X,X,O,X,O,X,X,X,X,X
LTISJOZ,O,X,O,O,X,O,X,X,X,X,X
LTISZJO,O,X,X,O,X,O,X,X,X,X,X
LTISZOJ,O,X,O,X,X,O,X,X,X,X,X
LTISOJZ,O,X,O,O,X,O,X,X,X,X,X
LTISOZJ,O,X,O,X,X,O,X,X,X,X,X
LTIZJSO,O,X,X,X,X,O,O,X,X,X,X
LTIZJOS,O,X,X,X,X,X,O,X,X,X,X
LTIZSJO,O,X,X,O,X,O,O,X,X,X,X
LTIZSOJ,O,X,O,X,X,O,O,X,X,X,X
LTIZOJS,O,X,X,X,X,X,O,X,X,X,X
LTIZOSJ,O,X,O,X,X,O,O,X,X,X,X
LTIOJSZ,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,X,X,O,X,X,X,O,X,X,X,X
LTIOSJZ,O,X,O,O,X,O,X,X,X,X,X
LTIOSZJ,O,X,O,X,X,O,X,X,X,X,X
LTIOZJS,O,X,X,X,X,O,O,X,X,X,X
LTIOZSJ,O,X,O,X,X,O,O,X,X,X,X
LTJISZO,X,X,O,O,X,X,X,X,X,X,X
LTJISOZ,X,X,O,O,X,X,X,X,X,X,X
LTJIZSO,X,X,O,X,O,X,O,X,X,X,X
LTJIZOS,X,X,O,X,O,X,O,X,X,X,X
LTJIOSZ,X,X,O,X,X,X,X,X,X,X,X
LTJIOZS,X,X,O,X,O,X,O,X,X,X,X
LTJSIZO,O,O,O,O,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,O,X,X,X,X,X,X,X
LTJSZIO,O,O,O,O,O,X,O,X,X,X,O
LTJSZOI,O,O,O,X,O,X,O,X,X,X,O
LTJSOIZ,O,O,O,O,X,X,X,X,X,X,X
LTJSOZI,O,O,O,X,O,X,O,X,X,X,X
LTJZISO,O,O,O,X,O,X,O,X,X,X,X
LTJZIOS,O,O,O,X,O,X,O,X,X,X,X
LTJZSIO,O,O,O,X,O,X,O,X,X,X,X
LTJZSOI,O,O,O,X,O,X,O,X,X,X,X
LTJZOIS,O,O,O,X,O,X,O,X,X,X,X
LTJZOSI,O,O,O,X,O,X,O,X,X,X,X
LTJOISZ,X,X,O,X,X,X,X,X,X,X,X
LTJOIZS,X,X,O,X,O,X,O,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X,X,X,X,X
LTJOSZI,O,O,O,X,O,X,O,X,X,X,X
LTJOZIS,O,O,O,X,O,X,O,X,X,X,X
LTJOZSI,O,O,O,X,O,X,O,X,X,X,X
LTSIJZO,O,X,X,O,X,O,X,X,X,X,X
LTSIJOZ,O,X,O,O,X,O,X,X,X,X,X
LTSIZJO,O,X,X,O,X,O,X,X,O,X,X
LTSIZOJ,O,X,O,X,X,O,X,X,O,X,X
LTSIOJZ,O,X,O,O,X,O,X,X,X,X,X
LTSIOZJ,O,X,O,X,X,O,X,X,O,X,X
LTSJIZO,O,X,O,O,X,O,X,X,X,X,X
LTSJIOZ,O,X,O,O,X,O,X,X,X,X,X
LTSJZIO,O,X,O,O,X,O,O,X,O,X,O
LTSJZOI,O,X,O,X,X,O,O,X,O,X,O
LTSJOIZ,O,X,O,O,X,O,X,X,X,X,X
LTSJOZI,O,X,O,O,X,O,O,X,O,X,X
LTSZIJO,O,X,X,O,X,O,O,X,O,X,O
LTSZIOJ,O,X,O,X,X,O,O,X,O,X,X
LTSZJIO,O,X,X,O,X,O,O,X,O,X,O
LTSZJOI,O,X,X,X,X,O,O,X,O,X,O
LTSZOIJ,O,X,O,X,X,O,O,X,O,X,X
LTSZOJI,O,X,O,X,X,O,O,X,O,X,X
LTSOIJZ,O,X,O,O,X,O,X,X,X,X,X
LTSOIZJ,O,X,O,O,X,O,X,X,O,X,X
LTSOJIZ,O,X,O,O,X,O,X,X,X,X,X
LTSOJZI,O,X,O,O,X,O,O,X,O,X,X
LTSOZIJ,O,X,O,O,X,O,O,X,O,X,X
LTSOZJI,O,X,O,O,X,O,O,X,O,X,X
LTZIJSO,O,O,X,X,O,O,O,X,X,X,X
LTZIJOS,O,O,X,X,O,X,O,X,X,X,X
LTZISJO,O,X,X,O,X,O,O,X,O,X,X
LTZISOJ,O,X,O,X,X,O,O,X,O,X,X
LTZIOJS,O,O,X,X,O,X,O,X,X,X,X
LTZIOSJ,O,X,O,X,X,O,O,X,O,X,X
LTZJISO,O,O,O,X,O,O,O,X,X,X,X
LTZJIOS,O,O,O,X,O,X,O,X,X,X,X
LTZJSIO,O,O,O,X,O,O,O,X,X,X,X
LTZJSOI,O,O,O,X,O,O,O,X,X,X,X
LTZJOIS,O,O,O,X,O,X,O,X,X,X,X
LTZJOSI,O,O,O,X,O,X,O,X,X,X,X
LTZSIJO,O,X,X,O,X,O,O,X,O,X,X
LTZSIOJ,O,X,O,X,X,O,O,X,O,X,X
LTZSJIO,O,X,X,O,X,O,O,X,O,X,X
LTZSJOI,O,X,X,X,X,O,O,X,O,X,X
LTZSOIJ,O,X,O,X,X,O,O,X,O,X,X
LTZSOJI,O,X,O,X,X,O,O,X,O,X,X
LTZOIJS,O,O,X,X,O,O,O,X,X,X,X
LTZOISJ,O,X,O,X,X,O,O,X,O,X,X
LTZOJIS,O,O,O,X,O,O,O,X,X,X,X
LTZOJSI,O,O,O,X,O,O,O,X,X,X,X
LTZOSIJ,O,X,O,X,X,O,O,X,O,X,X
LTZOSJI,O,X,O,X,X,O,O,X,O,X,X
LTOIJSZ,X,X,O,O,X,X,X,X,X,X,X
LTOIJZS,X,X,O,X,X,X,O,X,X,X,X
LTOISJZ,O,X,O,O,X,O,X,X,X,X,X
LTOISZJ,O,X,O,O,X,O,X,X,X,X,X
LTOIZJS,O,X,X,X,X,O,O,X,X,X,X
LTOIZSJ,O,X,O,O,X,O,O,X,X,X,X
LTOJISZ,X,X,O,O,X,X,X,X,X,X,X
LTOJIZS,X,X,O,X,O,X,O,X,X,X,X
LTOJSIZ,O,O,O,O,X,X,X,X,X,X,X
LTOJSZI,O,O,O,O,O,X,O,X,X,X,X
LTOJZIS,O,O,O,X,O,X,O,X,X,X,X
LTOJZSI,O,O,O,X,O,X,O,X,X,X,X
LTOSIJZ,O,X,O,O,X,O,X,X,X,X,X
LTOSIZJ,O,X,O,O,X,O,X,X,O,X,X
LTOSJIZ,O,X,O,O,X,O,X,X,X,X,X
LTOSJZI,O,X,O,O,X,O,O,X,O,X,X
LTOSZIJ,O,X,O,O,X,O,O,X,O,X,X
LTOSZJI,O,X,O,O,X,O,O,X,O,X,X
LTOZIJS,O,O,X,X,O,O,O,X,X,X,X
LTOZISJ,O,X,O,O,X,O,O,X,O,X,X
LTOZJIS,O,O,O,X,O,O,O,X,X,X,X
LTOZJSI,O,O,O,X,O,O,O,X,X,X,X
LTOZSIJ,O,X,O,O,X,O,O,X,O,X,X
LTOZSJI,O,X,O,O,X,O,O,X,O,X,X
LITJSZO,X,X,O,O,X,X,X,X,X,X,X
LITJSOZ,X,X,O,O,X,X,X,X,X,X,X
LITJZSO,X,X,O,X,X,X,O,X,X,X,X
LITJZOS,X,X,O,X,X,X,O,X,X,X,X
LITJOSZ,X,X,O,X,X,X,X,X,X,X,X
LITJOZS,X,X,O,X,X,X,O,X,X,X,X
LITSJZO,O,X,X,O,X,O,X,X,X,X,X
LITSJOZ,O,X,O,O,X,O,X,X,X,X,X
LITSZJO,O,X,X,O,X,O,X,X,X,X,X
LITSZOJ,O,X,O,X,X,O,X,X,X,X,X
LITSOJZ,O,X,O,O,X,O,X,X,X,X,X
LITSOZJ,O,X,O,X,X,O,X,X,X,X,X
LITZJSO,O,X,X,X,X,O,O,X,X,X,X
LITZJOS,O,X,X,X,X,X,O,X,X,X,X
LITZSJO,O,X,X,O,X,O,O,X,X,X,X
LITZSOJ,O,X,O,X,X,O,O,X,X,X,X
LITZOJS,O,X,X,X,X,X,O,X,X,X,X
LITZOSJ,O,X,O,X,X,O,O,X,X,X,X
LITOJSZ,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,X,X,O,X,X,X,O,X,X,X,X
LITOSJZ,O,X,O,O,X,O,X,X,X,X,X
LITOSZJ,O,X,O,X,X,O,X,X,X,X,X
LITOZJS,O,X,X,X,X,O,O,X,X,X,X
LITOZSJ,O,X,O,X,X,O,O,X,X,X,X
LIJTSZO,X,X,O,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,O,O,X,X,X,X,X,X,X
LIJTZSO,X,X,O,X,O,X,O,X,X,X,X
LIJTZOS,X,X,O,X,O,X,O,X,X,X,X
LIJTOSZ,X,X,O,X,X,X,X,X,X,X,X
LIJTOZS,X,X,O,X,X,X,O,X,X,X,X
LIJSTZO,O,O,O,O,X,O,X,X,X,X,X
LIJSTOZ,X,X,O,O,X,O,X,X,X,X,X
LIJSZTO,O,O,O,O,O,O,O,X,X,X,X
LIJSZOT,O,O,O,X,X,O,X,O,X,X,X
LIJSOTZ,X,X,O,O,X,O,X,O,X,X,X
LIJSOZT,O,O,O,X,X,O,X,O,X,X,X
LIJZTSO,O,O,O,X,O,O,O,X,X,X,X
LIJZTOS,O,O,O,X,O,X,O,X,X,X,X
LIJZSTO,O,O,O,X,O,O,O,X,X,X,X
LIJZSOT,O,O,O,X,X,O,X,O,X,X,X
LIJZOTS,X,X,O,X,O,X,O,O,X,X,X
LIJZOST,X,X,O,X,X,X,X,O,X,X,X
LIJOTSZ,X,X,O,X,X,X,X,O,X,X,X
LIJOTZS,X,X,O,X,X,X,X,O,X,X,X
LIJOSTZ,X,X,O,X,X,O,X,O,X,X,X
LIJOSZT,X,X,O,X,X,O,X,O,X,X,X
LIJOZTS,X,X,O,X,O,O,O,O,X,X,X
LIJOZST,X,X,O,X,X,O,X,O,X,X,X
LISTJZO,O,X,X,O,X,O,X,X,X,X,X
LISTJOZ,O,X,O,O,X,O,X,X,X,X,X
LISTZJO,O,X,X,O,X,O,X,X,O,X,X
LISTZOJ,O,X,O,X,X,O,X,X,O,X,X
LISTOJZ,O,X,O,O,X,O,X,X,X,X,X
LISTOZJ,O,X,O,X,X,O,X,X,X,O,X
LISJTZO,O,X,O,O,X,O,X,X,X,X,X
LISJTOZ,O,X,O,O,X,O,X,X,X,X,X
LISJZTO,O,X,O,O,X,O,O,X,O,X,X
LISJZOT,O,X,O,X,X,O,X,X,X,X,X
LISJOTZ,X,X,O,O,X,O,X,X,X,X,X
LISJOZT,O,X,O,O,X,O,X,X,X,O,X
LISZTJO,O,X,X,O,X,O,O,X,O,X,X
LISZTOJ,O,X,X,X,X,O,O,X,O,X,X
LISZJTO,O,X,X,O,X,O,O,X,O,X,X
LISZJOT,O,X,X,X,X,O,X,X,X,X,X
LISZOTJ,O,X,X,X,X,O,X,X,O,O,X
LISZOJT,O,X,X,X,X,O,X,X,X,O,X
LISOTJZ,X,X,O,O,X,O,X,X,X,X,X
LISOTZJ,X,X,O,O,X,O,X,X,X,O,X
LISOJTZ,X,X,O,O,X,O,X,X,X,X,X
LISOJZT,O,X,O,O,X,O,X,X,X,O,X
LISOZTJ,O,X,X,O,X,O,X,X,O,O,X
LISOZJT,O,X,X,O,X,O,X,X,X,O,X
LIZTJSO,O,O,X,X,O,O,O,X,X,X,X
LIZTJOS,O,O,X,X,O,X,O,X,X,X,X
LIZTSJO,O,X,X,O,X,O,O,X,O,X,X
LIZTSOJ,O,X,O,X,X,O,O,X,O,X,X
LIZTOJS,O,O,X,X,O,X,O,X,X,X,X
LIZTOSJ,O,X,O,X,X,O,O,X,O,X,X
LIZJTSO,O,O,O,X,O,O,O,X,X,X,X
LIZJTOS,O,O,O,X,O,X,O,X,X,X,X
LIZJSTO,O,O,O,X,O,O,O,X,X,X,X
LIZJSOT,O,O,O,X,X,O,X,X,X,X,X
LIZJOTS,X,X,O,X,O,X,O,X,X,X,X
LIZJOST,X,X,O,X,X,X,X,X,X,X,X
LIZSTJO,O,X,X,O,X,O,O,X,O,X,O
LIZSTOJ,O,X,X,X,X,O,O,X,O,X,X
LIZSJTO,O,X,X,O,X,O,O,X,O,X,X
LIZSJOT,O,X,X,X,X,O,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,O,X,X,O,X,X
LIZSOJT,O,X,X,X,X,O,X,X,X,X,X
LIZOTJS,O,X,X,X,X,O,O,X,X,X,X
LIZOTSJ,O,X,O,X,X,O,O,X,X,X,X
LIZOJTS,X,X,O,X,X,O,O,X,X,X,X
LIZOJST,X,X,O,X,X,O,X,X,X,X,X
LIZOSTJ,O,X,X,X,X,O,X,X,X,X,X
LIZOSJT,O,X,X,X,X,O,X,X,X,X,X
LIOTJSZ,X,X,O,O,X,X,X,O,X,X,X
LIOTJZS,X,X,O,X,X,X,X,O,X,X,X
LIOTSJZ,X,X,O,O,X,O,X,X,X,X,X
LIOTSZJ,X,X,O,O,X,O,X,X,X,X,X
LIOTZJS,X,X,X,X,X,O,X,X,X,X,X
LIOTZSJ,X,X,O,O,X,O,X,X,X,X,X
LIOJTSZ,X,X,O,O,X,X,X,O,X,X,X
LIOJTZS,X,X,O,X,X,X,X,O,X,X,X
LIOJSTZ,X,X,O,O,X,O,X,O,X,X,X
LIOJSZT,X,X,O,O,X,O,X,O,X,X,X
LIOJZTS,X,X,O,X,X,O,O,O,X,X,X
LIOJZST,X,X,O,X,X,O,X,O,X,X,X
LIOSTJZ,X,X,O,O,X,O,X,X,X,X,X
LIOSTZJ,X,X,O,O,X,O,X,X,X,O,X
LIOSJTZ,X,X,O,O,X,O,X,O,X,X,X
LIOSJZT,O,X,O,O,X,O,X,O,X,O,X
LIOSZTJ,O,X,X,O,X,O,X,X,X,O,X
LIOSZJT,O,X,X,O,X,O,X,X,X,O,X
LIOZTJS,O,X,X,X,X,O,O,X,X,X,X
LIOZTSJ,O,X,O,O,X,O,O,X,X,O,X
LIOZJTS,X,X,O,X,X,O,O,O,X,X,X
LIOZJST,X,X,O,X,X,O,X,O,X,X,X
LIOZSTJ,O,X,X,O,X,O,X,X,X,O,X
LIOZSJT,O,X,X,O,X,O,X,X,X,O,X
LJTISZO,X,X,O,O,X,X,X,X,X,X,X
LJTISOZ,X,X,O,O,X,X,X,X,X,X,X
LJTIZSO,X,X,O,X,O,X,O,X,X,X,X
LJTIZOS,X,X,O,X,O,X,O,X,X,X,X
LJTIOSZ,X,X,O,X,X,X,X,X,X,X,X
LJTIOZS,X,X,O,X,O,X,O,X,X,X,X
LJTSIZO,O,O,O,O,X,X,X,X,X,X,X
LJTSIOZ,O,O,O,O,X,X,X,X,X,X,X
LJTSZIO,O,O,O,O,O,X,O,X,X,X,X
LJTSZOI,O,O,O,X,O,X,O,X,X,X,X
LJTSOIZ,O,O,O,O,X,X,X,X,X,X,X
LJTSOZI,O,O,O,X,O,X,O,X,X,X,X
LJTZISO,O,O,O,X,O,X,O,X,X,X,X
LJTZIOS,O,O,O,X,O,X,O,X,X,X,X
LJTZSIO,O,O,O,X,O,X,O,X,X,X,X
LJTZSOI,O,O,O,X,O,X,O,X,X,X,X
LJTZOIS,O,O,O,X,O,X,O,X,X,X,X
LJTZOSI,O,O,O,X,O,X,O,X,X,X,X
LJTOISZ,X,X,O,X,X,X,X,X,X,X,X
LJTOIZS,X,X,O,X,O,X,O,X,X,X,X
LJTOSIZ,O,O,O,X,X,X,X,X,X,X,X
LJTOSZI,O,O,O,X,O,X,O,X,X,X,X
LJTOZIS,O,O,O,X,O,X,O,X,X,X,X
LJTOZSI,O,O,O,X,O,X,O,X,X,X,X
LJITSZO,X,X,O,O,X,X,X,X,X,X,X
LJITSOZ,X,X,O,O,X,X,X,X,X,X,X
LJITZSO,X,X,O,X,O,X,O,X,X,X,X
LJITZOS,X,X,O,X,O,X,O,X,X,X,X
LJITOSZ,X,X,O,X,X,X,X,X,X,X,X
LJITOZS,X,X,O,X,O,X,O,X,X,X,X
LJISTZO,O,O,O,O,X,O,X,X,X,X,X
LJISTOZ,X,X,O,O,X,O,X,X,X,X,X
LJISZTO,O,O,O,O,O,O,O,X,X,X,X
LJISZOT,O,O,O,X,X,O,X,O,X,X,X
LJISOTZ,X,X,O,O,X,O,X,O,X,X,X
LJISOZT,O,O,O,X,X,O,X,O,X,X,X
LJIZTSO,O,O,O,X,O,O,O,X,X,X,X
LJIZTOS,O,O,O,X,O,X,O,X,X,X,X
LJIZSTO,O,O,O,X,O,O,O,X,X,X,X
LJIZSOT,O,O,O,X,X,O,X,O,X,X,X
LJIZOTS,X,X,O,X,O,X,O,O,X,X,X
LJIZOST,X,X,O,X,X,X,X,O,X,X,X
LJIOTSZ,X,X,O,X,X,X,X,O,X,X,X
LJIOTZS,X,X,O,X,X,X,X,O,X,X,X
LJIOSTZ,X,X,O,X,X,O,X,O,X,X,X
LJIOSZT,X,X,O,X,X,O,X,O,X,X,X
LJIOZTS,X,X,O,X,O,O,O,O,X,X,X
LJIOZST,X,X,O,X,X,O,X,O,X,X,X
LJSTIZO,O,O,O,O,X,O,X,X,X,X,X
LJSTIOZ,O,O,O,O,X,O,X,X,X,X,X
LJSTZIO,O,O,O,O,O,O,O,X,X,X,X
LJSTZOI,O,O,O,X,O,O,O,X,X,X,X
LJSTOIZ,O,O,O,O,X,O,X,X,X,X,X
LJSTOZI,O,O,O,O,O,O,O,X,X,X,X
LJSITZO,O,O,O,O,X,O,X,X,X,X,X
LJSITOZ,O,O,O,O,X,O,X,X,X,X,X
LJSIZTO,O,O,O,O,O,O,O,X,X,X,X
LJSIZOT,O,O,O,X,X,O,X,O,X,X,X
LJSIOTZ,X,X,O,O,X,O,X,O,X,X,X
LJSIOZT,O,O,O,O,X,O,X,O,X,X,X
LJSZTIO,O,O,O,O,O,O,O,X,X,X,X
LJSZTOI,O,O,O,X,O,O,O,X,X,X,X
LJSZITO,O,O,O,O,O,O,O,X,X,X,X
LJSZIOT,O,O,O,X,X,O,X,O,X,X,X
LJSZOTI,O,O,O,O,X,O,X,O,X,X,X
LJSZOIT,O,O,O,O,X,O,X,O,X,X,X
LJSOTIZ,O,O,O,O,X,O,X,O,X,X,X
LJSOTZI,O,O,O,O,X,O,X,O,X,X,X
LJSOITZ,X,X,O,O,X,O,X,O,X,X,X
LJSOIZT,O,O,O,O,X,O,X,O,X,X,X
LJSOZTI,O,O,O,O,X,O,X,O,X,X,X
LJSOZIT,O,O,O,O,X,O,X,O,X,X,X
LJZTISO,O,O,O,X,O,O,O,X,X,X,X
LJZTIOS,O,O,O,X,O,X,O,X,X,X,X
LJZTSIO,O,O,O,X,O,O,O,X,X,X,X
LJZTSOI,O,O,O,X,O,O,O,X,X,X,X
LJZTOIS,O,O,O,X,O,X,O,X,X,X,X
LJZTOSI,O,O,O,X,O,X,O,X,X,X,X
LJZITSO,O,O,O,X,O,O,O,X,X,X,X
LJZITOS,O,O,O,X,O,X,O,X,X,X,X
LJZISTO,O,O,O,X,O,O,O,X,X,X,X
LJZISOT,O,O,O,X,X,O,X,O,X,X,X
LJZIOTS,X,X,O,X,O,X,O,O,X,X,X
LJZIOST,X,X,O,X,X,X,X,O,X,X,X
LJZSTIO,O,O,O,X,O,O,O,X,X,X,X
LJZSTOI,O,O,O,X,O,O,O,X,X,X,X
LJZSITO,O,O,O,X,O,O,O,X,X,X,X
LJZSIOT,O,O,O,X,X,O,X,O,X,X,X
LJZSOTI,O,O,O,X,X,O,X,O,X,X,X
LJZSOIT,O,O,O,X,X,O,X,O,X,X,X
