sequence,v115@OhB8GeE8DeE8JeKEJvhFflBzhBGjBUmBllBRvB,v115@OhB8GeE8DeE8Jex/IvhFKmBzhBGjB/pB0qBFqB,v115@OhB8GeE8DeE8Je0/IvhFlgBzhBGjB/pBxqByvB,v115@OhB8GeE8DeE8JeKEJvhFzfB8mBGjB3lBFmBRvB,v115@OhB8GeE8DeE8Je3AJvhFzhBGjB0kBVrBikBRvB,v115@OhB8GeE8DeE8JeRAJvhFzhBGjBypBUmB1vB/pB
TSOZLIJ,X,O,X,X,X,X
TSOZLJI,X,O,O,X,X,X
TSOZJIL,X,X,O,X,O,X
TSOZJLI,X,O,O,X,X,X
TZILJSO,O,X,X,O,O,O
TZILJOS,O,X,X,O,O,O
TZILSJO,O,X,X,O,O,O
TZILSOJ,O,X,X,O,O,O
TZILOJS,O,X,X,O,O,O
TZILOSJ,O,X,X,O,O,O
TZIJLSO,O,X,X,O,O,O
TZIJLOS,O,X,X,O,O,O
TZIJSLO,X,X,X,O,O,X
TZIJSOL,X,X,X,X,O,X
TZIJOLS,O,X,X,X,O,O
TZIJOSL,X,X,X,X,O,X
TZISLJO,X,X,X,O,O,X
TZISLOJ,X,X,X,O,O,X
TZISJLO,X,X,X,O,O,X
TZISJOL,X,X,X,X,O,X
TZISOLJ,X,X,X,X,O,X
TZISOJL,X,X,X,X,O,X
TZIOLJS,O,X,X,X,O,O
TZIOLSJ,O,X,X,X,O,O
TZIOJLS,O,X,X,X,O,O
TZIOJSL,X,X,X,X,O,X
TZIOSLJ,X,X,X,X,O,X
TZIOSJL,X,X,X,X,O,X
TZLIJSO,X,X,X,O,X,O
TZLIJOS,X,X,X,O,X,O
TZLISJO,X,X,X,O,X,O
TZLISOJ,X,X,X,O,X,O
TZLIOJS,X,X,X,O,X,O
TZLIOSJ,X,X,X,O,X,O
TZLJISO,X,X,X,O,X,O
TZLJIOS,X,X,X,O,X,O
TZLJSIO,X,O,X,X,X,O
TZLJSOI,O,O,X,X,X,O
TZLJOIS,X,X,X,O,X,O
TZLJOSI,O,O,X,X,X,O
TZLSIJO,X,O,X,X,X,O
TZLSIOJ,X,O,X,X,X,O
TZLSJIO,X,O,X,X,X,O
TZLSJOI,O,O,X,X,X,O
TZLSOIJ,X,O,X,X,X,O
TZLSOJI,O,O,X,X,X,O
TZLOIJS,X,X,X,O,X,O
TZLOISJ,X,X,X,O,X,O
TZLOJIS,X,X,X,O,X,O
TZLOJSI,O,O,X,X,X,O
TZLOSIJ,X,O,X,X,X,O
TZLOSJI,O,O,X,X,X,O
TZJILSO,O,X,X,O,O,O
TZJILOS,O,X,X,O,O,O
TZJISLO,X,X,X,O,O,X
TZJISOL,X,X,X,X,O,X
TZJIOLS,O,X,X,X,O,O
TZJIOSL,X,X,X,X,O,X
TZJLISO,X,X,X,O,X,O
TZJLIOS,X,X,X,O,X,O
TZJLSIO,X,O,X,X,X,O
TZJLSOI,O,O,X,X,X,O
