sequence,v115@FhB8IeA8HeE8CeD8Jei/IvhFzgB3kBRnBGnB0qBlrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFflBxgB0iBVsBzqBGrB,v115@FhB8IeA8HeE8CeD8JeKEJvhFzfB+lB0iBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8Jex/IvhFCiBTkB2qBlnB3rB8qB,v115@FhB8IeA8HeE8CeD8JeOEJvhF6lB0iBzkBxrBlrBXrB,v115@FhB8IeA8HeE8CeD8JeT/IvhFCiB2rBlnBxpB/qBUrB,v115@FhB8IeA8HeE8CeD8Je1FJvhFxhB0kBurB3nBikBzqB,v115@FhB8IeA8HeE8CeD8JeOEJvhF8kBXhBRnB1qBTnBSwB
LIOZJTS,X,X,O,X,O,X,X,X
LIOZJST,X,X,O,X,O,X,X,X
LIOZSTJ,X,O,X,X,X,X,X,X
LIOZSJT,X,O,O,X,O,X,X,X
LJTISZO,X,X,O,X,X,O,X,X
LJTISOZ,X,X,O,X,X,O,X,X
LJTIZSO,X,X,O,X,X,O,X,X
LJTIZOS,X,X,O,X,X,O,X,X
LJTIOSZ,X,X,O,X,X,O,X,X
LJTIOZS,X,X,O,X,X,O,X,X
LJTSIZO,X,O,X,X,X,O,X,X
LJTSIOZ,X,X,X,O,X,O,X,X
LJTSZIO,X,O,X,X,X,X,X,X
LJTSZOI,X,O,X,O,X,X,X,X
LJTSOIZ,X,O,X,O,X,X,X,X
LJTSOZI,X,O,X,O,X,X,X,X
LJTZISO,X,X,O,X,X,O,X,X
LJTZIOS,X,X,O,X,X,O,X,X
LJTZSIO,X,O,X,X,X,X,X,X
LJTZSOI,X,O,X,X,X,X,X,X
LJTZOIS,X,X,O,X,X,X,X,X
LJTZOSI,X,O,X,X,X,X,X,X
LJTOISZ,X,X,O,X,X,O,X,X
LJTOIZS,X,X,O,X,X,O,X,X
LJTOSIZ,X,O,X,O,X,X,X,X
LJTOSZI,X,O,X,O,X,X,X,X
LJTOZIS,X,X,O,X,X,X,X,X
LJTOZSI,X,O,X,X,X,X,X,X
LJITSZO,X,X,O,X,X,O,X,X
LJITSOZ,X,X,O,X,X,O,X,X
LJITZSO,X,X,O,X,X,O,X,X
LJITZOS,X,X,O,X,X,O,X,X
LJITOSZ,X,X,O,X,X,O,X,X
LJITOZS,X,X,O,X,X,O,X,X
LJISTZO,X,X,O,X,X,X,X,X
LJISTOZ,X,X,O,X,X,X,X,X
LJISZTO,X,X,O,X,X,X,X,O
LJISZOT,X,X,O,X,X,X,X,X
LJISOTZ,X,X,O,X,X,X,X,X
LJISOZT,X,X,O,X,X,X,X,X
LJIZTSO,X,X,O,X,X,X,X,X
LJIZTOS,X,X,O,X,X,X,X,X
LJIZSTO,X,X,O,X,X,X,X,O
LJIZSOT,X,X,O,X,X,X,X,X
LJIZOTS,X,X,O,X,O,X,X,X
LJIZOST,X,X,O,X,O,X,X,X
LJIOTSZ,X,X,O,X,O,O,X,X
LJIOTZS,X,X,O,X,O,O,X,X
LJIOSTZ,X,X,O,X,O,X,X,X
LJIOSZT,X,X,O,X,O,X,X,X
LJIOZTS,X,X,O,X,O,X,X,X
LJIOZST,X,X,O,X,O,X,X,X
LJSTIZO,X,O,X,X,X,X,X,X
LJSTIOZ,X,X,X,O,X,X,X,X
LJSTZIO,X,O,X,X,X,X,X,X
LJSTZOI,X,O,X,O,X,X,X,X
LJSTOIZ,X,O,X,O,X,X,X,X
LJSTOZI,X,O,X,O,X,X,X,X
LJSITZO,X,O,O,X,X,X,X,X
LJSITOZ,X,X,O,X,X,X,X,X
LJSIZTO,X,O,O,X,X,X,O,X
LJSIZOT,X,O,O,X,X,X,X,X
LJSIOTZ,X,O,O,X,X,X,O,X
LJSIOZT,X,O,O,X,X,X,X,X
LJSZTIO,X,O,X,X,X,X,O,X
LJSZTOI,X,O,X,X,X,X,O,X
LJSZITO,X,O,O,X,X,X,O,X
LJSZIOT,X,O,O,X,X,X,X,X
LJSZOTI,X,O,X,X,X,X,O,X
LJSZOIT,X,O,O,X,X,X,X,X
LJSOTIZ,X,O,X,O,X,X,O,X
LJSOTZI,X,O,X,O,X,X,O,X
LJSOITZ,X,O,O,X,X,X,O,X
LJSOIZT,X,O,O,X,X,X,X,X
LJSOZTI,X,O,X,X,X,X,O,X
LJSOZIT,X,O,O,X,X,X,X,X
LJZTISO,X,X,O,X,X,X,X,X
LJZTIOS,X,X,O,X,X,X,X,X
LJZTSIO,X,O,X,X,X,X,O,X
LJZTSOI,X,O,X,X,X,X,O,X
LJZTOIS,X,X,O,X,X,X,X,X
LJZTOSI,X,O,X,X,X,X,X,X
LJZITSO,X,X,O,X,X,X,X,X
LJZITOS,X,X,O,X,X,X,X,X
LJZISTO,X,X,O,X,X,X,X,O
LJZISOT,X,X,O,X,X,X,X,X
LJZIOTS,X,X,O,X,O,X,X,X
LJZIOST,X,X,O,X,O,X,X,X
LJZSTIO,X,O,X,X,X,X,O,X
LJZSTOI,X,O,X,X,X,X,O,X
LJZSITO,X,O,O,X,X,X,O,X
LJZSIOT,X,O,O,X,X,X,X,X
LJZSOTI,X,O,X,X,X,X,O,X
LJZSOIT,X,O,O,X,X,X,X,X
LJZOTIS,X,X,O,X,O,X,X,X
LJZOTSI,X,O,X,X,X,X,O,X
LJZOITS,X,X,O,X,O,X,X,X
LJZOIST,X,X,O,X,O,X,X,X
LJZOSTI,X,O,X,X,X,X,O,X
LJZOSIT,X,O,O,X,O,X,X,X
LJOTISZ,X,X,O,X,O,X,X,X
LJOTIZS,X,X,O,X,O,X,X,X
LJOTSIZ,X,O,X,O,X,X,O,X
LJOTSZI,X,O,X,O,X,X,O,X
LJOTZIS,X,X,O,X,O,X,X,X
LJOTZSI,X,O,X,X,X,X,O,X
LJOITSZ,X,X,O,X,O,X,X,X
LJOITZS,X,X,O,X,O,X,X,X
LJOISTZ,X,X,O,X,O,X,X,X
LJOISZT,X,X,O,X,O,X,X,X
LJOIZTS,X,X,O,X,O,X,X,X
LJOIZST,X,X,O,X,O,X,X,X
LJOSTIZ,X,O,X,O,X,X,O,X
LJOSTZI,X,O,X,O,X,X,O,X
LJOSITZ,X,O,O,X,O,X,O,X
LJOSIZT,X,O,O,X,O,X,X,X
LJOSZTI,X,O,X,X,X,X,O,X
LJOSZIT,X,O,O,X,O,X,X,X
LJOZTIS,X,X,O,X,O,X,X,X
LJOZTSI,X,O,X,X,X,X,O,X
LJOZITS,X,X,O,X,O,X,X,X
LJOZIST,X,X,O,X,O,X,X,X
LJOZSTI,X,O,X,X,X,X,O,X
LJOZSIT,X,O,O,X,O,X,X,X
LSTIJZO,O,O,X,X,X,X,X,X
LSTIJOZ,O,X,X,O,X,X,X,X
LSTIZJO,O,O,X,X,X,X,X,X
LSTIZOJ,O,O,X,X,X,X,X,X
LSTIOJZ,O,O,X,O,X,X,X,X
LSTIOZJ,O,O,X,X,X,X,X,X
LSTJIZO,O,O,X,X,X,X,X,X
LSTJIOZ,O,X,X,O,X,X,X,X
LSTJZIO,O,O,X,X,X,X,X,X
LSTJZOI,O,O,X,O,X,X,X,X
LSTJOIZ,O,O,X,O,X,X,X,X
LSTJOZI,X,O,X,O,X,X,X,X
LSTZIJO,O,O,X,X,X,X,X,X
LSTZIOJ,O,O,X,X,X,X,X,X
LSTZJIO,O,O,X,X,X,X,X,X
LSTZJOI,O,O,X,O,X,X,X,X
LSTZOIJ,O,O,X,X,X,X,X,X
LSTZOJI,O,O,X,O,X,X,X,X
LSTOIJZ,O,O,X,O,X,X,X,X
LSTOIZJ,O,O,X,X,X,X,X,X
LSTOJIZ,O,O,X,O,X,X,X,X
LSTOJZI,X,O,X,O,X,X,X,X
LSTOZIJ,O,O,X,X,X,X,X,X
LSTOZJI,O,O,X,O,X,X,X,X
LSITJZO,O,O,X,X,X,X,X,X
LSITJOZ,O,X,X,X,X,X,X,X
LSITZJO,O,O,X,X,X,X,X,X
LSITZOJ,O,O,X,X,X,X,X,X
LSITOJZ,O,O,X,X,X,X,X,X
LSITOZJ,O,O,X,X,X,X,X,X
LSIJTZO,O,O,O,X,X,X,X,X
LSIJTOZ,O,X,O,X,X,X,X,X
LSIJZTO,X,O,O,X,X,X,O,X
LSIJZOT,O,O,O,X,X,X,X,X
LSIJOTZ,X,O,O,X,X,X,O,X
LSIJOZT,X,O,O,X,X,X,X,X
LSIZTJO,O,O,X,X,X,X,X,X
LSIZTOJ,O,O,X,X,X,X,X,X
LSIZJTO,X,O,O,X,X,X,O,X
LSIZJOT,O,O,O,X,X,X,X,X
LSIZOTJ,O,O,X,X,X,X,X,X
LSIZOJT,O,O,O,X,X,X,X,X
LSIOTJZ,O,O,X,X,X,X,X,X
LSIOTZJ,O,O,X,X,X,X,X,X
LSIOJTZ,X,O,O,X,X,X,X,X
LSIOJZT,X,O,O,X,X,X,X,X
LSIOZTJ,O,O,X,X,X,X,X,X
LSIOZJT,O,O,O,X,X,X,X,X
LSJTIZO,O,O,X,X,X,X,X,X
LSJTIOZ,O,X,X,O,X,X,X,X
LSJTZIO,O,O,X,X,X,X,X,X
LSJTZOI,O,O,X,O,X,X,X,X
LSJTOIZ,O,O,X,O,X,X,X,X
LSJTOZI,X,O,X,O,X,X,X,X
LSJITZO,O,O,O,X,X,X,X,X
LSJITOZ,O,X,O,X,X,X,X,X
LSJIZTO,X,O,O,X,X,X,O,X
LSJIZOT,O,O,O,X,X,X,X,X
LSJIOTZ,X,O,O,X,X,X,O,X
LSJIOZT,X,O,O,X,X,X,X,X
LSJZTIO,O,O,X,X,X,X,O,X
LSJZTOI,O,O,X,X,X,X,O,X
LSJZITO,X,O,O,X,X,X,O,X
LSJZIOT,O,O,O,X,X,X,X,X
LSJZOTI,O,O,X,X,X,X,O,X
LSJZOIT,O,O,O,X,X,X,X,X
LSJOTIZ,X,O,X,O,X,X,O,X
LSJOTZI,X,O,X,O,X,X,O,X
LSJOITZ,X,O,O,X,X,X,O,X
LSJOIZT,X,O,O,X,X,X,X,X
LSJOZTI,X,O,X,X,X,X,O,X
LSJOZIT,X,O,O,X,X,X,X,X
LSZTIJO,O,O,X,X,X,X,X,X
LSZTIOJ,O,O,X,X,X,X,X,X
LSZTJIO,O,O,X,X,X,X,O,X
LSZTJOI,O,O,X,X,X,X,O,X
LSZTOIJ,O,O,X,X,X,X,X,X
LSZTOJI,O,O,X,X,X,X,X,X
LSZITJO,O,O,X,X,X,X,X,X
LSZITOJ,O,O,X,X,X,X,X,X
LSZIJTO,X,O,O,X,X,X,O,X
LSZIJOT,O,O,O,X,X,X,X,X
LSZIOTJ,O,O,X,X,X,X,X,X
LSZIOJT,O,O,O,X,X,X,X,X
LSZJTIO,O,O,X,X,X,X,O,X
LSZJTOI,O,O,X,X,X,X,O,X
LSZJITO,X,O,O,X,X,X,O,X
LSZJIOT,O,O,O,X,X,X,X,X
LSZJOTI,O,O,X,X,X,X,O,X
LSZJOIT,O,O,O,X,X,X,X,X
LSZOTIJ,O,O,X,X,X,X,X,X
LSZOTJI,O,O,X,X,X,X,O,X
LSZOITJ,O,O,X,X,X,X,X,X
LSZOIJT,O,O,O,X,X,X,X,X
LSZOJTI,O,O,X,X,X,X,O,X
LSZOJIT,O,O,O,X,X,X,X,X
LSOTIJZ,O,O,X,O,X,X,X,X
LSOTIZJ,O,O,X,X,X,X,X,X
LSOTJIZ,O,O,X,O,X,X,O,X
LSOTJZI,X,O,X,O,X,X,O,X
LSOTZIJ,O,O,X,X,X,X,X,X
LSOTZJI,O,O,X,O,X,X,O,X
LSOITJZ,O,O,X,X,X,X,X,X
LSOITZJ,O,O,X,X,X,X,X,X
LSOIJTZ,X,O,O,X,X,X,X,X
LSOIJZT,X,O,O,X,X,X,X,X
LSOIZTJ,O,O,X,X,X,X,X,X
LSOIZJT,O,O,O,X,X,X,X,X
LSOJTIZ,X,O,X,O,X,X,O,X
LSOJTZI,X,O,X,O,X,X,O,X
LSOJITZ,X,O,O,X,X,X,O,X
LSOJIZT,X,O,O,X,X,X,X,X
LSOJZTI,X,O,X,X,X,X,O,X
LSOJZIT,X,O,O,X,X,X,X,X
LSOZTIJ,O,O,X,X,X,X,X,X
LSOZTJI,O,O,X,X,X,X,O,X
LSOZITJ,O,O,X,X,X,X,X,X
LSOZIJT,O,O,O,X,X,X,X,X
LSOZJTI,O,O,X,X,X,X,O,X
LSOZJIT,O,O,O,X,X,X,X,X
LZTIJSO,X,X,O,X,X,X,X,X
LZTIJOS,X,X,O,X,X,X,X,X
LZTISJO,O,O,X,X,X,X,X,X
LZTISOJ,O,O,X,X,X,X,X,X
LZTIOJS,X,X,O,X,X,X,X,X
LZTIOSJ,O,O,X,X,X,X,X,X
LZTJISO,X,X,O,X,X,X,X,X
LZTJIOS,X,X,O,X,X,X,X,X
LZTJSIO,X,O,X,X,X,X,O,X
LZTJSOI,X,O,X,X,X,X,O,X
LZTJOIS,X,X,O,X,X,X,X,X
LZTJOSI,X,O,X,X,X,X,X,X
LZTSIJO,O,O,X,X,X,X,X,X
LZTSIOJ,O,O,X,X,X,X,X,X
LZTSJIO,O,O,X,X,X,X,O,X
LZTSJOI,O,O,X,X,X,X,O,X
LZTSOIJ,O,O,X,X,X,X,X,X
LZTSOJI,O,O,X,X,X,X,X,X
LZTOIJS,X,X,O,X,X,X,X,X
LZTOISJ,O,O,X,X,X,X,X,X
LZTOJIS,X,X,O,X,X,X,X,X
LZTOJSI,X,O,X,X,X,X,X,X
LZTOSIJ,O,O,X,X,X,X,X,X
LZTOSJI,O,O,X,X,X,X,X,X
LZITJSO,X,X,O,X,X,X,X,X
LZITJOS,X,X,O,X,X,X,X,X
LZITSJO,X,O,X,X,X,X,X,X
LZITSOJ,X,O,X,X,X,X,X,X
LZITOJS,X,X,O,X,X,X,X,X
LZITOSJ,X,O,X,X,X,X,X,X
LZIJTSO,X,X,O,X,X,X,X,X
LZIJTOS,X,X,O,X,X,X,X,X
LZIJSTO,X,X,O,X,X,X,X,O
LZIJSOT,X,X,O,X,X,X,X,X
LZIJOTS,X,X,O,X,O,X,X,X
LZIJOST,X,X,O,X,O,X,X,X
LZISTJO,X,O,X,X,X,X,X,X
LZISTOJ,O,O,X,X,X,X,X,X
LZISJTO,X,O,O,X,X,X,X,O
LZISJOT,O,O,O,X,X,X,X,X
LZISOTJ,O,O,X,X,X,X,X,X
LZISOJT,O,O,O,X,X,X,X,X
LZIOTJS,X,X,O,X,O,X,X,X
LZIOTSJ,X,O,X,X,X,X,X,X
LZIOJTS,X,X,O,X,O,X,X,X
LZIOJST,X,X,O,X,O,X,X,X
LZIOSTJ,O,O,X,X,X,X,X,X
LZIOSJT,O,O,O,X,O,X,X,X
LZJTISO,X,X,O,X,X,X,X,X
LZJTIOS,X,X,O,X,X,X,X,X
LZJTSIO,X,O,X,X,X,X,O,X
LZJTSOI,X,O,X,X,X,X,O,X
LZJTOIS,X,X,O,X,X,X,X,X
LZJTOSI,X,O,X,X,X,X,X,X
LZJITSO,X,X,O,X,X,X,X,X
LZJITOS,X,X,O,X,X,X,X,X
LZJISTO,X,X,O,X,X,X,X,O
LZJISOT,X,X,O,X,X,X,X,X
LZJIOTS,X,X,O,X,O,X,X,X
LZJIOST,X,X,O,X,O,X,X,X
LZJSTIO,X,O,X,X,X,X,O,X
LZJSTOI,X,O,X,X,X,X,O,X
LZJSITO,X,O,O,X,X,X,O,X
LZJSIOT,X,O,O,X,X,X,X,X
LZJSOTI,X,O,X,X,X,X,O,X
LZJSOIT,X,O,O,X,X,X,X,X
LZJOTIS,X,X,O,X,O,X,X,X
LZJOTSI,X,O,X,X,X,X,O,X
LZJOITS,X,X,O,X,O,X,X,X
LZJOIST,X,X,O,X,O,X,X,X
LZJOSTI,X,O,X,X,X,X,O,X
LZJOSIT,X,O,O,X,O,X,X,X
LZSTIJO,O,O,X,X,X,X,X,X
LZSTIOJ,O,O,X,X,X,X,X,X
LZSTJIO,O,O,X,X,X,X,O,X
LZSTJOI,O,O,X,X,X,X,O,X
LZSTOIJ,O,O,X,X,X,X,X,X
LZSTOJI,O,O,X,X,X,X,X,X
LZSITJO,O,O,X,X,X,X,X,X
LZSITOJ,O,O,X,X,X,X,X,X
LZSIJTO,X,O,O,X,X,X,O,X
LZSIJOT,O,O,O,X,X,X,X,X
LZSIOTJ,O,O,X,X,X,X,X,X
LZSIOJT,O,O,O,X,X,X,X,X
LZSJTIO,O,O,X,X,X,X,O,X
LZSJTOI,O,O,X,X,X,X,O,X
LZSJITO,X,O,O,X,X,X,O,X
LZSJIOT,O,O,O,X,X,X,X,X
LZSJOTI,O,O,X,X,X,X,O,X
LZSJOIT,O,O,O,X,X,X,X,X
LZSOTIJ,O,O,X,X,X,X,X,X
LZSOTJI,O,O,X,X,X,X,O,X
LZSOITJ,O,O,X,X,X,X,X,X
LZSOIJT,O,O,O,X,X,X,X,X
LZSOJTI,O,O,X,X,X,X,O,X
LZSOJIT,O,O,O,X,X,X,X,X
LZOTIJS,X,X,O,X,O,X,X,X
LZOTISJ,O,O,X,X,X,X,X,X
LZOTJIS,X,X,O,X,O,X,X,X
LZOTJSI,X,O,X,X,X,X,O,X
LZOTSIJ,O,O,X,X,X,X,X,X
LZOTSJI,O,O,X,X,X,X,O,X
LZOITJS,X,X,O,X,O,X,X,X
LZOITSJ,X,O,X,X,X,X,X,X
LZOIJTS,X,X,O,X,O,X,X,X
LZOIJST,X,X,O,X,O,X,X,X
LZOISTJ,O,O,X,X,X,X,X,X
LZOISJT,O,O,O,X,O,X,X,X
LZOJTIS,X,X,O,X,O,X,X,X
LZOJTSI,X,O,X,X,X,X,O,X
LZOJITS,X,X,O,X,O,X,X,X
LZOJIST,X,X,O,X,O,X,X,X
LZOJSTI,X,O,X,X,X,X,O,X
LZOJSIT,X,O,O,X,O,X,X,X
LZOSTIJ,O,O,X,X,X,X,X,X
LZOSTJI,O,O,X,X,X,X,O,X
LZOSITJ,O,O,X,X,X,X,X,X
LZOSIJT,O,O,O,X,O,X,X,X
LZOSJTI,O,O,X,X,X,X,O,X
LZOSJIT,O,O,O,X,O,X,X,X
LOTIJSZ,X,X,O,X,O,X,X,X
LOTIJZS,X,X,O,X,O,X,X,X
LOTISJZ,X,O,X,O,X,X,X,X
LOTISZJ,X,O,X,X,X,X,X,X
LOTIZJS,X,X,O,X,O,X,X,X
LOTIZSJ,X,O,X,X,X,X,X,X
LOTJISZ,X,X,O,X,O,X,X,X
LOTJIZS,X,X,O,X,O,X,X,X
LOTJSIZ,X,O,X,O,X,X,O,X
LOTJSZI,X,O,X,O,X,X,O,X
LOTJZIS,X,X,O,X,O,X,X,X
LOTJZSI,X,O,X,X,X,X,O,X
LOTSIJZ,X,O,X,O,X,X,X,X
LOTSIZJ,X,O,X,X,X,X,X,X
LOTSJIZ,X,O,X,O,X,X,O,X
LOTSJZI,X,O,X,O,X,X,O,X
LOTSZIJ,X,O,X,X,X,X,X,X
LOTSZJI,X,O,X,O,X,X,O,X
LOTZIJS,X,X,O,X,O,X,X,X
LOTZISJ,X,O,X,X,X,X,X,X
LOTZJIS,X,X,O,X,O,X,X,X
LOTZJSI,X,O,X,X,X,X,O,X
LOTZSIJ,X,O,X,X,X,X,X,X
LOTZSJI,X,O,X,O,X,X,O,X
LOITJSZ,X,X,O,X,O,X,X,X
LOITJZS,X,X,O,X,O,X,X,X
LOITSJZ,X,O,X,X,X,X,X,X
LOITSZJ,X,O,X,X,X,X,X,X
LOITZJS,X,X,O,X,O,X,X,X
LOITZSJ,X,O,X,X,X,X,X,X
LOIJTSZ,X,X,O,X,O,X,X,X
LOIJTZS,X,X,O,X,O,X,X,X
LOIJSTZ,X,X,O,X,O,X,X,X
LOIJSZT,X,X,O,X,O,X,X,X
LOIJZTS,X,X,O,X,O,X,X,X
LOIJZST,X,X,O,X,O,X,X,X
LOISTJZ,X,O,X,X,X,X,X,X
LOISTZJ,X,O,X,X,X,X,X,X
LOISJTZ,X,O,O,X,O,X,X,X
LOISJZT,X,O,O,X,O,X,X,X
LOISZTJ,X,O,X,X,X,X,X,X
LOISZJT,X,O,O,X,O,X,X,X
LOIZTJS,X,X,O,X,O,X,X,X
LOIZTSJ,X,O,X,X,X,X,X,X
LOIZJTS,X,X,O,X,O,X,X,X
LOIZJST,X,X,O,X,O,X,X,X
LOIZSTJ,X,O,X,X,X,X,X,X
LOIZSJT,X,O,O,X,O,X,X,X
LOJTISZ,X,X,O,X,O,X,X,X
LOJTIZS,X,X,O,X,O,X,X,X
LOJTSIZ,X,O,X,O,X,X,O,X
LOJTSZI,X,O,X,O,X,X,O,X
LOJTZIS,X,X,O,X,O,X,X,X
LOJTZSI,X,O,X,X,X,X,O,X
LOJITSZ,X,X,O,X,O,X,X,X
LOJITZS,X,X,O,X,O,X,X,X
LOJISTZ,X,X,O,X,O,X,X,X
LOJISZT,X,X,O,X,O,X,X,X
LOJIZTS,X,X,O,X,O,X,X,X
LOJIZST,X,X,O,X,O,X,X,X
LOJSTIZ,X,O,X,O,X,X,O,X
LOJSTZI,X,O,X,O,X,X,O,X
LOJSITZ,X,O,O,X,O,X,O,X
LOJSIZT,X,O,O,X,O,X,X,X
LOJSZTI,X,O,X,X,X,X,O,X
LOJSZIT,X,O,O,X,O,X,X,X
LOJZTIS,X,X,O,X,O,X,X,X
LOJZTSI,X,O,X,X,X,X,O,X
LOJZITS,X,X,O,X,O,X,X,X
LOJZIST,X,X,O,X,O,X,X,X
LOJZSTI,X,O,X,X,X,X,O,X
LOJZSIT,X,O,O,X,O,X,X,X
LOSTIJZ,X,O,X,O,X,X,X,X
LOSTIZJ,X,O,X,X,X,X,X,X
LOSTJIZ,X,O,X,O,X,X,O,X
LOSTJZI,X,O,X,O,X,X,O,X
LOSTZIJ,X,O,X,X,X,X,X,X
LOSTZJI,X,O,X,O,X,X,O,X
LOSITJZ,X,O,X,X,X,X,X,X
LOSITZJ,X,O,X,X,X,X,X,X
LOSIJTZ,X,O,O,X,O,X,X,X
LOSIJZT,X,O,O,X,O,X,X,X
LOSIZTJ,X,O,X,X,X,X,X,X
LOSIZJT,X,O,O,X,O,X,X,X
LOSJTIZ,X,O,X,O,X,X,O,X
LOSJTZI,X,O,X,O,X,X,O,X
LOSJITZ,X,O,O,X,O,X,O,X
LOSJIZT,X,O,O,X,O,X,X,X
LOSJZTI,X,O,X,X,X,X,O,X
LOSJZIT,X,O,O,X,O,X,X,X
LOSZTIJ,X,O,X,X,X,X,X,X
LOSZTJI,X,O,X,X,X,X,O,X
LOSZITJ,X,O,X,X,X,X,X,X
LOSZIJT,X,O,O,X,O,X,X,X
LOSZJTI,X,O,X,X,X,X,O,X
LOSZJIT,X,O,O,X,O,X,X,X
LOZTIJS,X,X,O,X,O,X,X,X
LOZTISJ,X,O,X,X,X,X,X,X
LOZTJIS,X,X,O,X,O,X,X,X
LOZTJSI,X,O,X,X,X,X,O,X
LOZTSIJ,X,O,X,X,X,X,X,X
LOZTSJI,X,O,X,X,X,X,O,X
LOZITJS,X,X,O,X,O,X,X,X
LOZITSJ,X,O,X,X,X,X,X,X
LOZIJTS,X,X,O,X,O,X,X,X
LOZIJST,X,X,O,X,O,X,X,X
LOZISTJ,X,O,X,X,X,X,X,X
LOZISJT,X,O,O,X,O,X,X,X
LOZJTIS,X,X,O,X,O,X,X,X
LOZJTSI,X,O,X,X,X,X,O,X
LOZJITS,X,X,O,X,O,X,X,X
LOZJIST,X,X,O,X,O,X,X,X
LOZJSTI,X,O,X,X,X,X,O,X
LOZJSIT,X,O,O,X,O,X,X,X
LOZSTIJ,X,O,X,X,X,X,X,X
LOZSTJI,X,O,X,X,X,X,O,X
LOZSITJ,X,O,X,X,X,X,X,X
LOZSIJT,X,O,O,X,O,X,X,X
LOZSJTI,X,O,X,X,X,X,O,X
LOZSJIT,X,O,O,X,O,X,X,X
JTILSZO,X,X,O,X,X,O,X,X
JTILSOZ,X,X,O,X,X,O,X,X
JTILZSO,X,X,O,X,X,O,X,X
JTILZOS,X,X,O,X,X,O,X,X
JTILOSZ,X,X,O,X,X,O,X,X
JTILOZS,X,X,O,X,X,O,X,X
JTISLZO,O,X,X,X,X,O,X,X
JTISLOZ,O,X,X,O,X,O,X,X
JTISZLO,O,X,X,X,X,O,X,O
JTISZOL,O,X,X,X,X,O,X,O
JTISOLZ,O,X,X,O,X,O,X,X
JTISOZL,X,X,X,O,X,O,X,X
JTIZLSO,X,X,O,X,X,O,X,X
JTIZLOS,X,X,O,X,X,O,X,X
JTIZSLO,O,X,X,X,X,O,X,O
JTIZSOL,O,X,X,X,X,O,X,O
JTIZOLS,X,X,X,X,O,O,X,X
JTIZOSL,O,X,X,X,X,O,X,X
JTIOLSZ,X,X,X,X,O,O,X,X
JTIOLZS,X,X,X,X,O,O,X,X
JTIOSLZ,O,X,X,O,X,O,X,X
JTIOSZL,X,X,X,O,X,O,X,X
JTIOZLS,X,X,X,X,O,O,X,X
JTIOZSL,X,X,X,X,X,O,X,X
JTLISZO,X,X,O,X,X,O,X,X
JTLISOZ,X,X,O,X,X,O,X,X
JTLIZSO,X,X,O,X,X,O,X,X
JTLIZOS,X,X,O,X,X,O,X,X
JTLIOSZ,X,X,O,X,X,O,X,X
JTLIOZS,X,X,O,X,X,O,X,X
JTLSIZO,X,O,X,X,X,O,X,X
JTLSIOZ,X,X,X,O,X,O,X,X
JTLSZIO,X,O,X,X,X,X,X,X
JTLSZOI,X,O,X,O,X,X,X,X
JTLSOIZ,X,O,X,O,X,X,X,X
JTLSOZI,X,O,X,O,X,X,X,X
JTLZISO,X,X,O,X,X,O,X,X
JTLZIOS,X,X,O,X,X,O,X,X
JTLZSIO,X,O,X,X,X,X,X,X
JTLZSOI,X,O,X,X,X,X,X,X
JTLZOIS,X,X,O,X,X,X,X,X
JTLZOSI,X,O,X,X,X,X,X,X
JTLOISZ,X,X,O,X,X,O,X,X
JTLOIZS,X,X,O,X,X,O,X,X
JTLOSIZ,X,O,X,O,X,X,X,X
JTLOSZI,X,O,X,O,X,X,X,X
JTLOZIS,X,X,O,X,X,X,X,X
JTLOZSI,X,O,X,X,X,X,X,X
JTSILZO,O,X,X,X,X,O,X,X
JTSILOZ,O,X,X,O,X,O,X,X
JTSIZLO,O,X,X,X,X,O,O,X
JTSIZOL,O,X,X,X,X,O,O,X
JTSIOLZ,O,X,X,O,X,O,O,X
JTSIOZL,X,X,X,O,X,O,O,X
JTSLIZO,O,X,X,X,X,O,X,X
JTSLIOZ,O,X,X,O,X,O,X,X
JTSLZIO,O,X,X,X,X,X,X,X
JTSLZOI,O,X,X,O,X,X,X,X
JTSLOIZ,O,X,X,O,X,X,X,X
JTSLOZI,X,X,X,O,X,X,X,X
JTSZILO,O,X,X,X,X,X,O,X
JTSZIOL,O,X,X,X,X,X,O,X
JTSZLIO,O,X,X,X,X,X,O,X
JTSZLOI,O,X,X,O,X,X,O,X
JTSZOIL,O,X,X,O,X,X,O,X
JTSZOLI,O,X,X,O,X,X,O,X
JTSOILZ,O,X,X,O,X,X,O,X
JTSOIZL,X,X,X,O,X,X,O,X
JTSOLIZ,O,X,X,O,X,X,O,X
JTSOLZI,X,X,X,O,X,X,O,X
JTSOZIL,X,X,X,O,X,X,O,X
JTSOZLI,X,X,X,O,X,X,O,X
JTZILSO,X,X,O,X,X,O,X,X
JTZILOS,X,X,O,X,X,O,X,X
JTZISLO,O,X,X,X,X,O,O,O
JTZISOL,O,X,X,X,X,O,O,O
JTZIOLS,X,X,X,X,O,O,X,X
JTZIOSL,O,X,X,X,X,O,X,X
JTZLISO,X,X,O,X,X,O,X,X
JTZLIOS,X,X,O,X,X,O,X,X
JTZLSIO,X,O,X,X,X,X,O,X
JTZLSOI,X,O,X,X,X,X,O,X
JTZLOIS,X,X,O,X,X,X,X,X
JTZLOSI,X,O,X,X,X,X,X,X
