sequence,v115@QhB8EeA8BeC8BeF8Jei/IvhFRhBFjBzkBGmB0nB3qB,v115@QhB8EeA8BeC8BeF8Jem/IvhFChBxiB0kBlmBznB3qB,v115@QhB8EeA8BeC8BeF8Je/EJvhFRgBumBFjBKqBzqB0sB,v115@QhB8EeA8BeC8BeF8JeT/IvhFigBumBFjB0nBRqB3qB
TOSIZLJ,X,O,X,X
TOSIZJL,X,O,X,X
TOSLIJZ,O,O,O,X
TOSLIZJ,X,O,O,X
TOSLJIZ,O,O,O,X
TOSLJZI,O,O,O,X
TOSLZIJ,X,O,O,X
TOSLZJI,O,O,O,X
TOSJILZ,O,O,O,O
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,X,X
TOSJZLI,O,O,X,X
TOSZILJ,X,O,X,X
TOSZIJL,X,O,X,X
TOSZLIJ,X,O,X,X
TOSZLJI,O,O,X,X
TOSZJIL,O,O,X,X
TOSZJLI,O,O,X,X
TOZILJS,O,O,O,O
TOZILSJ,O,O,O,O
TOZIJLS,O,O,O,O
TOZIJSL,O,O,X,O
TOZISLJ,O,O,X,O
TOZISJL,X,O,X,O
TOZLIJS,O,O,O,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,X
TOZLSIJ,O,O,O,X
TOZLSJI,O,O,O,X
TOZJILS,O,O,O,O
TOZJISL,O,O,X,O
TOZJLIS,O,O,O,O
TOZJLSI,O,O,O,X
TOZJSIL,O,O,X,O
TOZJSLI,O,O,O,X
TOZSILJ,O,O,X,O
TOZSIJL,X,O,X,O
TOZSLIJ,O,O,O,X
TOZSLJI,O,O,O,X
TOZSJIL,O,O,X,O
TOZSJLI,O,O,O,X
ITLJSZO,O,O,O,X
ITLJSOZ,O,X,O,O
ITLJZSO,O,O,X,O
ITLJZOS,O,O,X,O
ITLJOSZ,O,X,O,O
ITLJOZS,O,X,X,O
ITLSJZO,O,O,O,X
ITLSJOZ,O,X,O,O
ITLSZJO,X,O,O,X
ITLSZOJ,X,O,X,X
ITLSOJZ,X,O,O,O
ITLSOZJ,X,O,O,X
ITLZJSO,X,O,X,O
ITLZJOS,X,O,X,O
ITLZSJO,X,O,X,O
ITLZSOJ,X,O,X,O
ITLZOJS,X,O,X,O
ITLZOSJ,X,O,X,O
ITLOJSZ,O,O,O,O
ITLOJZS,O,O,X,O
ITLOSJZ,X,O,O,O
ITLOSZJ,X,O,O,X
ITLOZJS,X,O,X,O
ITLOZSJ,X,O,X,O
ITJLSZO,O,O,O,X
ITJLSOZ,O,X,O,O
ITJLZSO,O,O,X,O
ITJLZOS,O,O,X,O
ITJLOSZ,O,X,O,O
ITJLOZS,O,X,X,O
ITJSLZO,O,O,O,X
ITJSLOZ,O,X,O,O
ITJSZLO,O,O,O,X
ITJSZOL,O,O,O,X
ITJSOLZ,O,X,O,O
ITJSOZL,O,X,O,X
ITJZLSO,O,O,X,O
ITJZLOS,O,O,X,O
ITJZSLO,O,O,X,O
ITJZSOL,O,O,X,O
ITJZOLS,O,O,X,O
ITJZOSL,X,X,X,O
ITJOLSZ,O,X,O,O
ITJOLZS,O,X,X,O
ITJOSLZ,O,X,X,O
ITJOSZL,O,X,X,X
ITJOZLS,O,X,X,O
ITJOZSL,X,X,X,O
ITSLJZO,O,O,O,X
ITSLJOZ,O,X,O,O
ITSLZJO,X,O,O,X
ITSLZOJ,X,O,X,X
ITSLOJZ,X,O,O,O
ITSLOZJ,X,O,O,X
ITSJLZO,O,O,O,X
ITSJLOZ,O,X,O,O
ITSJZLO,O,O,O,X
ITSJZOL,O,O,O,X
ITSJOLZ,O,X,O,O
ITSJOZL,O,X,O,X
ITSZLJO,X,O,O,X
ITSZLOJ,X,O,X,X
ITSZJLO,X,O,O,X
ITSZJOL,X,O,O,X
ITSZOLJ,X,O,X,X
ITSZOJL,X,O,X,X
ITSOLJZ,O,O,O,O
ITSOLZJ,X,O,X,X
ITSOJLZ,O,O,O,O
ITSOJZL,O,O,O,X
ITSOZLJ,X,O,X,X
ITSOZJL,X,O,X,X
ITZLJSO,X,O,X,O
ITZLJOS,X,O,X,O
ITZLSJO,X,O,X,O
ITZLSOJ,X,O,X,O
ITZLOJS,X,O,X,O
ITZLOSJ,X,O,X,O
ITZJLSO,X,O,X,O
ITZJLOS,X,O,X,O
ITZJSLO,X,O,X,O
