sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB
ISJZOLT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISJOTLZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISJOTZL,O,X,X,X,X,O,X,X,X,O,X,X,X
ISJOLTZ,O,X,X,X,X,O,X,X,X,O,X,X,X
ISJOLZT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJOZTL,O,X,X,O,X,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZTLJO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZTLOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZTJLO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZTJOL,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZTOLJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZTOJL,O,X,X,O,X,X,X,X,X,O,O,X,X
ISZLTJO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZLTOJ,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZLJTO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZLJOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZLOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZLOJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZJTLO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZJTOL,X,X,X,O,X,X,X,X,X,O,O,X,X
ISZJLTO,O,O,X,O,X,X,X,X,X,O,O,X,X
ISZJLOT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZJOTL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISZJOLT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZOTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZOTJL,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZOLJT,O,O,X,O,X,X,X,X,X,X,X,X,X
ISZOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X
ISZOJLT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTJZL,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJSO,X,X,O,O,O,X,X,X,X,X,O,O,X
IZTLJOS,X,X,O,O,O,X,X,X,X,X,O,O,X
IZTLSJO,X,O,O,O,O,X,X,X,X,X,O,O,X
IZTLSOJ,X,O,O,O,O,X,X,X,X,X,O,X,X
IZTLOJS,X,X,X,X,O,X,X,X,X,X,O,O,X
IZTLOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
IZTJLSO,X,O,O,O,O,X,X,X,X,X,O,O,X
IZTJLOS,X,X,O,O,O,X,X,X,X,X,O,O,X
IZTJSLO,X,O,O,O,X,X,X,X,X,O,O,O,X
IZTJSOL,X,O,O,O,X,X,X,X,X,O,O,X,X
IZTJOLS,X,X,O,O,O,X,X,X,X,X,O,O,X
IZTJOSL,X,O,O,O,X,X,X,X,X,O,O,X,X
IZTSLJO,X,O,O,O,X,X,X,X,X,O,O,O,X
IZTSLOJ,X,O,O,O,X,X,X,X,X,O,O,X,X
IZTSJLO,X,O,O,O,X,X,X,X,X,O,O,O,X
IZTSJOL,X,O,O,O,X,X,X,X,X,O,O,X,X
IZTSOLJ,X,O,O,O,X,X,X,X,X,O,O,X,X
IZTSOJL,X,X,O,O,X,X,X,X,X,O,O,X,X
IZTOLJS,X,X,O,X,O,X,X,X,X,X,O,O,X
IZTOLSJ,X,X,O,X,O,X,X,X,X,X,O,X,X
IZTOJLS,X,X,O,X,O,X,X,X,X,X,O,O,X
IZTOJSL,X,X,O,X,X,X,X,X,X,O,O,X,X
IZTOSLJ,X,O,O,X,X,X,X,X,X,O,O,X,X
IZTOSJL,X,X,O,X,X,X,X,X,X,O,O,X,X
IZLTJSO,X,X,O,O,O,X,X,X,X,X,O,X,X
IZLTJOS,X,X,O,O,O,X,X,X,X,X,O,X,X
IZLTSJO,X,X,O,O,O,X,X,X,X,X,O,X,X
IZLTSOJ,X,X,O,O,O,X,X,X,X,X,O,X,X
IZLTOJS,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLTOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLJTSO,X,X,O,O,O,X,X,X,X,X,O,X,X
IZLJTOS,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLJSTO,X,X,O,O,O,X,O,X,X,X,O,X,X
IZLJSOT,X,X,O,O,X,X,O,X,X,X,X,X,X
IZLJOTS,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLJOST,X,X,O,O,X,X,O,X,X,X,X,X,X
IZLSTJO,X,O,O,O,O,X,O,X,X,X,O,X,X
IZLSTOJ,X,O,O,O,O,X,X,X,X,X,O,X,X
IZLSJTO,X,O,O,O,O,X,O,X,X,X,O,X,X
IZLSJOT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IZLSOJT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZLOTJS,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLOTSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLOJTS,X,X,X,X,O,X,X,X,X,X,O,X,X
IZLOJST,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLOSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,X,O,O,O,X,X,X,X,X,O,O,X
IZJTLOS,X,X,X,X,O,X,X,X,X,X,O,O,X
IZJTSLO,X,O,O,O,X,X,X,X,X,O,O,O,X
IZJTSOL,X,X,O,O,X,X,X,X,X,O,O,X,X
IZJTOLS,X,X,O,X,O,X,X,X,X,X,O,O,X
IZJTOSL,X,X,O,X,X,X,X,X,X,O,O,X,X
IZJLTSO,X,X,O,O,O,X,X,X,X,X,O,X,X
IZJLTOS,X,X,X,X,O,X,X,X,X,X,O,X,X
IZJLSTO,X,O,O,O,O,X,O,X,X,X,O,X,X
IZJLSOT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZJLOTS,X,X,O,X,O,X,X,X,X,X,O,X,X
IZJLOST,X,X,O,O,X,X,O,X,X,X,X,X,X
IZJSTLO,X,O,O,O,X,X,O,X,X,O,O,X,X
IZJSTOL,X,X,O,O,X,X,X,X,X,O,O,X,X
IZJSLTO,X,O,O,O,O,X,O,X,X,O,O,X,X
IZJSLOT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZJSOTL,X,X,O,O,X,X,O,X,X,X,X,X,X
IZJSOLT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZJOTLS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJOTSL,X,X,O,X,X,X,X,X,X,X,O,X,X
IZJOLTS,X,X,O,X,O,X,X,X,X,X,O,X,X
IZJOLST,X,X,O,O,X,X,O,X,X,X,X,X,X
IZJOSTL,X,X,O,O,X,X,O,X,X,X,X,X,X
IZJOSLT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZSTLJO,X,O,O,O,X,X,O,X,X,O,O,X,X
IZSTLOJ,X,O,O,O,X,X,X,X,X,O,O,X,X
IZSTJLO,X,O,O,O,X,X,X,X,X,O,O,X,X
IZSTJOL,X,O,O,O,X,X,X,X,X,O,O,X,X
IZSTOLJ,X,O,O,O,X,X,X,X,X,O,O,X,X
IZSTOJL,X,X,O,O,X,X,X,X,X,O,O,X,X
IZSLTJO,X,O,O,O,X,X,O,X,X,O,O,X,X
IZSLTOJ,X,O,O,O,X,X,X,X,X,O,O,X,X
IZSLJTO,X,O,O,O,X,X,O,X,X,O,O,X,X
IZSLJOT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSLOJT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZSJTLO,X,O,O,O,X,X,O,X,X,O,O,X,X
IZSJTOL,X,X,O,O,X,X,X,X,X,O,O,X,X
IZSJLTO,X,O,O,O,X,X,O,X,X,O,O,X,X
IZSJLOT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZSJOTL,X,X,O,O,X,X,O,X,X,X,X,X,X
IZSJOLT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZSOTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,O,O,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSOLJT,X,O,O,O,X,X,O,X,X,X,X,X,X
IZSOJTL,X,X,O,O,X,X,X,X,X,X,X,X,X
IZSOJLT,X,X,O,O,X,X,X,X,X,X,X,X,X
IZOTLJS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOTLSJ,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOTJLS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOTJSL,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOTSLJ,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOTSJL,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOLTJS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOLJTS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOLJST,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOJTSL,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOJLTS,X,X,O,X,X,X,X,X,X,X,O,X,X
IZOJLST,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOJSTL,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOJSLT,X,X,O,X,X,X,O,X,X,X,X,X,X
IZOSTLJ,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,O,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,X,X,X,O,X,X,O,X,X,O
IOTLJZS,O,X,O,X,X,X,O,X,X,X,O,O,X
IOTLSJZ,X,X,O,X,X,X,X,X,X,O,X,X,O
IOTLSZJ,O,X,O,X,X,X,X,X,X,O,O,O,O
IOTLZJS,O,X,X,X,X,X,O,X,X,X,O,O,X
IOTLZSJ,O,X,X,X,X,X,X,X,X,X,O,O,X
IOTJLSZ,O,X,O,X,X,X,O,X,X,O,X,X,O
IOTJLZS,O,X,O,X,X,X,O,X,X,X,O,O,X
IOTJSLZ,O,O,O,X,X,X,O,X,X,O,X,X,O
IOTJSZL,O,O,O,X,X,X,O,X,X,O,X,X,O
IOTJZLS,O,O,O,X,X,X,O,X,X,X,O,O,X
IOTJZSL,O,O,O,X,X,X,O,X,X,O,O,O,X
IOTSLJZ,X,O,O,X,X,X,X,X,X,O,X,X,O
IOTSLZJ,O,O,O,X,X,X,X,X,X,O,O,O,O
IOTSJLZ,X,O,O,X,X,X,O,X,X,O,X,X,O
IOTSJZL,X,O,O,X,X,X,O,X,X,O,X,X,O
IOTSZLJ,O,O,O,X,X,X,X,X,X,O,O,O,O
IOTSZJL,X,O,X,X,X,X,X,X,X,O,O,O,O
IOTZLJS,O,X,X,X,X,X,O,X,X,X,O,O,X
IOTZLSJ,O,O,X,X,X,X,X,X,X,X,O,O,X
IOTZJLS,O,O,X,X,X,X,O,X,X,X,O,O,X
IOTZJSL,O,O,X,X,X,X,O,X,X,O,O,O,X
IOTZSLJ,O,O,X,X,X,X,X,X,X,O,O,O,X
IOTZSJL,X,O,X,X,X,X,X,X,X,O,O,O,X
IOLTJSZ,O,X,O,X,X,X,O,X,X,X,X,X,O
IOLTJZS,O,X,O,X,X,X,X,X,X,X,O,X,X
IOLTSJZ,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLTSZJ,O,X,O,X,X,X,X,X,X,X,O,X,O
IOLTZJS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLJTSZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOLJSZT,O,X,O,X,X,X,O,X,X,X,X,X,X
IOLJZTS,O,X,O,X,X,X,X,X,X,X,X,O,X
IOLJZST,O,X,O,X,X,X,X,X,X,X,X,O,X
IOLSTJZ,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLSTZJ,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLSJTZ,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLSJZT,X,X,O,X,X,X,X,X,X,X,X,X,O
IOLSZTJ,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,O,X,X,X,X,X,X,X,X,O,O
IOLZTJS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLZJTS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOLZJST,O,X,X,X,X,X,X,X,X,X,X,O,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X,X,X,O,X
IOJTLSZ,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJTLZS,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJTSZL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJTZLS,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJLTSZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJLSZT,O,X,O,X,X,X,O,X,X,X,X,X,X
IOJLZTS,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJLZST,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJSTLZ,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJSTZL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJSLTZ,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJSLZT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOJSZTL,X,O,X,X,X,X,O,X,X,X,X,X,X
IOJSZLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOJZTLS,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJZTSL,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJZLTS,O,X,O,X,X,X,X,X,X,X,X,O,X
IOJZLST,O,O,O,X,X,X,O,X,X,X,X,O,X
IOJZSTL,X,O,O,X,X,X,O,X,X,X,X,X,X
IOJZSLT,O,O,O,X,X,X,O,X,X,X,X,O,X
IOSTLJZ,X,O,O,X,X,X,X,X,X,O,X,X,O
IOSTLZJ,X,O,O,X,X,X,X,X,X,O,X,X,O
IOSTJLZ,X,O,O,X,X,X,O,X,X,O,X,X,O
IOSTJZL,X,O,O,X,X,X,O,X,X,O,X,X,O
IOSTZLJ,X,O,O,X,X,X,X,X,X,O,X,X,O
IOSTZJL,X,O,X,X,X,X,X,X,X,O,X,X,O
IOSLTJZ,X,O,O,X,X,X,X,X,X,O,X,X,O
IOSLTZJ,X,O,O,X,X,X,X,X,X,O,X,X,O
IOSLJTZ,X,X,O,X,X,X,X,X,X,O,X,X,O
IOSLJZT,X,O,O,X,X,X,X,X,X,X,X,X,O
IOSLZTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSLZJT,O,O,O,X,X,X,X,X,X,X,X,O,O
IOSJTLZ,X,X,O,X,X,X,O,X,X,O,X,X,O
IOSJTZL,X,X,X,X,X,X,O,X,X,O,X,X,X
IOSJLTZ,X,X,O,X,X,X,O,X,X,O,X,X,O
IOSJLZT,X,O,O,X,X,X,O,X,X,X,X,X,O
IOSJZTL,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,O,O,X,X,X,O,X,X,X,X,X,O
IOSZTLJ,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,X,X,X,X,X,O,O
IOSZJTL,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,X,X,X,X,X,X,X,X,X,O,O
IOZTLJS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOZTLSJ,O,O,X,X,X,X,X,X,X,X,O,O,X
IOZTJLS,O,O,X,X,X,X,X,X,X,X,O,O,X
IOZTJSL,O,O,X,X,X,X,O,X,X,X,O,O,X
IOZTSLJ,O,O,X,X,X,X,X,X,X,X,O,O,X
IOZTSJL,X,O,X,X,X,X,X,X,X,X,O,O,X
IOZLTJS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,O,X,X
IOZLJTS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOZLJST,O,X,X,X,X,X,O,X,X,X,X,O,X
IOZLSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,O,O,X,X,X,X,X,X,X,X,X,O,X
IOZJTLS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOZJTSL,X,O,X,X,X,X,O,X,X,X,O,O,X
IOZJLTS,O,X,X,X,X,X,X,X,X,X,O,O,X
IOZJLST,O,O,X,X,X,X,O,X,X,X,X,O,X
IOZJSTL,X,O,X,X,X,X,O,X,X,X,X,X,X
IOZJSLT,O,O,X,X,X,X,O,X,X,X,X,O,X
IOZSTLJ,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,O,O,X,X,X,X,X,X,X,X,X,O,X
IOZSJTL,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,X,X,X,X,X,X,X,X,X,O,X
LTIJSZO,O,O,O,O,X,X,O,O,O,O,X,X,X
LTIJSOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTIJZSO,O,X,O,O,O,X,O,O,O,X,O,O,X
LTIJZOS,O,X,O,O,O,O,O,O,O,X,O,O,X
LTIJOSZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTIJOZS,O,X,O,O,O,O,O,O,O,X,O,X,X
LTISJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
LTISJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
LTISZJO,O,O,X,O,O,X,X,O,X,O,O,O,X
LTISZOJ,O,O,X,O,O,X,X,O,X,O,O,X,X
LTISOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
LTISOZJ,O,X,X,O,O,X,X,O,X,O,O,X,X
LTIZJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
LTIZJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
LTIZSJO,X,X,O,O,O,X,O,X,X,X,O,O,X
LTIZSOJ,X,X,O,O,O,X,O,X,X,X,O,X,X
LTIZOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
LTIZOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIOJSZ,O,X,O,X,O,O,O,O,O,O,X,X,X
LTIOJZS,O,X,O,X,O,O,O,O,O,X,O,O,X
LTIOSJZ,X,X,O,X,O,O,X,O,O,O,X,X,X
LTIOSZJ,O,X,O,X,O,X,X,O,X,O,O,O,X
LTIOZJS,O,X,X,X,O,X,O,X,O,X,O,O,X
LTIOZSJ,O,X,X,X,O,X,X,X,X,X,O,O,X
LTJISZO,O,O,O,O,X,O,O,O,O,X,X,X,X
LTJISOZ,O,X,O,O,O,O,O,O,O,X,X,X,X
LTJIZSO,O,O,O,O,O,X,O,O,O,X,X,O,X
LTJIZOS,O,X,O,O,O,O,O,O,O,X,X,O,X
LTJIOSZ,O,X,O,O,O,O,O,O,O,X,X,X,X
LTJIOZS,O,X,O,O,O,O,O,O,O,X,X,X,X
LTJSIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
LTJSIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTJSZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
LTJSZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
LTJSOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTJSOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
LTJZISO,O,O,O,O,O,X,O,O,O,X,O,O,X
LTJZIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
LTJZSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
LTJZSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
LTJZOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
LTJZOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
LTJOISZ,O,X,O,O,O,O,O,O,O,X,X,X,O
LTJOIZS,O,X,O,O,O,O,O,O,O,X,X,O,X
LTJOSIZ,O,O,O,O,O,O,O,O,O,O,X,X,O
LTJOSZI,O,O,O,O,O,O,O,O,O,X,X,X,O
LTJOZIS,O,O,O,O,O,O,O,O,O,X,O,O,X
LTJOZSI,O,O,O,O,O,O,O,O,O,X,X,O,O
LTSIJZO,O,O,X,O,X,O,X,O,O,O,X,X,X
LTSIJOZ,O,X,X,O,O,O,X,O,O,O,X,X,X
LTSIZJO,O,O,X,O,O,X,X,O,X,O,X,O,X
LTSIZOJ,O,O,X,O,O,X,X,O,X,O,X,X,X
LTSIOJZ,O,X,X,X,O,O,X,O,O,O,X,X,X
LTSIOZJ,O,X,X,O,O,X,X,O,X,O,X,X,X
LTSJIZO,O,O,O,O,X,O,O,O,O,O,X,X,X
LTSJIOZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTSJZIO,O,O,O,O,X,O,O,O,O,X,X,X,X
LTSJZOI,O,O,O,O,X,O,O,O,O,X,X,X,X
LTSJOIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTSJOZI,O,O,O,O,O,O,O,O,O,X,X,X,X
LTSZIJO,O,O,O,O,O,X,O,O,X,O,X,O,X
LTSZIOJ,O,O,O,O,O,X,O,O,X,O,X,X,X
LTSZJIO,O,O,O,O,O,O,O,O,X,X,X,O,X
LTSZJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
LTSZOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X
LTSZOJI,O,O,O,O,O,O,O,O,X,X,X,X,X
LTSOIJZ,O,X,O,X,O,O,X,O,O,O,X,X,X
LTSOIZJ,O,X,O,O,O,X,X,O,X,O,X,O,X
LTSOJIZ,O,X,O,O,O,O,O,O,O,O,X,X,X
LTSOJZI,O,O,O,O,O,O,O,O,O,X,X,X,X
LTSOZIJ,O,O,O,O,O,X,X,O,X,O,X,O,X
LTSOZJI,O,O,O,O,O,O,O,O,X,X,X,O,X
LTZIJSO,X,X,O,O,O,X,O,X,O,X,O,O,X
LTZIJOS,X,X,O,O,O,X,O,X,O,X,O,O,X
LTZISJO,X,O,O,O,O,X,O,X,X,X,O,O,X
LTZISOJ,X,O,O,O,O,X,O,X,X,X,O,X,X
LTZIOJS,X,X,X,X,O,X,O,X,O,X,O,O,X
LTZIOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X
LTZJISO,O,O,O,O,O,X,O,O,O,X,O,O,X
LTZJIOS,O,X,O,O,O,O,O,O,O,X,O,O,X
LTZJSIO,O,O,O,O,O,X,O,O,O,X,X,O,X
LTZJSOI,O,O,O,O,O,X,O,O,O,X,X,X,X
LTZJOIS,O,X,O,O,O,O,O,O,O,X,O,O,X
LTZJOSI,O,X,O,O,O,O,O,O,O,X,X,X,X
LTZSIJO,O,O,O,O,O,X,O,O,X,O,X,O,X
LTZSIOJ,O,O,O,O,O,X,O,O,X,O,X,X,X
LTZSJIO,O,O,O,O,O,O,O,O,X,X,X,O,X
LTZSJOI,O,O,O,O,O,O,O,O,X,X,X,X,X
LTZSOIJ,O,O,O,O,O,X,O,O,X,O,X,X,X
LTZSOJI,O,O,O,O,O,O,O,O,X,X,X,X,X
LTZOIJS,O,X,O,X,O,X,O,X,O,X,O,O,X
LTZOISJ,O,X,O,X,O,X,X,X,X,X,O,O,X
