sequence,v115@HhA8IeA8CeB8DeA8AeG8Ke0/IvhFlgB3hBziB5oB2s?BCqB,v115@HhA8IeA8CeB8DeA8AeG8Kel/IvhFulB3hBaoB5oB8p?BTsB
ITOLJSZ,X,O
ITOLJZS,X,O
ITOLSJZ,X,O
ITOLSZJ,X,O
ITOLZJS,X,O
ITOLZSJ,X,O
ITOJLSZ,X,O
ITOJLZS,X,O
ITOJSLZ,X,O
ITOJSZL,X,O
ITOJZLS,X,O
ITOJZSL,X,O
ITOSLJZ,X,O
ITOSLZJ,X,O
ITOSJLZ,X,O
ITOSJZL,X,O
ITOSZLJ,X,O
ITOSZJL,X,O
ITOZLJS,X,O
ITOZLSJ,X,O
ITOZJLS,X,O
ITOZJSL,X,O
ITOZSLJ,X,O
ITOZSJL,X,O
ILTJSZO,O,O
ILTJSOZ,O,X
ILTJZSO,O,O
ILTJZOS,O,O
ILTJOSZ,O,X
ILTJOZS,O,X
ILTSJZO,O,O
ILTSJOZ,O,X
ILTSZJO,O,O
ILTSZOJ,O,O
ILTSOJZ,O,X
ILTSOZJ,O,X
ILTZJSO,O,O
ILTZJOS,O,O
ILTZSJO,O,O
ILTZSOJ,O,O
ILTZOJS,O,O
ILTZOSJ,O,O
ILTOJSZ,O,X
ILTOJZS,O,X
ILTOSJZ,O,X
ILTOSZJ,O,X
ILTOZJS,O,X
ILTOZSJ,O,X
ILJTSZO,O,O
ILJTSOZ,O,X
ILJTZSO,O,O
ILJTZOS,O,O
ILJTOSZ,O,X
ILJTOZS,O,X
ILJSTZO,O,O
ILJSTOZ,O,X
ILJSZTO,O,O
ILJSZOT,O,O
ILJSOTZ,O,O
ILJSOZT,O,O
ILJZTSO,O,O
ILJZTOS,O,O
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,O,O
ILJZOST,O,O
ILJOTSZ,O,O
ILJOTZS,O,O
ILJOSTZ,O,O
ILJOSZT,O,O
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,O,O
ILSTJOZ,O,X
ILSTZJO,O,O
ILSTZOJ,O,O
ILSTOJZ,O,X
ILSTOZJ,O,X
ILSJTZO,O,O
ILSJTOZ,O,X
ILSJZTO,O,O
ILSJZOT,O,O
ILSJOTZ,O,O
ILSJOZT,O,O
ILSZTJO,O,O
ILSZTOJ,O,O
ILSZJTO,O,O
ILSZJOT,O,O
ILSZOTJ,O,O
ILSZOJT,O,O
ILSOTJZ,O,O
ILSOTZJ,O,O
ILSOJTZ,O,O
ILSOJZT,O,O
ILSOZTJ,O,O
ILSOZJT,O,O
ILZTJSO,O,O
ILZTJOS,O,O
ILZTSJO,O,O
ILZTSOJ,O,O
ILZTOJS,O,O
ILZTOSJ,O,O
ILZJTSO,O,O
ILZJTOS,O,O
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,O,O
ILZJOST,O,O
ILZSTJO,O,O
ILZSTOJ,O,O
ILZSJTO,O,O
ILZSJOT,O,O
ILZSOTJ,O,O
ILZSOJT,O,O
ILZOTJS,O,O
ILZOTSJ,O,O
ILZOJTS,O,O
ILZOJST,O,O
ILZOSTJ,O,O
ILZOSJT,O,O
ILOTJSZ,O,O
ILOTJZS,O,O
ILOTSJZ,O,O
ILOTSZJ,O,O
ILOTZJS,O,O
ILOTZSJ,O,O
ILOJTSZ,O,O
ILOJTZS,O,O
ILOJSTZ,O,O
ILOJSZT,O,O
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,O,O
ILOSTZJ,O,O
ILOSJTZ,O,O
ILOSJZT,O,O
ILOSZTJ,O,O
ILOSZJT,O,O
ILOZTJS,O,O
ILOZTSJ,O,O
ILOZJTS,O,O
ILOZJST,O,O
ILOZSTJ,O,O
ILOZSJT,O,O
IJTLSZO,O,O
IJTLSOZ,O,X
IJTLZSO,O,O
IJTLZOS,O,O
IJTLOSZ,O,X
IJTLOZS,O,X
IJTSLZO,O,O
IJTSLOZ,O,X
IJTSZLO,O,O
IJTSZOL,O,O
IJTSOLZ,O,O
IJTSOZL,O,O
IJTZLSO,O,O
IJTZLOS,O,O
IJTZSLO,O,O
IJTZSOL,O,O
IJTZOLS,O,O
IJTZOSL,O,O
IJTOLSZ,O,O
IJTOLZS,O,O
IJTOSLZ,O,O
IJTOSZL,O,O
IJTOZLS,O,O
IJTOZSL,O,O
IJLTSZO,O,O
IJLTSOZ,O,X
IJLTZSO,O,O
IJLTZOS,O,O
IJLTOSZ,O,X
IJLTOZS,O,X
IJLSTZO,O,O
IJLSTOZ,O,X
IJLSZTO,O,O
IJLSZOT,O,O
IJLSOTZ,O,O
IJLSOZT,O,O
IJLZTSO,O,O
IJLZTOS,O,O
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
