sequence,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBmiB5oBzk?BtsB,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBxiBzkBus?B9tB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhFelBfmB0hBdoB5o?B6sB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBxiBmlBtsB6t?BXqB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBdoB5oBmlBXl?B6sB
OISZLJT,O,O,X,X,X
OISZJTL,O,X,O,X,O
OISZJLT,O,O,O,X,X
OIZTLJS,O,X,X,O,O
OIZTLSJ,O,X,X,O,X
OIZTJLS,O,X,X,O,O
OIZTJSL,O,X,O,X,O
OIZTSLJ,O,X,X,X,X
OIZTSJL,O,X,X,X,O
OIZLTJS,O,X,X,X,O
OIZLTSJ,O,X,X,X,X
OIZLJTS,X,X,X,X,O
OIZLJST,X,X,X,X,X
OIZLSTJ,O,X,X,X,X
OIZLSJT,O,X,X,X,X
OIZJTLS,X,X,X,O,O
OIZJTSL,X,X,O,X,O
OIZJLTS,X,X,X,X,O
OIZJLST,X,X,X,X,X
OIZJSTL,X,X,O,X,O
OIZJSLT,X,X,O,X,X
OIZSTLJ,O,X,X,X,X
OIZSTJL,O,X,X,X,O
OIZSLTJ,O,X,X,X,X
OIZSLJT,O,X,X,X,X
OIZSJTL,O,X,X,X,O
OIZSJLT,O,X,X,X,X
OLTIJSZ,O,O,O,O,X
OLTIJZS,O,O,X,O,O
OLTISJZ,O,O,X,O,X
OLTISZJ,O,O,X,O,X
OLTIZJS,O,X,X,O,O
OLTIZSJ,O,O,X,O,X
OLTJISZ,O,O,O,O,X
OLTJIZS,O,O,X,O,O
OLTJSIZ,O,O,O,O,X
OLTJSZI,O,O,O,O,X
OLTJZIS,O,O,X,O,O
OLTJZSI,O,O,X,O,X
OLTSIJZ,O,O,X,O,X
OLTSIZJ,O,O,X,O,X
OLTSJIZ,O,O,X,O,X
OLTSJZI,O,O,X,O,X
OLTSZIJ,O,O,X,O,X
OLTSZJI,O,O,X,O,X
OLTZIJS,O,X,X,O,O
OLTZISJ,O,O,X,O,X
OLTZJIS,O,O,X,O,O
OLTZJSI,O,O,X,O,X
OLTZSIJ,O,O,X,O,X
OLTZSJI,O,O,X,O,X
OLITJSZ,O,O,O,X,X
OLITJZS,O,O,X,X,O
OLITSJZ,O,O,X,X,X
OLITSZJ,O,O,X,X,X
OLITZJS,O,X,X,X,O
OLITZSJ,O,O,X,X,X
OLIJTSZ,O,X,O,X,X
OLIJTZS,O,X,X,X,O
OLIJSTZ,O,X,O,X,X
OLIJSZT,O,X,O,X,X
OLIJZTS,X,X,X,X,O
OLIJZST,X,X,X,X,X
OLISTJZ,O,O,X,X,X
OLISTZJ,O,O,X,X,X
OLISJTZ,O,X,X,X,X
OLISJZT,O,X,X,X,X
OLISZTJ,O,O,X,X,X
OLISZJT,O,O,X,X,X
OLIZTJS,O,X,X,X,O
OLIZTSJ,O,X,X,X,X
OLIZJTS,X,X,X,X,O
OLIZJST,X,X,X,X,X
OLIZSTJ,O,X,X,X,X
OLIZSJT,O,X,X,X,X
OLJTISZ,O,O,O,O,X
OLJTIZS,O,O,X,O,O
OLJTSIZ,O,O,O,O,X
OLJTSZI,O,O,O,O,X
OLJTZIS,O,O,X,O,O
OLJTZSI,O,O,X,O,X
OLJITSZ,O,X,O,X,X
OLJITZS,O,X,X,X,O
OLJISTZ,O,X,O,X,X
OLJISZT,O,X,O,X,X
OLJIZTS,X,X,X,X,O
OLJIZST,X,X,X,X,X
OLJSTIZ,O,O,O,X,X
OLJSTZI,O,O,O,X,X
OLJSITZ,O,X,O,X,X
OLJSIZT,O,X,O,X,X
OLJSZTI,O,O,O,X,X
OLJSZIT,O,O,O,X,X
OLJZTIS,X,X,X,O,O
OLJZTSI,X,X,X,O,X
OLJZITS,X,X,X,X,O
OLJZIST,X,X,X,X,X
OLJZSTI,X,X,X,X,X
OLJZSIT,X,X,X,X,X
OLSTIJZ,O,O,X,X,X
OLSTIZJ,O,O,X,X,X
OLSTJIZ,O,O,X,X,X
OLSTJZI,O,O,X,X,X
OLSTZIJ,O,O,X,X,X
OLSTZJI,O,O,X,X,X
OLSITJZ,O,O,X,X,X
OLSITZJ,O,O,X,X,X
OLSIJTZ,O,X,X,X,X
OLSIJZT,O,X,X,X,X
OLSIZTJ,O,O,X,X,X
OLSIZJT,O,O,X,X,X
OLSJTIZ,O,O,X,X,X
OLSJTZI,O,O,X,X,X
OLSJITZ,O,X,X,X,X
OLSJIZT,O,X,X,X,X
OLSJZTI,O,O,X,X,X
OLSJZIT,O,O,X,X,X
OLSZTIJ,O,O,X,X,X
OLSZTJI,O,O,X,X,X
OLSZITJ,O,O,X,X,X
OLSZIJT,O,O,X,X,X
OLSZJTI,O,O,X,X,X
OLSZJIT,O,O,X,X,X
OLZTIJS,O,X,X,O,O
OLZTISJ,O,O,X,O,X
OLZTJIS,O,O,X,O,O
OLZTJSI,O,O,X,O,X
OLZTSIJ,O,O,X,O,X
OLZTSJI,O,O,X,O,X
OLZITJS,O,X,X,X,O
OLZITSJ,O,X,X,X,X
OLZIJTS,X,X,X,X,O
OLZIJST,X,X,X,X,X
OLZISTJ,O,X,X,X,X
OLZISJT,O,X,X,X,X
OLZJTIS,X,X,X,O,O
OLZJTSI,X,X,X,O,X
OLZJITS,X,X,X,X,O
OLZJIST,X,X,X,X,X
OLZJSTI,X,X,X,X,X
OLZJSIT,X,X,X,X,X
OLZSTIJ,O,O,X,X,X
OLZSTJI,O,O,X,X,X
OLZSITJ,O,O,X,X,X
OLZSIJT,O,O,X,X,X
OLZSJTI,O,O,X,X,X
OLZSJIT,O,O,X,X,X
OJTILSZ,O,O,O,O,X
OJTILZS,O,O,X,O,O
OJTISLZ,O,O,O,X,X
OJTISZL,O,O,O,X,O
OJTIZLS,O,O,X,O,O
OJTIZSL,O,O,O,X,O
OJTLISZ,O,O,O,O,X
OJTLIZS,O,O,X,O,O
OJTLSIZ,O,O,O,O,X
OJTLSZI,O,O,O,O,X
OJTLZIS,O,O,X,O,O
OJTLZSI,O,O,X,O,X
OJTSILZ,O,O,O,X,X
OJTSIZL,O,O,O,X,O
OJTSLIZ,O,O,O,O,X
OJTSLZI,O,O,O,O,X
OJTSZIL,O,O,O,X,O
OJTSZLI,O,O,O,O,X
OJTZILS,O,O,X,O,O
OJTZISL,O,O,O,X,O
OJTZLIS,O,O,X,O,O
OJTZLSI,O,O,X,O,X
OJTZSIL,O,O,O,X,O
OJTZSLI,O,O,O,O,X
OJITLSZ,O,X,O,O,X
OJITLZS,O,X,X,O,O
OJITSLZ,O,X,O,X,X
OJITSZL,O,X,O,X,O
OJITZLS,O,X,X,O,O
OJITZSL,O,X,O,X,O
OJILTSZ,O,X,O,X,X
OJILTZS,O,X,X,X,O
OJILSTZ,O,X,O,X,X
OJILSZT,O,X,O,X,X
OJILZTS,X,X,X,X,O
OJILZST,X,X,X,X,X
OJISTLZ,O,X,O,X,X
OJISTZL,O,X,O,X,O
OJISLTZ,O,X,O,X,X
OJISLZT,O,X,O,X,X
OJISZTL,O,X,O,X,O
OJISZLT,O,X,O,X,X
OJIZTLS,X,X,X,O,O
OJIZTSL,X,X,O,X,O
OJIZLTS,X,X,X,X,O
OJIZLST,X,X,X,X,X
OJIZSTL,X,X,O,X,O
OJIZSLT,X,X,O,X,X
OJLTISZ,O,O,O,O,X
OJLTIZS,O,O,X,O,O
OJLTSIZ,O,O,O,O,X
OJLTSZI,O,O,O,O,X
OJLTZIS,O,O,X,O,O
OJLTZSI,O,O,X,O,X
OJLITSZ,O,X,O,X,X
OJLITZS,O,X,X,X,O
OJLISTZ,O,X,O,X,X
OJLISZT,O,X,O,X,X
OJLIZTS,X,X,X,X,O
OJLIZST,X,X,X,X,X
OJLSTIZ,O,O,O,X,X
OJLSTZI,O,O,O,X,X
OJLSITZ,O,X,O,X,X
OJLSIZT,O,X,O,X,X
OJLSZTI,O,O,O,X,X
OJLSZIT,O,O,O,X,X
OJLZTIS,X,X,X,O,O
OJLZTSI,X,X,X,O,X
OJLZITS,X,X,X,X,O
OJLZIST,X,X,X,X,X
OJLZSTI,X,X,X,X,X
OJLZSIT,X,X,X,X,X
OJSTILZ,O,O,O,X,X
OJSTIZL,O,O,O,X,O
OJSTLIZ,O,O,O,O,X
OJSTLZI,O,O,O,O,X
OJSTZIL,O,O,O,X,O
OJSTZLI,O,O,O,O,X
OJSITLZ,O,X,O,X,X
OJSITZL,O,X,O,X,O
OJSILTZ,O,X,O,X,X
OJSILZT,O,X,O,X,X
OJSIZTL,O,X,O,X,O
OJSIZLT,O,X,O,X,X
OJSLTIZ,O,O,O,X,X
OJSLTZI,O,O,O,X,X
OJSLITZ,O,X,O,X,X
OJSLIZT,O,X,O,X,X
OJSLZTI,O,O,O,X,X
OJSLZIT,O,O,O,X,X
OJSZTIL,O,O,O,X,O
OJSZTLI,O,O,O,O,X
OJSZITL,O,X,O,X,O
OJSZILT,O,O,O,X,X
OJSZLTI,O,O,O,X,X
OJSZLIT,O,O,O,X,X
OJZTILS,X,X,X,O,O
OJZTISL,X,X,O,X,O
OJZTLIS,X,X,X,O,O
OJZTLSI,X,X,X,O,X
OJZTSIL,X,X,O,X,O
OJZTSLI,X,X,O,O,X
OJZITLS,X,X,X,O,O
OJZITSL,X,X,O,X,O
OJZILTS,X,X,X,X,O
OJZILST,X,X,X,X,X
OJZISTL,X,X,O,X,O
OJZISLT,X,X,O,X,X
OJZLTIS,X,X,X,O,O
OJZLTSI,X,X,X,O,X
OJZLITS,X,X,X,X,O
OJZLIST,X,X,X,X,X
OJZLSTI,X,X,X,X,X
OJZLSIT,X,X,X,X,X
OJZSTIL,X,X,O,X,O
OJZSTLI,X,X,O,O,X
OJZSITL,X,X,O,X,O
OJZSILT,X,X,O,X,X
OJZSLTI,X,X,O,X,X
OJZSLIT,X,X,O,X,X
OSTILJZ,O,O,X,X,X
OSTILZJ,O,O,X,X,X
OSTIJLZ,O,O,O,X,X
OSTIJZL,O,O,O,X,O
OSTIZLJ,O,O,X,X,X
OSTIZJL,O,O,O,X,O
OSTLIJZ,O,O,X,O,X
OSTLIZJ,O,O,X,O,X
OSTLJIZ,O,O,X,O,X
OSTLJZI,O,O,X,O,X
OSTLZIJ,O,O,X,O,X
OSTLZJI,O,O,X,O,X
OSTJILZ,O,O,O,X,X
OSTJIZL,O,O,O,X,O
OSTJLIZ,O,O,O,O,X
OSTJLZI,O,O,O,O,X
OSTJZIL,O,O,O,X,O
OSTJZLI,O,O,O,O,X
OSTZILJ,O,O,X,X,X
OSTZIJL,O,O,O,X,O
OSTZLIJ,O,O,X,O,X
OSTZLJI,O,O,X,O,X
OSTZJIL,O,O,O,X,O
OSTZJLI,O,O,O,O,X
OSITLJZ,O,O,X,X,X
OSITLZJ,O,O,X,X,X
OSITJLZ,O,O,O,X,X
OSITJZL,O,O,O,X,O
OSITZLJ,O,O,X,X,X
OSITZJL,O,O,O,X,O
OSILTJZ,O,O,X,X,X
OSILTZJ,O,O,X,X,X
OSILJTZ,O,X,X,X,X
OSILJZT,O,X,X,X,X
OSILZTJ,O,O,X,X,X
OSILZJT,O,O,X,X,X
OSIJTLZ,O,X,O,X,X
OSIJTZL,O,X,O,X,O
OSIJLTZ,O,X,O,X,X
OSIJLZT,O,X,O,X,X
OSIJZTL,O,X,O,X,O
OSIJZLT,O,X,O,X,X
OSIZTLJ,O,O,X,X,X
OSIZTJL,O,O,O,X,O
OSIZLTJ,O,O,X,X,X
OSIZLJT,O,O,X,X,X
OSIZJTL,O,X,O,X,O
OSIZJLT,O,O,O,X,X
OSLTIJZ,O,O,X,X,X
OSLTIZJ,O,O,X,X,X
OSLTJIZ,O,O,X,X,X
OSLTJZI,O,O,X,X,X
OSLTZIJ,O,O,X,X,X
OSLTZJI,O,O,X,X,X
OSLITJZ,O,O,X,X,X
OSLITZJ,O,O,X,X,X
OSLIJTZ,O,X,X,X,X
OSLIJZT,O,X,X,X,X
OSLIZTJ,O,O,X,X,X
OSLIZJT,O,O,X,X,X
OSLJTIZ,O,O,X,X,X
OSLJTZI,O,O,X,X,X
OSLJITZ,O,X,X,X,X
OSLJIZT,O,X,X,X,X
OSLJZTI,O,O,X,X,X
OSLJZIT,O,O,X,X,X
OSLZTIJ,O,O,X,X,X
OSLZTJI,O,O,X,X,X
OSLZITJ,O,O,X,X,X
OSLZIJT,O,O,X,X,X
OSLZJTI,O,O,X,X,X
OSLZJIT,O,O,X,X,X
OSJTILZ,O,O,O,X,X
OSJTIZL,O,O,O,X,O
OSJTLIZ,O,O,O,O,X
OSJTLZI,O,O,O,O,X
OSJTZIL,O,O,O,X,O
OSJTZLI,O,O,O,O,X
OSJITLZ,O,X,O,X,X
OSJITZL,O,X,O,X,O
OSJILTZ,O,X,O,X,X
OSJILZT,O,X,O,X,X
OSJIZTL,O,X,O,X,O
OSJIZLT,O,X,O,X,X
OSJLTIZ,O,O,O,X,X
OSJLTZI,O,O,O,X,X
OSJLITZ,O,X,O,X,X
OSJLIZT,O,X,O,X,X
OSJLZTI,O,O,O,X,X
OSJLZIT,O,O,O,X,X
OSJZTIL,O,O,O,X,O
OSJZTLI,O,O,O,O,X
OSJZITL,O,X,O,X,O
OSJZILT,O,O,O,X,X
OSJZLTI,O,O,O,X,X
OSJZLIT,O,O,O,X,X
OSZTILJ,O,O,X,X,X
OSZTIJL,O,O,O,X,O
OSZTLIJ,O,O,X,O,X
OSZTLJI,O,O,X,O,X
OSZTJIL,O,O,O,X,O
OSZTJLI,O,O,O,O,X
OSZITLJ,O,O,X,X,X
OSZITJL,O,O,O,X,O
OSZILTJ,O,O,X,X,X
OSZILJT,O,O,X,X,X
OSZIJTL,O,X,O,X,O
OSZIJLT,O,O,O,X,X
OSZLTIJ,O,O,X,X,X
OSZLTJI,O,O,X,X,X
OSZLITJ,O,O,X,X,X
OSZLIJT,O,O,X,X,X
OSZLJTI,O,O,X,X,X
OSZLJIT,O,O,X,X,X
OSZJTIL,O,O,O,X,O
OSZJTLI,O,O,O,O,X
OSZJITL,O,X,O,X,O
OSZJILT,O,O,O,X,X
OSZJLTI,O,O,O,X,X
OSZJLIT,O,O,O,X,X
OZTILJS,O,X,X,O,O
OZTILSJ,O,O,X,O,X
OZTIJLS,O,X,X,O,O
OZTIJSL,O,X,O,X,O
OZTISLJ,O,O,X,X,X
OZTISJL,O,O,X,X,O
OZTLIJS,O,X,X,O,O
OZTLISJ,O,O,X,O,X
OZTLJIS,O,O,X,O,O
OZTLJSI,O,O,X,O,X
OZTLSIJ,O,O,X,O,X
OZTLSJI,O,O,X,O,X
OZTJILS,O,O,X,O,O
OZTJISL,O,O,O,X,O
OZTJLIS,O,O,X,O,O
OZTJLSI,O,O,X,O,X
OZTJSIL,O,O,O,X,O
OZTJSLI,O,O,O,O,X
OZTSILJ,O,O,X,X,X
OZTSIJL,O,O,X,X,O
OZTSLIJ,O,O,X,O,X
OZTSLJI,O,O,X,O,X
OZTSJIL,O,O,X,X,O
OZTSJLI,O,O,X,O,X
OZITLJS,O,X,X,O,O
OZITLSJ,O,X,X,O,X
OZITJLS,O,X,X,O,O
OZITJSL,O,X,O,X,O
OZITSLJ,O,X,X,X,X
OZITSJL,O,X,X,X,O
OZILTJS,O,X,X,X,O
OZILTSJ,O,X,X,X,X
OZILJTS,X,X,X,X,O
OZILJST,X,X,X,X,X
OZILSTJ,O,X,X,X,X
OZILSJT,O,X,X,X,X
OZIJTLS,X,X,X,O,O
OZIJTSL,X,X,O,X,O
OZIJLTS,X,X,X,X,O
OZIJLST,X,X,X,X,X
OZIJSTL,X,X,O,X,O
OZIJSLT,X,X,O,X,X
OZISTLJ,O,X,X,X,X
OZISTJL,O,X,X,X,O
OZISLTJ,O,X,X,X,X
OZISLJT,O,X,X,X,X
OZISJTL,O,X,X,X,O
OZISJLT,O,X,X,X,X
OZLTIJS,O,X,X,O,O
OZLTISJ,O,O,X,O,X
OZLTJIS,O,O,X,O,O
OZLTJSI,O,O,X,O,X
OZLTSIJ,O,O,X,O,X
OZLTSJI,O,O,X,O,X
OZLITJS,O,X,X,X,O
OZLITSJ,O,X,X,X,X
OZLIJTS,X,X,X,X,O
OZLIJST,X,X,X,X,X
OZLISTJ,O,X,X,X,X
OZLISJT,O,X,X,X,X
OZLJTIS,X,X,X,O,O
OZLJTSI,X,X,X,O,X
OZLJITS,X,X,X,X,O
OZLJIST,X,X,X,X,X
OZLJSTI,X,X,X,X,X
OZLJSIT,X,X,X,X,X
OZLSTIJ,O,O,X,X,X
OZLSTJI,O,O,X,X,X
OZLSITJ,O,O,X,X,X
OZLSIJT,O,O,X,X,X
OZLSJTI,O,O,X,X,X
OZLSJIT,O,O,X,X,X
OZJTILS,X,X,X,O,O
OZJTISL,X,X,O,X,O
OZJTLIS,X,X,X,O,O
OZJTLSI,X,X,X,O,X
OZJTSIL,X,X,O,X,O
OZJTSLI,X,X,O,O,X
OZJITLS,X,X,X,O,O
OZJITSL,X,X,O,X,O
OZJILTS,X,X,X,X,O
OZJILST,X,X,X,X,X
OZJISTL,X,X,O,X,O
OZJISLT,X,X,O,X,X
OZJLTIS,X,X,X,O,O
OZJLTSI,X,X,X,O,X
OZJLITS,X,X,X,X,O
OZJLIST,X,X,X,X,X
OZJLSTI,X,X,X,X,X
OZJLSIT,X,X,X,X,X
OZJSTIL,X,X,O,X,O
OZJSTLI,X,X,O,O,X
OZJSITL,X,X,O,X,O
OZJSILT,X,X,O,X,X
OZJSLTI,X,X,O,X,X
OZJSLIT,X,X,O,X,X
OZSTILJ,O,O,X,X,X
OZSTIJL,O,O,X,X,O
OZSTLIJ,O,O,X,O,X
OZSTLJI,O,O,X,O,X
OZSTJIL,O,O,X,X,O
OZSTJLI,O,O,X,O,X
OZSITLJ,O,O,X,X,X
OZSITJL,O,O,X,X,O
OZSILTJ,O,O,X,X,X
OZSILJT,O,O,X,X,X
OZSIJTL,O,X,X,X,O
OZSIJLT,O,O,X,X,X
OZSLTIJ,O,O,X,X,X
OZSLTJI,O,O,X,X,X
OZSLITJ,O,O,X,X,X
OZSLIJT,O,O,X,X,X
OZSLJTI,O,O,X,X,X
OZSLJIT,O,O,X,X,X
OZSJTIL,O,O,X,X,O
OZSJTLI,O,O,X,O,X
OZSJITL,O,X,X,X,O
OZSJILT,O,O,X,X,X
OZSJLTI,O,O,X,X,X
OZSJLIT,O,O,X,X,X
