sequence,v115@vhHT/IfnB0iBypBGtBxuBRxBFrB,v115@vhHXAJ8lBTjBWtBipBRvBxxBlrB,v115@vhHT/IGiBypBUnB/tBxuBRxBFrB,v115@vhHiAJTjBcpB3lBWtBRvBxxBlrB,v115@vhH0/ICiB2pBTnB/tBxuBRxBFrB,v115@vhHmAJXjBcpBTlBStBRvBxxBlrB,v115@vhHaFJfnB0iBTkBGtBxuBRxBFrB,v115@vhHXAJ8lBunBToBipBRvBxxBlrB,v115@vhHaFJGiBTkBUnB/tBxuBRxBFrB,v115@vhHiAJunBcpB3lBToBRvBxxBlrB,v115@vhHcEJelBCiBTnB/tBxuBRxBFrB,v115@vhHmAJqnB/oBcpBTlBRvBxxBlrB,v115@vhHPHJ0gBToBqsBxqB2uBRwBlkB,v115@vhH8FJXiBTkBeqBxrBSyBRwBFoB,v115@vhHy/IclB+nBTkB/tBxuBRxBFrB,v115@vhHWDJKlB/nBcpBToBRvBxxBlrB,v115@vhHfDJ5jBzkBqqB0nB2uBxxBlrB,v115@vhHZ/I8fBXlBesBznBSyBxuBFrB,v115@vhHc/I5oBxmBetBTpB3qBCsBFlB,v115@vhH/DJZkBqpBxlBmqBUsBTtBlnB,v115@vhHs/IZkBStBRnB2xBXrBzpBllB,v115@vhHfDJ5oB2pBRlBSvB0rBzsBFnB,v115@vhH2BJxkByqBfsBctBTpBxvBlnB,v115@vhHSBJ/pB8qBWsBxnBTtBxwBFlB,v115@vhHxAJ/oBTkBilBGrBUtBRvBFnB,v115@vhHcEJxhBGnBToB3pBirBRxBllB,v115@vhHRPJTkBGrBilBUtBpjBPjBFnB,v115@vhHRRJToBirBGnB3pBJfB8fBllB,v115@vhHxQJRrBMtB3hBTpBKfBOqBlnB,v115@vhHxPJRrB/pBUhBTtB+jB6sBFlB,v115@vhHxPJpoBetBTpBKfBXmBMlBFsB,v115@vhHxQJJkBqpBTtB+jB0mB/nBlqB,v115@vhHxOJTkBMlBSyBXsBmnBpeBFrB,v115@vhHxRJToB/nB2uB0qBClBJaBlrB
IZITLOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZITJLSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZITJLOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZITJSLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZITJSOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IZITJOLS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IZITJOSL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IZITSLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZITSLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZITSJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZITSJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IZITSOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITSOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITOLJS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITOLSJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITOJLS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITOJSL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITOSLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZITOSJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZILTJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZILTJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZILTSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZILTSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IZILTOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X
IZILTOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X
IZILJTSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZILJTOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZILJSTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZILJSOT,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILJOTS,O,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILJOST,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILSTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZILSTOJ,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IZILSJTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZILSJOT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILSOTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZILSOJT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILOTJS,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZILOTSJ,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZILOJTS,O,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILOJST,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZILOSTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZILOSJT,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZIJTLSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IZIJTLOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IZIJTSLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IZIJTSOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IZIJTOLS,X,O,X,X,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IZIJTOSL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IZIJLTSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZIJLTOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZIJLSTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZIJLSOT,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJLOTS,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJLOST,O,O,O,O,O,O,O,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJSTLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IZIJSTOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IZIJSLTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZIJSLOT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJSOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIJSOLT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJOTLS,X,O,X,X,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIJOTSL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIJOLTS,O,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJOLST,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZIJOSTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIJOSLT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,O,O,O,O,X,O
IZISTLJO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZISTLOJ,X,X,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X
IZISTJLO,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IZISTJOL,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X
IZISTOLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZISTOJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,X
IZISLTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZISLTOJ,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IZISLJTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZISLJOT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,X
IZISLOTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,X
IZISLOJT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,X
IZISJTLO,O,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IZISJTOL,X,X,X,O,O,X,O,X,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,O
IZISJLTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O
IZISJLOT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZISJOTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZISJOLT,O,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZISOTLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X
IZISOTJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X
IZISOLTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,X,O,X,O,X,O,X,O,O,O,O,O,X
IZISOLJT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,O,X
IZISOJTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZISOJLT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZIOTLJS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X
IZIOTLSJ,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X
IZIOTJLS,X,X,X,X,X,O,X,O,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X
IZIOTJSL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X
IZIOTSLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X
IZIOTSJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X
IZIOLTJS,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZIOLTSJ,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZIOLJTS,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZIOLJST,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZIOLSTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZIOLSJT,X,O,O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZIOJTLS,X,O,X,X,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIOJTSL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIOJLTS,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZIOJLST,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZIOJSTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIOJSLT,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZIOSTLJ,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,O,O,O,O,X,X
IZIOSTJL,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,X
IZIOSLTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZIOSLJT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZIOSJTL,X,X,X,O,O,X,O,X,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O
IZIOSJLT,X,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O,X,O,O,O,O,X,O
IZLTIJSO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTIJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZLTISJO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTISOJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X
IZLTIOJS,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,O,X
IZLTIOSJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,O,O,X
IZLTJISO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTJIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZLTJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZLTJOIS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X
IZLTJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,O,X
IZLTSIJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTSIOJ,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X
IZLTSJIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLTSJOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,X
IZLTSOIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,O,O,X
IZLTSOJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,X,X,X,X,O,O,X
IZLTOIJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O,X
IZLTOISJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O,X
IZLTOJIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,O,O,X
IZLTOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,O,O,X
IZLTOSIJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X,O,X,X,X,X,O,O,X
IZLTOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,O,X,O,X,X,X,X,O,O,X
IZLITJSO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLITJOS,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZLITSJO,X,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLITSOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IZLITOJS,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X
IZLITOSJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,X
IZLIJTSO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLIJTOS,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X
IZLIJSTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLIJSOT,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLIJOTS,O,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLIJOST,O,O,O,O,X,O,X,O,O,X,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLISTJO,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLISTOJ,X,X,O,X,X,O,X,O,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X
IZLISJTO,O,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X
IZLISJOT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLISOTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZLISOJT,O,O,O,O,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,X,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLIOTJS,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZLIOTSJ,X,X,O,X,X,O,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZLIOJTS,O,O,O,X,X,O,X,O,O,X,O,O,O,O,O,O,O,X,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLIOJST,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLIOSTJ,X,X,O,X,X,O,X,O,O,O,O,O,O,X,O,O,X,O,X,X,X,O,O,X,O,X,O,X,O,O,O,O,O,X
IZLIOSJT,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X,O,X,O,O,O,O,O,X
IZLJTISO,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O
IZLJTIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O
IZLJTSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O
IZLJTSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O
IZLJTOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,O,O
IZLJTOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,O,O
