sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
TJLIZOS,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X
TJLIOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJLSIZO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIOZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLSZIO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLSZOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZIOS,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZSIO,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZSOI,O,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLZOIS,O,O,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLZOSI,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TJLOISZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOIZS,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X
TJLOSIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TJLOZIS,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJLOZSI,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TJSILZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TJSLIZO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLZOI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSLOZI,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TJSZLOI,O,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X
TJSZOIL,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TJSZOLI,O,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TJSOILZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X
TJSOLIZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TJSOZLI,O,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X
TJZILSO,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X
TJZILOS,O,O,O,X,X,X,O,O,O,X,O,X,X,X,O,X
TJZISLO,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZISOL,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TJZIOLS,O,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TJZIOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O
TJZLISO,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TJZLIOS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X
TJZLSIO,O,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X
TJZLSOI,O,X,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TJZLOIS,O,O,O,X,X,X,O,O,O,X,O,X,X,O,X,X
TJZLOSI,O,O,O,X,X,X,O,O,X,X,O,X,X,O,X,X
TJZSILO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZSIOL,O,O,O,O,X,X,O,O,X,O,X,O,O,X,X,X
TJZSLIO,O,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,O,X,O,X,O,X,X,X,X
TJZSOIL,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TJZSOLI,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TJZOILS,O,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TJZOISL,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O
TJZOLIS,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TJZOLSI,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TJZOSIL,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TJZOSLI,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TJOILSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOILZS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TJOISLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,O,X,X,X,X,X,O,O,O,X,X,O,X
TJOIZLS,O,O,X,O,X,X,X,X,O,X,O,X,X,X,O,O
TJOIZSL,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O
TJOLISZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOLIZS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,O
TJOLSIZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOLZIS,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
TJOLZSI,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X
TJOSILZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TJOSLIZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TJOSZLI,O,O,X,O,X,X,X,X,X,O,O,O,X,X,X,X
TJOZILS,O,O,X,O,X,X,X,X,O,X,O,X,O,O,O,O
TJOZISL,O,X,X,O,X,X,X,X,X,O,O,O,X,X,O,O
TJOZLIS,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O
TJOZLSI,O,O,X,O,X,X,X,X,O,X,O,X,O,O,X,O
TJOZSIL,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O
TJOZSLI,O,O,X,O,X,X,X,X,X,O,O,O,O,X,X,O
TSILJZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSILJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSILZJO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSILZOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSILOJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIJLZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TSIJZOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TSIJOLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TSIZLJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSIZLOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSIZJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSIZJOL,O,O,O,O,X,O,O,O,X,X,X,X,X,X,O,X
TSIZOLJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TSIZOJL,O,O,O,O,O,O,O,X,X,X,X,X,X,X,O,X
TSIOLJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSIOJLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TSIOZLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TSLIJZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSLIJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLIZJO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLIOJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSLJIOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLJZOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLJOIZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLJOZI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLZJIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLZJOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLZOJI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSLOIJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLOJZI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSLOZJI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSJILZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJILOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TSJIZOL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TSJLIZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJLIOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSJLZOI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSJLOIZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSJLOZI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TSJZILO,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TSJZIOL,O,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X
TSJZLIO,O,O,O,X,X,O,X,O,X,X,O,X,X,X,X,X
TSJZLOI,O,O,O,X,X,O,X,O,X,O,X,O,X,X,X,X
TSJZOIL,O,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X
TSJZOLI,O,O,O,X,X,O,X,O,X,O,O,O,X,X,X,X
TSJOILZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,O,X,X,X,O,O,O,X,X,X,X
TSJOLIZ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJOLZI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TSJOZIL,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
TSJOZLI,O,O,O,X,X,O,X,X,X,O,O,O,X,X,X,X
TSZILJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZILOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZIJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZIJOL,O,O,O,O,X,O,O,O,X,O,X,O,X,X,O,X
TSZIOLJ,O,O,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSZIOJL,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TSZLIJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSZLIOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TSZLJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TSZLJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,O,X,X
TSZLOIJ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TSZLOJI,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X
TSZJILO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSZJIOL,O,O,O,O,X,O,O,O,X,O,X,O,X,X,X,X
TSZJLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSZJLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TSZJOIL,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TSZJOLI,O,O,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TSZOILJ,O,O,O,O,O,X,O,O,X,X,O,X,X,O,X,X
TSZOIJL,O,O,O,O,O,O,O,X,X,O,X,X,X,X,O,X
TSZOLIJ,O,O,O,O,O,O,O,O,X,X,O,X,X,O,X,X
TSZOLJI,O,O,O,O,O,O,O,O,X,O,O,X,X,O,X,X
TSZOJIL,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TSZOJLI,O,O,O,O,O,O,O,O,X,O,O,O,X,X,X,X
TSOILJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOIJLZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X
TSOIZLJ,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TSOIZJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TSOLIJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TSOLJIZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSOLJZI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSOLZJI,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TSOJILZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,O,O,O,X,X,X,O,O,X,X,X,X,X
TSOJLIZ,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOJLZI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TSOJZIL,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TSOJZLI,O,O,O,O,O,O,X,X,X,O,O,X,X,X,X,X
TSOZILJ,O,O,O,O,O,X,X,O,X,X,O,X,X,O,X,X
TSOZIJL,O,O,O,O,O,O,X,X,X,O,X,X,X,X,O,X
TSOZLIJ,O,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X
TSOZLJI,O,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X
TSOZJIL,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X
TSOZJLI,O,O,O,O,O,O,X,O,X,O,O,X,X,X,X,X
TZILJSO,O,X,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TZILJOS,O,X,O,X,X,O,O,O,X,X,O,X,X,O,O,X
TZILSJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZILSOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TZILOJS,X,X,O,O,X,O,O,O,X,X,O,X,X,O,O,X
TZILOSJ,X,X,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TZIJLSO,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZIJLOS,O,X,O,X,X,O,O,O,X,X,O,X,X,X,O,X
TZIJSLO,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZIJSOL,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TZIJOLS,O,X,X,O,X,O,O,X,X,X,O,X,O,O,O,X
TZIJOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X
TZISLJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TZISLOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TZISJLO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZISJOL,O,X,O,O,X,X,O,O,X,X,X,O,O,X,O,X
TZISOLJ,O,X,O,O,X,X,O,O,X,X,X,X,O,O,X,X
TZISOJL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TZIOLJS,X,X,X,O,X,X,O,X,X,X,O,X,O,O,O,X
TZIOLSJ,X,X,X,O,X,X,O,X,X,X,O,X,O,O,X,X
TZIOJLS,O,X,X,O,X,O,O,X,X,X,O,X,O,O,O,X
TZIOJSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TZIOSLJ,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,X
TZIOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TZLIJSO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZLIJOS,O,X,O,X,X,O,O,O,O,X,O,X,X,O,O,X
TZLISJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZLISOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TZLIOJS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TZLIOSJ,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TZLJISO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZLJIOS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TZLJSIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZLJSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TZLJOIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TZLJOSI,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TZLSIJO,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TZLSIOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TZLSJIO,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZLSJOI,O,O,O,O,X,O,X,O,O,X,X,O,X,O,X,X
TZLSOIJ,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZLSOJI,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZLOIJS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
TZLOISJ,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
TZLOJIS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TZLOJSI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TZLOSIJ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TZLOSJI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
TZJILSO,O,X,O,O,X,O,X,O,O,X,O,X,X,X,X,X
TZJILOS,O,O,O,X,X,O,O,O,O,X,O,X,X,X,O,X
TZJISLO,O,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZJISOL,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TZJIOLS,O,O,X,O,X,O,O,X,X,X,O,X,O,O,O,O
TZJIOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O
TZJLISO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZJLIOS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TZJLSIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
TZJLSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TZJLOIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
TZJLOSI,O,O,O,X,X,O,O,O,X,X,O,X,X,O,X,X
TZJSILO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZJSIOL,O,O,O,O,X,X,O,O,X,O,X,O,O,X,X,X
TZJSLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZJSLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TZJSOIL,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TZJSOLI,O,O,O,O,X,X,O,O,X,O,O,O,O,X,X,X
TZJOILS,O,O,X,O,X,O,O,X,X,X,O,X,O,O,O,O
TZJOISL,O,X,X,O,X,X,O,O,X,X,O,O,X,X,O,O
TZJOLIS,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,O
TZJOLSI,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,O
TZJOSIL,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TZJOSLI,O,O,O,O,X,X,O,O,X,X,O,O,O,X,X,O
TZSILJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSILOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSIJLO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSIJOL,O,O,O,O,X,O,O,O,X,O,X,O,O,X,O,X
TZSIOLJ,O,O,O,O,X,X,O,O,X,X,X,X,O,O,X,X
TZSIOJL,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TZSLIJO,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TZSLIOJ,O,O,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TZSLJIO,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TZSLJOI,O,O,O,O,X,O,X,O,X,O,X,O,X,O,X,X
TZSLOIJ,O,O,O,O,X,O,X,O,X,X,O,X,X,O,X,X
TZSLOJI,O,O,O,O,X,O,X,O,X,O,O,X,X,O,X,X
TZSJILO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZSJIOL,O,O,O,O,X,O,O,O,X,O,X,O,O,X,X,X
TZSJLIO,O,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TZSJLOI,O,O,O,O,X,O,X,O,X,O,X,O,X,X,X,X
TZSJOIL,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TZSJOLI,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TZSOILJ,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,X
TZSOIJL,O,O,O,O,X,O,O,X,X,O,X,X,X,X,O,X
TZSOLIJ,O,O,O,O,X,O,O,O,X,X,O,X,O,O,X,X
TZSOLJI,O,O,O,O,X,O,O,O,X,O,O,X,X,O,X,X
TZSOJIL,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TZSOJLI,O,O,O,O,X,O,O,O,X,O,O,O,O,X,X,X
TZOILJS,X,X,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TZOILSJ,X,X,X,O,X,X,O,X,X,X,O,X,O,O,X,O
TZOIJLS,O,X,X,O,X,O,O,X,X,X,O,X,O,O,O,O
TZOIJSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,O
TZOISLJ,O,X,X,O,X,X,O,O,X,X,O,X,O,O,X,O
TZOISJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TZOLIJS,X,O,O,O,X,O,O,O,O,X,O,X,O,O,O,O
TZOLISJ,X,O,O,O,X,O,O,O,X,X,O,X,O,O,X,O
TZOLJIS,X,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TZOLJSI,X,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TZOLSIJ,X,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TZOLSJI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,O
TZOJILS,O,O,X,O,X,O,O,X,O,X,O,X,O,O,O,O
TZOJISL,O,X,X,O,X,X,O,O,X,O,O,X,X,X,O,O
TZOJLIS,O,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TZOJLSI,O,O,O,O,X,O,O,O,O,X,O,X,O,O,X,O
TZOJSIL,O,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O
TZOJSLI,O,O,O,O,X,X,O,O,X,O,O,X,O,X,X,O
TZOSILJ,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O
TZOSIJL,O,O,O,O,X,X,O,X,X,O,X,X,X,X,O,X
