sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
LZOTJIS,O,O,O,X,X,X,X,X,X
LZOTJSI,O,O,O,X,X,X,X,X,X
LZOTSIJ,O,O,X,X,X,X,O,X,X
LZOTSJI,O,O,O,X,X,X,X,X,X
LZOITJS,O,O,X,X,X,X,X,X,X
LZOITSJ,O,O,X,X,X,X,O,X,X
LZOIJTS,O,X,O,X,X,X,X,X,X
LZOIJST,O,O,O,X,X,X,X,X,X
LZOISTJ,O,O,X,X,X,X,O,X,X
LZOISJT,O,O,O,X,X,X,X,X,X
LZOJTIS,O,O,O,X,X,O,X,X,O
LZOJTSI,O,O,O,X,X,O,X,X,O
LZOJITS,O,X,O,X,X,O,X,X,O
LZOJIST,O,O,O,X,X,O,X,X,X
LZOJSTI,O,O,O,X,X,O,X,X,O
LZOJSIT,O,O,O,X,X,O,X,X,X
LZOSTIJ,O,O,X,X,X,X,O,X,X
LZOSTJI,O,O,O,X,X,X,X,X,X
LZOSITJ,O,O,X,X,X,X,O,X,X
LZOSIJT,O,O,O,X,X,X,X,X,X
LZOSJTI,O,O,O,X,X,O,X,X,X
LZOSJIT,O,O,O,X,X,O,X,X,X
LOTIJSZ,X,O,O,O,X,X,X,X,X
LOTIJZS,X,O,O,O,X,X,X,X,X
LOTISJZ,X,O,O,O,X,X,X,X,X
LOTISZJ,O,O,X,O,X,X,X,X,X
LOTIZJS,O,O,X,O,X,X,X,X,X
LOTIZSJ,O,O,X,O,X,X,O,X,X
LOTJISZ,X,O,O,O,O,O,X,X,X
LOTJIZS,X,O,O,O,X,X,X,X,O
LOTJSIZ,X,O,O,O,O,O,X,X,X
LOTJSZI,O,O,O,O,O,O,X,X,O
LOTJZIS,O,O,O,O,O,O,X,X,O
LOTJZSI,O,O,O,O,O,O,X,O,O
LOTSIJZ,X,O,O,O,X,X,X,X,X
LOTSIZJ,O,O,X,O,X,X,X,X,X
LOTSJIZ,X,O,O,O,O,O,X,X,X
LOTSJZI,O,O,O,O,O,O,X,X,X
LOTSZIJ,O,O,X,O,X,X,O,X,X
LOTSZJI,O,O,O,O,X,X,X,X,X
LOTZIJS,O,O,X,O,X,X,X,X,X
LOTZISJ,O,O,X,O,X,X,O,X,X
LOTZJIS,O,O,O,O,X,X,X,X,X
LOTZJSI,O,O,O,O,X,X,X,X,X
LOTZSIJ,O,O,X,O,X,X,O,X,X
LOTZSJI,O,O,O,O,X,X,X,X,X
LOITJSZ,X,O,O,O,X,X,X,X,X
LOITJZS,X,O,O,O,X,X,X,X,X
LOITSJZ,X,O,O,O,X,X,X,X,X
LOITSZJ,O,O,X,O,X,X,X,X,X
LOITZJS,O,O,X,O,X,X,X,X,X
LOITZSJ,O,O,X,O,X,X,O,X,X
LOIJTSZ,X,X,O,X,X,O,X,X,X
LOIJTZS,X,X,O,X,X,X,X,X,O
LOIJSTZ,X,X,O,X,X,O,X,X,X
LOIJSZT,O,X,O,X,X,O,X,X,X
LOIJZTS,O,X,O,X,X,O,X,X,O
LOIJZST,O,X,O,X,X,O,X,X,X
LOISTJZ,X,O,O,O,X,X,X,X,X
LOISTZJ,O,O,X,O,X,X,X,X,X
LOISJTZ,X,X,O,X,X,O,X,X,X
LOISJZT,O,X,O,X,X,O,X,X,X
LOISZTJ,O,O,X,X,X,X,X,X,X
LOISZJT,O,O,O,X,X,X,X,X,X
LOIZTJS,O,O,X,X,X,X,X,X,X
LOIZTSJ,O,O,X,X,X,X,O,X,X
LOIZJTS,O,X,O,X,X,X,X,X,X
LOIZJST,O,O,O,X,X,X,X,X,X
LOIZSTJ,O,O,X,X,X,X,O,X,X
LOIZSJT,O,O,O,X,X,X,X,X,X
LOJTISZ,X,O,O,X,O,O,X,X,X
LOJTIZS,X,O,O,X,X,X,X,X,O
LOJTSIZ,X,O,O,X,O,O,X,X,X
LOJTSZI,O,O,O,X,O,O,X,X,O
LOJTZIS,O,O,O,X,O,O,X,X,O
LOJTZSI,O,O,O,X,O,O,X,O,O
LOJITSZ,X,X,O,X,O,O,X,X,X
LOJITZS,X,X,O,X,X,X,X,X,O
LOJISTZ,X,X,O,X,O,O,X,X,X
LOJISZT,O,X,O,X,O,O,X,X,X
LOJIZTS,O,X,O,X,O,O,X,X,O
LOJIZST,O,X,O,X,O,O,X,O,X
LOJSTIZ,X,O,O,X,O,O,X,X,X
LOJSTZI,O,O,O,X,O,O,X,X,O
LOJSITZ,X,X,O,X,O,O,X,X,X
LOJSIZT,O,X,O,X,O,O,X,X,X
LOJSZTI,O,O,O,X,X,O,X,X,O
LOJSZIT,O,O,O,X,O,O,X,X,X
LOJZTIS,O,O,O,X,O,O,X,X,O
LOJZTSI,O,O,O,X,O,O,X,O,O
LOJZITS,O,X,O,X,O,O,X,X,O
LOJZIST,O,O,O,X,O,O,X,O,X
LOJZSTI,O,O,O,X,X,O,X,O,O
LOJZSIT,O,O,O,X,O,O,X,O,X
LOSTIJZ,X,O,O,O,X,X,X,X,X
LOSTIZJ,O,O,X,O,X,X,X,X,X
LOSTJIZ,X,O,O,O,O,O,X,X,X
LOSTJZI,O,O,O,O,O,O,X,X,X
LOSTZIJ,O,O,X,O,X,X,O,X,X
LOSTZJI,O,O,O,O,X,X,X,X,X
LOSITJZ,X,O,O,O,X,X,X,X,X
LOSITZJ,O,O,X,O,X,X,X,X,X
LOSIJTZ,X,X,O,X,X,O,X,X,X
LOSIJZT,O,X,O,X,X,O,X,X,X
LOSIZTJ,O,O,X,X,X,X,X,X,X
LOSIZJT,O,O,O,X,X,X,X,X,X
LOSJTIZ,X,O,O,X,O,O,X,X,X
LOSJTZI,O,O,O,X,O,O,X,X,O
LOSJITZ,X,X,O,X,O,O,X,X,X
LOSJIZT,O,X,O,X,O,O,X,X,X
LOSJZTI,O,O,O,X,X,O,X,X,O
LOSJZIT,O,O,O,X,O,O,X,X,X
LOSZTIJ,O,O,X,X,X,X,O,X,X
LOSZTJI,O,O,O,X,X,X,X,X,X
LOSZITJ,O,O,X,X,X,X,O,X,X
LOSZIJT,O,O,O,X,X,X,X,X,X
LOSZJTI,O,O,O,X,X,O,X,X,X
LOSZJIT,O,O,O,X,X,O,X,X,X
LOZTIJS,O,O,X,X,X,X,X,X,X
LOZTISJ,O,O,X,X,X,X,O,X,X
LOZTJIS,O,O,O,X,X,X,X,X,X
LOZTJSI,O,O,O,X,X,X,X,X,X
LOZTSIJ,O,O,X,X,X,X,O,X,X
LOZTSJI,O,O,O,X,X,X,X,X,X
LOZITJS,O,O,X,X,X,X,X,X,X
LOZITSJ,O,O,X,X,X,X,O,X,X
LOZIJTS,O,X,O,X,X,X,X,X,X
LOZIJST,O,O,O,X,X,X,X,X,X
LOZISTJ,O,O,X,X,X,X,O,X,X
LOZISJT,O,O,O,X,X,X,X,X,X
LOZJTIS,O,O,O,X,X,O,X,X,O
LOZJTSI,O,O,O,X,X,O,X,X,O
LOZJITS,O,X,O,X,X,O,X,X,O
LOZJIST,O,O,O,X,X,O,X,X,X
LOZJSTI,O,O,O,X,X,O,X,X,O
LOZJSIT,O,O,O,X,X,O,X,X,X
LOZSTIJ,O,O,X,X,X,X,O,X,X
LOZSTJI,O,O,O,X,X,X,X,X,X
LOZSITJ,O,O,X,X,X,X,O,X,X
LOZSIJT,O,O,O,X,X,X,X,X,X
LOZSJTI,O,O,O,X,X,O,X,X,X
LOZSJIT,O,O,O,X,X,O,X,X,X
JTILSZO,X,O,O,O,X,X,X,X,X
JTILSOZ,X,O,O,O,O,O,X,X,X
JTILZSO,X,O,O,O,X,X,X,X,O
JTILZOS,X,O,O,O,X,X,X,X,O
JTILOSZ,X,O,O,O,O,O,X,X,X
JTILOZS,X,O,O,O,X,X,X,X,O
JTISLZO,X,O,O,O,X,X,X,X,X
JTISLOZ,X,O,O,O,O,X,X,X,X
JTISZLO,X,O,O,O,O,X,X,X,O
JTISZOL,X,O,O,O,O,X,X,X,O
JTISOLZ,X,O,O,O,O,X,X,X,X
JTISOZL,X,O,O,O,O,O,X,X,O
JTIZLSO,X,O,O,O,O,O,X,X,O
JTIZLOS,X,O,O,O,O,O,X,X,O
JTIZSLO,X,O,O,O,O,O,X,O,O
JTIZSOL,X,O,O,O,O,O,O,O,O
JTIZOLS,X,O,O,O,O,O,X,X,O
JTIZOSL,X,O,O,O,O,O,O,O,O
JTIOLSZ,X,O,O,O,O,O,X,X,X
JTIOLZS,X,O,O,O,X,X,X,X,O
JTIOSLZ,X,O,O,O,O,X,X,X,X
JTIOSZL,X,O,O,O,O,O,X,X,O
JTIOZLS,X,O,O,O,O,O,X,X,O
JTIOZSL,X,O,O,O,O,O,O,O,O
JTLISZO,X,O,O,O,X,X,X,X,X
JTLISOZ,X,O,O,O,O,O,X,X,X
JTLIZSO,X,O,O,O,X,X,X,X,O
JTLIZOS,X,O,O,O,X,X,X,X,O
JTLIOSZ,X,O,O,O,O,O,X,X,X
JTLIOZS,X,O,O,O,X,X,X,X,O
JTLSIZO,X,O,O,O,X,X,X,X,X
JTLSIOZ,X,O,O,O,O,O,X,X,X
JTLSZIO,X,O,O,X,O,O,X,X,O
JTLSZOI,X,O,O,O,O,O,X,X,O
JTLSOIZ,X,O,O,O,O,O,X,X,X
JTLSOZI,X,O,O,O,O,O,X,X,O
JTLZISO,X,O,O,O,O,O,X,X,O
JTLZIOS,X,O,O,O,O,O,X,X,O
JTLZSIO,X,O,O,X,O,O,X,O,O
JTLZSOI,X,O,O,O,O,O,X,O,O
JTLZOIS,X,O,O,O,O,O,X,X,O
JTLZOSI,X,O,O,O,O,O,X,O,O
JTLOISZ,X,O,O,O,O,O,X,X,X
JTLOIZS,X,O,O,O,X,X,X,X,O
JTLOSIZ,X,O,O,O,O,O,X,X,X
JTLOSZI,X,O,O,O,O,O,X,X,O
JTLOZIS,X,O,O,O,O,O,X,X,O
JTLOZSI,X,O,O,O,O,O,X,O,O
JTSILZO,X,O,O,O,X,X,X,X,X
JTSILOZ,X,O,O,O,O,X,X,X,X
JTSIZLO,X,O,O,O,O,X,X,X,O
JTSIZOL,X,O,O,O,O,X,X,X,O
JTSIOLZ,X,O,O,O,O,X,X,X,X
JTSIOZL,X,O,O,O,O,O,X,X,O
JTSLIZO,X,O,O,O,X,X,X,X,X
JTSLIOZ,X,O,O,O,O,X,X,X,X
JTSLZIO,X,O,O,X,O,X,X,X,O
JTSLZOI,X,O,O,O,O,X,X,X,O
JTSLOIZ,X,O,O,O,O,X,X,X,X
JTSLOZI,X,O,O,O,O,X,X,X,O
JTSZILO,X,O,O,X,O,O,X,O,O
JTSZIOL,X,O,O,X,O,O,O,O,O
JTSZLIO,X,O,O,X,O,O,X,O,O
JTSZLOI,X,O,O,O,O,O,X,O,O
JTSZOIL,X,O,O,X,O,O,O,O,O
JTSZOLI,X,O,O,O,O,O,X,O,O
JTSOILZ,X,O,O,O,O,X,X,X,X
JTSOIZL,X,O,O,O,O,O,X,X,O
JTSOLIZ,X,O,O,O,O,X,X,X,X
JTSOLZI,X,O,O,O,O,X,X,X,O
JTSOZIL,X,O,O,X,O,O,O,O,O
JTSOZLI,X,O,O,O,O,O,X,O,O
JTZILSO,X,O,O,O,O,O,X,X,O
JTZILOS,X,O,O,O,O,O,X,X,O
JTZISLO,X,O,O,O,O,O,X,O,O
JTZISOL,X,O,O,O,O,O,O,O,O
JTZIOLS,X,O,O,O,O,O,X,X,O
JTZIOSL,X,O,O,O,O,O,O,O,O
JTZLISO,X,O,O,O,O,O,X,X,O
JTZLIOS,X,O,O,O,O,O,X,X,O
JTZLSIO,X,O,O,X,O,O,X,O,O
JTZLSOI,X,O,O,O,O,O,X,O,O
JTZLOIS,X,O,O,O,O,O,X,X,O
JTZLOSI,X,O,O,O,O,O,X,O,O
JTZSILO,X,O,O,X,O,O,X,O,O
JTZSIOL,X,O,O,X,O,O,O,O,O
JTZSLIO,X,O,O,X,O,O,X,O,O
JTZSLOI,X,O,O,O,O,O,X,O,O
JTZSOIL,X,O,O,X,O,O,O,O,O
JTZSOLI,X,O,O,O,O,O,X,O,O
JTZOILS,X,O,O,O,O,O,X,X,O
JTZOISL,X,O,O,O,O,O,O,O,O
JTZOLIS,X,O,O,O,O,O,X,X,O
JTZOLSI,X,O,O,O,O,O,X,O,O
JTZOSIL,X,O,O,X,O,O,O,O,O
JTZOSLI,X,O,O,O,O,O,X,O,O
JTOILSZ,X,O,O,O,O,O,X,X,X
JTOILZS,X,O,O,O,X,X,X,X,O
JTOISLZ,X,O,O,O,O,X,X,X,X
JTOISZL,X,O,O,O,O,O,X,X,O
JTOIZLS,X,O,O,O,O,O,X,X,O
JTOIZSL,X,O,O,O,O,O,O,O,O
JTOLISZ,X,O,O,O,O,O,X,X,X
JTOLIZS,X,O,O,O,X,X,X,X,O
JTOLSIZ,X,O,O,O,O,O,X,X,X
JTOLSZI,X,O,O,O,O,O,X,X,O
JTOLZIS,X,O,O,O,O,O,X,X,O
JTOLZSI,X,O,O,O,O,O,X,O,O
JTOSILZ,X,O,O,O,O,X,X,X,X
JTOSIZL,X,O,O,O,O,O,X,X,O
JTOSLIZ,X,O,O,O,O,X,X,X,X
JTOSLZI,X,O,O,O,O,X,X,X,O
JTOSZIL,X,O,O,X,O,O,O,O,O
JTOSZLI,X,O,O,O,O,O,X,O,O
JTOZILS,X,O,O,O,O,O,X,X,O
JTOZISL,X,O,O,O,O,O,O,O,O
JTOZLIS,X,O,O,O,O,O,X,X,O
JTOZLSI,X,O,O,O,O,O,X,O,O
JTOZSIL,X,O,O,X,O,O,O,O,O
JTOZSLI,X,O,O,O,O,O,X,O,O
JITLSZO,X,X,O,O,X,X,X,X,X
JITLSOZ,X,X,O,O,O,O,X,X,X
JITLZSO,X,X,O,O,X,X,X,X,O
JITLZOS,X,X,O,O,X,X,X,X,O
JITLOSZ,X,X,O,O,O,O,X,X,X
JITLOZS,X,X,O,O,X,X,X,X,O
JITSLZO,X,X,O,O,X,X,X,X,X
JITSLOZ,X,X,O,O,O,X,X,X,X
JITSZLO,X,X,O,O,O,X,X,X,O
JITSZOL,X,X,O,O,O,X,X,X,O
JITSOLZ,X,X,O,O,O,X,X,X,X
JITSOZL,X,X,O,O,O,O,X,X,O
JITZLSO,X,X,O,O,O,O,X,X,O
JITZLOS,X,X,O,O,O,O,X,X,O
JITZSLO,X,X,O,O,O,O,X,O,O
JITZSOL,X,X,O,O,O,O,O,O,O
JITZOLS,X,X,O,O,O,O,X,X,O
JITZOSL,X,X,O,O,O,O,O,O,O
JITOLSZ,X,X,O,O,O,O,X,X,X
JITOLZS,X,X,O,O,X,X,X,X,O
JITOSLZ,X,X,O,O,O,X,X,X,X
JITOSZL,X,X,O,O,O,O,X,X,O
JITOZLS,X,X,O,O,O,O,X,X,O
JITOZSL,X,X,O,O,O,O,O,O,O
JILTSZO,X,X,O,X,X,X,X,X,X
JILTSOZ,X,X,O,X,O,O,X,X,X
JILTZSO,X,X,O,X,X,X,X,X,O
JILTZOS,X,X,O,X,X,X,X,X,O
JILTOSZ,X,X,O,X,O,O,X,X,X
JILTOZS,X,X,O,X,X,X,X,X,O
JILSTZO,X,X,O,X,X,X,X,X,X
JILSTOZ,X,X,O,X,X,O,X,X,X
JILSZTO,O,X,O,X,X,O,X,X,X
JILSZOT,O,X,O,X,X,O,X,X,X
JILSOTZ,X,X,O,X,O,O,X,X,X
JILSOZT,O,X,O,X,O,O,X,X,X
JILZTSO,O,X,O,X,O,O,X,X,O
JILZTOS,O,X,O,X,O,O,X,X,O
JILZSTO,O,X,O,X,X,O,X,O,X
JILZSOT,O,X,O,X,O,O,X,O,X
JILZOTS,O,X,O,X,O,O,X,X,O
JILZOST,O,X,O,X,O,O,X,O,X
JILOTSZ,X,X,O,X,O,O,X,X,X
JILOTZS,X,X,O,X,X,X,X,X,O
JILOSTZ,X,X,O,X,O,O,X,X,X
JILOSZT,O,X,O,X,O,O,X,X,X
JILOZTS,O,X,O,X,O,O,X,X,O
JILOZST,O,X,O,X,O,O,X,O,X
JISTLZO,X,X,O,O,X,X,X,X,X
JISTLOZ,X,X,O,O,O,X,X,X,X
JISTZLO,X,X,O,O,O,X,X,X,X
JISTZOL,X,X,O,O,O,X,X,X,X
JISTOLZ,X,X,O,O,O,X,X,X,X
JISTOZL,X,X,O,O,O,O,X,X,X
JISLTZO,X,X,O,X,X,X,X,X,X
JISLTOZ,X,X,O,X,X,O,X,X,X
JISLZTO,X,X,O,X,X,X,X,X,X
JISLZOT,X,X,O,X,X,O,X,X,X
JISLOTZ,X,X,O,X,O,O,X,X,X
JISLOZT,X,X,O,X,O,O,X,X,X
JISZTLO,X,X,O,X,O,O,X,O,X
JISZTOL,X,X,O,X,O,O,X,O,X
JISZLTO,X,X,O,X,X,O,X,O,X
JISZLOT,X,X,O,X,O,O,X,O,X
JISZOTL,X,X,O,X,O,O,X,O,X
JISZOLT,X,X,O,X,O,O,X,O,X
JISOTLZ,X,X,O,O,O,X,X,X,X
JISOTZL,X,X,O,O,O,O,X,X,X
JISOLTZ,X,X,O,X,O,O,X,X,X
JISOLZT,X,X,O,X,O,O,X,X,X
JISOZTL,X,X,O,X,O,O,X,O,X
JISOZLT,X,X,O,X,O,O,X,O,X
JIZTLSO,X,X,O,X,O,O,X,X,O
JIZTLOS,X,X,O,X,O,O,X,X,O
JIZTSLO,X,X,O,X,O,O,X,O,O
JIZTSOL,X,X,O,X,O,O,O,O,O
JIZTOLS,X,X,O,X,O,O,X,X,O
JIZTOSL,X,X,O,X,O,O,O,O,O
JIZLTSO,O,X,O,X,O,O,X,X,O
JIZLTOS,O,X,O,X,O,O,X,X,O
JIZLSTO,O,X,O,X,X,O,X,O,X
JIZLSOT,O,X,O,X,O,O,X,O,X
JIZLOTS,O,X,O,X,O,O,X,X,O
JIZLOST,O,X,O,X,O,O,X,O,X
JIZSTLO,X,X,O,X,O,O,X,O,X
JIZSTOL,X,X,O,X,O,O,O,O,X
JIZSLTO,X,X,O,X,X,O,X,O,X
JIZSLOT,X,X,O,X,O,O,X,O,X
JIZSOTL,X,X,O,X,O,O,O,O,X
JIZSOLT,X,X,O,X,O,O,X,O,X
JIZOTLS,X,X,O,X,O,O,X,X,O
JIZOTSL,X,X,O,X,O,O,O,O,O
JIZOLTS,O,X,O,X,O,O,X,X,O
JIZOLST,O,X,O,X,O,O,X,O,X
JIZOSTL,X,X,O,X,O,O,O,O,X
JIZOSLT,X,X,O,X,O,O,X,O,X
JIOTLSZ,X,X,O,O,O,O,X,X,X
JIOTLZS,X,X,O,O,X,X,X,X,O
JIOTSLZ,X,X,O,O,O,X,X,X,X
JIOTSZL,X,X,O,O,O,O,X,X,O
JIOTZLS,X,X,O,O,O,O,X,X,O
JIOTZSL,X,X,O,O,O,O,O,O,O
JIOLTSZ,X,X,O,X,O,O,X,X,X
JIOLTZS,X,X,O,X,X,X,X,X,O
JIOLSTZ,X,X,O,X,O,O,X,X,X
JIOLSZT,O,X,O,X,O,O,X,X,X
JIOLZTS,O,X,O,X,O,O,X,X,O
JIOLZST,O,X,O,X,O,O,X,O,X
JIOSTLZ,X,X,O,O,O,X,X,X,X
JIOSTZL,X,X,O,O,O,O,X,X,X
JIOSLTZ,X,X,O,X,O,O,X,X,X
JIOSLZT,X,X,O,X,O,O,X,X,X
JIOSZTL,X,X,O,X,O,O,X,O,X
JIOSZLT,X,X,O,X,O,O,X,O,X
JIOZTLS,X,X,O,X,O,O,X,X,O
JIOZTSL,X,X,O,X,O,O,O,O,O
JIOZLTS,O,X,O,X,O,O,X,X,O
JIOZLST,O,X,O,X,O,O,X,O,X
JIOZSTL,X,X,O,X,O,O,O,O,X
JIOZSLT,X,X,O,X,O,O,X,O,X
JLTISZO,X,O,O,X,X,X,X,X,X
JLTISOZ,X,O,O,X,O,O,X,X,X
JLTIZSO,X,O,O,X,X,X,X,X,O
JLTIZOS,X,O,O,X,X,X,X,X,O
JLTIOSZ,X,O,O,X,O,O,X,X,X
JLTIOZS,X,O,O,X,X,X,X,X,O
JLTSIZO,X,O,O,X,X,X,X,X,X
JLTSIOZ,X,O,O,X,O,O,X,X,X
JLTSZIO,O,O,O,X,O,O,X,X,O
JLTSZOI,O,O,O,X,O,O,X,X,O
JLTSOIZ,X,O,O,X,O,O,X,X,X
JLTSOZI,O,O,O,X,O,O,X,X,O
JLTZISO,O,O,O,X,O,O,X,X,O
JLTZIOS,O,O,O,X,O,O,X,X,O
JLTZSIO,O,O,O,X,O,O,X,O,O
JLTZSOI,O,O,O,X,O,O,X,O,O
JLTZOIS,O,O,O,X,O,O,X,X,O
JLTZOSI,O,O,O,X,O,O,X,O,O
JLTOISZ,X,O,O,X,O,O,X,X,X
JLTOIZS,X,O,O,X,X,X,X,X,O
JLTOSIZ,X,O,O,X,O,O,X,X,X
JLTOSZI,O,O,O,X,O,O,X,X,O
JLTOZIS,O,O,O,X,O,O,X,X,O
JLTOZSI,O,O,O,X,O,O,X,O,O
JLITSZO,X,X,O,X,X,X,X,X,X
JLITSOZ,X,X,O,X,O,O,X,X,X
JLITZSO,X,X,O,X,X,X,X,X,O
JLITZOS,X,X,O,X,X,X,X,X,O
JLITOSZ,X,X,O,X,O,O,X,X,X
JLITOZS,X,X,O,X,X,X,X,X,O
JLISTZO,X,X,O,X,X,X,X,X,X
JLISTOZ,X,X,O,X,X,O,X,X,X
JLISZTO,O,X,O,X,X,O,X,X,X
JLISZOT,O,X,O,X,X,O,X,X,X
JLISOTZ,X,X,O,X,O,O,X,X,X
JLISOZT,O,X,O,X,O,O,X,X,X
JLIZTSO,O,X,O,X,O,O,X,X,O
JLIZTOS,O,X,O,X,O,O,X,X,O
JLIZSTO,O,X,O,X,X,O,X,O,X
JLIZSOT,O,X,O,X,O,O,X,O,X
JLIZOTS,O,X,O,X,O,O,X,X,O
JLIZOST,O,X,O,X,O,O,X,O,X
JLIOTSZ,X,X,O,X,O,O,X,X,X
JLIOTZS,X,X,O,X,X,X,X,X,O
JLIOSTZ,X,X,O,X,O,O,X,X,X
JLIOSZT,O,X,O,X,O,O,X,X,X
JLIOZTS,O,X,O,X,O,O,X,X,O
JLIOZST,O,X,O,X,O,O,X,O,X
JLSTIZO,X,O,O,X,X,X,X,X,X
JLSTIOZ,X,O,O,X,O,O,X,X,X
JLSTZIO,O,O,O,X,O,O,X,X,O
JLSTZOI,O,O,O,X,O,O,X,X,O
JLSTOIZ,X,O,O,X,O,O,X,X,X
JLSTOZI,O,O,O,X,O,O,X,X,O
JLSITZO,X,X,O,X,X,X,X,X,X
JLSITOZ,X,X,O,X,X,O,X,X,X
JLSIZTO,O,X,O,X,X,O,X,X,X
JLSIZOT,O,X,O,X,X,O,X,X,X
JLSIOTZ,X,X,O,X,O,O,X,X,X
JLSIOZT,O,X,O,X,O,O,X,X,X
JLSZTIO,O,O,O,X,X,O,X,X,O
JLSZTOI,O,O,O,X,X,O,X,X,O
JLSZITO,O,X,O,X,X,O,X,X,X
JLSZIOT,O,O,O,X,O,O,X,X,X
JLSZOTI,O,O,O,X,X,O,X,X,O
JLSZOIT,O,O,O,X,O,O,X,X,X
JLSOTIZ,X,O,O,X,O,O,X,X,X
JLSOTZI,O,O,O,X,O,O,X,X,O
JLSOITZ,X,X,O,X,O,O,X,X,X
JLSOIZT,O,X,O,X,O,O,X,X,X
JLSOZTI,O,O,O,X,X,O,X,X,O
JLSOZIT,O,O,O,X,O,O,X,X,X
JLZTISO,O,O,O,X,O,O,X,X,O
JLZTIOS,O,O,O,X,O,O,X,X,O
JLZTSIO,O,O,O,X,O,O,X,O,O
JLZTSOI,O,O,O,X,O,O,X,O,O
JLZTOIS,O,O,O,X,O,O,X,X,O
JLZTOSI,O,O,O,X,O,O,X,O,O
JLZITSO,O,X,O,X,O,O,X,X,O
JLZITOS,O,X,O,X,O,O,X,X,O
JLZISTO,O,X,O,X,X,O,X,O,X
JLZISOT,O,O,O,X,O,O,X,O,X
JLZIOTS,O,X,O,X,O,O,X,X,O
JLZIOST,O,O,O,X,O,O,X,O,X
JLZSTIO,O,O,O,X,X,O,X,O,O
JLZSTOI,O,O,O,X,X,O,X,O,O
JLZSITO,O,X,O,X,X,O,X,O,X
JLZSIOT,O,O,O,X,O,O,X,O,X
JLZSOTI,O,O,O,X,X,O,X,O,O
JLZSOIT,O,O,O,X,O,O,X,O,X
JLZOTIS,O,O,O,X,O,O,X,X,O
JLZOTSI,O,O,O,X,O,O,X,O,O
JLZOITS,O,X,O,X,O,O,X,X,O
JLZOIST,O,O,O,X,O,O,X,O,X
JLZOSTI,O,O,O,X,X,O,X,O,O
JLZOSIT,O,O,O,X,O,O,X,O,X
JLOTISZ,X,O,O,X,O,O,X,X,X
JLOTIZS,X,O,O,X,X,X,X,X,O
JLOTSIZ,X,O,O,X,O,O,X,X,X
JLOTSZI,O,O,O,X,O,O,X,X,O
JLOTZIS,O,O,O,X,O,O,X,X,O
JLOTZSI,O,O,O,X,O,O,X,O,O
JLOITSZ,X,X,O,X,O,O,X,X,X
JLOITZS,X,X,O,X,X,X,X,X,O
JLOISTZ,X,X,O,X,O,O,X,X,X
JLOISZT,O,X,O,X,O,O,X,X,X
JLOIZTS,O,X,O,X,O,O,X,X,O
JLOIZST,O,X,O,X,O,O,X,O,X
JLOSTIZ,X,O,O,X,O,O,X,X,X
JLOSTZI,O,O,O,X,O,O,X,X,O
JLOSITZ,X,X,O,X,O,O,X,X,X
JLOSIZT,O,X,O,X,O,O,X,X,X
JLOSZTI,O,O,O,X,X,O,X,X,O
JLOSZIT,O,O,O,X,O,O,X,X,X
JLOZTIS,O,O,O,X,O,O,X,X,O
JLOZTSI,O,O,O,X,O,O,X,O,O
JLOZITS,O,X,O,X,O,O,X,X,O
JLOZIST,O,O,O,X,O,O,X,O,X
JLOZSTI,O,O,O,X,X,O,X,O,O
JLOZSIT,O,O,O,X,O,O,X,O,X
JSTILZO,X,X,O,O,X,X,X,X,X
JSTILOZ,X,O,O,O,O,X,X,X,X
JSTIZLO,X,O,O,O,O,X,X,X,O
JSTIZOL,X,O,O,O,O,X,X,X,O
JSTIOLZ,X,O,O,O,O,X,X,X,X
JSTIOZL,X,O,O,O,O,O,X,X,O
JSTLIZO,X,X,O,O,X,X,X,X,X
JSTLIOZ,X,O,O,O,O,X,X,X,X
JSTLZIO,X,O,O,X,O,X,X,X,O
JSTLZOI,X,O,O,O,O,X,X,X,O
JSTLOIZ,X,O,O,O,O,X,X,X,X
JSTLOZI,X,O,O,O,O,X,X,X,O
JSTZILO,X,O,O,X,O,O,X,O,O
JSTZIOL,X,O,O,X,O,O,O,O,O
JSTZLIO,X,O,O,X,O,O,X,O,O
JSTZLOI,X,O,O,O,O,O,X,O,O
JSTZOIL,X,O,O,X,O,O,O,O,O
JSTZOLI,X,O,O,O,O,O,X,O,O
