sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
ZIJOLTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZIJOLST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZIJOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,O
ZIJOSLT,X,X,O,X,X,O,O,X,X,O,X,X,X,O
ZISTLJO,O,X,X,O,X,O,X,O,O,X,X,X,X,X
ZISTLOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
ZISTJLO,O,O,X,O,X,O,X,O,O,X,X,X,X,X
ZISTJOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZISTOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZISTOJL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZISLTJO,O,X,X,O,X,O,X,O,X,X,X,X,X,X
ZISLTOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZISLJTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
ZISLJOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
ZISLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZISLOJT,O,O,X,X,X,O,X,O,X,X,X,X,X,O
ZISJTLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZISJTOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZISJLTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
ZISJLOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
ZISJOTL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZISJOLT,O,O,X,O,X,O,O,O,X,X,X,X,X,O
ZISOTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZISOTJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZISOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZISOLJT,O,O,X,X,X,O,X,X,X,X,X,X,X,O
ZISOJTL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZISOJLT,O,O,X,O,X,O,O,O,X,X,X,X,X,O
ZIOTLJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIOTLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZIOTJLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZIOTJSL,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZIOTSLJ,X,X,O,X,X,O,X,X,X,O,X,X,X,O
ZIOTSJL,X,X,O,X,X,O,O,X,X,O,X,X,X,O
ZIOLTJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZIOLTSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZIOLJTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZIOLJST,X,X,O,X,X,X,O,X,X,X,X,O,O,O
ZIOLSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZIOLSJT,O,X,X,X,X,X,X,X,X,O,X,O,X,O
ZIOJTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZIOJTSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X
ZIOJLTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZIOJLST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZIOJSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,O
ZIOJSLT,X,X,O,X,X,O,O,X,X,O,X,X,X,O
ZIOSTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZIOSTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZIOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZIOSLJT,O,X,X,X,X,O,X,X,X,O,X,X,X,O
ZIOSJTL,O,X,X,X,X,O,X,X,X,X,X,X,X,O
ZIOSJLT,O,X,X,X,X,O,O,X,X,O,X,X,X,O
ZLTIJSO,X,X,O,O,X,X,O,O,X,X,X,O,O,X
ZLTIJOS,X,X,O,O,X,X,O,X,X,X,X,O,O,X
ZLTISJO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
ZLTISOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZLTIOJS,X,X,X,O,X,X,O,X,X,X,X,O,O,X
ZLTIOSJ,X,X,X,O,X,X,X,X,X,X,X,O,X,O
ZLTJISO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
ZLTJIOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZLTJSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
ZLTJSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
ZLTJOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZLTJOSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
ZLTSIJO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
ZLTSIOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZLTSJIO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
ZLTSJOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
ZLTSOIJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZLTSOJI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
ZLTOIJS,X,X,O,O,X,X,O,X,X,X,X,O,O,X
ZLTOISJ,X,X,O,O,X,X,X,X,X,X,X,O,X,O
ZLTOJIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZLTOJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
ZLTOSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
ZLTOSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
ZLITJSO,X,X,O,X,X,X,O,X,X,X,X,O,O,X
ZLITJOS,X,X,O,X,X,X,O,X,X,X,X,O,O,X
ZLITSJO,O,X,X,X,X,O,O,X,X,X,X,O,O,X
ZLITSOJ,O,X,X,X,X,O,X,X,X,X,X,O,X,X
ZLITOJS,X,X,X,X,X,X,O,X,X,X,X,O,O,X
ZLITOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLIJTSO,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLIJTOS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLIJSTO,X,O,O,X,X,O,X,O,X,X,X,O,O,X
ZLIJSOT,X,O,O,X,X,O,O,O,X,X,X,O,O,X
ZLIJOTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLIJOST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZLISTJO,O,X,X,X,X,O,X,O,X,X,X,O,X,X
ZLISTOJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLISJTO,X,X,X,X,X,O,X,O,X,X,X,O,O,X
ZLISJOT,O,X,X,X,X,O,O,O,X,X,X,O,O,X
ZLISOTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLISOJT,O,X,X,X,X,O,X,O,X,X,X,O,X,O
ZLIOTJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
ZLIOTSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLIOJTS,X,O,X,X,X,X,O,X,X,X,X,O,O,X
ZLIOJST,X,X,X,X,X,X,O,X,X,X,X,O,O,O
ZLIOSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O
ZLIOSJT,O,X,X,X,X,X,X,X,X,O,X,O,X,O
ZLJTISO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
ZLJTIOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZLJTSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
ZLJTSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
ZLJTOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZLJTOSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
ZLJITSO,X,O,O,O,X,X,O,X,X,X,X,O,O,X
ZLJITOS,X,O,O,O,X,X,O,X,X,X,X,O,O,X
ZLJISTO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
ZLJISOT,X,O,O,O,X,O,O,O,X,X,X,O,O,X
ZLJIOTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLJIOST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZLJSTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
ZLJSTOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZLJSITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
ZLJSIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
ZLJSOTI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZLJSOIT,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZLJOTIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZLJOTSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
ZLJOITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLJOIST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZLJOSTI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
ZLJOSIT,O,O,O,O,X,O,O,O,X,X,X,O,X,O
ZLSTIJO,O,X,X,O,X,O,O,O,X,X,X,O,O,X
ZLSTIOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZLSTJIO,O,X,O,O,O,O,O,O,X,X,X,X,O,X
ZLSTJOI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
ZLSTOIJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZLSTOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
ZLSITJO,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZLSITOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,O
ZLSIJTO,X,O,X,O,X,O,X,O,X,X,X,O,O,X
ZLSIJOT,O,O,X,O,X,O,O,O,X,X,X,O,O,X
ZLSIOTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZLSIOJT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
ZLSJTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
ZLSJTOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZLSJITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
ZLSJIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
ZLSJOTI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZLSJOIT,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZLSOTIJ,O,X,X,X,X,O,X,O,X,X,X,O,X,O
ZLSOTJI,O,X,X,X,O,O,X,O,X,X,X,X,X,X
ZLSOITJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZLSOIJT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
ZLSOJTI,O,O,X,X,O,O,X,O,X,X,X,X,X,X
ZLSOJIT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
ZLOTIJS,X,X,O,X,X,X,O,X,X,X,X,O,O,X
ZLOTISJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZLOTJIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
ZLOTJSI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLOTSIJ,O,X,O,X,X,X,X,O,X,X,X,O,X,O
ZLOTSJI,O,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLOITJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
ZLOITSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
ZLOIJTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLOIJST,X,X,O,X,X,X,O,O,X,X,X,O,O,O
ZLOISTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZLOISJT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
ZLOJTIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
ZLOJTSI,X,O,O,X,X,X,O,O,X,X,X,X,X,X
ZLOJITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZLOJIST,X,X,O,X,X,X,O,O,X,X,X,O,O,O
ZLOJSTI,O,O,O,X,O,X,O,O,X,X,X,X,X,X
ZLOJSIT,O,O,O,X,X,X,O,O,X,X,X,O,X,O
ZLOSTIJ,O,X,O,X,X,X,X,O,X,O,X,O,X,O
ZLOSTJI,O,X,O,X,O,X,X,O,X,O,X,X,X,X
ZLOSITJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZLOSIJT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
ZLOSJTI,O,O,O,X,O,X,X,O,X,X,X,X,X,X
ZLOSJIT,O,O,O,X,X,X,X,O,X,X,X,O,X,O
ZJTILSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
ZJTILOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJTISLO,X,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJTISOL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJTIOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJTIOSL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZJTLISO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
ZJTLIOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJTLSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
ZJTLSOI,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJTLOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJTLOSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
ZJTSILO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJTSIOL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJTSLIO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJTSLOI,O,O,X,O,X,O,O,O,X,X,O,X,X,X
ZJTSOIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJTSOLI,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJTOILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJTOISL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZJTOLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJTOLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
ZJTOSIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJTOSLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJITLSO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
ZJITLOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJITSLO,X,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJITSOL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJITOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJITOSL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZJILTSO,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJILTOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJILSTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
ZJILSOT,X,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJILOTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
ZJILOST,X,X,O,X,X,O,O,X,X,X,X,X,O,O
ZJISTLO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
ZJISTOL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
ZJISLTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
ZJISLOT,X,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJISOTL,X,O,X,O,X,O,X,O,X,X,O,X,X,O
ZJISOLT,X,O,O,O,X,O,O,O,X,X,O,X,X,O
ZJIOTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJIOTSL,X,O,O,X,X,O,O,X,X,X,O,X,X,X
ZJIOLTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
ZJIOLST,X,X,O,X,X,O,O,X,X,X,X,X,O,O
ZJIOSTL,X,X,X,X,X,O,X,X,X,X,O,X,X,O
ZJIOSLT,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ZJLTISO,X,O,O,O,X,X,O,O,X,X,X,X,O,X
ZJLTIOS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJLTSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
ZJLTSOI,O,O,X,O,X,X,O,O,X,X,O,X,X,X
ZJLTOIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJLTOSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
ZJLITSO,X,O,O,O,X,X,O,X,X,X,X,O,O,X
ZJLITOS,X,O,O,O,X,X,O,X,X,X,X,O,O,X
ZJLISTO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
ZJLISOT,X,O,O,O,X,O,O,O,X,X,X,O,O,X
ZJLIOTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZJLIOST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZJLSTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
ZJLSTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
ZJLSITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
ZJLSIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
ZJLSOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
ZJLSOIT,O,O,X,O,X,O,O,O,X,X,O,O,X,X
ZJLOTIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJLOTSI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
ZJLOITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZJLOIST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZJLOSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJLOSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
ZJSTILO,O,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJSTIOL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJSTLIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
ZJSTLOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
ZJSTOIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJSTOLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJSITLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZJSITOL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
ZJSILTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
ZJSILOT,O,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJSIOTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
ZJSIOLT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
ZJSLTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
ZJSLTOI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
ZJSLITO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
ZJSLIOT,O,O,O,O,X,O,O,O,X,X,X,X,O,X
ZJSLOTI,O,O,X,O,O,O,O,O,X,X,O,X,X,X
ZJSLOIT,O,O,X,O,X,O,O,O,X,X,O,X,X,X
ZJSOTIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJSOTLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJSOITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
ZJSOILT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
ZJSOLTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJSOLIT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
ZJOTILS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJOTISL,X,O,O,O,X,O,O,X,X,X,O,X,X,X
ZJOTLIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJOTLSI,X,O,O,O,X,X,O,O,X,X,O,X,X,X
ZJOTSIL,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJOTSLI,X,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJOITLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
ZJOITSL,X,O,O,X,X,O,O,X,X,X,O,X,X,X
ZJOILTS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
ZJOILST,X,X,O,X,X,O,O,X,X,X,X,X,O,O
ZJOISTL,X,X,X,X,X,O,X,X,X,X,O,X,X,O
ZJOISLT,X,X,O,X,X,O,O,X,X,X,O,X,X,O
ZJOLTIS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
ZJOLTSI,X,O,O,O,X,X,O,X,X,X,O,X,X,X
ZJOLITS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
ZJOLIST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
ZJOLSTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJOLSIT,O,O,O,O,X,O,O,O,X,X,O,O,X,O
ZJOSTIL,O,O,O,O,X,O,O,O,X,X,O,X,X,X
ZJOSTLI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJOSITL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
ZJOSILT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
ZJOSLTI,O,O,O,O,O,O,O,O,X,X,O,X,X,X
ZJOSLIT,O,O,O,O,X,O,O,O,X,X,O,X,X,O
ZSTILJO,O,X,X,O,X,O,O,O,O,X,X,X,O,X
ZSTILOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
ZSTIJLO,O,O,X,O,X,O,O,O,O,X,X,X,O,X
ZSTIJOL,O,O,X,O,X,O,O,O,X,X,X,X,X,O
ZSTIOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZSTIOJL,O,O,X,O,X,O,O,O,X,X,X,X,X,O
ZSTLIJO,O,X,X,O,X,O,O,O,O,X,X,X,O,X
ZSTLIOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
ZSTLJIO,O,X,O,O,O,O,O,O,O,X,X,X,O,X
ZSTLJOI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
ZSTLOIJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
ZSTLOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
ZSTJILO,O,O,O,O,X,O,O,O,O,X,X,X,O,X
ZSTJIOL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
ZSTJLIO,O,O,O,O,O,O,O,O,O,X,X,X,O,X
ZSTJLOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZSTJOIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
ZSTJOLI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
ZSTOILJ,O,X,O,O,X,O,X,X,X,X,X,X,X,O
ZSTOIJL,O,O,O,O,X,O,O,O,X,X,X,X,X,O
ZSTOLIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O
ZSTOLJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
ZSTOJIL,O,O,O,O,X,O,O,O,X,X,X,X,X,X
ZSTOJLI,O,O,O,O,O,O,O,O,X,X,X,X,X,X
ZSITLJO,O,X,X,O,X,O,X,O,O,X,X,X,X,X
ZSITLOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
ZSITJLO,O,O,X,O,X,O,X,O,O,X,X,X,X,X
ZSITJOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZSITOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
ZSITOJL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZSILTJO,O,X,X,O,X,O,X,O,X,X,X,X,X,X
ZSILTOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
ZSILJTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
ZSILJOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
ZSILOTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ZSILOJT,O,O,X,X,X,O,X,O,X,X,X,X,X,O
ZSIJTLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
ZSIJTOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZSIJLTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
ZSIJLOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
ZSIJOTL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
ZSIJOLT,O,O,X,O,X,O,O,O,X,X,X,X,X,O
ZSIOTLJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZSIOTJL,O,O,X,O,X,X,X,O,X,X,X,X,X,O
ZSIOLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ZSIOLJT,O,O,X,X,X,O,X,O,X,X,X,X,X,O
ZSIOJTL,O,O,X,O,X,O,X,O,X,X,O,X,X,O
ZSIOJLT,O,O,X,O,X,O,O,O,X,X,O,X,X,O
ZSLTIJO,O,X,X,O,X,O,O,O,O,X,X,O,O,X
ZSLTIOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZSLTJIO,O,X,O,O,O,O,O,O,O,X,X,X,O,X
ZSLTJOI,O,X,X,O,O,O,O,O,X,X,X,X,X,X
ZSLTOIJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZSLTOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
ZSLITJO,O,X,X,O,X,O,X,O,X,X,X,O,X,X
ZSLITOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,O
ZSLIJTO,X,O,X,O,X,O,X,O,X,X,X,O,O,X
ZSLIJOT,O,O,X,O,X,O,O,O,X,X,X,O,O,X
ZSLIOTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
ZSLIOJT,O,O,X,X,X,O,X,O,X,X,X,O,X,O
ZSLJTIO,O,O,O,O,O,O,O,O,X,X,X,X,O,X
ZSLJTOI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZSLJITO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
ZSLJIOT,O,O,O,O,X,O,O,O,X,X,X,O,O,X
ZSLJOTI,O,O,X,O,O,O,O,O,X,X,X,X,X,X
ZSLJOIT,O,O,X,O,X,O,O,O,X,X,X,O,X,X
ZSLOTIJ,O,X,X,X,X,O,X,O,X,X,X,O,X,O
ZSLOTJI,O,X,X,X,O,O,X,O,X,X,X,X,X,X
