sequence,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBTcB/iBG?eBZoBlrB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Jex6IvhFTcB/iBcjBG?gBlmBatB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhFxbBXdBzgBF?jBCnBOtB,v115@9gA8IeC8FeF8AeB8AeI8AeA8Je06IvhF6gBlcBGeB/?mBTiBZoB
TOSIJLZ,O,X,X,X
TOSIJZL,O,X,X,X
TOSIZLJ,O,X,X,X
TOSIZJL,O,X,X,X
TOSLIJZ,O,X,X,X
TOSLIZJ,O,X,X,X
TOSLJIZ,X,X,X,X
TOSLJZI,O,X,X,X
TOSLZIJ,O,X,X,X
TOSLZJI,O,X,X,X
TOSJILZ,X,X,X,X
TOSJIZL,X,O,X,X
TOSJLIZ,X,X,X,X
TOSJLZI,O,X,X,X
TOSJZIL,X,O,X,X
TOSJZLI,O,O,X,X
TOSZILJ,O,X,X,X
TOSZIJL,O,X,X,X
TOSZLIJ,O,X,O,X
TOSZLJI,O,X,O,X
TOSZJIL,X,O,X,X
TOSZJLI,O,O,X,X
TOZILJS,X,X,X,X
TOZILSJ,O,X,X,X
TOZIJLS,X,X,X,X
TOZIJSL,X,X,X,X
TOZISLJ,O,X,X,X
TOZISJL,O,X,X,X
TOZLIJS,X,X,X,X
TOZLISJ,O,X,O,X
TOZLJIS,X,X,X,X
TOZLJSI,X,X,X,X
TOZLSIJ,O,X,O,X
TOZLSJI,O,X,O,X
TOZJILS,X,X,X,X
TOZJISL,X,O,X,X
TOZJLIS,X,X,X,X
TOZJLSI,X,X,X,X
TOZJSIL,X,O,X,X
TOZJSLI,X,O,X,X
TOZSILJ,O,X,X,X
TOZSIJL,O,X,X,X
TOZSLIJ,O,X,O,X
TOZSLJI,O,X,O,X
TOZSJIL,X,O,X,X
TOZSJLI,O,O,X,X
ITLJSZO,X,X,X,X
ITLJSOZ,X,X,X,X
ITLJZSO,X,X,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,O,X,X,X
ITLSJOZ,O,X,X,X
ITLSZJO,O,X,X,X
ITLSZOJ,O,X,X,X
ITLSOJZ,O,X,X,X
ITLSOZJ,O,X,X,X
ITLZJSO,X,X,X,X
ITLZJOS,X,X,X,X
ITLZSJO,O,X,X,X
ITLZSOJ,O,X,X,X
ITLZOJS,X,X,X,X
ITLZOSJ,O,X,X,X
ITLOJSZ,X,X,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,O,X,X,X
ITLOSZJ,O,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,O,X,X,X
ITJLSZO,X,X,X,X
ITJLSOZ,X,X,X,X
ITJLZSO,X,X,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,X,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,X,X,X
ITJZSOL,X,X,X,X
ITJZOLS,X,X,X,X
ITJZOSL,X,X,X,X
ITJOLSZ,X,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,X
ITSLJZO,O,X,X,X
ITSLJOZ,O,X,X,X
ITSLZJO,O,X,X,X
ITSLZOJ,O,X,X,X
ITSLOJZ,O,X,X,X
ITSLOZJ,O,X,X,X
ITSJLZO,O,X,X,X
