sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TLSZOIJ,O,O,O,X,O,O,X,X,O,X,X,X
TLSZOJI,O,O,O,X,O,O,X,X,O,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X,X,X,X,X,X,X
TLSOZJI,O,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,X,X,O,O,O,O,X,X,X,X,X,X
TLZIJOS,X,X,O,O,O,O,X,X,X,X,X,X
TLZISJO,X,X,O,O,O,O,X,X,O,X,X,X
TLZISOJ,X,X,O,X,O,O,X,X,O,X,X,X
TLZIOJS,X,X,X,O,O,O,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,O,O,X,X,X,X,X,X
TLZJISO,X,X,O,O,O,O,X,X,X,X,X,X
TLZJIOS,X,X,O,O,O,O,X,X,X,X,X,X
TLZJSIO,X,X,O,O,O,O,X,X,O,X,O,X
TLZJSOI,X,X,O,X,O,O,X,X,O,X,X,X
TLZJOIS,X,X,O,X,O,O,X,X,X,X,X,X
TLZJOSI,X,X,O,X,O,O,X,X,X,X,X,X
TLZSIJO,X,X,O,X,O,O,X,X,O,X,O,X
TLZSIOJ,X,X,O,X,O,O,X,X,O,X,O,X
TLZSJIO,X,X,O,X,O,O,X,X,O,X,O,X
TLZSJOI,X,X,O,X,O,O,X,X,O,X,X,X
TLZSOIJ,X,X,O,X,O,O,X,X,O,X,X,X
TLZSOJI,X,X,O,X,O,O,X,X,O,X,X,X
TLZOIJS,X,X,X,X,O,O,X,X,X,X,X,X
TLZOISJ,X,X,X,X,O,O,X,X,X,X,X,X
TLZOJIS,X,X,O,X,O,O,X,X,X,X,X,X
TLZOJSI,X,X,O,X,O,O,X,X,X,X,X,X
TLZOSIJ,X,X,O,X,O,O,X,X,O,X,X,X
TLZOSJI,X,X,O,X,O,O,X,X,O,X,X,X
TLOIJSZ,O,O,X,O,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,O,X,O,X,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,O,X,O,X,O,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,O,X,O,X,X,X,X,X,X,X,X
