sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TSLJZOI,O,O,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,X,X
TSLOIZJ,O,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X,X
TSLOZIJ,O,X,X,X,X,X,X
TSLOZJI,O,X,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,X
TSJILOZ,O,X,X,X,X,X,X
TSJIZLO,O,O,X,X,O,O,X
TSJIZOL,O,O,X,X,O,O,O
TSJIOLZ,O,O,X,X,X,X,X
TSJIOZL,O,O,X,O,O,X,X
TSJLIZO,O,O,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X,X
TSJLZIO,O,O,X,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X,X
TSJZILO,O,O,X,X,O,O,X
TSJZIOL,O,O,X,X,O,O,O
TSJZLIO,O,O,X,X,O,O,X
