sequence,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFmdB5jB9nB0?mBKtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFeiBfjB6jBc?sB5mBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBXiB8nB5?oBOtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBzdB6rBc?sBOtB5oB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBejB5jBX?iBzrBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdB8mBziB5?oBOtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5jBziBurBf?nBUtBisB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hB0dB6jB2?nBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhF0dB9mBSoBx?sBesBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeT9IvhFOjBUhB5oBd?sBftB6rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFXeBSoBUnB5?mBTtBOsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzdB5jBUiBu?mBKtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hBKiBGeBU?jBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFqhBxdBXjB+?tB0nBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBTjBasB5?mBGoBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF+jBRiB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFajB5jBTiBf?sBUtBurB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBcjBasB+?tB5mBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jBUiBq?rB3nBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF0dBSoBurBx?sBfsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF6jBXiB8nB5?mBOsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBqiBTeB+?tBRsB0rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFcjBxmB+tBN?nBqrBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFGeBUjBxmBC?sBTtBdsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB3iBqrBx?sBctBGtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB+jB3iBq?rBxsBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBCeBGoBR?sB0rBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF3dBWnB6tBR?sBctBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8Le+DJvhFUhBRiB3iB6?rBNsBTtB
TLJZSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSIJOZ,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIZOJ,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,O,X,X,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TLZIJOS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TLZISJO,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
TLZISOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TLZIOJS,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLZJISO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJIOS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZJSIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZJSOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLZSOJI,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,X,O,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,O,X,X,X,X,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TLOISJZ,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZJS,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLOIZSJ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
TLOJISZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,X,X,X,X,O,X,X,O,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,O,O,X,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,X,X,O,X,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,O,O,X,O,X,X,O,X,X,O,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TLOSZIJ,X,O,O,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOSZJI,X,O,O,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLOZISJ,O,X,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TLOZJIS,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLOZJSI,O,O,X,X,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,O,X,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLOZSJI,O,O,O,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
TJILSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X,X,O,X
TJILZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJILOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJISLZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TJISLOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,O,X
TJIZLOS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O,X
TJIZSLO,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TJIOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZSL,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
TJLISOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOZL,X,X,X,X,X,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZLIO,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,O,O,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOIZL,X,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZIL,X,X,X,X,X,O,X,O,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJZILOS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZISLO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZISOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLISO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLIOS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZLSOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZLOIS,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZSILO,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TJZSIOL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TJZSLOI,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZSOIL,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZSOLI,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOISL,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOLSI,X,O,X,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TJZOSIL,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJZOSLI,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
